Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x76,,x75,LTHIP
9,0.019553,0,0,0,0,0.0247897,0,0,0,0,0,0,0.013529,0.034075,0.0100021,0.0161492,0,0,0.0527956,0,0.0345618,0.0375794,0.041319,0.00960896,0.00758552,0.00588818,0.0278472,0.0262211,0.00684859,0.00436822,0.00180755,0.010439,0.0112304,0.00968105,0.0298209,0.0221136,0.0423804,0.0189117,0.0333548,0.0117516,0.0294247,0.0153102,0.0170269,0.0297494,0,0,0.0150788,0,0.0323073,0.0233263,0.0369027,0.0176658,0.0144252,0.0185354,0.0256605,0.0243976,0.00942138,0.0134201,0.00807081,0.0110615,0.0134334,0.0342682,0.0122173,0.0126244,0.00771176,0.0189732,0.0473826,0.00656992,0.026405,0.0195912,0,0,0,0,0,0,0,0
10,0.0199145,0,0,0,0,0.0247789,0,0,0,0,0,0,0.0311581,0.0339725,0.015162,0.0165813,0,0,0.0529926,0,0.0346405,0.0375851,0.0414223,0.00745198,0.00699071,0.00780983,0.0279044,0.0263808,0.0117572,0.0134742,0.0103045,0.0109399,0.0180466,0.0075257,0.0255796,0.0419142,0.0422013,0.0190209,0.0331331,0.0120409,0.0294855,0.0153411,0.0166744,0.0303986,0,0,0.0143146,0,0.0319993,0.0237,0.0373025,0.0178143,0.0143621,0.018432,0.0258114,0.0250522,0.00930852,0.0132826,0.00801986,0.0108522,0.0132679,0.034197,0.0121585,0.0124218,0.00834071,0.019644,0.0467781,0.00696411,0.0262913,0.0200476,0,0,0,0,0,0,0,0
11,0.0199881,0,0,0,0,0.0249557,0,0,0,0,0,0,0.0306244,0.0337661,0.0151006,0.016501,0,0,0.0532233,0,0.0346784,0.037587,0.0414665,0.00755857,0.00683127,0.00734091,0.0274655,0.0263872,0.0115001,0.0130075,0.00989685,0.0108111,0.0178113,0.00758708,0.0256239,0.0414321,0.0422119,0.0191808,0.0328988,0.0119256,0.0294307,0.0152954,0.0166166,0.0307841,0,0,0.0135967,0,0.0318202,0.0240828,0.0373089,0.017786,0.0144859,0.0184595,0.0253033,0.025146,0.00928994,0.0133251,0.00807696,0.0109163,0.0132558,0.0344072,0.0121552,0.0124094,0.00814973,0.020097,0.0459286,0.00760183,0.0264067,0.0201622,0,0,0,0,0,0,0,0
12,0.0200089,0,0,0,0,0.0250788,0,0,0,0,0,0,0.0298351,0.0335303,0.0149264,0.0164388,0,0,0.0533664,0,0.0346194,0.0375383,0.0415021,0.00767296,0.00669546,0.00664473,0.027032,0.0263646,0.0111456,0.0123059,0.00927593,0.0106344,0.0174339,0.0076741,0.0257418,0.0405749,0.0422133,0.0192638,0.0324821,0.0118579,0.029328,0.0152633,0.0165258,0.0310418,0,0,0.0128055,0,0.031609,0.0244111,0.0373303,0.0177538,0.0145845,0.0184831,0.0247973,0.0251039,0.0092306,0.0133826,0.00812043,0.0109596,0.013267,0.034495,0.0121706,0.0124099,0.00798794,0.0204533,0.0449434,0.00837024,0.026475,0.0201987,0,0,0,0,0,0,0,0
13,0.0200139,0,0,0,0,0.0251135,0,0,0,0,0,0,0.0290413,0.0332399,0.01473,0.0163795,0,0,0.0534611,0,0.0345338,0.0374729,0.0415075,0.00779477,0.00660242,0.00589809,0.026629,0.0262904,0.0107633,0.0115355,0.00858841,0.0104329,0.0170327,0.00777576,0.0259021,0.0396125,0.0420958,0.0194625,0.031971,0.0118473,0.0292062,0.0152531,0.0164412,0.0312005,0,0,0.0119541,0,0.0313969,0.0246203,0.0373275,0.0177734,0.0146592,0.0184966,0.0243424,0.0249457,0.00917371,0.0134286,0.0081606,0.0109734,0.0132805,0.0344592,0.0121872,0.0124366,0.00783628,0.0204956,0.0438919,0.00919491,0.0264518,0.0202321,0,0,0,0,0,0,0,0
14,0.0199647,0,0,0,0,0.0251017,0,0,0,0,0,0,0.0282968,0.0329064,0.0144807,0.0163229,0,0,0.0535806,0,0.0344037,0.0373961,0.0414973,0.00790099,0.00652606,0.00514399,0.0262636,0.0261851,0.0103753,0.0107709,0.0078723,0.0102228,0.016585,0.00787236,0.0260851,0.0386202,0.0420198,0.0196646,0.0314222,0.0118384,0.0290672,0.0152431,0.0163722,0.0312601,0,0,0.0111409,0,0.0311862,0.0246328,0.0372823,0.0177962,0.0147313,0.018482,0.0239593,0.0246083,0.0092302,0.0134409,0.00822815,0.0109787,0.0132967,0.0344473,0.0121923,0.0124459,0.00768789,0.0204292,0.0427627,0.0100112,0.0263672,0.0202296,0,0,0,0,0,0,0,0
15,0.0198466,0,0,0,0,0.0250622,0,0,0,0,0,0,0.0273618,0.0325859,0.0142029,0.0162803,0,0,0.0536343,0,0.0343451,0.0372518,0.0414902,0.00801945,0.00645893,0.00442121,0.02593,0.0259999,0.0100018,0.0100266,0.00716143,0.0100727,0.0161212,0.00800889,0.0262661,0.0376229,0.0419238,0.0197601,0.0309117,0.0117255,0.0289836,0.0152503,0.0162867,0.0312433,0,0,0.0104055,0,0.031051,0.0245815,0.0372272,0.0178119,0.0148093,0.018472,0.0236221,0.0242076,0.00927478,0.0134533,0.00828892,0.0110102,0.0132966,0.0344382,0.0122153,0.0124535,0.0075498,0.0203293,0.0416419,0.0107652,0.0262477,0.0201352,0,0,0,0,0,0,0,0
16,0.0197723,0,0,0,0,0.0250282,0,0,0,0,0,0,0.0264512,0.0323667,0.0139246,0.016265,0,0,0.053571,0,0.0343227,0.0370415,0.0414539,0.00813274,0.00637548,0.00380505,0.0256052,0.0258402,0.00965018,0.00931064,0.00651026,0.00993794,0.0156688,0.00810217,0.0264113,0.0365616,0.0417425,0.0197321,0.0303385,0.0116248,0.0289385,0.0152497,0.0162032,0.0312581,0,0,0.00987159,0,0.0309132,0.0245015,0.0371974,0.0178384,0.0148795,0.0184827,0.0232937,0.0239118,0.00930514,0.0134972,0.00833015,0.0110647,0.0132793,0.0343614,0.0122134,0.012473,0.00739757,0.020247,0.0406891,0.011453,0.0261474,0.0200517,0,0,0,0,0,0,0,0
17,0.0196585,0,0,0,0,0.0249693,0,0,0,0,0,0,0.0255861,0.0322586,0.013636,0.0162378,0,0,0.0534405,0,0.0342607,0.0367563,0.0414959,0.00822694,0.0062944,0.00330329,0.0252642,0.0256257,0.00927089,0.00843999,0.00586651,0.00984301,0.0152661,0.00817719,0.0265641,0.0355441,0.0415642,0.0195942,0.029681,0.0115878,0.0288568,0.01526,0.0161365,0.0312376,0,0,0.00931707,0,0.0307108,0.0242192,0.0372081,0.0178305,0.0149202,0.0184718,0.0229847,0.0234952,0.00931234,0.0135169,0.00835618,0.011095,0.013249,0.0342801,0.0121959,0.01246,0.00723841,0.0200143,0.0396073,0.0121011,0.0260706,0.0199358,0,0,0,0,0,0,0,0
18,0.0196057,0,0,0,0,0.0248773,0,0,0,0,0,0,0.0252898,0.0320646,0.0134826,0.0161915,0,0,0.0533022,0,0.034182,0.036486,0.0420592,0.00820751,0.00632006,0.00315929,0.0250012,0.0253331,0.00896347,0.00791295,0.00537459,0.00989253,0.0151497,0.00829922,0.0266369,0.0353438,0.0413326,0.0195571,0.0290791,0.0116613,0.0288151,0.015322,0.0160047,0.0312353,0,0,0.00893777,0,0.0305878,0.0241014,0.0373415,0.0178599,0.0149379,0.0184143,0.0227671,0.0232556,0.00924307,0.013495,0.00836213,0.0110046,0.0132053,0.0342291,0.0122142,0.0124553,0.00726626,0.019832,0.0389132,0.0126336,0.02592,0.0198851,0,0,0,0,0,0,0,0
19,0.0194607,0,0,0,0,0.0247239,0,0,0,0,0,0,0.0256308,0.0317931,0.0134855,0.0160905,0,0,0.053112,0,0.034111,0.0361995,0.0433204,0.00806907,0.00646576,0.00338042,0.0247677,0.0251489,0.00872216,0.00794928,0.00504496,0.0101457,0.0154189,0.00845718,0.0266583,0.0360751,0.0410453,0.0195722,0.0285356,0.011834,0.0288053,0.0154363,0.0156559,0.0311723,0,0,0.0087758,0,0.0305661,0.0240816,0.0376294,0.0180108,0.0149117,0.0182862,0.0225969,0.0231009,0.00906398,0.0134697,0.00826008,0.0108388,0.0131597,0.0342963,0.0122776,0.0124587,0.00741459,0.019646,0.0384281,0.0129601,0.0257258,0.0198262,0,0,0,0,0,0,0,0
20,0.0193427,0,0,0,0,0.024656,0,0,0,0,0,0,0.0255664,0.0315509,0.0134239,0.0160305,0,0,0.0528963,0,0.0340711,0.035979,0.043719,0.00803199,0.00646054,0.00339429,0.0246271,0.025011,0.00860151,0.00790046,0.00479901,0.0102116,0.0154352,0.00855743,0.0267502,0.0361384,0.040847,0.019645,0.0280416,0.0118169,0.0288351,0.0155393,0.0154793,0.0311061,0,0,0.00881687,0,0.0306135,0.0240555,0.0377256,0.0182082,0.0148703,0.0182429,0.0224674,0.022956,0.00891815,0.0136124,0.00817825,0.0107636,0.013209,0.0343117,0.0123353,0.0125176,0.00738587,0.0194154,0.0380928,0.0131302,0.0256305,0.0197725,0,0,0,0,0,0,0,0
21,0.026464,0,0,0,0,0.0146829,0,0,0,0,0,0,0.0264132,0.0287682,0.0136303,0.0176373,0,0,0.0170331,0,0.0276422,0.0131581,0.0432115,0.00836598,0.00887033,0.0031994,0.03132,0.042252,0.00878884,0.00809155,0.00442826,0.0105482,0.0157552,0.00901236,0.0271636,0.0371686,0.0194507,0.0122765,0.0100576,0.0125111,0.0268148,0.0155856,0.0172838,0.0291595,0,0,0.0159257,0,0.0326652,0.0273696,0.037729,0.0185121,0.0138684,0.0185842,0.0297948,0.0302634,0.00892878,0.0137625,0.00810376,0.010538,0.0134716,0.0344021,0.0122958,0.0125012,0.00883688,0.0272904,0.0369688,0.0155618,0.014336,0.0254796,0,0,0,0,0,0,0,0
22,0.0190389,0,0,0,0,0.023573,0,0,0,0,0,0,0.0239512,0.0313626,0.0129623,0.0161068,0,0,0.0521744,0,0.03369,0.0352838,0.0433744,0.00845716,0.00638848,0.00327977,0.0243002,0.0229692,0.00807138,0.00686415,0.00374554,0.0100538,0.0146025,0.00868287,0.0270535,0.0340944,0.0402906,0.0194473,0.0267545,0.0117119,0.0288584,0.0155479,0.0156297,0.0294109,0,0,0.00826554,0,0.030886,0.023358,0.0376641,0.0182867,0.0149939,0.0182889,0.0220501,0.0209123,0.00894002,0.0137259,0.00768112,0.0108687,0.0131842,0.034592,0.0122467,0.0124945,0.00711942,0.0179999,0.0365953,0.0128611,0.0239056,0.018964,0,0,0,0,0,0,0,0
