Timestep,C7,CBL,CBR,CFL,CFR,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,RFHD,RFIN,RGTR,RHEE,RILC,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RWRA,RWRB,STRN,T10,x71,x72,x73,RKNE,RTHI,RUPA,,RTIBI,RFRM,REAR,CLAV,LTHIA,RTHIA,RTHII,LASI,RASI
265,0.0335917,0,0,0,0,0,0,0,0,0,0,0.0268657,0.0377528,0.0283763,0,0,0.0299873,0,0.0362221,0.0134843,0.0439882,0.0317724,0.00880482,0.00589337,0.011814,0.0123478,0.0111184,0.0104771,0.00745039,0.0114996,0.0135932,0.018288,0.0315754,0.0263738,0.0422022,0.0109419,0.00782225,0.0340156,0.0156126,0.0375279,0,0,0.033732,0.0385968,0.020251,0.0194971,0.0135056,0,0.0116036,0.0126008,0.0318845,0.0153874,0.0148538,0.0081034,0.022732,0.0135992,0.0322358,0,0,0,0.0109917,0.00935585,0.0224753,0,0.0110496,0.0190429,0,0.0134234,0.00979803,0.0107047,0.00588579,0.00649222,0.015149
266,0.033542,0,0,0,0,0,0,0,0,0,0,0.0263429,0.0377221,0.027612,0,0,0.0299758,0,0.0362302,0.0135029,0.044041,0.0311258,0.0088003,0.00601673,0.0116582,0.0123835,0.0108239,0.0103298,0.00750044,0.0112548,0.0135052,0.0180106,0.030892,0.0264003,0.042142,0.0110032,0.00762944,0.0341377,0.0155375,0.0375232,0,0,0.0338061,0.0382348,0.0200151,0.0196507,0.0133895,0,0.0119067,0.0125939,0.0318431,0.0153606,0.0145603,0.00820274,0.0226668,0.0136789,0.0321276,0,0,0,0.0110867,0.00956775,0.0227508,0,0.0110586,0.0194571,0,0.013406,0.00961037,0.0104877,0.00612198,0.00632626,0.0155054
267,0.0335053,0,0,0,0,0,0,0,0,0,0,0.0256045,0.0376061,0.0265756,0,0,0.0298593,0,0.0362899,0.0134151,0.0440373,0.0303469,0.00869091,0.00591047,0.011516,0.0123795,0.0103334,0.0099686,0.0074361,0.0109482,0.0133252,0.0178173,0.0299014,0.0264146,0.041991,0.0111089,0.00767119,0.0342499,0.0157181,0.0374939,0,0,0.0338623,0.0379492,0.0201507,0.0197232,0.013203,0,0.0121673,0.0125201,0.0317789,0.0153308,0.0144196,0.0082695,0.0225523,0.013826,0.0320414,0,0,0,0.0110585,0.00966994,0.0229952,0,0.0110619,0.0197937,0,0.0134957,0.00923106,0.0103629,0.0062044,0.00607321,0.0161421
268,0.0334511,0,0,0,0,0,0,0,0,0,0,0.0254925,0.0373372,0.0259925,0,0,0.0296863,0,0.0364184,0.0132178,0.0440276,0.0300825,0.0085376,0.00600054,0.0111826,0.0123039,0.00995213,0.00982275,0.00724882,0.0105011,0.0131997,0.0173969,0.0293693,0.0264672,0.041732,0.0111023,0.00751505,0.0343463,0.0159027,0.0374552,0,0,0.0339439,0.0378021,0.0203936,0.0197838,0.012758,0,0.0121971,0.0124254,0.031747,0.0153858,0.0142167,0.0083495,0.0223187,0.0139352,0.0318835,0,0,0,0.0110951,0.00971436,0.0233162,0,0.0110799,0.020226,0,0.0135148,0.0089678,0.010385,0.00612377,0.00580725,0.0161959
269,0.0334393,0,0,0,0,0,0,0,0,0,0,0.0251462,0.0371654,0.0253298,0,0,0.0295648,0,0.0363617,0.0130056,0.044057,0.0297802,0.00839316,0.00591478,0.0109864,0.0122203,0.00941535,0.00946986,0.00714196,0.0100755,0.0131577,0.0170551,0.0286665,0.0263893,0.0415856,0.0109827,0.00739551,0.0344671,0.016163,0.0375018,0,0,0.0340554,0.0377623,0.0208089,0.0197906,0.0123525,0,0.0121616,0.0122518,0.0317644,0.0154091,0.0141269,0.00848175,0.02207,0.0140474,0.0318019,0,0,0,0.0110774,0.00965869,0.0235591,0,0.0111895,0.0206926,0,0.0135054,0.00846151,0.0103974,0.00601526,0.00581194,0.0161925
270,0.0334612,0,0,0,0,0,0,0,0,0,0,0.0243111,0.0369654,0.0246763,0,0,0.0294618,0,0.0363415,0.0129129,0.0441421,0.0296309,0.00825792,0.00583282,0.0108654,0.0120784,0.00875035,0.00905751,0.00711009,0.00971547,0.0130722,0.0166382,0.027836,0.0263802,0.0414132,0.0109989,0.00726115,0.034584,0.0163936,0.0374844,0,0,0.0341676,0.0376622,0.0212116,0.0198111,0.0119927,0,0.0120589,0.012139,0.031778,0.0153426,0.0139663,0.00868934,0.0218316,0.0141437,0.0317323,0,0,0,0.0110202,0.00928209,0.0237581,0,0.0113068,0.0212185,0,0.0135165,0.0079055,0.0103245,0.0059386,0.00603477,0.0162869
271,0.0335265,0,0,0,0,0,0,0,0,0,0,0.0233504,0.036752,0.0239741,0,0,0.0293346,0,0.0363685,0.0128538,0.0442798,0.0296202,0.00806702,0.00585331,0.0107481,0.0118701,0.00805634,0.00867225,0.00720323,0.00952717,0.0130849,0.0161832,0.0268783,0.026249,0.0411555,0.0110724,0.0072225,0.034711,0.0166113,0.0372628,0,0,0.0342778,0.0376003,0.0216226,0.0198332,0.0116614,0,0.011843,0.0121069,0.0317404,0.0152311,0.0138264,0.00888375,0.0215802,0.0142325,0.0317237,0,0,0,0.010938,0.0086986,0.0239329,0,0.011368,0.021708,0,0.0136564,0.00738904,0.0102452,0.0057868,0.00633807,0.0165404
272,0.0336569,0,0,0,0,0,0,0,0,0,0,0.0222707,0.036947,0.0231684,0,0,0.0292886,0,0.0361433,0.0127992,0.0444566,0.0291219,0.00785375,0.00591809,0.0107507,0.0116584,0.00735967,0.00826381,0.00747268,0.0095526,0.0132151,0.0157797,0.0257636,0.0260726,0.0410625,0.0109565,0.00734884,0.0348388,0.0168952,0.0370029,0,0,0.0343689,0.0375521,0.0220815,0.0198603,0.0114607,0,0.0114951,0.0120897,0.0316615,0.015139,0.013684,0.00905048,0.021332,0.0142938,0.0317992,0,0,0,0.0108393,0.00870878,0.0241264,0,0.011414,0.0222294,0,0.0137558,0.00695185,0.0102442,0.00560175,0.00628662,0.0169514
273,0.033772,0,0,0,0,0,0,0,0,0,0,0.0214939,0.0371607,0.0225838,0,0,0.0293012,0,0.0358838,0.0127226,0.0447147,0.0289714,0.00765061,0.00617183,0.0107727,0.0115343,0.00684586,0.00813535,0.00782929,0.00968307,0.0133858,0.015261,0.0247439,0.0259537,0.0409939,0.0108227,0.00738986,0.0349413,0.0172488,0.0370591,0,0,0.0344553,0.037503,0.0226017,0.0199555,0.0113935,0,0.0111464,0.0121213,0.0317145,0.0151011,0.0135717,0.00923961,0.0211252,0.0142731,0.0318646,0,0,0,0.010779,0.00862388,0.0243498,0,0.0114642,0.0227361,0,0.0138246,0.0067807,0.0103157,0.00550294,0.00636377,0.0170763
274,0.0338652,0,0,0,0,0,0,0,0,0,0,0.0206574,0.0370203,0.0219228,0,0,0.0291969,0,0.0358833,0.0126883,0.0450816,0.0288212,0.00746157,0.0064543,0.0107914,0.011453,0.00639204,0.00803083,0.0082793,0.009911,0.0136292,0.01485,0.0235173,0.0259263,0.0408579,0.0108825,0.00729713,0.0350325,0.0176965,0.0373217,0,0,0.0345156,0.0374822,0.0231792,0.0201361,0.0113614,0,0.0109311,0.0121399,0.0318346,0.0150993,0.0136187,0.00943213,0.0209985,0.0142014,0.0319118,0,0,0,0.0106903,0.00833175,0.0244923,0,0.0114569,0.0231629,0,0.0138336,0.00678599,0.0103699,0.0054606,0.00655757,0.017011
