Timestep,C7,CBL,CBR,CFL,CFR,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,RFHD,RFIN,RGTR,RHEE,RILC,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RWRA,RWRB,STRN,T10,x71,x72,x73,RKNE,RTHI,RUPA,,RTIBI,RFRM,REAR,CLAV,LTHIA,RTHIA,RTHII,LASI,RASI
All Timesteps RMSE,0.0330177,0,0,0,0,0,0,0,0,0,0,0.0303336,0.0299078,0.0267877,0,0,0.0351167,0,0.0369469,0.0201819,0.0452757,0.0320898,0.0130782,0.0118858,0.0310978,0.0267186,0.0140015,0.0161634,0.0107535,0.014549,0.013996,0.0177948,0.0376917,0.0318994,0.0319054,0.0144351,0.0172523,0.0347125,0.0243491,0.0368422,0,0,0.0300968,0.0405932,0.0325029,0.019353,0.0322859,0.132319,0.0153681,0.0159146,0.0292834,0.0193797,0.021583,0.0235194,0.0306798,0.0189987,0.0325226,0,0,0,0.0146105,0.0123132,0.0416745,0,0.0152245,0.0393669,0,0.015686,0.0116165,0.0127933,0.00803878,0.00806514,0.0173601
0,0.04211,0,0,0,0,0,0,0,0,0,0,0.00839331,0.0369286,0.00492404,0,0,0.0507616,0,0.0641789,0.0375219,0.0498737,0.0136739,0.0376365,0.0344231,0.0933809,0.0634545,0.033979,0.0423096,0.016364,0.0184179,0.0124839,0.023891,0.0248727,0.0444919,0.0345728,0.0394385,0.0557024,0.0255289,0.0434076,0.0325447,0,0,0.0390993,0.0734775,0.0479936,0.0267361,0.0982711,0.0851463,0.0596469,0.0210581,0.0162611,0.0153171,0.0578387,0.0194384,0.0373899,0.0332614,0.0362568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0441395,0,0,0,0,0,0,0,0,0,0,0.0072496,0.0372287,0.00493804,0,0,0.0519206,0,0.0659695,0.0380269,0.0494221,0.0150564,0.0379793,0.0335766,0.0929179,0.0630893,0.0340502,0.0417837,0.0146501,0.0168196,0.0113186,0.0235949,0.0246614,0.0458932,0.0345486,0.0398343,0.0556145,0.0275868,0.0465006,0.0348873,0,0,0.0395422,0.072914,0.0530761,0.0264741,0.0978795,0.0901965,0,0.0220002,0.014479,0.0154473,0.0555671,0.0192228,0.0398109,0,0.0377594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0438684,0,0,0,0,0,0,0,0,0,0,0.00693761,0.0368292,0.00539454,0,0,0.0516156,0,0.0654014,0.0373132,0.0500705,0.0146953,0.0385385,0.0323714,0.0950191,0.0628746,0.0326802,0.0405624,0.0146653,0.0165693,0.0112754,0.0237575,0.0244922,0.0454448,0.0342373,0.0390067,0.0551191,0.0277489,0.0434553,0.0340095,0,0,0.0390454,0.0720718,0.0478222,0.0272818,0.10049,0.0912033,0.0567698,0.0211101,0.0156046,0.015263,0.0571958,0.0190911,0.0372512,0.0342883,0.0376516,0,0,0,0.0410173,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0437928,0,0,0,0,0,0,0,0,0,0,0.00692937,0.0358768,0.00526686,0,0,0.0508115,0,0.0645261,0.0360937,0.0504544,0.014571,0.0385418,0.0314643,0.095802,0.0620768,0.031827,0.0397266,0.0146954,0.0164593,0.0112848,0.0235607,0.0242099,0.0446345,0.0332924,0.0377161,0.0555193,0.0277071,0.0477698,0.0337109,0,0,0.0381587,0.0705219,0.0550606,0.0268418,0.101319,0.0908337,0,0.021536,0.013802,0.0146881,0.0544293,0.018988,0.0397777,0.0341968,0.0378778,0,0,0,0.0444599,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0438194,0,0,0,0,0,0,0,0,0,0,0.00690145,0.0351585,0.00493931,0,0,0.0503278,0,0.0642507,0.0351973,0.0503796,0.0143886,0.0385409,0.0312688,0.0958871,0.0615563,0.0315434,0.0395219,0.014771,0.016464,0.0110676,0.0234993,0.0240535,0.0441706,0.0325397,0.0368421,0.0548455,0.0275855,0.0475938,0.0335222,0,0,0.0371468,0.0701634,0.0549835,0.0272217,0.101541,0.0905621,0,0.0214058,0.0136817,0.014768,0.0535318,0.0192007,0.0372275,0.0341502,0.0380782,0,0,0,0.0442559,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0371745,0,0,0,0,0,0,0,0,0,0,0.00708003,0.0323835,0.00398771,0,0,0.0490575,0,0.0620203,0.0332601,0.0505295,0.0142972,0.0376317,0.0319388,0.0945683,0.0600845,0.0317524,0.0400322,0.0153184,0.0169109,0.0112293,0.0237453,0.0237844,0.0429305,0.0301953,0.0339551,0.075818,0.040528,0.0564416,0.026575,0,0,0.0337017,0.0726152,0.0573094,0.0295295,0.100889,0.140206,0,0.0245677,0,0.0232113,0.0809525,0.0206,0.0234957,0.037276,0.0301296,0,0,0,0.0396107,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0413455,0,0,0,0,0,0,0,0,0,0,0.00659002,0.0327033,0.00450883,0,0,0.0485675,0,0.0622227,0.033103,0.0505877,0.0149138,0.0383515,0.0303297,0.0969146,0.0598632,0.0305386,0.0386711,0.0149733,0.0163973,0.0109924,0.0231632,0.0231151,0.042666,0.0306425,0.0339866,0.0529577,0.0436991,0.0467592,0.0298915,0,0,0.0404015,0.0698202,0.0539466,0.0275825,0.102614,0.14813,0,0.0214137,0.0133501,0.0154086,0.0511586,0.0287429,0.0377242,0.0342305,0.0358273,0,0,0,0.0434297,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0412806,0,0,0,0,0,0,0,0,0,0,0.00657096,0.0323904,0.00362602,0,0,0.0485437,0,0.0618158,0.0325262,0.0498884,0.015759,0.0381348,0.0311422,0.0956381,0.0594558,0.0313486,0.0394996,0.0151489,0.0166729,0.0113039,0.0229211,0.0230709,0.0429924,0.0300445,0.0332515,0.0517907,0.0437509,0.0461731,0.0298016,0,0,0.0391092,0.0706774,0.0532506,0.0278527,0.101258,0.147918,0,0.0214762,0.0134338,0.0159588,0.0499521,0.0302595,0,0.0334293,0.0358829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0422316,0,0,0,0,0,0,0,0,0,0,0.0065733,0.032919,0.00352454,0,0,0.0487542,0,0.0615361,0.0317922,0.0498245,0.0150737,0.0383131,0.0311214,0.0949136,0.059168,0.0321621,0.0395158,0.0136948,0.0154313,0.0112052,0.0235091,0.0238703,0.0435799,0.0293358,0.0323704,0.0697571,0.042698,0.0574939,0.030532,0,0,0.0388229,0.0724511,0.0620744,0.0286299,0.100433,0.147684,0,0.0176688,0,0.0186662,0.0713809,0.0308489,0,0.0322591,0.0370667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0467066,0,0,0,0,0,0,0,0,0,0,0.00660096,0.0360182,0.00406862,0,0,0.0500706,0,0.0648121,0.0326739,0.0487296,0.0151171,0.0392086,0.0322129,0.0947995,0.0605821,0.0325727,0.040524,0.0150636,0.0165688,0.0114017,0.0240028,0.0243997,0.0449641,0.0305324,0.0342738,0.0519752,0,0.0458573,0.0361707,0,0,0.00944786,0.0705723,0.0521961,0.0280952,0.10039,0.151615,0,0.020517,0.0144495,0.0157766,0.0506814,0.0692075,0,0.0318011,0.0416975,0,0,0,0.0408918,0,0,0,0,0,0,0,0,0,0,0,0
10,0.053673,0,0,0,0,0,0,0,0,0,0,0.0111331,0.0364876,0.00379938,0,0,0.0501871,0,0.0658992,0.0323795,0.0497173,0.0180819,0.0404986,0.0342119,0.0929617,0.0601537,0.034205,0.042453,0.0169604,0.018857,0.0136463,0.0238367,0.0260719,0.0456104,0.0309452,0.0343221,0.0515339,0,0.0443097,0.0441834,0,0,0.00754628,0.0716044,0.049061,0.0295428,0.0994772,0.152503,0,0.0213633,0.0155417,0.0180864,0.0515391,0.0648125,0,0.0279569,0.0491674,0,0,0,0,0.049107,0.133317,0,0,0,0,0,0,0,0,0,0
11,0.0448874,0,0,0,0,0,0,0,0,0,0,0.00778577,0.0362665,0.00383455,0,0,0.048254,0,0.0643719,0.0298187,0.0493749,0.0146096,0.0400374,0.0326063,0.095106,0.0582034,0.032866,0.0407914,0.0154973,0.0169776,0.0117922,0.0246582,0.0249952,0.0436169,0.0283652,0.031533,0.0768643,0.0420547,0.0615607,0.0328146,0,0,0.0378285,0.0719537,0.0640783,0.0299642,0.101281,0.148695,0,0.024431,0,0.0255038,0.0800424,0.0335598,0,0.0306507,0.0399944,0,0,0,0.0385806,0.0485393,0,0,0,0,0,0,0,0,0,0,0
12,0.0440588,0,0,0,0,0,0,0,0,0,0,0.00711534,0.0372064,0.00420601,0,0,0.0494778,0,0.0661273,0.0302266,0.0483218,0.0145975,0.0404728,0.0322406,0.0962611,0.0589418,0.0325523,0.0404617,0.0151828,0.0166699,0.0110899,0.0245158,0.0249644,0.0450831,0.0282649,0.032166,0.0489429,0.0414897,0.0413586,0.0315362,0,0,0.0356558,0.0701987,0.0458508,0.0303639,0.102158,0.147984,0,0.019344,0.0160842,0.0153838,0.0490141,0.0344015,0,0.0313546,0.0387245,0,0,0,0.0372356,0.0473448,0.0555212,0,0,0,0,0,0,0,0,0,0
13,0.0432536,0,0,0,0,0,0,0,0,0,0,0.0119118,0.0347964,0.00374341,0,0,0.0492493,0,0.0643499,0.028869,0.0507,0.0176525,0.0410168,0.0327815,0.0948819,0.0574276,0.0326819,0.0410069,0.0173064,0.0191466,0.0138049,0.0236323,0.0263893,0.0450633,0.0261447,0.0299489,0.0789272,0,0.064412,0.0303319,0,0,0.00837267,0.0697333,0.0668402,0.0305891,0.10144,0.147969,0.0456765,0.0268183,0,0.0282216,0.0818935,0.0619794,0,0.0298356,0.0382138,0,0,0,0.0336794,0.0442545,0.0508763,0,0,0,0,0,0,0,0,0,0
14,0.0445854,0,0,0,0,0,0,0,0,0,0,0.00834784,0.0369952,0.00314572,0,0,0.0510767,0,0.0673495,0.0306401,0.0481266,0.0147719,0.0397732,0.0324463,0.0930458,0.0589983,0.0328966,0.040796,0.0153191,0.0169476,0.0111054,0.0241835,0.0255507,0.0465388,0.0268249,0.0322868,0.0480938,0,0.039267,0.0333175,0,0,0.0110524,0.0702189,0.0422204,0.0292064,0.0985756,0.152473,0.0500001,0.0202938,0.0174489,0.0169735,0.0497236,0.0640494,0,0.0324642,0.0389096,0,0,0,0.0342472,0.0455218,0,0,0,0,0,0,0,0,0,0,0
15,0.0441297,0,0,0,0,0,0,0,0,0,0,0.00927078,0.036416,0.00334403,0,0,0.0491019,0,0.0665626,0.0296546,0.0475739,0.0152434,0.039031,0.0329225,0.0908914,0.0570197,0.0332049,0.0412248,0.0156852,0.0173664,0.0113798,0.0245824,0.0264731,0.0441486,0.0258536,0.0320867,0.0476228,0,0.0388157,0.033602,0,0,0.0104136,0.0698873,0.0413929,0.0284924,0.0960863,0.153386,0.0498791,0.0200447,0.0176805,0.0169072,0.0496638,0.0618691,0,0.032942,0.0392718,0,0,0,0.0336327,0.0451301,0.0492667,0,0,0,0,0,0,0,0,0,0
16,0.0431232,0,0,0,0,0,0,0,0,0,0,0.00970423,0.0348466,0.00280447,0,0,0.0488066,0,0.0655624,0.0290576,0.0478619,0.0161651,0.0380053,0.0322486,0.0892949,0.0562186,0.0325708,0.0406525,0.0156954,0.017388,0.0112916,0.0239364,0.0258832,0.0438758,0.0244033,0.0311106,0.0466444,0,0.0385709,0.0331984,0,0,0.0101149,0.0695037,0.041197,0.0279212,0.0946091,0.155071,0.0490144,0.0205279,0.0172294,0.0175414,0.0483536,0.0586045,0,0.0340538,0.0381102,0,0,0,0.0330594,0.0444295,0,0,0,0,0,0,0,0,0,0,0
17,0.0375307,0,0,0,0,0,0,0,0,0,0,0.0110522,0.0326703,0.0024302,0,0,0.0471541,0,0.0630296,0.0278451,0.0490153,0.0164574,0.03621,0.0316898,0.0866748,0.0543202,0.0317027,0.0400826,0.0165906,0.0181905,0.0119673,0.0235159,0.0259748,0.0417236,0.0224821,0.029376,0.0460491,0,0.0387326,0.0290583,0,0,0,0.068774,0.041307,0.0271675,0.0922975,0.155545,0.0477573,0.0211,0.0170755,0.0184962,0.0474268,0.0775875,0,0.036366,0.0327348,0,0,0,0.0327244,0.0433185,0,0,0,0,0,0,0,0,0,0,0
18,0.0370268,0,0,0,0,0,0,0,0,0,0,0.0115575,0.0313019,0.00178421,0,0,0.0461413,0,0.0614339,0.0273079,0.0484279,0.0166135,0.0353012,0.031556,0.084942,0.0531813,0.0314332,0.0398139,0.0166841,0.018317,0.0117621,0.0231399,0.0265486,0.0403553,0.0212344,0.0286452,0.0455325,0,0.0386051,0.0289549,0,0,0,0.0679415,0.0411076,0.0271821,0.090388,0.156894,0.047642,0.0212243,0.0167981,0.0187825,0.0468931,0.0723195,0,0.0375448,0.0326903,0,0,0,0.0322478,0.0422661,0,0,0,0,0,0,0,0,0,0,0
19,0.0365843,0,0,0,0,0,0,0,0,0,0,0.0121722,0.0300032,0.00126207,0,0,0.0450074,0,0.0598014,0.0265057,0.0484304,0.0166888,0.0342933,0.0310476,0.0838333,0.0518351,0.0309655,0.0390745,0.016897,0.0185146,0.0118269,0.0227459,0.0266372,0.039143,0.0194733,0.0275098,0.0443274,0,0.0380514,0.028634,0,0,0,0.0673196,0.0405387,0.0268136,0.0892528,0.156996,0.0473301,0.021418,0.0165053,0.0190793,0.0454733,0.0720202,0,0.038257,0.0328455,0,0,0,0.0315211,0.0413958,0,0,0,0,0,0,0,0,0,0,0
20,0.0394627,0,0,0,0,0,0,0,0,0,0,0.0124225,0.0293357,0.000963389,0,0,0.0446813,0,0.0594025,0.0257725,0.0479394,0.0167046,0.0336896,0.030577,0.0836193,0.0509809,0.0307896,0.0383733,0.0166342,0.0181939,0.0116809,0.0223284,0.0261095,0.039219,0.0178342,0.0264903,0.042612,0,0.0369197,0.0309889,0,0,0.00731506,0.0670988,0.0394185,0.0262714,0.0888115,0.158077,0.0469127,0.0215254,0.0159345,0.0190702,0.0434996,0.0510002,0,0.0384689,0.0356309,0,0,0,0.030762,0.0408195,0,0,0,0,0,0,0,0,0,0,0
21,0.0393429,0,0,0,0,0,0,0,0,0,0,0.0130441,0.0286044,0.000861116,0,0,0.0435914,0,0.0576105,0.0246972,0.0481453,0.016671,0.0327986,0.0299133,0.0830093,0.0493982,0.0301529,0.0378535,0.0168088,0.0183463,0.0118303,0.0218212,0.0261906,0.0380857,0.0163419,0.0249878,0.0413611,0,0.0364515,0.0305837,0,0,0.00757235,0.066431,0.0390235,0.0260297,0.0882485,0.157737,0.0462058,0.0219165,0.0155374,0.0195606,0.0418793,0.0486646,0,0.038644,0.036105,0,0,0,0.0300546,0.0400546,0,0,0,0,0,0,0,0,0,0,0
22,0.0362092,0,0,0,0,0,0,0,0,0,0,0.0140652,0.027688,0.00107095,0,0,0.0421812,0,0.0545948,0.0235998,0.0489748,0.0169789,0.0316175,0.0290993,0.0818847,0.0474261,0.0290401,0.0372528,0.0173387,0.0188954,0.0122145,0.0209599,0.026579,0.0362077,0.0150484,0.022948,0.0403971,0,0.0365218,0.0274452,0,0,0,0.065451,0.039161,0.0260728,0.087373,0.156185,0.0452721,0.0226276,0.0151782,0.0205303,0.0404121,0.0814478,0,0.0391226,0.0340566,0,0,0,0.0293089,0.0390761,0,0,0,0,0,0,0,0,0,0,0
23,0.0361122,0,0,0,0,0,0,0,0,0,0,0.0146053,0.0272455,0.0015978,0,0,0.0414266,0,0.0527176,0.0227917,0.0490484,0.0172788,0.030546,0.0284869,0.0808726,0.0459668,0.028257,0.0366809,0.017562,0.0191094,0.0123824,0.0204212,0.026654,0.0355033,0.0138732,0.0213981,0.0384758,0,0.0351115,0.0272935,0,0,0,0.0650581,0.037582,0.025953,0.0862835,0.156079,0.0448413,0.0222556,0.0148079,0.0200447,0.0383649,0.0832868,0,0.0397772,0.0345356,0,0,0,0.0285898,0.0384492,0,0,0.0308235,0,0,0,0,0,0,0,0
24,0.0360361,0,0,0,0,0,0,0,0,0,0,0.015233,0.0266034,0.00232716,0,0,0.0403875,0,0.0505244,0.0219772,0.0492509,0.0174517,0.029364,0.0276573,0.0799235,0.0442954,0.0273289,0.0358072,0.0177912,0.0193345,0.0126891,0.0198479,0.0267087,0.0346947,0.0127032,0.0196689,0.0378301,0,0.0357987,0.02723,0,0,0,0.0642277,0.0384672,0.0255925,0.0852278,0.155713,0.0437654,0.0234675,0.0142254,0.0215818,0.0370343,0.0829463,0,0.0409128,0.0349838,0,0,0,0.027851,0.037456,0,0,0,0,0,0,0,0,0,0,0
25,0.0353101,0,0,0,0,0,0,0,0,0,0,0.0151586,0.0243201,0.00619225,0,0,0.0376042,0,0.0452343,0.0197482,0.0445416,0.0186869,0.0274302,0.0259539,0.0778028,0.0409919,0.0291331,0.0356556,0.0156173,0.0172082,0.0130641,0.0190174,0.0233818,0.0316368,0.0110977,0.0151645,0.0304635,0,0.00703378,0.0286456,0,0,0,0,0.0282586,0.0131702,0.0772752,0.153503,0.0644777,0.0278745,0,0.0206203,0.0414071,0.0767071,0,0.038727,0.0376674,0,0,0,0.0415987,0.0653814,0,0,0,0,0,0,0,0,0,0,0
26,0.0353041,0,0,0,0,0,0,0,0,0,0,0.0160856,0.0233,0.00660126,0,0,0.0364109,0,0.0424512,0.0188925,0.0445776,0.0195127,0.0262377,0.0245794,0.0771504,0.0389757,0.0277631,0.0343783,0.0160837,0.017525,0.0135569,0.017596,0.0224668,0.0304792,0.0119555,0.0129961,0.0134072,0,0.0275676,0.0282618,0,0,0,0,0.0501546,0.0123212,0.0765412,0.15413,0.0575866,0.0224323,0.013703,0.022695,0.024024,0.0858273,0,0.0402867,0.0377683,0,0,0,0,0.0587005,0,0,0.0201101,0.0682385,0,0,0,0,0,0,0
27,0.0327802,0,0,0,0,0,0,0,0,0,0,0.0167964,0.0231552,0.00455579,0,0,0.0379642,0,0.0419696,0.0198282,0.0509201,0.0185296,0.0225956,0.0235957,0.0758926,0.0389377,0.0229285,0.0316584,0.0191321,0.0201222,0.0137889,0.0170941,0.0252792,0.0323541,0.0117809,0.0123731,0.0293663,0,0.0299142,0.0247531,0,0,0.0174173,0.0638486,0.0312182,0.0252778,0.0815748,0.15522,0.0405128,0.0264413,0.0115229,0.024561,0.0293405,0.0556605,0,0.0467394,0.032495,0,0,0,0.0237727,0.0342356,0,0,0.0297715,0.0677896,0,0,0,0,0,0,0
28,0.0364401,0,0,0,0,0,0,0,0,0,0,0.0178803,0.0233145,0.00473887,0,0,0.0361694,0,0.0417947,0.0189974,0.0506231,0.018038,0.0234485,0.0240304,0.0752437,0.0374116,0.0231838,0.0319882,0.0192195,0.0203248,0.0140505,0.0175422,0.0272494,0.0307296,0.0119828,0.0122888,0.0316913,0,0.0332187,0.0276717,0,0,0,0.0622092,0.0357385,0.024937,0.0805334,0.151843,0.0402815,0.0250451,0.0118876,0.0233631,0.0299164,0.0755153,0,0.0461447,0.0371354,0,0,0,0.0239837,0.03388,0,0,0.0293533,0,0,0,0,0,0,0,0
29,0.0339853,0,0,0,0,0,0,0,0,0,0,0.0196531,0.0274467,0.00776445,0,0,0.0319273,0,0.0445004,0.0158096,0.0529743,0.020628,0.0193315,0.021452,0.0733637,0.0330987,0.0193023,0.0289221,0.0214323,0.022177,0.0159303,0.0147022,0.0267265,0.0273842,0.00550722,0.0109754,0.02911,0,0.0332627,0.0245725,0,0,0.0187283,0.0593966,0.0359406,0.026034,0.0788214,0.151622,0.0377289,0.0273349,0.00946144,0.0253226,0.0258103,0.055011,0,0.0519589,0.03535,0,0,0,0.021008,0.0305543,0,0,0.0308268,0.0672948,0,0,0,0,0,0,0
30,0.0345789,0,0,0,0,0,0,0,0,0,0,0.019934,0.0236467,0.00783448,0,0,0.0321065,0,0.0394956,0.0161201,0.0525259,0.0206446,0.019115,0.0215016,0.0722775,0.0331919,0.019306,0.0289197,0.0213258,0.0221089,0.0157043,0.0147261,0.0276743,0.0274963,0.0105368,0.00705585,0.0284058,0,0.0330931,0.025249,0,0,0.0166064,0.0588348,0.0358802,0.0260127,0.0775267,0.150154,0.0374409,0.0272162,0.00964884,0.0253155,0.0247374,0.0530963,0,0.0523893,0.0362581,0,0,0,0.0209093,0.0299714,0,0,0.0307542,0.0635325,0,0,0,0,0,0,0
31,0.0350037,0,0,0,0,0,0,0,0,0,0,0.0197531,0.0217825,0.00750772,0,0,0.0326259,0,0.0338476,0.0175355,0.0549123,0.0207557,0.015384,0.0213372,0.0719902,0.0300399,0.0173898,0.0278164,0.0222786,0.0231731,0.0156695,0.014759,0.0302532,0.0268765,0.0180795,0.00768008,0.0458375,0,0.0404036,0.0219272,0,0,0.0156862,0.0490409,0.041064,0,0.0856455,0.143852,0.031426,0.0273529,0,0.0247491,0.0464131,0.0492379,0,0.0525943,0.0349115,0,0,0,0.016762,0.0240091,0,0,0.0370225,0.0529298,0,0,0,0,0,0,0
32,0.0333861,0,0,0,0,0,0,0,0,0,0,0.0203336,0.0210586,0.00815163,0,0,0.0330244,0,0.0336722,0.018305,0.0512752,0.020817,0.0183893,0.0217227,0.0696237,0.033225,0.0196223,0.0290726,0.020976,0.0222257,0.0156242,0.0146122,0.0293875,0.0279294,0.0169714,0.00841338,0.027041,0,0.0328245,0.024883,0,0,0.0150395,0.0587432,0.0356616,0.0248055,0.0745161,0.144907,0.0373531,0.0272599,0.00982093,0.0255358,0.0229935,0.0498738,0,0.0523772,0.0361657,0,0,0,0,0.0304192,0,0,0.0309141,0.0512139,0,0,0,0,0,0,0
33,0.0336122,0,0,0,0,0,0,0,0,0,0,0.0208858,0.0210196,0.00814015,0,0,0.0328909,0,0.0335616,0.018313,0.0514704,0.0205788,0.0184784,0.0211953,0.069729,0.032605,0.0190664,0.0284502,0.0210475,0.0221641,0.0157124,0.014477,0.0299532,0.0280606,0.0167057,0.0084083,0.0268617,0,0.0335539,0.0249511,0,0,0.0143336,0.0579998,0.0368678,0.0249562,0.0744802,0.144127,0.0364994,0.0275032,0.00954165,0.025548,0.0219156,0.0514959,0,0.0524685,0.0364642,0,0,0,0.0204238,0.0302262,0,0,0.0309597,0.050651,0,0,0,0,0,0,0
34,0.0336685,0,0,0,0,0,0,0,0,0,0,0.0214363,0.0210283,0.00819608,0,0,0.0328513,0,0.0334744,0.0183608,0.0512766,0.0204923,0.0183655,0.021163,0.0691161,0.032183,0.0189385,0.0282754,0.0210846,0.0220023,0.0156744,0.0143544,0.0307027,0.0282381,0.0164555,0.0082727,0.0262802,0,0.0337309,0.0249999,0,0,0.0136593,0.0576206,0.0373911,0.0247132,0.0736112,0.14296,0.0360506,0.0272841,0.00944744,0.025634,0.0208476,0.0533011,0,0.0523608,0.0367858,0,0,0,0.020275,0.0295004,0,0,0.0307624,0.0503753,0,0,0,0,0,0,0
35,0.0334045,0,0,0,0,0,0,0,0,0,0,0.0220301,0.0209972,0.00836822,0,0,0.0328313,0,0.0333338,0.0184594,0.050479,0.0206726,0.0181608,0.0215482,0.0678924,0.0320664,0.0192526,0.0284964,0.020946,0.021995,0.015599,0.0142747,0.0314687,0.0284869,0.016242,0.00816087,0.0254471,0,0.0334985,0.0250853,0,0,0.0131658,0.0575998,0.0374654,0.0239429,0.0718544,0.141978,0.0361552,0.0264542,0.00930497,0.0255588,0.0196921,0.0548203,0,0.0519844,0.0370224,0,0,0,0,0,0,0,0.0302462,0.0503838,0,0,0,0,0,0,0
36,0.034321,0,0,0,0,0,0,0,0,0,0,0.0224559,0.0212942,0.00788989,0,0,0.0325183,0,0.033336,0.0179131,0.0536345,0.0204146,0.0153543,0.0206751,0.0692076,0.027738,0.0163796,0.0264734,0.0220186,0.0233781,0.0157426,0.0141581,0.0339897,0.0278149,0.0167647,0.00782449,0.0215657,0,0.0279364,0.0221536,0,0,0.0127238,0.0471598,0.0296595,0,0.0812084,0.139115,0.0318476,0.0254264,0.00889034,0.0235874,0.0177623,0.0559675,0,0.0523584,0.0357551,0,0,0,0.014336,0.0234527,0,0,0.0288777,0.0507845,0,0,0,0,0,0,0
37,0.0344679,0,0,0,0,0,0,0,0,0,0,0.023153,0.0213625,0.00803727,0,0,0.0325133,0,0.0332754,0.0178705,0.0534367,0.0204567,0.0153726,0.0206637,0.0686205,0.0272738,0.0161477,0.0262947,0.0219827,0.0236206,0.0157402,0.0140682,0.0348997,0.0281302,0.0165878,0.00784192,0.0212204,0,0.0283198,0.0221048,0,0,0.0120877,0.0463142,0.0303185,0,0.0804375,0.138332,0.0310817,0.0253758,0.00863798,0.0236129,0.0169703,0.0557071,0.0563794,0.0519928,0.0361482,0,0,0,0.0138075,0.022734,0,0,0.0285671,0.0501595,0,0,0,0,0,0,0
38,0.0340947,0,0,0,0,0,0,0,0,0,0,0.0236629,0.0214176,0.00821792,0,0,0.0325009,0,0.0332649,0.0178197,0.0532901,0.0205718,0.0154671,0.0206047,0.0682483,0.0265121,0.016003,0.0261026,0.0219453,0.0235234,0.0157144,0.0139706,0.0355525,0.0285668,0.0164795,0.00765705,0.0210278,0,0.0295236,0.0215533,0,0,0.0119065,0.0459646,0.0322639,0,0.0797201,0.137224,0.030631,0.0259473,0.00860786,0.0245237,0.0159681,0.0570932,0,0.0511794,0.0359895,0,0,0,0.0137758,0.022509,0,0,0,0.0508567,0,0,0,0,0,0,0
39,0.0342366,0,0,0,0,0,0,0,0,0,0,0.0243209,0.0215141,0.00858219,0,0,0.0325022,0,0.0332053,0.0178389,0.0526122,0.0205683,0.0152396,0.0206268,0.0674653,0.0257407,0.0162407,0.0260682,0.0217754,0.0230893,0.015653,0.0138685,0.0361298,0.0293406,0.0163547,0.00731878,0.0199835,0,0.0288594,0.0215632,0,0,0.0114738,0.0467528,0.0320112,0,0.0783363,0.135585,0.0314566,0.0246514,0.00855503,0.023583,0.0144232,0.0554669,0.0594521,0.0497537,0.0363314,0,0,0,0,0,0,0,0.0282659,0.048951,0,0,0,0,0,0,0
40,0.0337663,0,0,0,0,0,0,0,0,0,0,0.0248595,0.0215237,0.00873681,0,0,0.0324289,0,0.0331007,0.0179225,0.0527824,0.0204669,0.0152062,0.0200076,0.0668203,0.0253791,0.0156528,0.0253592,0.0218973,0.0227237,0.0156633,0.0137227,0.0370413,0.0296676,0.0161571,0.00691046,0.0204225,0,0.0305428,0.021259,0,0,0.0114525,0.0456531,0.0343313,0,0.0775713,0.133158,0.0303781,0.0254368,0.00834433,0.0244695,0.0139129,0.0561289,0,0.0498806,0.0360359,0,0,0,0.0135622,0.0225681,0,0,0,0.0494402,0,0,0,0,0,0,0
41,0.0342016,0,0,0,0,0,0,0,0,0,0,0.0256581,0.0216494,0.00899937,0,0,0.0323407,0,0.0331339,0.0179163,0.0523985,0.0202698,0.0155601,0.0196599,0.0668493,0.024474,0.0155375,0.0249615,0.0217232,0.0224565,0.0156724,0.0135542,0.0378147,0.0293292,0.0162477,0.00654061,0.0196557,0,0.0300203,0.0210256,0,0,0.0117328,0.0457069,0.0340122,0,0.0778593,0.128106,0.0306802,0.0247036,0.0082917,0.023671,0.0126423,0.0545491,0.0550449,0.047757,0.0370958,0,0,0,0.0133947,0.022774,0,0,0.0285157,0.0475816,0,0.038721,0,0,0,0,0
