Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,LWRA
All Timesteps RMSE,0.0140805,0,0,0,0,0.0258038,0,0,0,0,0,0,0.0352168,0.0286965,0.0290008,0.0214152,0,0,0.0226585,0,0.0298068,0.0239419,0.0411916,0.0274733,0.00387831,0.0105127,0.0313797,0.0333443,0.0173378,0.0155692,0.0140762,0.00803271,0.0140108,0.0122892,0.0177883,0.0377829,0.0224516,0.0252257,0.0132948,0.0314737,0.00943987,0.0165535,0.0273906,0,0,0.0182874,0,0.0312705,0.02084,0.0379043,0.00730056,0.0147386,0.0132387,0.0294298,0.0325471,0.0114427,0.0131724,0.00718204,0.0112564,0.0087736,0.0307171,0.00883416,0.00946201,0.0140737,0.0163449,0.0328926,0.0328654,0.0282724,0.0129532,0,0,0,0.0272609
0,0.0146022,0,0,0,0,0.0433488,0,0,0,0,0,0,0.0317337,0.0301938,0.0276,0.0210713,0,0,0.0222754,0,0.0269038,0.0311406,0.0417829,0.0269807,0.0036034,0.00887204,0.0288665,0.0368899,0.0178731,0.0163752,0.0132307,0.00720122,0.0126128,0.01216,0.0170069,0.0340678,0.0234505,0.0365668,0.0124752,0.0327821,0.00814848,0.0157955,0.0456872,0,0,0.00929417,0,0.0303829,0.0230756,0.0382206,0.00683437,0.0149676,0.012194,0.0267191,0.0521801,0.0119896,0.013695,0.00904018,0.0112281,0.00821829,0.0303659,0.00839393,0.00816855,0.0132727,0.0239696,0.0340815,0.0374324,0.0493866,0.0162655,0,0,0,0
1,0.0142755,0,0,0,0,0.0429124,0,0,0,0,0,0,0.0313467,0.030312,0.0275511,0.021161,0,0,0.0223463,0,0.02697,0.0312767,0.0417797,0.0269884,0.00357431,0.00878477,0.028923,0.0362697,0.0177545,0.0160619,0.0131072,0.00718228,0.0126527,0.0121698,0.0170384,0.0340804,0.0230852,0.0368505,0.0124194,0.0326889,0.00801601,0.0159234,0.0447919,0,0,0.00929347,0,0.0305724,0.0230909,0.0381685,0.00688864,0.0149535,0.0124106,0.0269735,0.0511522,0.0120208,0.0136244,0.00900724,0.0112539,0.00848758,0.0303068,0.0084969,0.00830258,0.0131067,0.0234046,0.0340251,0.0372847,0.0488225,0.0157359,0,0,0,0
2,0.0142112,0,0,0,0,0.0426528,0,0,0,0,0,0,0.0314582,0.0302441,0.0275833,0.0211675,0,0,0.022278,0,0.0269178,0.0312589,0.0418274,0.0270003,0.00358422,0.00881531,0.0288887,0.0360128,0.0176778,0.0157741,0.0131076,0.0071662,0.0126799,0.0121805,0.017077,0.0341877,0.0229913,0.0368027,0.0125793,0.0327388,0.00808253,0.015944,0.0443809,0,0,0.00928564,0,0.0306802,0.0227976,0.0381362,0.00702791,0.0149292,0.012474,0.0270389,0.0507139,0.0119887,0.0134653,0.0089959,0.0112646,0.00865251,0.0300958,0.00860066,0.00840492,0.0132471,0.0233483,0.0339273,0.0368997,0.0485023,0.0155616,0,0,0,0
3,0.0140608,0,0,0,0,0.0423847,0,0,0,0,0,0,0.0317025,0.0301282,0.0276021,0.0211862,0,0,0.0220622,0,0.0268369,0.0310651,0.0418987,0.0269282,0.00358733,0.00882962,0.0287884,0.0357727,0.017605,0.0156175,0.0131107,0.0071181,0.0126556,0.0121878,0.0171012,0.0342504,0.0227571,0.0366336,0.0126674,0.0327941,0.00813978,0.0159909,0.0438964,0,0,0.00930128,0,0.0307988,0.0224819,0.0380777,0.00730819,0.014988,0.0124651,0.027024,0.0502414,0.0119574,0.0132245,0.00897653,0.0113133,0.00873888,0.0300748,0.00861075,0.00851871,0.013396,0.0232439,0.0338968,0.0364788,0.0481442,0.0152674,0,0,0,0
4,0.0139086,0,0,0,0,0.0421649,0,0,0,0,0,0,0.0318578,0.0300909,0.0276153,0.0212208,0,0,0.0219197,0,0.026838,0.0309152,0.0419461,0.0268803,0.00359131,0.00883625,0.0287456,0.0355736,0.0175416,0.0155184,0.0131308,0.00710838,0.012622,0.0121919,0.0171186,0.0343313,0.0226958,0.0365441,0.0126843,0.0328456,0.00825348,0.0161072,0.043501,0,0,0.00927094,0,0.0309321,0.0221184,0.0380006,0.0076861,0.0150696,0.0124889,0.0270031,0.0498373,0.0119612,0.0131029,0.00886668,0.0113635,0.00885419,0.0304229,0.00858361,0.00871328,0.0134542,0.0231988,0.0339028,0.036048,0.0478416,0.0150473,0,0,0,0
5,0.0137981,0,0,0,0,0.0420282,0,0,0,0,0,0,0.0320202,0.0301318,0.0276748,0.0211723,0,0,0.0219475,0,0.0269052,0.0309025,0.0419306,0.0269242,0.00357264,0.00887594,0.0287429,0.0354274,0.0174969,0.0154869,0.0131702,0.00714727,0.0126685,0.0122586,0.0171694,0.0344985,0.0226381,0.036466,0.0127557,0.0328661,0.00833626,0.0161082,0.0432015,0,0,0.00917374,0,0.0310741,0.021702,0.037944,0.00777215,0.0149766,0.0124316,0.0269566,0.0495098,0.0119319,0.0131113,0.00861808,0.0113369,0.00891106,0.0304154,0.00856027,0.00878935,0.0135358,0.0233111,0.033652,0.0356122,0.0476097,0.0149097,0,0,0,0
6,0.0136539,0,0,0,0,0.0418829,0,0,0,0,0,0,0.0321712,0.0301158,0.0277445,0.0210714,0,0,0.0219412,0,0.0269102,0.0307981,0.041896,0.0269701,0.00356482,0.00898645,0.028724,0.0352466,0.0175019,0.0154728,0.0132311,0.00718792,0.0127248,0.0122742,0.0172149,0.0346491,0.022537,0.0362104,0.0130051,0.0328685,0.00837576,0.0160633,0.0429201,0,0,0.00910276,0,0.0312124,0.0212918,0.0378727,0.00753179,0.0148706,0.0123797,0.026976,0.0492051,0.0118838,0.0131245,0.00839256,0.0113122,0.0088583,0.0303212,0.00859181,0.00870084,0.0138505,0.0233851,0.0330718,0.0352332,0.0473907,0.0147229,0,0,0,0
7,0.0134124,0,0,0,0,0.0416318,0,0,0,0,0,0,0.0323217,0.0300499,0.0278123,0.0209921,0,0,0.0218741,0,0.0268546,0.0306049,0.0418611,0.0269959,0.00356116,0.00912983,0.0287102,0.0350627,0.0174739,0.0154047,0.0133348,0.00722362,0.0127844,0.0122266,0.0172328,0.0347463,0.0223915,0.0359655,0.0132887,0.0328443,0.00849105,0.0160318,0.0425619,0,0,0.00912096,0,0.0313714,0.0209939,0.0377538,0.0074183,0.0148316,0.0123187,0.0269254,0.0487812,0.0118434,0.013051,0.00839439,0.0113056,0.00879532,0.0303807,0.00862428,0.00867761,0.0142382,0.0232867,0.0317043,0.0349282,0.047038,0.0144809,0,0,0,0
8,0.0132057,0,0,0,0,0.0413437,0,0,0,0,0,0,0.0324918,0.0300533,0.0278815,0.0209141,0,0,0.0218219,0,0.0268555,0.0304842,0.0418365,0.027039,0.00355834,0.00925809,0.0286954,0.0348556,0.0173999,0.0152913,0.0134144,0.00727676,0.0128632,0.0122195,0.0172385,0.0348292,0.022236,0.0359258,0.0135663,0.0328451,0.00865531,0.0160088,0.0422472,0,0,0.00909808,0,0.0314961,0.0207389,0.0376235,0.00748099,0.0148498,0.0122618,0.0269748,0.0483765,0.0118151,0.0129611,0.00831887,0.0112803,0.00878154,0.0305343,0.00863181,0.00876081,0.0145145,0.0231205,0.0310661,0.0346676,0.0466806,0.0142794,0,0,0,0
