Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,,x81,x79
645,0.0151721,0,0,0,0,0.0121624,0,0,0,0,0,0,0.00428218,0.0450112,0.00656725,0.0126845,0,0,0.0471448,0,0,0.0308438,0.042652,0.00817672,0.0243872,0.00569571,0.0117933,0.033006,0.00276223,0.00470086,0.00332045,0.00717335,0.00764801,0.00747438,0.029326,0.00299718,0.0279534,0.0486078,0.0263482,0.0065147,0.0311523,0.0108208,0.0152102,0.0133857,0,0,0.0170367,0,0.0354978,0.0230227,0.0388963,0.0169401,0.0140442,0.00576544,0.0124511,0.0106767,0.00502391,0.0133333,0.00457408,0.00516451,0.0108022,0.0363816,0.00908274,0.0112071,0.00420941,0.0121987,0.0360389,0.0356842,0.0140842,0.0122702,0,0,0,0,0,0,0,0,0
646,0.0156599,0,0,0,0,0.00984569,0,0,0,0,0,0,0.00403351,0.0421379,0.00658614,0.013494,0,0,0.0453328,0,0.0507722,0.0311361,0.0426116,0.008265,0.0248024,0.00588229,0.0134805,0.0336072,0.00283899,0.00470492,0.00345996,0.00727693,0.00755983,0.00753228,0.0293486,0.00364439,0.0263294,0.0556738,0.0255248,0.0063439,0.0305503,0.0111227,0.0153032,0.0144173,0,0,0.0189526,0,0.0349848,0.025624,0.0387081,0.0176792,0.0135409,0.00584809,0.0143301,0.0130124,0.00508829,0.0133583,0.00452103,0.00503583,0.0112234,0.0364858,0.00933397,0.0117484,0.00537602,0.0128908,0.0381764,0.0385734,0.0109404,0.0114659,0,0,0,0,0,0,0,0,0
647,0.0141513,0,0,0,0,0.0082351,0,0,0,0,0,0,0.00397673,0.0431322,0.00658842,0.0138093,0,0,0.0456695,0,0.051671,0.0321389,0.0425813,0.00822303,0.0249447,0.00589032,0.0139942,0.0328172,0.00289958,0.00466168,0.00347743,0.00729012,0.00754474,0.00759852,0.0293539,0.00389097,0.0265017,0.0572423,0.0266554,0.00616568,0.0303797,0.0111117,0.0153713,0.0136164,0,0,0.0209602,0,0.0347724,0.0285732,0.0386894,0.0177521,0.0134845,0.00588283,0.0149761,0.0124167,0.00494079,0.0133172,0.00450814,0.00513022,0.0113178,0.0364602,0.00936111,0.0118213,0.00530873,0.0128526,0.0411417,0.041763,0.00973754,0.0107055,0,0,0,0,0,0,0,0,0
648,0.0130711,0,0,0,0,0.00716698,0,0,0,0,0,0,0.00392984,0.0438175,0.00658626,0.0141492,0,0,0.0454577,0,0.0523117,0.0325617,0.0425724,0.00819105,0.0251311,0.00584519,0.014521,0.0327216,0.00294899,0.0046167,0.00347757,0.00727907,0.00760319,0.00759924,0.0293591,0.0041074,0.0263497,0.0584316,0.0272155,0.00600796,0.0304914,0.0110417,0.0155485,0.0130591,0,0,0.0239672,0,0.0347823,0.0319226,0.0387049,0.0175862,0.0135092,0.00588058,0.0156727,0.0117127,0.00489811,0.0132291,0.00445295,0.00535294,0.011303,0.0364093,0.00940195,0.0118321,0.00379973,0.0128188,0.0447144,0.0451021,0.00910978,0.00984034,0,0,0,0,0,0,0,0,0
649,0.0106879,0,0,0,0,0.00834064,0,0,0,0,0,0,0.00385433,0.0436488,0.00663777,0.0147158,0,0,0.0442451,0,0.0525864,0.0321929,0.0425897,0.00818722,0.0256557,0.00573128,0,0.0324015,0.00299123,0.00456743,0.00341483,0.00728918,0.0076541,0.00765054,0.029421,0.00431714,0.0255629,0.0589251,0.0273266,0.00618241,0,0.0110371,0.0158417,0.0098376,0,0,0.0225565,0,0.00683465,0.0343687,0.0386499,0.0174638,0.013458,0.00589988,0.0169849,0.0127746,0.00490714,0.0131858,0.0044152,0.00541185,0.0112957,0.0363579,0.00949122,0.0119365,0.00312836,0.0108488,0.0600334,0.0573169,0.00979683,0.00683412,0,0,0,0,0,0,0,0,0
650,0.00806152,0,0,0,0,0.00549165,0,0,0,0,0,0,0.00400893,0.0488308,0.00659054,0.013488,0,0,0.0438576,0,0,0.0296782,0.0426569,0.00826792,0.0247416,0.00600528,0.0135983,0.0283804,0.00282909,0.00479077,0.00354574,0.00736046,0.00736281,0.00771511,0.0294295,0.00387789,0.0262526,0.0508868,0.0255864,0.00621617,0.031012,0.0109462,0.0152695,0.0100656,0,0,0.0293412,0,0.0352323,0.0384653,0.0387651,0.0171898,0.0134454,0.00571471,0.0146125,0.00938074,0.00480838,0.0131723,0.00431855,0.00522188,0.0111817,0.0364081,0.00950359,0.0117851,0.00321308,0.0126627,0.0526229,0.0514569,0.00830356,0.006991,0,0,0,0,0,0,0,0,0
651,0.00832471,0,0,0,0,0.00118305,0,0,0,0,0,0,0.00390846,0.0424607,0.0066957,0.0138806,0,0,0.0400869,0,0.0517185,0.0296724,0.0425984,0.00827593,0.0249739,0.00609262,0.015041,0.0269979,0.00285447,0.00478467,0.00359596,0.00750545,0.00684897,0.00786972,0.0294974,0.00432279,0.0228391,0.0580143,0.0255168,0.00622876,0.0311574,0.0111419,0.0153343,0.0106926,0,0,0.0319277,0,0.0355721,0.0419826,0.0386146,0.0174419,0.0130171,0.00563319,0.0160826,0.0106773,0.0048632,0.0131941,0.00428198,0.00494353,0.0113847,0.0365398,0.00972317,0.0120869,0.00307691,0.0156901,0.0556679,0.0554806,0.00500058,0.00844824,0,0,0,0,0,0,0,0,0
652,0.0153955,0,0,0,0,0.0057609,0,0,0,0,0,0,0.00390133,0,0.00670726,0.0139768,0,0,0.0380764,0,0.0529636,0.0281808,0.0424281,0.00812116,0.0247493,0.00606099,0.0152983,0.0407978,0.00281108,0.00466848,0.00354172,0.00753706,0.00680018,0.00792411,0.0295101,0.00445857,0.0237326,0.0469679,0.0315436,0.00618736,0.0307686,0.0108912,0.0154412,0.0153299,0,0,0.0353738,0,0.0362345,0.0447016,0.038733,0.0170755,0.0135001,0.00569617,0.0162288,0.0130125,0.00500821,0.013303,0.00436355,0.00491834,0.0111777,0.036381,0.00954857,0.0118907,0.00313807,0.0183782,0.0569076,0.0582627,0.00857633,0.0121569,0,0,0,0,0,0,0,0,0
653,0.00574965,0,0,0,0,0.00518749,0,0,0,0,0,0,0.00388629,0.0403194,0.006831,0.0145688,0,0,0.0346366,0,0.0497677,0.0257383,0.0422702,0.00816292,0.0251523,0.00587487,0.0170883,0.0295101,0.00297873,0.00444833,0.00342275,0.00758868,0.00736569,0.00799846,0.0296192,0.00516329,0.0193764,0.0560011,0.0225134,0.00619614,0.0318845,0.011097,0.0155248,0.00940943,0,0,0.0388699,0,0.0364216,0.0445156,0.0386358,0.0172703,0.0131022,0.00545878,0.0181297,0.00445009,0.00476316,0.0132878,0.004368,0.00493812,0.0114757,0.0365955,0.00979148,0.0121843,0.00289465,0.0193123,0,0.0541812,0.00847335,0.00600225,0,0,0,0,0,0,0,0,0
654,0.00456586,0,0,0,0,0.007591,0,0,0,0,0,0,0.00391682,0.038729,0.00689494,0.0151048,0,0,0.0298495,0,0.0483138,0.0228729,0.0419647,0.00872461,0.0250644,0.00601182,0.0184916,0.0283872,0.00304922,0.00433607,0.00342345,0.00775463,0.00770888,0.00812381,0.0297031,0.00588809,0.0171788,0.0544592,0.0205737,0.00597675,0.0358203,0.0112414,0.0156931,0.00862468,0,0,0.0498161,0,0.0367715,0.0487206,0.0386554,0.0176144,0.0132352,0.00582213,0.0195946,0.00427852,0.00461045,0.0134281,0.00435705,0.00501548,0.0116969,0.0365367,0.00983538,0.0124762,0.00292596,0.0244763,0,0.0599488,0.00955316,0.00867087,0,0,0,0,0,0,0,0,0
