Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,,x81,x79
All Timesteps RMSE,0.0171002,0,0,0,0,0.0172465,0,0,0,0,0,0,0.0129187,0.0336812,0.0105814,0.010914,0,0,0.0433368,0,0.0351564,0.0379257,0.0486275,0.0171635,0.0181904,0.0113848,0.0125449,0.0313494,0.00861751,0.0124033,0.00919246,0.010669,0.0113553,0.00851324,0.025277,0.0157203,0.0326724,0.0255302,0.0157884,0.016578,0.040297,0.0149556,0.0704688,0.0159514,0,0,0.0221105,0,0.0443026,0.0148385,0.0349394,0.0223257,0.014127,0.0100014,0.0127202,0.0194183,0.00633175,0.0152984,0.0264983,0.00898055,0.0136982,0.0312856,0.0126597,0.0150841,0.0176348,0.0148729,0.0181524,0.0235317,0.0367987,0.0148709,0,0,0,0,0,0,0,0,0
0,0.0125777,0,0,0,0,0.0214782,0,0,0,0,0,0,0.00352661,0.0187583,0.00762514,0.00767133,0,0,0.0186914,0,0.0349522,0.0111307,0.0418851,0.0102648,0.0205104,0.00404537,0.0180505,0.0413322,0.00727656,0.00566875,0.00276741,0.00910102,0.00873624,0.00874816,0.0313487,0.00289932,0.0233194,0.00754528,0.00983575,0.00620639,0.0239027,0.0129188,0.0135154,0.0123191,0,0,0.019363,0,0.0370972,0.0044412,0.0376182,0.0199879,0.012608,0.00687335,0.0168962,0.020939,0.00392132,0.012578,0.00284312,0.00469524,0.0137447,0.0388565,0.0103781,0.0148036,0.00524184,0.00568863,0.0285007,0.0149719,0.0197713,0.010739,0,0,0,0,0,0,0,0,0
1,0.0123397,0,0,0,0,0.0212555,0,0,0,0,0,0,0.00349421,0.0186791,0.0076269,0.00766567,0,0,0.0183563,0,0.0350483,0.0110262,0.0417891,0.0102093,0.0205418,0.0040984,0.0181975,0.0414777,0.00736253,0.00541416,0.00284169,0.00914824,0.00875819,0.008802,0.0313771,0.00300754,0.0228247,0.00759284,0.00931906,0.00613311,0.0238938,0.0128238,0.0134684,0.0119578,0,0,0.0195614,0,0.0371943,0.00440454,0.0375611,0.0197998,0.0125637,0.00667157,0.0169666,0.0210551,0.00381267,0.0126385,0.00295314,0.00464263,0.0136507,0.0389634,0.0103762,0.0146814,0.00516519,0.00589326,0.0283909,0.0150164,0.0196342,0.0104786,0,0,0,0,0,0,0,0,0
2,0.0121464,0,0,0,0,0.0210763,0,0,0,0,0,0,0.00320562,0.0186231,0.00761202,0.00764931,0,0,0.0181,0,0.0351529,0.0108709,0.041754,0.0101501,0.020562,0.00411433,0.0183504,0.0417257,0.00741504,0.0054117,0.00288825,0.00908241,0.00870725,0.00878287,0.0314142,0.00314198,0.0226262,0.00767269,0.00872274,0.00610627,0.023851,0.0127254,0.0134989,0.0116637,0,0,0.019722,0,0.0372904,0.00438314,0.0374851,0.0195741,0.0123878,0.00653019,0.0170741,0.0211965,0.00372568,0.0126782,0.00288532,0.00457512,0.0135645,0.0389806,0.0104155,0.0146022,0.0049789,0.00594134,0.0283251,0.0149828,0.0195399,0.010266,0,0,0,0,0,0,0,0,0
3,0.0120106,0,0,0,0,0.0209265,0,0,0,0,0,0,0.00290719,0.0186747,0.00759489,0.00762402,0,0,0.0179725,0,0.0352079,0.0106878,0.0418058,0.0101106,0.0205823,0.004104,0.0184984,0.0419923,0.0074511,0.0054592,0.00290863,0.00900975,0.00867197,0.00877997,0.0314225,0.00326752,0.0226933,0.00773321,0.00812035,0.00607643,0.0238374,0.012674,0.0135124,0.0114848,0,0,0.0198449,0,0.0373993,0.00439666,0.0374296,0.0193712,0.0122128,0.00641188,0.0171777,0.0213367,0.00374624,0.0126819,0.00257456,0.00451759,0.0135086,0.038982,0.0104359,0.0145735,0.00478663,0.00589169,0.027901,0.014867,0.0194698,0.0101409,0,0,0,0,0,0,0,0,0
4,0.0119726,0,0,0,0,0.0208567,0,0,0,0,0,0,0.00263291,0.0187356,0.00755735,0.00760721,0,0,0.0179245,0,0.0352841,0.0104861,0.041862,0.0100984,0.020603,0.00408535,0.0186344,0.0422175,0.00744257,0.00544868,0.00287073,0.00895984,0.00864171,0.00876541,0.031395,0.00341341,0.0229304,0.00791449,0.00749355,0.00605095,0.0238789,0.0125739,0.0134926,0.0114243,0,0,0.0200266,0,0.0375721,0.00441873,0.0373709,0.0191737,0.0121572,0.00631577,0.0172496,0.0214589,0.00386448,0.0126739,0.00223322,0.00450702,0.0134577,0.0390452,0.0104114,0.014516,0.00464344,0.0058161,0.0277651,0.014742,0.0194407,0.0101016,0,0,0,0,0,0,0,0,0
5,0.0119867,0,0,0,0,0.0208828,0,0,0,0,0,0,0.00238127,0.0188598,0.00751208,0.00765992,0,0,0.0179234,0,0.0354118,0.0102926,0.0419242,0.0100623,0.0206064,0.00408657,0.018695,0.0424257,0.00741788,0.00543052,0.00280812,0.00892679,0.00858994,0.00870334,0.0313687,0.00358233,0.0231698,0.00825248,0.00684798,0.00603738,0.0239297,0.012462,0.0134474,0.0113911,0,0,0.0201972,0,0.0376898,0.00436872,0.0373598,0.0190145,0.0120652,0.00622171,0.0172649,0.021503,0.00384808,0.0126393,0.00223823,0.00451978,0.0133997,0.0390845,0.010385,0.0144325,0.00450037,0.0058538,0.0278045,0.0145662,0.0194571,0.0100908,0,0,0,0,0,0,0,0,0
6,0.0119437,0,0,0,0,0.020947,0,0,0,0,0,0,0.0022703,0.0189517,0.00746684,0.00772406,0,0,0.0180276,0,0.0355531,0.0101483,0.0420053,0.0100142,0.0206201,0.00410716,0.0187599,0.0424111,0.00737586,0.00542231,0.0027856,0.00888256,0.00854861,0.0086337,0.0313143,0.00364255,0.0234585,0.00855888,0.00623727,0.00597303,0.0239587,0.0123538,0.0134266,0.0114816,0,0,0.020436,0,0.0377436,0.00427876,0.0373513,0.0188536,0.0119266,0.00608321,0.0173143,0.0213505,0.00391044,0.0126021,0.00226429,0.00456821,0.0133077,0.0389619,0.0103376,0.0143318,0.00437267,0.00573285,0.0279239,0.0142817,0.0194707,0.0101905,0,0,0,0,0,0,0,0,0
7,0.0118573,0,0,0,0,0.021069,0,0,0,0,0,0,0.00217025,0.0190514,0.00743662,0.00776586,0,0,0.0179687,0,0.0355544,0.00995443,0.0421084,0.0100001,0.0206518,0.0041342,0.018851,0.0428196,0.00732626,0.00537545,0.00277338,0.00885324,0.00850308,0.00855939,0.0312738,0.00372428,0.0236717,0.00875637,0.00556928,0.00603771,0.0239842,0.0123168,0.0134844,0.0114839,0,0,0.0205748,0,0.0378311,0.00421416,0.0373486,0.0187353,0.0117858,0.00591712,0.0174102,0.0213343,0.00358644,0.0125624,0.00226859,0.00457283,0.0132175,0.0387198,0.0103087,0.0142917,0.00417921,0.00560411,0.027913,0.0139765,0.0195408,0.0101256,0,0,0,0,0,0,0,0,0
8,0.0117304,0,0,0,0,0.0211729,0,0,0,0,0,0,0.00189742,0.0191169,0.00746217,0.00778929,0,0,0.0177885,0,0.0356219,0.00972592,0.0421803,0.0100185,0.0206632,0.00414375,0.0189503,0.0434166,0.00732529,0.00537263,0.00278498,0.00886218,0.00849313,0.00855451,0.0312623,0.00377216,0.0239,0.00898492,0.00505509,0.00610151,0.0239936,0.0123062,0.0135508,0.0114597,0,0,0.0205616,0,0.037927,0.00419561,0.0373942,0.0186346,0.0117008,0.00578672,0.0175103,0.0213303,0.00333076,0.0125905,0.00231938,0.00448683,0.0131644,0.0386708,0.0103096,0.0142699,0.00390685,0.00536846,0.0279267,0.0137954,0.0196433,0.0100029,0,0,0,0,0,0,0,0,0
9,0.0116622,0,0,0,0,0.0214337,0,0,0,0,0,0,0.00190621,0.0192686,0.00750779,0.00778624,0,0,0.0178489,0,0.0357274,0.00971218,0.0422628,0.0100445,0.0206324,0.0041271,0.0189098,0.0443528,0.00732323,0.00531901,0.00278485,0.00888823,0.00852241,0.00856654,0.0312679,0.00375827,0.0242785,0.00911054,0.0046791,0.00623186,0.0240257,0.0123019,0.0136104,0.0113635,0,0,0.0202938,0,0.0379445,0.00410042,0.0376559,0.0186015,0.011774,0.00569474,0.0174571,0.0212367,0.00303841,0.0127991,0.00242778,0.00428745,0.0131267,0.0387472,0.0102929,0.0142787,0.00365867,0.00507299,0.0278952,0.01362,0.0199086,0.00980117,0,0,0,0,0,0,0,0,0
10,0.0115698,0,0,0,0,0.0216836,0,0,0,0,0,0,0.00202303,0.0194338,0.00756381,0.00771684,0,0,0.0177492,0,0.0358463,0.00963218,0.0423095,0.0100982,0.0205893,0.00411889,0.0188705,0.0452357,0.00733632,0.00533186,0.00279001,0.00892049,0.00862041,0.00863228,0.0313016,0.00368596,0.0245795,0.00927227,0.00430405,0.00639106,0.0240747,0.0123953,0.013701,0.0111633,0,0,0.0200042,0,0.0379388,0.0039949,0.0381617,0.0186686,0.0118352,0.00557741,0.0174559,0.0212329,0,0.0131855,0.00264593,0.00410337,0.0131462,0.0388331,0.010326,0.0143598,0.0034882,0.00514445,0.0277289,0.0135061,0.0202424,0.00951123,0,0,0,0,0,0,0,0,0
11,0.0114902,0,0,0,0,0.0219547,0,0,0,0,0,0,0.00223135,0.0196337,0.00757112,0.00785919,0,0,0.017741,0,0.0359095,0.00958352,0.0422081,0.0100808,0.0206335,0.00407514,0.0189299,0.0460452,0.00736295,0.00539377,0.00272855,0.00893064,0.00867528,0.00864426,0.0313028,0.00354576,0.0249426,0.00926,0.00405152,0.00648508,0.0241251,0.0124606,0.0135823,0.0110202,0,0,0.0197262,0,0.0379539,0.00400231,0.0383414,0.0187531,0.0120222,0.00566038,0.0176025,0.0211811,0,0.0134549,0.00276496,0.00398555,0.0132179,0.0388176,0.0103558,0.0144427,0.00334791,0.00505253,0.0274019,0.0132646,0.0205709,0.00924683,0,0,0,0,0,0,0,0,0
12,0.0113509,0,0,0,0,0.022139,0,0,0,0,0,0,0.00254937,0.0197829,0.00754334,0.00809066,0,0,0.0176457,0,0.0359606,0.00947244,0.0419567,0.0100509,0.0207276,0.00405261,0.0190242,0.046808,0.0073583,0.00540114,0.00265146,0.00893264,0.00860501,0.00864854,0.031297,0.00342834,0.0251685,0.00921762,0.00388914,0.00653141,0.0240894,0.0125598,0.0133714,0.0108198,0,0,0.019578,0,0.0379875,0.00391191,0.0386579,0.0190147,0.0125551,0.00590783,0.0177787,0.0211249,0.00260302,0.0137439,0.00287597,0.00381306,0.0133949,0.0389229,0.0104295,0.0146623,0.00344064,0.00481645,0.0270659,0.0131949,0.0208112,0.00893255,0,0,0,0,0,0,0,0,0
13,0.0112469,0,0,0,0,0.0223848,0,0,0,0,0,0,0.00258989,0.0198015,0.00752125,0.00834639,0,0,0.0174143,0,0.0359981,0.00938794,0.0417215,0.0100769,0.0207812,0.00405282,0.0193004,0.0475974,0.00737964,0.00533809,0.00261103,0.00891492,0.00852725,0.00865571,0.0312958,0.00336231,0.0252634,0.00914296,0.00377174,0.00657404,0.0239862,0.0126122,0.0134377,0.0106192,0,0,0.0195219,0,0.0379408,0.00378873,0.0388299,0.0191639,0.0128215,0.00610878,0.0180728,0.0211189,0.00291813,0.0139836,0.00308675,0.00366368,0.0134717,0.0391461,0.0104482,0.0147573,0.00342108,0.00438396,0.0269951,0.0132325,0.0211459,0.00860712,0,0,0,0,0,0,0,0,0
14,0.0112022,0,0,0,0,0.0226816,0,0,0,0,0,0,0.00252277,0.0199161,0.00751794,0.00860132,0,0,0.0170997,0,0.0361034,0.00930627,0.0415609,0.0101121,0.0208339,0.00406429,0.0196773,0.0483412,0.00740208,0.00526594,0.00257765,0.00887977,0.00850259,0.00864033,0.03128,0.0033815,0.0251349,0.00896511,0.00376421,0.00666141,0.0239098,0.012661,0.0135479,0.0104503,0,0,0.0194953,0,0.0379568,0.00373383,0.0387546,0.0191786,0.012846,0.00626425,0.0184808,0.0211524,0.0031818,0.0140216,0.00318868,0.00364107,0.0134861,0.0391876,0.0104073,0.0147293,0.00326343,0.00392361,0.027113,0.0132489,0.0215313,0.0083208,0,0,0,0,0,0,0,0,0
15,0.0111589,0,0,0,0,0.0230346,0,0,0,0,0,0,0.00219094,0.0201666,0.00748258,0.00889899,0,0,0.0168153,0,0.0361901,0.00927024,0.0414611,0.0101081,0.0208964,0.0040592,0.0200855,0.0489794,0.00746152,0.00529949,0.00252962,0.00885672,0.00848466,0.00859195,0.0312355,0.00345511,0.0250402,0.0086441,0.00379474,0.00675482,0.02382,0.0125939,0.0136164,0.0103325,0,0,0.0194709,0,0.0379777,0.00376626,0.038347,0.0189971,0.0126394,0.00631366,0.0189487,0.021125,0,0.0138533,0.00318144,0.00382757,0.0133612,0.0391352,0.0103187,0.0145184,0.00301247,0.00369523,0.0273908,0.0132326,0.0219585,0.00806064,0,0,0,0,0,0,0,0,0
16,0.0111767,0,0,0,0,0.0234191,0,0,0,0,0,0,0.00200827,0.020349,0.00744418,0.00911519,0,0,0.01657,0,0.0362901,0.0092445,0.0413843,0.0101117,0.02093,0.00405337,0.0204307,0.0495139,0.00753262,0.00537887,0.00252459,0.00885274,0.00847202,0.00857285,0.0312007,0.00358311,0.0250542,0.00835608,0.00386021,0.00683155,0.0237115,0.0125964,0.013813,0.0102589,0,0,0.0195125,0,0.0379999,0.00382696,0.0381155,0.0189671,0.0124449,0.0063598,0.0192943,0.0210539,0,0.0137613,0.00322779,0.0039532,0.0133149,0.0390975,0.0102977,0.0144454,0.00284459,0.00350482,0.0277615,0.0132599,0.0223825,0.00785685,0,0,0,0,0,0,0,0,0
17,0.0111836,0,0,0,0,0.0237071,0,0,0,0,0,0,0.00161023,0.020379,0.00743315,0.00932525,0,0,0.0162864,0,0.0364168,0.0091953,0.0414845,0.0101275,0.0210154,0.00402468,0.0206855,0.049958,0.007511,0.00532204,0.00246839,0.0088285,0.00843346,0.00856144,0.0311708,0.00389875,0.0250619,0.00811524,0.00399845,0.00683166,0.023608,0.0126206,0.0138175,0.010166,0,0,0.0196338,0,0.0380213,0.00390587,0.0381825,0.0190695,0.0125321,0.00639943,0.0195331,0.0210504,0,0.0137056,0.0032052,0.00400721,0.0133746,0.0390789,0.0103196,0.0145364,0.00289776,0.00332577,0.0282281,0.0131835,0.0227289,0.00765742,0,0,0,0,0,0,0,0,0
18,0.011169,0,0,0,0,0.0239647,0,0,0,0,0,0,0.00126529,0.0203348,0.00742576,0.0095134,0,0,0.0159822,0,0.0365724,0.00910404,0.0417671,0.0101303,0.0210471,0.00400601,0.0209667,0.0504151,0.00747578,0.00529279,0.0024104,0.00879038,0.00839026,0.0085321,0.0311192,0.00431152,0.0249962,0.00800189,0.00423673,0.00682998,0.0235389,0.0125848,0.0141159,0.0100643,0,0,0.0197796,0,0.0380711,0.00402399,0.0381801,0.019003,0.0121432,0.00645514,0.0197084,0.0210761,0.0026623,0.0136886,0.00298537,0.00403383,0.0133282,0.0389754,0.0103052,0.0145004,0.00276815,0.00321974,0.0288918,0.0130141,0.0230723,0.00753449,0,0,0,0,0,0,0,0,0
19,0.0110848,0,0,0,0,0.0241319,0,0,0,0,0,0,0.00149251,0.0201828,0.00745578,0.00958799,0,0,0.0156573,0,0.0366349,0.00911563,0.0417499,0.0101859,0.021066,0.00402585,0.0211851,0.0507741,0.00758907,0.00541398,0.00245305,0.00882942,0.00843264,0.00856579,0.031137,0.00430836,0.024852,0.00778676,0.00440639,0.00674319,0.0234538,0.0125242,0.0142885,0.00991757,0,0,0.0199446,0,0.0381127,0.00413384,0.0381273,0.0189043,0.0120498,0.00639199,0.0198837,0.0211616,0.00258862,0.0137497,0.00268577,0.00405442,0.0132565,0.0389505,0.0102759,0.0144552,0.00270608,0.00320219,0.0296982,0.0127991,0.0233374,0.0073697,0,0,0,0,0,0,0,0,0
20,0.0109003,0,0,0,0,0.0242793,0,0,0,0,0,0,0.00180232,0.0200609,0.00757981,0.00951269,0,0,0.0152474,0,0.0366149,0.00916777,0.0413804,0.0103365,0.0209986,0.0040848,0.0213959,0.0509242,0.00787296,0.00568355,0.00265733,0.00893021,0.00857423,0.00866855,0.0312655,0.00390116,0.0246447,0.0075,0.00445765,0.00671804,0.0233633,0.0125262,0.0143533,0.00985329,0,0,0.0200631,0,0.0381321,0.00423491,0.0380363,0.0188833,0.0122047,0.00621476,0.020077,0.0211455,0,0.0137571,0.00274834,0.00407023,0.0132408,0.0389251,0.0103087,0.0144667,0.00264945,0.00315536,0.0300706,0.0126921,0.0235833,0.0071493,0,0,0,0,0,0,0,0,0
21,0.0107807,0,0,0,0,0.0244468,0,0,0,0,0,0,0.00174976,0.0201123,0.00764705,0.00949882,0,0,0.0149495,0,0.0366587,0.00921289,0.0412386,0.0103918,0.0209486,0.00409835,0.0215482,0.0509949,0.00800074,0.00580152,0.00274591,0.00896846,0.00864813,0.00870938,0.0313151,0.00384902,0.0244843,0.00728907,0.00448973,0.00681642,0.0233276,0.0126028,0.014417,0.00986194,0,0,0.0202431,0,0.0381975,0.00439866,0.0380418,0.0189221,0.0121206,0.00609937,0.0202267,0.0211628,0,0.0137056,0.0029547,0.00406611,0.0132669,0.0386788,0.0103654,0.0145013,0.00255999,0.0031776,0.0303894,0.0125241,0.0238149,0.00705886,0,0,0,0,0,0,0,0,0
22,0.0106683,0,0,0,0,0.0245718,0,0,0,0,0,0,0.00151111,0.0201375,0.0075982,0.00966223,0,0,0.0147662,0,0.0366516,0.0092154,0.041377,0.0103125,0.0209712,0.00406499,0.0217199,0.0510817,0.00788756,0.00568859,0.0026592,0.00892652,0.00859522,0.00865806,0.031253,0.00423526,0.0243183,0.00708653,0.0044106,0.00690114,0.023297,0.0125853,0.0145559,0.00981955,0,0,0.0204105,0,0.0382474,0.00446835,0.0380995,0.0188252,0.0117957,0.00601459,0.0203883,0.0212083,0,0.013786,0.00300226,0.00409197,0.0131828,0.0385508,0.0103204,0.0144034,0.00245056,0.00324066,0.0305752,0.0124296,0.0240159,0.00700369,0,0,0,0,0,0,0,0,0
23,0.0105377,0,0,0,0,0.0246419,0,0,0,0,0,0,0.0013115,0.0200709,0.00748569,0.00990572,0,0,0.0145654,0,0.0366808,0.00915373,0.0415691,0.0102435,0.02107,0.00401162,0.0219013,0.0510801,0.00770732,0.00550608,0.00250669,0.00885071,0.00849103,0.00859999,0.0311635,0.0047463,0.0241507,0.00702219,0.00436168,0.00701564,0.0232807,0.0125794,0.0145994,0.00978944,0,0,0.0205366,0,0.0383484,0.0045237,0.0381916,0.0187291,0.0115884,0.00596253,0.0206249,0.0212711,0,0.014,0.00290676,0.00411517,0.0131465,0.0385486,0.0103107,0.0143162,0.00236637,0.00328949,0.0308223,0.0123421,0.024147,0.00694019,0,0,0,0,0,0,0,0,0
24,0.0103589,0,0,0,0,0.024688,0,0,0,0,0,0,0.00157241,0.020032,0.00751613,0.00997247,0,0,0.0143087,0,0.0366842,0.00905466,0.0414056,0.0103299,0.0210585,0.00404601,0.0221987,0.0508631,0.00785414,0.00563355,0.00259154,0.00890108,0.00851782,0.00868225,0.0312267,0.00439477,0.0239068,0.00699541,0.0043091,0.00714168,0.0232655,0.0125553,0.0147292,0.00979983,0,0,0.0207206,0,0.0384122,0.00457659,0.0380994,0.0186979,0.011597,0.00596196,0.0208849,0.0213439,0,0.0140592,0.002944,0.00408398,0.0131209,0.0385583,0.0103084,0.0142771,0.00235974,0.00333467,0.0311504,0.0121941,0.0242528,0.006874,0,0,0,0,0,0,0,0,0
25,0.010249,0,0,0,0,0.0247304,0,0,0,0,0,0,0.00152671,0.019982,0.00754376,0.01005,0,0,0.0141297,0,0.0366716,0.00897854,0.0412876,0.0103989,0.0210685,0.0040815,0.0224578,0.050618,0.0079723,0.00575391,0.00264592,0.00893165,0.00853821,0.00874434,0.031264,0.00412742,0.0237522,0.00696374,0.00418161,0.00714952,0.023257,0.0125599,0.0148845,0.00984368,0,0,0.0209089,0,0.0384756,0.00464742,0.0379875,0.018723,0.011643,0.00601013,0.0211191,0.0214253,0,0.013949,0.00309566,0.00401703,0.0130997,0.0385022,0.0102701,0.0142816,0.00241085,0.00336341,0.0314179,0.0120504,0.0243552,0.00686583,0,0,0,0,0,0,0,0,0
26,0.0101819,0,0,0,0,0.0247265,0,0,0,0,0,0,0.00161373,0.0199376,0.00752917,0.0101688,0,0,0.0139799,0,0.0366371,0.008914,0.0412711,0.010416,0.0211263,0.00407361,0.0226682,0.0503856,0.00799981,0.00574493,0.00263005,0.0089104,0.00852319,0.0087181,0.0312414,0.00411716,0.0237453,0.00693112,0.00403737,0.00719895,0.0232099,0.0126124,0.0149926,0.00986275,0,0,0.0210831,0,0.0384793,0.00469742,0.0379369,0.0188052,0.0116727,0.00610427,0.021318,0.0214936,0.00250187,0.0139471,0.00319886,0.00395884,0.0131151,0.038405,0.0102678,0.0143169,0.00252677,0.0033833,0.0317263,0.0119282,0.0244158,0.00687968,0,0,0,0,0,0,0,0,0
27,0.0101313,0,0,0,0,0.0247125,0,0,0,0,0,0,0.00183579,0.0199199,0.00751844,0.010288,0,0,0.0137869,0,0.0365626,0.00885568,0.0412477,0.0104265,0.0211813,0.00405564,0.0228291,0.0501522,0.00800044,0.00568905,0.00259128,0.00889348,0.0085123,0.0086918,0.0312238,0.00412227,0.0236871,0.00688697,0.00393414,0.00722458,0.0232298,0.0126029,0.0150511,0.00986673,0,0,0.0212193,0,0.0385252,0.00465513,0.0379303,0.0188172,0.0116337,0.00602387,0.0215498,0.021593,0,0.0140069,0.00330079,0.00394516,0.0130968,0.0383532,0.0102623,0.0143101,0.00247762,0.00344731,0.0320067,0.0117916,0.0244464,0.00688164,0,0,0,0,0,0,0,0,0
28,0.0100562,0,0,0,0,0.0246378,0,0,0,0,0,0,0.00190796,0.0199108,0.00750067,0.0104651,0,0,0.013582,0,0.0364722,0.00879584,0.0412567,0.0104399,0.0212315,0.00405551,0.0229914,0.0498578,0.00798038,0.00564436,0.00254108,0.00887709,0.00847298,0.00869001,0.0311989,0.00402098,0.0234072,0.00683237,0.00383483,0.00729944,0.0232451,0.0126426,0.0151795,0.00982734,0,0,0.0213741,0,0.0385284,0.00451656,0.0379149,0.0188805,0.0116408,0.00615559,0.0218048,0.0217142,0.00243205,0.0140779,0.00332992,0.00389715,0.0131326,0.0383216,0.0102796,0.0143384,0.002571,0.00350324,0.0322642,0.0116972,0.0244069,0.00685739,0,0,0,0,0,0,0,0,0
29,0.00991639,0,0,0,0,0.0246274,0,0,0,0,0,0,0.00195594,0.0197951,0.00750353,0.0106126,0,0,0.0134557,0,0.0364537,0.0086971,0.0412336,0.0105336,0.0212501,0.00405862,0.023098,0.0496542,0.0079972,0.00562019,0.00250952,0.00886869,0.00843786,0.00870706,0.0311771,0.00390371,0.0231888,0.00683527,0.00378741,0.0072709,0.0232187,0.0126217,0.0152722,0.00985875,0,0,0.0213785,0,0.0384794,0.00472231,0.0378916,0.0188244,0.0116392,0.00617078,0.0219775,0.0216198,0,0.0141337,0.00341426,0.00387432,0.0130962,0.0384666,0.0102731,0.0143112,0.00252774,0.00331294,0.032445,0.0115929,0.02442,0.00680316,0,0,0,0,0,0,0,0,0
30,0.00978298,0,0,0,0,0.0246325,0,0,0,0,0,0,0.00183539,0.0196462,0.00750056,0.0107757,0,0,0.0133242,0,0.036496,0.00856792,0.041255,0.0107718,0.0213045,0.00403096,0.0232653,0.0494854,0.0080354,0.00560963,0.00249537,0.00883719,0.00842169,0.00867539,0.0311435,0.00388288,0.0229985,0.00688645,0.00383114,0.00728814,0.0232345,0.0126266,0.0153649,0.00991678,0,0,0.0213754,0,0.0384771,0.00488576,0.037841,0.0187958,0.0116411,0.00633554,0.022115,0.0215279,0,0.0141386,0.00348673,0.00389841,0.0130876,0.0387695,0.010255,0.0142735,0.00260318,0.0032453,0.0325767,0.0115217,0.0244205,0.00679183,0,0,0,0,0,0,0,0,0
31,0.00968159,0,0,0,0,0.024644,0,0,0,0,0,0,0.00193254,0.0195592,0.00748633,0.0108528,0,0,0.0132509,0,0.0364969,0.00845966,0.0412841,0.0107541,0.0213461,0.00397181,0.0233715,0.0493036,0.00807273,0.00563033,0.002498,0.00884024,0.00844651,0.00864122,0.0311295,0.0039017,0.0228888,0.00689997,0.00383004,0.0073368,0.0233177,0.0126814,0.0154133,0.00997307,0,0,0.021367,0,0.0385433,0.0048785,0.037818,0.0188842,0.0116482,0.00646705,0.0222269,0.021438,0.00246685,0.0140558,0.0034548,0.0039562,0.0131413,0.0388759,0.010302,0.014295,0.00275537,0.00324448,0.0325967,0.01145,0.0244057,0.00677225,0,0,0,0,0,0,0,0,0
32,0.00952642,0,0,0,0,0.0245482,0,0,0,0,0,0,0.00195368,0.0195482,0.00748776,0.010849,0,0,0.013177,0,0.0364614,0.00839627,0.0412984,0.010822,0.0213358,0.00392369,0.0233365,0.0491486,0.00803252,0.00565147,0.00250119,0.00884719,0.00847393,0.00864253,0.0311331,0.00381061,0.0227188,0.00684848,0.00380584,0.00731686,0.0233242,0.0126871,0.0154585,0.00993225,0,0,0.0214169,0,0.0386042,0.00472254,0.0378257,0.0189978,0.0116393,0.00640755,0.0222303,0.0213921,0.0024964,0.0140321,0.00341933,0.00400152,0.0131717,0.0387958,0.0103202,0.0143314,0.00274625,0.00326426,0.0325901,0.0114481,0.0243112,0.00673205,0,0,0,0,0,0,0,0,0
33,0.00935505,0,0,0,0,0.0245437,0,0,0,0,0,0,0.00201736,0.0195637,0.00749958,0.0108523,0,0,0.0131687,0,0.0364345,0.00836012,0.0412821,0.0106597,0.0213163,0.00392337,0.0233167,0.0491491,0.0079839,0.00565936,0.00250638,0.00887595,0.00846959,0.00867093,0.0311525,0.00370252,0.0226238,0.00678821,0.00378862,0.00720121,0.0232578,0.0127068,0.0155032,0.00995601,0,0,0.0215488,0,0.0386229,0.00487284,0.0378533,0.0190848,0.01163,0.00624538,0.0222022,0.0212651,0,0.0140152,0.00342779,0.00401572,0.0131856,0.0386597,0.0103254,0.0143828,0.00265843,0.00323398,0.0326432,0.0114193,0.0243159,0.00666944,0,0,0,0,0,0,0,0,0
34,0.00927128,0,0,0,0,0.0243661,0,0,0,0,0,0,0.0020359,0.0195129,0.00746271,0.010964,0,0,0.0130888,0,0.0364779,0.00830361,0.0413045,0.0105472,0.0213651,0.00393265,0.0233897,0.0489427,0.00798112,0.00563067,0.00250285,0.00886366,0.00841536,0.00865875,0.031156,0.00360073,0.0224556,0.00684529,0.00383787,0.007178,0.0232201,0.0127249,0.015487,0.00987151,0,0,0.0215578,0,0.0386126,0.00487769,0.0378805,0.0190586,0.0116618,0.00627347,0.0222245,0.021343,0,0.0139626,0.00341063,0.00404773,0.0131687,0.03881,0.0102862,0.014355,0.00263778,0.00324361,0.0325907,0.0113799,0.0241563,0.00663491,0,0,0,0,0,0,0,0,0
