Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,
948,0.0203618,0,0,0,0,0.01464,0,0,0,0,0,0,0.000760074,0.0293314,0.0113351,0.0110326,0,0,0.0199921,0,0.0226084,0.0222815,0.0522701,0.022089,0.0131777,0.0180278,0.00477031,0.0175548,0.00659694,0.0100987,0.0135413,0.0123363,0.0104291,0.0110031,0.0185318,0.00867234,0.0117345,0.0219819,0.0172838,0.0471589,0.0413742,0.0263892,0.0169645,0.01724,0,0,0.0192,0,0.0455998,0.0139692,0.0347539,0.0320904,0.0125123,0.0113573,0.00337442,0.00583671,0.0032331,0.0136461,0.00888658,0.00349624,0.0188624,0.0176587,0.0176806,0.0209245,0.0360935,0.00626803,0.0179543,0.0180589,0.0132182,0.0186539,0,0,0,0,0,0,0
949,0.0192754,0,0,0,0,0.0138951,0,0,0,0,0,0,0.00087976,0.0292008,0.0115911,0.0111489,0,0,0.0210127,0,0.0226257,0.0232346,0.05211,0.0224767,0.0131515,0.0185766,0.00473204,0.0166756,0.00691784,0.0106931,0.0139933,0.0127035,0.0111768,0.0112286,0.0184563,0.00969748,0.0105401,0.0222069,0.0179008,0.0498913,0.0414005,0.0270236,0.0170232,0.0163073,0,0,0.018187,0,0.0455856,0.0135146,0.0347485,0.0324747,0.0125779,0.0113219,0.00342632,0.00590187,0.00334355,0.013744,0.00957339,0.00347898,0.0191363,0.0169544,0.0182696,0.021033,0.0388647,0.00547102,0.017728,0.0181267,0.0129007,0.0179526,0,0,0,0,0,0,0
950,0.0182556,0,0,0,0,0.0131717,0,0,0,0,0,0,0.00153848,0.0290401,0.0118968,0.0112643,0,0,0.0222029,0,0.0227421,0.0241284,0.0520116,0.0230593,0.0131635,0.0192066,0.00472326,0.0160992,0.00721345,0.0112427,0.014508,0.0133683,0.0120387,0.0114977,0.018344,0.0107951,0.0102355,0.0222968,0.0185331,0.0524566,0.0414225,0.0276569,0.0171245,0.0155131,0,0,0.0169729,0,0.0456072,0.0130146,0.0348446,0.032709,0.0126064,0.0112987,0.00338731,0.0060887,0.00344466,0.013885,0.0100693,0.00350034,0.0193957,0.0163869,0.0187821,0.0213267,0.0416217,0.00459359,0.0173605,0.0183208,0.0126353,0.0173899,0,0,0,0,0,0,0
951,0.0174883,0,0,0,0,0.0125095,0,0,0,0,0,0,0.00222257,0.0289462,0.0121266,0.0113436,0,0,0.0236518,0,0.0229014,0.0249807,0.0519162,0.0235725,0.0132,0.0198065,0.00468286,0.0159896,0.00736091,0.0114825,0.0149727,0.0141547,0.0114831,0.0117018,0.0182363,0.0117618,0.010656,0.022307,0.0191694,0.0550533,0.0415125,0.0282801,0.0172362,0.0149432,0,0,0.0155384,0,0.0456988,0.0124013,0.0349465,0.0329389,0.0126671,0.0113652,0.00337675,0.00647953,0.00358725,0.0140362,0.0104573,0.00346196,0.0197005,0.0159353,0.0192425,0.0217853,0.0444069,0.00367246,0.0172377,0.0184541,0.0124359,0.0169589,0,0,0,0,0,0,0
952,0.017042,0,0,0,0,0.011909,0,0,0,0,0,0,0.0027984,0.028975,0.0122418,0.0113542,0,0,0.0251231,0,0.023157,0.0259051,0.0517889,0.0239572,0.0132337,0.0203067,0.00462708,0.0164147,0.00757309,0.0113161,0.0153707,0.014195,0.0100472,0.0118113,0.0181544,0.0126484,0.0112721,0.0223054,0.019745,0.0573419,0.0415816,0.0286104,0.0173213,0.0145696,0,0,0.0139911,0,0.0457549,0.0118119,0.0350379,0.0329574,0.0127264,0.0115037,0.00338486,0.00694739,0.00390583,0.0141952,0.0108258,0.00341286,0.0199921,0.0155153,0.0196152,0.0218961,0.0469051,0.00279294,0.0172255,0.0185731,0.0122281,0.0165989,0,0,0,0,0,0,0
953,0.0170997,0,0,0,0,0.0128867,0,0,0,0,0,0,0.0036216,0.0283934,0.0124063,0.0110628,0,0,0.0293853,0,0.0240938,0.0282092,0.051583,0.024458,0.0133809,0.0205114,0.00450823,0.020109,0.0078477,0.0112498,0.0157127,0.0143977,0.0113018,0.0118536,0.0181268,0.013632,0.0141658,0.0223208,0.0205737,0.0591802,0.0417078,0.0288017,0.0172596,0.0137635,0,0,0.0128198,0,0.0456799,0.0112003,0.0350429,0.0329938,0.0126753,0.0115372,0.00305417,0.00753533,0.00401608,0.0142442,0.0111706,0.00343541,0.0200581,0.0151103,0.019897,0.02184,0.0492538,0.00216577,0.0172983,0.0187301,0.0136723,0.016276,0,0,0,0,0,0,0
954,0.0164514,0,0,0,0,0.0120529,0,0,0,0,0,0,0.00340941,0.0284092,0.0122161,0.0111032,0,0,0.030227,0,0.0243297,0.0286405,0.0512701,0.0241752,0.0135078,0.0199153,0.00445974,0.0210936,0.00758775,0.0107865,0.0154694,0.0139072,0.0115629,0.0115078,0.018374,0.0130041,0.0152756,0.0222559,0.0210223,0.0611084,0.0417356,0.0290117,0.017309,0.0135093,0,0,0.0115461,0,0.0457574,0.0105931,0.0351105,0.0327273,0.0127194,0.0114736,0.00313757,0.00788935,0.00398091,0.0143793,0.0115526,0.00354504,0.0201003,0.0148406,0.0201491,0.0219416,0.0512765,0.001573,0.0172156,0.0188354,0.0129383,0.0159963,0,0,0,0,0,0,0
955,0.0160418,0,0,0,0,0.0113462,0,0,0,0,0,0,0.00239442,0.0283276,0.0113934,0.0110654,0,0,0.0310346,0,0.024559,0.0290062,0.0507839,0.0226507,0.0138156,0.018897,0.0043465,0.0220484,0.00723063,0.00981388,0.0149079,0.0123325,0.0106171,0.0109564,0.0186476,0.0114222,0.0160763,0.0222075,0.0215321,0.062898,0.0417735,0.0292737,0.0173342,0.0132071,0,0,0.00998965,0,0.045788,0.0099974,0.0352486,0.0325447,0.012743,0.0115268,0.00315322,0.00846197,0.00393555,0.014495,0.0118631,0.00375323,0.0202168,0.0145284,0.0204432,0.0221637,0.0531748,0.00129673,0.0171829,0.0189603,0.0123057,0.0157017,0,0,0,0,0,0,0
956,0.0154744,0,0,0,0,0.0108742,0,0,0,0,0,0,0.00167718,0.0282322,0.0105612,0.0111162,0,0,0.0315643,0,0.0246933,0.0292316,0.0503969,0.0211679,0.0140583,0.0180558,0.00437368,0.0227597,0.00695745,0.00910834,0.0138751,0.0114211,0.00954674,0.0104339,0.0188789,0.0101007,0.0166209,0.0221259,0.0219082,0.0643643,0.041746,0.0294185,0.0174249,0.0130468,0,0,0.00854245,0,0.0458173,0.00952697,0.0353477,0.0321893,0.0127341,0.0116053,0.00334532,0.00848145,0.00386823,0.0146197,0.0121507,0.00392968,0.020254,0.0142536,0.0206147,0.0221082,0.0547525,0.00104763,0.0171667,0.0190678,0.0118089,0.0152875,0,0,0,0,0,0,0
957,0.0146942,0,0,0,0,0.0104427,0,0,0,0,0,0,0.00147203,0.0281101,0.00978487,0.0111623,0,0,0.0320303,0,0.0247823,0.0294801,0.0500563,0.019833,0.0142906,0.0172716,0.00419767,0.023448,0.00663478,0.00870717,0.0128727,0.0108364,0.00849745,0.0099252,0.0191217,0.00878461,0.0172523,0.0220436,0.0222213,0.0652547,0.0417042,0.029613,0.0175516,0.0129602,0,0,0.00741202,0,0.0458349,0.00917314,0.0354404,0.0320338,0.0127452,0.0116432,0.00360824,0.00835252,0.00389522,0.0147277,0.0123341,0.00396403,0.0203826,0.0140399,0.0208184,0.0221113,0.0561608,0.00121884,0.0171826,0.0191482,0.0113738,0.015061,0,0,0,0,0,0,0
