Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,RFIN
All Timesteps RMSE,0,0.0323341,0,0,0,0,0.0332505,0,0,0,0,0,0,0.0242481,0.0281094,0.0109421,0.0187607,0,0,0.0297441,0,0.0361646,0.0207147,0.0514434,0.0154109,0.0208241,0.0112639,0.0203671,0.0381581,0.011325,0.0136327,0.0112173,0.0105592,0.0113901,0.021305,0.0263431,0.0410184,0.0283902,0.0234895,0.0175509,0.0227214,0.0361033,0.0244891,0.0729428,0.0388167,0,0,0.0597259,0,0.0418771,0.0413241,0.036338,0.0206997,0.0157613,0.0247658,0.0469314,0.0117533,0.0167039,0.0122529,0.0148838,0.0218795,0.031044,0.0181459,0.029638,0.0256811,0.0416637,0.0616953,0.0185297,0.0350192,0.0285317,0,0,0,0,0,0,0.0456255
0,0,0.0263891,0,0,0,0,0.016068,0,0,0,0,0,0,0.00552679,0.0202254,0.00792808,0.0152699,0,0,0.0232538,0,0.0359872,0.0130515,0.0471478,0.00939553,0.0245114,0.00570852,0.0125896,0.0454809,0.0056627,0.00466493,0.00663912,0.00885929,0.00954372,0.00728762,0.0301617,0.00628864,0.0270764,0.00766176,0.00469837,0.0145406,0.0230126,0.0212918,0.0201048,0.0287293,0,0,0.0970915,0,0.0740768,0.0435363,0.0236215,0.014263,0.023085,0.0139953,0.0832361,0.00548449,0.014818,0.0151986,0.0146377,0.0178299,0.0400687,0.0148481,0.0167076,0.0165408,0.087568,0.0746989,0.0199025,0.0120683,0.0224874,0,0,0,0,0,0,0
1,0,0.0267459,0,0,0,0,0.0163197,0,0,0,0,0,0,0.00534668,0.0203039,0.00762698,0.015261,0,0,0.0255081,0,0.0355924,0.0147427,0.0473195,0.00904726,0.0243027,0.00582589,0.0131918,0.0461817,0.00558591,0.00500198,0.00678095,0.00867612,0.00935801,0.0069759,0.0300119,0.00614771,0.0290686,0.00811454,0.00514883,0.0125247,0.0229518,0.0192525,0.0198319,0.0290031,0,0,0.0976035,0,0.0752088,0.0435543,0.0211587,0.0145897,0.0214629,0.0148724,0.0827687,0.00504352,0.0147875,0.0141575,0.0134516,0.0165991,0.039914,0.0138417,0.0152777,0.0145739,0.0878879,0.0744453,0.0200696,0.0123548,0.0229204,0,0,0,0,0,0,0
2,0,0.0113761,0,0,0,0,0.0314642,0,0,0,0,0,0,0.00564807,0.0186837,0.00990424,0.014401,0,0,0.0327114,0,0.037328,0.0197386,0.0448655,0.01055,0.0248642,0.00898435,0.00712871,0.0525314,0.00844434,0.00854764,0.00987345,0.0109885,0.0120644,0.00849686,0.0311894,0.00857589,0.0372798,0.00710112,0.00863709,0.0130245,0.0377691,0.0191151,0.0185844,0.0271578,0,0,0.0709226,0,0.087981,0.0437288,0.0205943,0.0151722,0.0202986,0.00798811,0.055773,0,0.0141153,0.0137169,0.0129994,0.0158205,0.0406842,0.0139903,0.0142067,0.014521,0.0687248,0.0912041,0.0274395,0.03161,0.0130894,0,0,0,0,0,0,0
3,0,0.0110734,0,0,0,0,0.0312425,0,0,0,0,0,0,0.00558379,0.0185669,0.00997794,0.0145752,0,0,0.0325656,0,0.037414,0.0195839,0.0448142,0.0105876,0.0249222,0.00904158,0.00697472,0.0524515,0.0085051,0.00862852,0.00993606,0.0111197,0.0122016,0.00865531,0.0313184,0.0086048,0.0371602,0.00715815,0.00856226,0.013446,0.0380811,0.0191315,0.018771,0.0265238,0,0,0.07143,0,0.0882888,0.0437311,0.0204639,0.0149937,0.0207819,0.00778579,0.0554171,0.00532608,0.0141954,0.0141299,0.0132851,0.0159919,0.0408146,0.0139889,0.0142556,0.0148788,0.0686887,0.0909217,0.0277229,0.0312818,0.0125749,0,0,0,0,0,0,0
4,0,0.0107522,0,0,0,0,0.0311035,0,0,0,0,0,0,0.00558145,0.018599,0.0100055,0.0146276,0,0,0.0326714,0,0.0373725,0.019645,0.0447845,0.0105995,0.0249365,0.00907802,0.00692444,0.0525756,0.00851588,0.00867132,0.00995933,0.0111722,0.0122575,0.00869603,0.0313311,0.00860371,0.0372556,0.00709734,0.00861743,0.0133632,0.0383491,0.0191862,0.0188395,0.0260567,0,0,0.071796,0,0.0884882,0.0437688,0.0205684,0.0150298,0.020626,0.00773366,0.0551496,0.00531244,0.0140953,0.0139578,0.013227,0.0159295,0.0408268,0.0139954,0.0142428,0.0148304,0.0686846,0.0907737,0.0279396,0.0310744,0.0122043,0,0,0,0,0,0,0
5,0,0.0104987,0,0,0,0,0.0310362,0,0,0,0,0,0,0.00557346,0.0186106,0.00999958,0.014504,0,0,0.0327909,0,0.0373703,0.0196781,0.0447961,0.0105423,0.0250128,0.00908256,0.00680369,0.052686,0.00849262,0.00868756,0.00993975,0.0111563,0.0122918,0.00869279,0.0313032,0.00866161,0.0373653,0.00702675,0.00868994,0.0121131,0.0385053,0.0193696,0.0186357,0.0256932,0,0,0.0720975,0,0.0886753,0.0437458,0.02124,0.0151835,0.0193849,0.00757815,0.0548977,0,0.0135085,0.0128355,0.0127428,0.0157753,0.0408843,0.0143057,0.014406,0.0136186,0.0685765,0.0906714,0.0280775,0.0309683,0.0119274,0,0,0,0,0,0,0
6,0,0.0103361,0,0,0,0,0.0310877,0,0,0,0,0,0,0.00559049,0.0186195,0.0100029,0.0144255,0,0,0.0327614,0,0.0373561,0.019645,0.0447293,0.0104802,0.0250974,0.00911436,0.00670246,0.0528182,0.00851765,0.0086081,0.00993559,0.0111697,0.0123275,0.00872188,0.0313001,0.00871359,0.0373702,0.00700423,0.00871659,0.012076,0.0385637,0.0193755,0.0185584,0.0254894,0,0,0.072273,0,0.0889471,0.0437334,0.0212351,0.0151666,0.0191776,0.00733524,0.0546741,0.00492975,0.013503,0.0126807,0.0126166,0.0157314,0.0409463,0.0144003,0.0143753,0.0134365,0.0684077,0.0904482,0.0281045,0.0310031,0.0116911,0,0,0,0,0,0,0
7,0,0.0101748,0,0,0,0,0.0312443,0,0,0,0,0,0,0.00561283,0.018588,0.00998796,0.0143292,0,0,0.032842,0,0.0373814,0.0196997,0.0446854,0.010478,0.0252046,0.00908172,0.00661602,0.0530653,0.00847987,0.00853957,0.00990164,0.0111687,0.0123375,0.00872642,0.031292,0.00878889,0.0374902,0.00702827,0.00876452,0.0113249,0.0385238,0.0194779,0.0184189,0.0253687,0,0,0.0723551,0,0.0892058,0.0437221,0.0215939,0.015299,0.0181459,0.00713871,0.054456,0.00483038,0.0132146,0.0118082,0.0120933,0.015576,0.0409699,0.0146392,0.0144673,0.0125764,0.0682169,0.0903267,0.0280567,0.0311276,0.0115143,0,0,0,0,0,0,0
8,0,0.0102077,0,0,0,0,0.0315362,0,0,0,0,0,0,0.00559776,0.0185091,0.0099694,0.0141316,0,0,0.0330033,0,0.03747,0.0197793,0.0447034,0.0105165,0.0253594,0.00901076,0.00654589,0.0533133,0.00837067,0.00851617,0.00984002,0.0111153,0.0123127,0.00871293,0.0312461,0.00888322,0.0376626,0.00710239,0.00884032,0.00985988,0.0385459,0.0197953,0.0181477,0.0255472,0,0,0.0723335,0,0.0891232,0.0436947,0.0225475,0.0156087,0.0162683,0.00688778,0.0542891,0,0.0126516,0.0100609,0.0111674,0.0154743,0.040968,0.0151064,0.0148956,0.0108028,0.0679812,0.0903129,0.0280573,0.0313997,0.0115375,0,0,0,0,0,0,0
9,0,0.0103195,0,0,0,0,0.0318996,0,0,0,0,0,0,0.00553857,0.0184649,0.00995993,0.0138823,0,0,0.0330555,0,0.0375093,0.0198063,0.0446968,0.0104237,0.025564,0.00892108,0.00650068,0.0535423,0.00828405,0.00845784,0.00975312,0.0110802,0.0122921,0.00873077,0.0312344,0.00895151,0.0377684,0.00717142,0.00885191,0.00933936,0.0385147,0.0200002,0.0179432,0.0258344,0,0,0.0721662,0,0.0890921,0.0436717,0.0230347,0.015786,0.0151741,0.00657316,0.054137,0.00414338,0.0124278,0.00900478,0.0105313,0.0154698,0.0409696,0.01541,0.015155,0.00967424,0.0678066,0.0901966,0.0279941,0.0317563,0.0115985,0,0,0,0,0,0,0
10,0,0.0100539,0,0,0,0,0.031825,0,0,0,0,0,0,0.00549255,0.0184184,0.00995045,0.0136918,0,0,0.0330385,0,0.0374911,0.0197695,0.0447536,0.0103368,0.0257848,0.00883207,0.0064661,0.053688,0.00817078,0.00834625,0.00962121,0.0110393,0.0122433,0.00874178,0.0312269,0.008939,0.0377957,0.00718832,0.00885128,0.00841346,0.0385074,0.0205569,0.0176315,0.0254937,0,0,0.0722876,0,0.0890133,0.0436854,0.0242417,0.0159839,0.0136279,0.00644127,0.0539499,0.00367303,0.0123288,0.00750946,0.0096508,0.0157085,0.0409374,0.0159012,0.0159304,0.00790689,0.06773,0.0900341,0.0279631,0.0316642,0.0113909,0,0,0,0,0,0,0
11,0,0.00986406,0,0,0,0,0.0318167,0,0,0,0,0,0,0.00545587,0.0184102,0.00991624,0.0134389,0,0,0.0330534,0,0.0374383,0.0197585,0.0447849,0.0102587,0.025986,0.00866139,0.00644399,0.0538418,0.00804361,0.00829503,0.00941972,0.0109542,0.0121682,0.00872102,0.0312043,0.00896158,0.0378584,0.00717559,0.00884088,0.00792457,0.0385791,0.0215805,0.0171497,0.0252627,0,0,0.0724273,0,0.088953,0.0437212,0.0262614,0.0162724,0.0121439,0.00619194,0.0537666,0,0.0124127,0.00563912,0.0085914,0.0165023,0.0408443,0.0167161,0.0175455,0.00523704,0.0675781,0.0899017,0.0280174,0.031624,0.0112509,0,0,0,0,0,0,0
12,0,0.00970133,0,0,0,0,0.0318389,0,0,0,0,0,0,0.00538832,0.0184973,0.00988974,0.0132655,0,0,0.0330615,0,0.0374265,0.0197554,0.0447411,0.0102225,0.0261411,0.00846551,0.00650413,0.0540353,0.00793337,0.00829883,0.00923337,0.0109123,0.0120831,0.00873825,0.0312053,0.00894171,0.0379175,0.0070985,0.00877258,0.00848924,0.0386083,0.0223973,0.0169619,0.0251159,0,0,0.0725292,0,0.0888462,0.0437839,0.0277268,0.0164898,0.0117275,0.00594087,0.0536245,0.00252929,0.0127848,0.00474928,0.00784658,0.0172762,0.0407098,0.0172706,0.0188466,0.00340169,0.0674474,0.0897284,0.0280228,0.0316372,0.0111442,0,0,0,0,0,0,0
13,0,0.00955102,0,0,0,0,0.0318907,0,0,0,0,0,0,0.00532481,0.0186183,0.00985671,0.0130639,0,0,0.0330932,0,0.0373865,0.0198034,0.0447015,0.0101603,0.0263365,0.00823988,0.00661887,0.0541967,0.00779751,0.00814782,0.00902728,0.0108223,0.0119554,0.00874368,0.0311871,0.00889015,0.0379636,0.00693743,0.0087165,0.00967014,0.0385336,0.0231668,0.0167559,0.0250313,0,0,0.0725344,0,0.0888144,0.0438744,0.0290831,0.0168069,0.0121732,0.00569033,0.0534916,0.00194608,0.0133413,0.00488364,0.00743537,0.0182033,0.040501,0.0177187,0.0202333,0.00260828,0.0673276,0.0895032,0.0279408,0.0316725,0.0110716,0,0,0,0,0,0,0
14,0,0.00947903,0,0,0,0,0.0320004,0,0,0,0,0,0,0.00521069,0.0186698,0.0097769,0.0128526,0,0,0.0330548,0,0.0373547,0.0197738,0.044665,0.0100902,0.0265764,0.00797191,0.00682695,0.0543131,0.00766156,0.00785034,0.00880052,0.0106646,0.0118063,0.00869814,0.0311327,0.00882681,0.0379724,0.0069065,0.00866783,0.0110006,0.0383761,0.0235912,0.0165547,0.025092,0,0,0.0724802,0,0.0888348,0.0439679,0.0298919,0.0171619,0.0130499,0.0055214,0.0534389,0.00158668,0.0139363,0.005712,0.00726698,0.0189373,0.0402063,0.017879,0.0212355,0.0034933,0.0672576,0.0892982,0.0278227,0.0317793,0.0111118,0,0,0,0,0,0,0
15,0,0.00959685,0,0,0,0,0.0322509,0,0,0,0,0,0,0.00510091,0.0186763,0.0096712,0.0127189,0,0,0.033063,0,0.0373002,0.0198111,0.0446381,0.00999331,0.0268089,0.00772846,0.00709037,0.054379,0.00757502,0.00766442,0.00860256,0.0105131,0.0116751,0.0086462,0.0310684,0.00879043,0.0380311,0.00696101,0.00867933,0.0119732,0.0383436,0.0236196,0.0163892,0.025396,0,0,0.072462,0,0.0887335,0.0440655,0.0301136,0.0174743,0.0138092,0.00542761,0.0534502,0.00177336,0.0143702,0.0064633,0.00723057,0.0193163,0.0398219,0.0177426,0.0217676,0.00485758,0.0671862,0.0892047,0.0278403,0.0320303,0.011278,0,0,0,0,0,0,0
16,0,0.00973924,0,0,0,0,0.0324932,0,0,0,0,0,0,0.00497341,0.0186855,0.00953079,0.0126309,0,0,0.033053,0,0.0372663,0.0198434,0.044587,0.00985972,0.0270613,0.00750989,0.00741063,0.0544233,0.00751499,0.0075616,0.00838531,0.0103826,0.0115233,0.00858199,0.030992,0.00872018,0.0380497,0.00704766,0.00868555,0.0126467,0.0382221,0.0233391,0.0161344,0.0257304,0,0,0.0724403,0,0.0886884,0.0441496,0.0298686,0.0178106,0.0143256,0.00539286,0.0535035,0.00212564,0.0146705,0.00699192,0.00721382,0.0193228,0.0393478,0.0173782,0.0218588,0.00605742,0.0671056,0.0890749,0.0277898,0.0322923,0.0114853,0,0,0,0,0,0,0
17,0,0.0098179,0,0,0,0,0.0326836,0,0,0,0,0,0,0.00475511,0.0186651,0.00935091,0.0125785,0,0,0.0330495,0,0.0372608,0.0198802,0.0444158,0.00984584,0.0272798,0.00726397,0.00776958,0.0544534,0.00740422,0.00734261,0.00814212,0.0102866,0.0113507,0.00856884,0.0309579,0.00836008,0.0380828,0.00712133,0.00866502,0.0129915,0.0379999,0.0228225,0.0157945,0.0260104,0,0,0.0723856,0,0.088722,0.0441135,0.0292735,0.0182974,0.0146576,0.00545967,0.0535597,0.00235263,0.0148808,0.00730644,0.00726864,0.0190567,0.0388282,0.0168746,0.0215844,0.00685039,0.0670423,0.0888815,0.02769,0.0324996,0.0116995,0,0,0,0,0,0,0
18,0,0.0101723,0,0,0,0,0.0331063,0,0,0,0,0,0,0.00458337,0.0186688,0.00931229,0.0124727,0,0,0.0329112,0,0.0372184,0.0198294,0.0440564,0.0100499,0.0273581,0.00698619,0.00810048,0.0543393,0.00726176,0.00690954,0.0079426,0.010269,0.0112269,0.00868029,0.0310972,0.00760649,0.0380507,0.007186,0.0085799,0.0130033,0.0376967,0.0223581,0.0156696,0.0267401,0,0,0.0721365,0,0.0886553,0.0439064,0.0286794,0.018612,0.0146912,0.00550328,0.0537685,0,0.0148565,0.00724136,0.00743308,0.0187451,0.0385253,0.0164925,0.0212201,0.00715347,0.066903,0.0888028,0.0275252,0.0329689,0.0121082,0,0,0,0,0,0,0
19,0,0.0106203,0,0,0,0,0.033689,0,0,0,0,0,0,0.00440319,0.0188224,0.00935478,0.0122131,0,0,0.0325358,0,0.0370241,0.0196342,0.0439396,0.0101156,0.0273123,0.00679345,0.00831604,0.0542911,0.00712323,0.00661709,0.00776038,0.0103492,0.0112465,0.00883907,0.0312784,0.00718543,0.0378025,0.00719258,0.00836323,0.012668,0.0375846,0.0240047,0.0158722,0.0275634,0,0,0.0718387,0,0.0885715,0.0432212,0.0298718,0.018399,0.0146079,0.0054863,0.053947,0,0.014558,0.00667388,0.00840001,0.0190131,0.0390708,0.017978,0.0214496,0.00327615,0.0667496,0.0888516,0.0275087,0.0336165,0.0124193,0,0,0,0,0,0,0
20,0,0.0108092,0,0,0,0,0.0339594,0,0,0,0,0,0,0.00434326,0.0188274,0.00928982,0.012343,0,0,0.0324185,0,0.03697,0.0195201,0.0438197,0.0101444,0.0274361,0.00659668,0.00855009,0.0541725,0.00707711,0.00643378,0.00752006,0.0103237,0.0111456,0.00890119,0.0313194,0.00678273,0.037687,0.00725979,0.00823316,0.0107896,0.0373193,0.0222045,0.0160821,0.0280806,0,0,0.0716841,0,0.0883842,0.0433519,0.0275511,0.0183942,0.0128904,0.00569362,0.0542174,0,0.0138941,0.00549024,0.00786304,0.0175071,0.0389984,0.0167587,0.0196089,0.00207447,0.0667557,0.0889021,0.0273448,0.0339212,0.0127287,0,0,0,0,0,0,0
21,0,0.0109827,0,0,0,0,0.0340429,0,0,0,0,0,0,0.00443261,0.0187504,0.00925382,0.0124544,0,0,0.0323014,0,0.037006,0.0194642,0.0437671,0.0102962,0.0274876,0.00650366,0.00866367,0.0539854,0.00705635,0.00636021,0.00740893,0.0102602,0.0110629,0.00888923,0.0313137,0.00660478,0.037534,0.00742294,0.00813895,0.00932406,0.0370117,0.0208014,0.0164118,0.028394,0,0,0.071539,0,0.0881876,0.0434936,0.0258423,0.0184426,0.0117406,0.00583234,0.0544466,0,0.013456,0.00467128,0.00758015,0.0164232,0.0389451,0.0157719,0.0182948,0.00204731,0.0668185,0.088982,0.0271474,0.0340434,0.0129648,0,0,0,0,0,0,0
22,0,0.011035,0,0,0,0,0.0340504,0,0,0,0,0,0,0.00450855,0.0187259,0.00922719,0.0125785,0,0,0.0322216,0,0.0370049,0.0194291,0.043743,0.0103088,0.0274738,0.00644167,0.00865088,0.0539269,0.00704558,0.00628924,0.00733476,0.0102305,0.0110212,0.0089049,0.031327,0.00645195,0.0374372,0.00755464,0.00807808,0.00827773,0.0366314,0.0198138,0.0165903,0.0285959,0,0,0.0713899,0,0.0881003,0.043642,0.024729,0.0184705,0.0110408,0.0058971,0.0546196,0,0.0133304,0.00413279,0.00747614,0.01572,0.038905,0.0150792,0.0174326,0.0026921,0.0668523,0.0890821,0.0269286,0.0341005,0.013124,0,0,0,0,0,0,0
23,0,0.0109821,0,0,0,0,0.0339194,0,0,0,0,0,0,0.00453907,0.0187217,0.00918576,0.0127011,0,0,0.0321553,0,0.0369596,0.0193463,0.0437395,0.0101185,0.0274103,0.00640953,0.00857546,0.0539053,0.00704584,0.00619133,0.00727867,0.0102143,0.010981,0.00895117,0.031356,0.00629441,0.0373922,0.00759369,0.00802306,0.00756814,0.0362024,0.019183,0.0166019,0.0285985,0,0,0.0714051,0,0.0880032,0.0437645,0.023997,0.0184544,0.0106237,0.00593783,0.0547629,0,0.0131972,0.00381966,0.00743598,0.0153031,0.0388593,0.014623,0.0169011,0.00333826,0.0669414,0.0891806,0.0267061,0.0340065,0.0131907,0,0,0,0,0,0,0
24,0,0.0108546,0,0,0,0,0.0336952,0,0,0,0,0,0,0.00456961,0.0187562,0.00912428,0.0127655,0,0,0.0320546,0,0.0369301,0.0192531,0.04376,0.0099954,0.0273932,0.00637064,0.00852438,0.0539152,0.00701393,0.00613694,0.00722346,0.0101791,0.0108935,0.0089282,0.031344,0.0061624,0.037291,0.00760586,0.00798217,0.00709636,0.0357944,0.0185887,0.016511,0.0284671,0,0,0.071503,0,0.0878975,0.0438608,0.0233326,0.0184753,0.010261,0.00599471,0.0548832,0.00339806,0.0130247,0.00353937,0.00735566,0.014949,0.0388037,0.0142024,0.0164505,0.0041103,0.0670986,0.0892562,0.026468,0.0337902,0.0131798,0,0,0,0,0,0,0
25,0,0.0106934,0,0,0,0,0.0334315,0,0,0,0,0,0,0.00461618,0.0188387,0.00905377,0.0127826,0,0,0.0319311,0,0.0369276,0.0191574,0.0437748,0.00992591,0.0273963,0.00630637,0.00850421,0.0538495,0.00696528,0.00612108,0.00716599,0.0101618,0.0108021,0.00886971,0.031325,0.00604734,0.0371728,0.00758773,0.00795833,0.00669844,0.0354135,0.0182109,0.0164239,0.028251,0,0,0.0715858,0,0.0878022,0.0439045,0.0229192,0.0184511,0.0100952,0.0060459,0.0549698,0,0.0128301,0.00338396,0.00744659,0.0147227,0.0387633,0.0139387,0.0161715,0.0046549,0.0672031,0.0892887,0.026226,0.0335146,0.0131246,0,0,0,0,0,0,0
26,0,0.0104824,0,0,0,0,0.0330668,0,0,0,0,0,0,0.00462216,0.0188438,0.00899733,0.0128063,0,0,0.0318287,0,0.0369032,0.0190632,0.0437736,0.00986679,0.0273832,0.00623393,0.0084402,0.0537645,0.00694444,0.00605141,0.00710602,0.0101118,0.0107489,0.0088228,0.031302,0.00602773,0.0370942,0.00759482,0.00789607,0.00652884,0.034966,0.0179642,0.0165493,0.0279215,0,0,0.0717064,0,0.0876973,0.0439275,0.0226577,0.0184226,0.00997942,0.00603521,0.0550384,0,0.0127312,0.00324678,0.00747541,0.0145569,0.0387926,0.0137325,0.0159882,0.00507803,0.0673768,0.0892838,0.0259557,0.0331773,0.0130229,0,0,0,0,0,0,0
27,0,0.0101184,0,0,0,0,0.0325009,0,0,0,0,0,0,0.00462845,0.0188027,0.008973,0.012816,0,0,0.0316833,0,0.0367948,0.0189662,0.0437823,0.00984993,0.027342,0.00616805,0.00833281,0.053579,0.00693852,0.00597783,0.00704578,0.0100652,0.0107313,0.00882154,0.0312717,0.00600874,0.0369846,0.00762937,0.00776497,0.00645377,0.0345899,0.0178008,0.0165961,0.0273232,0,0,0.0719495,0,0.0876934,0.0439338,0.0224958,0.0183979,0.0099154,0.005983,0.0550709,0,0.0126291,0.00313535,0.00751473,0.014446,0.0388175,0.0135906,0.0159107,0.00541716,0.0675332,0.0892495,0.0257837,0.0326481,0.0128125,0,0,0,0,0,0,0
28,0,0.00972497,0,0,0,0,0.0319166,0,0,0,0,0,0,0.00464797,0.018829,0.00894529,0.0128201,0,0,0.0315354,0,0.0367452,0.0188757,0.0438196,0.00984645,0.027311,0.00611059,0.00823895,0.0534463,0.00687599,0.00580878,0.00699072,0.0100213,0.0106849,0.00882153,0.0312474,0.00595607,0.0367208,0.0076961,0.0076974,0.00641408,0.0342607,0.0175981,0.01659,0.0266586,0,0,0.0722047,0,0.0876665,0.0439542,0.0223069,0.0184001,0.00979128,0.00596954,0.055093,0.00383746,0.0126028,0.00307046,0.00744084,0.0143276,0.0387949,0.0134612,0.0157926,0.00571638,0.0677783,0.0891869,0.0256016,0.0320625,0.0125754,0,0,0,0,0,0,0
29,0,0.00925636,0,0,0,0,0.0311859,0,0,0,0,0,0,0.00472569,0.0189014,0.00890358,0.0128025,0,0,0.0313285,0,0.0367423,0.0187486,0.0439196,0.009909,0.0273035,0.00603296,0.0081494,0.0532949,0.00677358,0.00563518,0.00692086,0.00996292,0.0105911,0.00876077,0.0312003,0.00595845,0.0364009,0.00776352,0.00761646,0.00634565,0.0339162,0.0174849,0.0165827,0.0258564,0,0,0.0725675,0,0.0876137,0.0439538,0.0221995,0.0183816,0.00977649,0.00596664,0.0551582,0,0.012542,0.00306763,0.0074831,0.014275,0.0387536,0.0134012,0.0157254,0.00593654,0.0680544,0.089093,0.0253676,0.0313621,0.0123212,0,0,0,0,0,0,0
30,0,0.00874561,0,0,0,0,0.0303958,0,0,0,0,0,0,0.00489794,0.0189203,0.00889927,0.0127937,0,0,0.0311551,0,0.0367457,0.0186322,0.0440338,0.0102219,0.0272526,0.00595566,0.0080553,0.0529887,0.00668059,0.00549093,0.00686673,0.00990212,0.0105114,0.00866837,0.0311346,0.00603446,0.0361628,0.00782052,0.0075331,0.00631448,0.0335962,0.0173286,0.0166161,0.0249845,0,0,0.0730053,0,0.0875421,0.0439691,0.0220358,0.0183852,0.00971129,0.00597957,0.0552322,0.00388265,0.0125064,0.00300714,0.00741768,0.0142086,0.0386961,0.0132914,0.0156139,0.00618296,0.0683096,0.0889856,0.0251283,0.0306257,0.0120761,0,0,0,0,0,0,0
31,0,0.00817887,0,0,0,0,0.029513,0,0,0,0,0,0,0.00495713,0.0189283,0.00887186,0.012788,0,0,0.0310229,0,0.0367075,0.0184938,0.0441217,0.0102686,0.0271833,0.00587529,0.007891,0.0527603,0.00662312,0.00536246,0.00683828,0.00983509,0.010463,0.00860594,0.0311154,0.00601578,0.0359574,0.00787036,0.00742551,0.00627086,0.0333497,0.0172973,0.0165536,0.0239897,0,0,0.0734997,0,0.0874804,0.0439626,0.0220104,0.0184374,0.00973412,0.00593563,0.0552978,0,0.0123914,0.00298712,0.00745477,0.014203,0.0387013,0.0132596,0.0156192,0.00628726,0.0686352,0.0888957,0.0249482,0.0297942,0.0117958,0,0,0,0,0,0,0
32,0,0.00763104,0,0,0,0,0.0286004,0,0,0,0,0,0,0.00492842,0.0189849,0.00879946,0.0128161,0,0,0.0309436,0,0.0366356,0.0183962,0.0441902,0.0100315,0.0271209,0.00577952,0.00765338,0.0524223,0.00655174,0.00526121,0.0067534,0.00979568,0.0104191,0.00858993,0.0311364,0.00586664,0.0357545,0.00786163,0.00734637,0.00625063,0.0331179,0.0172856,0.0163244,0.0229019,0,0,0.0740149,0,0.0874003,0.0439785,0.0220224,0.0185987,0.00969949,0.005888,0.0553758,0,0.0123891,0.00294872,0.00745259,0.014195,0.0387765,0.0132449,0.0156441,0.00638409,0.068974,0.0888586,0.0247609,0.0288758,0.0114502,0,0,0,0,0,0,0
33,0,0.00712012,0,0,0,0,0.0277,0,0,0,0,0,0,0.00498477,0.0190866,0.00873117,0.0128538,0,0,0.0308762,0,0.0365518,0.0183529,0.0442795,0.00986339,0.0270548,0.0056959,0.00748131,0.0521216,0.00644674,0.00511704,0.00665288,0.00975527,0.0103329,0.00857137,0.0311306,0.00576027,0.0355888,0.0077808,0.00732928,0.00621066,0.0328564,0.0172682,0.0160623,0.0218423,0,0,0.0744964,0,0.087309,0.043969,0.0219808,0.0186736,0.00967578,0.00594699,0.0555001,0,0.0122891,0.00295509,0.0074326,0.0141806,0.0387911,0.0132286,0.0156086,0.0064674,0.0692424,0.0887823,0.0245549,0.0279663,0.0111353,0,0,0,0,0,0,0
34,0,0.00664635,0,0,0,0,0.026809,0,0,0,0,0,0,0.00509699,0.0191423,0.00868468,0.0128813,0,0,0.0307512,0,0.0365127,0.0182621,0.0443822,0.00994113,0.0269897,0.00562688,0.00736994,0.0518598,0.00633723,0.00496547,0.00657765,0.00970175,0.0102487,0.00853115,0.0310723,0.00577836,0.0353839,0.00776489,0.00730261,0.00618739,0.0325925,0.0172378,0.0160267,0.0208336,0,0,0.0749649,0,0.0872225,0.0439558,0.0219234,0.0186646,0.00965874,0.00603275,0.0556726,0,0.0122229,0.00295647,0.00744475,0.0141811,0.0387557,0.0132055,0.015579,0.00657069,0.0694705,0.0886742,0.024327,0.0270862,0.0108743,0,0,0,0,0,0,0
35,0,0.00624327,0,0,0,0,0.0259604,0,0,0,0,0,0,0.00509424,0.0191625,0.00863339,0.0129015,0,0,0.0306332,0,0.0364853,0.0181715,0.0444684,0.00982364,0.0269054,0.00554092,0.00731573,0.0516161,0.00623233,0.00483522,0.00647897,0.00965571,0.0101869,0.00851087,0.0310565,0.00566646,0.0351803,0.00778488,0.00724603,0.00620935,0.0323946,0.0171724,0.0161868,0.0198829,0,0,0.0754577,0,0.0872054,0.0439657,0.0218621,0.018629,0.00962533,0.0061682,0.0558704,0.00383604,0.012245,0.00294731,0.00739754,0.0141777,0.0387033,0.0131581,0.0155621,0.00673699,0.069817,0.0885735,0.0241729,0.026257,0.0106384,0,0,0,0,0,0,0
