Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,RFIN
1162,0,0.0186365,0,0,0,0,0.0304055,0,0,0,0,0,0,0.0152988,0.0102455,0.00520595,0.0126745,0,0,0.0164683,0,0,0.0104754,0.0512589,0.0171573,0.0164196,0.00764976,0.00202155,0.0168325,0.00478221,0.00753052,0.0054042,0.0058758,0.00776897,0.00476412,0.0196065,0.0275375,0.00784959,0.0114524,0.0127158,0.0230851,0.0407143,0.040398,0.114328,0.0350067,0,0,0.0294537,0,0.0220042,0.0354577,0.0604996,0,0.00908359,0.0106132,0.0350005,0.00953273,0.0239973,0.0236492,0.0123069,0.0211738,0.0126571,0.0251684,0.0291443,0.00581754,0.0238264,0.00514732,0.016419,0.0366612,0.0208885,0,0,0,0,0,0,0.0480385
1163,0,0.0185212,0,0,0,0,0.0303482,0,0,0,0,0,0,0.0151482,0.0102462,0.00517287,0.0125783,0,0,0.0164754,0,0,0.0104161,0.0513033,0.0162051,0.0164878,0.00770602,0.00199918,0.0170006,0.00469129,0.00749657,0.005455,0.00565343,0.00757608,0.00452616,0.0195743,0.0274412,0.0079192,0.0114555,0.0127176,0.0260968,0.040698,0.0418584,0.114235,0.0349383,0,0,0.029351,0,0.022026,0.035335,0.0618365,0,0.0100015,0.0105502,0.0350535,0.00987742,0.0243456,0.024632,0.0130542,0.0213852,0.0123103,0.0259287,0.0296111,0.00719635,0.0238425,0.00498694,0.0163551,0.0366714,0.020795,0,0,0,0,0,0,0.0480291
1164,0,0.0184349,0,0,0,0,0.0303284,0,0,0,0,0,0,0.0151084,0.0102276,0.00526873,0.0124657,0,0,0.016476,0,0,0.0104091,0.0513547,0.0158422,0.0165583,0.00770984,0.00195472,0.0171436,0.00462788,0.00753967,0.00542901,0.00551805,0.00742505,0.00447184,0.0196216,0.0274044,0.00790994,0.0114459,0.012708,0.0296185,0.0406915,0.0430455,0.114015,0.0348728,0,0,0.0292184,0,0.0221034,0.0352287,0.0629593,0,0.0107057,0.0104275,0.0350993,0.0100844,0.024699,0.0255045,0.0136805,0.021447,0.0120317,0.0263899,0.0299224,0.00977023,0.0238799,0.00500409,0.0161781,0.0367046,0.0206818,0,0,0,0,0,0,0.0479985
1165,0,0.0184104,0,0,0,0,0.0303284,0,0,0,0,0,0,0.0154116,0.0102192,0.00538609,0.0123663,0,0,0.016507,0,0,0.0103783,0.051459,0.0158106,0.0165929,0.00763991,0.00186762,0.017205,0.004589,0.00758466,0.00537245,0.00548665,0.00733951,0.00460046,0.0197322,0.0275619,0.00791854,0.0114299,0.0126983,0.0333549,0.0406567,0.0438801,0.11394,0.0348533,0,0,0.0296886,0,0.0221477,0.0351276,0.0635136,0,0.0112692,0.0102802,0.035199,0.0101718,0.025052,0.0262436,0.01412,0.0214508,0.0118861,0.0266809,0.0300237,0.0133384,0.023921,0.00498964,0.0161804,0.036752,0.0206295,0,0,0,0,0,0,0.0479437
1166,0,0.0183224,0,0,0,0,0.0303279,0,0,0,0,0,0,0.015923,0.0102129,0.00556282,0.012276,0,0,0.0165452,0,0,0.0103246,0.0515622,0.0165548,0.0166152,0.00753619,0.0017469,0.0172912,0.00455708,0.00754683,0.0053067,0.00544183,0.00724428,0.00476696,0.0197925,0.0277269,0.00800239,0.011413,0.0127222,0.0373844,0.0405861,0.0443746,0.113799,0.0347824,0,0,0.0299738,0,0.0222211,0.0351188,0.0633536,0,0.0117185,0.0100764,0.0352469,0.0100529,0.0254517,0.0268783,0.0143649,0.0215048,0.0118402,0.026976,0.0299534,0.0178541,0.0239071,0.00485237,0.0161813,0.0367845,0.0206437,0,0,0,0,0,0,0.0478584
1167,0,0.0182094,0,0,0,0,0.0303076,0,0,0,0,0,0,0.0162148,0.0101994,0.00573614,0.0122135,0,0,0.0165972,0,0,0.0103017,0.0516429,0.0168005,0.0166758,0.00743859,0.00171356,0.0173804,0.00457878,0.00756842,0.00522373,0.00537535,0.00717382,0.00480581,0.0198253,0.0278031,0.00808873,0.0113962,0.0127561,0.0417595,0.0405947,0.0445752,0.113599,0.0347308,0,0,0.0299831,0,0.0222562,0.0350591,0.0625429,0,0.0120418,0.00980085,0.0353025,0.00984462,0.0258877,0.0274025,0.0143789,0.0214195,0.0117284,0.0271988,0.0296435,0.0230227,0.0239007,0.00477922,0.016156,0.036802,0.0205676,0,0,0,0,0,0,0.0478581
1168,0,0.0181425,0,0,0,0,0.0302866,0,0,0,0,0,0,0.0163176,0.0101909,0.00588681,0.012158,0,0,0.0166159,0,0,0.0102718,0.0517613,0.0164736,0.0167413,0.00740547,0.00168574,0.0174341,0.00462996,0.00765662,0.00517017,0.0053341,0.00714405,0.00484667,0.0198519,0.0278264,0.00812905,0.0113778,0.0127722,0.0462277,0.040647,0.0446202,0.113446,0.0347438,0,0,0.0301615,0,0.0222161,0.0350879,0.0613513,0,0.0123032,0.00944012,0.035369,0.00992005,0.0263126,0.0277949,0.0142606,0.0212736,0.0116732,0.0273003,0.0290406,0.028496,0.0239252,0.00481724,0.0161563,0.0368395,0.0204714,0,0,0,0,0,0,0.047907
1169,0,0.0180472,0,0,0,0,0.0302681,0,0,0,0,0,0,0.0164327,0.0102087,0.00595915,0.0121121,0,0,0.0165823,0,0,0.0102223,0.0518496,0.0157562,0.0167875,0.00748547,0.00165266,0.0174545,0.00471576,0.00782958,0.00515386,0.00534071,0.00715636,0.00495071,0.0198801,0.0278143,0.00815515,0.0113848,0.0127675,0.0504383,0.0406314,0.0444617,0.113306,0.0347192,0,0,0.030313,0,0.0222617,0.0349322,0.0598176,0,0.0126453,0.00902865,0.0354067,0.00997224,0.0266632,0.0280373,0.0142586,0.0211241,0.0116664,0.0272859,0.0282464,0.0339572,0.0239721,0.00482237,0.0161177,0.036867,0.0203563,0,0,0,0,0,0,0.0478866
1170,0,0.0179316,0,0,0,0,0.0302536,0,0,0,0,0,0,0.016581,0.0102429,0.00600102,0.012114,0,0,0.0164948,0,0,0.0101634,0.0519477,0.0147396,0.0168289,0.00759405,0.00165434,0.0174697,0.00480794,0.00801837,0.00513629,0.00537195,0.00718998,0.00499425,0.0199002,0.027817,0.00809061,0.0114176,0.012747,0.0542962,0.0405758,0.0440814,0.113046,0.0346707,0,0,0.0304153,0,0.0223817,0.0350354,0.0581289,0,0.0129628,0.00869491,0.0354377,0.00984656,0.0268917,0.0281971,0.0141591,0.0209748,0.0116252,0.0272,0.0273026,0.0391512,0.0240186,0.00475911,0.0161118,0.0369013,0.0202374,0,0,0,0,0,0,0.0478295
1171,0,0.0177834,0,0,0,0,0.0302391,0,0,0,0,0,0,0.0166719,0.0102757,0.00610981,0.012135,0,0,0.0164167,0,0,0.0101251,0.0520301,0.0140672,0.0168423,0.00764594,0.00172456,0.0175446,0.00481676,0.00802967,0.00517597,0.00535374,0.00711519,0.0049214,0.0199519,0.0276389,0.00801979,0.0114495,0.0127406,0.0577564,0.0405547,0.0438153,0.112701,0.0346283,0,0,0.0306503,0,0.0224348,0.035333,0.0566293,0,0.0132133,0.00837604,0.0354618,0.00956674,0.0269855,0.0282395,0.0138686,0.020553,0.0114517,0.0270998,0.0260641,0.0438096,0.0240527,0.0047485,0.0162427,0.0369259,0.0201803,0,0,0,0,0,0,0.047805
