Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,x73,,x77
1435,0.00880026,0,0,0,0,0.0159221,0,0,0,0.0191462,0,0.0175549,0.0103968,0,0,0.0457437,0,0.0221111,0.0272806,0.0525111,0.0268442,0.010667,0.0291213,0.00499396,0.0202099,0.018949,0,0.0202345,0.0250044,0.0284364,0.0161951,0.016815,0.0302628,0.0341355,0.0222058,0.0153873,0.00927089,0.043003,0.00761222,0.0135629,0.0080733,0,0,0.0137556,0,0.046241,0.0128747,0.0328773,0.0109537,0.0187157,0.00535457,0.00529865,0.0152984,0,0.0117997,0.00510463,0.0123025,0.00830531,0.0361197,0.00615841,0.00788941,0.0109543,0.0134244,0.00853212,0.0124675,0.02073,0.00702611,0,0,0,0,0,0,0,0
1436,0.00863805,0,0,0,0,0.0150052,0,0,0,0.0187156,0,0.0184233,0.0107857,0,0,0.0454039,0,0.0220709,0.0270336,0.0522745,0.028773,0.0103659,0.0288553,0.00510783,0.0195309,0.0197771,0,0.0196239,0.0254649,0.0286068,0.0167462,0.016188,0.0300069,0.0338967,0.0221437,0.0150388,0.00882048,0.0428869,0.00768838,0.0139592,0.00807329,0,0,0.0136797,0,0.0461109,0.0128608,0.0327369,0.0104124,0.0183224,0.00572567,0.00561292,0.0152505,0,0.012125,0.0052175,0.00984239,0.00826008,0.0363294,0.00597622,0.00754922,0.0104026,0.0132839,0.00884704,0.0126157,0.0199925,0.00688879,0,0,0,0,0,0,0,0
1437,0.00850775,0,0,0,0,0.0151707,0,0,0,0.0178936,0,0.0193837,0.0111178,0,0,0.0452635,0,0.0220932,0.0268837,0.0519399,0.0307417,0.0101147,0.0285243,0.0052117,0.0190043,0.020781,0,0.0191476,0.0258999,0.0286088,0.0172277,0.0157218,0.0298462,0.0337827,0.0221224,0.0150951,0.00825399,0.0430248,0.00776502,0.0142237,0.00805559,0,0,0.0136608,0,0.0462011,0.0126838,0.0326365,0.00994019,0.0180328,0.00583166,0.00581218,0.015059,0,0.0124198,0.00491509,0.00898431,0.0082195,0.0364,0.00595271,0.00736236,0.00945302,0.0130998,0.00868605,0.0124262,0.0193072,0.00669903,0,0,0,0,0,0,0,0
1438,0.00826956,0,0,0,0,0.015735,0,0,0,0.0167136,0,0.0202412,0.0114786,0,0,0.0451922,0,0.0221174,0.0268195,0.0516301,0.0322208,0.0100175,0.0279126,0.0052376,0.018494,0.021759,0,0.0186719,0.0258255,0.0281747,0.017619,0.0153767,0.0288431,0.0336556,0.0220925,0.0151023,0.00760332,0.0430627,0.00772965,0.0141306,0.00797886,0,0,0.0137446,0,0.0462408,0.0124249,0.0326397,0.00973574,0.0179434,0.00587078,0.00586699,0.0147936,0,0.0126592,0.00488109,0.00869549,0.00825597,0.0364051,0.00599965,0.00738851,0.00890195,0.0129453,0.00814813,0.0121152,0.018475,0.00650045,0,0,0,0,0,0,0,0
1439,0.00805537,0,0,0,0,0.0157863,0,0,0,0.015513,0,0.0208919,0.0116767,0,0,0.0451329,0,0.0220993,0.0267993,0.051551,0.0334026,0.0101298,0.0272026,0.00521155,0.0182075,0.0223852,0,0.0182305,0.0255475,0.0275236,0.0179328,0.0151201,0.0272824,0.033524,0.0220236,0.0148712,0.00623906,0.0430075,0.00788713,0,0.00782505,0,0,0.0137807,0,0.0462217,0.0124739,0.0323949,0.0101995,0.0185436,0,0.00589219,0.0144882,0,0.0135553,0,0.00707669,0.00827645,0.0358495,0.00599778,0.00787635,0.00802559,0.0127587,0.00791783,0.0121731,0.0176938,0.00621665,0,0,0,0,0,0,0,0
1440,0.00819017,0,0,0,0,0.0156276,0,0,0,0.0127821,0,0.0211352,0.012701,0,0,0.0451376,0,0.0221236,0.0268311,0.0514938,0.033477,0.0102186,0.0260681,0.00534367,0.0181501,0.0226117,0,0.0175324,0.0247696,0.0262409,0.0180459,0.0151427,0.0237763,0.0334272,0.0220168,0.0150048,0.00743788,0.0431949,0.00783037,0.013947,0.0079886,0,0,0.0139358,0,0.0463619,0.0124957,0.0330629,0.00873453,0.0180093,0.00646301,0.00557715,0.014404,0,0.0129043,0.00438342,0.00871943,0.00833364,0.0368371,0.00618314,0.00707267,0.00842086,0.0128136,0.0079043,0.012449,0.0170433,0.00638311,0,0,0,0,0,0,0,0
1441,0.00820187,0,0,0,0,0.0151082,0,0,0,0.0093822,0,0.0212048,0.0126846,0,0,0.0450412,0,0.0221372,0.0268227,0.051455,0.0337671,0.0104049,0.0249211,0.00524099,0.0176555,0.0223142,0,0.0166462,0.0239635,0.0254048,0.0181642,0.0151575,0.0203079,0.0332119,0.0220252,0.0150452,0.00715738,0.0432884,0.00786878,0.0140906,0.00821122,0,0,0.0139515,0,0.0463268,0.0124867,0.0331901,0.00832844,0.0180596,0.00638534,0.00548431,0.0147742,0,0.0130742,0.00433988,0.00859861,0.00834922,0.0368887,0.00600203,0.00695734,0.00799416,0.0128856,0.00822855,0.0125201,0.0159347,0.00643107,0,0,0,0,0,0,0,0
1442,0.0083098,0,0,0,0,0.0149073,0,0,0,0.00630596,0,0.0211041,0.0126884,0,0,0.044989,0,0.0221353,0.026787,0.0515515,0.0336141,0.010504,0.0234595,0.00523219,0.017627,0.0215373,0,0.0155327,0.0231532,0.0244289,0.0181435,0.015212,0.0168061,0.0331077,0.0219155,0.0149953,0.00606817,0.0432854,0.00771441,0.0145428,0.00813893,0,0,0.013787,0,0.046256,0.0123618,0.0330476,0.00803927,0.0185879,0.00572966,0.00551279,0.014581,0,0.0135744,0.0208213,0,0.00805566,0.0363578,0.00541347,0.00677536,0.00787708,0.0126814,0.00849042,0.0124891,0.015488,0.00651674,0,0,0,0,0,0,0,0
1443,0.00862627,0,0,0,0,0.01475,0,0,0,0.00432019,0,0.0209634,0.0112765,0,0,0.0449247,0,0.0222076,0.026707,0.0510381,0.0333908,0.0108211,0.0220328,0.00517117,0.0181484,0.0205521,0,0.0147166,0.0225412,0.02353,0.0179149,0.0151971,0.0138249,0.0329149,0.021911,0.0148032,0.00459935,0.0432986,0.00727104,0,0.00814571,0,0,0.0138754,0,0.0462789,0.0123234,0.0323436,0.00932336,0.0196676,0.0045095,0.00602114,0.0144069,0,0.0146543,0.0727126,0,0.00770535,0.0350427,0.00497422,0.00728607,0.00650254,0.0126732,0.00817786,0.012557,0.0157105,0.00678842,0,0,0,0,0,0,0,0
1444,0.00891641,0,0,0,0,0.0156585,0,0,0,0.00736612,0,0.018828,0.0103043,0,0,0.0449135,0,0.0223752,0.0266835,0.0493197,0.0285816,0.011723,0.0151177,0.00503161,0.0188354,0.0153156,0.0218028,0.00926349,0.0177655,0.0180931,0.0160237,0.0167114,0.00379881,0.032769,0.0219892,0.0147504,0.00533427,0.0433098,0.00752174,0,0.00795028,0,0,0.0138568,0,0.0462841,0.0121945,0.0322715,0.00996283,0.0201467,0.00507415,0.00625039,0.0139384,0,0.0150019,0.0945278,0,0.00800674,0.0346485,0.00511059,0.00790247,0.00566832,0.01252,0.00799122,0.0123622,0.0161733,0.00683629,0,0,0,0,0,0,0,0
