Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,LWRA
All Timesteps RMSE,0.0218107,0,0,0,0,0.0349027,0,0,0,0,0,0,0.0252097,0.0310126,0.0264605,0.0175021,0,0,0.0160044,0,0.0298052,0.0189474,0.0431253,0.0266552,0.0115926,0.00737034,0.0181384,0.0421381,0.00963415,0.00825991,0.00857728,0.00928089,0.0131231,0.0137249,0.0180921,0.0297824,0.0217945,0.0228892,0.0155683,0.0355405,0.0149785,0.0167901,0.0191724,0,0,0.0206811,0,0.0455148,0.0177988,0.0368618,0.0212041,0.013803,0.0302801,0.0189983,0.034329,0.00826615,0.0185167,0.0174345,0.0147273,0.0202321,0.0268621,0.0122362,0.0194898,0.0134565,0.0211285,0.017332,0.0257982,0.0340771,0.0145368,0,0,0,0.0257383
0,0.0212376,0,0,0,0,0.0421798,0,0,0,0,0,0,0.0151449,0.0319994,0.0171629,0.0204138,0,0,0.0175561,0,0.0284722,0.0255647,0.0429551,0.0287944,0.00927233,0.0134001,0.0207896,0.0535949,0.01279,0.016967,0.0176,0.0109667,0.0124317,0.0127897,0.0154558,0.0175563,0.0300159,0.0337793,0.014255,0.0454196,0.0163176,0.018319,0.014848,0,0,0.0129725,0,0.0478087,0.015998,0.0354495,0.0245973,0.0110065,0.0314333,0.0239789,0.035461,0.00778933,0.0189922,0.0181733,0.0138106,0.0183535,0.0281406,0.0115238,0.0201389,0.0156007,0.0204495,0.0221508,0.0195878,0.0449796,0.0157493,0,0,0,0
1,0.0211572,0,0,0,0,0.0418494,0,0,0,0,0,0,0.0159686,0.0320938,0.0177654,0.0204757,0,0,0.0171358,0,0.0286877,0.0251962,0.0427441,0.028411,0.00917414,0.0119632,0.0208042,0.0528985,0.0122706,0.0163726,0.0164,0.0104713,0.0118821,0.0129581,0.0146485,0.0176395,0.0295358,0.0331772,0.0141998,0.0449134,0.0163483,0.0182303,0.0149578,0,0,0.0103543,0,0.0484196,0.015339,0.0354242,0.0242978,0.0112094,0.0319438,0.02411,0.0343412,0.00782592,0.0192845,0,0.0140976,0.0186614,0.0280348,0.0114642,0.0200988,0.0149414,0.0198054,0.0221784,0.0195374,0.0442955,0.0156634,0,0,0,0
2,0.0209066,0,0,0,0,0.0416079,0,0,0,0,0,0,0.0165997,0.0320903,0.0182575,0.0204908,0,0,0.0170248,0,0.0288167,0.02491,0.0426117,0.0278393,0.0092037,0.011324,0.0207052,0.0526787,0.011902,0.0160078,0.0157133,0.0102083,0.011629,0.0129011,0.0144011,0.0179435,0.0293734,0.0333385,0.0140533,0.0449362,0.0164272,0.0181153,0.0150832,0,0,0.00959766,0,0.0484272,0.0151259,0.0354528,0.0242497,0.0111175,0.0317329,0.0241741,0.0339469,0.00772656,0.0191513,0.0183648,0.0140084,0.018595,0.0280645,0.0114521,0.0200455,0.0146012,0.0197616,0.0221834,0.0194531,0.0439797,0.0154539,0,0,0,0
3,0.0207705,0,0,0,0,0.0414599,0,0,0,0,0,0,0.0172143,0.0320932,0.018674,0.020383,0,0,0.016962,0,0.0288877,0.0246732,0.042526,0.027439,0.00922667,0.0107435,0.0205865,0.0525855,0.0114644,0.01566,0.0150408,0.0100302,0.0114028,0.0128654,0.0141726,0.0181328,0.0293796,0.0333654,0.0140902,0.0449637,0.0164783,0.0180662,0.0152672,0,0,0.00906262,0,0.0484265,0.01491,0.0355116,0.0241521,0.0109841,0.0317835,0.0242098,0.0337957,0.00767294,0.0192188,0.0183965,0.0141603,0.0186032,0.0280012,0.0114895,0.0199938,0.0142495,0.0195792,0.022085,0.0194207,0.0438394,0.0153436,0,0,0,0
4,0.0207015,0,0,0,0,0.0414296,0,0,0,0,0,0,0.0175456,0.0320379,0.0190164,0.0203606,0,0,0.0167236,0,0.0289826,0.0245261,0.0425135,0.0271078,0.00922863,0.0101792,0.0205201,0.0527063,0.010951,0.0153028,0.0142821,0.00987323,0.0110927,0.012947,0.0139474,0.0182501,0.0293374,0.033061,0.0142706,0.044969,0.0164824,0.0180739,0.0154451,0,0,0.008738,0,0.048407,0.0148784,0.035562,0.0240045,0.0108804,0.0317764,0.0241867,0.0336212,0.00775051,0.0191967,0.0182045,0.0141202,0.0185789,0.0278924,0.0114577,0.019893,0.0139531,0.0194722,0.0220319,0.0194326,0.0437108,0.0152587,0,0,0,0
5,0.02063,0,0,0,0,0.0414194,0,0,0,0,0,0,0.0178468,0.0319807,0.0194962,0.020474,0,0,0.01663,0,0.0290456,0.0244252,0.0426006,0.0267449,0.00924975,0.00959363,0.0204506,0.052986,0.0103609,0.0150204,0.0134687,0.00966373,0.0107504,0.0130279,0.0137465,0.0182111,0.0291441,0.0328751,0.0143511,0.0449556,0.0164742,0.0180961,0.0155909,0,0,0.00848544,0,0.0483557,0.0148389,0.0355771,0.0238363,0.0108159,0.0317887,0.0241478,0.0334057,0.00783339,0.019137,0.017846,0.0140948,0.0185398,0.0278149,0.0114469,0.0198427,0.0136597,0.0191618,0.0220463,0.0195193,0.0436307,0.0151502,0,0,0,0
6,0.0205137,0,0,0,0,0.0413854,0,0,0,0,0,0,0.0179827,0.0319546,0.0197913,0.0206632,0,0,0.016637,0,0.0290779,0.0245351,0.0426943,0.0263526,0.00926263,0.00909428,0.0203036,0.0532506,0.00975601,0.0148062,0.0126755,0.0095176,0.0104889,0.0131153,0.0135349,0.0183305,0.029382,0.0328821,0.0146506,0.0449842,0.016507,0.01814,0.0157166,0,0,0.00820641,0,0.0483343,0.0147533,0.0355507,0.0236344,0.0108393,0.0321244,0.0240644,0.0331625,0.00789703,0.0193027,0,0.0142733,0.018668,0.0276999,0.0114236,0.0198382,0.0136535,0.0189896,0.0221371,0.0196035,0.043548,0.0150462,0,0,0,0
7,0.0204474,0,0,0,0,0.0413162,0,0,0,0,0,0,0.0180317,0.0318901,0.0202162,0.0207554,0,0,0.0167033,0,0.0290529,0.0245887,0.0426903,0.0262537,0.00925222,0.00865551,0.0201981,0.0534651,0.00920381,0.0146354,0.0118537,0.00944317,0.0104886,0.01307,0.0133689,0.0185909,0.0299783,0.0329929,0.0148204,0.0450522,0.0165719,0.0181351,0.0158494,0,0,0.00787529,0,0.0483262,0.0147096,0.0356028,0.0236404,0.0107593,0.0318876,0.0240355,0.0328953,0.00791038,0.0190822,0.0183272,0.014114,0.0185401,0.0276851,0.0114092,0.0197388,0.0139492,0.0186712,0.0222889,0.0197333,0.0434641,0.0150113,0,0,0,0
8,0.0203655,0,0,0,0,0.0412681,0,0,0,0,0,0,0.0183001,0.0318766,0.0206668,0.0207255,0,0,0.0166529,0,0.0290765,0.0244539,0.0426502,0.0264891,0.0092625,0.0083787,0.0200308,0.0535413,0.00876588,0.0145724,0.0111212,0.00953692,0.0107271,0.0131504,0.0132278,0.0189685,0.0304933,0.0330341,0.015002,0.0451072,0.0166171,0.0181482,0.0159589,0,0,0.00760864,0,0.0482961,0.0147433,0.0356573,0.0236481,0.0107461,0.0319312,0.0239315,0.0325499,0.0079697,0.0190391,0.0184414,0.0141002,0.0184794,0.0275736,0.0113932,0.0196386,0.0140798,0.018404,0.0225121,0.0198262,0.0433669,0.0149913,0,0,0,0
