Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,LTHIP,x78,,x79,x80,x75
171,0.0103066,0,0,0,0,0.00625906,0,0,0,0,0,0,0.00509434,0.0569851,0.00558828,0.00531735,0,0,0.0385052,0,0.0364136,0.0215035,0.0445634,0.0124219,0.0167553,0.0180255,0.0102814,0.0162251,0.0135107,0.0173989,0.0189253,0.0111784,0.0138856,0.00410135,0.0231073,0.0120396,0.0270562,0.0456905,0.0224772,0.0158486,0.041044,0.01766,0.0192237,0.012342,0,0,0.012111,0,0.0484211,0.00665959,0.0377013,0.0285404,0.00991213,0.00919002,0.0102959,0.0131665,0.00646228,0.01543,0.00763126,0.00645511,0.0191113,0.0151357,0.0193469,0.0206799,0.0193647,0.0116465,0.0137743,0.00768734,0.0065518,0.0103477,0,0,0,0,0,0,0,0,0,0
172,0.00984405,0,0,0,0,0.00603547,0,0,0,0,0,0,0.00466704,0.0570884,0.00551855,0.00494798,0,0,0.0389819,0,0.0362249,0.0216975,0.0444835,0.0123319,0.0168584,0.0176096,0.00975328,0.0155957,0.0132081,0.0171745,0.0185202,0.0109173,0.0136074,0.00406108,0.023026,0.0116614,0.0277266,0.0457459,0.0222869,0.0151734,0.0409388,0.0186421,0.0188637,0.0120433,0,0,0.0121136,0,0.0483223,0.00664759,0.0378072,0.0302628,0.00987143,0.00989128,0.0100811,0.0126514,0.00694864,0.0162922,0.00912602,0.00666649,0.0204351,0.0139413,0.0207197,0.0219672,0.0194763,0.0113326,0.0137256,0.00790252,0.00631021,0.0103553,0,0,0,0,0,0,0,0,0,0
173,0.00961944,0,0,0,0,0.0059477,0,0,0,0,0,0,0.00431453,0.0572082,0.00549967,0.00456554,0,0,0.0393486,0,0.0360816,0.0218652,0.0445558,0.0124755,0.0169519,0.0172907,0.00927558,0.0150811,0.0130167,0.016736,0.0181778,0.0106983,0.013369,0.00402923,0.0229548,0.0113705,0.0281684,0.0457824,0.0222007,0.014415,0.0408314,0.0193164,0.0184167,0.0120066,0,0,0.0120414,0,0.048222,0.00662444,0.0380487,0.0313871,0.00994593,0.0106074,0.0100177,0.0123527,0.00728913,0.0170781,0.0106017,0.00704055,0.0213577,0.0129064,0.0217652,0.0228023,0.0187641,0.0111913,0.0137493,0.00815384,0.00623988,0.00979185,0,0,0,0,0,0,0,0,0,0
174,0.00944339,0,0,0,0,0.00587086,0,0,0,0,0,0,0.00412811,0.0572599,0.00551212,0.00414441,0,0,0.0396511,0,0.0359013,0.0220249,0.0446877,0.0127073,0.0170297,0.0169906,0.00888476,0.0145832,0.0128622,0.0163069,0.0178874,0.010456,0.0131515,0.00399322,0.0229051,0.0111891,0.0284637,0.0457928,0.0222398,0.0136769,0.0407475,0.0198172,0.0179555,0.0119926,0,0,0.011924,0,0.0481062,0.00671097,0.0384255,0.0321171,0.0101228,0.0113835,0.0100985,0.0120687,0.00750314,0.0176864,0.0118454,0.00748627,0.0220107,0.011989,0.0225925,0.0233911,0.0177116,0.0110622,0.0139447,0.00848938,0.00604714,0.00954817,0,0,0,0,0,0,0,0,0,0
175,0.00933507,0,0,0,0,0.0058142,0,0,0,0,0,0,0.00389021,0.0572372,0.00554557,0.00381875,0,0,0.0398927,0,0.0356749,0.0221405,0.0448526,0.0127591,0.0170672,0.0166711,0.00865088,0.0141519,0.0126706,0.016005,0.0176062,0.0101815,0.0129532,0.00394697,0.0228236,0.0111561,0.0287131,0.0457876,0.0222644,0.0128797,0.0406498,0.0202654,0.0174993,0.0120384,0,0,0.0118451,0,0.047948,0.00695817,0.0388419,0.0326028,0.010358,0.0120895,0.0103435,0.0118348,0.00767978,0.0180523,0.012773,0.00799189,0.0224435,0.0112456,0.0231742,0.0237245,0.0164323,0.0108816,0.014321,0.00881646,0.00578958,0.00953814,0,0,0,0,0,0,0,0,0,0
176,0.00939941,0,0,0,0,0.00580851,0,0,0,0,0,0,0.00380484,0.0571954,0.00560548,0.00358495,0,0,0.0400384,0,0.0354848,0.022185,0.0450182,0.0130406,0.0170928,0.0163471,0.00858587,0.0138584,0.0124399,0.01578,0.0173053,0.00992013,0.012835,0.00389734,0.0227536,0.0113051,0.0288293,0.0457866,0.0222326,0.0120416,0.0405504,0.0206228,0.017209,0.01222,0,0,0.0117954,0,0.0478035,0.00708341,0.0392028,0.0328376,0.0106081,0.0126983,0.0107158,0.0117335,0.00787481,0.0181788,0.0134461,0.00855638,0.0226322,0.0106696,0.0235033,0.0237865,0.0149681,0.0107568,0.0146805,0.00914375,0.0055639,0.00954154,0,0,0,0,0,0,0,0,0,0
177,0.00961458,0,0,0,0,0.00586481,0,0,0,0,0,0,0.00388412,0.0572598,0.00571654,0.00347919,0,0,0.0400452,0,0.0353863,0.0220873,0.0451734,0.0135905,0.0171095,0.0161188,0.00865919,0.0136116,0.012203,0.0155862,0.0170839,0.00978652,0.0127958,0.00390776,0.0226609,0.0116326,0.0285708,0.0458346,0.0221625,0.0111465,0.0404611,0.0208981,0.0172341,0.0125157,0,0,0.0118011,0,0.0476827,0.00726211,0.0394671,0.0329751,0.0108641,0.0133118,0.0111769,0.0117618,0.00800235,0.0181447,0.0138565,0.00912362,0.022719,0.0102156,0.0237256,0.0237771,0.0133357,0.0107099,0.0148463,0.00941198,0.00537265,0.00955937,0,0,0,0,0,0,0,0,0,0
178,0.00991718,0,0,0,0,0.00597905,0,0,0,0,0,0,0.00408298,0.0573381,0.00583361,0.00344097,0,0,0.0398117,0,0.0353197,0.0219501,0.0453453,0.0143501,0.0171021,0.0159435,0.0088382,0.0133857,0.0119735,0.0152248,0.0168841,0.00966488,0.0128181,0.00392252,0.0225578,0.0117222,0.0280209,0.0458511,0.022056,0.0104471,0.0403885,0.0211639,0.0172161,0.0128771,0,0,0.0119464,0,0.0475921,0.00759461,0.0396262,0.0331078,0.0111083,0.013893,0.0116709,0.0119067,0.0080977,0.0180542,0.0140737,0.009659,0.0228306,0.00994551,0.0238784,0.0237814,0.0118945,0.0107708,0.0148861,0.0095875,0.00522093,0.00964573,0,0,0,0,0,0,0,0,0,0
179,0.0102554,0,0,0,0,0.00614275,0,0,0,0,0,0,0.00415709,0.0573613,0.00596341,0.00352385,0,0,0.0393627,0,0.0352703,0.0218136,0.0455687,0.0145117,0.0170585,0.0158443,0.00903223,0.0132521,0.0117696,0.0148875,0.0167095,0.00955207,0.0128132,0.00394695,0.0224181,0.0117328,0.0278767,0.0458252,0.022,0.00998087,0.0403231,0.02128,0.0170998,0.0132654,0,0,0.0122089,0,0.0475202,0.00798723,0.0397025,0.0332047,0.0112724,0.0144889,0.0120735,0.012111,0.00834007,0.0177394,0.0144194,0.0102668,0.0228096,0.00998447,0.0238331,0.0236451,0.01099,0.0109129,0.0148256,0.00970016,0.00513273,0.00978897,0,0,0,0,0,0,0,0,0,0
180,0.0106537,0,0,0,0,0.00641076,0,0,0,0,0,0,0.00409093,0.0574033,0.00610958,0.00353609,0,0,0.038747,0,0.0351892,0.0216993,0.0458,0.0142346,0.0169925,0.0156964,0.00913673,0.0132,0.0115516,0.0145567,0.0165573,0.00937568,0.0127629,0.00400376,0.022271,0.0116451,0.0276237,0.0458055,0.0220206,0.00978108,0.0402124,0.0213472,0.0169788,0.013695,0,0,0.0125031,0,0.0474271,0.00823079,0.0397093,0.0332853,0.0114121,0.015022,0.012328,0.0123042,0.00862531,0.0174942,0.0146608,0.0108075,0.022829,0.0101651,0.0237783,0.0235013,0.0104968,0.0110686,0.0146553,0.00977486,0.00514616,0.0100626,0,0,0,0,0,0,0,0,0,0
181,0.011144,0,0,0,0,0.00673339,0,0,0,0,0,0,0.00398625,0.0575178,0.00621139,0.00338998,0,0,0.0383235,0,0.0350849,0.021574,0.0459929,0.0141888,0.0169152,0.0154462,0.0091683,0.0129165,0.0112761,0.0141386,0.0163288,0.008998,0.012667,0.00402444,0.0221626,0.0114919,0.0272504,0.0458179,0.0220863,0.00981719,0.0401131,0.0213993,0.0168943,0.014217,0,0,0.0127983,0,0.0473569,0.00839875,0.0397186,0.0333271,0.0115564,0.0154999,0.0125239,0.0125277,0.00895854,0.0173776,0.0147608,0.0112133,0.0228575,0.0104501,0.023772,0.0234812,0.0102951,0.0112316,0.0144829,0.00986256,0.00526719,0.0104209,0,0,0,0,0,0,0,0,0,0
182,0.0119576,0,0,0,0,0.00726893,0,0,0,0,0,0,0.00382512,0.0575968,0.00628975,0.0032135,0,0,0.0381537,0,0.0349724,0.0215742,0.0461023,0.0143306,0.0168991,0.0151217,0.00900741,0.0129069,0.0109205,0.0136875,0.0159665,0.00855566,0.0124957,0.00401505,0.0220818,0.0113835,0.0270572,0.0458494,0.0222251,0.00998963,0.040006,0.0213409,0.0168922,0.0149632,0,0,0.013063,0,0.0473058,0.00852557,0.0397084,0.0332194,0.0116143,0.0158152,0.0124427,0.0127653,0.00926406,0.0172714,0.0146671,0.0115625,0.0228996,0.0108132,0.0237249,0.0234741,0.0102167,0.0113827,0.0143889,0.010024,0.00566852,0.0109052,0,0,0,0,0,0,0,0,0,0
183,0.0126425,0,0,0,0,0.00757377,0,0,0,0,0,0,0.00356259,0.0576739,0.00632216,0.00328002,0,0,0.0379325,0,0.0348534,0.0214629,0.046188,0.0144507,0.016864,0.014781,0.00904026,0.0124972,0.0106016,0.0133241,0.0155825,0.00843248,0.0122397,0.00400037,0.0220512,0.011221,0.0267231,0.0458807,0.022304,0.00988284,0.0399198,0.0211606,0.0170327,0.0157566,0,0,0.0134426,0,0.0472378,0.00873442,0.0397023,0.0330069,0.0116159,0.0159599,0.0125308,0.0131424,0.00948892,0.0171172,0.0144545,0.0118891,0.0229046,0.0113065,0.0236492,0.0234217,0.0104234,0.0116164,0.0143918,0.0102228,0.00591976,0.0113314,0,0,0,0,0,0,0,0,0,0
184,0.0130621,0,0,0,0,0.00770985,0,0,0,0,0,0,0.00333462,0.0576846,0.00628732,0.00338343,0,0,0.0376728,0,0.0347465,0.0212861,0.0462234,0.0144352,0.0168262,0.0144142,0.0091726,0.0117798,0.0103109,0.0128831,0.0152008,0.00827857,0.0119207,0.0039523,0.0220459,0.0108001,0.0262678,0.0458489,0.0223373,0.00988242,0.0398627,0.0207809,0.017041,0.0163895,0,0,0.0139207,0,0.0471253,0.00902727,0.0397171,0.0327338,0.0117176,0.0159885,0.0127738,0.013586,0.00971713,0.0169243,0.0141321,0.0122533,0.0227199,0.011971,0.0233751,0.0231821,0.0107626,0.0119109,0.014396,0.0104157,0.00600795,0.011698,0,0,0,0,0,0,0,0,0,0
185,0.0120771,0,0,0,0,0.00716807,0,0,0,0,0,0,0.00298104,0.0576351,0.00624027,0.00328286,0,0,0.0375195,0,0.0347806,0.0210205,0.0462156,0.0144884,0.0169294,0.0141448,0.00889681,0.0106786,0.0101549,0.0125403,0.0149493,0.00810865,0.0115587,0.00385337,0.0220652,0.0103643,0.0260079,0.0458994,0.0221772,0.00997168,0.0398116,0.0203153,0.0171665,0.0155595,0,0,0.014452,0,0.0469873,0.00944672,0.0397757,0.0321831,0.011668,0.0160389,0.0126203,0.0128972,0.00993257,0.0165912,0.0137287,0.0126559,0.0225922,0.0127083,0.0230544,0.0230243,0.0111669,0.0119858,0.0144378,0.0106895,0.00539272,0.0109884,0,0,0,0,0,0,0,0,0,0
186,0.0140317,0,0,0,0,0.00768711,0,0,0,0,0,0,0.00261696,0.0576636,0.00629054,0.00333546,0,0,0.0379997,0,0.0348005,0.0214222,0.0463025,0.0145159,0.0168865,0.0137379,0.00930976,0.0122518,0.00998007,0.0121848,0.0145988,0.00789047,0.010973,0.0037865,0.0221129,0.00989504,0.0264541,0.0459317,0.0223854,0.0100665,0.0397831,0.0196282,0.0172872,0.016043,0,0,0.0148896,0,0.0469103,0.00976771,0.0398336,0.0311338,0.011799,0.015861,0.0132097,0.0120442,0.0100215,0.0162887,0.0132568,0.0129316,0.0223187,0.0134801,0.0226339,0.0227662,0.0116535,0.0120117,0.0144371,0.0107672,0.0064797,0.0123581,0,0,0,0,0,0,0,0,0,0
187,0.0147791,0,0,0,0,0.00797156,0,0,0,0,0,0,0.00213633,0.0576668,0.00645526,0.00332887,0,0,0.0383895,0,0.0346771,0.0216165,0.0463075,0.014513,0.0168904,0.0133811,0.00952996,0.0136317,0.00980424,0.0118965,0.0143016,0.00773625,0.0105159,0.00369483,0.0221532,0.00945522,0.0270151,0.0459848,0.0224538,0.0102288,0.0397515,0.01862,0.0173442,0.0153391,0,0,0.0154134,0,0.0468046,0.0101764,0.0398874,0.0300967,0.0118508,0.0157214,0.0136064,0.0103211,0.0100252,0.0159283,0.0127038,0.0132138,0.0219314,0.0143045,0.022133,0.0224286,0.0122509,0.0119677,0.0144653,0.0109241,0.00748062,0.0128959,0,0,0,0,0,0,0,0,0,0
188,0.01557,0,0,0,0,0.00880037,0,0,0,0,0,0,0.001858,0.0577468,0.00656071,0.00325244,0,0,0.0387688,0,0.0346127,0.0218235,0.0463247,0.0145903,0.0168798,0.0131548,0.00975095,0.0152515,0.00972945,0.0117029,0.0141131,0.00769094,0.00989858,0.0037123,0.0221534,0.00904035,0.0276771,0.0460485,0.0224492,0.0106285,0.0397488,0.0177025,0.0173929,0.0147326,0,0,0.0158745,0,0.046738,0.0105259,0.0400343,0.0293058,0.0119224,0.0156037,0.0140063,0.0087624,0.0100201,0.0155807,0.0120893,0.0134603,0.0213453,0.0151396,0.0214526,0.0218757,0.0127372,0.0121232,0.0145007,0.0109396,0.00893472,0.0134772,0,0,0,0,0,0,0,0,0,0
189,0.0164003,0,0,0,0,0.00993999,0,0,0,0,0,0,0.00169613,0.0577458,0.00631767,0.0031286,0,0,0.0390949,0,0.0346398,0.0220578,0.0463709,0.0145253,0.0168521,0.0129063,0.0100274,0.0168852,0.00965512,0.0115522,0.0138873,0.00757219,0.00934896,0.0037297,0.0221403,0.00855007,0.0282199,0.0460109,0.0224305,0.0109937,0.0397431,0.0170521,0.01743,0.0142383,0,0,0.0162361,0,0.0466758,0.0107989,0.0402732,0.0286018,0.0120506,0.0154792,0.0144649,0.00750697,0.00998933,0.0152412,0.0113632,0.0135929,0.0206684,0.0160787,0.0206866,0.0212907,0.0132873,0.0122873,0.0145194,0.0108232,0.0105026,0.0140469,0,0,0,0,0,0,0,0,0,0
190,0.0170514,0,0,0,0,0.0107149,0,0,0,0,0,0,0.0017192,0.0577066,0.00627201,0.00304055,0,0,0.0392401,0,0.034625,0.0221035,0.0464845,0.0146557,0.0168043,0.0126362,0.0103981,0.0176357,0.00951289,0.0111343,0.0136254,0.00747529,0.00896423,0.00371274,0.0221582,0.00804049,0.028193,0.0459158,0.0223642,0.0111855,0.039712,0.0166351,0.0175271,0.0140762,0,0,0.0163968,0,0.0466411,0.0109658,0.0405268,0.0277795,0.0122463,0.0152461,0.0150534,0.00680638,0.00980048,0.0148749,0.01057,0.0135393,0.0200375,0.0172496,0.0199571,0.0207164,0.0136294,0.0125053,0.0144494,0.0106731,0.0114718,0.0145188,0,0,0,0,0,0,0,0,0,0
191,0.0164057,0,0,0,0,0.0100103,0,0,0,0,0,0,0.00177417,0.057619,0.00629014,0.00302335,0,0,0.0392,0,0.0346284,0.0219326,0.0465135,0.014901,0.0168395,0.0123788,0.0105867,0.0162685,0.00933036,0.0107942,0.0133949,0.00731835,0.00858528,0.00363147,0.0222568,0.00753597,0.0275263,0.0458074,0.0222629,0.0112769,0.0396557,0.0159341,0.0176818,0.0136426,0,0,0.0165872,0,0.0465547,0.0111783,0.0407326,0.0266531,0.0123812,0.0149993,0.0154622,0.00664373,0.00956533,0.0144733,0.00986919,0.0134292,0.019315,0.0183113,0.019098,0.0200336,0.0139459,0.012617,0.0144225,0.0109054,0.0108415,0.0143646,0,0,0,0,0,0,0,0,0,0
192,0.0157097,0,0,0,0,0.00924882,0,0,0,0,0,0,0.00166493,0.0575774,0.00623947,0.00313143,0,0,0.039057,0,0.0346348,0.021742,0.0464274,0.0147126,0.0168833,0.0121631,0.0107688,0.0146783,0.00906117,0.010493,0.0131581,0.00707742,0.00821757,0.00354859,0.022382,0.00693071,0.0273818,0.0457313,0.0221727,0.0114725,0.0396123,0.0151216,0.0178864,0.0132258,0,0,0.0167351,0,0.046509,0.0113624,0.0408995,0.0255892,0.0125041,0.0147721,0.0158546,0.00651407,0.00924692,0.0140437,0.00917269,0.0132295,0.0185851,0.0193366,0.0182253,0.019272,0.0143106,0.0126475,0.0144505,0.0110722,0.010084,0.0145818,0,0,0,0,0,0,0,0,0,0
193,0.0150846,0,0,0,0,0.00846905,0,0,0,0,0,0,0.001616,0.0575305,0.00615315,0.0032135,0,0,0.0388618,0,0.0346913,0.0215813,0.046413,0.0145762,0.0168854,0.0119331,0.0109657,0.0130885,0.00881688,0.0101671,0.0129003,0.0068035,0.00793767,0.00345397,0.02251,0.00639569,0.0272563,0.0456309,0.022115,0.011659,0.0395612,0.0142583,0.0180641,0.0129228,0,0,0.0168037,0,0.0464368,0.0114726,0.0410067,0.0243491,0.012632,0.0145386,0.016254,0.00647285,0.00889634,0.0136274,0.00847051,0.0129664,0.0178222,0.0204019,0.017328,0.0182802,0.0144753,0.0127404,0.0145193,0.0111898,0.00922965,0.0144179,0,0,0,0,0,0,0,0,0,0
194,0.0145703,0,0,0,0,0.00772626,0,0,0,0,0,0,0.00179352,0.057433,0.00605156,0.00322812,0,0,0.0387415,0,0.0346596,0.0214606,0.0464403,0.0145748,0.0168868,0.011662,0.0111791,0.0116051,0.00862909,0.00995322,0.0126818,0.00661462,0.00767576,0.00332956,0.0226429,0.00623991,0.0270081,0.0455421,0.0220465,0.0117712,0.0395363,0.0134778,0.0182656,0.0127135,0,0,0.0167416,0,0.0463802,0.0114536,0.0410578,0.0230924,0.0127842,0.0142977,0.0166065,0.00644903,0.00857941,0.0132581,0.0077126,0.0126233,0.0170894,0.0215668,0.0164754,0.0174322,0.0142758,0.0127958,0.0145505,0.0113475,0.00834433,0.0140209,0,0,0,0,0,0,0,0,0,0
195,0.014233,0,0,0,0,0.00712056,0,0,0,0,0,0,0.00195307,0.0573103,0.00595319,0.0033059,0,0,0.0387192,0,0.0346291,0.0213356,0.0464421,0.0146313,0.0169175,0.0113733,0.0113861,0.0103783,0.00849472,0.00977076,0.0125135,0.00651196,0.00736229,0.00313001,0.0227621,0.00619712,0.026755,0.0454712,0.0219317,0.0118431,0.0395527,0.0125822,0.0184553,0.0126579,0,0,0.0166124,0,0.0463741,0.0114295,0.0410304,0.0220528,0.0128845,0.0139508,0.0168607,0.00645748,0.0083192,0.0129781,0.00710468,0.012267,0.0162378,0.0227181,0.0155075,0.0166129,0.0140683,0.0128332,0.0145665,0.0114032,0.00758498,0.01372,0,0,0,0,0,0,0,0,0,0
196,0.0140004,0,0,0,0,0.00660958,0,0,0,0,0,0,0.0019988,0.0573143,0.00584109,0.00341989,0,0,0.0387035,0,0.0346523,0.0211751,0.0463956,0.0147879,0.0170059,0.0111369,0.0116147,0.00933944,0.00843628,0.00947816,0.0123515,0.00642601,0.00702944,0.00296394,0.0228628,0.00613139,0.0265462,0.0455227,0.0217646,0.0120711,0.0395211,0.0117542,0.0186495,0.0127019,0,0,0.0165049,0,0.0463165,0.0115073,0.0409394,0.0207457,0.0129453,0.0136796,0.0171065,0.00654132,0.00801724,0.0126757,0.00669035,0.0119958,0.0155736,0.0239075,0.0146151,0.0159539,0.0141829,0.0127422,0.0146333,0.0113812,0.00694306,0.013586,0,0,0,0,0,0,0,0,0,0
197,0.0138917,0,0,0,0,0.00617808,0,0,0,0,0,0,0.00214151,0.0572628,0.00572115,0.00357943,0,0,0.0387298,0,0.0346641,0.0210701,0.0463554,0.0150971,0.0170994,0.0109181,0.0118348,0.00844275,0.00843537,0.00929311,0.0121682,0.00625083,0.00676818,0.00293721,0.022955,0.00610846,0.0264283,0.0455763,0.0216192,0.0123706,0.0394786,0.0109727,0.0188626,0.0128581,0,0,0.0163911,0,0.0462322,0.011577,0.0408418,0.0195271,0.0130203,0.0136226,0.017341,0.00664606,0.00770668,0.01234,0.00652803,0.0118788,0.0150977,0.0251509,0.0138698,0.0154768,0.0143358,0.0127713,0.0147362,0.0113338,0.00640712,0.0135032,0,0,0,0,0,0,0,0,0,0
198,0.0139601,0,0,0,0,0.00592485,0,0,0,0,0,0,0.00203084,0.0571425,0.00566153,0.00372889,0,0,0.0388524,0,0.0346969,0.02103,0.046338,0.0153436,0.0172023,0.0107207,0.0120002,0.00768678,0.00850824,0.00926831,0.0120705,0.0060224,0.00651773,0.00288658,0.0230231,0.00616996,0.0264297,0.0455643,0.0215692,0.0125078,0.0394659,0.0101076,0.0190952,0.0131455,0,0,0.0162376,0,0.0461803,0.0115876,0.0407883,0.0183007,0.0131954,0.0135631,0.0175264,0.00670774,0.00746392,0.0121381,0.00650573,0.0118131,0.014524,0.0263538,0.013058,0.014921,0.0143477,0.0127345,0.0148398,0.0115487,0.00606521,0.0132835,0,0,0,0,0,0,0,0,0,0
199,0.0141655,0,0,0,0,0.0057997,0,0,0,0,0,0,0.00162959,0.057073,0.00566484,0.0038774,0,0,0.0389546,0,0.0347413,0.0209853,0.0463567,0.0152175,0.0173321,0.0105425,0.0121196,0.00708692,0.0086664,0.00918578,0.0120718,0.00567924,0.00626739,0.00281189,0.0230536,0.00627025,0.0264537,0.0455806,0.0215369,0.0128382,0.0394539,0.00891345,0.0192689,0.0134352,0,0,0.0161795,0,0.0461335,0.0116274,0.0408081,0.0166876,0.0133764,0.013193,0.0177038,0.00674885,0.00749832,0.0120526,0.00657288,0.0118369,0.0134756,0.0271633,0.0118296,0.0138161,0.0150676,0.0125706,0.0149678,0.0117254,0.00592489,0.0130974,0,0,0,0,0,0,0,0,0,0
200,0.0143229,0,0,0,0,0.00565601,0,0,0,0,0,0,0.00157419,0.0570556,0.00569495,0.00404004,0,0,0.0390083,0,0.0348191,0.020914,0.0463616,0.0151215,0.0174605,0.0103701,0.0123092,0.00648331,0.0088163,0.00911845,0.0120031,0.00508557,0.00606205,0.00275802,0.0230765,0.00636813,0.0264745,0.0456232,0.0214971,0.0127376,0.0394462,0.00795612,0.0193988,0.0135967,0,0,0.0162762,0,0.0461023,0.011773,0.0408249,0.0153692,0.0135907,0.0129752,0.0179473,0.00681948,0.00744461,0.0120295,0.00662793,0.0118416,0.0127662,0.0283247,0.0109093,0.0130658,0.0157159,0.0124924,0.0151499,0.0117497,0.00582571,0.0136637,0,0,0,0,0,0,0,0,0,0
201,0.0145405,0,0,0,0,0.00561031,0,0,0,0,0,0,0.0019012,0.0570486,0.00571072,0.00418346,0,0,0.0390522,0,0.0348001,0.0208901,0.0463346,0.0151519,0.0175459,0.010157,0.0125291,0.0059404,0.00876417,0.0090258,0.0118157,0.0046138,0.00592608,0.00272737,0.0230684,0.00652772,0.0264846,0.045679,0.0213871,0.012813,0.0394223,0.00702378,0.0194706,0.0138558,0,0,0.0164241,0,0.0460612,0.0119466,0.040828,0.0143029,0.0138096,0.0127595,0.0182128,0.00691318,0.00730049,0.0120859,0.00671116,0.0118271,0.012228,0.029567,0.0101447,0.0125029,0.0161387,0.0125643,0.0152741,0.0116403,0.00578144,0.01416,0,0,0,0,0,0,0,0,0,0
202,0.0149407,0,0,0,0,0.00572518,0,0,0,0,0,0,0.0021433,0.0569224,0.00568093,0.00434426,0,0,0.039169,0,0.0347691,0.0209565,0.046283,0.0151716,0.0176602,0.00992686,0.0127651,0.00559376,0.00859793,0.00882541,0.0115792,0.00469924,0.00577617,0.00268416,0.0230715,0.00659597,0.0265315,0.0456788,0.0213411,0.0131113,0.0394083,0.00610197,0.0195584,0.0143283,0,0,0.0165923,0,0.0460454,0.0121127,0.0408601,0.0133212,0.0140389,0.0125145,0.0185092,0.00705818,0.00713144,0.0122048,0.00684477,0.0117599,0.011801,0.0307508,0.00950525,0.0121066,0.0165369,0.0125683,0.0152823,0.0117209,0.00588618,0.0144814,0,0,0,0,0,0,0,0,0,0
203,0.0155034,0,0,0,0,0.00597411,0,0,0,0,0,0,0.00220722,0.0567308,0.00564765,0.00451879,0,0,0.0394698,0,0.0347355,0.0211146,0.0461975,0.0152693,0.0178291,0.0096296,0.0130036,0.00551519,0.00835822,0.00848658,0.0112709,0.00474644,0.00558616,0.00264188,0.0230972,0.00654941,0.02669,0.0456001,0.021399,0.0133522,0.0393815,0.00500649,0.0196531,0.0148267,0,0,0.0168819,0,0.0459971,0.0123152,0.040867,0.0122703,0.0143765,0.0121543,0.0188489,0.00719211,0.00696998,0.0123964,0.00694653,0.011625,0.0114806,0.0319149,0.00897366,0.0118188,0.0169369,0.0124512,0.015185,0.0119747,0.00611763,0.014656,0,0,0,0,0,0,0,0,0,0
204,0.0161747,0,0,0,0,0.00626477,0,0,0,0,0,0,0.00219478,0.056671,0.00567282,0.00467018,0,0,0.0399154,0,0.0348027,0.0213198,0.0461035,0.0150955,0.0180128,0.0092819,0.0133075,0.00590005,0.00808255,0.00811435,0.010915,0.00476986,0.00539262,0.00259674,0.0230953,0.00657846,0.0269115,0.0455678,0.0214394,0.01335,0.0394215,0.00390148,0.0197537,0.0151639,0,0,0.0172794,0,0.0459586,0.0125067,0.0408329,0.0114152,0.014683,0.0118483,0.0192219,0.00714324,0.00684791,0.0126511,0.00701396,0.0114609,0.0113715,0.0329791,0.00858901,0.0117183,0.017261,0.0123885,0.0150638,0.0120282,0.00646225,0.0148401,0,0,0,0,0,0,0,0,0,0
205,0.0159419,0,0,0,0,0.00606684,0,0,0,0,0,0,0.00243753,0.0567095,0.00569795,0.00472955,0,0,0.040256,0,0.0348345,0.0213925,0.0459734,0.0149756,0.0181198,0.00889645,0.0134586,0.0065388,0.00780334,0.0077269,0.010532,0.0046129,0.00515752,0.00250068,0.0231106,0.00659515,0.0271726,0.0455818,0.0213558,0.0133006,0.0394484,0.00289981,0.0197269,0.0141427,0,0,0.0177445,0,0.0459303,0.0127629,0.0407476,0.0109251,0.0149516,0.0115568,0.0194716,0.007042,0.00671397,0.0130552,0.00704666,0.0112323,0.0114685,0.0339911,0.00844033,0.0118751,0.017445,0.0131175,0.0150616,0.0120528,0.0064369,0.0150545,0,0,0,0,0,0,0,0,0,0
206,0.0157593,0,0,0,0,0.00614427,0,0,0,0,0,0,0.00277853,0.05666,0.00570033,0.00474171,0,0,0.0405213,0,0.0348317,0.0215155,0.045857,0.0149287,0.0181614,0.00848811,0.0136735,0.00696872,0.00749486,0.00747378,0.010119,0.00441661,0.00489475,0.00237109,0.0231621,0.00656171,0.0275912,0.0455528,0.0214006,0.0137874,0.0394145,0.00219125,0.0196779,0.0132145,0,0,0.0182238,0,0.0458588,0.0130057,0.0406389,0.0106343,0.0151327,0.0112495,0.0197236,0.00748538,0.00660243,0.0134277,0.00710548,0.010991,0.0117094,0.0349516,0.00851855,0.0121881,0.0177526,0.0137764,0.0150563,0.0119308,0.00670044,0.015155,0,0,0,0,0,0,0,0,0,0
