Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,LTHIP,x78,,x79,x80,x75
9,0.0158001,0,0,0,0,0.0201171,0,0,0,0,0,0,0.00219401,0.0208572,0.00635932,0.00746746,0,0,0.0142326,0,0.0364035,0.0101511,0.0423621,0.00823429,0.0215471,0.00377844,0.0188136,0.0493431,0.0101267,0.0087181,0.00726655,0.00744752,0.00714756,0.00716376,0.0295336,0.0061878,0.0239424,0.00774186,0.00487091,0.0346968,0.0232298,0.0375786,0.0159181,0.0158212,0,0,0.0138475,0,0.0379726,0.00918652,0.038218,0.0402847,0.0149491,0.0269459,0.021761,0.0284314,0.0174359,0.0155641,0.0219278,0.0237213,0.0197978,0.0353001,0.0188092,0.0219875,0.0379355,0.0103312,0.0328831,0.0125935,0.0177609,0.0125353,0,0,0,0,0,0,0,0,0,0
10,0.015847,0,0,0,0,0.0200556,0,0,0,0,0,0,0.00220455,0.0210605,0.00635342,0.0076015,0,0,0.0144371,0,0.0364538,0.0105081,0.0421788,0.00808872,0.0215475,0.00377181,0.0190909,0.0493953,0.00998867,0.00866104,0.00717395,0.00753063,0.00729708,0.00723295,0.0295891,0.00608338,0.0241233,0.00760684,0.00539249,0.0338671,0.0232066,0.0363508,0.0158373,0.0157585,0,0,0.0147746,0,0.0380508,0.0087206,0.0383417,0.0385178,0.0147718,0.0261892,0.022011,0.0282714,0.0169916,0.0151406,0.0210591,0.0230206,0.019032,0.0354694,0.0183641,0.0209428,0.0369534,0.0100249,0.0330029,0.0125124,0.0176699,0.0126537,0,0,0,0,0,0,0,0,0,0
11,0.01593,0,0,0,0,0.020093,0,0,0,0,0,0,0.00216052,0.021141,0.00639512,0.00769797,0,0,0.0148125,0,0.0365635,0.0107908,0.0420006,0.00793117,0.0215504,0.00376519,0.0192742,0.0495125,0.00986977,0.00859296,0.00705307,0.00762966,0.00736733,0.00734674,0.0296572,0.00588998,0.0243633,0.00758325,0.00593619,0.0335147,0.0231464,0.0352955,0.0157278,0.0156902,0,0,0.015593,0,0.0381563,0.00831259,0.0384143,0.0368562,0.0145994,0.0258497,0.0221583,0.0279333,0.0166142,0.0149884,0.0206441,0.0225411,0.0184154,0.035563,0.0178612,0.02005,0.0363511,0.00952972,0.0331854,0.0124122,0.017646,0.0127303,0,0,0,0,0,0,0,0,0,0
12,0.0159355,0,0,0,0,0.0201064,0,0,0,0,0,0,0.00210084,0.0211819,0.00642718,0.00786847,0,0,0.0150746,0,0.0366674,0.0110334,0.0418985,0.00807398,0.0216001,0.00373049,0.0194934,0.0495638,0.00987293,0.00856312,0.0069873,0.00768424,0.00744388,0.00744666,0.0297163,0.00564123,0.0244532,0.00755017,0.00634544,0.0329931,0.0231032,0.0341365,0.0156645,0.0155467,0,0,0.0162553,0,0.0382255,0.00797525,0.0384894,0.0350642,0.0144854,0.0253612,0.0222734,0.0276461,0.0161708,0.0147891,0.0201875,0.0220456,0.0177211,0.0356738,0.0173142,0.0190866,0.0356434,0.00909431,0.033324,0.0123655,0.0175806,0.0126233,0,0,0,0,0,0,0,0,0,0
13,0.0158896,0,0,0,0,0.0200997,0,0,0,0,0,0,0.00194961,0.0212411,0.00643943,0.0082426,0,0,0.0151986,0,0.0367596,0.0111942,0.0418711,0.00820503,0.0216721,0.00370086,0.0197282,0.049597,0.00987136,0.0085708,0.00686519,0.00772016,0.00752288,0.00753824,0.0297876,0.00528973,0.0245004,0.00747653,0.00657686,0.0323679,0.0230444,0.0328234,0.0155672,0.0153694,0,0,0.0167845,0,0.038226,0.00763806,0.0385493,0.0330465,0.0144325,0.0247115,0.0224493,0.0273843,0.0155719,0.0146169,0.0197402,0.0214748,0.0168763,0.0357489,0.0166858,0.0179443,0.0348374,0.00862282,0.0333616,0.0123799,0.0174834,0.0124251,0,0,0,0,0,0,0,0,0,0
14,0.0157602,0,0,0,0,0.0201194,0,0,0,0,0,0,0.00194532,0.0212709,0.00643409,0.00869908,0,0,0.0151525,0,0.0368216,0.0112131,0.0418879,0.0082413,0.0217542,0.00369272,0.0200055,0.0496469,0.00989211,0.00860818,0.00670945,0.00776403,0.00756114,0.00760122,0.0298316,0.00499547,0.0244993,0.00737107,0.00663301,0.031764,0.0230323,0.0314486,0.0154489,0.0151245,0,0,0.0171572,0,0.0382365,0.00739123,0.0385446,0.0309318,0.0143493,0.0240328,0.0227291,0.0272063,0.0150959,0.0145171,0.0193706,0.020902,0.015931,0.0357805,0.0159849,0.0167249,0.0340325,0.00830482,0.0334461,0.0123832,0.0174168,0.0121313,0,0,0,0,0,0,0,0,0,0
15,0.0155805,0,0,0,0,0.0201305,0,0,0,0,0,0,0.00213709,0.0212384,0.00642216,0.0091924,0,0,0.0150424,0,0.0368352,0.0111391,0.0418435,0.00823583,0.0218694,0.00367673,0.0203466,0.0496064,0.00994447,0.00865221,0.00656623,0.00784784,0.00759891,0.00767996,0.0298707,0.00474518,0.0244505,0.0072338,0.0065396,0.0310719,0.0230275,0.030001,0.0152673,0.0148239,0,0,0.0173783,0,0.0382261,0.0072387,0.0385074,0.0287423,0.0142721,0.0232381,0.0230443,0.0271209,0.0146457,0.0144843,0.0189588,0.0202877,0.014888,0.0358237,0.0152161,0.0154159,0.0331481,0.00817261,0.0335639,0.0124163,0.0173878,0.0117752,0,0,0,0,0,0,0,0,0,0
16,0.0153878,0,0,0,0,0.0201347,0,0,0,0,0,0,0.00236209,0.0212074,0.00641861,0.00968286,0,0,0.0149045,0,0.0368216,0.0110287,0.0417272,0.0082781,0.0219764,0.00363677,0.0206975,0.0496081,0.00996508,0.0086558,0.00642429,0.00792026,0.00762995,0.00775159,0.0299188,0.00458482,0.0243677,0.00706637,0.00646085,0.0303041,0.0230312,0.0284304,0.0152564,0.0145653,0,0,0.0174415,0,0.038211,0.00719573,0.0384726,0.0264455,0.0141951,0.0223747,0.0233919,0.0271279,0.0141809,0.0145459,0.0185873,0.019657,0.0137514,0.0358046,0.0143258,0.0140112,0.032199,0.0080789,0.033675,0.0124876,0.0174077,0.0114474,0,0,0,0,0,0,0,0,0,0
17,0.0152687,0,0,0,0,0.020189,0,0,0,0,0,0,0.00227287,0.0213601,0.0064211,0.0101302,0,0,0.014853,0,0.036862,0.0109534,0.0415264,0.00836328,0.0220918,0.00364953,0.0209866,0.0496763,0.00994714,0.0086667,0.0063106,0.00795587,0.00766789,0.00782896,0.0299873,0.00444368,0.0243313,0.00699213,0.00644443,0.0293771,0.0230548,0.0266914,0.0151614,0.0144196,0,0,0.0173586,0,0.038167,0.00720404,0.038422,0.024007,0.0141164,0.0214177,0.0236916,0.0271243,0.0136815,0.0146623,0.0181981,0.0189527,0.0124891,0.0357074,0.0132927,0.0124724,0.0311309,0.00792713,0.0337554,0.012551,0.0174701,0.0112593,0,0,0,0,0,0,0,0,0,0
18,0.0150749,0,0,0,0,0.0202419,0,0,0,0,0,0,0.00209299,0.0213636,0.00643626,0.01057,0,0,0.0147248,0,0.0367679,0.0108866,0.0413435,0.00847752,0.0222135,0.00370858,0.0212956,0.0497259,0.00990451,0.00867071,0.00620427,0.00802359,0.00776496,0.00790477,0.0300534,0.00449936,0.0243087,0.00707224,0.00636684,0.0283038,0.0230669,0.0247759,0.0150962,0.0142472,0,0,0.01715,0,0.0380722,0.00722339,0.0383464,0.0213864,0.0139998,0.020404,0.0240422,0.0270999,0.0131618,0.0148679,0.0178128,0.0181901,0.0110786,0.0356194,0.0120959,0.0108218,0.0299239,0.00797986,0.0337019,0.0126366,0.0175229,0.011036,0,0,0,0,0,0,0,0,0,0
