Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x79,x80,x77,x78,
1079,0.0133835,0,0,0,0,0.0336348,0,0,0,0,0,0,0.0110751,0,0.0128391,0.00622507,0,0,0.0323159,0,0.0189212,0.0286389,0.0473193,0.020149,0.0205462,0.00559133,0.00419675,0.0135314,0.00779586,0.00945806,0.00681482,0.00363048,0.00595425,0.00283177,0.0246178,0.0173223,0.0190101,0.0237315,0.0313735,0.00942137,0.0429082,0.0140724,0.0145851,0.0141146,0,0,0.0204233,0,0.0463922,0.0104769,0.0360443,0.023791,0.0128118,0.00885774,0.00274984,0.00771316,0.00510604,0.0114786,0.00530572,0.00594163,0.0165809,0.0166515,0.0164995,0.0177692,0.00890991,0.0112511,0.0082571,0.0115028,0.0359228,0.00945648,0,0,0,0,0,0,0,0,0,0
1080,0.0134689,0,0,0,0,0.0337944,0,0,0,0,0,0,0.0133121,0,0.0138755,0.00625353,0,0,0.0327243,0,0.0195452,0.0288527,0.0473826,0.020685,0.0205595,0.00577397,0.00402525,0.0136398,0.00847949,0.00994896,0.00713952,0.00433447,0.00646067,0.00291637,0.0249167,0.020471,0.0188496,0.0238827,0.0315318,0.00972654,0.0430109,0.0136449,0.0144868,0.0135694,0,0,0.0203756,0,0.0463763,0.0104279,0.0359172,0.0232734,0.0127522,0.00910678,0.0025794,0.00782169,0.00523179,0.0114616,0.00539961,0.00638044,0.0163533,0.0168653,0.0161068,0.0175904,0.00958557,0.0110315,0.00849243,0.0115674,0.0363093,0.00952806,0,0,0,0,0,0,0,0,0,0
1081,0.0135868,0,0,0,0,0.0342415,0,0,0,0,0,0,0.0160029,0,0.014535,0.00637632,0,0,0.0327997,0,0.0202407,0.0289387,0.0473116,0.0209967,0.0205735,0.00554496,0.00414567,0.0142547,0.00890866,0.010306,0.00710466,0.00488422,0.00691102,0.00311566,0.0253764,0.0237725,0.0186341,0.0241304,0.031529,0.0101113,0.0431321,0.0131133,0.01451,0.0131715,0,0,0.0202396,0,0.0462985,0.0102935,0.0357557,0.0227736,0.0127557,0.00933994,0.00258673,0.00776101,0.00531708,0.0114984,0.00541314,0.00667848,0.0161247,0.0172462,0.0158095,0.0174027,0.0102188,0.0107707,0.00867789,0.0115648,0.0369664,0.0096169,0,0,0,0,0,0,0,0,0,0
1082,0.0131261,0,0,0,0,0.0342554,0,0,0,0,0,0,0.0189447,0,0.0155415,0.00647806,0,0,0.0329003,0,0.0209773,0.0290288,0.0470138,0.0212554,0.0207167,0.00595827,0.00421365,0.0145406,0.0096338,0.0107643,0.00766181,0.00542772,0.00719142,0.00319264,0.0256495,0.0274669,0.0183667,0.0243877,0.0314245,0.0103629,0.0430687,0.0127271,0.0146028,0.0132422,0,0,0.0190423,0,0.0461407,0.0101632,0.0355618,0.0224751,0.0127734,0.009699,0.00302177,0.00800204,0.00543554,0.0114986,0.00532964,0.00695593,0.0159878,0.0175983,0.015678,0.0172099,0.0109065,0.0102563,0,0.0123228,0.0371765,0.00957459,0,0,0,0,0,0,0,0,0,0
1083,0.0134723,0,0,0,0,0.0345445,0,0,0,0,0,0,0.0210436,0,0.0160168,0.00651188,0,0,0.032976,0,0.0215886,0.0291497,0.0472599,0.0212034,0.0206618,0.00610485,0.00451504,0.0154675,0.0104785,0.0113759,0.00805911,0.00593963,0.00788183,0.0034676,0.026035,0.030381,0.0180374,0.0246177,0.031273,0.0108592,0.0432836,0.0126698,0.0146184,0.0126444,0,0,0.0207389,0,0.0462982,0.0105607,0.0354242,0.0219515,0.0128237,0.00995008,0.00277501,0.00807396,0.00553462,0.0115452,0.00522973,0.00714312,0.0158033,0.0179972,0.0154267,0.0169444,0.011772,0.010783,0.00910092,0.0117003,0.0374991,0.0100195,0,0,0,0,0,0,0,0,0,0
1084,0.0136409,0,0,0,0,0.0348199,0,0,0,0,0,0,0.023367,0,0.016282,0.00662716,0,0,0.0330573,0,0.0219804,0.0291962,0.0470714,0.0211444,0.0206979,0.00624371,0.00477742,0.0165227,0.0113335,0.0119115,0.00856377,0.00633813,0.00849286,0.00384025,0.0262996,0.0325787,0.0177147,0.0247545,0.0311507,0.011563,0.0433194,0.0123463,0.014637,0.0122797,0,0,0.0210318,0,0.0461998,0.0106921,0.0352587,0.0214035,0.0129515,0.0101798,0.00225235,0.00816916,0.00565028,0.0116297,0.00514004,0.00701519,0.0154436,0.0184342,0.0148442,0.0166859,0.0129292,0.010799,0.00932248,0.011733,0.037907,0.0103305,0,0,0,0,0,0,0,0,0,0
1085,0.0137493,0,0,0,0,0.0348825,0,0,0,0,0,0,0.0256921,0,0.0160923,0.00659052,0,0,0.0332394,0,0.0224723,0.0292932,0.0469102,0.0205726,0.0207665,0.00642701,0.00487461,0.0174369,0.0123012,0.0124418,0.0091994,0.00653813,0.00866689,0.00415031,0.0263839,0.0332276,0.0175696,0.0248949,0.0312753,0.0122313,0.0433556,0.0120218,0.0145842,0.0120253,0,0,0.0211602,0,0.0461382,0.0108223,0.0350489,0.0210176,0.0130613,0.0103584,0.00199164,0.00842785,0.00577317,0.011631,0.00494912,0.0069145,0.0152535,0.0188134,0.0144074,0.016421,0.0141682,0.0108872,0.00924559,0.0117896,0.0381456,0.0106079,0,0,0,0,0,0,0,0,0,0
1086,0.0140305,0,0,0,0,0.0351886,0,0,0,0,0,0,0,0,0.0147702,0.00627917,0,0,0.0332442,0,0.0228459,0.02936,0.0469795,0.0193915,0.0206538,0.00583688,0.00496553,0.0186603,0.012419,0.0118762,0.00895991,0.00628903,0.00796475,0.00452235,0.0263718,0.0346311,0.0174328,0.0250221,0.0312951,0.0131351,0.0434285,0.0115524,0.014595,0.0117984,0,0,0.02128,0,0.0461278,0.0108774,0.0348486,0.020375,0.0132315,0.010208,0.00198677,0.00864146,0.00588113,0.0115965,0.00470451,0.00680099,0.0149505,0.0192706,0.0139329,0.0160514,0.0155805,0.0110215,0.00923971,0.0118186,0.0386177,0.0109858,0,0,0,0,0,0,0,0,0,0
1087,0.0142869,0,0,0,0,0.035628,0,0,0,0,0,0,0.026111,0,0.0136586,0.00609145,0,0,0.033251,0,0.0231591,0.029427,0.046917,0.0186156,0.0207863,0.00589883,0.00529704,0.0198731,0.0131346,0.0126809,0.00866063,0.00611674,0.0078869,0.00431974,0.0264391,0.0302934,0.0173001,0.0251058,0.0312866,0.0140676,0.0435092,0.0108662,0.0145495,0.0116862,0,0,0.0215747,0,0.0461216,0.0109727,0.0351703,0.0196985,0.0133228,0.00985098,0.00215479,0.00879998,0.00586067,0.0114308,0.00450518,0.00677171,0.0144811,0.0197972,0.0134594,0.0154991,0.0169622,0.01118,0.0093633,0.0118633,0.0392346,0.0114785,0,0,0,0,0,0,0,0,0,0
1088,0.0147617,0,0,0,0,0.0361138,0,0,0,0,0,0,0.0241969,0,0.0121771,0.00572876,0,0,0.0332437,0,0.0235443,0.0295407,0.0469001,0.0173047,0.0207796,0.00502291,0.00526533,0.0212715,0.0126502,0.0121402,0.00760868,0.00554179,0.00720835,0.00424763,0.0262877,0.0273678,0.0172262,0.0252468,0.0313343,0.0151505,0.0435839,0.0103408,0.0144829,0.0116054,0,0,0.0217751,0,0.0461018,0.0110681,0.0355625,0.0192597,0.0134493,0.00965653,0.0024335,0.00895324,0.00570354,0.0114878,0.00418886,0.00666593,0.0140922,0.0202739,0.0131099,0.01504,0.0185467,0.0113615,0.00955722,0.0118807,0.0399079,0.0120855,0,0,0,0,0,0,0,0,0,0
