Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,x78,,x79,x82,x77,IMUR_B
224,0.0276644,0,0,0,0,0.0319788,0,0,0,0,0,0.0107239,0.0434948,0.012638,0.0236464,0,0,0.10198,0,0.0499383,0.0560244,0.0360821,0.0150612,0.0145253,0.0108538,0.0196484,0.0314973,0.0067903,0.0140133,0.00728814,0.0143293,0.0144562,0.0127418,0.0312851,0.0186623,0.0745282,0,0.0356433,0.0280358,0.046114,0.0128063,0.00913023,0.0103994,0,0,0.0229345,0,0.0504616,0.0154045,0.0442063,0.0177751,0.0148277,0.0181295,0.0183139,0.0282161,0.00753074,0.010681,0.00510443,0.00737314,0.00898313,0.0293975,0.00961291,0.00666538,0.0385921,0.0196712,0.0215207,0.00364629,0.0289568,0.0233533,0,0,0,0,0,0,0,0,0,0,0,0
225,0.0283736,0,0,0,0,0.0315474,0,0,0,0,0,0.00845256,0.0435153,0.0121685,0.0236954,0,0,0.101594,0,0.0499138,0.0557677,0.0361083,0.0163376,0.0148598,0.0120013,0.0198267,0.0314578,0.00724515,0.0140327,0.00859242,0.0143049,0.0137216,0.0121352,0.0316077,0.0165946,0.0741429,0,0.0353743,0.0279438,0.0459322,0.0125494,0.00901442,0.0112844,0,0,0.0230936,0,0.0504592,0.0157128,0.0442599,0.0175004,0.0146296,0.0181969,0.0183099,0.0280674,0.00770861,0.0105955,0.00509834,0.0075252,0.00896456,0.0291246,0.00985088,0.0063163,0.0388535,0.0196598,0.0215539,0.00368571,0.0285576,0.0239184,0,0,0,0,0,0,0,0,0,0,0,0
226,0.0290952,0,0,0,0,0.0311188,0,0,0,0,0,0.00619172,0.0435163,0.0125442,0.0237656,0,0,0.100999,0,0.0498696,0.0554099,0.0360454,0.0178326,0.0151578,0.0125187,0.0201753,0.0314153,0.00750048,0.01375,0.00920271,0.0144016,0.013429,0.0118513,0.0318127,0.0149281,0.0736252,0,0.0352301,0.0276763,0.045856,0.0122427,0.00881356,0.0123396,0,0,0.0233304,0,0.0506108,0.0160806,0.0443368,0.0172415,0.0144195,0.0181779,0.0182186,0.0280761,0.00783349,0.0104939,0.00521697,0.00765257,0.00885807,0.028922,0.0100122,0.00606032,0.0389744,0.0197941,0.0215702,0.0037593,0.0280922,0.0245667,0,0,0,0,0,0,0,0,0,0,0,0
227,0.0297578,0,0,0,0,0.0308097,0,0,0,0,0,0.0047019,0.0435346,0.0130791,0.0238489,0,0,0.100338,0,0.0498928,0.0549968,0.0359285,0.0190475,0.0153422,0.0121037,0.0205815,0.0315081,0.00726599,0.013141,0.00872563,0.0146157,0.0137389,0.0123112,0.0319281,0.0138463,0.0730732,0,0.0350432,0.0274347,0.0459118,0.0120678,0.00854894,0.0133798,0,0,0.0235518,0,0.0508339,0.0163572,0.0445763,0.0170151,0.0142296,0.018194,0.018045,0.0282254,0.00798779,0.0104043,0.00531477,0.00775888,0.00881211,0.0287304,0.0102777,0.00568649,0.0388242,0.0199474,0.0217253,0.00381773,0.0276715,0.0251361,0,0,0,0,0,0,0,0,0,0,0,0
228,0.0305258,0,0,0,0,0.0304475,0,0,0,0,0,0.00386993,0.0436161,0.0131449,0.0239342,0,0,0.0996558,0,0.0499341,0.0545471,0.0357656,0.020225,0.0156091,0.0118278,0.0207217,0.0315988,0.00671963,0.0122812,0.00812957,0.0149601,0.0141691,0.0129628,0.032226,0.0130098,0.0724326,0,0.0347122,0.0274356,0.0458001,0.0121523,0.00816758,0.0147018,0,0,0.0238721,0,0.050969,0.0166687,0.044878,0.0165658,0.0139814,0.0181654,0.0178035,0.0286196,0.00816057,0.0104102,0.00534715,0.00789858,0.00873157,0.0285085,0.0108501,0.00507875,0.0389649,0.0203403,0.0217009,0.00382839,0.027147,0.025619,0,0,0,0,0,0,0,0,0,0,0,0
229,0.0308409,0,0,0,0,0.0302388,0,0,0,0,0,0.00362233,0.043681,0.0130339,0.0239556,0,0,0.0991909,0,0.0499535,0.0542801,0.0355499,0.0212853,0.0158331,0.0119917,0.0207945,0.0317887,0.006109,0.0114668,0.00785272,0.0152198,0.0140672,0.01327,0.0324558,0.0124598,0.0719613,0,0.0344193,0.0274157,0.0456122,0.0120878,0.00767172,0.0153602,0,0,0.0240189,0,0.0509371,0.0168205,0.0451746,0.01622,0.0136274,0.0180005,0.0175229,0.0289434,0.00827026,0.0103984,0.00546459,0.00800852,0.00870564,0.0282743,0.0112548,0.00455679,0.0389976,0.0206136,0.0216196,0.0037953,0.0267413,0.025724,0,0,0,0,0,0,0,0,0,0,0,0
230,0.0311628,0,0,0,0,0.0300635,0,0,0,0,0,0.00390078,0.0436894,0.0132024,0.0239702,0,0,0.0988416,0,0.0499215,0.0540417,0.0353246,0.0218521,0.0160233,0.0122315,0.0205657,0.0320201,0.00554306,0.0108619,0.00774909,0.0154486,0.0141213,0.0133477,0.0325865,0.0122253,0.0715942,0,0.0341819,0.027234,0.0455437,0.0118539,0.00715331,0.015988,0,0,0.0241815,0,0.0510112,0.0169566,0.0454586,0.0159234,0.0132415,0.0177489,0.017315,0.0293054,0.00832882,0.0103483,0.00586116,0.00807226,0.00875539,0.0280056,0.0115308,0.00437625,0.038736,0.0209148,0.0215358,0.00378961,0.0262919,0.0258636,0,0,0,0,0,0,0,0,0,0,0,0
231,0.0315861,0,0,0,0,0.029867,0,0,0,0,0,0.00452725,0.0436931,0.013571,0.0239691,0,0,0.09862,0,0.049891,0.053818,0.0350957,0.0225251,0.016149,0.0123638,0.0203885,0.032281,0.00517606,0.0105936,0.00775279,0.015651,0.0143318,0.0133804,0.0326511,0.0121263,0.0712533,0,0.0339123,0.0273114,0.0455396,0.0118153,0.00662288,0.0166733,0,0,0.0244246,0,0.0511674,0.0171239,0.0456898,0.0155653,0.012859,0.017554,0.0171692,0.0297673,0.00833572,0.0101861,0.00731678,0.00817505,0.00900009,0.0277866,0.0119307,0.00443404,0.0385783,0.0212905,0.0214937,0.00378648,0.0257747,0.0260797,0,0,0,0,0,0,0,0,0,0,0,0
232,0.0320972,0,0,0,0,0.0296556,0,0,0,0,0,0.00522633,0.0437607,0.013789,0.0239003,0,0,0.0984536,0,0.0499358,0.0535122,0.0348286,0.0228716,0.0162129,0.0124384,0.020231,0.0325412,0.00512875,0.0106374,0.00782848,0.0159243,0.0143704,0.0135422,0.0326926,0.0119068,0.0709909,0,0.0335869,0.0278518,0.0454471,0.0123896,0.0061372,0.0173872,0,0,0.0246832,0,0.0512532,0.0172331,0.0458615,0.0154051,0.0125085,0.017493,0.0170708,0.0302999,0.00846108,0.0101227,0.00790266,0.00844322,0.00931461,0.0276024,0.0125659,0.00482114,0.0387152,0.0216874,0.0214702,0.00381907,0.025268,0.0263266,0,0,0,0,0,0,0,0,0,0,0,0
233,0.0326404,0,0,0,0,0.0294597,0,0,0,0,0,0.00583538,0.0438606,0.0135909,0.0237681,0,0,0.098302,0,0.0500167,0.0532428,0.0344602,0.0227349,0.0162404,0.0122507,0.0200423,0.0328421,0.00550212,0.010908,0.00775366,0.0161212,0.0148499,0.0136629,0.0326881,0.011544,0.0708095,0,0.0332706,0.0281615,0.0453056,0.0130875,0.00569948,0.0181749,0,0,0.0248485,0,0.0512842,0.0172189,0.0460164,0.0153512,0.0121343,0.0173566,0.0170035,0.0308419,0.00870729,0.0100191,0.00705826,0.0087023,0.00973652,0.0272838,0.0132184,0.00553163,0.0387891,0.0220652,0.0213781,0.00380967,0.0248424,0.0266052,0,0,0,0,0,0,0,0,0,0,0,0
