Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72
36,0.0499556,0,0,0,0,0.0389639,0,0,0,0,0,0,0.0336524,0.0324877,0.0297115,0.0136345,0,0,0.0262033,0,0.0341223,0.0160708,0.0415502,0.0272834,0.00724912,0.0120336,0.0154624,0.0876681,0.0154656,0.0143877,0.0139459,0.00655146,0.0111867,0.0118509,0.0167053,0.0362298,0.0284309,0.0165822,0.0231872,0.0167201,0.0427418,0.0150292,0.0136509,0.046416,0,0,0.0280173,0,0.0472316,0.0235853,0.0362199,0.0129663,0.0160793,0.0102081,0.0125967,0.0399502,0.0125792,0.0149606,0.0103961,0.0138146,0.00382522,0.0313644,0.00793776,0.00477647,0.0182208,0.0353344,0.0191142,0.0152059,0.0484859,0.0508104,0,0
37,0.0504732,0,0,0,0,0.0385308,0,0,0,0,0,0,0.0339665,0.0326372,0.0299708,0.0133299,0,0,0.0272426,0,0.0347977,0.0157438,0.0416844,0.0272171,0.00733482,0.0121097,0.0152872,0.088343,0.0155388,0.0145935,0.0140219,0.00674239,0.0112471,0.0119083,0.0167539,0.0364328,0.02918,0.0164737,0.0241953,0.0167529,0.0427639,0.0150665,0.0135485,0.0470255,0,0,0.0280628,0,0.0473068,0.0237809,0.0362659,0.0130706,0.0160589,0.0101926,0.0125066,0.0398411,0.0125763,0.0151185,0.010378,0.0138226,0.0038571,0.0314102,0.00794571,0.00479476,0.0183658,0.0354606,0.0191634,0.0153639,0.0479833,0.0512649,0,0
38,0.0509018,0,0,0,0,0.0381265,0,0,0,0,0,0,0.0342154,0.032843,0.0300683,0.0132855,0,0,0.0283103,0,0.035283,0.0152202,0.0418545,0.0271688,0.00738722,0.0122052,0.0151742,0.089044,0.0156098,0.0147221,0.0140791,0.0068314,0.0114081,0.0118154,0.0167548,0.0366575,0.0301039,0.0160358,0.0252557,0.0167267,0.0427875,0.0150834,0.0134727,0.0474969,0,0,0.0281371,0,0.0473547,0.0239674,0.0362947,0.0131266,0.0160844,0.0101853,0.0124084,0.039681,0.0125314,0.0151074,0.0103928,0.0138215,0.00384972,0.0314414,0.00794803,0.00477941,0.018492,0.0355418,0.0192257,0.0154811,0.0474252,0.0516347,0,0
39,0.0513419,0,0,0,0,0.0377252,0,0,0,0,0,0,0.034118,0.0331454,0.03005,0.0134614,0,0,0.0295068,0,0.0357251,0.0145245,0.042049,0.0271278,0.00740937,0.012335,0.015104,0.0898517,0.0156507,0.0146942,0.014189,0.00683661,0.0115014,0.0117939,0.0167263,0.036869,0.0312404,0.015574,0.0262944,0.0166517,0.0428175,0.0151072,0.0134276,0.0479294,0,0,0.0282125,0,0.0474067,0.0241479,0.0363004,0.0131887,0.0161197,0.010187,0.0122919,0.03956,0.0124639,0.0149436,0.0103891,0.0137884,0.00382078,0.0314517,0.00795661,0.00477588,0.0184515,0.0356153,0.0192004,0.0156047,0.0468204,0.0520288,0,0
40,0.0518432,0,0,0,0,0.0373037,0,0,0,0,0,0,0.0342799,0.0336632,0.0299726,0.0134347,0,0,0.0308647,0,0.0361768,0.0139517,0.0420934,0.0271068,0.00740531,0.0124281,0.0150295,0.0908128,0.015724,0.0145557,0.0142946,0.00681994,0.0115265,0.0118598,0.0167193,0.0370119,0.032544,0.0151836,0.0270723,0.0166345,0.0428502,0.0151767,0.0133845,0.0483739,0,0,0.0282921,0,0.0474687,0.0243294,0.0362929,0.0133356,0.0161495,0.0102195,0.0122156,0.0395099,0.0124328,0.0148649,0.0103557,0.0137631,0.00380622,0.031458,0.00795,0.00480744,0.0185535,0.0357296,0.0192074,0.0157471,0.0461816,0.0524699,0,0
41,0.0523281,0,0,0,0,0.0369283,0,0,0,0,0,0,0.0345931,0.03414,0.0298809,0.0131859,0,0,0.0323054,0,0.0366764,0.0135357,0.0419397,0.0270046,0.00739786,0.0124531,0.0149348,0.0918307,0.0157828,0.0146678,0.0143347,0.0068235,0.0115473,0.0118489,0.0167179,0.037142,0.0339342,0.0149003,0.0277548,0.0166721,0.0428731,0.0152928,0.0133394,0.048735,0,0,0.0283197,0,0.047518,0.0244386,0.0362357,0.0135732,0.0161628,0.0102818,0.0121567,0.0394492,0.0124038,0.0148885,0.0103573,0.013722,0.00384892,0.0314687,0.00794885,0.00487778,0.0188052,0.03586,0.0192292,0.0158548,0.0455543,0.0529278,0,0
42,0.0527421,0,0,0,0,0.0365645,0,0,0,0,0,0,0.0349834,0.0346198,0.0298492,0.0131092,0,0,0.0337798,0,0.0371775,0.0131207,0.0417646,0.026804,0.00746677,0.0124716,0.0148083,0.0928524,0.0156041,0.0148008,0.0143367,0.00693627,0.0115614,0.0118628,0.0167152,0.0375179,0.0353361,0.014605,0.0284726,0.0167534,0.0428999,0.0154422,0.0132735,0.0490108,0,0,0.0283482,0,0.0475536,0.0244997,0.0362179,0.0138899,0.0161782,0.0103454,0.0120674,0.0393433,0.0123516,0.0149124,0.0103408,0.013673,0.00391031,0.0314747,0.00794837,0.00499187,0.0190421,0.0360564,0.0191969,0.0159237,0.0449596,0.0533589,0,0
43,0.0531667,0,0,0,0,0.036234,0,0,0,0,0,0,0.0353988,0.0351778,0.0298744,0.0131121,0,0,0.0352794,0,0.0375694,0.0129147,0.0416723,0.0267293,0.00753118,0.0125844,0.0147221,0.0939036,0.0151819,0.0148937,0.0143728,0.00706747,0.0114295,0.0119145,0.0167048,0.0379321,0.036656,0.0143388,0.0292726,0.0168097,0.0429165,0.0156059,0.013395,0.0494572,0,0,0.028326,0,0.0475872,0.0246527,0.036212,0.0142107,0.0161801,0.0104245,0.0120103,0.039221,0.0121573,0.0149181,0.0101495,0.0136208,0.00398053,0.0315003,0.00793505,0.00512362,0.0193188,0.0361895,0.0191435,0.0159964,0.0444062,0.0537959,0,0
44,0.0535275,0,0,0,0,0.0359253,0,0,0,0,0,0,0.0354936,0.0357538,0.0299393,0.0131893,0,0,0.0367166,0,0.037938,0.0127526,0.041642,0.026723,0.00750699,0.0127929,0.0147418,0.0949626,0.0154808,0.014983,0.0144471,0.00711447,0.0115691,0.0119151,0.0167213,0.0381885,0.0378499,0.0140664,0.0300755,0.0168275,0.0429276,0.0157357,0.0134139,0.0498324,0,0,0.0283118,0,0.0476079,0.0247886,0.0362041,0.0144921,0.0162209,0.010507,0.0121178,0.0391348,0.0120301,0.0149048,0.00970499,0.0135771,0.00407694,0.0315248,0.0079383,0.00524048,0.0194388,0.0362797,0.0191132,0.0160583,0.0438708,0.0541921,0,0
45,0.053762,0,0,0,0,0.0356915,0,0,0,0,0,0,0.0356967,0.03616,0.0299735,0.0132411,0,0,0.0379903,0,0.038308,0.0123667,0.0415104,0.026698,0.0074252,0.0129558,0.0148016,0.0959984,0.0157175,0.0150843,0.014594,0.0071858,0.0120041,0.0119325,0.0167556,0.0383675,0.0390543,0.0137064,0.0309012,0.0168665,0.0429343,0.0158414,0.0132114,0.0500612,0,0,0.028269,0,0.0476116,0.0248198,0.0362686,0.0146986,0.0162975,0.0105574,0.0122959,0.0392008,0.0120143,0.0148533,0.00900275,0.0135362,0.0041325,0.031532,0.00795274,0.00531534,0.0195523,0.0363041,0.0190875,0.0160916,0.0434233,0.0544909,0,0
