Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,
941,0.00940248,0.00413545,0,0,0,0,0,0,0.0122269,0.0190749,0.0153328,0.00846096,0,0,0.0100911,0,0.0182739,0.00321872,0.0509838,0.0295817,0.0049511,0.040624,0.00671453,0.005722,0.0163587,0.0287795,0.0154265,0.00794127,0.0222653,0.0232817,0.0129071,0.00671988,0.0181394,0.00694975,0.00780112,0.00190634,0.00308623,0.0206584,0.0062199,0.00870292,0.00979743,0,0,0.00751838,0,0.016306,0.00316973,0.039533,0.0076547,0.0158434,0.0130836,0.00532808,0.00966329,0,0.0211588,0,0.00295882,0.00798765,0.0212477,0.00761469,0.00809675,0.00357643,0.00603141,0.00153149,0.00192714,0.00546951,0.00779632,0,0,0,0,0,0,0,0,0
942,0.00930941,0.00434221,0,0,0,0,0,0,0.0118154,0.019019,0.0155529,0.0089147,0,0,0.00992175,0,0.0182962,0.00303811,0.0508599,0.030146,0.00491291,0.0410945,0.00663556,0.00548525,0.0164996,0.0292458,0.0160039,0.00772463,0.0221655,0.0232615,0.0126574,0.00656145,0.0175665,0.00670621,0.00782475,0.00188102,0.00295572,0.0204773,0.00662899,0.00935028,0.00958688,0,0,0.00768463,0,0.0162695,0.00293116,0.0396922,0.00814695,0.0158795,0.0139443,0.00542334,0.00949022,0,0.020758,0.00258617,0.00352295,0.00851275,0.0210226,0.00808872,0.00862376,0.00329765,0.00587625,0.0012599,0.00200151,0.00581384,0.00767592,0,0,0,0,0,0,0,0,0
943,0.00913944,0.00446847,0,0,0,0,0,0,0.0112803,0.0188657,0.0155537,0.00926326,0,0,0.00978071,0,0.0184682,0.00289843,0.0509135,0.0305224,0.00488656,0.0413375,0.00644522,0.00523736,0.0164587,0.0292238,0.0164345,0.0076643,0.021609,0.022906,0.0122512,0.00641892,0.0169803,0.00652618,0.00789172,0.0019156,0.0029273,0.0202108,0.00665587,0.010114,0.00925176,0,0,0.00796633,0,0.0161842,0.00273585,0.0398064,0.00809127,0.0163471,0.0144039,0.00526992,0.00929276,0,0.0205815,0.00293768,0.00377965,0.00863516,0.0209404,0.00820406,0.00869243,0.00327922,0.00571396,0.00112547,0.00219797,0.00618093,0.00746498,0,0,0,0,0,0,0,0,0
944,0.00894925,0.00457318,0,0,0,0,0,0,0.0107441,0.0187281,0.0157396,0.00943149,0,0,0.00953278,0,0.0185321,0.00266304,0.0510972,0.0310218,0.00491443,0.041619,0.0062691,0.00502236,0.0163989,0.0289739,0.0167987,0.00758788,0.0213151,0.0225633,0.0118781,0.00630631,0.0163851,0.00629144,0.0079318,0.00191483,0.00314087,0.0199642,0.00678795,0.0107779,0.00889944,0,0,0.00828455,0,0.0161611,0.0024262,0.0398772,0.00803797,0.0167071,0.0149265,0.00503406,0.00900497,0,0.0204399,0.00319132,0.00381589,0.00882463,0.0207479,0.00840732,0.00888439,0.00356583,0.0055355,0.00101822,0.00235021,0.00647751,0.00727888,0,0,0,0,0,0,0,0,0
945,0.00867558,0.00460107,0,0,0,0,0,0,0.0101988,0.0185276,0.0158192,0.00960545,0,0,0.00929211,0,0.01856,0.00255706,0.0514368,0.031211,0.00499136,0.0416359,0.00589115,0.00496327,0.0162091,0.0285062,0.0169219,0.00756714,0.0211661,0.0222479,0.0115907,0.00626682,0.0158553,0.0061666,0.00794473,0.00192758,0.00359004,0.0196773,0.0065743,0.011412,0.00832725,0,0,0.00870082,0,0.0161679,0.00217288,0.0398114,0.00747908,0.0173825,0.0148973,0.00457177,0.00852038,0,0.0206299,0,0.00348095,0.00865866,0.0207953,0.00832389,0.00871013,0.00416414,0.00527531,0.000948701,0.00254132,0.00679919,0.00699049,0,0,0,0,0,0,0,0,0
946,0.00859067,0.0045627,0,0,0,0,0,0,0.00995963,0.0184005,0.0159598,0.00985753,0,0,0.00887301,0,0.0185587,0.00240679,0.0515207,0.0315181,0.0051537,0.0418685,0.00570166,0.00449002,0.0162852,0.028415,0.017172,0.00738081,0.0212046,0.0223312,0.0114063,0.00623672,0.0157321,0.00583922,0.0079464,0.00191723,0.0038016,0.0194233,0.00677991,0.0118199,0.00795664,0,0,0.00901726,0,0.0161692,0.00202892,0.0398721,0.00762794,0.0173036,0.015558,0.00460542,0.00807568,0,0.0203667,0.00348298,0.00368849,0.00899437,0.0205452,0.00857445,0.00902954,0.00441069,0.00510648,0.000975281,0.00270336,0.00693388,0.00694473,0,0,0,0,0,0,0,0,0
947,0.00836421,0.00445469,0,0,0,0,0,0,0.00962914,0.0182506,0.015953,0.00999076,0,0,0.00843542,0,0.0186649,0.00226032,0.051756,0.0315929,0.00543178,0.042023,0.00525201,0.00408404,0.0163206,0.0282603,0.0171482,0.00726111,0.0211719,0.0225087,0.0114651,0.00614458,0.0158565,0.00557231,0.00798474,0.00192921,0.00448646,0.0191765,0.00660515,0.0120399,0.00742953,0,0,0.00923708,0,0.0162038,0.00201379,0.0399123,0.00712638,0.0179253,0.0156064,0.00448013,0.00753217,0,0.020396,0,0.00357054,0.00887185,0.0205673,0.00845507,0.00883034,0.00508255,0.00490661,0.00106402,0.00289466,0.00699865,0.00673813,0,0,0,0,0,0,0,0,0
948,0.008319,0.00437346,0,0,0,0,0,0,0.0092384,0.018144,0.0159106,0.010185,0,0,0.00795746,0,0.0186643,0.00210937,0.0517146,0.0317372,0.00564634,0.0423541,0.00536774,0.00371303,0.0165347,0.0283594,0.0171794,0.00696619,0.02136,0.0228826,0.0115882,0.00603575,0.0158433,0.00525094,0.00797584,0.00188883,0.00478008,0.0189964,0.00688302,0.0121994,0.0071276,0,0,0.00936973,0,0.0162744,0.00206041,0.0400852,0.00746506,0.0178834,0.0162984,0.00466899,0.00710745,0,0.0200725,0.00417435,0.00395342,0.00928439,0.0203032,0.00882027,0.00929272,0.0053921,0.00483037,0.00115287,0.00305479,0.00696158,0.00670363,0,0,0,0,0,0,0,0,0
949,0.00825627,0.00436403,0,0,0,0,0,0,0.00872842,0.0180141,0.0158119,0.0102099,0,0,0.00764132,0,0.0186183,0.00205529,0.0518525,0.0316875,0.0060575,0.0425589,0.00551576,0.00359985,0.0166306,0.0283394,0.0170137,0.00669173,0.0217436,0.0232617,0.0117835,0.00590974,0.0158038,0.00507491,0.00793912,0.00185246,0.00534668,0.0188019,0.00687332,0.0122548,0.00658799,0,0,0.00955325,0,0.0164176,0.00214031,0.04017,0.00729721,0.0185444,0.0163405,0.00496035,0.00643866,0,0.0200606,0,0.00397887,0.00928833,0.0204381,0.00885632,0.00940998,0.00607286,0.00463339,0.0011535,0.00325059,0.00699286,0.0065788,0,0,0,0,0,0,0,0,0
950,0.00835399,0.00467209,0,0,0,0,0,0,0.00830379,0.0179442,0.0157685,0.0104463,0,0,0.00743094,0,0.0185967,0.00204295,0.0517413,0.0317054,0.00614568,0.0427994,0.00549134,0.00331266,0.0167708,0.0285035,0.017024,0.00644989,0.022228,0.0235318,0.0118341,0.00583895,0.015668,0.00485017,0.007878,0.00181589,0.00568642,0.0187226,0.00698447,0.012517,0.00643176,0,0,0.00957757,0,0.0164585,0.00209028,0.0402703,0.00727345,0.0190838,0.0165003,0.00499279,0.00651111,0,0.0198232,0,0.0040934,0.00942949,0.020413,0.00896563,0.0095567,0.00640233,0.00475382,0.00107477,0.00341989,0.00760642,0.00653528,0,0,0,0,0,0,0,0,0
951,0.00857502,0.00564801,0,0,0,0,0,0,0.007897,0.0188597,0.0159492,0.0106716,0,0,0.00389732,0,0.0177124,0.00264387,0.0516755,0.0319562,0.00633095,0.0431218,0.00570376,0.00299192,0.0170074,0.028751,0.0172835,0.00630011,0.0223957,0.0235724,0.0118405,0.0057371,0.0153899,0.00331419,0.00752764,0.00129043,0.00603892,0.0188016,0.00715595,0.0127218,0.00574875,0,0,0.00381931,0,0.0165947,0.00272486,0.0404851,0.00714108,0.0196287,0.0166676,0.00553815,0.0096617,0,0.0196451,0,0.00414789,0.00963723,0.0202608,0.00916482,0.00971946,0.00677791,0.00670105,0.000772561,0.00336466,0.00778348,0.00669246,0,0,0,0,0,0,0,0,0
952,0.00854578,0.00582604,0,0,0,0,0,0,0.00758621,0.0185992,0.0160319,0.0110913,0,0,0.00416131,0,0.0178331,0.00243969,0.0516203,0.0322032,0.00627216,0.0433451,0.00547338,0.00299573,0.0171488,0.0289519,0.0175006,0.00620816,0.0221655,0.0234213,0.0116122,0.00568898,0.0149055,0.00346529,0.00753202,0.00135517,0.0060441,0.0186916,0.00733779,0.013496,0.00566861,0,0,0.00397273,0,0.0165703,0.0026408,0.0408037,0.00739404,0.0198174,0.0171922,0.00542355,0.00982879,0,0.0192836,0.00479144,0.00442905,0.00988351,0.0200196,0.00941035,0.0099134,0.00664265,0.00691545,0.000656926,0.00359102,0.0085397,0.00701043,0,0,0,0,0,0,0,0,0
953,0.00854377,0.00604708,0,0,0,0,0,0,0.00743229,0.0183696,0.0161151,0.0114892,0,0,0.00443341,0,0.0178962,0.00227101,0.0517919,0.032464,0.00637277,0.0436011,0.00547055,0.00299461,0.0172232,0.0289872,0.0174399,0.00619483,0.0217181,0.0232201,0.0114162,0.00565121,0.0144742,0.00379466,0.0075251,0.00138355,0.00615083,0.0185519,0.00742291,0.0143736,0.00552335,0,0,0.00418326,0,0.0165153,0.00257597,0.0411981,0.00744446,0.020241,0.017437,0.00536902,0.0100586,0,0.0192232,0.00475756,0.00453139,0.00995113,0.0198964,0.00953891,0.00995542,0.00664313,0.00718531,0.000737015,0.00385345,0.00933411,0.00711514,0,0,0,0,0,0,0,0,0
954,0.00863771,0.00620081,0,0,0,0,0,0,0.00740189,0.0181608,0.0162662,0.0120108,0,0,0.00465834,0,0.0180143,0.00214102,0.0519335,0.0327802,0.00648309,0.0441722,0.00551873,0.00298025,0.0172923,0.0289587,0.017526,0.00620344,0.0216113,0.0230527,0.0112274,0.00565679,0.0141602,0.00413423,0.00756639,0.00145061,0.00626306,0.018409,0.00742329,0.014424,0.00539509,0,0,0.00450906,0,0.0165005,0.00250636,0.0414487,0.00731132,0.0206389,0.0176745,0.00546101,0.0102452,0,0.0192314,0.00482718,0.00474776,0.00990861,0.0197789,0.0095552,0.00990866,0.00660224,0.00748299,0.000794414,0.00409071,0.0100355,0.00712149,0,0,0,0,0,0,0,0,0
955,0.00883468,0.00631057,0,0,0,0,0,0,0.0071756,0.0178979,0.0163732,0.0124408,0,0,0.00485417,0,0.0182394,0.00205309,0.0520986,0.0329611,0.00656153,0.044447,0.00550626,0.00289103,0.0172402,0.0288232,0.0176316,0.00617057,0.0217234,0.0228521,0.0110073,0.00572317,0.0138729,0.00415386,0.00766738,0.00148867,0.006433,0.0182762,0.00742719,0.0145671,0.00530702,0,0,0.00489506,0,0.0165402,0.00241929,0.0415337,0.00713128,0.020968,0.0179008,0.00568792,0.0103738,0,0.019248,0.00511283,0.00489109,0.00985756,0.0196876,0.00960753,0.0098909,0.00666906,0.00758565,0.000888441,0.00432128,0.0106726,0.00721287,0,0,0,0,0,0,0,0,0
956,0.00911049,0.00632496,0,0,0,0,0,0,0.00684303,0.0176502,0.016421,0.0125816,0,0,0.00504571,0,0.0183966,0.00189672,0.0523004,0.0330332,0.00664354,0.0446041,0.00569982,0.00276227,0.0172805,0.0287522,0.0177273,0.00617919,0.0220813,0.0227801,0.01089,0.00580661,0.0137465,0.00411654,0.00775225,0.00156234,0.00660935,0.0180839,0.00750822,0.0149606,0.00519628,0,0,0.00528637,0,0.0165831,0.00234393,0.0416418,0.00711095,0.0212115,0.0181871,0.00614355,0.0103825,0,0.0192673,0.00569999,0.00447599,0.00984777,0.01962,0.00975443,0.0099539,0.00681962,0.00758957,0.0010845,0.00453887,0.0111721,0.00743799,0,0,0,0,0,0,0,0,0
957,0.00944824,0.00622538,0,0,0,0,0,0,0.00646106,0.0174695,0.016483,0.012635,0,0,0.00514093,0,0.0185119,0.0017476,0.0524821,0.033143,0.00672181,0.0449114,0.00618517,0.00259407,0.0173987,0.0287402,0.017931,0.00626281,0.0221543,0.0229788,0.0109035,0.0058701,0.0137508,0.00410023,0.00781775,0.00164004,0.00668313,0.0178649,0.00774195,0.0151288,0.00508457,0,0,0.00568271,0,0.0166523,0.00233395,0.0418297,0.00736874,0.0213624,0.0185475,0.00689839,0.0102061,0,0.0192237,0.0059268,0.00381427,0.0100532,0.0196117,0.010044,0.0102869,0.00688501,0.00770655,0.00140709,0.00472713,0.0114808,0.00781585,0,0,0,0,0,0,0,0,0
