Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74
548,0.00871268,0.00519779,0,0,0,0,0,0,0.0115971,0.0174898,0.0157404,0.00724504,0,0,0.0031426,0,0.0168953,0.00294746,0.0404101,0.0336994,0.0101802,0.0261432,0.00659156,0.00680004,0.0188326,0.029812,0.0199918,0.0193389,0.0230169,0.0239949,0.0113297,0.0285527,0.0182881,0.00433678,0.00617779,0.00294784,0.0117681,0.0194468,0.00797686,0.00641247,0.00580753,0,0,0.0200864,0,0.0144557,0.0073114,0.0419645,0.00639021,0.0140341,0.00926638,0.00810235,0.0130377,0.00617995,0.0299861,0.00951199,0.00601803,0.00737741,0.0340261,0.00780059,0.00700588,0.0120806,0.00212417,0.00300637,0.00325359,0.00886877,0.0081669,0,0,0,0,0,0,0,0
549,0.00870844,0.00526421,0,0,0,0,0,0,0.0114906,0.0174904,0.0158829,0.00695062,0,0,0.00303278,0,0.0169434,0.0027938,0.040385,0.0339265,0.0102449,0.0264146,0.00673449,0.00662465,0.019172,0.0301582,0.0202046,0.0194473,0.0230874,0.023952,0.0113105,0.0285778,0.0179753,0.0042641,0.00621299,0.00289906,0.0122875,0.0193928,0.00829364,0.00593546,0.00571505,0,0,0.0199564,0,0.0144569,0.00725049,0.0420941,0.00655747,0.0141321,0.00957231,0.00818497,0.0130199,0.00621199,0.029991,0.00915182,0.00598426,0.0079045,0.0341837,0.00829659,0.00765361,0.0128164,0.00198928,0.00302459,0.00320657,0.00900926,0.00811787,0,0,0,0,0,0,0,0
550,0.00870664,0.00532686,0,0,0,0,0,0,0.0112234,0.0174556,0.0160419,0.00661105,0,0,0.00289146,0,0.0169384,0.00264343,0.0404257,0.0341064,0.0104184,0.026674,0.0069302,0.00645466,0.0195518,0.0305372,0.0204837,0.019544,0.0230902,0.0239544,0.0112257,0.0286108,0.0175364,0.00424324,0.00623798,0.00292233,0.0127972,0.0193366,0.00849848,0.00545796,0.00559599,0,0,0.0198923,0,0.0144702,0.00719919,0.042187,0.0066609,0.014232,0.00988349,0.00834729,0.0130222,0.00627349,0.0300243,0.009145,0.00597796,0.00837474,0.0344863,0.00873449,0.00823372,0.0135366,0.00198954,0.00305045,0.00316406,0.00911401,0.0081208,0,0,0,0,0,0,0,0
551,0.00866735,0.00538022,0,0,0,0,0,0,0.010945,0.0173555,0.0162266,0.00629391,0,0,0.0028175,0,0.0169823,0.00252972,0.040476,0.034351,0.010623,0.0269517,0.00715699,0.00624239,0.019897,0.0310324,0.0210526,0.0196113,0.0229587,0.0239534,0.0111384,0.0286553,0.0170229,0.00427479,0.00626404,0.00297893,0.0132413,0.0192887,0.00866683,0.00500554,0.00539853,0,0,0.0199382,0,0.0145081,0.0072332,0.0423031,0.00674378,0.0143948,0.010244,0.00852971,0.0130768,0.00636007,0.0300472,0.00938557,0.00597993,0.00881023,0.0349523,0.00915083,0.00872759,0.0141604,0.00227342,0.00309264,0.00315932,0.00919398,0.0080848,0,0,0,0,0,0,0,0
552,0.00866265,0.00546666,0,0,0,0,0,0,0.0106947,0.01719,0.016373,0.00604836,0,0,0.00270837,0,0.0171001,0.00240747,0.040506,0.0345588,0.0108026,0.0272237,0.00738647,0.00601307,0.0202348,0.0315976,0.0213102,0.0197011,0.0227452,0.0239632,0.0110749,0.0286784,0.0165565,0.0042703,0.00631025,0.00297311,0.0135513,0.0192411,0.00884327,0.00460446,0.00523378,0,0,0.019996,0,0.0145715,0.00730994,0.0424107,0.00683237,0.014583,0.0105728,0.00871496,0.0132131,0.00642019,0.0300263,0.00939524,0.00596553,0.00927429,0.035331,0.00954137,0.00924044,0.0146275,0.00233293,0.00317109,0.00317385,0.00926911,0.00807579,0,0,0,0,0,0,0,0
553,0.00864523,0.00559837,0,0,0,0,0,0,0.0104211,0.0170636,0.0165201,0.00589311,0,0,0.00258701,0,0.0171818,0.00227973,0.0405508,0.0347238,0.0109642,0.0274742,0.00762571,0.00576445,0.0205697,0.0320318,0.0212387,0.0198363,0.0227941,0.0239229,0.0110098,0.0286568,0.0161418,0.00416157,0.00632408,0.0029337,0.0138456,0.019227,0.00899928,0.00428843,0.00509295,0,0,0.0200997,0,0.0146763,0.00741268,0.0424664,0.00693836,0.0146949,0.0108354,0.00891482,0.0134451,0.0064909,0.0300064,0.00920652,0.0059831,0.00962124,0.0355799,0.00981539,0.00962011,0.01505,0.00229437,0.0031941,0.00318914,0.0093531,0.00808141,0,0,0,0,0,0,0,0
554,0.00851723,0.00600075,0,0,0,0,0,0,0.00955171,0.0169489,0.0165073,0.00597597,0,0,0.00262574,0,0.017238,0.00204857,0.0406469,0.0347523,0.0109815,0.0272138,0.0073983,0.0053776,0.0205344,0.0319976,0.0210186,0.0199485,0.0229444,0.0238314,0.0109773,0.02856,0.0152841,0.00413856,0.00632379,0.00286643,0.0141567,0.0191644,0.00922905,0.00424781,0.00475399,0,0,0.0193292,0,0.0147279,0.00725836,0.042558,0.00741394,0.0146916,0.0108771,0.0085795,0.0130814,0.00645687,0.0299258,0.00883718,0.00590976,0.00983647,0.0357254,0.0100462,0.0098372,0.0152864,0.00217889,0.00302587,0.00313217,0.00970001,0.00790426,0,0,0,0,0,0,0,0
555,0.00855918,0.00614452,0,0,0,0,0,0,0.00939777,0.0169035,0.0166519,0.00597542,0,0,0.00268177,0,0.0172604,0.00191655,0.0405616,0.0348632,0.0110886,0.0274105,0.00758199,0.00516486,0.0206792,0.0323166,0.0211131,0.019934,0.0230837,0.0238259,0.0109797,0.0285831,0.0149369,0.00415282,0.00633675,0.00280861,0.0140305,0.0191118,0.00928382,0.00410924,0.00471966,0,0,0.0195071,0,0.014767,0.00737338,0.0426005,0.00756371,0.014778,0.0111774,0.00872753,0.0133375,0.00645015,0.0298307,0.00863714,0.00590758,0.0101227,0.0356339,0.0102648,0.0101994,0.0152332,0.00221816,0.00311788,0.00311753,0.00986138,0.0078955,0,0,0,0,0,0,0,0
556,0.00866528,0.00617048,0,0,0,0,0,0,0.00995888,0.0169354,0.0168809,0.00590541,0,0,0.0026079,0,0.0172138,0.00183136,0.0403769,0.0350271,0.0113665,0.02804,0.00806065,0.0050512,0.0208817,0.0328999,0.0214031,0.0198304,0.0232309,0.0238445,0.0110142,0.028691,0.0151213,0.00402701,0.00633658,0.00279931,0.0136732,0.0190482,0.00919994,0.00381388,0.00478822,0,0,0.020431,0,0.0147711,0.00764329,0.0425653,0.00741912,0.015153,0.011748,0.00919074,0.01405,0.0065023,0.0297484,0.00857077,0.0060217,0.0105068,0.0355785,0.0104921,0.0107006,0.0150643,0.00242964,0.00319349,0.00313805,0.00991787,0.00797483,0,0,0,0,0,0,0,0
557,0.00858394,0.00659361,0,0,0,0,0,0,0.00977124,0.0169441,0.0169165,0.00593533,0,0,0.00271817,0,0.0171686,0.00171244,0.0402094,0.0349798,0.0115318,0.0280753,0.00798406,0.00477203,0.0207623,0.0328526,0.0213454,0.0197069,0.023211,0.0237506,0.0110678,0.0287495,0.0148651,0.00400181,0.00634951,0.00281553,0.0136656,0.0189678,0.00926153,0.00355378,0.0045877,0,0,0.0206,0,0.0148588,0.00772672,0.0425647,0.00763447,0.015739,0.0119608,0.0090305,0.0142477,0.00645902,0.0296622,0.00822041,0.00605901,0.0107406,0.0356952,0.0106582,0.0109638,0.0150893,0.00263925,0.00319327,0.00313413,0.0103767,0.0078162,0,0,0,0,0,0,0,0
