Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73
611,0.0122473,0.00505346,0,0,0,0,0,0,0.00793687,0.0225905,0.0156181,0.00667602,0,0,0.0136836,0,0.0186074,0.00632899,0.0409129,0.0291294,0.008454,0.0196543,0.00616232,0.020484,0.0157499,0.0233916,0.0175091,0.0189843,0.0208682,0.0212958,0.011227,0.0282231,0.0152211,0.016452,0.00906029,0.00284251,0.00525559,0.0243413,0.00356787,0.00751328,0.010739,0,0,0.0424982,0,0.0198148,0.0132105,0.0394494,0.00544551,0.0115562,0.00461112,0.00804373,0.0281992,0.00495171,0.0291709,0.00546202,0.00411406,0.00192181,0.0284659,0.00118302,0.00198462,0.00626325,0.00772373,0.00983828,0.0101405,0.00736902,0.0101666,0,0,0,0,0,0,0
612,0.0124846,0.00515359,0,0,0,0,0,0,0.00788989,0.022549,0.0156838,0.00646124,0,0,0.0136619,0,0.0186939,0.00623016,0.040709,0.029323,0.00821606,0.0197239,0.00608707,0.0200707,0.0158395,0.023375,0.0177918,0.019233,0.0210632,0.0214409,0.0111452,0.0280942,0.0154979,0.016121,0.00913782,0.00281497,0.00536326,0.024272,0.00357089,0.00745347,0.0110405,0,0,0.0422062,0,0.0197085,0.0130695,0.0393922,0.00570873,0.0113612,0.00458182,0.00806535,0.0286536,0.00483074,0.0291436,0.00532106,0.00402185,0.00193663,0.0282137,0.000787239,0.00209103,0.00650492,0.00771731,0.00968612,0.00995923,0.00715533,0.0103943,0,0,0,0,0,0,0
613,0.0126032,0.00517801,0,0,0,0,0,0,0.00791469,0.0224675,0.015786,0.00622737,0,0,0.0136002,0,0.0187878,0.00611543,0.0406681,0.0295757,0.00810464,0.0197567,0.0059826,0.0196386,0.0158641,0.0232761,0.0180596,0.0193991,0.0212384,0.0215478,0.0110297,0.0279451,0.0157537,0.0158282,0.00919386,0.00278951,0.0053572,0.0241934,0.00353078,0.00732822,0.011181,0,0,0.0418464,0,0.0195907,0.0127811,0.0394469,0.00584048,0.0113986,0.00454887,0.00800618,0.0290132,0.00461745,0.0290141,0.00508542,0.00381797,0.00205808,0.0279159,0.000476844,0.00231494,0.0064154,0.00775628,0.00972154,0.00977902,0.0069889,0.0105206,0,0,0,0,0,0,0
614,0.0184048,0.00804277,0,0,0,0,0,0,0.0310634,0.0228075,0.0177934,0.011219,0,0,0.013767,0,0.0188229,0.0055002,0.0493952,0.0223193,0.00458023,0.0355199,0.00992937,0.0184116,0.0161734,0.0312658,0.0178279,0.0139796,0.0211455,0.0230961,0.010178,0.0134276,0.0335084,0.0151005,0.00926163,0.00271312,0.00597222,0.0248358,0.00406795,0.0086882,0.0183245,0,0,0.0449156,0,0.0192539,0.014048,0.0379159,0.00596444,0.0120419,0.00489755,0.0100589,0.0359532,0.00282013,0.0271161,0.00478753,0.00300423,0.00287645,0.0286139,0.00090574,0.00239425,0.00695638,0.0116074,0.00921809,0.00976048,0.00717915,0.0159322,0,0,0,0,0,0,0
615,0.01861,0.00835107,0,0,0,0,0,0,0.0304952,0.0227825,0.0176479,0.0109335,0,0,0.0137116,0,0.0188619,0.00532998,0.0492331,0.0225283,0.00486129,0.0354297,0.0102438,0.0177496,0.0162056,0.0311281,0.0175437,0.0137956,0.0210396,0.0228842,0.010368,0.0132996,0.032916,0.0148446,0.00925583,0.00270516,0.00547201,0.0247769,0.00365866,0.00838723,0.018838,0,0,0.0445544,0,0.0190986,0.0138379,0.0378192,0.00567654,0.0119657,0.00485263,0.0102695,0.0365728,0.00253938,0.0269373,0.00408794,0.00271048,0.00289409,0.0282255,0.000663415,0.00250456,0.00635379,0.0117494,0.00917981,0.00959422,0.00693455,0.0160436,0,0,0,0,0,0,0
616,0.0187227,0.00868353,0,0,0,0,0,0,0.0299958,0.0227367,0.0176818,0.0107922,0,0,0.0136855,0,0.0189381,0.00518566,0.0491034,0.0231683,0.00497533,0.0356726,0.0104883,0.0171915,0.0163916,0.0312684,0.0175081,0.0136505,0.0210224,0.022907,0.0105106,0.0132052,0.032395,0.0145597,0.00929894,0.00265981,0.00536447,0.0246946,0.00365204,0.00818428,0.019205,0,0,0.0442498,0,0.0189454,0.0136622,0.0377525,0.00592982,0.0118429,0.00499201,0.0103904,0.0372043,0.00236621,0.0267935,0.00351306,0.0025887,0.00293281,0.027824,0.00036007,0.00271009,0.00604431,0.0118309,0.00906572,0.0094316,0.00664784,0.0159632,0,0,0,0,0,0,0
617,0.0188438,0.00900638,0,0,0,0,0,0,0.0291767,0.02266,0.0174831,0.0106467,0,0,0.0136302,0,0.0190043,0.0050969,0.048947,0.0237992,0.00467031,0.0359972,0.0107764,0.0167372,0.0166423,0.0315132,0.0176306,0.0135121,0.0209913,0.0230642,0.0106339,0.0130345,0.0316655,0.0141838,0.00932219,0.00262237,0.00547424,0.0246474,0.00398967,0.00797211,0.0195205,0,0,0.0440013,0,0.0188201,0.0135539,0.0378988,0.00642323,0.0116598,0.00513948,0.010673,0.0377645,0.00231441,0.0267301,0.00367792,0.00252998,0.00295839,0.0274471,0.000476427,0.00303083,0.00586897,0.0119749,0.00894861,0.00925481,0.00624218,0.0159979,0,0,0,0,0,0,0
618,0.018977,0.00935146,0,0,0,0,0,0,0.0282465,0.0225588,0.0171445,0.0104782,0,0,0.0135801,0,0.0190697,0.00506868,0.048839,0.0241514,0.00459302,0.0362175,0.0110382,0.0162774,0.0167052,0.0315495,0.0177483,0.0134735,0.0209898,0.023399,0.0107153,0.0128074,0.0309877,0.0138056,0.0093174,0.00260058,0.00543707,0.0245765,0.00423305,0.00779645,0.0198209,0,0,0.0437373,0,0.0186476,0.013438,0.0379839,0.00671489,0.011525,0.00528026,0.0109818,0.0383004,0.00228892,0.0266923,0,0.00247066,0.00305598,0.0270011,0.000965737,0.00340343,0.00562012,0.01215,0.00884497,0.00906669,0.0059314,0.0161069,0,0,0,0,0,0,0
619,0.0191222,0.00965434,0,0,0,0,0,0,0.0274056,0.0224599,0.0168701,0.0103311,0,0,0.0135707,0,0.0191573,0.00500339,0.0488424,0.0240445,0.00459831,0.03643,0.0112016,0.015722,0.0166106,0.031506,0.0179635,0.0134188,0.0210612,0.0237429,0.0107944,0.0125748,0.0304043,0.0134849,0.00932101,0.00258724,0.0053186,0.0245168,0.00443948,0.00771927,0.0200547,0,0,0.0434838,0,0.0184864,0.0133031,0.0380561,0.00690475,0.0113809,0.0055856,0.0111761,0.0387887,0.00224635,0.0266718,0,0.00247163,0.00331708,0.0265714,0.00141032,0.00384026,0.00537031,0.0122972,0.00871972,0.00885735,0.00577621,0.0162076,0,0,0,0,0,0,0
620,0.0193235,0.0100029,0,0,0,0,0,0,0.0267375,0.0223838,0.0166276,0.010155,0,0,0.013604,0,0.0192566,0.00494042,0.0489577,0.0240273,0.00457224,0.0366318,0.0112389,0.0151563,0.0165604,0.0314629,0.0181976,0.0132444,0.0210308,0.0236931,0.0108334,0.0123893,0.0299407,0.0131272,0.00937012,0.00258414,0.00510026,0.0244504,0.00452473,0.00769007,0.0203473,0,0,0.0432406,0,0.0182742,0.0131977,0.0382029,0.00695523,0.0111814,0.00602242,0.0112552,0.0393397,0.00218457,0.0265943,0.00357279,0.00251714,0.00360362,0.0261741,0.00175856,0.00423638,0.00505252,0.0125275,0.00857958,0.008639,0.00581466,0.016385,0,0,0,0,0,0,0
621,0.0194765,0.0103004,0,0,0,0,0,0,0.0261909,0.0223111,0.0163936,0.00987204,0,0,0.0135948,0,0.0193293,0.00486494,0.0490839,0.0242228,0.00449652,0.0367646,0.0111999,0.0146182,0.0165733,0.0313699,0.0183309,0.0130355,0.0209221,0.0230145,0.0108937,0.0122352,0.0295589,0.012703,0.00941895,0.00259411,0.00500453,0.0243661,0.00465611,0.00755932,0.0205991,0,0,0.0429907,0,0.0180585,0.0131347,0.0383434,0.00708378,0.0111001,0.00643575,0.0111492,0.039919,0.00225367,0.0265359,0.00359556,0.00261459,0.00383547,0.0258645,0.0020797,0.00457001,0.00490738,0.0128093,0.00844427,0.00842794,0.00593618,0.0165833,0,0,0,0,0,0,0
622,0.0169915,0.00858701,0,0,0,0,0,0,0.0246502,0.0225209,0.0159339,0.0106579,0,0,0.0110488,0,0.0175051,0.00246498,0.0487106,0.0244106,0.0048338,0.0373525,0.00983908,0.0122212,0.0166308,0.0313766,0.0188375,0.0129591,0.0213952,0.0229198,0.0113852,0.0125405,0.0284213,0.00966237,0.011433,0.00432385,0.00638608,0.0257696,0.00570877,0.00826018,0.0185684,0,0,0.032844,0,0.0174452,0.0140144,0.0390359,0.00794752,0.0109973,0.00618122,0.00970781,0.0288872,0.00189338,0.0268223,0.00343772,0.00197322,0.0036266,0.024671,0.00297707,0.00468352,0.00595792,0.0122748,0.00797868,0.00794603,0.00617292,0.0148404,0,0,0,0,0,0,0
623,0.0170363,0.00899447,0,0,0,0,0,0,0.0249272,0.022968,0.0164505,0.00986662,0,0,0.0101748,0,0.019062,0.00260533,0.0497601,0.0252402,0.00417329,0.0371795,0.00949082,0.0118465,0.0175659,0.031696,0.0183593,0.0123939,0.0209733,0.0228418,0.0112913,0.0118059,0.0286834,0.00916761,0.00950815,0.00253888,0.00561873,0.0251909,0.00553595,0.00772675,0.0185828,0,0,0.0330215,0,0.0175406,0.0137696,0.0389628,0.00769738,0.0108765,0.00736791,0.00943501,0.0299162,0.0022947,0.0264631,0.00375008,0.00275698,0.00441453,0.0253479,0.00286605,0.00536132,0.005466,0.0120043,0.0083246,0.0080472,0.00619117,0.0148523,0,0,0,0,0,0,0
624,0.0171627,0.00934391,0,0,0,0,0,0,0.0244184,0.0228507,0.0164043,0.00957615,0,0,0.0100478,0,0.0191455,0.00266576,0.0499484,0.0255179,0.00418882,0.0372921,0.00954511,0.0111476,0.0177417,0.0317125,0.0180864,0.0121962,0.0209566,0.0229954,0.0114276,0.011571,0.0280601,0.00911365,0.00952026,0.00244639,0.00548223,0.0250697,0.00562551,0.00735006,0.0188075,0,0,0.0333783,0,0.0174276,0.0136239,0.0390737,0.00772862,0.0109747,0.00759907,0.00946139,0.0309254,0.00221525,0.0263393,0.00352543,0.00267662,0.00448069,0.0251373,0.00305831,0.00545123,0.00531199,0.0120212,0.008227,0.00788531,0.00607912,0.0149095,0,0,0,0,0,0,0
625,0.0171742,0.00964808,0,0,0,0,0,0,0.0240524,0.0227467,0.0163796,0.00924797,0,0,0.0099488,0,0.0192257,0.00271943,0.0498469,0.0256523,0.00428211,0.03733,0.00974782,0.0105838,0.0174861,0.031515,0.0177755,0.0121774,0.0208985,0.0229334,0.0115588,0.0114159,0.0275503,0.00897545,0.00951991,0.00242576,0.00520387,0.024925,0.00554827,0.00703336,0.0188616,0,0,0.0335989,0,0.0173613,0.0134767,0.0389059,0.00761729,0.0111284,0.00781976,0.00954489,0.0317356,0.00204845,0.0261634,0.00334847,0.00256272,0.00453655,0.0248626,0.00319252,0.00546671,0.00508646,0.01205,0.00814199,0.00773692,0.00596791,0.0149124,0,0,0,0,0,0,0
626,0.0172055,0.00998077,0,0,0,0,0,0,0.0235247,0.0225652,0.0162342,0.00936413,0,0,0.00989558,0,0.019266,0.00281122,0.0495065,0.0255061,0.0043981,0.0371485,0.0101298,0.010218,0.0170011,0.0310539,0.0173981,0.0123024,0.0205749,0.0225955,0.0115974,0.0113105,0.0271099,0.00879796,0.00948291,0.00252962,0.00488631,0.0247532,0.00532553,0.00651908,0.0189073,0,0,0.0336959,0,0.0172716,0.0133897,0.0386418,0.00740743,0.0113407,0.0079143,0.00975894,0.0324147,0.00183388,0.0258887,0.00312469,0.00242006,0.00455051,0.0246583,0.00328338,0.00537905,0.00495236,0.0120311,0.00804732,0.00756451,0.0058011,0.0149233,0,0,0,0,0,0,0
627,0.0171174,0.0101793,0,0,0,0,0,0,0.0231029,0.0223291,0.0160756,0.00945805,0,0,0.00984872,0,0.0193302,0.002869,0.0493976,0.025495,0.00452825,0.0371751,0.0103413,0.00983756,0.0168366,0.0308991,0.017293,0.0123041,0.0201944,0.0223658,0.0116997,0.0111106,0.0267832,0.00864215,0.00949934,0.00256793,0.0049272,0.0245549,0.00536655,0.00600128,0.018889,0,0,0.0337465,0,0.0171347,0.0132959,0.0385587,0.00755751,0.011566,0.00818245,0.00992261,0.0329301,0.00181931,0.025506,0.00274925,0.00246081,0.00481669,0.0244894,0.00358753,0.00559672,0.00513558,0.012041,0.00789928,0.00735784,0.00558761,0.0148146,0,0,0,0,0,0,0
628,0.0169834,0.0102675,0,0,0,0,0,0,0.0226862,0.0221552,0.0158642,0.00921216,0,0,0.00972506,0,0.0194272,0.00293129,0.0494927,0.0255683,0.00463396,0.037381,0.010344,0.00939674,0.0169101,0.0309745,0.0173488,0.0121766,0.0201246,0.0223818,0.0118244,0.0108239,0.0265083,0.00841903,0.0095564,0.00216255,0.00505201,0.0243745,0.00561365,0.00574756,0.0188184,0,0,0.0337616,0,0.0170234,0.0131859,0.0386626,0.00791407,0.0117175,0.00850158,0.00999181,0.0333957,0.00181008,0.0252871,0.0023212,0.00248825,0.00513443,0.0243171,0.00395216,0.00592491,0.00536811,0.0121462,0.00773447,0.00712235,0.00541412,0.014688,0,0,0,0,0,0,0
629,0.0168515,0.0103144,0,0,0,0,0,0,0.0221256,0.0219615,0.0157951,0.00913081,0,0,0.00958637,0,0.0193762,0.00289176,0.0496064,0.0257462,0.00473887,0.0375642,0.0102549,0.00891744,0.0169699,0.0309819,0.0173782,0.0120217,0.0202899,0.0224541,0.0118806,0.0105862,0.0262191,0.00815232,0.00951326,0.00199389,0.00492318,0.024213,0.00570853,0.00597114,0.0186725,0,0,0.0337266,0,0.0169477,0.0130453,0.0387878,0.00805111,0.0118036,0.00883017,0.00998668,0.033784,0.00177615,0.025144,0.0023187,0.00243284,0.00540825,0.0240855,0.00424348,0.0061646,0.00539965,0.0122724,0.00758839,0.00688749,0.00531483,0.0145448,0,0,0,0,0,0,0
630,0.0166164,0.0102935,0,0,0,0,0,0,0.0217007,0.0217971,0.0157795,0.00910286,0,0,0.00946549,0,0.0192718,0.00290501,0.0496913,0.0259855,0.00492131,0.0377134,0.0100651,0.00848235,0.0169629,0.0309126,0.0172497,0.0118826,0.0205103,0.0227377,0.0119237,0.0103981,0.0259565,0.00787279,0.00943906,0.00201174,0.00469397,0.0240192,0.00564879,0.00608074,0.0184211,0,0,0.0335962,0,0.0168729,0.0128369,0.0388034,0.00790648,0.0119099,0.00920832,0.00984801,0.0340398,0.0017541,0.0249516,0.00223908,0.00232058,0.00568893,0.0238301,0.00450592,0.00638626,0.00527344,0.0122918,0.00745662,0.00667116,0.00529019,0.0143086,0,0,0,0,0,0,0
631,0.0163021,0.0103131,0,0,0,0,0,0,0.0212186,0.0215869,0.0157229,0.00889454,0,0,0.00935448,0,0.0192991,0.00285307,0.0496413,0.0262448,0.00495422,0.0378126,0.00986373,0.00792317,0.0169879,0.0308697,0.0170521,0.0116599,0.0205748,0.0229437,0.0119699,0.0102041,0.0255311,0.00768883,0.00938933,0.00199439,0.00456086,0.0238669,0.00562831,0.00591332,0.0181674,0,0,0.0333383,0,0.0167618,0.0126368,0.038824,0.00773258,0.0121143,0.00957204,0.00965163,0.0343249,0.00176652,0.024671,0.00199879,0.00216023,0.00597203,0.0236237,0.00480649,0.00665478,0.00516854,0.0123406,0.00728902,0.00643918,0.00522794,0.0140726,0,0,0,0,0,0,0
632,0.0158957,0.0103435,0,0,0,0,0,0,0.0206235,0.0213824,0.0156939,0.00861669,0,0,0.00920534,0,0.0193661,0.00273626,0.049545,0.0265292,0.00487358,0.0379462,0.00967638,0.00735548,0.0169861,0.0307718,0.0170199,0.0113186,0.0205688,0.022908,0.0120069,0.0100298,0.0248804,0.00748367,0.00938751,0.00183784,0.0044736,0.023729,0.00570335,0.00570921,0.0178468,0,0,0.0329696,0,0.0166523,0.0123927,0.0388747,0.00786873,0.012405,0.00995648,0.00941588,0.034619,0.00171458,0.0242694,0.00177539,0.00209544,0.00630739,0.0234704,0.00515442,0.00699668,0.00512088,0.0123696,0.00707051,0.00621363,0.00515095,0.0137791,0,0,0,0,0,0,0
633,0.0155178,0.0104693,0,0,0,0,0,0,0.0197527,0.0212408,0.0156741,0.00833965,0,0,0.00907594,0,0.0193889,0.00271543,0.0493814,0.0267916,0.00476645,0.0380937,0.00957333,0.00690022,0.0169409,0.030531,0.0173226,0.0110026,0.0204932,0.0227275,0.0120137,0.00985627,0.0241258,0.00726932,0.0093766,0.00158192,0.00430204,0.0235997,0.00572736,0.00556224,0.0175768,0,0,0.0325508,0,0.0165513,0.0121525,0.0388974,0.00789994,0.012733,0.0102927,0.00923281,0.0348781,0.00107422,0.0239589,0.0015882,0.0021425,0.00651103,0.0233655,0.00536333,0.00720352,0.00505296,0.012329,0.00685155,0.00600359,0.00507569,0.0135369,0,0,0,0,0,0,0
634,0.015193,0.0106305,0,0,0,0,0,0,0.0189955,0.021109,0.0156649,0.00816306,0,0,0.00892672,0,0.0194837,0.00281003,0.0492248,0.0270628,0.00469738,0.0382403,0.00949098,0.00646413,0.0169434,0.0302095,0.0175208,0.0108523,0.0204379,0.0226201,0.0120567,0.00968971,0.0234468,0.00704641,0.00938492,0.00139734,0.00424346,0.0234528,0.00575795,0.00558735,0.0173013,0,0,0.0321032,0,0.0164436,0.0118453,0.0389171,0.00790643,0.0130753,0.0106627,0.00906503,0.0349467,0.000636938,0.02374,0.00167255,0.00225044,0.00665365,0.0233156,0.00549801,0.00731903,0.00501755,0.0122792,0.00660121,0.00579217,0.00497851,0.0133208,0,0,0,0,0,0,0
635,0.0149059,0.0107473,0,0,0,0,0,0,0.0184181,0.0209287,0.0156875,0.00809247,0,0,0.00879485,0,0.0195578,0.00281126,0.0491936,0.0273715,0.00469645,0.0384039,0.00946904,0.00609653,0.0170676,0.0302094,0.0175273,0.0107433,0.020476,0.0226448,0.012073,0.00950636,0.0228106,0.00684289,0.00934503,0.00145185,0.00425226,0.023295,0.00591574,0.00579141,0.0170068,0,0,0.0316518,0,0.0163338,0.0115357,0.0389725,0.00803465,0.0134329,0.0111139,0.00894302,0.0348055,0.000346213,0.0236043,0.0020195,0.00243063,0.00680289,0.0233,0.00563301,0.00746584,0.00505283,0.0121761,0.00634185,0.00557775,0.00489045,0.0130563,0,0,0,0,0,0,0
636,0.0144466,0.0107524,0,0,0,0,0,0,0.0179937,0.0207647,0.0157596,0.00812351,0,0,0.00861258,0,0.0196512,0.00273604,0.0493699,0.0276761,0.0047606,0.0385294,0.0093342,0.00583405,0.0172101,0.0304152,0.0175351,0.0106149,0.0205026,0.022569,0.0120274,0.00933064,0.0221048,0.0066995,0.00936376,0.00156728,0.0042299,0.0231444,0.00597778,0.00608832,0.0165772,0,0,0.0311461,0,0.0162524,0.0112696,0.0390586,0.00805808,0.0139628,0.0114459,0.00864164,0.0344622,0.000285989,0.0235264,0,0.00255914,0.00691449,0.0232206,0.0057398,0.00756951,0.00507844,0.0120808,0.00604444,0.00534537,0.00486874,0.0126168,0,0,0,0,0,0,0
637,0.014004,0.0107454,0,0,0,0,0,0,0.0177003,0.0206598,0.0158056,0.00823486,0,0,0.0083756,0,0.0197298,0.00264017,0.0494968,0.0279523,0.00481016,0.0386456,0.00921786,0.0056071,0.0172452,0.0306171,0.0176545,0.0104357,0.0205145,0.0224224,0.01193,0.00919735,0.0213912,0.00653806,0.00941257,0.00158067,0.00414785,0.0229913,0.00607394,0.00640889,0.0161332,0,0,0.0305738,0,0.0161926,0.0110011,0.0391754,0.00806065,0.0143603,0.0118385,0.00843612,0.0340012,0.000528623,0.0232646,0,0.00280895,0.00708736,0.0230518,0.00593127,0.00773319,0.00503274,0.0120123,0.00579367,0.00510944,0.00498612,0.0122568,0,0,0,0,0,0,0
638,0.0133741,0.0105263,0,0,0,0,0,0,0.0172352,0.0206087,0.0158249,0.00830725,0,0,0.00804866,0,0.0197613,0.00248261,0.0496007,0.0282038,0.00484192,0.0388935,0.00893777,0.00538945,0.0172987,0.0306778,0.0178487,0.0102714,0.020629,0.0223067,0.0118631,0.00907437,0.0209735,0.006287,0.0094534,0.00152331,0.00431654,0.0228164,0.00627899,0.00669201,0.01548,0,0,0.0298641,0,0.0161514,0.0107207,0.0393802,0.0082276,0.0146958,0.0121374,0.0081516,0.0333317,0.000940378,0.0229541,0,0.00308744,0.00722122,0.0228537,0.00620017,0.00791975,0.0051706,0.0118604,0.00551449,0.00487972,0.00511173,0.0117285,0,0,0,0,0,0,0
639,0.00922203,0.00741617,0,0,0,0,0,0,0.0166985,0.0216112,0.0159454,0.00877918,0,0,0.00323207,0,0.0188321,0.0020232,0.0499599,0.0284571,0.00529442,0.0392729,0.00732071,0.00250652,0.0174555,0.0306447,0.0180636,0.0101808,0.0209647,0.0222987,0.0119668,0.00891063,0.0207178,0.00225826,0.00923413,0.00131456,0.00477887,0.0231026,0.00663513,0.00689293,0.0113059,0,0,0.00501614,0,0.0160747,0.00721398,0.0396761,0.00829616,0.014822,0.012285,0.00654767,0.0122378,0.00115008,0.0228068,0,0.0032027,0.00739286,0.0225076,0.00664204,0.00820917,0.00572501,0.00787656,0.00392876,0.00374096,0.00331696,0.00812707,0,0,0,0,0,0,0
640,0.00875978,0.00740994,0,0,0,0,0,0,0.0164366,0.0213702,0.0159367,0.00886263,0,0,0.00294574,0,0.0187834,0.00208282,0.0500676,0.0286568,0.00527296,0.0396676,0.00711709,0.0022069,0.0174874,0.0305904,0.0181866,0.0100143,0.0213146,0.0223632,0.011991,0.00870516,0.0205843,0.00211366,0.00916558,0.00129752,0.00479946,0.0228714,0.00666958,0.00711448,0.010874,0,0,0.00490036,0,0.0160299,0.00699657,0.0398782,0.00823741,0.0151067,0.0123888,0.00628453,0.0122241,0.00135197,0.0224814,0,0.00326601,0.00746227,0.022257,0.00682554,0.00828195,0.00586013,0.00753731,0.00388297,0.0035413,0.00364414,0.00773604,0,0,0,0,0,0,0
641,0.00835802,0.00751522,0,0,0,0,0,0,0.0162242,0.0211653,0.0159516,0.00896192,0,0,0.0027012,0,0.0187011,0.00223025,0.050243,0.0288765,0.00517716,0.0399534,0.00697654,0.00207589,0.0174078,0.0304525,0.018185,0.00988104,0.0211184,0.0224638,0.0120839,0.00847258,0.0205931,0.00201179,0.00905736,0.00132292,0.00487919,0.0226029,0.00680062,0.00739192,0.0105089,0,0,0.00487189,0,0.0159454,0.00684132,0.039955,0.00833421,0.014969,0.0126769,0.0060445,0.0124294,0.00159375,0.0220985,0.00212302,0.00342735,0.00773667,0.0220646,0.00706334,0.00848429,0.00610141,0.0073401,0.00384234,0.00334568,0.0040259,0.00734862,0,0,0,0,0,0,0
642,0.00792367,0.00762749,0,0,0,0,0,0,0.0160737,0.020984,0.0159574,0.00896952,0,0,0.00241701,0,0.0186289,0.00235775,0.0503844,0.0290854,0.00515777,0.0401981,0.00679299,0.00198891,0.0173659,0.0303754,0.0179657,0.00971193,0.020775,0.0225916,0.0121503,0.0082591,0.0204706,0.00198923,0.00895177,0.00130984,0.00496447,0.0223162,0.00686725,0.00762336,0.0101406,0,0,0.00488914,0,0.0158585,0.00673964,0.0401023,0.00835635,0.0151733,0.0129764,0.00579258,0.0126926,0.00167181,0.0218428,0.00201408,0.0034609,0.00798842,0.0219354,0.0072482,0.00864848,0.0062895,0.00722438,0.0037928,0.00314149,0.00433718,0.0068831,0,0,0,0,0,0,0
643,0.00759211,0.00773796,0,0,0,0,0,0,0.0159278,0.0208376,0.0160322,0.00903328,0,0,0.00215812,0,0.0185382,0.00247808,0.0504748,0.0294039,0.00526361,0.0405373,0.00667629,0.00206885,0.0174742,0.0305894,0.0176079,0.00955984,0.0206832,0.0228002,0.0121953,0.00803244,0.0202318,0.00187097,0.00883928,0.00119281,0.00484402,0.0220616,0.00680867,0.00789735,0.0098767,0,0,0.00495447,0,0.0158219,0.00658728,0.0402508,0.00824197,0.0154551,0.0134201,0.00564455,0.0129439,0.00177713,0.0217307,0.00203564,0.00348829,0.00818778,0.0218343,0.00739188,0.0087691,0.00616625,0.00710923,0.00367188,0.00292952,0.00457192,0.00655774,0,0,0,0,0,0,0
644,0.00722738,0.00786121,0,0,0,0,0,0,0.0155403,0.020665,0.0161532,0.00921291,0,0,0.001946,0,0.0184587,0.00261118,0.0505087,0.0297523,0.00539228,0.040918,0.0066044,0.0022622,0.0176692,0.0310369,0.0176636,0.00952719,0.0209779,0.0229023,0.0122269,0.00780782,0.0198776,0.00182922,0.00874528,0.00104489,0.00475463,0.0218236,0.00679555,0.00828117,0.00958962,0,0,0.00503948,0,0.0157973,0.00641844,0.0403414,0.00817567,0.0157653,0.0139062,0.00554458,0.0131649,0.00188563,0.0216716,0.002275,0.00348892,0.00834818,0.021782,0.00749385,0.00887938,0.00607591,0.00698417,0.00358197,0.00268014,0.00476948,0.00629142,0,0,0,0,0,0,0
645,0.00688113,0.00799343,0,0,0,0,0,0,0.0150938,0.0205113,0.0162296,0.00947753,0,0,0.00180701,0,0.0184412,0.00278247,0.0505562,0.0300713,0.0054875,0.0411831,0.00652398,0.00248651,0.0178771,0.0313884,0.0178709,0.00932427,0.0212119,0.0227924,0.0121909,0.00764174,0.01939,0.00194009,0.00867675,0.000940561,0.00467344,0.0215585,0.006823,0.00868932,0.00921872,0,0,0.0050681,0,0.0157472,0.0062103,0.0404007,0.00816358,0.0161127,0.0143631,0.00543754,0.0132522,0.00195487,0.0215663,0.00252461,0.00349074,0.00847492,0.021769,0.00753492,0.00895971,0.00603352,0.00678239,0.00357956,0.00244433,0.00497562,0.00594641,0,0,0,0,0,0,0
646,0.00654596,0.00804842,0,0,0,0,0,0,0.0146819,0.0204132,0.0162367,0.00971876,0,0,0.00164357,0,0.0184057,0.0028884,0.0506658,0.0302889,0.00560075,0.0412708,0.00641094,0.00276522,0.0179362,0.03152,0.0179201,0.00905694,0.0211358,0.0226108,0.0120457,0.00752646,0.0188107,0.00213791,0.00862444,0.000819076,0.00456373,0.0212715,0.0068841,0.00922446,0.00879494,0,0,0.0050359,0,0.0156948,0.00596179,0.040452,0.00824822,0.016454,0.0147571,0.00528922,0.0131641,0.00205265,0.0214208,0.00274461,0.00354728,0.00860708,0.0217365,0.00758168,0.0090059,0.00592794,0.00654402,0.00362311,0.00224669,0.00523373,0.00558657,0,0,0,0,0,0,0
647,0.00615105,0.00800971,0,0,0,0,0,0,0.0142433,0.020257,0.0162285,0.0100404,0,0,0.00152173,0,0.0184298,0.00297333,0.0508237,0.0304472,0.00572905,0.0413565,0.00630423,0.00301961,0.0179349,0.0315307,0.0178968,0.00884621,0.0209816,0.0226288,0.0119168,0.00738341,0.01839,0.00231359,0.00862094,0.000785782,0.00446715,0.0209822,0.00700866,0.00994454,0.00826921,0,0,0.00492597,0,0.0156415,0.00567995,0.0405805,0.00842314,0.0167349,0.0150777,0.00517126,0.0130235,0.00222948,0.0212658,0.00322585,0.00369237,0.00881163,0.0216414,0.00770465,0.00906469,0.00573835,0.00635278,0.00362394,0.00210108,0.00552111,0.00524506,0,0,0,0,0,0,0
