Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73
9,0.00274579,0.00830057,0,0,0,0,0,0,0.00938303,0.0191727,0.0183383,0.00791571,0,0,0.0111209,0,0.0168332,0.00826427,0.0413604,0.0345705,0.0134849,0.0265821,0.0128371,0.0262105,0.021791,0.0336336,0.0209867,0.0181771,0.0228121,0.0232425,0.0109147,0.0287819,0.0140574,0.0183144,0.0076724,0.0066871,0.00968665,0.0229677,0.00869521,0.00528134,0.00756487,0,0,0.0367143,0,0.022095,0.0108451,0.0420205,0.00735878,0.0172318,0.0112643,0.015085,0.0154101,0.00518815,0.0277361,0.00309738,0.00538992,0.0104651,0.0327144,0.00964617,0.0114122,0.0108528,0.00307395,0.012716,0.0115009,0.0109376,0.00367451,0,0,0,0,0,0,0
10,0.00273801,0.00832147,0,0,0,0,0,0,0.00942214,0.0191604,0.018354,0.00789529,0,0,0.0111226,0,0.0168026,0.00829508,0.0413864,0.0346168,0.0134493,0.0265006,0.0128235,0.0262001,0.0218264,0.0336618,0.0211864,0.0181785,0.0227728,0.0232138,0.0109191,0.0287701,0.0141012,0.0183558,0.00765515,0.00668928,0.00975948,0.022951,0.00857758,0.00529338,0.00764306,0,0,0.0366419,0,0.022108,0.0108373,0.0420471,0.00726028,0.0172115,0.0110604,0.0150837,0.0153468,0.00520043,0.0277653,0.00314453,0.00539997,0.0103329,0.0326799,0.00955082,0.0112424,0.0109652,0.00318415,0.0126805,0.0114655,0.0109627,0.00363866,0,0,0,0,0,0,0
11,0.00273106,0.00830601,0,0,0,0,0,0,0.009513,0.0191484,0.0183366,0.00788303,0,0,0.0111337,0,0.0167698,0.00832659,0.0413747,0.0346209,0.0134139,0.0264434,0.0128378,0.026137,0.0219206,0.0336744,0.0212175,0.0181439,0.0227527,0.0231775,0.0109571,0.0287558,0.0142119,0.018413,0.007631,0.00669512,0.00981633,0.0229349,0.00846989,0.00531366,0.00766251,0,0,0.0365729,0,0.0221044,0.0108275,0.0420726,0.00719017,0.0171535,0.0108644,0.0150992,0.0152598,0.0051795,0.0277584,0.00323332,0.00540544,0.010187,0.0326167,0.0094793,0.0110999,0.0110427,0.00327744,0.0126955,0.0114398,0.0109317,0.00362433,0,0,0,0,0,0,0
12,0.00271098,0.00825861,0,0,0,0,0,0,0.00957293,0.0191528,0.0183082,0.00789964,0,0,0.0111042,0,0.0167608,0.00836727,0.0413355,0.0345373,0.0133996,0.0263705,0.0128735,0.0260447,0.0218809,0.0336184,0.0211368,0.0180633,0.0227069,0.0231163,0.0109903,0.0287667,0.0143288,0.0184085,0.0076099,0.00670631,0.00996511,0.0229199,0.00843936,0.00531729,0.00761526,0,0,0.0365201,0,0.0220913,0.0108637,0.0421033,0.00719129,0.0169793,0.0106418,0.0151799,0.0152233,0.00509597,0.0276408,0,0.0053739,0.0100996,0.0326123,0.00947019,0.0110109,0.0112006,0.00335384,0.0127553,0.0114317,0.0108506,0.00365873,0,0,0,0,0,0,0
13,0.00264746,0.00824237,0,0,0,0,0,0,0.00958478,0.0191594,0.01831,0.00792618,0,0,0.0110611,0,0.0168079,0.00840766,0.0413597,0.0344415,0.0134014,0.0263176,0.0128732,0.025969,0.0217933,0.0335275,0.0210581,0.0180006,0.0226726,0.0230874,0.0109856,0.0287722,0.0144299,0.0183962,0.00762607,0.00673718,0.00993846,0.0228754,0.00837904,0.0053438,0.00761416,0,0,0.0364827,0,0.022075,0.010918,0.0420721,0.00719215,0.0169426,0.0106015,0.0152031,0.0151904,0.00507091,0.0276284,0,0.00538081,0.00999218,0.0326121,0.0094169,0.0108965,0.0111292,0.00342792,0.0128,0.0114093,0.0107735,0.00369349,0,0,0,0,0,0,0
14,0.00257395,0.00823108,0,0,0,0,0,0,0.00955586,0.0191775,0.0183112,0.00792193,0,0,0.0110153,0,0.0168253,0.00843815,0.0413708,0.0344175,0.0133869,0.0262915,0.0128411,0.0259298,0.0217107,0.0334552,0.0210055,0.0179519,0.0226952,0.0231097,0.011009,0.0287987,0.0144863,0.0183634,0.00765517,0.00677163,0.00983819,0.0228241,0.00842391,0.00535736,0.00762286,0,0,0.036461,0,0.0220298,0.0109544,0.0420121,0.00731151,0.016928,0.010637,0.015202,0.0151824,0.0050507,0.0276618,0,0.00536056,0.0099544,0.0325984,0.00937939,0.0108594,0.0108811,0.00346936,0.0128032,0.0113821,0.0107316,0.00372364,0,0,0,0,0,0,0
15,0.0025914,0.00832982,0,0,0,0,0,0,0.00954729,0.019172,0.0183183,0.00794851,0,0,0.010995,0,0.0168075,0.00840252,0.0413832,0.03445,0.0133663,0.0263272,0.0127537,0.0259771,0.0217229,0.0333928,0.0209481,0.0179463,0.0227299,0.023138,0.0110444,0.0288175,0.0144738,0.0183398,0.0076634,0.00675876,0.00961166,0.0227739,0.00859627,0.00538381,0.00774731,0,0,0.0364495,0,0.0220107,0.0109296,0.0419422,0.00763507,0.0170521,0.010786,0.0150861,0.0151638,0.00509522,0.0277675,0.00315682,0.00536776,0.00998323,0.0325538,0.00935802,0.0108926,0.0103865,0.00349768,0.0127703,0.011341,0.0107764,0.00379761,0,0,0,0,0,0,0
16,0.00264549,0.00833839,0,0,0,0,0,0,0.00967421,0.0192115,0.0183257,0.00796188,0,0,0.0109001,0,0.0167833,0.00835542,0.0413108,0.034488,0.0133444,0.0263411,0.0126976,0.0259072,0.0216046,0.0332352,0.0207159,0.0179221,0.0227191,0.0231699,0.011108,0.0288606,0.01431,0.0182164,0.00766486,0.0067267,0.00971996,0.0227763,0.00873505,0.0053768,0.00774598,0,0,0.0364684,0,0.0220039,0.0109137,0.0419408,0.0078278,0.0169101,0.0106803,0.0150943,0.0152115,0.00505459,0.0277212,0,0.00530946,0.0100458,0.0325782,0.0094272,0.0109492,0.0104343,0.00349638,0.0127091,0.0113048,0.0108004,0.00387971,0,0,0,0,0,0,0
17,0.00272885,0.00838159,0,0,0,0,0,0,0.00979913,0.0192257,0.0183252,0.00800017,0,0,0.0108353,0,0.0167851,0.00833498,0.0413225,0.0344675,0.0133122,0.0263741,0.0126642,0.0258901,0.0215567,0.0331901,0.0206526,0.0179329,0.0227321,0.0232159,0.0111372,0.0288724,0.0142716,0.0181115,0.00768127,0.00672293,0.00965763,0.0227459,0.00864538,0.00539506,0.00779682,0,0,0.03649,0,0.022007,0.010914,0.0418843,0.00776452,0.0170044,0.0106743,0.0149419,0.015227,0.00515278,0.0278047,0.00345524,0.00540035,0.00994395,0.0325586,0.00930769,0.0108367,0.0103907,0.00357843,0.012646,0.011286,0.0108512,0.00390384,0,0,0,0,0,0,0
18,0.00281829,0.00829108,0,0,0,0,0,0,0.0097953,0.019242,0.0183156,0.00797735,0,0,0.0107276,0,0.0167821,0.00829438,0.0412305,0.0344825,0.0132596,0.0263688,0.0126473,0.025769,0.0215382,0.0331278,0.0206796,0.0179028,0.022786,0.0232472,0.0111907,0.0289064,0.014327,0.0179037,0.00768431,0.00672467,0.0100382,0.0227108,0.00848865,0.00538319,0.00774501,0,0,0.0365357,0,0.0219678,0.0109479,0.0418911,0.00763166,0.0167954,0.0103156,0.0148187,0.0153511,0.00518521,0.0277824,0,0.00548632,0.00967261,0.0326265,0.00914967,0.0105644,0.0108738,0.00359959,0.0125805,0.0112906,0.0108466,0.00406095,0,0,0,0,0,0,0
