Timestep,,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B
9,0,0.00576315,0.00489628,0,0,0,0,0,0.00615871,0.0184287,0.0178111,0.00701199,0,0,0.00322616,0,0.0158884,0.0015489,0.0393731,0.0334077,0.0117261,0.0259192,0.0101775,0.00351714,0.0208509,0.0322041,0.0204223,0.0203608,0.0234737,0.0234654,0.0128297,0.0304743,0.0115318,0.0040534,0.00549815,0.002509,0.0100559,0.0170438,0.00877345,0.00465059,0.00338306,0,0,0.0251751,0,0.0153551,0.00773126,0.0417426,0.00771831,0.0152034,0.00975081,0.011469,0.0226509,0.00628152,0.0304699,0.00835922,0.00518063,0.010186,0.0350281,0.0104399,0.0101189,0.0104956,0.00881097,0.00360886,0.00372471,0.0089439,0.00551708,0,0,0,0,0,0,0,0,0
10,0,0.00594191,0.00485917,0,0,0,0,0,0.00605633,0.0184817,0.0177169,0.00699339,0,0,0.00309688,0,0.015951,0.00159663,0.0395811,0.0331592,0.0116535,0.0255681,0.0100388,0.00348066,0.0206765,0.0319134,0.0202581,0.0203312,0.0233918,0.0234689,0.012836,0.0304455,0.0115027,0.00397333,0.00552284,0.0025345,0.0093994,0.0170668,0.00846697,0.00470917,0.00359564,0,0,0.0254929,0,0.0153222,0.00779679,0.0417214,0.00741551,0.0151337,0.00946609,0.0113554,0.0227594,0.00618362,0.0303379,0.00830994,0.0051419,0.00995167,0.0346288,0.0102563,0.00988752,0.00978772,0.0087852,0.0035817,0.00371493,0.00893663,0.00570949,0,0,0,0,0,0,0,0,0
11,0,0.00614702,0.00482227,0,0,0,0,0,0.00590542,0.0185001,0.0176039,0.00699033,0,0,0.00294933,0,0.0159874,0.00169044,0.0398136,0.0328811,0.0116052,0.0252216,0.00990311,0.00343819,0.0204911,0.0315721,0.0200356,0.0203318,0.0232015,0.0234371,0.0128419,0.030418,0.0114614,0.00403692,0.00553654,0.00249883,0.00873596,0.0171123,0.00819344,0.00475665,0.00384565,0,0,0.0257951,0,0.0152986,0.00793747,0.0417133,0.00715571,0.0150901,0.00925386,0.0112438,0.0228861,0.00610811,0.0302132,0.00845197,0.00515414,0.0097291,0.0343965,0.0100419,0.00963692,0.00902859,0.00880124,0.00352341,0.00370969,0.00895008,0.00593565,0,0,0,0,0,0,0,0,0
12,0,0.00637906,0.00474441,0,0,0,0,0,0.00577592,0.0184754,0.0174393,0.00697199,0,0,0.00279758,0,0.0159985,0.00179767,0.0400099,0.0325096,0.0115348,0.0248421,0.00980634,0.00339483,0.0202573,0.0311703,0.0197603,0.0203287,0.0229471,0.0233229,0.0128773,0.030403,0.0114276,0.00391933,0.00554533,0.0024754,0.00827503,0.0172202,0.00792657,0.0047669,0.00416699,0,0,0.0260837,0,0.0153318,0.00805241,0.0416905,0.00690396,0.0150154,0.0090768,0.0111301,0.0230424,0.00608257,0.0301873,0.00882821,0.00523527,0.00939523,0.0343529,0.00973622,0.00928072,0.00847726,0.00873872,0.00345685,0.00373389,0.00895698,0.00619851,0,0,0,0,0,0,0,0,0
13,0,0.00663328,0.00467146,0,0,0,0,0,0.00575468,0.0185182,0.0172838,0.00693022,0,0,0.00267443,0,0.0159904,0.00186042,0.0400985,0.0321337,0.0114384,0.0244777,0.00966945,0.00334852,0.0199968,0.0308021,0.0195548,0.0203189,0.0229337,0.0232566,0.0129199,0.0303971,0.0114586,0.00374584,0.00554218,0.00251181,0.00788893,0.0173303,0.00767344,0.00477702,0.00450265,0,0,0.0263732,0,0.0153413,0.00809961,0.0416087,0.00666448,0.0149519,0.00898651,0.0109488,0.0232108,0.00608494,0.0302147,0.00889056,0.00536934,0.00900809,0.0345028,0.00940826,0.00889663,0.00800944,0.008537,0.00337856,0.00373732,0.00900085,0.00644636,0,0,0,0,0,0,0,0,0
14,0,0.00689315,0.00462727,0,0,0,0,0,0.00583056,0.0186656,0.0171576,0.00691001,0,0,0.00254108,0,0.0159626,0.00189589,0.0400336,0.0319073,0.011277,0.0241604,0.00945093,0.00333748,0.0197864,0.0305439,0.0194212,0.0203,0.0229794,0.0233072,0.0129653,0.0303851,0.011677,0.0035461,0.00551851,0.00255282,0.00732682,0.0174267,0.0074514,0.00479848,0.00482327,0,0,0.0267094,0,0.0152976,0.00818708,0.0414577,0.00647129,0.0148983,0.00887973,0.0107195,0.0233505,0.00604118,0.0302038,0.00862247,0.00542825,0.00871905,0.0344779,0.00913482,0.00862541,0.00736029,0.00834949,0.00329704,0.00368354,0.00908146,0.00667636,0,0,0,0,0,0,0,0,0
15,0,0.00716368,0.00456924,0,0,0,0,0,0.00593692,0.0187762,0.0170274,0.00689103,0,0,0.0023629,0,0.0159581,0.00198239,0.0400148,0.0316946,0.0110916,0.0238336,0.00924013,0.00334619,0.0195431,0.0301805,0.0193075,0.0202663,0.0229328,0.0233064,0.0129681,0.0303703,0.011907,0.00335737,0.00552085,0.00255689,0.00670156,0.017553,0.00721893,0.00491076,0.00518618,0,0,0.0270195,0,0.0152416,0.00830695,0.0413023,0.00631682,0.0147882,0.0087389,0.0105076,0.0234647,0.00594991,0.0301972,0.00855337,0.00541662,0.00848279,0.0343577,0.0089123,0.00838081,0.00657122,0.00817537,0.0032106,0.00364309,0.00911187,0.00695485,0,0,0,0,0,0,0,0,0
16,0,0.00744623,0.00451085,0,0,0,0,0,0.00607651,0.0188442,0.0168989,0.00679447,0,0,0.00222621,0,0.0159221,0.0021224,0.0400185,0.0314693,0.0109399,0.0235573,0.00903692,0.00336681,0.0193079,0.0297764,0.019177,0.0202094,0.0227694,0.0232288,0.0129392,0.0303629,0.012156,0.00319851,0.00551922,0.00258831,0.00635469,0.0176556,0.00694235,0.00507209,0.00556236,0,0,0.0272942,0,0.0151771,0.00840629,0.0411192,0.0061042,0.0146358,0.00852948,0.0103039,0.0236036,0.00581297,0.0302046,0.00879202,0.00534493,0.00816646,0.0341947,0.00858997,0.00794187,0.00608783,0.00804522,0.00311223,0.00361864,0.00909007,0.00730818,0,0,0,0,0,0,0,0,0
17,0,0.00774746,0.00447381,0,0,0,0,0,0.00625566,0.0188422,0.0167832,0.00670216,0,0,0.00210763,0,0.0159181,0.00226941,0.040159,0.0312633,0.0108209,0.0233124,0.00882546,0.00338619,0.0190847,0.0294374,0.0190173,0.0201136,0.0225367,0.0231106,0.0129171,0.0302875,0.0124126,0.00296927,0.00552701,0.00259563,0.00598747,0.0177749,0.00668383,0.00520739,0.00594111,0,0,0.0275568,0,0.0151476,0.00850912,0.0409814,0.00588646,0.0145313,0.00831237,0.0101161,0.0237219,0.0056821,0.0301215,0.00874301,0.00525763,0.00790212,0.0338928,0.00834083,0.00761133,0.00565083,0.00789015,0.00305575,0.003648,0.00903751,0.00775359,0,0,0,0,0,0,0,0,0
18,0,0.00802511,0.00448506,0,0,0,0,0,0.00625239,0.0188589,0.0166061,0.0067134,0,0,0.00201806,0,0.0158615,0.0023614,0.0403491,0.030962,0.0106628,0.0229606,0.00852573,0.00343051,0.0187855,0.0289244,0.0188086,0.0200111,0.0222612,0.0229627,0.0128794,0.0301714,0.0125219,0.00266662,0.00552778,0.00264524,0.00571799,0.0178357,0.00644562,0.00542712,0.00634913,0,0,0.0278453,0,0.0150589,0.00862492,0.040912,0.00569186,0.0143945,0.00799147,0.00984823,0.0238324,0.00552926,0.0300047,0.00898158,0.00515985,0.00764588,0.0334026,0.00810727,0.00730504,0.00529734,0.00776498,0.00300433,0.00364294,0.00905787,0.00811998,0,0,0,0,0,0,0,0,0
