Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,
1640,0.0180071,0.00965499,0,0,0,0,0,0,0.0286186,0.0135808,0.0104662,0.0219039,0,0,0.00395064,0,0.027645,0.00437401,0.0436041,0.0082595,0.0326909,0,0.00344185,0.0025703,0.00563713,0.0037644,0.00319423,0.0279089,0.00158397,0.00657524,0.00259606,0.0332291,0.0349476,0.00155425,0.0185134,0.00591179,0.0158264,0.00611069,0.00885095,0.0226027,0.013507,0,0,0.0015335,0,0.00874483,0.0021035,0.0513073,0.00983285,0.0339118,0,0.00363014,0.00733005,0.00374373,0.0311917,0.00374155,0.00471662,0,0.0244779,0.0109134,0.0114341,0.0168598,0.00346257,0.00288587,0.00369729,0.00685942,0.0141556,0,0,0,0,0,0,0,0,0
1641,0.0170669,0.00938509,0,0,0,0,0,0,0.0290439,0.013714,0.0105854,0.0215654,0,0,0.00428619,0,0.0274602,0.0045144,0.0433913,0.00829132,0.0322811,0,0.00361676,0.00211966,0.00567071,0.00399766,0.00312975,0.0277684,0.0014821,0.0064736,0.00250529,0.0333155,0.0354693,0.00175639,0.0184034,0.00571258,0.0160352,0.00627668,0.00849402,0.0221272,0.0126647,0,0,0.00150416,0,0.00888483,0.00194516,0.0512137,0.00935796,0.0336853,0,0.0037739,0.00745151,0.00398268,0.0313449,0.00385215,0.00491602,0,0.0246355,0.0107096,0.0112997,0.017424,0.0037293,0.00283633,0.0035967,0.00670983,0.0134196,0,0,0,0,0,0,0,0,0
1642,0.0161552,0.0090437,0,0,0,0,0,0,0.0295665,0.0138431,0.010872,0.0211503,0,0,0.00441609,0,0.0272905,0.00457123,0.0429631,0.00827977,0.0320514,0,0.00367991,0.00159486,0.00586452,0.00461483,0.00323121,0.0275881,0.00139322,0.00641167,0.00247327,0.0333804,0.0360006,0.00211992,0.0182907,0.00550809,0.0162717,0.00648523,0.00811913,0.0215192,0.0118033,0,0,0.00183398,0,0.00903302,0.00188575,0.0511816,0.00880913,0.0334434,0,0.00388625,0.00764807,0.0041643,0.0315829,0.00407487,0.00510059,0,0.0247328,0.0104401,0.0110966,0.0179906,0.00409029,0.00279492,0.00347168,0.00654692,0.0126154,0,0,0,0,0,0,0,0,0
1643,0.0156794,0.00882172,0,0,0,0,0,0,0.0307889,0.013914,0.0110061,0.0211653,0,0,0.00441366,0,0.0271158,0.00464413,0.0423362,0.00734785,0.0321888,0.0138199,0.00330779,0.00116996,0.00549733,0.00445748,0.00268508,0.0277974,0.00132761,0.00705898,0.00242318,0.0334745,0.0375487,0.00255467,0.0180907,0.00540457,0.0165479,0.0066291,0.00787235,0.0210883,0.011228,0,0,0.00279128,0,0.00921888,0.0018012,0.051166,0.00827891,0.0331466,0,0.00376617,0.00821191,0.00439912,0.0318567,0.00433253,0.00530836,0,0.024833,0.0102526,0.0109394,0.0185213,0.00478693,0.00275026,0.00335742,0.00651201,0.0119061,0,0,0,0,0,0,0,0,0
1644,0.0146494,0.00877633,0,0,0,0,0,0,0.0365955,0.0136944,0.0125645,0.0209318,0,0,0.00471693,0,0.0270833,0.00450004,0.0359518,0.00820607,0.0323339,0.0127489,0.00405587,0.00176714,0.00799955,0.00501541,0.00376627,0.0243735,0.00222231,0.00935902,0.00253731,0.0344829,0.0454079,0.00291495,0.0178596,0.00566501,0.0145401,0.00713263,0.00897902,0.0217615,0.00930513,0,0,0.00366642,0,0.00917474,0.00185625,0,0.0141127,0.0355134,0,0.00842186,0.00708489,0.00572176,0.028905,0.00437276,0.00415535,0,0.0264498,0.0098505,0.0108026,0.0168841,0.00460809,0.00274872,0.0029911,0.00651518,0.0102154,0,0,0,0,0,0,0,0,0
1645,0.0131839,0.00794761,0,0,0,0,0,0,0.0365041,0.0138802,0.012767,0.0204509,0,0,0.00454231,0,0.0267494,0.00450381,0.0357581,0.0083178,0.031852,0.0120084,0.00410628,0.00193583,0.00799629,0.0052213,0.00380854,0.0242627,0.00213302,0.00924389,0.00248048,0.0346497,0.0458791,0.00296353,0.0176812,0.00550915,0.0147553,0.00743402,0.00852604,0.0210878,0.00809504,0,0,0.00439008,0,0.00928027,0.00183293,0,0.013796,0.0353348,0,0.00856419,0.0073073,0.00558167,0.0287721,0.00400875,0.00411544,0,0.0267015,0.00949275,0.0105984,0.0174904,0.00503371,0.00273727,0.00289014,0.00607443,0.0088276,0,0,0,0,0,0,0,0,0
1646,0.0118889,0.00723374,0,0,0,0,0,0,0.0366446,0.014116,0.0129763,0.0200353,0,0,0.00456211,0,0.0262594,0.0045323,0.0355269,0.00829537,0.0314754,0.0110703,0.00431533,0.00246703,0.00800834,0.00566288,0.00393049,0.0242626,0.00190932,0.00915216,0.00249023,0.0347501,0.0462588,0.00319525,0.0174734,0.00537637,0.0151447,0.00773292,0.00806227,0.0207425,0.0071296,0,0,0.00525665,0,0.00937972,0.00194268,0,0.0133924,0.0353308,0.00674508,0.00856084,0.00764642,0.00520807,0.0292275,0.0038118,0.00406958,0,0.0270268,0.00870519,0.00987238,0.0180283,0.00553456,0.00280201,0.00292228,0.00571799,0.0079057,0,0,0,0,0,0,0,0,0
1647,0.0101695,0.00627462,0,0,0,0,0,0,0.0371339,0.0143652,0.0130386,0.0192985,0,0,0.00458672,0,0.0257726,0.0045385,0.0352759,0.00838273,0.0310678,0.0102381,0.00445171,0.00293865,0.00813572,0.00598714,0.00411982,0.0241862,0.00201833,0.00914627,0.002443,0.034904,0.046721,0.00345574,0.0172194,0.00532313,0.0153775,0.00805395,0.00765923,0.0198257,0.00587267,0,0,0.00627778,0,0.00945048,0.00236513,0,0.0129801,0.0351369,0.00614258,0.00875996,0.0078847,0.00512113,0.029196,0.00356681,0.00417235,0,0.0273517,0.00837818,0.00965264,0.0186759,0.00591224,0.00287702,0.00304448,0.00520337,0.00656653,0,0,0,0,0,0,0,0,0
1648,0.00859817,0.00541245,0,0,0,0,0,0,0.0320243,0.0148951,0.0113431,0.0180989,0,0,0.00360441,0,0.0251838,0.00468966,0.0407601,0.00737845,0.0301724,0.00977941,0.00455451,0.00108941,0.00651086,0.00557054,0.00317071,0.0273585,0.000938619,0.00694719,0.00183644,0.0343563,0.0399072,0.00242342,0.0169076,0.00504746,0.0175806,0.00813151,0.00626709,0.0179278,0.00507031,0,0,0.00720385,0,0.00962103,0.00230322,0.0486694,0.00644421,0.0324293,0.00673498,0.00511197,0.00981128,0.00556466,0.0324918,0.00542258,0.00576447,0,0.0262334,0.00831425,0.00944214,0.0208299,0.00707304,0.00291488,0.00334028,0.00509305,0.00552879,0,0,0,0,0,0,0,0,0
1649,0.00721405,0.00501092,0,0,0,0,0,0,0.0324767,0.0151471,0.0113414,0.0173983,0,0,0.00345154,0,0.0248106,0.00468516,0.0402429,0.00741742,0.0298689,0.00899435,0.00501484,0.00145119,0.00631489,0.00552739,0.00307136,0.027189,0.00119743,0.00719233,0.00180342,0.0345897,0.0405011,0.00256613,0.0166268,0.00493586,0.017504,0.00844239,0.00594491,0.017272,0.00415706,0,0,0.00804314,0,0.00968685,0.00248751,0.046968,0.0065903,0.0320875,0.00643815,0.0055998,0.0101639,0.00539895,0.0321707,0.00531022,0.00555116,0,0.0266591,0.00792893,0.00922408,0.0211089,0.00751696,0.00317823,0.00346807,0.00492907,0.00438715,0,0,0,0,0,0,0,0,0
1650,0.00606463,0.00483404,0,0,0,0,0,0,0.0328001,0.0154335,0.0112327,0.0166657,0,0,0.00340884,0,0.0244118,0.00483519,0.0398997,0.00742836,0.0295972,0.00822444,0.00534178,0.00195654,0.00600782,0.00542826,0.00290717,0.0271268,0.00148571,0.00747676,0.00179073,0.0347999,0.0410388,0.00289955,0.0163206,0.00503636,0.0174379,0.00873447,0.00566931,0.0165504,0.00390747,0,0,0.00887992,0,0.00978619,0.00284341,0.0461684,0.00658739,0.0318564,0.00615406,0.00589283,0.010587,0.00548997,0.0322041,0.005594,0.00556351,0,0.0269802,0.00760091,0.00899101,0.0212602,0.00798629,0.00355651,0.00361032,0.00491536,0.00363014,0,0,0,0,0,0,0,0,0
1651,0.00520753,0.00485436,0,0,0,0,0,0,0.0329618,0.0157237,0.0110365,0.0159806,0,0,0.00344158,0,0.0240475,0.00502648,0.0396857,0.00723369,0.0294414,0.00743648,0.00551809,0.00258041,0.00586372,0.00544343,0.00284623,0.0272367,0.00178843,0.0075857,0.00185203,0.0349609,0.0413902,0.00343274,0.0160148,0.00529013,0.0174206,0.00902156,0.00547929,0.0158636,0.00429427,0,0,0.00970732,0,0.00989455,0.00306797,0.0460979,0.00651328,0.0317136,0.00606544,0.00605852,0.0110601,0.00573269,0.0325291,0.00609629,0.00556925,0,0.0272855,0.00727795,0.00866402,0.0213944,0.00842054,0.00391538,0.00376124,0.00501799,0.00334964,0,0,0,0,0,0,0,0,0
1652,0.00480485,0.00496462,0,0,0,0,0,0,0.0330028,0.0160292,0.0107487,0.0152219,0,0,0.00350554,0,0.0237067,0.00520754,0.0395022,0.00691025,0.0293245,0.0063619,0.00554561,0.00318824,0.00601635,0.00551363,0.00278815,0.0277004,0.00222643,0.00755762,0.00206708,0.0351192,0.0416198,0.00384382,0.0157091,0.00550393,0.0172962,0.00931992,0.00538249,0.0150606,0.00504452,0,0,0.010258,0,0.0100573,0.0031098,0.0461669,0.0064634,0.0315358,0.00628489,0.0061399,0.0113799,0.0060036,0.0329193,0.00664441,0.00560577,0,0.0276032,0.00696278,0.00833133,0.021387,0.00871749,0.00428299,0.00405566,0.00512577,0.00358684,0,0,0,0,0,0,0,0,0
1653,0.00477442,0.00512758,0,0,0,0,0,0,0.0331917,0.0163528,0.0104197,0.0144806,0,0,0.00368126,0,0.0234108,0.0053912,0.0392592,0.00699175,0.0292209,0.00555733,0.00548615,0.0039263,0.00585766,0.00534903,0.00235459,0.0282001,0.00279979,0.00821893,0.00243148,0.0353475,0.0421287,0.00441539,0.0154165,0.00562285,0.0169965,0.00959241,0.00533095,0.0141972,0.0059086,0,0,0.0106872,0,0.0102802,0.00309374,0.0461174,0.00658316,0.0313543,0.0065137,0.00611902,0.0116637,0.00622503,0.0332799,0.00713012,0.00578905,0,0.0279479,0.00663369,0.00806164,0.0212015,0.00899117,0.00472999,0.00446229,0.00524033,0.00407213,0,0,0,0,0,0,0,0,0
1654,0.00569861,0.00612606,0,0,0,0,0,0,0.0421157,0.016734,0.0151357,0.0133933,0,0,0.00375683,0,0.0231679,0.00574448,0.0417264,0.00966941,0.0314979,0.0111022,0.00497682,0.00405016,0.00617929,0.00850257,0.00704289,0,0.0106369,0.0171395,0.00886903,0.0351759,0.053213,0.00489898,0.0151828,0.00561922,0.0180997,0.00960796,0.00550842,0.0124643,0.00630776,0,0,0.0109631,0,0.0105995,0.00269139,0.0438842,0.00756306,0.029569,0.00675775,0.00488185,0.0134136,0.00723849,0.034322,0.00783412,0.00699974,0,0.0281569,0.0065096,0.0084755,0.0228114,0.00991395,0.00498022,0.00495253,0.00637702,0.00513086,0,0,0,0,0,0,0,0,0
1655,0.00547731,0.00583145,0,0,0,0,0,0,0.0337192,0.016967,0.010163,0.0135933,0,0,0.00433822,0,0.0229293,0.00581707,0.0386776,0.00817757,0.0292228,0.00488376,0.00557165,0.00563117,0.00561479,0.00507827,0.00141989,0.0293853,0.00437597,0.00960732,0.00378428,0.0358542,0.0432511,0.00602786,0.0149459,0.00563631,0.0162106,0.0101959,0.005377,0.0130923,0.00816631,0,0,0.0118417,0,0.0106873,0.00302304,0.0458804,0.00724144,0.0312334,0.00659105,0.00613689,0.0126008,0.00666515,0.0339473,0.00781305,0.00631971,0,0.0286597,0.00602296,0.00748549,0.020518,0.00964228,0.00565735,0.00515264,0.00582013,0.00547639,0,0,0,0,0,0,0,0,0
1656,0.00610673,0.00606236,0,0,0,0,0,0,0.0335898,0.0172377,0.00986019,0.0130477,0,0,0.00474947,0,0.0227591,0.00602308,0.0384278,0.00888478,0.0293251,0.00501727,0.00541706,0.00648905,0.00562755,0.00494716,0.00121505,0.0297029,0.00504788,0.00963528,0.00433226,0.0360296,0.043243,0.00680393,0.0147418,0.00578532,0.0159797,0.0104564,0.00564532,0.0120709,0.0091112,0,0,0.0122245,0,0.0109273,0.00314299,0.0456798,0.00754948,0.0311703,0.00661244,0.00609381,0.0129898,0.00691259,0.0342745,0.00828472,0.00608175,0,0.0289824,0.00579538,0.00722236,0.0203231,0.00986299,0.00626871,0.0054611,0.00594048,0.0062073,0,0,0,0,0,0,0,0,0
1657,0.0094941,0.00680307,0,0,0,0,0,0,0.0135654,0.0176976,0.0111981,0.0138224,0,0,0.00466831,0,0.0224793,0.00621513,0.0413556,0.0162607,0.0260957,0.0181723,0.0105636,0.00694346,0.0189699,0.0258068,0.0202196,0.0228361,0.0107342,0.00899849,0.00610364,0.0350332,0.0149486,0.00712933,0.0145029,0.00598913,0.0155856,0.0111613,0.00538858,0.013006,0.0133164,0,0,0.0133548,0,0.0111034,0.00371899,0.0446701,0.00749103,0.0325748,0.00710854,0.00860485,0.0126669,0.00704983,0.0335186,0.00876097,0.00587429,0,0.0300582,0.0048589,0.00657349,0.0200077,0.00975789,0.00715434,0.0055996,0.00593416,0.00973446,0,0,0,0,0,0,0,0,0
