Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTIBA,IMUR_B
All Timesteps RMSE,0.0259343,0.0144723,0,0,0,0,0,0.0150783,0.0179363,0.00656788,0.0166282,0,0,0.00855484,0,0.0258627,0.00593712,0.0435191,0.0128984,0.03085,0.0201434,0.00999146,0.0146988,0.00911052,0.0129137,0.00962493,0.0341432,0.00869897,0.00850122,0.00628041,0.0338283,0.018796,0.0134079,0.01732,0.00551377,0.0232109,0.0125593,0.0168884,0.0177087,0.023352,0,0,0.0137134,0,0.0142196,0.00621881,0.0493149,0.0173338,0.033283,0.0168684,0.00893953,0.0120102,0.00781439,0.0337404,0.0105411,0.00819243,0.010313,0.00990158,0.00962027,0.0225095,0.00927772,0.0085577,0.00873661,0.0119458,0.022034,0,0,0,0,0,0,0,0,0.0336183,0
0,0.025035,0.0125081,0,0,0,0,0,0.00315814,0.0159621,0.00615304,0.00986038,0,0,0.00653297,0,0.0252881,0.00471698,0.039662,0.0143318,0.031099,0.0124987,0.00905478,0.00860631,0.0053157,0.0093853,0.00672113,0.0322702,0.0084621,0.00757286,0.00807433,0.0371305,0.00444801,0.00889464,0.0182817,0.00427061,0.0130581,0.011883,0.0172032,0.0156437,0.0219742,0,0,0.0160512,0,0.00803808,0.0079916,0.0452971,0.0182645,0.0328841,0.0157894,0.00934234,0.0101804,0.00601851,0.0280595,0.0139782,0.00902453,0.023264,0.0249023,0.0241959,0.0149224,0.0116388,0.00556309,0.00680068,0.00957666,0.0221204,0,0,0,0,0,0,0,0,0,0
1,0.0249797,0.0129288,0,0,0,0,0,0.00325257,0.0159085,0.00642368,0.00965567,0,0,0.00626184,0,0.0252857,0.00448331,0.0396575,0.0146843,0.0309563,0.01276,0.0089575,0.00988706,0.00547376,0.00962817,0.00677629,0.0327562,0.00887146,0.00797066,0.00837196,0.0371479,0.0048827,0.00931352,0.0183131,0.00434944,0.0131101,0.0115101,0.0170354,0.0151706,0.0222594,0,0,0.0159443,0,0.00772938,0.00722493,0.0455702,0.018168,0.0326934,0.0152659,0.00953302,0.0107544,0.00605366,0.028085,0.013776,0.00882201,0.0227574,0.0243661,0.0235631,0.0148484,0.0114441,0.00501241,0.00619908,0.0100306,0.0221153,0,0,0,0,0,0,0,0,0,0
2,0.0246418,0.0126213,0,0,0,0,0,0.00331792,0.0159364,0.0066008,0.00928606,0,0,0.00592101,0,0.0251923,0.00438171,0.0396652,0.0149828,0.0307932,0.0130073,0.00875707,0.00972707,0.00562512,0.00973271,0.00682089,0.033461,0.00920165,0.00823131,0.00863205,0.0371287,0.00510975,0.00898445,0.0182894,0.00443215,0.0132566,0.0114454,0.0169348,0.014666,0.0220377,0,0,0.0157133,0,0.00760104,0.00710001,0.0458158,0.0180232,0.032442,0.0147757,0.0096797,0.0110128,0.00609804,0.0281738,0.0135206,0.0085655,0.0222141,0.0238317,0.022916,0.014873,0.0115455,0.00490209,0.00605583,0.00981333,0.0217985,0,0,0,0,0,0,0,0,0,0
3,0.0243635,0.0123687,0,0,0,0,0,0.00345903,0.015941,0.00670618,0.00877828,0,0,0.00554924,0,0.025118,0.00427593,0.0396742,0.0151015,0.0306324,0.0130063,0.00870249,0.00946742,0.00576281,0.00973677,0.00669597,0.033759,0.00938073,0.00844453,0.00878494,0.0370941,0.00541311,0.00862539,0.0182642,0.00450112,0.0133485,0.0113702,0.0167983,0.0141476,0.0218858,0,0,0.0154848,0,0.00746765,0.00698773,0.0460283,0.017854,0.0321435,0.014418,0.00974817,0.0113175,0.00610096,0.0283817,0.0133241,0.00842202,0.0217964,0.0233391,0.0224235,0.0148889,0.0116547,0.00477074,0.00593138,0.00965897,0.0214947,0,0,0,0,0,0,0,0,0,0
4,0.0241003,0.0122906,0,0,0,0,0,0.00359805,0.0159289,0.00675656,0.00824797,0,0,0.00511123,0,0.0250444,0.00413444,0.0396552,0.0150308,0.0304751,0.0126953,0.00874131,0.00923002,0.00583312,0.00960536,0.0063717,0.0338606,0.00945556,0.00857936,0.00882954,0.0370251,0.0056725,0.00822196,0.0182361,0.00455954,0.0134469,0.0113119,0.0167009,0.0136581,0.021774,0,0,0.0153557,0,0.00739705,0.00695137,0.0462102,0.0176447,0.031795,0.0141573,0.00993855,0.0116513,0.00606927,0.0286088,0.0128776,0.00828126,0.0214112,0.0228485,0.0220168,0.0149203,0.0118106,0.00462022,0.00584759,0.00957013,0.0212276,0,0,0,0,0,0,0,0,0,0
5,0.0238381,0.0123146,0,0,0,0,0,0.00364883,0.0159199,0.00679872,0.00776604,0,0,0.00460531,0,0.0249792,0.00393581,0.0396738,0.0148504,0.0303247,0.0121293,0.00883379,0.0090485,0.00580623,0.00928396,0.00611206,0.033962,0.00945447,0.00860811,0.00882984,0.0369107,0.00575961,0.0077967,0.0182012,0.00460281,0.0136184,0.0112829,0.0166516,0.0131953,0.0216328,0,0,0.0152506,0,0.00736967,0.00689169,0.0463996,0.0175442,0.0314197,0.0139237,0.0102599,0.0119675,0.00610384,0.0288378,0.0122132,0.00816305,0.0210073,0.0223179,0.0214712,0.0149676,0.0120044,0.00449596,0.00577406,0.00953915,0.0209689,0,0,0,0,0,0,0,0,0,0
6,0.0236297,0.0122523,0,0,0,0,0,0.00367398,0.0159449,0.00678643,0.00732586,0,0,0.00403058,0,0.0249002,0.00367473,0.0397177,0.014524,0.0302069,0.0114013,0.00902375,0.00890591,0.00557668,0.00881736,0.00588459,0.033799,0.00932467,0.00855741,0.0087129,0.0367654,0.00579109,0.00731926,0.0181635,0.00460803,0.0138978,0.011277,0.0166627,0.0127372,0.0215152,0,0,0.015082,0,0.00731015,0.00680681,0.0465694,0.0175592,0.0310472,0.0136194,0.0104551,0.0123026,0.00621676,0.0290364,0.0118341,0.00800578,0.0204728,0.0216775,0.0207281,0.0150724,0.0121974,0.00436241,0.00568701,0.00955127,0.0207505,0,0,0,0,0,0,0,0,0,0
7,0.0234052,0.0121092,0,0,0,0,0,0.00364389,0.0159683,0.00662633,0.00695608,0,0,0.00342094,0,0.0247862,0.00335662,0.039808,0.013851,0.0300899,0.0102436,0.00929528,0.00881494,0.00517019,0.00818879,0.00559474,0.0333069,0.00894682,0.00835183,0.0083663,0.0365818,0.00575422,0.00684127,0.0181204,0.00461376,0.0142263,0.0112622,0.0167174,0.0123141,0.0214075,0,0,0.0150303,0,0.00722624,0.00675109,0.0467131,0.0176019,0.0306628,0.0133553,0.0105161,0.0126854,0.00631541,0.0292233,0.0112494,0.00791624,0.0199307,0.021021,0.0199346,0.0152042,0.0124807,0.00431027,0.00557505,0.00957802,0.0205126,0,0,0,0,0,0,0,0,0,0
8,0.0233259,0.0120711,0,0,0,0,0,0.00336063,0.0159965,0.00626668,0.00668521,0,0,0.00282281,0,0.0246815,0.00307447,0.039924,0.0126783,0.0299643,0.00837452,0.00977408,0.00872845,0.00481735,0.00733599,0.00524168,0.0326846,0.00824566,0.00777243,0.00773109,0.0363785,0.00525918,0.00639768,0.0180696,0.00460867,0.0146014,0.0112639,0.0168003,0.0118467,0.021465,0,0,0.0149459,0,0.00709419,0.00663158,0.0467845,0.0176432,0.0303195,0.0131484,0.0106926,0.0131939,0.00634593,0.0295223,0.0109589,0.00794713,0.0195023,0.0204687,0.0193236,0.0153561,0.0127461,0.00422206,0.00550565,0.00967793,0.0204038,0,0,0,0,0,0,0,0,0,0
9,0.0247803,0.0124918,0,0,0,0,0,0.00993876,0.0160909,0.00491696,0.00771357,0,0,0.00182791,0,0.0244511,0.00274467,0.0418057,0.00256011,0.0290253,0.00566856,0.0113266,0.00857275,0.00710635,0.0106235,0.0095825,0.0297471,0.00445856,0.00559601,0.00238375,0.035224,0.0113032,0.00563868,0.0179796,0.00465131,0.0148511,0.0115263,0.0167955,0.0120307,0.0231609,0,0,0.0152612,0,0.00687653,0.00671565,0.0465606,0.0176137,0.0302711,0.0130302,0.0108392,0.0147341,0.00593431,0.0291821,0.010017,0.00798909,0.0192323,0.0200737,0.0189418,0.0154876,0.0135334,0.00416211,0.00565886,0.00989365,0.0217282,0,0,0,0,0,0,0,0,0,0
10,0.025606,0.0126681,0,0,0,0,0,0.01944,0.0161674,0.0073722,0.00874911,0,0,0.0012103,0,0.0242513,0.00245638,0.0437283,0.0090479,0.0280766,0.0156539,0.0129844,0.00856763,0.0128276,0.0205332,0.017162,0.0272644,0.00927943,0.0121083,0.00469276,0.0347972,0.0237848,0.0050563,0.0178987,0.00470501,0.0149757,0.0117832,0.0167616,0.012084,0.0241843,0,0,0.0152823,0,0.00672292,0.00681371,0.0464281,0.0175996,0.0302765,0.0131279,0.0112533,0.015926,0.00578921,0.0288424,0.0088494,0.00834695,0.0190624,0.0197285,0.0186737,0.0155599,0.0141533,0.00409137,0.00579791,0.00987251,0.0225075,0,0,0,0,0,0,0,0,0,0
11,0.0253526,0.0128923,0,0,0,0,0,0.0187139,0.0161176,0.00714098,0.00849469,0,0,0.00111863,0,0.0242118,0.00233957,0.0434904,0.00945503,0.028072,0.015872,0.0135361,0.00860636,0.0126273,0.020649,0.0171746,0.0275046,0.0092981,0.011975,0.00463585,0.0348166,0.0229047,0.00479962,0.017887,0.0046639,0.0154187,0.0116329,0.0169371,0.0115131,0.0241484,0,0,0.0150911,0,0.00651586,0.00649078,0.0465588,0.017598,0.0300273,0.0132319,0.0116336,0.0162399,0.00624127,0.0290495,0.00825003,0.00914147,0.0189931,0.0194358,0.0183479,0.01574,0.0140334,0.00386155,0.00557686,0.010252,0.0222436,0,0,0,0,0,0,0,0,0,0
12,0.0246667,0.0125921,0,0,0,0,0,0.0179445,0.0160849,0.00700469,0.0084446,0,0,0.00131911,0,0.0241008,0.00217702,0.0433218,0.00995958,0.02797,0.0162138,0.0137382,0.00887439,0.0124943,0.0207464,0.0172077,0.0277793,0.00933635,0.0118101,0.00464598,0.0348604,0.0219669,0.00468559,0.017854,0.00458372,0.0157781,0.0115203,0.0170419,0.0111239,0.0235164,0,0,0.0144445,0,0.00637811,0.00629486,0.0467599,0.0176443,0.02968,0.0135714,0.0116715,0.0162579,0.00658942,0.0292915,0.00822062,0.00992872,0.0190343,0.019134,0.018034,0.0159106,0.0138157,0.00368354,0.00537801,0.0101389,0.0216161,0,0,0,0,0,0,0,0,0,0
13,0.0238647,0.0121734,0,0,0,0,0,0.0171621,0.0160436,0.00685305,0.00842754,0,0,0.0016941,0,0.0240131,0.00203443,0.0432196,0.0105183,0.0278546,0.0165476,0.0138276,0.00921762,0.0124983,0.0209039,0.0171851,0.0283014,0.0094047,0.0116919,0.00464258,0.0348778,0.0210669,0.00470328,0.0178222,0.00449779,0.0160841,0.0113747,0.0171188,0.0107816,0.0227073,0,0,0.0137178,0,0.00623218,0.00612424,0.0471062,0.0177013,0.0293863,0.0135708,0.0116629,0.0161718,0.00677136,0.0292329,0.00803093,0.0103511,0.0187028,0.0185244,0.0175484,0.0161019,0.013576,0.00355884,0.00518465,0.00996178,0.0208743,0,0,0,0,0,0,0,0,0,0
14,0.0229828,0.0117121,0,0,0,0,0,0.0161186,0.0159934,0.00670192,0.00865748,0,0,0.0021109,0,0.023918,0.00190884,0.0431612,0.0110175,0.0277335,0.0167308,0.0138594,0.00961828,0.0123206,0.0208408,0.0168938,0.0285324,0.00940781,0.0114918,0.00460911,0.0348557,0.0198025,0.00487039,0.0177858,0.00441516,0.0164238,0.011218,0.0172435,0.0104917,0.0217856,0,0,0.0129777,0,0.00610169,0.00590069,0.0474592,0.0177899,0.0290892,0.013527,0.0116734,0.0160444,0.00686347,0.0291459,0.0077859,0.0105618,0.0182785,0.0177804,0.0169591,0.0163388,0.0133055,0.00343278,0.00503487,0.0097451,0.0200664,0,0,0,0,0,0,0,0,0,0
15,0.0220525,0.0113338,0,0,0,0,0,0.0148346,0.0159412,0.00649207,0.00906562,0,0,0.00245667,0,0.0238111,0.00179908,0.0431402,0.0113767,0.0276469,0.0168174,0.013869,0.010047,0.0119799,0.0205269,0.0164889,0.0285193,0.00932619,0.0112412,0.00452308,0.0347634,0.0182454,0.0051611,0.0177545,0.00435012,0.0168219,0.0110254,0.0174043,0.0103851,0.0208357,0,0,0.0121925,0,0.00595581,0.00567502,0.0477181,0.0178671,0.0288316,0.0135617,0.0116924,0.0158731,0.00682631,0.0291298,0.00761459,0.0107007,0.0179903,0.0171856,0.0164605,0.0166034,0.0129797,0.00329234,0.00492071,0.00951996,0.0192672,0,0,0,0,0,0,0,0,0,0
16,0.0209626,0.0107737,0,0,0,0,0,0.0136628,0.015898,0.00623775,0.0096291,0,0,0.00270925,0,0.0237034,0.00174546,0.0432009,0.0116423,0.0276281,0.0169232,0.0136695,0.0104278,0.0117874,0.0203933,0.0162282,0.0287361,0.00923919,0.0111187,0.00445154,0.0345851,0.0169376,0.00547334,0.0177422,0.00428657,0.0172015,0.0108663,0.0175572,0.0104775,0.0197004,0,0,0.0112024,0,0.00584286,0.00542248,0.0479426,0.0178814,0.028609,0.0136027,0.0114958,0.0155664,0.00684792,0.0291791,0.00743922,0.0105693,0.0178271,0.0169838,0.0161535,0.016851,0.01256,0.00316265,0.0047165,0.00918187,0.0183657,0,0,0,0,0,0,0,0,0,0
17,0.0198251,0.0101508,0,0,0,0,0,0.0124247,0.015881,0.00594283,0.0102486,0,0,0.00291521,0,0.0236156,0.00178616,0.0432602,0.0117648,0.0276677,0.0170512,0.0133998,0.0108677,0.0114719,0.0201561,0.0160277,0.0289065,0.00908965,0.0109407,0.00434294,0.0343993,0.0155288,0.00585019,0.0177323,0.00423124,0.0176151,0.0106846,0.0177155,0.0108276,0.0185057,0,0,0.0101208,0,0.00570956,0.0052264,0.04815,0.0178682,0.0284225,0.0137298,0.0112749,0.0152172,0.00669688,0.0292288,0.00727796,0.0107011,0.0176877,0.0170546,0.0159206,0.0171626,0.0121249,0.00311704,0.00452798,0.00880134,0.0174293,0,0,0,0,0,0,0,0,0,0
18,0.0187476,0.00969435,0,0,0,0,0,0.0109623,0.0159046,0.00564364,0.0108009,0,0,0.00309455,0,0.0234943,0.00190817,0.0433204,0.0117067,0.0275364,0.017099,0.0132181,0.0113571,0.011011,0.0197165,0.0158108,0.0289193,0.00880109,0.0105566,0.00414384,0.0342361,0.0137497,0.00630659,0.017716,0.00420652,0.0180735,0.0104952,0.0179213,0.0115214,0.0174858,0,0,0.0091183,0,0.00553909,0.00500455,0.0483965,0.0179099,0.0282427,0.0138101,0.0110606,0.0150329,0.00639016,0.0292517,0.00712855,0.0108505,0.0175589,0.0171281,0.0156503,0.0175347,0.0117837,0.00316537,0.00433045,0.00850151,0.0165452,0,0,0,0,0,0,0,0,0,0
19,0.017876,0.00946413,0,0,0,0,0,0.00914525,0.0159614,0.00542083,0.0111593,0,0,0.00335081,0,0.0233156,0.00211439,0.0433773,0.0114321,0.0269477,0.0169787,0.0131632,0.0120661,0.0104471,0.0190477,0.015449,0.0288011,0.00832659,0.00993647,0.00390704,0.0341142,0.0114139,0.00695127,0.0176649,0.00424075,0.018617,0.0103768,0.0181673,0.0126045,0.0167941,0,0,0.00814276,0,0.00534124,0.00476466,0.0486364,0.0180138,0.0280146,0.0138198,0.0108705,0.015077,0.00652641,0.0290765,0.00704675,0.01112,0.0172425,0.0169977,0.0152742,0.0179715,0.0115413,0.00329803,0.00421742,0.00829335,0.015841,0,0,0,0,0,0,0,0,0,0
20,0.0169863,0.00925485,0,0,0,0,0,0.00734691,0.0160304,0.00520884,0.0119374,0,0,0.00353047,0,0.0231195,0.00236048,0.0431897,0.0110253,0.0266744,0.0167469,0.013086,0.0126579,0.00974562,0.0182827,0.0149661,0.0286147,0.00776211,0.00922169,0.00355253,0.0339734,0.00905586,0.00746408,0.0176125,0.00429727,0.0193639,0.0102653,0.0185034,0.0139217,0.0160534,0,0,0.00711425,0,0.0051666,0.00464141,0.0487317,0.018163,0.0278357,0.0138454,0.0107519,0.0150142,0.00658256,0.0289567,0.00701975,0.0111202,0.0168327,0.0165853,0.0148761,0.0185512,0.0112369,0.00350077,0.00416478,0.00813386,0.0150858,0,0,0,0,0,0,0,0,0,0
21,0.0157881,0.00876493,0,0,0,0,0,0.0057114,0.0160587,0.00505097,0.0125002,0,0,0.00354412,0,0.0229742,0.00257331,0.0429883,0.010387,0.0268261,0.0165115,0.0125681,0.0130993,0.00906494,0.0173577,0.0142844,0.0284612,0.00713705,0.00835272,0.00312443,0.0338673,0.00664287,0.0079448,0.017577,0.00433361,0.0201273,0.010109,0.0188294,0.0148754,0.0148766,0,0,0.00584569,0,0.00506961,0.00458403,0.0487422,0.018336,0.0276365,0.0139427,0.0104247,0.0145925,0.00649885,0.0288777,0.00697521,0.0110946,0.0164274,0.0160348,0.0144679,0.0191597,0.0107361,0.00392672,0.00410413,0.00777227,0.0139777,0,0,0,0,0,0,0,0,0,0
22,0.0116476,0.00670257,0,0,0,0,0,0.00371231,0.0158941,0.0050134,0.0132164,0,0,0.00300694,0,0.0230742,0.00295464,0.0422495,0.00946177,0.02688,0.0151761,0.0101812,0.0123417,0.00905477,0.0161919,0.0132662,0.0283855,0.00601827,0.00676951,0.00259161,0.0336319,0.00274842,0.00775979,0.0176192,0.00416224,0.0101611,0.00988957,0.0103732,0.0166343,0.0113502,0,0,0.00445224,0,0.00503626,0.00452688,0.047572,0.0134949,0.0291392,0.00608199,0.00684906,0.012642,0.005815,0.0329505,0.0046482,0.00780843,0.0122629,0.0070235,0.00808812,0.0099078,0.00935816,0.00436694,0.00407798,0.00608994,0.0102597,0,0,0,0,0,0,0,0,0.0292243,0
23,0.0128346,0.00769147,0,0,0,0,0,0.00378408,0.0161644,0.0047794,0.0133757,0,0,0.00390433,0,0.0227223,0.00309104,0.0425916,0.00855721,0.0273983,0.0157493,0.0110237,0.0146443,0.00852146,0.0148324,0.0121899,0.0284198,0.00568094,0.00610485,0.00191641,0.0338682,0.00178547,0.00950789,0.0175133,0.00437544,0.0215956,0.00983473,0.019353,0.0163307,0.0118801,0,0,0.00350315,0,0.00489943,0.00447584,0.0488618,0.0192235,0.0272941,0.0139719,0.00932343,0.0131493,0.00639533,0.0288287,0.00692228,0.0111217,0.0155304,0.0149659,0.0133329,0.0204291,0.00948038,0.00475091,0.00417438,0.00697798,0.0112514,0,0,0,0,0,0,0,0,0,0
24,0.0113159,0.00739232,0,0,0,0,0,0.00487839,0.0161775,0.00488192,0.0137223,0,0,0.00388916,0,0.022605,0.0033183,0.0425145,0.00771817,0.0277132,0.0153826,0.010149,0.0148498,0.00785879,0.0135304,0.0110459,0.0285018,0.00517458,0.00490189,0.00127444,0.0339706,0.00354502,0.00976593,0.0174769,0.00439456,0.0229761,0.00967427,0.0197686,0.0168653,0.0104404,0,0,0.00262565,0,0.00482827,0.0044497,0.0489995,0.0192875,0.0272091,0.0138731,0.00874519,0.012518,0.00643983,0.0287788,0.00686172,0.0109723,0.0149425,0.0143782,0.0126944,0.0214246,0.00885251,0.0050738,0.00410017,0.00684504,0.00984606,0,0,0,0,0,0,0,0,0,0
25,0.00985303,0.00717513,0,0,0,0,0,0.00672113,0.0161607,0.00508447,0.0139482,0,0,0.00393802,0,0.0225179,0.00349028,0.0424942,0.00706823,0.0280177,0.0151108,0.00924247,0.0151902,0.00695137,0.0124872,0.0100533,0.0286038,0.00526897,0.0039971,0.000710371,0.034055,0.00653238,0.0101654,0.0174532,0.00440339,0.0244663,0.00954046,0.0201538,0.0171423,0.00894352,0,0,0.00228538,0,0.00478098,0.00445032,0.0491139,0.019545,0.027164,0.0137576,0.00812136,0.0118612,0.00643905,0.0286724,0.00679276,0.0108358,0.0143093,0.0136549,0.011901,0.0225723,0.00817509,0.00532825,0.00417041,0.00679877,0.00850746,0,0,0,0,0,0,0,0,0,0
26,0.00847153,0.00707786,0,0,0,0,0,0.00863786,0.0161293,0.00540465,0.014033,0,0,0.00399246,0,0.0224833,0.00364403,0.0425439,0.00650367,0.0283213,0.014804,0.00836401,0.0156167,0.006273,0.0114937,0.00920977,0.0286559,0.00508326,0.00348588,0.000411134,0.0340762,0.00939329,0.0106809,0.0174714,0.00439496,0.0259477,0.00942766,0.0205596,0.0171815,0.00757728,0,0,0.00257766,0,0.00474113,0.00454016,0.0491961,0.0199381,0.0271657,0.0137029,0.00761456,0.0111553,0.00637482,0.0285634,0.00678426,0.0106825,0.0136435,0.0128395,0.0111031,0.0238095,0.0074819,0.00557841,0.00437319,0.00686433,0.00729021,0,0,0,0,0,0,0,0,0,0
27,0.00714977,0.00700684,0,0,0,0,0,0.0105546,0.016104,0.00582906,0.0139117,0,0,0.00406105,0,0.0224958,0.00380272,0.0425845,0.00596941,0.0286277,0.0145798,0.0075087,0.0161708,0.0059903,0.0105837,0.00835108,0.0286252,0.00468678,0.00275594,0.000559155,0.034086,0.0121217,0.0110963,0.0175001,0.004371,0.0274218,0.00930493,0.021046,0.0169408,0.00627864,0,0,0.00331164,0,0.00473396,0.00456763,0.0493042,0.0204386,0.0271634,0.0137747,0.00702875,0.0103622,0.00630073,0.0284547,0.00688537,0.0104298,0.0128927,0.0120493,0.0103942,0.0250942,0.00681999,0.00581199,0.00446439,0.00693017,0.00618828,0,0,0,0,0,0,0,0,0,0
28,0.00589217,0.00695849,0,0,0,0,0,0.0125783,0.0160579,0.00645957,0.0136165,0,0,0.00411649,0,0.0226054,0.00393989,0.0425586,0.00569941,0.0288862,0.0146321,0.00675646,0.0166764,0.00562316,0.00969119,0.00761139,0.0285364,0.00429988,0.0018977,0.000780245,0.0340899,0.0148885,0.0115002,0.0175687,0.00430324,0.0288841,0.00921355,0.0215775,0.016518,0.00514033,0,0,0.00423095,0,0.00476357,0.00455359,0.049521,0.0210369,0.0271732,0.013823,0.00647771,0.00966421,0.00615442,0.028358,0.00700991,0.0101555,0.0120454,0.0114231,0.00980998,0.0264812,0.00626289,0.00605701,0.00443718,0.00699957,0.00524226,0,0,0,0,0,0,0,0,0,0
29,0.0049186,0.00697187,0,0,0,0,0,0.0142074,0.0160086,0.00716399,0.0133206,0,0,0.00421373,0,0.0227678,0.00410594,0.0425743,0.00574114,0.0291558,0.014976,0.00616647,0.0171232,0.00518222,0.00934207,0.00740172,0.028534,0.0041716,0.0015775,0.00100777,0.0340478,0.017075,0.0119746,0.0176593,0.00422247,0.0304245,0.00916437,0.0221695,0.0161195,0.00434338,0,0,0.00531276,0,0.00479188,0.00464757,0.0499203,0.021657,0.02727,0.0138649,0.00601639,0.00899975,0.00593608,0.028333,0.00708106,0.00950215,0.011234,0.0110259,0.00937549,0.0279973,0.00573158,0.00632843,0.00448536,0.00706801,0.00462715,0,0,0,0,0,0,0,0,0,0
30,0.0044187,0.00704704,0,0,0,0,0,0.0153922,0.0159426,0.00770263,0.01309,0,0,0.00431755,0,0.02299,0.00426425,0.0426181,0.00579038,0.0294597,0.0154991,0.00569927,0.0176037,0.00501585,0.00913125,0.00749189,0.0285428,0.00410102,0.00164588,0.00126785,0.0339966,0.018704,0.0123319,0.0177591,0.00415944,0.0320457,0.00909803,0.0228068,0.0156491,0.00409799,0,0,0.00648671,0,0.00482735,0.0046869,0.0503516,0.0223272,0.0274298,0.0139821,0.00573898,0.00829741,0.00568181,0.028389,0.0070948,0.00889891,0.0105334,0.0108302,0.00907757,0.0295981,0.00528009,0.00641257,0.00446949,0.00711689,0.00449943,0,0,0,0,0,0,0,0,0,0
31,0.00451162,0.00718057,0,0,0,0,0,0.016424,0.0158553,0.00809395,0.0129703,0,0,0.00433567,0,0.023258,0.00434488,0.0426061,0.00576681,0.0297897,0.0161672,0.00534606,0.0180654,0.00485584,0.00895195,0.00759227,0.0284859,0.00365512,0.00200319,0.00154738,0.0339899,0.0202303,0.0126008,0.0178537,0.00409953,0.033723,0.00900052,0.0235258,0.0150901,0.00452608,0,0,0.00771408,0,0.00482778,0.00474814,0.0505912,0.0230124,0.0276495,0.0143142,0.0056313,0.00759383,0.00540611,0.0285015,0.00708633,0.00833139,0.0099853,0.0108191,0.00895822,0.0312866,0.00492637,0.00648845,0.00456297,0.00719248,0.00502851,0,0,0,0,0,0,0,0,0,0
32,0.00515571,0.00737845,0,0,0,0,0,0.0175157,0.0157849,0.00848578,0.0129699,0,0,0.00429294,0,0.0235301,0.00434264,0.0425844,0.005839,0.0301228,0.0169778,0.0051406,0.0183464,0.00468726,0.00848031,0.00726395,0.0284015,0.0026069,0.00208494,0.00178066,0.0340736,0.0218504,0.0127851,0.0179685,0.00405214,0.0354387,0.00887998,0.0243151,0.0146304,0.00545012,0,0,0.00888644,0,0.00484497,0.0049316,0.0507669,0.0236388,0.0279305,0.0146977,0.00537146,0.00694253,0.00503754,0.0286953,0.00711525,0.00783376,0.00957365,0.0108993,0.00901317,0.0330545,0.00471821,0.0065952,0.00480153,0.00730436,0.00596867,0,0,0,0,0,0,0,0,0,0
33,0.00623646,0.00756724,0,0,0,0,0,0.0184811,0.0157252,0.00882709,0.0130924,0,0,0.00420145,0,0.0236787,0.00432719,0.0426134,0.00610374,0.0304602,0.0179266,0.00513095,0.0185168,0.00464001,0.0081857,0.00682758,0.028293,0.0024173,0.00208682,0.00186804,0.0342006,0.0232883,0.0127903,0.0180496,0.00402638,0.0372146,0.00872006,0.0251023,0.0143238,0.00672081,0,0,0.0100275,0,0.00493792,0.00511936,0.0509518,0.0242747,0.0282402,0.0151976,0.00514952,0.00641692,0.00459672,0.0289626,0.00723607,0.00739481,0.00934451,0.0109731,0.00911714,0.0348872,0.00470768,0.00690296,0.00499848,0.00740356,0.00715101,0,0,0,0,0,0,0,0,0,0
34,0.00762921,0.00777077,0,0,0,0,0,0.01941,0.0156605,0.00910549,0.0132269,0,0,0.00409105,0,0.0238211,0.00433632,0.0427321,0.0064648,0.0308062,0.0186129,0.00534056,0.0186427,0.00468005,0.00802955,0.0062592,0.0281941,0.00232615,0.0022099,0.00185503,0.0343416,0.0246364,0.0127643,0.018133,0.00400035,0.0390758,0.00852372,0.0259142,0.0141606,0.00818773,0,0,0.011077,0,0.00498691,0.00534237,0.0511675,0.0250596,0.0286162,0.0157261,0.0049772,0.00588389,0.00436691,0.0291702,0.00765456,0.00716289,0.00916916,0.0110514,0.00923722,0.0368032,0.00484326,0.00714426,0.00524245,0.00748919,0.00849295,0,0,0,0,0,0,0,0,0,0
35,0.00922686,0.00802406,0,0,0,0,0,0.0201944,0.0155769,0.00925786,0.0134095,0,0,0.00403854,0,0.0240271,0.0043454,0.0429193,0.00680005,0.0311622,0.0189643,0.00574469,0.0187529,0.00480871,0.00792211,0.00563316,0.0281781,0.00230462,0.00224705,0.00178385,0.0344767,0.0257816,0.0128074,0.0182287,0.00400592,0.0407367,0.00832567,0.0267005,0.0141309,0.00975589,0,0,0.0120806,0,0.00505865,0.00538227,0.0513565,0.02582,0.0289916,0.0163452,0.00513357,0.00541931,0.00430079,0.0293891,0.00826658,0.00717627,0.00907882,0.0111425,0.00936812,0.0386266,0.00503238,0.00745968,0.00539443,0.00756885,0.00993618,0,0,0,0,0,0,0,0,0,0
