Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTIBA,IMUR_B
1517,0.0304304,0.0167469,0,0,0,0,0,0.0149964,0.0240185,0.00535358,0.0170676,0,0,0.0131865,0,0.0225366,0.0104293,0.0413493,0.0173192,0.0294741,0.0193452,0.00436288,0.0211889,0.0147651,0.0186898,0.0139667,0.03677,0.010604,0.011538,0.00929698,0.0372852,0.019758,0.0200058,0.0129736,0.00556506,0.0243218,0.01869,0.0147212,0.0201957,0.025855,0,0,0.021183,0,0.0213162,0.0114225,0.0446699,0.0134078,0.0316776,0.0115311,0.00370662,0.0091372,0,0.0377489,0.0127142,0.00925445,0.00242734,0.00758738,0.0062258,0.0237427,0.0109385,0.0165959,0.0158541,0.0135227,0.0257535,0,0,0,0,0,0,0,0,0.0401162,0
1518,0.0296249,0.0161992,0,0,0,0,0,0.0151604,0.0236329,0.00551322,0.0164442,0,0,0.0129769,0,0.0226166,0.0102105,0.0412869,0.0173652,0.0298765,0.0189788,0.00530163,0.0214851,0.0147772,0.0185104,0.0139688,0.036919,0.0106768,0.0116216,0.00938612,0.0373834,0.0200252,0.0200473,0.0129883,0.00547286,0.0235653,0.0181554,0.0143676,0.0195983,0.0253032,0,0,0.0209394,0,0.0205719,0.0108772,0.0449723,0.0132797,0.0320763,0.0111478,0.00406029,0.00905359,0,0.037708,0.0129642,0.00919178,0.00220256,0.00727667,0.00591684,0.0229129,0.0109033,0.0157741,0.0159072,0.0128794,0.0252922,0,0,0,0,0,0,0,0,0.039846,0
1519,0.0288824,0.0157944,0,0,0,0,0,0.0155111,0.0232948,0.00563375,0.0156527,0,0,0.0124476,0,0.022715,0.00985933,0.0413541,0.0174317,0.0300503,0.0185353,0.0064273,0.0214992,0.014828,0.0183186,0.0136879,0.0370298,0.0107324,0.0117869,0.00943271,0.0374908,0.0205455,0.0197989,0.0130023,0.00555684,0.0227682,0.0176048,0.0140687,0.018969,0.0247371,0,0,0.0207856,0,0.0195805,0.0104198,0.0452616,0.0132911,0.0324099,0.0107699,0.00479782,0.00908843,0,0.0377964,0.0133443,0.0091612,0.0020005,0.00685763,0.0054683,0.0219612,0.0109659,0.0153867,0.0160249,0.012355,0.0247977,0,0,0,0,0,0,0,0,0.0395526,0
1520,0.0282068,0.0154369,0,0,0,0,0,0.0156482,0.0229706,0.00571616,0.0148954,0,0,0.0117759,0,0.0227703,0.00943359,0.0413953,0.017497,0.030385,0.018001,0.0076338,0.0213633,0.0148964,0.0179729,0.0130696,0.0371433,0.0108387,0.0119697,0.00952552,0.0375573,0.0208143,0.0193582,0.0130133,0.00572915,0.0221845,0.0170409,0.013953,0.0184921,0.0241425,0,0,0.0206977,0,0.0184109,0.0101481,0.04539,0.0134375,0.0325813,0.0103015,0.00585028,0.00928234,0.0129644,0.037991,0.0137503,0.00908553,0.00158777,0.00663929,0.00526219,0.021236,0.0111026,0.0151742,0.0161678,0.0119352,0.0242877,0,0,0,0,0,0,0,0,0.0392301,0
1521,0.0274012,0.0151102,0,0,0,0,0,0.0160201,0.0226552,0.00569693,0.0141614,0,0,0.0110602,0,0.0228365,0.00892753,0.0415579,0.017534,0.0303481,0.0173556,0.00878158,0.0211778,0.0150132,0.0177366,0.0128014,0.0373101,0.010884,0.0121878,0.00956887,0.037599,0.0214294,0.018819,0.0130367,0.00564222,0.0212135,0.0165589,0.0136304,0.0178338,0.023517,0,0,0.0204877,0,0.0173125,0.00977929,0.0455803,0.0132897,0.0329254,0.00981393,0.00671094,0.00948076,0.0126071,0.038029,0.0140568,0.00911039,0.00119428,0.0064555,0.00527416,0.0201133,0.011264,0.014994,0.0162455,0.0116259,0.0237063,0,0,0,0,0,0,0,0,0.0388415,0
1522,0.0258948,0.014026,0,0,0,0,0,0.0160795,0.0226184,0.00574259,0.0137506,0,0,0.00899552,0,0.0232156,0.00774866,0.0418489,0.0174074,0.0300736,0.0163323,0.00934623,0.0196723,0.0151047,0.0173929,0.0126931,0.0375023,0.0108117,0.0123207,0.00948109,0.0375623,0.0218694,0.0164999,0.0132426,0.00572306,0.0203195,0.0161634,0.013236,0.0174428,0.0223874,0,0,0.0198751,0,0.0163924,0.00965766,0.0457374,0.0127986,0.0331815,0.00928875,0.00724669,0.00961669,0.0125355,0.0379363,0.014557,0.00925674,0.000986416,0.00615471,0.00513089,0.0189859,0.011235,0.0150715,0.0163354,0.0109671,0.0226547,0,0,0,0,0,0,0,0,0.0384368,0
1523,0.0256687,0.0144163,0,0,0,0,0,0.016762,0.0219484,0.00596996,0.0128741,0,0,0.00996925,0,0.0232452,0.00817413,0.0418148,0.0175769,0.0303135,0.0161822,0.0106096,0.0207069,0.0152446,0.017047,0.0127503,0.0379582,0.0110967,0.0126143,0.00971045,0.037617,0.0225148,0.0176849,0.0132221,0.00544274,0.0187121,0.015912,0.012285,0.016463,0.0222583,0,0,0.01971,0,0.0154904,0.00936948,0.0460925,0.0121363,0.0335583,0.00890422,0.00838263,0.00998484,0.0126895,0.0378275,0.0148473,0.0095717,0.0010064,0.00610387,0.00535559,0.0175043,0.0115419,0.014785,0.0163406,0.0112475,0.0225178,0,0,0,0,0,0,0,0,0.0380961,0
1524,0.024669,0.0139339,0,0,0,0,0,0.0170776,0.0215858,0.00598123,0.0124323,0,0,0.00963305,0,0.0235554,0.00791703,0.0417203,0.0174939,0.030547,0.0157187,0.011129,0.020684,0.0150392,0.0165112,0.0127692,0.0384767,0.0112212,0.0127733,0.00979714,0.0375584,0.0229185,0.0172275,0.0133554,0.00545247,0.0175173,0.0156393,0.0115725,0.015973,0.0214659,0,0,0.0193269,0,0.0151006,0.00925629,0.0465224,0.0114499,0.0338267,0.00849487,0.00906127,0.0100436,0.0128561,0.0378208,0.01498,0.00981631,0.00102427,0.00593707,0.00533171,0.016297,0.0115836,0.014308,0.0161266,0.0109251,0.021793,0,0,0,0,0,0,0,0,0.0378502,0
1525,0.0236585,0.0134338,0,0,0,0,0,0.017344,0.0212727,0.00593036,0.012117,0,0,0.00941128,0,0.0238839,0.0076952,0.0414991,0.0173263,0.0307795,0.0152208,0.0113777,0.0205329,0.0146003,0.0160535,0.0128103,0.0390249,0.0112327,0.0128921,0.00979422,0.0374893,0.0233083,0.0168168,0.013522,0.00560922,0.0162817,0.0153896,0.0108669,0.0156394,0.0205949,0,0,0.0188807,0,0.0147938,0.00947373,0.046922,0.0107536,0.0340528,0.00804925,0.00956446,0.00993081,0.0128667,0.0377636,0.014595,0.00991166,0.00112629,0.00592217,0.00534648,0.0150498,0.0115507,0.0137745,0.0160337,0.0104839,0.0210124,0,0,0,0,0,0,0,0,0.0376926,0
1526,0.022721,0.0130315,0,0,0,0,0,0.017484,0.0210183,0.00592347,0.0117386,0,0,0.00933867,0,0.0242621,0.00754746,0.0412016,0.0171121,0.0309471,0.0147589,0.0116377,0.0201557,0.0145379,0.0156052,0.0128367,0.0393771,0.0111802,0.0129639,0.00976118,0.0374042,0.0235416,0.0164467,0.0137175,0.00576344,0.0153519,0.0152386,0.0103836,0.0152039,0.0198479,0,0,0.0184112,0,0.0146437,0.00959157,0.0473329,0.0105104,0.0341166,0.00749588,0.009928,0.00973871,0.0127861,0.0378509,0.0146315,0.0100758,0.00103168,0.00567533,0.00504924,0.0140668,0.0115038,0.013345,0.0159806,0.0101051,0.0202913,0,0,0,0,0,0,0,0,0.0375196,0
