Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B,
1935,0.0216866,0.0127756,0,0,0,0,0,0.0175494,0.0227479,0.0103015,0.0125645,0,0,0.0218125,0,0.0204127,0.0121616,0.041896,0.0107153,0.0294732,0.0144604,0.00563451,0.019203,0.00255793,0.00248454,0.00373634,0.026846,0.00801523,0.00987898,0.00519951,0.0374902,0.0188709,0.0236322,0.0124071,0.00571741,0.0295159,0.0138976,0.0176585,0.0127927,0.0209245,0,0,0.0132501,0,0.0163028,0.00559519,0.043461,0.016812,0.0327249,0.0162502,0.000931427,0.0173281,0.00894898,0.0309357,0.00484438,0.00314018,0.00236018,0.0393545,0.00799009,0.00778793,0.0287651,0.007197,0.00733326,0.0063833,0.00988769,0.0179668,0,0,0,0,0,0,0,0,0,0
1936,0.0218667,0.0129947,0,0,0,0,0,0.0184703,0.0228475,0.0105814,0.0123518,0,0,0.0219125,0,0.0203589,0.0121924,0.0417452,0.0107634,0.0302332,0.0146157,0.00584003,0.0192564,0.00233075,0.00249964,0.00379082,0.0273385,0.00782943,0.00994687,0.00515318,0.0373732,0.0200026,0.0237581,0.0123313,0.00567564,0.0293438,0.0140176,0.0176381,0.0131476,0.0210824,0,0,0.013306,0,0.0165577,0.00583526,0.0434416,0.0166611,0.0325447,0.0163603,0.00171151,0.0172455,0.00928917,0.0311597,0.00498709,0.00332466,0.00207473,0.0394137,0.00781782,0.00741495,0.0285081,0.00724631,0.00723997,0.00624904,0.0101001,0.0180373,0,0,0,0,0,0,0,0,0,0
1937,0.0219676,0.0129868,0,0,0,0,0,0.0190799,0.0228855,0.0107074,0.0126308,0,0,0.0221558,0,0.0202877,0.0120928,0.041523,0.0106995,0.0307661,0.0146757,0.00576966,0.019346,0.00237212,0.00235714,0.00382362,0.0274753,0.00774162,0.00995888,0.00512279,0.0372859,0.0208013,0.0240342,0.0122786,0.00566184,0.0293906,0.0140017,0.0177227,0.0134991,0.0210931,0,0,0.0132668,0,0.0165477,0.0059003,0.0435582,0.016593,0.0327122,0.0163908,0.0019626,0.0172258,0.00949393,0.0312217,0.00498639,0.00333395,0.00202485,0.0395133,0.00782075,0.00731743,0.0284693,0.00712428,0.00725153,0.00623098,0.0100621,0.0180491,0,0,0,0,0,0,0,0,0,0
1938,0.021821,0.0125722,0,0,0,0,0,0.0192349,0.0228134,0.0106541,0.0136843,0,0,0.0226089,0,0.0201948,0.0120947,0.0413186,0.0105877,0.0310345,0.0146076,0.00499513,0.0196448,0.00289619,0.00215077,0.00386755,0.0271864,0.00789448,0.01002,0.00516093,0.0373018,0.0210317,0.0245984,0.0122546,0.00564219,0.0297671,0.0138032,0.0179335,0.0139489,0.020778,0,0,0.0129753,0,0.0162408,0.00579813,0.0437643,0.0167274,0.0331152,0.0162212,0.000690611,0.0173629,0.00949036,0.0310996,0.00474052,0.00308884,0.00229237,0.039641,0.00806458,0.00765139,0.0288911,0.00688184,0.00736349,0.00640611,0.00962522,0.0178077,0,0,0,0,0,0,0,0,0,0
1939,0.0220084,0.0125657,0,0,0,0,0,0.0194388,0.0228142,0.0106415,0.014403,0,0,0.0229427,0,0.0200945,0.0120914,0.041279,0.0104336,0.0311247,0.0145723,0.00455006,0.0196463,0.00392245,0.00200546,0.00379718,0.0270492,0.00796498,0.0100338,0.00515734,0.0373263,0.0213091,0.0249011,0.0122359,0.00567874,0.0298473,0.0136968,0.0180278,0.0144169,0.0207842,0,0,0.0126316,0,0.0160285,0.00560026,0.0437174,0.0168115,0.0331692,0.0160752,0.000770326,0.0174983,0,0.0311341,0.00447526,0.00292696,0.0025279,0.0397679,0.00826637,0.00792115,0.0290004,0.00672614,0.00738189,0.00654128,0.00959993,0.0178486,0,0,0,0,0,0,0,0,0,0
1940,0.0221521,0.0127301,0,0,0,0,0,0.0194704,0.0228454,0.0105606,0.0146721,0,0,0.0231992,0,0.0199918,0.0120298,0.0412795,0.0101401,0.0311174,0.0146342,0.00443996,0.0196137,0.00456792,0.00187816,0.00367306,0.027068,0.00787069,0.00992048,0.00506321,0.0373031,0.0214187,0.0250933,0.0122181,0.00559855,0.029861,0.0136457,0.018062,0.0146096,0.0208733,0,0,0.0124399,0,0.0158368,0.00550093,0.0437059,0.0167622,0.0332119,0.0160971,0.000729924,0.0175145,0.00946104,0.0310824,0.00451344,0.00303379,0.0023413,0.0398229,0.00811842,0.00757547,0.0290124,0.00662695,0.00754524,0.00665733,0.00978366,0.0179054,0,0,0,0,0,0,0,0,0,0
1941,0.0223757,0.0129505,0,0,0,0,0,0.0195923,0.0228989,0.010495,0.0148406,0,0,0.0233251,0,0.0198882,0.0119355,0.0412606,0.00982998,0.0310922,0.0146925,0.00450462,0.0193787,0.00464372,0.00182213,0.00357138,0.0271495,0.00774048,0.00981206,0.00495596,0.0372485,0.0216318,0.0251018,0.0121765,0.0055534,0.029858,0.0136498,0.0180534,0.0147099,0.021058,0,0,0.0123478,0,0.0157488,0.0054287,0.0436768,0.0167339,0.0332096,0.0160969,0.000702061,0.0175378,0.00957786,0.0310555,0.00454218,0.00313908,0.00222948,0.0398978,0.00801984,0.00718626,0.0290263,0.00659146,0.00762245,0.00669076,0.00999273,0.0180728,0,0,0,0,0,0,0,0,0,0
1942,0.0226354,0.0131295,0,0,0,0,0,0.0196448,0.0229543,0.0104087,0.0150339,0,0,0.0233914,0,0.019784,0.0117575,0.0412801,0.00955266,0.0310002,0.0147453,0.00460371,0.0190558,0.00450988,0.00185251,0.00348165,0.0271856,0.00769838,0.00972676,0.00487582,0.0371936,0.0217373,0.0249806,0.0121604,0.00555114,0.0298885,0.0136953,0.0180012,0.0147599,0.0212318,0,0,0.0122874,0,0.0157932,0.00548329,0.0436169,0.0166171,0.0332596,0.0160773,0.000811622,0.0175253,0.0096798,0.0310808,0.00455082,0.00323819,0.00214926,0.0399487,0.0079461,0.0069435,0.0290436,0.00657349,0.00756406,0.00664778,0.0101305,0.0182696,0,0,0,0,0,0,0,0,0,0
1943,0.0331935,0.0255977,0,0,0,0,0,0.020287,0.0261101,0.00960962,0.00977803,0,0,0.0169838,0,0.0187469,0.0101226,0.0383609,0.00845706,0.0245297,0.0158394,0.0256814,0.0129571,0.00588726,0.00355703,0.00424346,0.0271669,0.00654514,0.00898351,0.00405331,0.0362189,0.0230896,0.0177908,0.0114056,0.00762205,0.0285872,0.0203859,0.0190522,0.0232991,0.0343948,0,0,0.0184321,0,0.0239596,0.00620883,0.0486164,0.0177837,0,0.0164742,0.0346571,0.0188217,0.0112967,0.0353692,0.00569941,0.00304815,0.00584241,0.0405291,0.00605495,0.00498202,0.0266862,0.0140818,0.00440566,0.00359543,0.0228031,0.0297369,0,0,0,0,0,0,0,0,0,0
1944,0.0332271,0.0255187,0,0,0,0,0,0.0203758,0.0262626,0.0095868,0.00972204,0,0,0.0167789,0,0.0188792,0.0097469,0.0384516,0.00822589,0.0245045,0.015866,0.0257317,0.0114995,0.00543646,0.00371304,0.00419252,0.0271944,0.0064922,0.00895255,0.00400559,0.0361791,0.0232048,0.016853,0.0114604,0.00780528,0.0284808,0.0204639,0.0190186,0.0229719,0.0344208,0,0,0.018443,0,0.0241332,0.00634392,0.0485921,0.0176467,0,0.0165124,0.0345217,0.0188447,0,0.03535,0.00545311,0.00295976,0.00562971,0.0405141,0.00604659,0.00491184,0.0265021,0.0140504,0.00455861,0.00356205,0.0227406,0.0297191,0,0,0,0,0,0,0,0,0,0
