Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LASI,RASI
All Timesteps RMSE,0,0,0,0,0,0,0.0348702,0.0369239,0,0,0,0.0177504,0.0188455,0.0107456,0,0,0.0172737,0,0.0311706,0.0156807,0.0649768,0.020894,0.047336,0.0275623,0.0200352,0.0203831,0.011927,0.0162688,0.00996672,0.0385168,0.0133414,0.0152178,0.0114171,0.0274406,0.0236685,0.0196318,0.0234339,0.0136698,0.0165058,0.0382586,0.0133069,0.049156,0,0,0.113087,0,0.0467073,0.0622482,0.0498448,0.0171146,0.0362852,0.026362,0.0170106,0.0822762,0.0138665,0.0278132,0.0148055,0.0160366,0.0155348,0.0208418,0.0120038,0.0143185,0.0157578,0.083544,0.034956,0.0664824,0.0393154,0.0409067,0,0,0,0.0214719,0.0191162
0,0,0,0,0,0,0,0.0421909,0.0319763,0,0,0,0.0510011,0.024118,0.0236899,0,0,0.116657,0,0.0286905,0.0722308,0.045953,0.0114876,0.0419847,0.0527363,0.00644621,0.0349646,0.0235479,0.0353117,0.0171138,0.0356874,0.0215361,0.0289378,0.0208675,0.0286315,0.0593845,0.0933373,0.0301387,0.0254748,0.0225564,0.0402854,0.0184512,0.0474404,0,0,0.145482,0,0.0755895,0.0839262,0.0355119,0.0236624,0.0299049,0.032921,0.00863703,0.0275853,0.018266,0.0255406,0.0186274,0.0245216,0.0232283,0.0342316,0.0176006,0.0204464,0.0200021,0.0887855,0.023989,0.0714618,0.0288822,0.0577906,0,0,0,0,0
1,0,0,0,0,0,0,0.040316,0.0299997,0,0,0,0.0499302,0.0223924,0.0231158,0,0,0.106144,0,0.0268812,0.0652803,0.0461007,0.0115996,0.0421569,0.0520811,0.00679422,0.0306201,0.0233551,0.0348215,0.0168835,0.0356214,0.0213736,0.0287272,0.0206593,0.0285339,0.0584304,0.0847311,0.0270917,0.0218004,0.0223464,0.0400621,0.018218,0.0455317,0,0,0.145066,0,0.075733,0.0834419,0.0354428,0.0234518,0.0298859,0.0328783,0.00881664,0.0283534,0.0181684,0.0257234,0.0184821,0.0244579,0.023228,0.0341847,0.0176287,0.0205066,0.01983,0.0890547,0.0241132,0.07117,0.0268187,0.0550219,0,0,0,0,0
2,0,0,0,0,0,0,0.0406793,0.0303896,0,0,0,0.0499161,0.0224286,0.0231229,0,0,0.106299,0,0.0268416,0.0653645,0.0461705,0.0115545,0.042142,0.0519705,0.00691626,0.0308107,0.0233912,0.0349311,0.0168572,0.0356129,0.0213606,0.0287122,0.0206355,0.0285475,0.0584428,0.0848547,0.0271445,0.0219937,0.0223664,0.0400208,0.0181664,0.0458219,0,0,0.14505,0,0.0759814,0.0836822,0.0353953,0.0234021,0.0299853,0.0328877,0.00880767,0.028133,0.0180793,0.0257551,0.0183313,0.02442,0.0232369,0.0341644,0.0175932,0.0205598,0.0199136,0.0890011,0.0238948,0.0714344,0.0269783,0.0554278,0,0,0,0,0
3,0,0,0,0,0,0,0.0410854,0.0307743,0,0,0,0.0499066,0.0224567,0.0230884,0,0,0.10649,0,0.0268267,0.0655148,0.0462426,0.0115487,0.04209,0.0518232,0.00700093,0.0310762,0.0233841,0.0351107,0.016827,0.0356225,0.0213597,0.0287128,0.0206141,0.0285687,0.0584437,0.0850004,0.0271885,0.0218632,0.0224423,0.0399998,0.0181704,0.0461969,0,0,0.144959,0,0.0762109,0.0838456,0.0353247,0.0234018,0.0301055,0.0328923,0.00876403,0.0278727,0.0180004,0.0258763,0.0181982,0.0244073,0.0232989,0.0341807,0.0175811,0.0206459,0.0199982,0.0889587,0.023708,0.0716149,0.0271828,0.0559225,0,0,0,0,0
4,0,0,0,0,0,0,0.0415031,0.0311573,0,0,0,0.0499091,0.0224813,0.023132,0,0,0.10669,0,0.02681,0.0657555,0.0463452,0.0115211,0.0420159,0.051662,0.00699752,0.0314051,0.0233481,0.0351242,0.0168357,0.0356134,0.0213353,0.0287441,0.0205947,0.0285973,0.0584511,0.0851725,0.0272264,0.0217979,0.0225427,0.0400762,0.0181896,0.0465834,0,0,0.144768,0,0.0763611,0.0838005,0.0352501,0.0234192,0.030246,0.0328823,0.00870519,0.0276154,0.0179671,0.0259478,0.0181017,0.0244511,0.0234296,0.0342022,0.017587,0.0207615,0.0200998,0.0889622,0.0236208,0.0716285,0.0274785,0.056475,0,0,0,0,0
5,0,0,0,0,0,0,0.0419162,0.0314242,0,0,0,0.0497647,0.0224851,0.02293,0,0,0.106877,0,0.026741,0.0659797,0.0464547,0.011451,0.0419465,0.0514674,0.00694522,0.0317296,0.0233523,0.0351795,0.0168073,0.0355852,0.021269,0.0287026,0.0205638,0.0286501,0.0582563,0.0853286,0.0272447,0.0218322,0.0225746,0.0402569,0.0182073,0.0469322,0,0,0.144527,0,0.076427,0.0836345,0.0352206,0.0234522,0.0304031,0.0328238,0.00863498,0.027328,0.0178802,0.0258877,0.017996,0.0244734,0.0235303,0.0342374,0.0176301,0.0208749,0.0201589,0.0888066,0.023615,0.071513,0.0277778,0.0570254,0,0,0,0,0
6,0,0,0,0,0,0,0.0297458,0.0180143,0,0,0,0.0518264,0.0253576,0.0245022,0,0,0.0255808,0,0.0111513,0.0135049,0.0468123,0.0114583,0.0433587,0.0520464,0.00722068,0.00905637,0.0234306,0.0358731,0.017292,0.0356942,0.0217507,0.0293738,0.0213215,0.028722,0.0601447,0.0238168,0.0114733,0.0138704,0.021319,0.0433423,0.0168912,0.0351768,0,0,0.129669,0,0.0587586,0.0630561,0.0355939,0.0221979,0.0322418,0.0331984,0.00749768,0.030768,0.0182385,0.0268094,0.0185441,0.0247218,0.023565,0.0342464,0.0176263,0.0210979,0.0190058,0.0823502,0.0475664,0.0461649,0.0153566,0.0391264,0,0,0,0,0
7,0,0,0,0,0,0,0.0301653,0.018429,0,0,0,0.0513435,0.0252215,0.0243367,0,0,0.0260411,0,0.0111807,0.0141379,0.0467415,0.0111815,0.0433896,0.0519013,0.00727827,0.0093288,0.0232923,0.0356153,0.0172843,0.035672,0.0216063,0.0290945,0.0212147,0.0286911,0.0596482,0.0240364,0.0116223,0.0136383,0.021256,0.0433386,0.0166686,0.0355906,0,0,0.129403,0,0.0588352,0.0631643,0.0356823,0.0220837,0.0320635,0.0333626,0.00733085,0.030342,0.0183789,0.0267959,0.0186416,0.0248429,0.0233039,0.0340171,0.0173785,0.020828,0.0188882,0.0818776,0.0474945,0.0461497,0.0160072,0.0398312,0,0,0,0,0
8,0,0,0,0,0,0,0.0305355,0.018764,0,0,0,0.0514818,0.0250705,0.0246228,0,0,0.0265786,0,0.0112187,0.0147268,0.0466533,0.0109521,0.0434068,0.0520536,0.00731457,0.00972347,0.0233081,0.035538,0.0174136,0.0356791,0.021592,0.0292327,0.0212218,0.028597,0.0596996,0.0243214,0.0117839,0.0134325,0.0211809,0.0433362,0.0165625,0.0359354,0,0,0.129146,0,0.0589338,0.0631888,0.0357343,0.0219327,0.0318772,0.0335435,0.00726534,0.0299637,0.0185335,0.0267814,0.0187641,0.0249704,0.0230794,0.0338054,0.0171712,0.0205965,0.0188085,0.0815302,0.0473281,0.0462522,0.0166265,0.0404949,0,0,0,0,0
9,0,0,0,0,0,0,0.0308627,0.0190675,0,0,0,0.0515658,0.0249309,0.0247528,0,0,0.0271368,0,0.0113204,0.0152515,0.0465808,0.0107507,0.0434458,0.0521508,0.00733714,0.0101535,0.0233228,0.0353047,0.0175163,0.0356777,0.0215823,0.0293416,0.0212082,0.0285335,0.059706,0.0245953,0.0119553,0.0132479,0.0211551,0.0433381,0.0165086,0.036268,0,0,0.128893,0,0.0590233,0.06324,0.0357716,0.0218248,0.0317265,0.033609,0.00721496,0.0296084,0.018664,0.0267737,0.0188866,0.0250694,0.0228929,0.0336281,0.016996,0.0204071,0.0187822,0.08126,0.0472178,0.0463871,0.0172208,0.0411153,0,0,0,0,0
10,0,0,0,0,0,0,0.0312355,0.0194551,0,0,0,0.0515922,0.0248084,0.0247948,0,0,0.0276604,0,0.0113834,0.0157411,0.046545,0.0106133,0.0434968,0.0522538,0.00734977,0.0105666,0.0233461,0.0352487,0.0176017,0.0356992,0.0215918,0.0293988,0.0211958,0.028477,0.0596991,0.0248388,0.0120879,0.0130361,0.0211638,0.0433567,0.0164511,0.0366513,0,0,0.128611,0,0.0590645,0.0631239,0.0357864,0.021741,0.0316377,0.0336531,0.007152,0.0292624,0.0187648,0.0268158,0.0189745,0.025156,0.0227469,0.0334945,0.0168461,0.0202752,0.0188178,0.0809784,0.0472105,0.0463083,0.0178118,0.041728,0,0,0,0,0
11,0,0,0,0,0,0,0.0316483,0.0199201,0,0,0,0.0515532,0.0246731,0.0247957,0,0,0.0281111,0,0.0113918,0.0162046,0.0465418,0.0105495,0.0435165,0.0522834,0.00737762,0.0109676,0.0233606,0.0355431,0.0176419,0.0357087,0.0216144,0.0294159,0.0211952,0.0284393,0.059702,0.0250405,0.0121975,0.0128496,0.0211781,0.0433599,0.0163935,0.0370485,0,0,0.1283,0,0.059097,0.0627358,0.035795,0.0216984,0.0315844,0.0337257,0.00710854,0.0289596,0.0188293,0.0268835,0.0190179,0.02524,0.0226276,0.0334017,0.016706,0.0201668,0.0188918,0.0807228,0.0473128,0.0461638,0.0183572,0.0423152,0,0,0,0,0
12,0,0,0,0,0,0,0.0320999,0.0205448,0,0,0,0.0515118,0.0246058,0.0247825,0,0,0.0285628,0,0.0114216,0.0166485,0.0465539,0.0104722,0.0435038,0.0522522,0.00737602,0.0113904,0.0233896,0.035668,0.017672,0.0357015,0.0215905,0.0294124,0.0211599,0.0284046,0.0598065,0.0252568,0.0122981,0.0127759,0.0212472,0.0433871,0.016343,0.037455,0,0,0.127874,0,0.0591517,0.0624835,0.035784,0.0216678,0.0315311,0.0337483,0.0071114,0.0285762,0.0188903,0.0269613,0.0190508,0.0253022,0.0225295,0.0333393,0.0165671,0.0200661,0.019054,0.0804355,0.0474254,0.0460462,0.0189257,0.0429491,0,0,0,0,0
13,0,0,0,0,0,0,0.0325577,0.0212898,0,0,0,0.0515469,0.0245679,0.0247547,0,0,0.0290284,0,0.0114754,0.0170914,0.046554,0.0104419,0.043496,0.0522303,0.00732852,0.0118116,0.0234025,0.0356789,0.0176983,0.03569,0.0215885,0.0294645,0.0211595,0.0283849,0.0598916,0.0254848,0.0123752,0.0127266,0.0213952,0.0434287,0.0163202,0.0378436,0,0,0.127376,0,0.0592258,0.0623645,0.0357909,0.021712,0.0314837,0.0337449,0.00712295,0.0281141,0.0189295,0.0270362,0.0191043,0.0253172,0.0224322,0.0333167,0.0164236,0.0199802,0.0192828,0.0800932,0.0475311,0.04591,0.0195035,0.0435745,0,0,0,0,0
14,0,0,0,0,0,0,0.0330393,0.0221236,0,0,0,0.05157,0.0244951,0.0246603,0,0,0.0294917,0,0.0115229,0.0175084,0.0465577,0.0104647,0.0434786,0.0521764,0.00721503,0.0122131,0.0233831,0.035641,0.0177141,0.0356776,0.0216023,0.029523,0.0211655,0.0283876,0.0598475,0.0256712,0.0124516,0.0126881,0.0214876,0.0434749,0.01625,0.0382404,0,0,0.12689,0,0.0592811,0.0623007,0.0358431,0.0216831,0.0314383,0.0336826,0.00706469,0.0275562,0.0189412,0.0270858,0.0191518,0.0253498,0.0224342,0.0332776,0.0163563,0.0199784,0.0194645,0.0797051,0.0476287,0.0457143,0.02013,0.0442739,0,0,0,0,0
15,0,0,0,0,0,0,0.0336209,0.0230297,0,0,0,0.0516206,0.0243706,0.0246896,0,0,0.0300649,0,0.0115799,0.0179598,0.0466114,0.0105491,0.0434225,0.0520857,0.00704798,0.0126757,0.0233812,0.0356683,0.0177118,0.0356786,0.0216639,0.0296428,0.0212069,0.0284021,0.0598228,0.0258957,0.0125578,0.012688,0.0214966,0.0435431,0.016159,0.038709,0,0,0.12641,0,0.0593192,0.0623147,0.0358891,0.0215938,0.0314233,0.0336396,0.007002,0.0269424,0.0188973,0.0270936,0.0191688,0.0253745,0.022593,0.0332473,0.0163784,0.0200804,0.019601,0.0793876,0.047697,0.0454733,0.0208428,0.0451349,0,0,0,0,0
16,0,0,0,0,0,0,0.0343208,0.023933,0,0,0,0.0514889,0.0242383,0.0247099,0,0,0.0309506,0,0.0116661,0.0186108,0.0466934,0.0106338,0.0433172,0.0519462,0.00695885,0.0133992,0.0233248,0.0356464,0.0176742,0.0356675,0.021649,0.0296546,0.021197,0.028422,0.0597743,0.0262697,0.012694,0.0126538,0.0215189,0.0436278,0.0161298,0.0392829,0,0,0.12627,0,0.059286,0.062455,0.0359186,0.0215558,0.0314643,0.0335977,0.0069324,0.0266069,0.0188236,0.0271192,0.0191039,0.0253582,0.0227767,0.0332757,0.0164258,0.0202011,0.0197471,0.0794011,0.047726,0.0453943,0.0215884,0.0461181,0,0,0,0,0
17,0,0,0,0,0,0,0.035334,0.0245788,0,0,0,0.0512209,0.0240637,0.0246031,0,0,0.0325842,0,0.0118236,0.0198608,0.0466936,0.010852,0.0432532,0.0517634,0.00735047,0.0150881,0.0232262,0.0354186,0.017557,0.0356606,0.021646,0.0295922,0.0212214,0.028411,0.0595347,0.0268365,0.0129188,0.0123286,0.0215413,0.0438113,0.0161872,0.0400264,0,0,0.127538,0,0.0588298,0.0629464,0.0359346,0.0215566,0.0316892,0.0335126,0.00703888,0.0274938,0.0187334,0.0270745,0.0189603,0.0252973,0.022823,0.0333297,0.0164963,0.0203067,0.0198647,0.0803526,0.0477548,0.0454657,0.0221204,0.0475283,0,0,0,0,0
18,0,0,0,0,0,0,0.0353451,0.0234379,0,0,0,0.0506058,0.0238121,0.0243156,0,0,0.0330511,0,0.0115998,0.0206272,0.046545,0.0106472,0.0428099,0.0514946,0.00794406,0.0171084,0.0232678,0.0349851,0.0174571,0.0356463,0.0214297,0.0292743,0.0210923,0.0285587,0.0587693,0.026214,0.0135044,0.0117795,0.0215864,0.0440877,0.016301,0.0395551,0,0,0.132395,0,0.0577151,0.0648014,0.0358648,0.021604,0.0316716,0.0334793,0.00739246,0.031947,0.0188146,0.0266786,0.0189222,0.0253071,0.0227561,0.0334061,0.0165097,0.0202291,0.0199232,0.0842029,0.0468566,0.0464423,0.0213809,0.0475379,0,0,0,0,0
19,0,0,0,0,0,0,0.033056,0.015748,0,0,0,0.0482106,0.0220005,0.0225985,0,0,0.0340299,0,0.0135731,0.0216096,0.0456534,0.0119178,0.0427898,0.0505894,0.011221,0.0202114,0.0227078,0.0339471,0.0162656,0.0353371,0.0214436,0.0286347,0.0208409,0.0284504,0.0563508,0.0308005,0.0138672,0.0118971,0.0226584,0.0557957,0.0178388,0.0439768,0,0,0.100618,0,0.0564597,0.0403123,0.0359053,0.0230295,0.0318024,0.0323765,0.0100591,0.030995,0.0178448,0.0258065,0.017914,0.0245414,0.0228313,0.0335343,0.0167069,0.0199967,0.02062,0.0617041,0.0591503,0.0424335,0.0108824,0.043273,0,0,0,0,0
20,0,0,0,0,0,0,0.0333804,0.016949,0,0,0,0.0475283,0.0219639,0.0222521,0,0,0.034316,0,0.0136248,0.0218154,0.0456315,0.0118376,0.0426973,0.0501911,0.0110241,0.0202824,0.0224719,0.0336492,0.0161602,0.035322,0.0212717,0.0283872,0.020706,0.0284677,0.0555805,0.030915,0.0139121,0.0118945,0.0226384,0.0560213,0.0177832,0.0437673,0,0,0.0995557,0,0.056302,0.0397389,0.03594,0.0229704,0.0315174,0.0323632,0.00989708,0.0288196,0.0179529,0.0258711,0.0179861,0.0245392,0.0226232,0.0333845,0.0165174,0.019768,0.0205941,0.0604535,0.0590181,0.0421814,0.0124025,0.0438756,0,0,0,0,0
21,0,0,0,0,0,0,0.0338266,0.017794,0,0,0,0.0473084,0.0219032,0.0222071,0,0,0.0346353,0,0.0136983,0.0220337,0.0456222,0.0118519,0.042611,0.0500432,0.0108786,0.0202841,0.0224148,0.0335921,0.016143,0.0353491,0.0212516,0.0283338,0.0206896,0.0284093,0.0553394,0.0309038,0.0139505,0.0119344,0.022587,0.0562317,0.0176865,0.0437224,0,0,0.0985689,0,0.0562632,0.0394674,0.0359641,0.0228457,0.0312973,0.0323946,0.00975302,0.0271764,0.0180293,0.0258673,0.0180412,0.0245395,0.0224161,0.033226,0.0163315,0.0195685,0.0205495,0.0594234,0.0588367,0.042054,0.0135505,0.0445499,0,0,0,0,0
22,0,0,0,0,0,0,0.0341197,0.0184713,0,0,0,0.0473341,0.0218271,0.0223026,0,0,0.034708,0,0.0137391,0.0221218,0.0455996,0.0117216,0.0425541,0.0501615,0.0108993,0.0201697,0.0224311,0.0337204,0.0162018,0.0353382,0.0212374,0.0283277,0.0206551,0.0283582,0.0553709,0.0307976,0.0139768,0.0118727,0.0224874,0.0563323,0.0175505,0.0436452,0,0,0.0980118,0,0.0561826,0.0393968,0.0360075,0.0226706,0.0311711,0.0324614,0.00971826,0.0258493,0.0180455,0.0257909,0.0180478,0.0245043,0.0221747,0.0330396,0.016138,0.0193824,0.0204567,0.0588211,0.0586508,0.0419491,0.0144224,0.0450159,0,0,0,0,0
23,0,0,0,0,0,0,0.0345245,0.0194121,0,0,0,0.0473947,0.0217557,0.0223495,0,0,0.0348438,0,0.013814,0.0222371,0.0456116,0.0116237,0.0424958,0.0502548,0.010875,0.0201028,0.0224201,0.0339233,0.0162444,0.035315,0.0212424,0.0283569,0.0206511,0.0283153,0.0554285,0.0307376,0.0140014,0.0117894,0.022423,0.0564492,0.0174603,0.0435953,0,0,0.0974203,0,0.0560619,0.0392616,0.0360466,0.0225723,0.0310246,0.0324942,0.0096839,0.0241981,0.0180502,0.025787,0.0180635,0.0244619,0.0219342,0.032888,0.0159542,0.0191937,0.020422,0.0581203,0.0584739,0.0417398,0.0155061,0.045623,0,0,0,0,0
