Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LASI,RASI
All Timesteps RMSE,0,0,0,0,0,0,0.0328039,0.0224365,0,0,0,0.0162148,0.0169447,0.00675208,0,0,0.028651,0,0.0295299,0.00979652,0.0675551,0.0181258,0.0449022,0.0267383,0.0207951,0.0297553,0.0128423,0.0172774,0.00956731,0.0381589,0.0134901,0.0156697,0.0106521,0.0278253,0.023031,0.0280775,0.0213474,0.00819262,0.016854,0.015601,0.0119152,0.0392936,0,0,0.0477536,0,0.0142557,0.0307698,0.0513918,0.0152275,0.036028,0.0258543,0.0168653,0.0320145,0.0142415,0.0288612,0.0145903,0.0168599,0.0148839,0.0182765,0.0112716,0.0143276,0.0179049,0.027787,0.00940554,0.0357881,0.0196471,0.0414679,0,0,0,0.0240582,0.0210311
0,0,0,0,0,0,0,0.0344303,0.0205869,0,0,0,0.0208239,0.021257,0.00591892,0,0,0.00761743,0,0.0224824,0.00800554,0.0479177,0.0169994,0.0430178,0.0326728,0.0106067,0.011666,0.0153606,0.0214607,0.0113535,0.0317124,0.0131983,0.0166368,0.0109154,0.03028,0.0281202,0.00570562,0.0184137,0.010217,0.020884,0.0179495,0.0165504,0.0398303,0,0,0.0810251,0,0.0111419,0.0441631,0.0356146,0.0208226,0.0288852,0.0324313,0.00835463,0.0192106,0.0207089,0.0244617,0.0189426,0.0261328,0.0203556,0.0314061,0.0152945,0.0187464,0.0188595,0.0378763,0.0147479,0.0324565,0.0209369,0.0453945,0,0,0,0,0
1,0,0,0,0,0,0,0.0346092,0.0206481,0,0,0,0.0208229,0.0212412,0.00596294,0,0,0.00757615,0,0.0224791,0.00809808,0.0480092,0.0168868,0.0430105,0.0326886,0.0106427,0.0119378,0.0154535,0.0215898,0.0113966,0.0317249,0.0131709,0.0166225,0.0108952,0.0302857,0.0280314,0.00572054,0.0184134,0.0104509,0.0209109,0.0179883,0.016507,0.0400429,0,0,0.081063,0,0.0111834,0.0441773,0.0356056,0.0207692,0.0289157,0.0324231,0.0082541,0.0191195,0.0206368,0.0244845,0.0189084,0.0261243,0.0204195,0.0314344,0.0153191,0.0188119,0.0189035,0.0378133,0.0148469,0.0324732,0.0210541,0.0456199,0,0,0,0,0
2,0,0,0,0,0,0,0.0347717,0.0206738,0,0,0,0.0208123,0.0212256,0.00599636,0,0,0.00755281,0,0.0224981,0.00813354,0.0480985,0.0167675,0.0429563,0.0327286,0.0105796,0.0121122,0.0155369,0.0217211,0.0114289,0.0317435,0.0131493,0.0166141,0.0108915,0.0302779,0.0279155,0.00574152,0.0184361,0.0104733,0.0209129,0.0180863,0.0164686,0.0402162,0,0,0.08103,0,0.0113112,0.0442037,0.035541,0.0206959,0.0289544,0.032359,0.00818446,0.0190249,0.0205765,0.024492,0.0188414,0.0260956,0.020485,0.0314431,0.0153431,0.0188942,0.0189602,0.0377635,0.0149858,0.032518,0.0211233,0.0458228,0,0,0,0,0
3,0,0,0,0,0,0,0.0348948,0.0206855,0,0,0,0.0208331,0.0212126,0.00604222,0,0,0.00751347,0,0.0225254,0.00813057,0.0481804,0.0166568,0.0429014,0.0327937,0.0104297,0.0122825,0.015597,0.0218528,0.0114667,0.0317571,0.0131449,0.0166255,0.0108954,0.0302735,0.0278152,0.00575658,0.0184612,0.0104346,0.0208982,0.0181395,0.0164214,0.0403729,0,0,0.0810264,0,0.0113539,0.0441882,0.0354567,0.0206033,0.0290028,0.0322869,0.00807525,0.0189109,0.0204822,0.0245087,0.018758,0.0260577,0.0205905,0.0314327,0.015386,0.0190309,0.0190535,0.037754,0.0150906,0.0325256,0.021155,0.0459931,0,0,0,0,0
4,0,0,0,0,0,0,0.034954,0.0206389,0,0,0,0.0209144,0.0212118,0.00608392,0,0,0.00742484,0,0.0225537,0.00809158,0.0482805,0.0165788,0.0428628,0.0328624,0.0102374,0.0124064,0.0156633,0.0219789,0.0115323,0.0318038,0.0131648,0.0166676,0.0109161,0.0302895,0.0278263,0.0057776,0.0184744,0.0103658,0.021002,0.0181808,0.0164592,0.0404833,0,0,0.0809581,0,0.0113434,0.0441332,0.0353791,0.0206295,0.0290825,0.0321888,0.0079545,0.0188411,0.020406,0.0245509,0.0186717,0.026055,0.0206799,0.0314839,0.0154084,0.0191368,0.0192627,0.037757,0.0151495,0.0324825,0.0211652,0.0460852,0,0,0,0,0
5,0,0,0,0,0,0,0.034944,0.0205218,0,0,0,0.0210085,0.0212103,0.00614847,0,0,0.00734442,0,0.0225789,0.00806997,0.0484179,0.0165983,0.0428364,0.0329145,0.0100439,0.0125005,0.0157349,0.022125,0.011589,0.0318788,0.0131878,0.0167304,0.010911,0.0303239,0.0279458,0.0058086,0.0184794,0.0103152,0.0211435,0.0182281,0.0164878,0.0405602,0,0,0.0808024,0,0.0113288,0.0440026,0.0353257,0.0206693,0.0292053,0.0321037,0.00780227,0.0187801,0.0203451,0.0246295,0.0185901,0.0260912,0.0207537,0.0315671,0.0154254,0.0192488,0.0195514,0.0376945,0.0151854,0.0324268,0.0211312,0.0460966,0,0,0,0,0
6,0,0,0,0,0,0,0.0349286,0.0204052,0,0,0,0.0210369,0.0211874,0.00618232,0,0,0.00724718,0,0.0226215,0.00809681,0.0485833,0.0167023,0.0428084,0.0329247,0.00988183,0.0125898,0.0158203,0.0222774,0.0116242,0.0319748,0.0131998,0.0167822,0.0108744,0.0303976,0.0281112,0.00581558,0.0184967,0.0103008,0.021236,0.01821,0.0164328,0.040636,0,0,0.0809576,0,0.0112721,0.0440629,0.0352525,0.0206297,0.0294056,0.0320344,0.00758842,0.0187087,0.0203077,0.0246987,0.0185449,0.0261061,0.0208881,0.0316373,0.0154769,0.0194272,0.0198804,0.0378207,0.0152182,0.0323946,0.0210876,0.0461251,0,0,0,0,0
7,0,0,0,0,0,0,0.0348974,0.0202733,0,0,0,0.0210534,0.0211451,0.00622439,0,0,0.00711906,0,0.0226816,0.00816868,0.0487844,0.0168974,0.042761,0.0328598,0.00966717,0.0126495,0.0159307,0.0224538,0.0116516,0.0320806,0.0132339,0.0168307,0.0108518,0.0304798,0.0283445,0.00580207,0.0185143,0.0103231,0.0213244,0.0181333,0.0163498,0.0406494,0,0,0.0810145,0,0.011117,0.0440547,0.0351472,0.0205605,0.0296518,0.0319799,0.00733981,0.0186993,0.02025,0.0247707,0.0184762,0.0260646,0.0210988,0.0317171,0.0155494,0.0196936,0.020258,0.0379174,0.0151682,0.0323522,0.0210593,0.0461284,0,0,0,0,0
8,0,0,0,0,0,0,0.0348422,0.0201162,0,0,0,0.0210717,0.0210998,0.00623478,0,0,0.00698338,0,0.0227698,0.00828693,0.0490445,0.0171187,0.0426474,0.0326896,0.00933486,0.012667,0.0160702,0.0226665,0.0116496,0.0321728,0.0133085,0.0169039,0.0108757,0.0305856,0.0284307,0.00580183,0.0185291,0.0103065,0.0215471,0.0180886,0.0163134,0.0405988,0,0,0.0809957,0,0.0110639,0.0440174,0.0350233,0.0205373,0.0299984,0.0319145,0.0069991,0.0186672,0.0201676,0.0248162,0.0183889,0.0260157,0.0214366,0.0318612,0.0156589,0.0200813,0.0208637,0.0379484,0.0151371,0.032343,0.0210279,0.0460926,0,0,0,0,0
