Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LASI,RASI
1665,0,0,0,0,0,0,0.052889,0.0286715,0,0,0,0.0155857,0.0138822,0.0100428,0,0,0.0298782,0,0.0335154,0.00929391,0.0833363,0.018652,0.0439932,0.0256311,0.0495436,0.029081,0.011343,0.0121304,0.00577196,0.0407517,0.0160745,0.0172301,0.0133499,0.0257538,0.0204634,0.025498,0.0230792,0.00507046,0.0203384,0.0123499,0.0178391,0.0597628,0,0,0.0266973,0,0.0173025,0.0216694,0.0610078,0.0225268,0.0389957,0.029571,0.0390365,0.0418826,0.0120598,0.0324619,0.0147804,0.0140849,0.0169911,0.0087855,0.0123482,0.0141431,0.0172705,0.0293825,0.00292858,0.0389037,0.0162451,0.0608255,0,0,0,0,0
1666,0,0,0,0,0,0,0.0530632,0.0291696,0,0,0,0.0151797,0.0138492,0.00991671,0,0,0.0303413,0,0.0335842,0.00974797,0.0833959,0.0185762,0.0440661,0.0256038,0.04939,0.0292632,0.0112723,0.0122443,0.00574923,0.040689,0.0159476,0.0170772,0.013278,0.0258404,0.0199118,0.0258366,0.0230992,0.00494334,0.0201064,0.0123224,0.0176669,0.0601554,0,0,0.026031,0,0.0171341,0.0211082,0.0610465,0.0223963,0.0388841,0.0293918,0.0388733,0.0422555,0.0119593,0.0324189,0.0146892,0.013907,0.0168711,0.00889438,0.0123004,0.0140221,0.0169887,0.0289992,0.00314741,0.0387735,0.0167031,0.0611444,0,0,0,0,0
1667,0,0,0,0,0,0,0.0530477,0.0292211,0,0,0,0.0148149,0.0138282,0.00972267,0,0,0.0310474,0,0.0336332,0.010464,0.0833856,0.0185511,0.0442776,0.0257173,0.0487081,0.0293651,0.0114002,0.0122895,0.00598334,0.0406483,0.0158364,0.0169491,0.0132323,0.0259778,0.0194987,0.0261245,0.023125,0.00479234,0.019693,0.0123656,0.0172703,0.0601861,0,0,0.0258331,0,0.0171001,0.0205253,0.061006,0.0220152,0.0389646,0.0293426,0.0383404,0.0419921,0.0120356,0.0324811,0.0145903,0.0138296,0.0166946,0.00900812,0.0122691,0.0139127,0.0165291,0.0284546,0.00332415,0.0387099,0.0166883,0.0613108,0,0,0,0,0
1668,0,0,0,0,0,0,0.0529869,0.029199,0,0,0,0.0144622,0.0137774,0.00954511,0,0,0.0317622,0,0.0336862,0.0111172,0.0833515,0.0185362,0.0444567,0.025807,0.0480932,0.0294958,0.0116044,0.0124193,0.00614456,0.0406306,0.0157203,0.0168255,0.0131724,0.0261206,0.0190651,0.026359,0.0231821,0.00461362,0.0191351,0.0123649,0.0167503,0.0601109,0,0,0.0255729,0,0.0169178,0.0201023,0.0609472,0.0214864,0.0389991,0.0293665,0.0378558,0.0416812,0.0121464,0.0323877,0.0146698,0.0138976,0.0165396,0.00912142,0.012228,0.0138159,0.0159093,0.0279968,0.00346506,0.0386168,0.0167018,0.0614288,0,0,0,0,0
1669,0,0,0,0,0,0,0.0528678,0.0291447,0,0,0,0.0141621,0.0136945,0.00937564,0,0,0.0323582,0,0.0337264,0.0116142,0.0832742,0.0184397,0.044607,0.0258466,0.0474208,0.0296229,0.01171,0.012603,0.00622457,0.0406418,0.0155973,0.016708,0.0131174,0.0262517,0.0186578,0.0265666,0.0232421,0.00440153,0.0188742,0.0122323,0.0165501,0.059887,0,0,0.0252699,0,0.0165749,0.0197924,0.0608798,0.0212729,0.0390355,0.0291785,0.0373461,0.0412017,0.0120701,0.0323008,0.0146142,0.0138122,0.0163195,0.00916085,0.0120787,0.0136037,0.0156241,0.02771,0.00359227,0.0384703,0.0167222,0.0614499,0,0,0,0,0
1670,0,0,0,0,0,0,0.052687,0.0290666,0,0,0,0.0139092,0.0136227,0.00920905,0,0,0.0328529,0,0.0337495,0.0120697,0.08321,0.0183629,0.0447376,0.0258633,0.0466582,0.0296825,0.0115421,0.0125494,0.0063777,0.0406328,0.0154932,0.0166117,0.0130706,0.0263533,0.0183354,0.0267086,0.0232863,0.00401037,0.0189239,0.0121763,0.0166894,0.0595562,0,0,0.0249339,0,0.016312,0.0193449,0.0607958,0.0214179,0.0390739,0.0288075,0.0367653,0.0405139,0.0119122,0.0322231,0.0144203,0.0135984,0.0160258,0.00914681,0.0118956,0.0133391,0.015679,0.0276121,0.00370373,0.0383652,0.0167134,0.0613683,0,0,0,0,0
1671,0,0,0,0,0,0,0.0524511,0.0289534,0,0,0,0.0137166,0.0136229,0.00905912,0,0,0.0332104,0,0.0337666,0.0124514,0.0831778,0.0184218,0.0449451,0.0259047,0.0459017,0.0296741,0.0115485,0.0125485,0.00658673,0.0406335,0.0154009,0.0165678,0.0130456,0.0264367,0.0181446,0.0267233,0.0233293,0.00385247,0.0187803,0.0121871,0.0165895,0.0591722,0,0,0.0246064,0,0.0161198,0.0189023,0.0607047,0.0213202,0.0392007,0.028504,0.0362266,0.0396749,0.0118075,0.0321818,0.0143122,0.0134678,0.0157687,0.00916396,0.0117868,0.0131636,0.0155431,0.0276063,0.0039026,0.0382224,0.0167227,0.0612009,0,0,0,0,0
1672,0,0,0,0,0,0,0.0522015,0.0287739,0,0,0,0.0135874,0.0136798,0.00894303,0,0,0.0334553,0,0.033791,0.0129349,0.0831162,0.0184303,0.045177,0.0259286,0.0451732,0.0295949,0.0115068,0.0126618,0.00679328,0.0406279,0.015314,0.0165146,0.0130181,0.0264756,0.0180483,0.0267244,0.0233678,0.00448593,0.0183446,0.0122469,0.0161412,0.0587446,0,0,0.0241865,0,0.0159386,0.0184752,0.0605954,0.020825,0.0394216,0.0282592,0.0356629,0.0388231,0.0117984,0.0322139,0.014195,0.0134239,0.0155996,0.00923076,0.0117465,0.0131,0.0150903,0.0276386,0.0041868,0.0380709,0.016824,0.0609894,0,0,0,0,0
1673,0,0,0,0,0,0,0.0519197,0.0285082,0,0,0,0.0134042,0.0137272,0.00883386,0,0,0.0337807,0,0.0338496,0.0134565,0.083048,0.0181439,0.045257,0.025862,0.0442637,0.0294985,0.0112828,0.0128433,0.00694319,0.0405818,0.0151708,0.0163521,0.0129738,0.0264988,0.0178482,0.0267629,0.0234165,0.00486763,0.0177079,0.0123571,0.0154403,0.0581995,0,0,0.0236275,0,0.0157844,0.0179114,0.060533,0.0200457,0.0396166,0.0280406,0.0348977,0.0379282,0.0118023,0.0322401,0.0141484,0.0133894,0.015466,0.00932318,0.0117015,0.013087,0.0144716,0.0275653,0.0044711,0.0379413,0.0169461,0.0607341,0,0,0,0,0
1674,0,0,0,0,0,0,0.0516002,0.0282028,0,0,0,0.0131991,0.0137926,0.00874095,0,0,0.0341339,0,0.0339064,0.0139683,0.0829305,0.0175465,0.0453165,0.0258568,0.0433147,0.0293973,0.0110469,0.0129159,0.00707434,0.0405601,0.0149809,0.0161344,0.0128804,0.0265674,0.0176168,0.0268079,0.0234781,0.00469017,0.0174133,0.0125438,0.0151202,0.057598,0,0,0.0231184,0,0.0157404,0.017215,0.0604487,0.0196985,0.0397315,0.0277128,0.0341074,0.0370959,0.0117303,0.032194,0.0139299,0.0131636,0.0152192,0.00932193,0.0116045,0.0129522,0.0142138,0.0274333,0.00472737,0.037791,0.0169101,0.0604328,0,0,0,0,0
