Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_B
All Timesteps RMSE,0,0,0,0,0.0191464,0.033959,0,0,0.0475548,0.0179758,0.0269336,0.0127582,0,0,0.038332,0,0.0219543,0.014231,0.0284584,0.0244784,0.0205079,0.0165759,0.0301797,0.0254531,0.00849902,0.0210418,0.0158731,0.0181044,0.0130378,0.0203639,0.00819538,0.0255661,0.0527677,0.0234655,0.0149743,0.00773764,0.0328298,0.0128325,0.0349941,0.022014,0.0137812,0,0,0.0212452,0,0.00715964,0.0105021,0.0345757,0.0384605,0.036756,0.0247819,0.0296359,0.0187746,0.00948603,0.0154791,0.0115303,0.0112048,0.0201075,0.0593993,0.0143472,0.0227128,0.0398624,0.00632972,0.0110495,0.00689691,0.037499,0.0179716,0,0,0,0
0,0,0,0,0,0.0170264,0.0305374,0,0,0.0141426,0.0178746,0.00784377,0.0156018,0,0,0.0288748,0,0.0221187,0.0103904,0.0301029,0.0137471,0.0214605,0.00689479,0.0305175,0.0177651,0.00900687,0.0100399,0.0041774,0.020341,0.00625512,0.00710667,0.00741098,0.0243793,0.0192368,0.0192458,0.0150612,0.00694085,0.0350682,0.0135156,0.0434145,0.00524124,0.0115129,0,0,0.0152383,0,0.00826176,0.00845931,0.0304148,0.0419917,0.0403975,0.0248926,0.0122713,0.00952273,0.0065663,0.0193075,0.0161632,0.010992,0.0166061,0.0666131,0.00582618,0.0155338,0.0432351,0.00667807,0.00699053,0.00427917,0.0315227,0.0160436,0,0,0,0
1,0,0,0,0,0.0178655,0.0309605,0,0,0.0125548,0.0178529,0.00848905,0.0146717,0,0,0.0293883,0,0.0218097,0.0105035,0.0300727,0.0133486,0.0208637,0.00702243,0.0298602,0.0181526,0.00858035,0.00900876,0.00343274,0.0197862,0.00663625,0.00693182,0.00740641,0.0246404,0.0134943,0.0197063,0.015146,0.0069984,0.0361171,0.0135158,0.044484,0.00534893,0.0118749,0,0,0.015588,0,0.00821175,0.00844593,0.0302431,0.0432727,0.0404285,0.0248591,0.0120137,0.00976048,0.00589262,0.0165565,0.0144861,0.0097638,0.015855,0.0654868,0.00401132,0.0153603,0.0485266,0.00632733,0.00790683,0.00454769,0.0318677,0.0166382,0,0,0,0
2,0,0,0,0,0.0186179,0.0313011,0,0,0.0117202,0.0178507,0.00915633,0.0137187,0,0,0.0295981,0,0.0216782,0.0104903,0.0301525,0.0127523,0.0206261,0.0071668,0.0296802,0.018715,0.00862678,0.00812227,0.0029011,0.0194661,0.00734657,0.00708036,0.00784336,0.0249671,0.00772343,0.0200919,0.0151243,0.00702336,0.0362838,0.0135801,0.0446637,0.00519661,0.0123409,0,0,0.0158844,0,0.00818421,0.00878767,0.0298193,0.0425309,0.0403321,0.025618,0.0123616,0.0103107,0.00601651,0.0158511,0.0147883,0.0102374,0.0163113,0.0644982,0.00424222,0.0158971,0.0495795,0.00611076,0.0087462,0.0049104,0.0321775,0.0172331,0,0,0,0
3,0,0,0,0,0.019214,0.0316554,0,0,0.0126731,0.017883,0.0096313,0.0129465,0,0,0.0298081,0,0.02156,0.0104358,0.0303691,0.0120602,0.0203711,0.00767192,0.0299551,0.0192194,0.00883678,0.00746617,0.00289002,0.019238,0.00810442,0.00789958,0.00821831,0.0251772,0.0022203,0.020501,0.0151116,0.00708951,0.0365922,0.0136776,0.0447484,0.00493155,0.0127441,0,0,0.0162543,0,0.00815093,0.00898374,0.0295279,0.0415381,0.0404172,0.025083,0.0130408,0.0110777,0.00612727,0.0150844,0.015069,0.0112766,0.0155668,0.0639263,0.00444987,0.0153464,0.0495435,0.00604536,0.0094712,0.00532954,0.0326048,0.0177544,0,0,0,0
4,0,0,0,0,0.0196064,0.0319066,0,0,0.0148909,0.0179121,0.010028,0.0122486,0,0,0.03018,0,0.0214715,0.0102941,0.0304085,0.0116901,0.0199605,0.00812011,0.0304409,0.0194299,0.00907067,0.00727113,0.00338632,0.0191045,0.00884908,0.00894417,0.00835314,0.0252521,0.00531189,0.0210001,0.0150978,0.00713267,0.0362567,0.013783,0.0439967,0.0046732,0.0130791,0,0,0.0165654,0,0.0081553,0.0093379,0.0294155,0.0395459,0.0404694,0.0241902,0.0139351,0.0118925,0.00659181,0.0145119,0.015552,0.0124063,0.0141646,0.0637137,0.00452826,0.0141798,0.0490429,0.00596534,0.0102344,0.00567891,0.0329098,0.0181238,0,0,0,0
5,0,0,0,0,0.0198614,0.032075,0,0,0.0178352,0.017962,0.0105043,0.011516,0,0,0.0308221,0,0.021461,0.0102869,0.0304092,0.0121598,0.0197124,0.00851346,0.0308647,0.0194467,0.00931808,0.00766836,0.00433798,0.0190201,0.00961064,0.0103502,0.00836718,0.0252611,0.0119018,0.0216351,0.0150854,0.00718601,0.0353745,0.0138777,0.0425265,0.00463969,0.0133509,0,0,0.0167937,0,0.0081962,0.00974242,0.0292367,0.0370483,0.0404848,0.023169,0.0148852,0.0126519,0.00746659,0.0141629,0.016374,0.0133869,0.0123885,0.0636909,0.00457747,0.0127817,0.0476865,0.00588772,0.0108417,0.00590274,0.0330723,0.0183066,0,0,0,0
6,0,0,0,0,0.0200081,0.0320804,0,0,0.0207994,0.0180321,0.0108376,0.0106566,0,0,0.0317302,0,0.0214954,0.0104328,0.0303669,0.0131632,0.0196876,0.00888364,0.0310021,0.0195137,0.00962229,0.00857998,0.00546315,0.0189687,0.0104239,0.0118404,0.00859362,0.0252693,0.0179316,0.0223922,0.0150699,0.00727031,0.0344929,0.0139736,0.0408335,0.00464016,0.0135797,0,0,0.0170135,0,0.00824183,0.0101435,0.0289475,0.0347851,0.0405925,0.0221136,0.0157433,0.0132994,0.00841584,0.0139184,0.0172518,0.0146346,0.0107858,0.0636881,0.00454208,0.0116076,0.0459932,0.00581391,0.0111764,0.00603132,0.0331215,0.0182997,0,0,0,0
7,0,0,0,0,0.0201538,0.0321583,0,0,0.0238176,0.0181558,0.0108772,0.00981102,0,0,0.0327557,0,0.0215366,0.0106852,0.0302692,0.0137509,0.019599,0.00920354,0.0308654,0.0199835,0.0100037,0.00987146,0.00663428,0.0189692,0.0111967,0.0134388,0.00905305,0.0253612,0.0234644,0.0230459,0.0150493,0.00744833,0.0339338,0.0140589,0.0394586,0.00461075,0.0137269,0,0,0.0172493,0,0.00823256,0.0102713,0.0286773,0.0331706,0.0406873,0.0210039,0.0164938,0.0138539,0.00916361,0.0136757,0.0178896,0.0157584,0.00979759,0.0635503,0.00456079,0.0109131,0.0446224,0.00587319,0.0113592,0.00608564,0.0332919,0.0182822,0,0,0,0
8,0,0,0,0,0.0203686,0.0322071,0,0,0.0275903,0.018312,0.0103818,0.00890952,0,0,0.0338426,0,0.0215482,0.0109809,0.0300999,0.0135153,0.0193041,0.00948782,0.0305341,0.0202623,0.0103355,0.011294,0.00772854,0.0189321,0.0117945,0.0147719,0.00915222,0.0255024,0.0288367,0.0235347,0.0150118,0.00763232,0.0335592,0.0141574,0.0385463,0.00454545,0.0139377,0,0,0.0175692,0,0.00824846,0.0102988,0.0284686,0.0321405,0.0408086,0.0204325,0.0171197,0.0143034,0.00959407,0.0134234,0.0180808,0.0162547,0.0096231,0.0632559,0.00461305,0.0107706,0.0435893,0.00586395,0.0115502,0.00609223,0.0334681,0.0183496,0,0,0,0
9,0,0,0,0,0.0205759,0.0321453,0,0,0.0322616,0.0184508,0.00928531,0.00814556,0,0,0.0348767,0,0.0215165,0.0112597,0.0299958,0.0130043,0.0192006,0.010008,0.0298636,0.0203794,0.0105312,0.0126212,0.00879455,0.0188596,0.0122021,0.0155758,0.00906432,0.025695,0.0351401,0.0238451,0.0149594,0.00776615,0.0331865,0.0142455,0.0380508,0.00471784,0.0141715,0,0,0.0178205,0,0.00832045,0.0105571,0.028316,0.0316108,0.0407717,0.0202022,0.0175705,0.0146191,0.0097004,0.0132695,0.0177686,0.0161087,0.010008,0.062831,0.00469442,0.0111274,0.0429849,0.00574842,0.0117131,0.00606509,0.0334174,0.018496,0,0,0,0
