Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_B
All Timesteps RMSE,0,0,0,0,0.0137673,0.0253488,0,0,0.0470657,0.0224826,0.0239832,0.011776,0,0,0.0487653,0,0.0187391,0.0240704,0.0275983,0.0225579,0.0225782,0.0152397,0.0237529,0.018878,0.00841105,0.0207688,0.0147706,0.0186447,0.0124199,0.0198373,0.00793401,0.024887,0.054304,0.0297766,0.0139168,0.0108624,0.0316463,0.0143028,0.033564,0.0169279,0.0107249,0,0,0.0196908,0,0.00918052,0.0122794,0.0353655,0.0366555,0.0378552,0.0233139,0.022868,0.018239,0.00808013,0.0149519,0.0113285,0.010465,0.0197903,0.059078,0.0148029,0.0226167,0.0355982,0.00748822,0.0110035,0.00494522,0.0274964,0.0123687,0,0,0,0
0,0,0,0,0,0.0105625,0.019961,0,0,0.0131863,0.023654,0.00821687,0.0146838,0,0,0.0431576,0,0.0114419,0.026396,0.0313657,0.022572,0.0235524,0.0105319,0.0245652,0.0125186,0.0116675,0.0107033,0.00582993,0.0231667,0.00898106,0.0125364,0.00807906,0.0260654,0.0300505,0.02916,0.0134634,0.0125525,0.0397702,0.0141637,0.0427731,0.00429557,0.00723896,0,0,0.0166618,0,0.00933979,0.0114665,0.0320522,0.0440459,0.0398794,0.0225087,0.00788033,0.0114869,0.00470985,0.0185728,0.0118982,0.00787096,0.0144635,0.0661124,0.00508465,0.0132989,0.0459536,0.0102633,0.00924515,0.00404469,0.0211802,0.00735647,0,0,0,0
1,0,0,0,0,0.0118651,0.0212152,0,0,0.00812883,0.0234903,0.00890585,0.0133722,0,0,0.042723,0,0.0117705,0.0253854,0.0309955,0.0219569,0.0229808,0.0100495,0.0240844,0.0131733,0.0112352,0.0110429,0.00446858,0.0223341,0.00919322,0.0113035,0.00801333,0.0263229,0.0244676,0.0287524,0.0133458,0.0122295,0.0403365,0.0140625,0.0442015,0.00463436,0.00746222,0,0,0.0167301,0,0.00921957,0.0115154,0.0316528,0.0445751,0.0396088,0.0248288,0.00763902,0.0120315,0.00417622,0.0169809,0.0123146,0.00843713,0.0167697,0.0642806,0.00509477,0.0158509,0.0487279,0.00972652,0.00960656,0.00384849,0.0226057,0.00899227,0,0,0,0
2,0,0,0,0,0.0127094,0.0215561,0,0,0.0039799,0.0233666,0.00994865,0.0125884,0,0,0.0422858,0,0.0122507,0.0248191,0.0311025,0.0212251,0.0225639,0.010462,0.0240852,0.0148732,0.0111921,0.00879536,0.00322824,0.0220288,0.00963946,0.0102601,0.00819078,0.0265968,0.0184759,0.0284262,0.013541,0.0123857,0.0397128,0.014084,0.0439707,0.00467087,0.007788,0,0,0.0170758,0,0.00929652,0.0119153,0.0313752,0.0431413,0.0396564,0.0251276,0.00809816,0.0124106,0.00407744,0.0160669,0.0129973,0.00917512,0.0168872,0.0633321,0.00537156,0.0161762,0.0487092,0.00935413,0.00821545,0.00389625,0.0229273,0.00962292,0,0,0,0
3,0,0,0,0,0.0130098,0.0217437,0,0,0.00457226,0.0231429,0.0110299,0.0116579,0,0,0.0425391,0,0.012707,0.0240513,0.0311817,0.0202023,0.0221585,0.010787,0.0238924,0.014638,0.0111646,0.0073894,0.00222199,0.0217809,0.010099,0.00945788,0.00834093,0.0268047,0.0128799,0.0280337,0.0135883,0.0121964,0.0390263,0.0140585,0.0430281,0.00460018,0.0078768,0,0,0.0171366,0,0.00935737,0.0117252,0.0312228,0.0409429,0.039702,0.0249688,0.00859121,0.0128893,0.00467377,0.0153544,0.0140183,0.0103879,0.0159515,0.0628282,0.00517166,0.0154521,0.0481792,0.00913393,0.00779774,0.00388793,0.022962,0.00993841,0,0,0,0
4,0,0,0,0,0.0132308,0.0219147,0,0,0.00978759,0.0229693,0.0119237,0.01079,0,0,0.0420806,0,0.0134129,0.0233167,0.0312066,0.0189401,0.0218303,0.0110708,0.0240297,0.0145561,0.0111639,0.00692949,0.00140959,0.0215697,0.0105478,0.00916723,0.00850292,0.0269687,0.00934949,0.0276546,0.0136986,0.0121464,0.037406,0.0141394,0.0410184,0.00426292,0.00810151,0,0,0.017497,0,0.00938824,0.0118826,0.0311048,0.0380139,0.0399757,0.0238577,0.00922662,0.0129781,0.00561205,0.0148665,0.0148928,0.0113664,0.014082,0.0628703,0.00476535,0.0137707,0.0463645,0.00913032,0.00852524,0.00390362,0.0229371,0.0103233,0,0,0,0
5,0,0,0,0,0.013288,0.0220666,0,0,0.0154629,0.0226763,0.0125746,0.00975127,0,0,0.0427725,0,0.0139681,0.0227368,0.0310841,0.0179659,0.0215387,0.0111486,0.0239308,0.0145752,0.0110768,0.00719893,0.00189582,0.0212783,0.0107809,0.00973667,0.0086156,0.0269318,0.0125149,0.0276413,0.0137377,0.0117477,0.0362678,0.0141744,0.039522,0.00387048,0.00819502,0,0,0.0172658,0,0.00945869,0.0121698,0.0307925,0.0356555,0.0401135,0.0231049,0.00980433,0.0135043,0.00669858,0.01475,0.0162142,0.0123374,0.0125483,0.0629565,0.00441761,0.0124794,0.0449233,0.00899964,0.00905359,0.00391854,0.0229578,0.0106705,0,0,0,0
6,0,0,0,0,0.0134385,0.022262,0,0,0.0211883,0.0225452,0.0132335,0.00879209,0,0,0.0423451,0,0.0146258,0.0221737,0.031005,0.017946,0.0213536,0.011163,0.0239818,0.0151381,0.011027,0.00818208,0.00316431,0.0210122,0.0111221,0.0111888,0.00898841,0.0268337,0.019897,0.0274416,0.0139627,0.0118819,0.0350715,0.0142393,0.038087,0.00343975,0.00834288,0,0,0.0176703,0,0.0095754,0.0122805,0.0303379,0.0338876,0.0401384,0.0223944,0.0104943,0.0140623,0.00775027,0.0146936,0.0173941,0.01344,0.0116555,0.0629391,0.00413334,0.0116565,0.042711,0.00915891,0.00834582,0.00400316,0.0230736,0.0109598,0,0,0,0
7,0,0,0,0,0.013658,0.0224875,0,0,0.0276745,0.0224246,0.0140788,0.00776361,0,0,0.0418822,0,0.0153054,0.0217176,0.0308226,0.0180534,0.0212022,0.0111309,0.0238108,0.0159302,0.0109832,0.00956059,0.00453345,0.0207511,0.0115987,0.013023,0.00932362,0.0267677,0.0274507,0.0271986,0.0142251,0.0120278,0.0341595,0.0143262,0.0370563,0.00309556,0.008475,0,0,0.0181055,0,0.00965691,0.0118569,0.0298886,0.0325388,0.0402494,0.0220533,0.0110921,0.0145693,0.00848825,0.0143932,0.0182336,0.0144921,0.0117246,0.0626551,0.00405255,0.0116141,0.0412015,0.00928872,0.00846065,0.00411057,0.0233013,0.0111479,0,0,0,0
8,0,0,0,0,0.0138956,0.0226632,0,0,0.0342819,0.0221873,0.0145945,0.00672477,0,0,0.043445,0,0.0157197,0.0214489,0.0305958,0.0165753,0.0210209,0.0111143,0.023277,0.0162523,0.0109051,0.0113214,0.00602133,0.0204716,0.0120003,0.0148362,0.00945874,0.026777,0.034869,0.0275714,0.0140428,0.0112613,0.0341718,0.0143953,0.0369911,0.00285137,0.00852537,0,0,0.0183047,0,0.00964263,0.0117407,0.0295211,0.0319061,0.0402893,0.0220808,0.0114731,0.0150635,0.00869814,0.0137434,0.0184437,0.0149052,0.0121826,0.0621721,0.0043895,0.0121147,0.0411933,0.00930581,0.00972438,0.00419705,0.0236613,0.0112794,0,0,0,0
