Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
All Timesteps RMSE,0,0,0,0,0.0125959,0.0218482,0,0,0,0.0452351,0.0192228,0.0242768,0.0119659,0,0,0.0349816,0,0.0168656,0.0200966,0.0289246,0.0233088,0.021392,0.0171929,0.0261073,0.0244197,0.00801789,0.0227646,0.0167559,0.0165159,0.014033,0.021991,0.00904645,0.023056,0.0549655,0.0223985,0.0133704,0.0085007,0.0304464,0.0134787,0.0329443,0.0185244,0.0132922,0,0,0.0231467,0,0.00831779,0.0111361,0.0331675,0.0339353,0.0382036,0.0230653,0.0237525,0.0179965,0.00854472,0.0141936,0.0118307,0.0108561,0.0189435,0.0582456,0.0136486,0.0210107,0.0388054,0.0113212,0.00660436,0.00539727,0.0258237,0.0157679,0,0,0
0,0,0,0,0,0.0118737,0.0155573,0,0,0,0.0282195,0.0182926,0.00901766,0.0190879,0,0,0.0270674,0,0.0168383,0.0173387,0.0281878,0.0147265,0.0249413,0.00998215,0.0281252,0.0352101,0.0079867,0.0124555,0.00828418,0.0206814,0.00702685,0.0147555,0.00830094,0.0231542,0.0417606,0.0239024,0.0134346,0.00717052,0.0356784,0.0127469,0.0481498,0.00534232,0.0151082,0,0,0.0171171,0,0.00777002,0.00782856,0.0352832,0.0527588,0.0409956,0.0204367,0.00765255,0.014324,0.00358232,0.0203235,0.0104159,0.00525612,0.0209153,0.0694817,0.00954439,0.024419,0.0466607,0.00918024,0.00254877,0.00476072,0.0191883,0.0186287,0,0,0
1,0,0,0,0,0.0108138,0.015047,0,0,0,0.0258399,0.0183344,0.00818931,0.01866,0,0,0.0279611,0,0.0170211,0.0179797,0.0282843,0.0143935,0.0249018,0.00977537,0.0264608,0.0348122,0.00737333,0.0113817,0.00748539,0.0200294,0.00763225,0.0142445,0.00830096,0.0231582,0.0388807,0.0246228,0.013444,0.00723809,0.0308713,0.0125648,0.0465915,0.00514383,0.014421,0,0,0.0167729,0,0.007829,0.00760397,0.0350237,0.053234,0.0411757,0.0200465,0.00668042,0.0134991,0.00348181,0.0180676,0.00942621,0.00626255,0.0192584,0.0693195,0.00784446,0.0224804,0.0510816,0.00905198,0.0029019,0.00463704,0.0185578,0.0174106,0,0,0
2,0,0,0,0,0.0108022,0.0150728,0,0,0,0.0227607,0.0183529,0.00741437,0.0183553,0,0,0.0289417,0,0.0172432,0.0189468,0.0285439,0.0135099,0.0247581,0.00978555,0.0259219,0.0349223,0.0071169,0.010146,0.00639439,0.0196341,0.00812809,0.0134621,0.00833063,0.0233781,0.0350017,0.0252516,0.0134922,0.00725859,0.031566,0.0124727,0.0460629,0.00503161,0.0145077,0,0,0.0165821,0,0.00795572,0.0076815,0.0343793,0.0530979,0.040716,0.0207273,0.00709441,0.0136982,0.00352662,0.0175174,0.00979778,0.00727841,0.0184345,0.0680545,0.00657189,0.0213506,0.0506896,0.0090325,0.00298288,0.00454866,0.018519,0.0172127,0,0,0
3,0,0,0,0,0.011097,0.0151342,0,0,0,0.0199155,0.0184865,0.00681267,0.0174434,0,0,0.030369,0,0.0171931,0.0202078,0.0288158,0.0123387,0.0241564,0.00942681,0.025715,0.0351458,0.00691817,0.00932839,0.00566214,0.0191929,0.00842829,0.0131292,0.008263,0.0236698,0.0309618,0.0258464,0.0134281,0.00739947,0.0334389,0.0124846,0.0456889,0.00485565,0.0146541,0,0,0.0168654,0,0.00796712,0.00788943,0.0335672,0.0527053,0.0402146,0.0214998,0.00773542,0.0140743,0.00313077,0.0167439,0.0102259,0.00814962,0.0179638,0.0661961,0.00542782,0.0211214,0.0488165,0.00925997,0.00304386,0.00455977,0.0183981,0.0171302,0,0,0
4,0,0,0,0,0.0115966,0.0154489,0,0,0,0.0163229,0.0186562,0.00617276,0.0165665,0,0,0.031672,0,0.0169301,0.0211896,0.0289902,0.011494,0.0235194,0.00925643,0.02585,0.0355091,0.00672862,0.00862144,0.00501944,0.0187266,0.00853853,0.0121855,0.00802982,0.023823,0.0258887,0.0264816,0.0132986,0.0075499,0.0340291,0.0125431,0.0461223,0.00476117,0.0150595,0,0,0.0172578,0,0.00798542,0.00801263,0.0330391,0.0517535,0.0398818,0.0224955,0.00840801,0.0145385,0.00291865,0.0159867,0.0104962,0.00868916,0.01811,0.0644097,0.00529479,0.0210929,0.0489237,0.00950774,0.00303995,0.00460414,0.0185833,0.0174319,0,0,0
5,0,0,0,0,0.0120134,0.0158684,0,0,0,0.0122802,0.0188278,0.00605966,0.0156853,0,0,0.03281,0,0.0164632,0.0219038,0.0291357,0.0111574,0.0228716,0.00931998,0.0261135,0.0357204,0.00664143,0.00787726,0.00444066,0.01831,0.00862045,0.0108047,0.00792455,0.0239411,0.0198676,0.0271989,0.0131027,0.00773748,0.0339992,0.0125575,0.046535,0.00482169,0.015508,0,0,0.017446,0,0.00797934,0.00808079,0.0327468,0.0503107,0.0398274,0.0237373,0.00890647,0.0149806,0.00307673,0.0153523,0.0108207,0.00920224,0.0185472,0.0630291,0.005741,0.0208773,0.0510046,0.00965101,0.00302865,0.00460941,0.0189079,0.0178161,0,0,0
6,0,0,0,0,0.0121138,0.0163092,0,0,0,0.00836432,0.0190358,0.00656203,0.0147403,0,0,0.0339171,0,0.0161237,0.0227584,0.0293709,0.0109597,0.0223424,0.00948646,0.026388,0.0355467,0.0068094,0.00716622,0.00399521,0.0180641,0.00881345,0.00968471,0.00798668,0.0242006,0.0135086,0.0278841,0.013051,0.0079545,0.0336657,0.0125312,0.0464688,0.0050182,0.0157325,0,0,0.0175463,0,0.00794479,0.00809265,0.0325054,0.0489352,0.0399073,0.0248195,0.00931931,0.0153193,0.00328849,0.0147049,0.0115206,0.00992068,0.0186468,0.0619651,0.00632529,0.0201948,0.0531046,0.00966288,0.00300125,0.00459124,0.0192024,0.017973,0,0,0
7,0,0,0,0,0.0119832,0.0167928,0,0,0,0.00632559,0.0192319,0.00718215,0.0138251,0,0,0.0350558,0,0.0156557,0.0232367,0.02959,0.0107012,0.0217925,0.00962209,0.0267657,0.0350949,0.00710383,0.00667692,0.00373986,0.017913,0.00908953,0.00915038,0.00811526,0.0244563,0.007465,0.028462,0.0129114,0.00818398,0.0330785,0.0125569,0.0457435,0.00503839,0.0157515,0,0,0.0178207,0,0.00790825,0.00820511,0.032324,0.0470666,0.040035,0.0251038,0.0098787,0.0155875,0.00377983,0.0140154,0.0124572,0.0106682,0.0180057,0.0612141,0.00677269,0.0191772,0.0538445,0.00971174,0.00307383,0.00465367,0.0195171,0.0179211,0,0,0
8,0,0,0,0,0.011669,0.017348,0,0,0,0.00900158,0.0193854,0.00784577,0.012965,0,0,0.0362316,0,0.0153674,0.0238926,0.0297791,0.0109362,0.0212419,0.00978408,0.0272848,0.0344098,0.00747395,0.00665351,0.00387934,0.0177976,0.00947228,0.00924781,0.00829897,0.0246152,0.00615195,0.0290071,0.0129159,0.00840731,0.0323411,0.0125648,0.0441702,0.00495971,0.0154207,0,0,0.0181439,0,0.00786927,0.00831537,0.0320895,0.0439852,0.0402056,0.0244962,0.0105479,0.0157181,0.00458777,0.0133908,0.0135793,0.0116308,0.0165527,0.0608385,0.00692027,0.017813,0.0536067,0.00971122,0.0031996,0.00477883,0.0199217,0.0175928,0,0,0
