Timestep,,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,x77,LANK,C7
443,0,0.0164211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266755,0.00967506,0.0237133,0,0,0.0244227,0,0.0282101,0.0118523,0.0447708,0.0213649,0.0386072,0.0199679,0.0163608,0.0248459,0.0219612,0.0256858,0.0196758,0,0.0150679,0.0161487,0.00510983,0.011509,0.0317648,0,0.0157592,0.00582365,0.0136608,0.0203492,0.0124865,0.0181513,0.0210694,0,0,0.00554012,0,0.0164251,0.00488829,0.0675412,0.0239372,0.0241383,0.00995196,0,0.0319346,0.00807948,0.053109,0.00824915,0.00712153,0.0172362,0.0221088,0.0141786,0.019866,0.0196094,0.011354,0.0149978,0.00773608,0.0087354,0.128287,0,0,0,0,0.0144104,0
444,0,0.0164406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026085,0.00959256,0.0234159,0,0,0.0238335,0,0.0282962,0.0113385,0.0442442,0.0212952,0.0386867,0.020936,0.0161363,0.0249469,0.0225536,0.0263888,0.020508,0,0.0152511,0.0162168,0.00500882,0.0112588,0.0317817,0,0.015468,0.00591854,0.0134442,0.0202745,0.0120063,0.0180127,0.0208962,0,0,0.00501631,0,0.0166382,0.00548572,0.0676325,0.0235437,0.0235056,0.00972309,0.0184408,0.0316225,0.00762856,0.0531394,0.0080193,0.00684335,0.0173983,0.0220579,0.0141312,0.0203186,0.0190391,0.0101686,0.0148081,0.00759974,0.0086846,0.128299,0,0,0,0,0.0136917,0
445,0,0.016555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251879,0.00971826,0.0233902,0,0,0.0229008,0,0.028209,0.0108,0.0436915,0.0209858,0.0386237,0.0218351,0.0164074,0.0249054,0.0232251,0.0270352,0.0213542,0,0.0152274,0.0161034,0.00478511,0.0111386,0.0312571,0,0.0152886,0.00609873,0.0130689,0.0203095,0.0113166,0.0181263,0.0209521,0,0,0.00486094,0,0.0168783,0.00659774,0.067544,0.0227525,0.0235675,0.00963926,0,0.0312456,0.00737548,0.0530782,0.00801631,0.00667494,0.0180718,0.0218243,0.014093,0.0206031,0.018233,0.00929936,0.0145027,0.00741664,0.00879593,0.127929,0,0,0,0,0.0128096,0
446,0,0.0166546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244866,0.00978777,0.0231287,0,0,0.0220846,0,0.0281732,0.0103014,0.0432319,0.0208383,0.0386274,0.0226447,0.0163181,0.0247462,0.0237955,0.0277442,0.0222411,0,0.0150028,0.0158115,0.00431979,0.0110027,0.0309584,0,0.0151712,0.00628569,0.0129715,0.0204129,0.01077,0.0179531,0.0209076,0,0,0.00526268,0,0.0171134,0.00777345,0.0675158,0.021853,0.0233344,0.00973777,0,0.0306611,0.00730865,0.0531028,0.00821967,0.00687204,0.0189529,0.021617,0.014093,0.0209296,0.0179513,0.00866063,0.0140691,0.00722783,0.00891408,0.127219,0,0,0,0,0.0120071,0
447,0,0.0166597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023769,0.00984723,0.0228515,0,0,0.0212375,0,0.0281997,0.00975662,0.042684,0.020799,0.0386538,0.0236274,0.0161191,0.0244625,0.0244618,0.0285956,0.0233279,0,0.0147662,0.0154683,0.00388402,0.010868,0.0308225,0,0.0151065,0.00613388,0.0129853,0.0204898,0.0102158,0.0177442,0.0207634,0,0,0.00581821,0,0.0172794,0.00855621,0.0675055,0.0213522,0.0231337,0.00992275,0,0.0301274,0.00741615,0.05328,0.00847543,0.00725218,0.0193915,0.0215253,0.0139747,0.0212036,0.0179497,0.00806037,0.0139141,0.00736066,0.00899121,0.127041,0,0,0,0,0.0112221,0
448,0,0.016398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228681,0.00986314,0.0225624,0,0,0.0206172,0,0.0282816,0.00936378,0.04202,0.0209294,0.0387417,0.0248171,0.0159809,0.0239477,0.0252446,0.029562,0.0241966,0,0.014639,0.0151915,0.00354144,0.010778,0.0306099,0,0.0150717,0.00596617,0.0128117,0.0205078,0.00981973,0.0176099,0.0204457,0,0,0.00645123,0,0.0174214,0.00898174,0.067419,0.0210542,0.0228875,0.0101046,0,0.0296042,0.00763825,0.0536051,0.0086664,0.00760696,0.0192067,0.0214127,0.0137756,0.0212403,0.017716,0.00764272,0.0138631,0.00753923,0.0088588,0.129031,0,0,0,0,0.0102722,0
449,0,0.0158201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216507,0.00990937,0.0221284,0,0,0.0201647,0,0.0283237,0.00921403,0.0414895,0.0212272,0.0387891,0.0260625,0.015654,0.0232243,0.0260457,0.0304746,0.0248923,0,0.0146511,0.0149934,0.00329065,0.0107073,0.0300971,0,0.0150014,0.00597551,0.0124071,0.0205098,0.0094453,0.0173792,0.0199383,0,0,0.00725187,0,0.0175535,0.00925914,0.0673221,0.020556,0.0225886,0.0102322,0,0.0287402,0.00793651,0.0538505,0.00887114,0.00786721,0.0186624,0.0213873,0.0135038,0.0209666,0.0172337,0.00744523,0.0138045,0.00765595,0.00838317,0.131614,0,0,0,0,0.00957472,0
450,0,0.0145184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204528,0.010045,0.0207773,0,0,0.019595,0,0.0282766,0.00894968,0.0413639,0.0216515,0.0390671,0.0270645,0.0147021,0.021838,0.0265344,0.0312895,0.0254747,0,0.0144894,0.0147528,0.00306627,0.0106545,0.0296867,0,0.0149094,0.00601218,0.0121317,0.0206241,0.00893328,0.016037,0.0188521,0,0,0.0080038,0,0.0177839,0.00953388,0.0677643,0.0199792,0.022111,0.00990806,0,0.0270878,0.00788961,0.0535149,0.00854467,0.00777748,0.0180139,0.022071,0.0129786,0.0203404,0.0167164,0.00717651,0.0137775,0.00775672,0.00733281,0.122211,0,0,0,0,0.00876199,0
451,0,0.0078182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195035,0.0103686,0.0117639,0,0,0.0178385,0,0.0280707,0.00830274,0.043669,0.0210575,0.0422216,0.0271769,0.00767652,0.0144524,0.0259629,0.0316278,0.0244448,0,0.0134163,0.014062,0.00253287,0.0116244,0.0297126,0,0.0147613,0.00614391,0.0120308,0.0209039,0.00830648,0.00893287,0.0105684,0,0,0.00854855,0,0.0177056,0.00976021,0.0698959,0.018767,0.0186289,0.00860455,0,0.0199324,0.00699978,0.05142,0.00789374,0.00692559,0.016466,0.0244947,0.0115755,0.018588,0.0159677,0.0064484,0.0146069,0.00811186,0.00396716,0,0,0,0,0,0.0064859,0
452,0,0.00696553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196012,0.0102788,0.00914594,0,0,0.0173915,0,0.0281607,0.00821606,0.0431781,0.0226217,0.0428984,0.0307326,0.00499994,0.012346,0,0.0351269,0.0263331,0,0.0142349,0.0156993,0.00275985,0.0116318,0.0312574,0,0.0146626,0.00614948,0.0116709,0.0207845,0.00767777,0.00678578,0.00838935,0,0,0.00923143,0,0.0177922,0.00972611,0.0703852,0.0177931,0.017338,0.00830831,0,0.0172239,0.00668097,0.0511668,0.00781178,0.00674669,0.015837,0.0248223,0.011029,0.0174117,0.0152437,0.00708441,0.0146895,0.00828914,0.00502285,0,0,0,0,0,0.00673035,0
