Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LILC,x77,
862,0,0.0078964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119198,0.00549539,0.0152543,0.0633904,0,0,0.0349093,0,0,0.0189198,0,0.0109935,0.00739593,0,0.0142786,0.0202485,0.0149606,0.00833326,0.0355385,0.00521262,0.00553014,0.00318309,0.015608,0.0105704,0.0334283,0.0175199,0.00732814,0.035898,0.0231838,0.0191237,0.0456741,0.0124567,0,0,0.026087,0,0.0145381,0.0144787,0.0801606,0.00854937,0,0.0171962,0.060292,0.00286744,0.00992113,0.055734,0.0142567,0.0180224,0.020997,0.0377158,0.0139859,0.02048,0.039803,0.0176546,0.00607972,0.0064224,0.0104434,0.0169872,0,0,0,0.0873322,0,0
863,0,0.00806335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121248,0.00576507,0.0152241,0.0632614,0,0,0.034724,0,0,0.0186986,0,0.0119182,0.00693993,0,0.0144674,0.0199156,0.0141789,0.00756524,0.0355452,0.00601814,0.00617563,0.00308125,0.0147972,0.00997288,0.0334704,0.0175651,0.00695495,0.0356732,0.0229073,0.0180692,0.0454028,0.0136523,0,0,0.0267157,0,0.0143684,0.0147694,0.080031,0.00736119,0,0.0169312,0.0595098,0.00269868,0.00970685,0.0555704,0.014109,0.0177108,0.0209486,0.0377798,0.0142768,0.0209625,0.039855,0.0180085,0.00580795,0.00640808,0.0103299,0.0172824,0,0,0,0.0878965,0,0
864,0,0.00807118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116373,0.00607836,0.0136447,0.0636198,0,0,0.0344052,0,0,0.0183077,0,0.0104673,0.0059357,0,0.0141791,0.0184636,0.0132366,0.00692192,0.0347161,0.00497999,0.00506831,0.00277515,0.0148466,0.00946984,0.0331761,0.0175404,0.00651871,0.0352669,0.0227444,0.0162341,0.0454041,0.0138507,0,0,0.0272212,0,0.0141323,0.015008,0.0801234,0.00526638,0,0.0166677,0.0590985,0.00226002,0.00978863,0.0552865,0.0139364,0.0177573,0.0208707,0.0377062,0.0143709,0.021489,0.0397655,0.0182638,0.00566423,0.00649729,0.0101257,0.0175558,0,0,0,0.0885304,0,0
865,0,0.0083164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139963,0.00603927,0.0151929,0.0637861,0,0,0.0338989,0,0,0.017907,0,0.0137188,0.00645815,0,0.0136939,0.0185291,0.013253,0.00634332,0.0353759,0.00794014,0.00792375,0.00324336,0.013131,0.0128653,0.0322991,0.0173215,0.00629105,0.03469,0.0223946,0.0142926,0.0457852,0.0135193,0,0,0.0279633,0,0.014056,0.0153576,0.0802703,0.00361703,0,0.0163396,0.0589377,0.00225999,0.00970125,0.0549542,0.0136604,0.0177133,0.020502,0.0375126,0.0143332,0.021678,0.0394534,0.0186287,0.00542134,0.00662018,0.010187,0.0182297,0,0,0,0.0887469,0,0
866,0,0.00836893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156786,0.0060808,0.0155633,0.063871,0,0,0.0330635,0,0,0.0175915,0,0.0147825,0.00662714,0,0.0131654,0.0180214,0.0130766,0.00623053,0.0352931,0.00869588,0.00868127,0.00320811,0.012463,0.0148961,0.0313689,0.0173707,0.00605632,0.03488,0.0221072,0.0132969,0.0457898,0.0138837,0,0,0.0286521,0,0.0139915,0.0156998,0.0802926,0.00349277,0,0.0160805,0.0584604,0.00211154,0.00975762,0.0547603,0.0135319,0.0176834,0.0198781,0.0373489,0.0143946,0.0214643,0.0398333,0.0189524,0.00526167,0.00683261,0.010189,0.0180732,0,0,0,0.0889137,0,0
867,0,0.00834913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173516,0.00621533,0.0158194,0.0642448,0,0,0.0327239,0,0,0.0171849,0,0.0154146,0.00669911,0,0.0128677,0.0170576,0.0131144,0.00612811,0.0357191,0.00946785,0.00933443,0.002774,0.0117445,0.0171882,0.0308698,0.0174017,0.00582657,0.0351079,0.0218251,0.012456,0.0458831,0.0147217,0,0,0.0293795,0,0.0139557,0.0160768,0.0802892,0.00444828,0,0.0157169,0.0579035,0.00194222,0.00990917,0.0545504,0.0133107,0.0176985,0.0191124,0.0370859,0.0143635,0.0212182,0.0400995,0.0193007,0.0053813,0.00710095,0.0101256,0.0173116,0,0,0,0.0892871,0,0
868,0,0.00838861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194019,0.00698266,0.016869,0.0643492,0,0,0.0294013,0,0,0.0149242,0,0.0176253,0.00787583,0,0.0137788,0.0158589,0.0130907,0.0060216,0.0369586,0.0111918,0.0100081,0.00263594,0.0110139,0.0189468,0.0277895,0.0166975,0.00704922,0.0355775,0.0214284,0.0142734,0.043566,0.0170079,0,0,0.0306698,0,0.0140696,0.0168474,0.0794711,0.00377182,0,0.0158852,0.055231,0.00237313,0.00981973,0.0553829,0.013751,0.017312,0.0168273,0.036183,0.013743,0.0189546,0.0403077,0.0200652,0.00584005,0.00755639,0.0104191,0.0193021,0,0,0,0.0901513,0,0
869,0,0.00901896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175377,0.00814947,0.0169933,0.0606423,0,0,0.0295089,0,0,0.0148924,0,0.0183698,0.00848337,0,0.0148653,0.0115235,0.0127982,0.00466278,0.0375544,0.0123065,0.00954705,0.00373245,0.0109898,0.0168574,0.0280924,0.0171639,0.00680653,0.0436635,0.0225781,0.0220126,0.026984,0.0185276,0,0,0.0291147,0,0.0131852,0.0159865,0.0701165,0.0103219,0.0342755,0.0155467,0.0395423,0.00225504,0.0105957,0.0599995,0.0145137,0.0172682,0.0134317,0.0342107,0.014733,0.014639,0.0479217,0.0192043,0.00686089,0.00819655,0.0124209,0.0243036,0,0,0,0.0984036,0,0
870,0,0.0089959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238616,0.0069682,0.0168063,0.0635021,0,0,0.030178,0,0,0.0152693,0,0.0200142,0.0074894,0,0.0152603,0.0124441,0.0124616,0.00535133,0.0370514,0.0129579,0.0119276,0.00407099,0.00976596,0.0269768,0.029217,0.0170692,0.00590084,0.0332818,0.0208709,0.0149903,0.0435859,0.0173242,0,0,0.032525,0,0.0141365,0.0179854,0.0791773,0.00557707,0,0.0147025,0.0543675,0.00296645,0.00969622,0.054796,0.0127516,0.0160231,0.0148425,0.0353223,0.0133839,0.0169123,0.0371334,0.0211262,0.00581146,0.00827381,0.0104816,0.0221434,0,0,0,0.0909696,0,0
871,0,0.00905494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209959,0.00792353,0.0169111,0.060151,0,0,0.0297186,0,0,0.0146155,0,0.0198797,0.00859858,0,0.0155902,0.0112519,0.0128419,0.00473254,0.0377244,0.0135236,0.010865,0.00504149,0.0103966,0.0228798,0.0290394,0.0173059,0.00605092,0.0382171,0.0219941,0.0228739,0.0271635,0.0186491,0,0,0.0313119,0,0.0133914,0.0174239,0.0700868,0.0129766,0.0324432,0.0147192,0.0395958,0.00303295,0.00979784,0.0594755,0.0135087,0.0157085,0.011701,0.0331637,0.0146796,0.0127624,0.0410755,0.0202738,0.00684465,0.00906758,0.0122407,0.0254435,0,0,0,0.0979555,0,0
