Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHI,,LEAR
891,0.0170278,0.00788543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424439,0.014002,0.0270695,0.0217709,0,0.0132229,0,0.0266051,0.00668414,0.0420238,0,0.0201439,0.0342033,0.0222165,0.0223434,0.0228902,0.0336629,0.0613196,0.00909652,0.00840199,0.0105755,0.0234521,0.0418084,0.0118523,0.0143531,0.00488888,0,0.0295292,0.0300322,0.0163808,0.0337984,0,0,0.0484746,0,0.0117168,0.0305727,0.061213,0.042899,0,0.0179256,0.014401,0.0302505,0.0154465,0.0665336,0.0231152,0.015371,0.0163839,0.0260778,0.0196835,0.0250153,0.0257614,0.0406993,0.0229552,0.0192725,0.0199047,0.033288,0,0,0,0.0174977,0,0
892,0.0170666,0.00766264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404353,0.0137968,0.0269159,0.0224556,0,0.0121822,0,0.0264893,0.00687519,0.0422236,0,0.0197303,0.0352881,0.0220991,0.0219173,0.0243042,0.0338431,0.060622,0.00767473,0.00634898,0.00996683,0.021722,0.0389008,0.0118129,0.0143616,0.00532817,0,0.0298039,0.0295369,0.0167883,0.0337629,0,0,0.0476275,0,0.0116621,0.0300148,0.0612487,0.0419712,0,0.0177609,0.0150734,0.0298751,0.0152027,0.0665691,0.0224887,0.0130282,0.0163247,0.0258529,0.0195892,0.0249327,0.0253203,0.0403288,0.0236139,0.019488,0.019743,0.0332484,0,0,0,0.0184176,0,0
893,0.0170527,0.0075301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386259,0.013653,0.0267229,0.0231576,0,0.01142,0,0.0264536,0.00691844,0.0423783,0,0.0192607,0.0361145,0.021897,0.0213373,0.0256828,0.0338832,0.0597696,0.00637644,0.0045775,0.00917882,0.0203157,0.0368793,0.0117368,0.0143489,0.00561963,0,0.0300106,0.0292276,0.0172924,0.0336077,0,0,0.0465743,0,0.011604,0.0293187,0.061184,0.041991,0,0.0177849,0.0157497,0.0294051,0.0150549,0.0660754,0.0222407,0.0130252,0.0163272,0.0252741,0.0201298,0.0250463,0.0254562,0.0397774,0.0242238,0.0196204,0.0196124,0.0333313,0,0,0,0.0192615,0,0
894,0.0170402,0.00748367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368523,0.0136798,0.0261086,0.0239468,0,0.0110607,0,0.0265036,0.00687315,0.0425656,0,0.0188615,0.0365524,0.0217846,0.0208291,0.0268719,0.0336088,0.0587889,0.00530058,0.00321566,0.00840542,0.0188887,0.0350316,0.0118252,0.0142991,0.00582723,0,0.0301719,0.0290915,0.0180766,0.0335182,0,0,0.0453219,0,0.0115164,0.0286211,0.061327,0.0424716,0,0.0178929,0.0165219,0.0288557,0.0149018,0.0655855,0.0221773,0.0143806,0.0162995,0.0245991,0.020413,0.0252712,0.025891,0.039132,0.0246182,0.0196673,0.0194511,0.0333629,0,0,0,0.0197982,0,0
895,0.0170615,0.00740776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346846,0.013693,0.0255387,0.0248248,0,0.0107958,0,0.0265161,0.00684732,0.0429114,0,0.0185098,0.0365925,0.0217373,0.0203394,0.0279068,0.0328881,0.0576633,0.00484162,0.00254223,0.00776042,0.0174507,0.0326762,0.0118225,0.0142693,0.00600783,0,0.0302891,0.0289326,0.0189568,0.0334037,0,0,0.0439204,0,0.0114131,0.0279341,0.0616092,0.0427622,0,0.0180135,0.0173493,0.0282856,0.0147731,0.0651584,0.0221326,0.0149868,0.0162847,0.0239901,0.0203685,0.0254619,0.0263903,0.0383721,0.0248914,0.0196482,0.0192177,0.0333951,0,0,0,0.0201227,0,0
896,0.0170596,0.00741364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314202,0.0136417,0.0244636,0.0257831,0,0.0101711,0,0.026456,0.00679435,0.0437491,0,0.018182,0.0364966,0.0217068,0.0198458,0.0288581,0.0318849,0.0564868,0.00528195,0.00329717,0.00741081,0.0159337,0.0288082,0.0116727,0.0141718,0.0062376,0,0.0303666,0.0285579,0.0197321,0.0331669,0,0,0.0425501,0,0.0112473,0.0273682,0.0619444,0.0427927,0,0.0180498,0.0181287,0.0276461,0.0146194,0.0647352,0.0219886,0.0148799,0.0161449,0.0234635,0.0201747,0.0254987,0.0269064,0.0375372,0.0250892,0.019768,0.0189947,0.0333604,0,0,0,0.0205157,0,0
897,0.0170147,0.00749586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267984,0.0135619,0.0230843,0.0265221,0,0.00944199,0,0.0264914,0.00660782,0.04538,0,0.0183059,0.0362574,0.0217016,0.0192727,0.029609,0.0305501,0.0552427,0.0067141,0.00551026,0.00768722,0.014451,0.0231955,0.0115084,0.0141224,0.0062695,0,0.0304132,0.0282451,0.0204514,0.0329187,0,0,0.0411304,0,0.0110277,0.0268673,0.0623591,0.0430694,0,0.0179361,0.0186643,0.0269757,0.0143729,0.0642549,0.0216897,0.0146159,0.0161672,0.0230424,0.0199699,0.0256338,0.0273144,0.036595,0.0252166,0.0198989,0.0187747,0.0332282,0,0,0,0.0208934,0,0
898,0.0169116,0.00754272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208364,0.0136154,0.0214608,0.0271316,0,0.00874778,0,0.0265139,0.00639132,0.0468629,0,0.0186583,0.0353699,0.0214245,0.018776,0.0294215,0.0285858,0.053959,0.00880431,0.0083679,0.00869848,0.013139,0.0162212,0.0113114,0.0140453,0.00637697,0,0.0304579,0.0278947,0.0213213,0.0325141,0,0,0.0395974,0,0.010831,0.026353,0.0627756,0.0434288,0,0.0177023,0.0191499,0.0262096,0.0140101,0.0636345,0.021282,0.0145832,0.0162431,0.0226764,0.0197553,0.0258326,0.0275905,0.0355141,0.0252873,0.0198765,0.0184833,0.0329814,0,0,0,0.020659,0,0
899,0.0168102,0.00751836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142318,0.0136832,0.0198587,0.027543,0,0.00805731,0,0.0264158,0.00616252,0.0473497,0,0.0191283,0.0334019,0.0206737,0.018331,0.0277343,0.0258028,0.052633,0.0110964,0.0112466,0.0102496,0.01239,0.0089928,0.0114835,0.0139369,0.00659034,0,0.0305583,0.0272012,0.0222278,0.0319188,0,0,0.0379817,0,0.0107414,0.0257653,0.0631518,0.0435218,0,0.017339,0.0198358,0.0253856,0.0134692,0.0629483,0.0206908,0.0144564,0.0160897,0.0222998,0.0197688,0.0259057,0.0278818,0.0342487,0.0253333,0.0198578,0.0181214,0.0325544,0,0,0,0.019035,0,0
900,0.0166609,0.00747321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00706187,0.0139101,0.01797,0.0275382,0,0.0073494,0,0.0263606,0.00594317,0.0476592,0,0.0195304,0.0308828,0.0196352,0.0179803,0.0252242,0.022822,0.051629,0.0135004,0.0140991,0.0116319,0.0119095,0.00430116,0.0114424,0.0138262,0.00663814,0,0.0307696,0.0265317,0.0233552,0.031354,0,0,0.0367303,0,0.010671,0.0252855,0.0635755,0.0434309,0,0.0169879,0.0204192,0.0245827,0.0128679,0.062315,0.0201397,0.0142351,0.0158435,0.021998,0.0194071,0.0258096,0.028395,0.0330151,0.0255361,0.0198404,0.0176839,0.0320233,0,0,0,0.0161462,0,0
