Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHI,,LEAR
All Timesteps RMSE,0.0165161,0.0131382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383109,0.0120824,0.0188924,0.0323503,0,0.0207628,0,0.0295949,0.0133182,0.0473771,0.0256072,0.0285524,0.0259217,0.0218962,0.0153434,0.0280115,0.0270159,0.0530043,0.0185374,0.0210691,0.0137221,0.0201045,0.0486519,0.02012,0.0132902,0.00931741,0.0301701,0.0202683,0.0237177,0.020801,0.0227434,0,0,0.0597917,0,0.0221089,0.0364175,0.0672861,0.0342858,0.0257574,0.0190883,0.0200221,0.0215296,0.0156433,0.0596594,0.0192382,0.0214303,0.0197269,0.0236351,0.0191742,0.0237227,0.0361568,0.0377478,0.025906,0.0177336,0.0148186,0.027343,0,0,0,0.0218213,0,0
0,0.0163872,0.00364105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197796,0.00828253,0.0193548,0.0279991,0,0.0310168,0,0.0342972,0.0190134,0.0544431,0.0211223,0.0335147,0.0085873,0.0180822,0.00779898,0.0131245,0.0128493,0.0444893,0.0175963,0.0196333,0.0138892,0.0163207,0.0208835,0.0279683,0.0119996,0.00993122,0.0357629,0.0161669,0.0312609,0.0164507,0.0255707,0,0,0.0675914,0,0.0218792,0.0430639,0.0717973,0.0282077,0.0244266,0.0214097,0.0152743,0.0132257,0.0112004,0.0485649,0.0178787,0.0119772,0.0295657,0.0289679,0.0273236,0.0283919,0.0355903,0.0418959,0.00657192,0.0179884,0.00936735,0.0295816,0,0,0,0,0,0
1,0.0164802,0.00328688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020331,0.0084348,0.0190394,0.0275937,0,0.03037,0,0.0346911,0.0184314,0.0547396,0.0206746,0.0339446,0.00814212,0.0185215,0.00750319,0.0124639,0.012839,0.0441765,0.0175466,0.0192641,0.0138299,0.0162552,0.0219265,0.027655,0.011516,0.00957559,0.0361164,0.0159066,0.0317103,0.0165747,0.0257135,0,0,0.0637663,0,0.0221628,0.0404498,0.0716833,0.0283608,0.0243979,0.0218221,0.0155967,0.013617,0.0120623,0.0484989,0.0184988,0.0133338,0.0302397,0.0291788,0.0279415,0.0292253,0.0358239,0.0400113,0.00666479,0.0166275,0.0093895,0.0295899,0,0,0,0.00902859,0,0
2,0.0169411,0.00273465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211048,0.00847838,0.0192824,0,0,0.0299221,0,0.0348182,0.018244,0.0547944,0.0208952,0.0340802,0.00835159,0.020264,0.00730984,0.012047,0,0.0441026,0.0178962,0.0195299,0.0139765,0.016233,0.0227211,0.0276413,0.0113746,0.00935323,0.0303427,0.0157824,0.0235594,0.0171152,0.0264885,0,0,0.0645202,0,0.0227366,0.0413886,0.0710228,0.0187864,0.024597,0.0198615,0.0168589,0.0148758,0.0132335,0.0491541,0.0175718,0.0151313,0.0252658,0.0251821,0.0211577,0.0240902,0.0297118,0.041355,0.00667028,0.0172046,0.00954272,0.0302713,0,0,0,0.00868341,0,0
3,0.0169763,0.0022731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215567,0.00837896,0.0190976,0.0289746,0,0.0291828,0,0.0348879,0.0176193,0.0550323,0.0206855,0.0344124,0.0080801,0.0210272,0.00712582,0.0115703,0.0127906,0.0434295,0.0175931,0.0193299,0.0138292,0.0160325,0.0234218,0.0272276,0.0109221,0.0089966,0.0345646,0.0159613,0.0287811,0.0168899,0.026604,0,0,0.0644414,0,0.0234122,0.0412869,0.0715647,0.026142,0.0249748,0.017997,0.0173647,0.0153315,0.0119695,0.0491589,0.0157793,0.012818,0.0243633,0.0279461,0.0227326,0.0233017,0.0344004,0.0414798,0.00733354,0.016929,0.00936606,0.0303568,0,0,0,0.00820883,0,0
4,0.016506,0.00224619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234027,0.0083292,0.0192671,0.0266545,0,0.0293076,0,0.035474,0.0176695,0.0556637,0.0209166,0.0344438,0.0079448,0.0191159,0.00703904,0.0104888,0.0129222,0.0430181,0.0174577,0.0192315,0.0134982,0.0155312,0.0258356,0.0274076,0.0105178,0.0091119,0.035263,0.0158169,0.0299644,0.0168712,0.0258732,0,0,0.06505,0,0.0239484,0.0418312,0.0716802,0.0276422,0.0254866,0.0180365,0.0166513,0.0160069,0.0117459,0.0489806,0.0157434,0.0126928,0.0242898,0.0283054,0.0231842,0.0234154,0.0352095,0.0422676,0.00780709,0.017077,0.00892205,0.0295608,0,0,0,0.00738133,0,0
5,0.0148563,0.00591616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259388,0.00913695,0.0183907,0,0,0.0258822,0,0.0340125,0.0154438,0.0585281,0.0201479,0,0.00646572,0.0279214,0.004103,0.00740533,0,0.0403863,0.0152984,0.016983,0.0108851,0.0136966,0.0291839,0.0252398,0.0111966,0.00740699,0.0267025,0.0165581,0.0284079,0.0345614,0.0243176,0,0,0.0647303,0,0.0205448,0.0406151,0.068631,0.031123,0,0.0173417,0.0333961,0.0149128,0.00936388,0.050753,0.0156406,0.00853347,0.0204702,0.0254283,0.0203236,0.0195751,0.0285812,0.041946,0.00632073,0.0145992,0.0132163,0.0306999,0,0,0,0.00545543,0,0
6,0.0139135,0.00267196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238034,0.00794936,0.0167001,0,0,0.0286008,0,0.0357793,0.0176673,0.0616365,0.0188225,0,0.00644651,0.0241825,0.00555867,0.0048577,0,0.0365266,0.012368,0.0137346,0.00804005,0.012916,0.0261833,0.0271578,0.0102087,0.00916596,0.0357902,0.0157918,0.031307,0.0216056,0.0217885,0,0,0.0655923,0,0.021759,0.0417485,0.0694287,0.0292163,0.0205319,0.0187671,0.0176193,0.0164676,0.0125138,0.051485,0.0165974,0.0142948,0.0251775,0.0262777,0.0240591,0.0244805,0.03565,0.0434741,0.0078027,0.0154408,0.00915469,0.0275031,0,0,0,0.00597524,0,0
7,0.0113982,0.0141197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344103,0.00776652,0.0214832,0,0,0.0269137,0,0.0362039,0.0177171,0.0651147,0.0227541,0.0512898,0.00989413,0.042657,0.00619154,0.00428877,0.0160599,0.0396133,0.0135196,0.015753,0.00974307,0.0127293,0.0382739,0.0248368,0.00990041,0.0091191,0.043099,0.0151067,0.0473315,0.0313896,0.0105295,0,0,0.0651496,0,0.0242587,0.0422838,0.0667212,0.0610814,0.0276282,0.022302,0.0318127,0.0137002,0.00432032,0.0507264,0.0195356,0.00807105,0.0301218,0.0330608,0.0345051,0.0350095,0.0566916,0.0420738,0.00985348,0.0168049,0.0200463,0.0085376,0,0,0,0.00867041,0,0
8,0.0126322,0.0108528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397209,0.00895173,0.0215313,0,0,0.023546,0,0.0334635,0.0152051,0.0641901,0.021999,0.0511027,0.00882143,0.0354987,0.00627697,0.00394939,0,0.0388704,0.0130429,0.0162516,0.00914409,0.0116478,0.0452844,0.0231668,0.0117197,0.00622809,0.0475828,0.0151714,0.0460981,0.0300248,0.0128728,0,0,0.0644851,0,0.0231727,0.0413287,0,0.0639617,0.0286311,0.0222893,0.0206443,0.0128671,0.0117193,0.0401537,0.0217884,0.00806926,0.0235747,0.0351549,0.030039,0.0312332,0.0642178,0.0414399,0.0104095,0.0157113,0.0162908,0.0105251,0,0,0,0.00606682,0,0
9,0.0144227,0.00232465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249638,0.0073003,0.017212,0,0,0.0289316,0,0.0363215,0.0189482,0.0620941,0.0195633,0,0.00843417,0.0248441,0.00668773,0.00371655,0,0.0358959,0.0122677,0.0132301,0.00785666,0.0126711,0.0271902,0.0282718,0.00985607,0.00984868,0.0383181,0.0151689,0.032175,0.0207943,0.0216267,0,0,0.0649183,0,0.0229727,0.0412082,0.0699667,0.0286522,0.0213438,0.020078,0.017245,0.0173945,0.0139049,0.0511501,0.0177759,0.0165107,0.026428,0.0268644,0.0248937,0.026092,0.0377002,0.0434589,0.0104556,0.0153076,0.00914356,0.0277887,0,0,0,0.00594594,0,0
10,0.0169742,0.00205618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276832,0.00741746,0.02014,0.0255114,0,0.0300128,0,0.0370256,0.0197014,0.0567209,0.0215408,0.0352639,0.00949559,0.0185541,0.00839367,0.00839057,0.0147859,0.0417655,0.0173629,0.0184077,0.0126818,0.0147486,0.0306579,0.0291619,0.00938437,0,0.039643,0.0152711,0.0319843,0.0166501,0.0251827,0,0,0.0649722,0,0.0265074,0.0422359,0.0724521,0.0277613,0.0266252,0.0203842,0.0164323,0.0185496,0.0140739,0.0483414,0.017847,0.0165994,0.0259769,0.0290961,0.0244549,0.0257004,0.0390093,0.0437142,0.0124359,0.0177532,0.00836344,0.029506,0,0,0,0.00576932,0,0
11,0.0197891,0.0057272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273838,0.00816351,0.0221476,0.0370117,0,0.0263524,0,0.0339034,0.0168777,0.0529451,0.0232578,0.0301868,0.011801,0.0287814,0.00755664,0.0118109,0.0173571,0.0455186,0.0207635,0.0216529,0.0161203,0.0173076,0.0303193,0.0271641,0.0111405,0.00767699,0.0310622,0.0149996,0.0290647,0.0360026,0.0297187,0,0,0.0642564,0,0.0250533,0.0410952,0.072339,0.0294774,0,0.019863,0.0375171,0.0179059,0.0124387,0.0471667,0.0179151,0.0125564,0.020783,0.028453,0.0201926,0.0198251,0.0322323,0.0427398,0.0122755,0.0164225,0.0140941,0.0355872,0,0,0,0.00789687,0,0
12,0.0154082,0.00891565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032711,0.011029,0.0217353,0.0352153,0,0.0218594,0,0.0298535,0.0139635,0.0519437,0.0228051,0.0263618,0.00896696,0.0252577,0.00985515,0.0120992,0.015368,0.0445329,0.0202541,0.0216373,0.0153164,0.0160912,0.0380952,0.0241407,0.0139471,0.00490764,0.0475045,0.0149901,0.0461449,0.0240842,0.0260459,0,0,0.0636436,0,0.0233012,0.0401232,0,0.0549616,0,0.0272131,0.0354526,0.0165724,0.0219548,0.0349761,0.0271072,0.0158717,0.0244752,0.0393279,0.0302414,0.0265625,0.0556163,0.0413672,0.0128267,0.0154152,0.0148144,0.0303316,0,0,0,0.00645607,0,0
13,0.0149094,0.00907468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315948,0.0102153,0.0219024,0.035972,0,0.0196576,0,0.0302669,0.0123235,0.0515695,0.022721,0.0256247,0.0097892,0.0259091,0.00994243,0.0121082,0,0.0450113,0.0205593,0.0217558,0.0158135,0.0166188,0.036501,0.0222503,0.0130899,0.00433822,0.0322177,0.0157047,0.035854,0.0232608,0.0261889,0,0,0.0620533,0,0.0236688,0.0394858,0,0.0553327,0,0.026244,0.0353605,0.0144033,0.028572,0.0381529,0.0296979,0.0222254,0.00894307,0.0332223,0.0165281,0.0192186,0.046379,0.0391364,0.015085,0.0160454,0.0156817,0.0307036,0,0,0,0.00650608,0,0
14,0.0146975,0.00367146,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297356,0.00872082,0.0199656,0.0288566,0,0.0247351,0,0.03273,0.0155487,0.0545652,0.0213873,0.0321571,0.00827981,0.020803,0.00798597,0.00923578,0.0139482,0.0417458,0.0177801,0.0189005,0.0128235,0.0143847,0.0340208,0.0256456,0.0116217,0.00714532,0.0556499,0.0148069,0.0551809,0.00966566,0.0232145,0,0,0.0615805,0,0.025689,0.0388246,0,0.0665055,0.029173,0.0245665,0.0209378,0.0156967,0.020855,0.0387153,0.0251098,0.0120883,0.0269279,0.0390124,0.0354177,0.0311844,0.0652979,0.0388871,0.012536,0.0162531,0.00922343,0.0272889,0,0,0,0.00468016,0,0
15,0.0149329,0.003749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295733,0.00862941,0.0199448,0.0290565,0,0.0246523,0,0.0325066,0.0154257,0.0545507,0.0213452,0.0321336,0.0083973,0.0207381,0.00816474,0.00925959,0.0140451,0.0417568,0.0177476,0.0188179,0.0128253,0.0144029,0.0338033,0.025575,0.0117789,0.00708833,0.0554589,0.0148707,0.0548791,0.009564,0.0232289,0,0,0.060888,0,0.0259706,0.0382537,0,0.0660278,0.029086,0.0247608,0.0207166,0.0157778,0.0208794,0.0387703,0.0252234,0.0121117,0.0269132,0.0388556,0.0352759,0.0310563,0.0650183,0.0381809,0.0124663,0.0162072,0.00940747,0.0274813,0,0,0,0.00466765,0,0
16,0.0152154,0.00392123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293581,0.00848506,0.0198547,0.0292703,0,0.0247171,0,0.032255,0.0154148,0.0544262,0.0212553,0.0320516,0.00857261,0.0205902,0.00848212,0.00930135,0,0.0418857,0.0177814,0.0187966,0.0127994,0.0144666,0.0336332,0.0256737,0.0119793,0.00712068,0.0549462,0.015183,0.0543128,0.00971962,0.0232957,0,0,0.0603076,0,0.0264914,0.0378272,0,0.0653557,0.029103,0.0248952,0.0206532,0.0160396,0.0208063,0.0389214,0.02529,0.0121232,0.0268386,0.0385428,0.0350045,0.0308129,0.06448,0.0377263,0.0126859,0.0161891,0.00967346,0.0277381,0,0,0,0.00464981,0,0
17,0.0154561,0.00414557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295071,0.00843923,0.0199434,0.0291575,0,0.0246143,0,0.0320653,0.015258,0.054374,0.0212783,0.032064,0.0084321,0.0204573,0.00890128,0.00940353,0.0141954,0.0418598,0.0177525,0.0188857,0,0.0144841,0.0338547,0.0255766,0.0121555,0.00704636,0.0543475,0.0153172,0.0536843,0.00973724,0.0233193,0,0,0.0596453,0,0.0269163,0.0371331,0,0.0646869,0.029072,0.024992,0.0204955,0.0160597,0.0207028,0.039017,0.0253513,0.0121139,0.0267525,0.0382769,0.0346906,0.0305798,0.0639032,0.037028,0.0127055,0.016068,0.00974912,0.0278587,0,0,0,0.00473205,0,0
18,0.0156488,0.00437403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029303,0.00847014,0.0198628,0.0288889,0,0.0241848,0,0.0317999,0.0148911,0.0544224,0.0212556,0.032095,0.00830372,0.0202982,0.00928704,0.0093871,0.0141442,0.0418116,0.0177305,0.0188341,0.0127241,0.0144109,0.0337272,0.0253189,0.0123539,0.00684689,0.0539949,0.015307,0.0532296,0.00954715,0.0233076,0,0,0.0590524,0,0.027227,0.0364623,0,0.06415,0.0289691,0.025111,0.0202998,0.0161467,0.0206853,0.0390185,0.0254673,0.0121696,0.0267411,0.0381229,0.0345308,0.0304464,0.063582,0.0363857,0.012651,0.0159358,0.0098242,0.0278345,0,0,0,0.00475352,0,0
19,0.015934,0.0046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02923,0.00846992,0.0197898,0.0289082,0,0.0238775,0,0.0315982,0.0147709,0.0543453,0.0212108,0.0320051,0.00829111,0.0201435,0.00976546,0.00954367,0,0.0419328,0.0178311,0.0188619,0.0128578,0.0144296,0.033767,0.0253155,0.0126288,0.00676981,0.0535435,0.0151771,0.0526981,0.00957672,0.0234051,0,0,0.0585966,0,0.0274359,0.0359699,0,0.0635732,0.0289932,0.0252063,0.0202733,0.0164071,0.020697,0.0390771,0.0255268,0.0122278,0.0267047,0.0378829,0.0343266,0.0302657,0.0631411,0.0359869,0.012768,0.0159423,0.00997309,0.0279101,0,0,0,0.00478602,0,0
20,0.01616,0.00488033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292286,0.00851601,0.0197785,0.0287944,0,0.0232954,0,0.031417,0.0142356,0.0544533,0.0211979,0.0322152,0.00803594,0.0201367,0.00995149,0.00952138,0.0139043,0.0417441,0.0177496,0.0188523,0.0128465,0.0143116,0.0336108,0.0248819,0.0128186,0.00655309,0.0526254,0.0150736,0.0517277,0.00949242,0.0235293,0,0,0.0581297,0,0.0277783,0.0353758,0,0.0625766,0.0289493,0.025245,0.0201653,0.0165514,0.0205846,0.0390973,0.0254791,0.0121965,0.0265042,0.0374951,0.0338274,0.0298618,0.0622185,0.0354977,0.0126875,0.0157651,0.0102277,0.0280275,0,0,0,0.00489231,0,0
21,0.0163597,0.00506545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028984,0.00849538,0.0196602,0.0288146,0,0.0230584,0,0.0312017,0.0138742,0.054457,0.0210559,0.0322734,0.00783438,0.0201575,0.010072,0.00958373,0.0137181,0.041659,0.0176881,0.01883,0.012795,0.0142205,0.0334573,0.0246575,0.012983,0.0064125,0.0516107,0.0150115,0.0506415,0.00945605,0.0236766,0,0,0.0576903,0,0.0280416,0.0350046,0,0.0614196,0.0289049,0.0252535,0.0201587,0.0167029,0.0204069,0.0391614,0.0254553,0.0121479,0.0262968,0.0370365,0.0332815,0.0294375,0.0611765,0.0351574,0.0126879,0.0156839,0.0103898,0.0282128,0,0,0,0.00497031,0,0
22,0.0136256,0.00558654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291304,0.00861865,0.0175571,0.0272345,0,0.0225127,0,0.0307676,0.0134475,0.0593928,0.0195995,0,0.00650562,0.023565,0.00785026,0.00689887,0.011146,0.0364357,0.0134993,0.0149914,0.00833548,0.0113671,0.0338112,0.0239294,0.0132057,0.006387,0.0509561,0.0146737,0.0503069,0.0127987,0.0192811,0,0,0.0584323,0,0.02527,0.0343149,0,0.0614637,0.0222774,0.0246842,0.0190728,0.0164002,0.0200279,0.0415097,0.0250071,0.0117698,0.0264412,0.0352012,0.0332273,0.0296711,0.0607569,0.035573,0.0114958,0.0132123,0.0106251,0.0258119,0,0,0,0.00553738,0,0
23,0.0165525,0.00523829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292993,0.00853446,0.0194265,0.0288028,0,0.0225732,0,0.0309357,0.013524,0.0545338,0.0206577,0.0324914,0.00737138,0.0201557,0.0100902,0.00988883,0.0132974,0.0416132,0.0175605,0.0189621,0.012696,0.0140476,0.0338953,0.0239515,0.0133629,0.0061621,0.0500579,0.0147524,0.0487091,0.00960526,0.0239216,0,0,0.0569938,0,0.0281984,0.0341985,0,0.0595319,0.0289298,0.0253775,0.0204544,0.0168377,0.0202119,0.03948,0.025497,0.0120449,0.0260385,0.0361912,0.0324681,0.0288354,0.0597125,0.0345136,0.0124287,0.0155771,0.00954277,0.0285275,0,0,0,0.00507091,0,0
24,0.0154967,0.0058698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296249,0.00853698,0.0183431,0.0303097,0,0.0232833,0,0.0311498,0.0137336,0.0604754,0.019811,0,0.00758032,0.0283047,0.00815591,0.00530729,0.0124421,0.0371173,0.0130367,0.0150505,0.00872119,0.0117771,0.0336279,0.0244487,0.0133068,0.00641323,0.0365854,0.014388,0.0763824,0.0178467,0.0207704,0,0,0.0577555,0,0.0256794,0.0332835,0,0.0936895,0.0167825,0.0606084,0.0194379,0.0162042,0.0470072,0.045998,0.0522538,0.0661623,0.0829971,0.0535489,0.0758131,0.0952935,0.0211242,0.0348219,0.0105954,0.0130791,0.0116648,0.0283921,0,0,0,0.00498059,0,0
25,0.0143316,0.00685711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283072,0.00916171,0.0167711,0.0328197,0,0.0214152,0,0.0301092,0.0127621,0.0598492,0.0183271,0,0.00570281,0.0270207,0.00829768,0.00728664,0,0.0360775,0.0125497,0.0147416,0.00796521,0.0112512,0.0326585,0.0232929,0.0139011,0.00589811,0.0384895,0.0144494,0.0337188,0.0144678,0.0197417,0,0,0.0578857,0,0.0249737,0.0329527,0,0.0338233,0.0203119,0.0270865,0.0202641,0.0163547,0.021878,0.0432844,0.0259477,0.0206513,0.0271542,0.0292979,0.0262673,0.0264278,0.0404887,0.0346068,0.0104622,0.0125089,0.0124346,0.0264509,0,0,0,0.00587626,0,0
26,0.0142297,0.00667814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028097,0.00910923,0.0168087,0.032355,0,0.0209299,0,0.0299176,0.0124618,0.0597799,0.0184231,0,0.0053312,0.0255729,0.00842257,0.00724993,0.0096379,0.0363646,0.0127316,0.0151033,0.00810126,0.0112022,0.0325506,0.0228558,0.0137926,0.00591114,0.0431177,0.0144171,0.0411025,0.0136425,0.0196319,0,0,0.0576335,0,0.0252088,0.0328706,0,0.0478242,0.0214829,0.0251547,0.0200349,0.0160546,0.0201875,0.0426361,0.024903,0.0144639,0.0253257,0.0314916,0.0286772,0.02609,0.0497462,0.034247,0.0106777,0.012746,0.0123279,0.0260765,0,0,0,0.00557962,0,0
27,0.0138546,0.00711608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299823,0.00941676,0.0175472,0.0304661,0,0.020277,0,0.0298695,0.0122566,0.0605751,0.0187304,0,0.0056088,0.0266999,0.00757333,0.00684376,0.0102814,0.0366165,0.0125387,0.0155241,0.00842172,0.0113316,0.0343964,0.0218847,0.0135822,0.00532806,0.0168132,0.0149534,0.0233111,0.0158542,0.0192548,0,0,0.0563098,0,0.0251191,0.032113,0,0.0327967,0.0200041,0.0375446,0.0204746,0.0144849,0.0305856,0.0465501,0.0360103,0.0381083,0.0352665,0.0274992,0.0283991,0.0390941,0.0213841,0.0328022,0.0124936,0.0123096,0.0134432,0.0267187,0,0,0,0.00479811,0,0
28,0.0140946,0.00686379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291705,0.00946329,0.0165474,0.0307377,0,0.0197927,0,0.02963,0.0118041,0.0603366,0.018259,0,0.00430597,0.0256103,0.00826851,0.00841916,0.00980178,0.0360868,0.0122851,0.0153078,0.00786665,0.0110063,0.0338189,0.0217881,0.0137718,0.00554553,0.0372392,0.0144382,0.0339816,0.014193,0.0194913,0,0,0.0573839,0,0.0250396,0.0326036,0,0.0375763,0.0211998,0.0250788,0.0198726,0.0158776,0.020078,0.0432917,0.0244688,0.0162773,0.0242079,0.0289154,0.0248953,0.0236165,0.0417673,0.0337915,0.0107401,0.0126104,0.0115969,0.0257096,0,0,0,0.00708355,0,0
29,0.0139458,0.00699817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028502,0.00956574,0.0164145,0.0293639,0,0.0191473,0,0.0294308,0.011443,0.0602673,0.0180833,0,0.00392127,0.0250641,0.00818201,0.00850564,0.0109601,0.036299,0.0124701,0.0153449,0.00789584,0.0109617,0.0332047,0.0213076,0.0137008,0.00550308,0.0403329,0.0144434,0.039587,0.0137115,0.0193555,0,0,0.0572215,0,0.0250542,0.0325088,0,0.0483849,0.021853,0.0236227,0.0199785,0.0154661,0.018967,0.0429569,0.0237418,0.0117179,0.0233193,0.0302321,0.0269419,0.024697,0.0486003,0.0335234,0.0108243,0.0126701,0.0101908,0.0254932,0,0,0,0.00863675,0,0
30,0.0139188,0.00697049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288242,0.00958175,0.0164602,0.0293382,0,0.0189889,0,0.0294517,0.0113293,0.0597056,0.0181129,0,0.00320272,0.0240846,0.00825038,0.00931749,0.0111969,0.0370019,0.0130542,0.0160213,0.0082662,0.0108953,0.0340956,0.021215,0.013715,0.00551018,0.0404369,0.0144987,0.0408783,0.0133119,0.019195,0,0,0.0570809,0,0.0250436,0.0324385,0,0.0517877,0.0225009,0.0229609,0.0201474,0.0151204,0.0185755,0.0430213,0.0233307,0.0100784,0.0229161,0.03028,0.0272846,0.0253465,0.0501724,0.0333243,0.0108461,0.0126756,0.00995441,0.0252064,0,0,0,0.00579607,0,0
31,0.0168353,0.00463183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263478,0.0083472,0.0166587,0.0303377,0,0.0259889,0,0.0313753,0.0151367,0.060993,0.0184422,0,0.004914,0.0251261,0.00837078,0.00685561,0,0.0372193,0.0127422,0.0153136,0.00847565,0.0116786,0.03058,0.0260201,0.0133775,0.00723531,0.0235562,0.0145284,0.0189649,0.0211663,0.0206411,0,0,0.0564338,0,0.0259838,0.0325012,0.0686105,0.016734,0.0195725,0.0199387,0.0186756,0.0150294,0.0137858,0.0533663,0.0179196,0.0157938,0.0221431,0.0198502,0.0173563,0.020107,0.0232626,0.0333566,0.0114046,0.0135502,0.00956137,0.0286703,0,0,0,0,0,0
32,0.0152705,0.00674736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301144,0.00948644,0.0168538,0.0322022,0,0.0212107,0,0.0293981,0.0124262,0.0581258,0.0181284,0,0.00348057,0.0236123,0.00860758,0.0122506,0.101647,0.0386247,0.013629,0.0173675,0.00977936,0.012192,0.036175,0.022628,0.0143612,0.00575698,0.0319803,0.0145221,0.0322373,0.0129482,0.0205603,0,0,0.0567478,0,0.0252191,0.0324458,0,0.0400861,0.0222654,0.0228818,0.019855,0.0151119,0.0180652,0.0444386,0.0229242,0.0116257,0.0212018,0.026607,0.0225653,0.021328,0.03931,0.0330792,0.0111273,0.0130016,0.00970065,0.0261905,0,0,0,0,0,0
33,0.0151111,0.00522776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221836,0.00871095,0.0153337,0.0297485,0,0.024264,0,0.0307602,0.0141494,0.0653432,0.017659,0,0.0058588,0.0258059,0.00742679,0.00506682,0,0.0329985,0.00955401,0.0121375,0.00582453,0.0116112,0.0249928,0.0246425,0.013452,0.00689197,0.0184042,0.0145466,0.0170771,0.0194274,0.0185995,0,0,0.0569929,0,0.0247497,0.0326015,0.0681595,0.0170136,0.0166897,0.0185089,0.0158892,0.0146249,0.0111205,0.0531817,0.0165735,0.0120113,0.0199739,0.0195038,0.0155569,0.0172563,0.0186558,0.0335418,0.0112202,0.0127353,0.00964336,0.0265295,0,0,0,0.100311,0,0
34,0.0163723,0.00481594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243401,0.0085722,0.0158226,0.0286678,0,0.02568,0,0.0311877,0.0149353,0.0616814,0.0174702,0,0.00374768,0.0243515,0.0082817,0.00783139,0,0.0364239,0.0118263,0.0148948,0.00796292,0.0117445,0.0280185,0.0258623,0.0134123,0.00720406,0.0182638,0.0145059,0.0163301,0.0197498,0.0199901,0,0,0.0564624,0,0.0254238,0.0327077,0.0685168,0.0163051,0.018701,0.018749,0.0171664,0.0142836,0.0117943,0.0535307,0.0167714,0.0126759,0.0200324,0.0190315,0.0152249,0.0171087,0.0182969,0.0332225,0.0115597,0.0133897,0.00986472,0.0277091,0,0,0,0,0,0
35,0.0161665,0.00502545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251342,0.00858963,0.0159096,0.0270495,0,0.0255746,0,0.0311588,0.0147156,0.0611353,0.0176598,0,0.0028794,0.0240997,0.00821845,0.00883678,0.00768543,0.0368288,0.0123425,0.0154942,0.00817875,0.0116,0.0289388,0.0259408,0.0134663,0.0071875,0.0172899,0.0145153,0.0155451,0.0198001,0.0196781,0,0,0.0566152,0,0.0251154,0.0327595,0.0687364,0.0160298,0.0190157,0.0184919,0.0174448,0.0139239,0.0115117,0.053597,0.0164408,0.012249,0.019577,0.0187404,0.0145804,0.0163865,0.0172944,0.0332276,0.0114269,0.0132071,0.0100282,0.0274473,0,0,0,0.00968893,0,0
