Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LASI,
420,0.0062289,0.00554582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864446,0.00629362,0.0112317,0,0,0.0453653,0,0.0298362,0.0210492,0.0738263,0.0359812,0.0402269,0.0283654,0.00599132,0.0119927,0.0285136,0.0235781,0,0.0408204,0.0173463,0.0316049,0.00952286,0.0290053,0.11555,0.0291828,0.0189637,0.0129922,0.0585697,0.0157529,0.0205008,0.0086908,0.00329404,0,0,0.0902735,0,0.0205384,0.0591249,0.0657116,0.0393476,0.0162307,0.0178786,0.0104148,0.0379252,0.0171907,0.051606,0.0159052,0.0233773,0.0101126,0.0262988,0.00937725,0.0101205,0.0670866,0.0702768,0.0093451,0.0132944,0.00302008,0.0133527,0,0,0,0.0149031,0
421,0.00561513,0.00572844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0860855,0.00648274,0.0108054,0,0,0.0452346,0,0.0297745,0.0236668,0.0737984,0.0374919,0.040032,0.028243,0.00689594,0.0118153,0.0282129,0.023555,0,0.0405892,0.0176175,0.0310935,0.00955166,0.0290911,0.115192,0.0300135,0.0188963,0.0127657,0.0601552,0.0152276,0.020023,0.0087352,0.00340043,0,0,0.0863908,0,0.0216602,0.0559378,0.065553,0.038451,0.0164989,0.016673,0.0108244,0.0359007,0.0167694,0.0526542,0.0149157,0.023481,0.010594,0.0265407,0.0100356,0.0108069,0.0694339,0.0660664,0.0103514,0.0118733,0.00229759,0.0128081,0,0,0,0.0153269,0
422,0.00560191,0.00574193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084574,0.00686338,0.0101329,0,0,0.0453467,0,0.0295947,0.0245545,0.0736163,0.0391806,0.0395233,0.0282203,0.00706115,0.0114444,0.0281,0.023824,0,0.0406801,0.0174965,0.0302062,0.00938442,0.0292082,0.113918,0.0306652,0.0189715,0.0124824,0.0621657,0.015777,0.0197038,0.00853677,0.00361568,0,0,0.0858097,0,0.0209381,0.0561483,0.0655458,0.0377035,0.016747,0.0152554,0.0106857,0.0361138,0.0165238,0.0539174,0.0133178,0.0232021,0.011063,0.0267371,0.0107329,0.0117709,0.0722461,0.0663225,0.00918235,0.0120774,0.00241083,0.012621,0,0,0,0.0156838,0
423,0.00537991,0.00569243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820371,0.00691919,0.00963079,0,0,0.0454026,0,0.029569,0.0244376,0.0734277,0.0401793,0.0393229,0.0282675,0.00702394,0.0114303,0.0280115,0.0239779,0,0.0408141,0.0171957,0.0290162,0.00908379,0.0292383,0.111509,0.0307618,0.0191455,0.0125065,0.0645688,0.0158921,0.019654,0.00823841,0.00389911,0,0,0.0782728,0,0.020888,0.0510545,0.0657447,0.0371348,0.0169696,0.0137618,0.0107199,0.03373,0.0167515,0.0552899,0.0123166,0.022797,0.01162,0.0271536,0.0114017,0.0130427,0.0755087,0.0602208,0.0111299,0.0118488,0.00218917,0.0123592,0,0,0,0.0160271,0
424,0.00553847,0.00461156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800658,0.00746046,0.0100077,0,0,0.045045,0,0.0289619,0.0235344,0.0723767,0.0397857,0.0381164,0.0289933,0.00510407,0.0099062,0.0280008,0.0245738,0,0.0416624,0.0166043,0.0283577,0.00819316,0.0284638,0.109715,0.029991,0.0196153,0.0123041,0.0683588,0.0192315,0.0198701,0.0070027,0.00388076,0,0,0.0739748,0,0.016203,0.0541333,0.065641,0.0370366,0.0170162,0.0123853,0.00866483,0.0362978,0.0171173,0.0568247,0.0121274,0.0221249,0.0122908,0.0278804,0.0121527,0.0148774,0.0802882,0.0637106,0.00892022,0.0110971,0.00459019,0.0133767,0,0,0,0.0162592,0
425,0.00542276,0.00468733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076121,0.00736651,0.0112614,0,0,0.045642,0,0.0290452,0.0235731,0.0720514,0.0390109,0.037892,0.0290245,0.0056504,0.00969469,0.0277232,0.0241648,0,0.04137,0.0158115,0.0273115,0.00796116,0.0277536,0.105657,0.0292903,0.0198479,0.01211,0.071958,0.0191138,0.0201472,0.00675842,0.00449216,0,0,0.0726718,0,0.0163147,0.0533138,0.0657869,0.0369475,0.0172616,0.011202,0.0089365,0.0356624,0.0174544,0.0582749,0.0124003,0.0217155,0.0131675,0.0288465,0.0129333,0.0166091,0.0848716,0.0627053,0.00906614,0.011174,0.00431222,0.0133,0,0,0,0.0166419,0
426,0.0054695,0.00490266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722537,0.0074497,0.0127035,0,0,0.0464349,0,0.0290924,0.023393,0.0716244,0.0380624,0.037491,0.0282997,0.00625617,0.0095619,0.0271414,0.023417,0,0.0409574,0.0148398,0.0259817,0.00805046,0.0271664,0.101486,0.0294201,0.0200664,0.0119738,0.0757112,0.0189536,0.020351,0.00645568,0.00527407,0,0,0.0714664,0,0.0165034,0.0524717,0.0657927,0.037043,0.0175117,0.0102124,0.00912698,0.0350566,0.0177479,0.059736,0.0130054,0.0212742,0.0143847,0.0299141,0.0138557,0.01885,0.0896201,0.0618269,0.0101654,0.0112022,0.00406849,0.0133535,0,0,0,0.0169934,0
427,0.0056035,0.00504147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698157,0.0074818,0.0138921,0,0,0.0471998,0,0.0291445,0.0234962,0.0712484,0.0377628,0.0371076,0.0268196,0.00678771,0.00946816,0.0262406,0.0222126,0,0.0405023,0.0138732,0.0242291,0.00825753,0.0266777,0.0986506,0.0298659,0.0202739,0.0119274,0.0796114,0.0187653,0.0203557,0.00616122,0.00596213,0,0,0.0703157,0,0.0166801,0.0516757,0.065796,0.0372548,0.0178233,0.00940484,0.00930614,0.0345703,0.0182223,0.0611491,0.0138893,0.0209024,0.0159987,0.0310418,0.014796,0.0215099,0.0944577,0.0610291,0.00982895,0.0110617,0.00380827,0.0134146,0,0,0,0.0174481,0
428,0.00611629,0.00534473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686397,0.00647864,0.0144617,0,0,0.0465,0,0.0298729,0.0242053,0.0708692,0.0379892,0.0368175,0.024967,0.00730735,0.00954224,0.0250017,0.0206246,0,0.040187,0.0128263,0.0224831,0.00808531,0.0262273,0.0972255,0.0268931,0.0206806,0.0119493,0.0836846,0.0183842,0.0202754,0.00580052,0.00736759,0,0,0.0527111,0,0.0173919,0.0353176,0.0656591,0.0377453,0.0183913,0.00880394,0.00966868,0.0217689,0.018534,0.0623937,0.0149118,0.0205657,0.0179473,0.0321426,0.0156994,0.0245255,0.0995134,0.0390706,0.0123974,0.0106122,0.00378674,0.0139561,0,0,0,0.0180061,0
429,0.00652454,0.00548805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675326,0.00639246,0.0148458,0,0,0.0469165,0,0.0297981,0.0245079,0.0707394,0.03783,0.0368724,0.0229392,0.00789297,0.00924129,0.023526,0.0186893,0,0.0396526,0.0121696,0.0211913,0.00786325,0.0259808,0.0957138,0.0267287,0.0208998,0.0118985,0.0880031,0.0181178,0.0201461,0.00568997,0.00770316,0,0,0.0530032,0,0.0175076,0.0354514,0.0654288,0.0386229,0.0189107,0.00848449,0.0102941,0.0218914,0.0187561,0.0633688,0.0159403,0.0203469,0.0198763,0.0332333,0.0165204,0.0273771,0.104903,0.0395632,0.0122306,0.0104396,0.00333616,0.0141665,0,0,0,0.0180093,0
