Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,LFHD,
All Timesteps RMSE,0.025779,0.0274325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402274,0.00934377,0.0238493,0.0230959,0,0.0282562,0.0315874,0.0153803,0.0463046,0.0258874,0.0347108,0.027182,0.020642,0.0291756,0.0200805,0.0282895,0.0257859,0.0560505,0.0181,0.0212563,0.0194119,0.0171472,0.0447431,0.0264713,0.0156849,0.00655725,0.0361159,0.0167449,0.0452208,0.0201988,0.026189,0,0,0.030667,0,0.0213073,0.0214887,0.0672523,0.0584171,0.019933,0.0139484,0.0166249,0.0315378,0.00813274,0.0538143,0.0124266,0.00801111,0.0197794,0.0279807,0.0261289,0.026834,0.0434269,0.0265693,0.025088,0.0192587,0.0265347,0.029266,0,0,0,0,0,0
0,0.0280861,0.0335726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150448,0.00918984,0.0270343,0.0181486,0,0.0245451,0.0305246,0.0137484,0.0383452,0.0281022,0.0351456,0.0281412,0.0153599,0.0177672,0.0273593,0.0357591,0.0275103,0.0599007,0.017649,0.0186563,0.0202508,0.0187024,0.0136691,0.0280562,0.0161884,0.00418207,0.0494119,0.0168753,0.0588341,0.0179193,0.0290552,0,0,0.0213768,0,0.0181256,0.0137154,0.0694415,0.0709387,0.0192469,0.0143114,0.0133061,0.045811,0.00740208,0.0503032,0.0138237,0.0065375,0.0226249,0.0333621,0.0336572,0.0314205,0.0554394,0.0253949,0.00469918,0.00617115,0.0318487,0.0280827,0,0,0,0,0,0
1,0.0269601,0.0314236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153675,0.00930603,0.0269479,0.0181861,0,0.0209157,0.0303986,0.0117013,0.0383639,0.027917,0.0351944,0.0279019,0.0153726,0.0161723,0.0272112,0.0354663,0.0273802,0.0598429,0.017627,0.0186607,0.0201716,0.0185596,0.0140462,0.0224065,0.0156198,0.00470214,0.0497032,0.0164454,0.0589067,0.017992,0.0273251,0,0,0.0300271,0,0.018224,0.0193402,0.0694369,0.0709704,0.0192562,0.0143643,0.0133291,0.0410706,0.00739177,0.0502839,0.0139044,0.00654937,0.0227188,0.0336999,0.0337136,0.0314731,0.0556759,0.0303588,0.00532418,0.0078002,0.0299809,0.0278316,0,0,0,0,0,0
2,0.0271079,0.0315172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152869,0.00922283,0.0269569,0.0181553,0,0.0206874,0.0305507,0.0115179,0.0383459,0.0279379,0.0352055,0.0279198,0.015374,0.0163411,0.0272303,0.035479,0.027393,0.0598473,0.017627,0.0186626,0.0201724,0.0185579,0.0140066,0.0222263,0.0158667,0.00465858,0.0499732,0.016412,0.0590922,0.0180034,0.0273472,0,0,0.0301711,0,0.0181923,0.019435,0.0694202,0.0711095,0.0192559,0.0144076,0.0133706,0.0410244,0.00739785,0.0503175,0.0139315,0.00652235,0.022826,0.0337851,0.0338693,0.0315714,0.0559399,0.0304602,0.0053525,0.00786248,0.0300124,0.0278682,0,0,0,0,0,0
3,0.0272094,0.0315878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152771,0.00919786,0.0269678,0.0181195,0,0.0206429,0.0305926,0.0114922,0.0383327,0.0279482,0.0352002,0.0279199,0.0153649,0.0164523,0.0272262,0.0354485,0.0273809,0.0598448,0.0176187,0.018648,0.0201772,0.0185353,0.0139753,0.021982,0.015886,0.00462948,0.0501002,0.0164028,0.0592178,0.0179953,0.0273654,0,0,0.0302481,0,0.0181977,0.0195111,0.0694107,0.0711841,0.0192646,0.0144114,0.0133839,0.0409992,0.00741546,0.050332,0.0139322,0.00651861,0.0228651,0.0337905,0.0339225,0.0316153,0.0560778,0.0305107,0.00536141,0.007979,0.0300162,0.0278722,0,0,0,0,0,0
4,0.0273244,0.0316585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152399,0.00921853,0.0269754,0.0181153,0,0.0207135,0.0305035,0.0116113,0.0383064,0.0279341,0.035203,0.0279197,0.0153475,0.0165617,0.0272139,0.035372,0.0273643,0.05983,0.0176183,0.0186326,0.0201769,0.0185285,0.0139653,0.021922,0.0157301,0.00464831,0.0502008,0.0164079,0.0592889,0.0179838,0.0273761,0,0,0.0303196,0,0.0181973,0.0195889,0.069398,0.0712263,0.0192615,0.0144013,0.0133944,0.0410038,0.00742288,0.0503221,0.0139427,0.00652926,0.0228939,0.0338047,0.0339822,0.0316475,0.0561906,0.0305654,0.0053855,0.00779371,0.030005,0.0278936,0,0,0,0,0,0
5,0.0274419,0.0317153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152534,0.00918465,0.0269653,0.0181148,0,0.0206905,0.0304787,0.0116119,0.0382496,0.0279048,0.035212,0.0279231,0.0153333,0.0167089,0.0272043,0.0353974,0.0273445,0.0597962,0.0176073,0.0186184,0.0201667,0.0185332,0.0139467,0.0218171,0.0157392,0.00468138,0.0502412,0.0164267,0.0592675,0.0179642,0.0273943,0,0,0.0303647,0,0.0181862,0.0196324,0.0694081,0.0712057,0.0192489,0.0144344,0.0134163,0.0410207,0.00745613,0.0503042,0.0139805,0.00655034,0.022875,0.0338669,0.0339633,0.0316284,0.0562116,0.0306077,0.00540784,0.00763032,0.0300219,0.0279189,0,0,0,0,0,0
6,0.0275325,0.0317513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152404,0.00914923,0.0269599,0.0180856,0,0.0206628,0.0304309,0.0115963,0.0382223,0.0278819,0.035227,0.0279225,0.0153455,0.0168828,0.0271952,0.0354248,0.0273273,0.0597726,0.017606,0.0186147,0.0201668,0.0185546,0.0139749,0.021822,0.0157286,0.00468233,0.0503865,0.0164309,0.0593577,0.0179481,0.0274134,0,0,0.0303948,0,0.0181696,0.0196531,0.0694116,0.0712695,0.0192515,0.0144495,0.0134467,0.0409983,0.00747164,0.0503232,0.0140001,0.006553,0.022921,0.0338891,0.034012,0.0316839,0.0563237,0.0306414,0.00541671,0.00764354,0.030045,0.0279557,0,0,0,0,0,0
7,0.0275738,0.0317633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152965,0.00909437,0.0269553,0.0180697,0,0.0205561,0.0304942,0.0114842,0.0382459,0.0278666,0.0352267,0.0279124,0.015344,0.0169755,0.0271826,0.0354388,0.027307,0.0597551,0.017609,0.018603,0.0201745,0.0185744,0.0140236,0.0217644,0.0158619,0.00464044,0.0505221,0.0164348,0.0594588,0.0179197,0.027415,0,0,0.0303986,0,0.0181769,0.0196429,0.0694157,0.0713221,0.0192442,0.0144509,0.0134673,0.0409843,0.0074973,0.0503393,0.0140224,0.00659157,0.0229634,0.0339289,0.0340998,0.0317316,0.0564692,0.0306565,0.00541666,0.00768985,0.0300545,0.0279739,0,0,0,0,0,0
8,0.0275874,0.0317653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015287,0.0090564,0.0269695,0.0180757,0,0.0204913,0.0305256,0.0114116,0.0382917,0.027852,0.0352205,0.0279039,0.0153427,0.0169832,0.0271777,0.03544,0.0272939,0.0597407,0.0176232,0.018594,0.0201922,0.018589,0.0140408,0.0218515,0.0159284,0.00459121,0.0507032,0.0164719,0.0595977,0.0179133,0.0274072,0,0,0.0304031,0,0.0182372,0.0196388,0.0694174,0.0713867,0.0192379,0.0144476,0.0134664,0.04099,0.00752393,0.050352,0.0140521,0.00662549,0.0230118,0.0340035,0.0342063,0.0317899,0.056628,0.0306622,0.00542463,0.00771534,0.0300494,0.0279765,0,0,0,0,0,0
9,0.027612,0.0317948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015331,0.00905679,0.0269712,0.0180799,0,0.0205079,0.0304965,0.0114307,0.038298,0.0278271,0.0352103,0.0278897,0.0153374,0.0169836,0.0271834,0.03541,0.0272918,0.0597179,0.0176271,0.0185855,0.0202044,0.0185966,0.0140699,0.0218974,0.0158851,0.0045515,0.0508928,0.0164723,0.0597129,0.0179261,0.0274095,0,0,0.0304528,0,0.0182319,0.0196196,0.0694238,0.0714511,0.019256,0.0144667,0.0134548,0.0410094,0.00754204,0.0503732,0.0140664,0.00663302,0.0230614,0.034091,0.0343133,0.0318412,0.0567791,0.0306861,0.00540115,0.00773972,0.0300607,0.0279724,0,0,0,0,0,0
10,0.0276568,0.0318438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153501,0.00908426,0.0269702,0.0180813,0,0.0205407,0.0304413,0.0114643,0.0382865,0.0278137,0.0352128,0.0278748,0.0153468,0.0170216,0.0271946,0.035357,0.0273014,0.0597104,0.0176247,0.0185913,0.0202029,0.0186074,0.0141394,0.0219088,0.0158046,0.00450461,0.051065,0.0162774,0.0598106,0.017943,0.0274382,0,0,0.0305763,0,0.0179738,0.0195893,0.0694298,0.0715216,0.0192757,0.014504,0.0134715,0.0409824,0.00756191,0.0503811,0.014078,0.00661479,0.0231076,0.0341667,0.0343858,0.0318693,0.0569201,0.0307594,0.00540633,0.00791051,0.0300957,0.0279995,0,0,0,0,0,0
11,0.0276787,0.0318508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153944,0.00907907,0.0269716,0.0180681,0,0.0205234,0.030479,0.011437,0.0382894,0.0277977,0.0352239,0.0278784,0.0153677,0.0170557,0.0272114,0.0354116,0.0273051,0.0597101,0.0176352,0.0185981,0.0201853,0.0186203,0.0142162,0.0219186,0.015869,0.00444343,0.0512183,0.0163028,0.0599563,0.0179553,0.0274482,0,0,0.0305398,0,0.0179663,0.0195701,0.0694292,0.0716036,0.0192861,0.014493,0.0135049,0.0409765,0.00757894,0.0503768,0.0140851,0.00662026,0.0231265,0.0342447,0.034402,0.0319107,0.0570734,0.0307298,0.00540129,0.00830078,0.0300722,0.0280214,0,0,0,0,0,0
12,0.0276833,0.0318164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153465,0.00906647,0.0269888,0.0180762,0,0.0205195,0.0305159,0.0114346,0.0382893,0.0277873,0.0352292,0.0278885,0.0153846,0.0170794,0.0272086,0.0354535,0.0272917,0.0597073,0.0176761,0.0185921,0.0201919,0.0186346,0.0142759,0.0219317,0.0159073,0.00449528,0.0513991,0.0164998,0.0601762,0.0179619,0.0274323,0,0,0.0304252,0,0.0181943,0.0195944,0.0694113,0.071719,0.0192973,0.01447,0.0135318,0.0410088,0.00759541,0.0503809,0.0140723,0.00662904,0.0231534,0.0343515,0.0344486,0.031971,0.0572642,0.0306246,0.00539448,0.0082207,0.030068,0.0280248,0,0,0,0,0,0
13,0.0276932,0.0317872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153341,0.00906824,0.0269952,0.0180438,0,0.0205246,0.0305123,0.011463,0.0383014,0.0277707,0.0352243,0.0278916,0.0153848,0.0170944,0.0271926,0.0354618,0.027278,0.0597045,0.0177159,0.0185728,0.0202112,0.0186582,0.0143066,0.0219728,0.0158845,0.00451639,0.0516509,0.0165176,0.0601961,0.0179557,0.0274115,0,0,0.0304181,0,0.0182316,0.0196113,0.0694155,0.071781,0.0192955,0.0145125,0.013542,0.0410193,0.00763437,0.0503853,0.0141035,0.00665779,0.0231914,0.0343452,0.0345157,0.032007,0.0574855,0.0305817,0.00542647,0.00762065,0.0301125,0.0280259,0,0,0,0,0,0
14,0.0277139,0.0318043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153981,0.0090753,0.0269871,0.0180619,0,0.0205835,0.0304376,0.0115633,0.0383061,0.0277518,0.035219,0.027887,0.0153701,0.0171293,0.0272002,0.035437,0.0272578,0.0596985,0.0176632,0.0185403,0.0202217,0.0186727,0.0143663,0.0220189,0.0157907,0.00448534,0.051803,0.0164774,0.0602228,0.0179413,0.0274112,0,0,0.0304719,0,0.0181931,0.0196537,0.0694348,0.0717932,0.0192893,0.0145195,0.0135432,0.0410167,0.00763841,0.0503841,0.0140832,0.00669335,0.0232107,0.0343131,0.0345959,0.0320126,0.0576043,0.0306072,0.00545003,0.00746937,0.0301532,0.0280221,0,0,0,0,0,0
15,0.0277023,0.0318186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154774,0.00905631,0.0269722,0.0180742,0,0.0206271,0.0303361,0.0116381,0.0383057,0.0277404,0.0351942,0.0278788,0.0153402,0.017116,0.0272015,0.0354366,0.0272377,0.0596709,0.0176503,0.0184867,0.0202069,0.0186671,0.0144373,0.0220448,0.0157331,0.00437083,0.0518016,0.0164647,0.0602226,0.0178824,0.0274095,0,0,0.0304836,0,0.0181682,0.019675,0.0694611,0.0717777,0.0192769,0.0144748,0.0135381,0.0410274,0.00763972,0.0503686,0.0140185,0.00672403,0.0231578,0.0341362,0.034607,0.0319684,0.0575432,0.0306242,0.00546334,0.0073798,0.0301571,0.0279813,0,0,0,0,0,0
16,0.027678,0.0318432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154799,0.00901972,0.0269617,0.0180808,0,0.0206464,0.0302578,0.011627,0.0383106,0.0277315,0.0351847,0.0278667,0.0153131,0.01712,0.0272143,0.0354388,0.0272265,0.059632,0.0176838,0.0185073,0.0201998,0.0186692,0.0144872,0.022099,0.0157285,0.00431112,0.0518474,0.0164442,0.0602809,0.0178415,0.0274047,0,0,0.0304902,0,0.0181502,0.0197018,0.0694663,0.0718034,0.0192758,0.0144486,0.0135265,0.0410514,0.00764534,0.0503852,0.0139912,0.00674112,0.0231509,0.0340823,0.0346328,0.0319672,0.057526,0.0306615,0.00547878,0.00734686,0.0301319,0.027943,0,0,0,0,0,0
17,0.0276712,0.0318338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154981,0.00902344,0.02696,0.018054,0,0.0206624,0.0302753,0.0115788,0.0382873,0.0277228,0.0351905,0.0278544,0.0153383,0.0171174,0.0272143,0.035454,0.0272368,0.0596185,0.0176431,0.018533,0.0201987,0.0186754,0.0145087,0.0221577,0.0157595,0.00431169,0.0519492,0.0164187,0.0603791,0.0178372,0.0273911,0,0,0.0305015,0,0.0181408,0.0197003,0.0694693,0.0718454,0.0192947,0.0144408,0.0135296,0.0410791,0.00763109,0.0504074,0.0139659,0.00673059,0.0231927,0.0341196,0.0346497,0.0320353,0.0576259,0.0306666,0.00547342,0.00730892,0.0301098,0.0279152,0,0,0,0,0,0
18,0.0276775,0.0318427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155015,0.00905469,0.0269667,0.0180068,0,0.020672,0.030344,0.0115534,0.0382462,0.0277165,0.0352083,0.0278457,0.0153735,0.0171187,0.0272248,0.0354663,0.0272775,0.0596164,0.01762,0.0185565,0.0202064,0.018682,0.0145469,0.0222246,0.0157924,0.00436681,0.0520907,0.0164204,0.0604732,0.0178579,0.0273792,0,0,0.0305117,0,0.018148,0.0196686,0.0694778,0.0718872,0.019333,0.0144527,0.013531,0.0410904,0.00760325,0.0504343,0.0139498,0.00672347,0.0232495,0.0342213,0.0347144,0.0321262,0.0577593,0.0306559,0.00546307,0.00729583,0.0301074,0.0279072,0,0,0,0,0,0
19,0.0276701,0.0318423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155838,0.00907314,0.0269607,0.0180406,0,0.0206985,0.0303871,0.0115741,0.0382855,0.0277127,0.0352177,0.0278342,0.0153601,0.0171074,0.0272362,0.0354476,0.027293,0.0596192,0.0176151,0.0185589,0.0202159,0.0186988,0.0146578,0.0222424,0.015797,0.00441712,0.0522917,0.0163777,0.0606005,0.0178817,0.0273697,0,0,0.03053,0,0.0181051,0.0196143,0.0694828,0.071957,0.0193458,0.0144636,0.0135096,0.0410858,0.00758896,0.0504545,0.0139571,0.0067077,0.0233138,0.0343347,0.0348377,0.0322051,0.0579498,0.0306723,0.00547032,0.00731168,0.0300773,0.027871,0,0,0,0,0,0
20,0.0276542,0.0318403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156029,0.00909168,0.0269617,0.0180637,0,0.0206925,0.0304033,0.0116168,0.0383136,0.0277088,0.0352079,0.0278369,0.0153432,0.0170983,0.027239,0.0354647,0.0272841,0.0596206,0.0176113,0.018536,0.0202162,0.0187096,0.0147681,0.0222119,0.0157934,0.00440967,0.052418,0.0162775,0.0606592,0.0178931,0.0273712,0,0,0.0306151,0,0.0180009,0.0196227,0.0695048,0.0719929,0.0193513,0.0144066,0.0134827,0.0410751,0.00759221,0.0504563,0.0139566,0.00670363,0.0233122,0.0342679,0.0348844,0.0322176,0.0580318,0.0307356,0.00551855,0.0073394,0.0300654,0.02783,0,0,0,0,0,0
21,0.0276426,0.0318387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156319,0.00909667,0.0269786,0.0180603,0,0.0206988,0.0304068,0.011652,0.0383245,0.0277128,0.035204,0.0278458,0.0153282,0.0170892,0.0272503,0.0355082,0.0272667,0.0596364,0.0176072,0.0185254,0.0202187,0.0187177,0.0148483,0.0222115,0.0157872,0.00444696,0.0525112,0.0162843,0.0606724,0.0179068,0.0273879,0,0,0.0306128,0,0.0180083,0.0196319,0.0695184,0.0719974,0.0193482,0.0143864,0.0134724,0.0411164,0.00759994,0.0504485,0.0139593,0.00671184,0.0233076,0.03425,0.0349184,0.0322079,0.0580909,0.0307173,0.00552034,0.00733346,0.0300714,0.0278088,0,0,0,0,0,0
22,0.0276217,0.0318507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157162,0.0091087,0.026997,0.0180481,0,0.0207164,0.0303964,0.0116706,0.0383189,0.0277123,0.0352062,0.0278553,0.015333,0.017115,0.0272643,0.0355241,0.0272534,0.0596431,0.017607,0.0185328,0.0202218,0.0187208,0.0149344,0.0222803,0.0157687,0.00439977,0.0526392,0.0162613,0.0606999,0.0179396,0.0273989,0,0,0.0306531,0,0.01798,0.0196467,0.0695267,0.072012,0.0193567,0.0144054,0.0135118,0.0411217,0.00761273,0.0504408,0.0139925,0.0066911,0.0233376,0.0343262,0.0349781,0.0322199,0.0582013,0.0307042,0.00552069,0.00731358,0.0300913,0.0278215,0,0,0,0,0,0
23,0.0275414,0.0318574,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158174,0.00908619,0.0269995,0.0180128,0,0.0207688,0.0303918,0.0116926,0.0383215,0.0277056,0.0352098,0.0278477,0.0153465,0.0171436,0.0272686,0.0355452,0.0272507,0.0596404,0.0176137,0.0185545,0.0202112,0.0187347,0.0150037,0.0223591,0.0157499,0.00437267,0.0527849,0.0163344,0.0607774,0.0179799,0.0273981,0,0,0.0306231,0,0.0180647,0.0196597,0.0695459,0.0720507,0.0193825,0.0144321,0.0135484,0.041156,0.00761511,0.0504557,0.0140141,0.00670281,0.023408,0.0344721,0.0349984,0.0322892,0.0583444,0.0306726,0.00547553,0.00728382,0.0301008,0.0278243,0,0,0,0,0,0
24,0.027521,0.0318512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015836,0.00906822,0.0270023,0.0180167,0,0.0208,0.0303767,0.0116914,0.0383238,0.0276975,0.0352118,0.02784,0.0153376,0.0171536,0.0272821,0.0355722,0.027253,0.0596426,0.01762,0.0185515,0.0202092,0.0187434,0.0150698,0.0224135,0.0157404,0.00437149,0.052804,0.0163761,0.0608179,0.0179904,0.0273842,0,0,0.0306265,0,0.0181061,0.0196475,0.0695585,0.0720587,0.0193903,0.0144222,0.0135326,0.041171,0.00760154,0.0504661,0.0140396,0.00672958,0.0234538,0.0345044,0.0349885,0.0323108,0.0584022,0.0306638,0.00545532,0.00726572,0.0300668,0.0277946,0,0,0,0,0,0
25,0.0275614,0.0318389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158916,0.00906936,0.0270173,0.0180714,0,0.0208027,0.0303629,0.0116804,0.038316,0.0276931,0.0352283,0.0278339,0.0153225,0.0171327,0.0272924,0.0355942,0.0272735,0.0596491,0.0176242,0.0185172,0.0202097,0.0187446,0.0151056,0.0224164,0.0157443,0.00436137,0.052752,0.0163763,0.0607945,0.0179694,0.0273641,0,0,0.0306473,0,0.0181106,0.01964,0.0695739,0.0720136,0.0193788,0.0144056,0.0135171,0.0411756,0.00759544,0.0504675,0.0140207,0.00673926,0.0234309,0.0344203,0.0349957,0.0322861,0.0583353,0.0306729,0.00546259,0.00726913,0.0300496,0.0277442,0,0,0,0,0,0
26,0.0275694,0.0318292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158959,0.0090765,0.0270284,0.0180623,0,0.0208229,0.0303491,0.011699,0.038306,0.0276966,0.0352317,0.0278367,0.0152949,0.0171285,0.0272958,0.035614,0.0272866,0.0596554,0.0176207,0.0184837,0.0202162,0.0187412,0.0150969,0.0224371,0.0157299,0.00434766,0.0527303,0.0164241,0.0607766,0.0179804,0.0273698,0,0,0.0306663,0,0.0181656,0.0196436,0.0695748,0.0719625,0.0193655,0.0144156,0.0135838,0.0411997,0.00758634,0.0504638,0.0140139,0.00672654,0.023409,0.0344064,0.0350188,0.0322703,0.0582631,0.0307011,0.00546687,0.0072752,0.0300752,0.0276976,0,0,0,0,0,0
27,0.0275356,0.0318133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158841,0.00908573,0.027033,0.0180152,0,0.0208481,0.0303467,0.0117313,0.0383102,0.0276902,0.0352311,0.0278504,0.0152866,0.0171113,0.0273032,0.0356267,0.0272824,0.0596412,0.0176094,0.0185119,0.0202155,0.018745,0.0151613,0.0224468,0.0157208,0.0043481,0.0526879,0.0165019,0.0607507,0.0179771,0.0273811,0,0,0.030685,0,0.0182608,0.0196498,0.0695841,0.0719097,0.0193721,0.0144348,0.0136938,0.0412463,0.00759186,0.0504484,0.0140111,0.00670569,0.0233697,0.0343316,0.0349753,0.0322405,0.0582019,0.0307359,0.00543079,0.00727803,0.0300798,0.0276576,0,0,0,0,0,0
28,0.0274972,0.0318102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159264,0.0091016,0.0270288,0.0180612,0,0.0208768,0.0303595,0.0117323,0.0383126,0.0276916,0.0352445,0.0278592,0.015303,0.0170934,0.0273061,0.0356043,0.0272699,0.0596319,0.0176095,0.0185172,0.0202151,0.0187523,0.0152681,0.0224394,0.015727,0.00433273,0.0527496,0.0164592,0.0607572,0.017985,0.0273989,0,0,0.0307272,0,0.0182065,0.0196466,0.069576,0.0719068,0.0193736,0.0144514,0.0136222,0.0412665,0.00760569,0.0504573,0.0140127,0.0066985,0.0233793,0.0343513,0.0349572,0.0322512,0.0582153,0.0307828,0.00538728,0.0072858,0.0300841,0.0276321,0,0,0,0,0,0
29,0.0274572,0.0318175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159687,0.00910433,0.0270301,0.0181098,0,0.0209366,0.0303867,0.0117736,0.0383149,0.0276994,0.035254,0.0278717,0.0152913,0.0170644,0.027316,0.0356166,0.0272588,0.0596393,0.0176215,0.0185119,0.020215,0.0187581,0.0153403,0.0223554,0.0157308,0.0043443,0.0528578,0.0164103,0.0608055,0.0180262,0.0273918,0,0,0.0307042,0,0.0181687,0.0196364,0.0695684,0.0719525,0.0193742,0.0144629,0.0135835,0.0412968,0.00761029,0.0504997,0.0140378,0.00668909,0.0234274,0.034492,0.0349867,0.0322939,0.0583357,0.0307657,0.00539513,0.00730898,0.0300985,0.0276013,0,0,0,0,0,0
30,0.0274304,0.0318527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160022,0.00911009,0.0270467,0.0180845,0,0.0209777,0.0304034,0.0118176,0.0383347,0.027704,0.0352556,0.0278779,0.0152646,0.0170441,0.0273374,0.0356351,0.0272625,0.0596594,0.0176235,0.0185147,0.0202204,0.0187687,0.0154004,0.0223311,0.0157323,0.00440787,0.0528905,0.0164154,0.0608079,0.0180801,0.0273923,0,0,0.0306893,0,0.0181774,0.0196115,0.0695695,0.0719686,0.0194064,0.0144542,0.01359,0.0413443,0.00761151,0.0504981,0.0140419,0.0066823,0.0234414,0.034556,0.0350001,0.0323069,0.0583783,0.0307598,0.00537567,0.00728699,0.0300919,0.0275679,0,0,0,0,0,0
31,0.0273881,0.0318459,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016036,0.009114,0.0270666,0.0180466,0,0.0210092,0.0304006,0.0118495,0.0383365,0.0277159,0.0352595,0.0278761,0.0152576,0.0170121,0.0273617,0.0356358,0.0272642,0.0596683,0.017612,0.0185234,0.0202303,0.0187753,0.0154318,0.0223606,0.0157329,0.00438357,0.0528738,0.016441,0.0607835,0.0181198,0.0273989,0,0,0.0307089,0,0.0182014,0.0196044,0.069582,0.0719591,0.01943,0.0144372,0.0136072,0.0414067,0.00760685,0.0504803,0.0140533,0.00668787,0.0234266,0.0345204,0.0349707,0.0322999,0.0583545,0.030784,0.0053371,0.00723327,0.0300979,0.0275286,0,0,0,0,0,0
32,0.0273362,0.0318149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160614,0.00912638,0.02707,0.0180486,0,0.0210386,0.0304095,0.0118838,0.0383205,0.027733,0.0352583,0.0278671,0.0152621,0.0169729,0.0273752,0.0356365,0.0272778,0.0596612,0.0176221,0.0185367,0.0202334,0.0187754,0.0154118,0.0224112,0.0157388,0.00437158,0.0528899,0.0164379,0.060755,0.0181255,0.0274106,0,0,0.030744,0,0.0181923,0.0196106,0.0696044,0.071942,0.0194239,0.0144434,0.0136558,0.0414178,0.0076182,0.0504637,0.0140681,0.0067054,0.0233902,0.0344384,0.0349057,0.0322723,0.0583525,0.0308249,0.00533094,0.00721166,0.0301233,0.027486,0,0,0,0,0,0
33,0.0273049,0.0317905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160509,0.00913901,0.0270744,0.0180653,0,0.0210435,0.0304152,0.0118787,0.038322,0.0277484,0.0352581,0.0278643,0.0152594,0.0169591,0.027361,0.0356348,0.0272843,0.0596559,0.0176245,0.018537,0.0202415,0.0187773,0.0154328,0.022505,0.0157475,0.00438143,0.0529326,0.0163911,0.0607499,0.0181196,0.027428,0,0,0.0307319,0,0.0181451,0.0196422,0.0696067,0.0719337,0.0194039,0.0144665,0.0137411,0.0414106,0.0076373,0.0504737,0.0140703,0.00672089,0.0233978,0.0344518,0.0349176,0.0322673,0.0583678,0.0308248,0.00538254,0.00721374,0.0301385,0.0274551,0,0,0,0,0,0
34,0.0272998,0.0318084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160686,0.0091358,0.0270671,0.0180795,0,0.02102,0.0304103,0.011816,0.0383277,0.0277432,0.0352637,0.0278792,0.0152612,0.016982,0.0273608,0.035633,0.0272771,0.0596523,0.0176182,0.018528,0.0202413,0.0187727,0.0154609,0.0225734,0.0157565,0.00435575,0.0529156,0.0163014,0.0607643,0.0180992,0.027422,0,0,0.0307608,0,0.0180486,0.0196735,0.0695887,0.0719413,0.0194024,0.0144612,0.0136454,0.0413975,0.00763557,0.0504844,0.0140607,0.00671708,0.0234047,0.0343969,0.0349314,0.0322718,0.0583523,0.0308558,0.0054262,0.00725301,0.0301449,0.02743,0,0,0,0,0,0
