Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,LFHD,
565,0.0309407,0.0274829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164652,0.00826104,0.0238312,0.0210244,0,0.0237973,0.0318232,0.014819,0.0395115,0.0266778,0.0361672,0.0252383,0.017226,0.0310118,0.0228796,0.0295467,0.026244,0.0593207,0.0198281,0.0200563,0.0205667,0.018448,0.019016,0.0291525,0.0173314,0.00414265,0.0372578,0.0157315,0.0571875,0,0.0266904,0,0,0.00769962,0,0.0191728,0.00600889,0.0682985,0.0778643,0.0193123,0.01254,0.0134334,0.0320299,0.00544452,0.0509446,0.0117984,0.00336777,0.0216693,0.0310698,0.0317018,0.033605,0.0502895,0.00899775,0.00824706,0.0103471,0.0242116,0.0327078,0,0,0,0,0,0
566,0.030442,0.0273272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159448,0.00821517,0.0238931,0.0211595,0,0.0237808,0.0318801,0.0148037,0.0395174,0.0268193,0.0361502,0.0252226,0.0171597,0.030285,0.0229237,0.0297071,0.0262114,0.0592132,0.0197978,0.0199989,0.0205868,0.0185413,0.0183894,0.0289664,0.0173487,0.00417669,0.0375599,0.0155442,0.0572985,0,0.0262967,0,0,0.00789766,0,0.0189824,0.00617474,0.0683249,0.0777551,0.019278,0.0125583,0.0134001,0.0317076,0.00547833,0.0509374,0.0118389,0.00337156,0.0217042,0.0311644,0.0317555,0.0334753,0.0504172,0.00985596,0.0087767,0.0102575,0.024123,0.0322512,0,0,0,0,0,0
567,0.0299589,0.0271413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015581,0.0081603,0.0239444,0.0212533,0,0.0238177,0.0318836,0.0148502,0.0395141,0.0268188,0.0361197,0.0252673,0.0171253,0.0296234,0.0231075,0.0298764,0.0262195,0.0591984,0.0197573,0.0199744,0.02058,0.0185544,0.0178714,0.0287599,0.017298,0.00416887,0.0378206,0.0153947,0.0573545,0,0.0258969,0,0,0.00824131,0,0.0188265,0.0063227,0.0683554,0.0775971,0.0192687,0.0125601,0.013393,0.0315741,0.00551076,0.0509226,0.0118532,0.00338818,0.0217216,0.0311962,0.0317914,0.0333959,0.0505296,0.0102972,0.00907574,0.0103644,0.0240188,0.0316696,0,0,0,0,0,0
568,0.029473,0.02689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153552,0.00812933,0.0239682,0.0212566,0,0.0238874,0.0319179,0.0148785,0.0394857,0.0266258,0.0360929,0.0253419,0.0171523,0.0289698,0.0231209,0.030025,0.0262579,0.0592411,0.0197486,0.019978,0.0205652,0.0185051,0.0173847,0.0285047,0.017264,0.00418546,0.0380359,0.0152871,0.0573619,0,0.0254893,0,0,0.00835128,0,0.0187504,0.00628032,0.0683746,0.077426,0.0193692,0.0125643,0.0134287,0.0317166,0.00554218,0.0508768,0.0118211,0.00343371,0.0217399,0.0312157,0.0318258,0.0333749,0.0505939,0.0103476,0.00916203,0.0106561,0.0238547,0.0311055,0,0,0,0,0,0
569,0.029053,0.0266434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150332,0.00813028,0.0240066,0.0211995,0,0.0239116,0.0319733,0.0148494,0.0394404,0.0265229,0.0360714,0.025398,0.0171727,0.0283268,0.0231496,0.0301478,0.026282,0.0592501,0.0197468,0.0199843,0.020592,0.0185021,0.0168426,0.0281531,0.0172554,0.00422765,0.038218,0.0153405,0.0573813,0,0.0251046,0,0,0.00840021,0,0.0188194,0.00596877,0.0683815,0.0773025,0.0195083,0.0125593,0.013475,0.0322402,0.00554928,0.0508667,0.0117375,0.0034579,0.021772,0.031259,0.0318927,0.0334154,0.0506219,0.0104684,0.0089482,0.0107871,0.0237555,0.0306369,0,0,0,0,0,0
570,0.0286592,0.0264087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014633,0.00812984,0.0240612,0.0211821,0,0.0239552,0.0320281,0.0148322,0.039423,0.0265236,0.0360728,0.0254261,0.0171491,0.0276598,0.023205,0.0302404,0.0263007,0.0592451,0.0197631,0.0199894,0.0206357,0.0185324,0.0162364,0.027823,0.0171908,0.00422981,0.0384132,0.015373,0.0574671,0,0.0248498,0,0,0.0085505,0,0.0188473,0.00559248,0.0684017,0.0772284,0.0196187,0.0124929,0.0135119,0.0329139,0.00552865,0.0508921,0.0116525,0.00345766,0.021833,0.0313071,0.0319702,0.0334835,0.05065,0.0109902,0.00861817,0.0108533,0.0237034,0.0302679,0,0,0,0,0,0
571,0.0282643,0.0262182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142073,0.00811883,0.0241067,0.0210482,0,0.0239989,0.0320674,0.0148252,0.0394685,0.0264708,0.0360579,0.0254332,0.0170652,0.0270493,0.0232238,0.0302608,0.026278,0.0591967,0.0197243,0.0199592,0.0206335,0.0185568,0.0155483,0.0276265,0.0171322,0.0042066,0.0386301,0.0153088,0.0573588,0.0187505,0.024572,0,0,0.00870996,0,0.0187752,0.00534224,0.0685469,0.0768785,0.0195631,0.012468,0.0134335,0.0335194,0.00555213,0.0507863,0.0117182,0.00345646,0.0217166,0.0313501,0.0318422,0.0333296,0.0506925,0.0117401,0.00841625,0.01085,0.0236782,0.0300162,0,0,0,0,0,0
572,0.0278961,0.0260361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138493,0.00809509,0.024161,0.0210729,0,0.0240692,0.0320808,0.014792,0.0394744,0.0263764,0.0360635,0.0254324,0.0170383,0.0265919,0.0232437,0.0302925,0.0262487,0.0591689,0.0196484,0.0199246,0.0206283,0.018583,0.0148902,0.0275739,0.0170838,0.00419904,0.0388515,0.0152214,0.0573218,0.0187329,0.0243817,0,0,0.00881315,0,0.0186617,0.00527852,0.0685801,0.0766111,0.0196389,0.0124829,0.0134459,0.0339179,0.00556242,0.0507852,0.0117751,0.0034326,0.0216666,0.0313431,0.031808,0.0332378,0.0507263,0.0124586,0.00826577,0.0108299,0.0235981,0.0299458,0,0,0,0,0,0
573,0.0275724,0.0259147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135434,0.00808992,0.024179,0.0210164,0,0.0241245,0.0321072,0.0147339,0.0394584,0.0262647,0.0360556,0.0254252,0.0170217,0.0262021,0.0232749,0.0303585,0.0262354,0.0591473,0.0195084,0.0198884,0.0206216,0.0185813,0.0143324,0.0275026,0.0170749,0.00420663,0.0390983,0.0152997,0.05734,0.0186888,0.0242058,0,0,0.00893807,0,0.0186797,0.00526341,0.0685391,0.0764259,0.0197351,0.0124612,0.0134659,0.034176,0.00553713,0.0508129,0.0118236,0.00342736,0.0216913,0.0313866,0.0318453,0.0332006,0.0507797,0.0129713,0.00806625,0.01072,0.0235293,0.0298883,0,0,0,0,0,0
574,0.0272539,0.025755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132305,0.00808498,0.0241791,0.0209795,0,0.0241619,0.0321621,0.0146915,0.0394516,0.0262116,0.036076,0.0254349,0.0170037,0.0258087,0.0233294,0.0304475,0.0262523,0.0591311,0.0193781,0.0198434,0.0206007,0.0185492,0.0137935,0.0274118,0.0170826,0.00423128,0.039285,0.0152246,0.0573355,0.0186875,0.0241205,0,0,0.00902849,0,0.0185944,0.00546778,0.0684923,0.0762346,0.0197836,0.0124465,0.0134732,0.0342242,0.00557039,0.050818,0.0118531,0.00345161,0.0216912,0.0314398,0.0318603,0.0331642,0.050801,0.0130289,0.00803412,0.0107056,0.0234704,0.0298047,0,0,0,0,0,0
