Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LASI,LILC,LGTR,
481,0,0.00455712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054616,0.0078787,0.0111484,0,0,0.0505958,0,0.0307928,0.0298653,0,0.00828844,0.00737071,0.0193785,0.0067561,0.00857193,0.00680253,0.0396611,0.00830885,0.00474404,0.0116091,0.0292838,0.00802845,0.0478808,0.013969,0.0164495,0.030874,0.021011,0.0238458,0.0108214,0.0058274,0,0,0.0261608,0,0.0200458,0.0159565,0.068729,0.0262123,0.0189133,0.025,0.0102951,0.0116101,0.0139702,0.0473817,0.0225041,0.0228435,0.0222704,0.0264937,0.0180648,0.0211168,0.0318891,0.0203567,0.0157903,0.00874242,0.00673043,0.0146901,0,0,0,0.00283383,0.0493933,0.0658534,0
482,0,0.0045164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00626442,0.00782247,0.00886513,0,0,0.0512722,0,0.0308242,0.0303496,0.0180562,0.00713106,0.00808149,0.0196443,0.00695711,0.00844063,0.00598584,0.0392479,0.00697776,0.00347379,0.00928096,0.0268965,0.0113526,0.0489004,0.0143084,0.0164965,0.0308028,0.0210289,0.023961,0.0110504,0.00600779,0,0,0.0264623,0,0.0198598,0.0158209,0.0688709,0.0269511,0.019028,0.0251023,0.0110014,0.0117514,0.0146656,0.047386,0.0225639,0.0231277,0.0221755,0.0264137,0.0179904,0.0209843,0.0321963,0.0203859,0.0161004,0.00868475,0.00666734,0.0149378,0,0,0,0.00361185,0.0489341,0.0661011,0
483,0,0.00442384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00745624,0.00778359,0.00974968,0,0,0.0519651,0,0.0307702,0.030798,0.0200644,0.00701002,0.00884714,0.0199979,0.00760501,0.00838014,0.00589774,0.0389303,0.00665645,0.00312272,0.0099311,0.0272502,0.0130314,0.0495325,0.0145482,0.0166967,0.0306536,0.0210634,0.0240126,0.0111625,0.0061847,0,0,0.0267011,0,0.0197119,0.0155616,0.0689393,0.0277486,0.0190719,0.0251725,0.0114142,0.0117809,0.0153835,0.0473402,0.0224335,0.0232278,0.0219961,0.0261112,0.018188,0.0206633,0.0324816,0.0204144,0.0163206,0.00876569,0.00659042,0.0150352,0,0,0,0.00408833,0.0485809,0.0663158,0
484,0,0.00433627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008891,0.00773378,0.0104437,0,0,0.0526269,0,0.0306939,0.0311853,0.0220479,0.00701575,0.00964992,0.0203384,0.00832777,0.00828655,0.00598692,0.0388367,0.00630441,0.00304547,0.0104789,0.0276688,0.0150695,0.0502432,0.0147581,0.0170797,0.0302951,0.0210443,0.0238514,0.0112388,0.00626314,0,0,0.0269977,0,0.0195582,0.0155942,0.0689392,0.0282135,0.0190761,0.0252047,0.0117499,0.0118746,0.0158744,0.047323,0.0223036,0.0234024,0.021624,0.0258806,0.0181416,0.0204178,0.0325529,0.0203953,0.0165557,0.00872972,0.00650632,0.015125,0,0,0,0.00457865,0.0482334,0.0667236,0
485,0,0.00428352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010133,0.00769712,0.0110956,0,0,0.0532047,0,0.0306479,0.0316282,0.0240183,0.0072146,0.0098222,0.020734,0.00915898,0.00826088,0.0060245,0.0391952,0.0058326,0.00316413,0.0106976,0.0280728,0.0171174,0.0508511,0.0149161,0.017456,0.0294806,0.0209862,0.0233801,0.011338,0.0061439,0,0,0.0272867,0,0.0194159,0.015907,0.0689624,0.0285056,0.0190424,0.0251352,0.0120077,0.0119922,0.0159281,0.0472807,0.0221544,0.0234253,0.0209154,0.0256396,0.0175287,0.0198679,0.0323251,0.0203969,0.0168921,0.00871167,0.00651079,0.0152558,0,0,0,0.00494082,0.0480911,0.0669202,0
486,0,0.00424809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110917,0.00773657,0.011724,0,0,0.0536466,0,0.0305756,0.0320343,0.0257065,0.00744319,0.00968588,0.0211301,0.00983012,0.00833921,0.00588745,0.0391647,0.00542527,0.00262843,0.0107754,0.0283649,0.0186836,0.0513222,0.0149989,0.017659,0.0283536,0.0209969,0.0226293,0.0114815,0.00611621,0,0,0.027459,0,0.019391,0.0157672,0.0690035,0.0286897,0.01899,0.0249612,0.012212,0.0120719,0.0156495,0.047211,0.022026,0.0231606,0.0201996,0.025274,0.0165389,0.0189586,0.0319737,0.0204353,0.0171951,0.00885193,0.00655068,0.015419,0,0,0,0.00525982,0.0479618,0.0668526,0
487,0,0.0041849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115313,0.00778019,0.0124513,0,0,0.0543253,0,0.0304931,0.0325335,0.0267768,0.00779754,0.00949945,0.021525,0.010453,0.00891955,0.00642431,0.0378928,0.0049994,0.00203218,0.0108763,0.0283741,0.0188733,0.0520601,0.015073,0.0178672,0.0268454,0.0209138,0.0215406,0.0116885,0.00616369,0,0,0.0275726,0,0.0193664,0.0157122,0.068894,0.0284168,0.0190511,0.0247455,0.0124631,0.0121449,0.0153343,0.0473279,0.0217738,0.0228977,0.0197662,0.0249776,0.0158294,0.018111,0.0312272,0.0202362,0.0177863,0.00874168,0.00649629,0.0155552,0,0,0,0.00594382,0.0475322,0.0659678,0
488,0,0.00420209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012265,0.00779779,0.0131099,0,0,0.0548928,0,0.0303769,0.0329488,0.0280422,0.00794052,0.00969835,0.021775,0.0109094,0.00886153,0.00704771,0.0374007,0.00456946,0.00174279,0.0112607,0.0284102,0.0195742,0.0527556,0.0151835,0.0180506,0.0253437,0.0208307,0.0204608,0.0118076,0.00621136,0,0,0.0276091,0,0.0193552,0.0161175,0.0687484,0.0281686,0.0190865,0.0243886,0.0126863,0.0122713,0.0153157,0.0474866,0.0213559,0.0225298,0.0191663,0.0250069,0.0152929,0.017185,0.030446,0.0200533,0.0184427,0.00860363,0.00644706,0.0155242,0,0,0,0.00632793,0.0473443,0.065644,0
489,0,0.0041939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129854,0.00788582,0.0137612,0,0,0.0551331,0,0.0302379,0.0331823,0.0295918,0.00800244,0.00983054,0.0218196,0.0114301,0.00773993,0.00768893,0.0374724,0.00422308,0.00156079,0.0114208,0.0284501,0.0209186,0.053157,0.0152968,0.0181407,0.0237863,0.0207944,0.0192856,0.011753,0.00624069,0,0,0.0274506,0,0.01944,0.0162298,0.0686831,0.0278648,0.0190934,0.0238873,0.0127377,0.0123455,0.0150164,0.0476291,0.0207883,0.0220814,0.0183658,0.0249344,0.0145538,0.0161239,0.0297763,0.0199021,0.0189065,0.00853662,0.00639417,0.015401,0,0,0,0.00616791,0.0473321,0.0657957,0
490,0,0.00425418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028075,0.00780512,0.0128392,0,0,0.0555148,0,0.0303433,0.0335838,0.00732323,0.00805327,0.00981316,0.0224387,0.0120463,0.00395076,0.0130367,0.0384103,0.0133291,0.0150755,0.0130738,0.0177493,0.0308992,0.053691,0.0152999,0.0183187,0.020415,0.0205867,0.0168906,0.0117547,0.00656018,0,0,0.0272182,0,0.0196397,0.0159648,0.0693172,0.0262665,0.0193885,0.0241145,0.0136676,0.0124429,0.0157264,0.0474026,0.0211137,0.0230482,0.0174784,0.0243665,0.0128847,0.0146875,0.0274687,0.0195943,0.0193726,0.00820516,0.0064168,0.0159708,0,0,0,0.00906348,0.0457126,0.0676559,0
