Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,
All Timesteps RMSE,0.0304353,0.0164198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400438,0.0107075,0.0179984,0.0351767,0,0,0.0600478,0,0.0344431,0.0349122,0.0665351,0.0237675,0.0538089,0.0238854,0.0214814,0.0294383,0.0186238,0.0221113,0.0563847,0.0372536,0.0134581,0.0174611,0.0102607,0.0185862,0.0480829,0.0480265,0.0181405,0.0159009,0.0330755,0.0225784,0.0184118,0.0136207,0.0323655,0,0,0.0451487,0,0.0174799,0.0296206,0.062322,0.0308299,0.0139804,0.0215434,0.027348,0.028992,0.0161704,0.0539617,0.0215128,0.0217402,0.0206962,0.0237141,0.0155759,0.0232406,0.0380323,0.0338438,0.0256295,0.0169906,0.0138388,0.0255004,0,0,0,0
0,0.0260376,0.0142672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159923,0.00933933,0.015308,0.003268,0,0,0.0576429,0,0.0317789,0.041609,0.0736877,0.0195254,0.0450265,0.015544,0.0117262,0.0221401,0.0161577,0.021087,0.00751847,0.0330942,0.010437,0.00927036,0.0138925,0.0251759,0.0253978,0.0489461,0.0176362,0.0168557,0.0451634,0.0220598,0.0346707,0.00643777,0.0243779,0,0,0.032769,0,0.0158067,0.0211414,0.0679894,0.0565311,0.016251,0.00668521,0.0103717,0.0132611,0.00640228,0.0546509,0.0110417,0.0148882,0.0264626,0.0334701,0.0272295,0.0402161,0.040953,0.0257695,0.0115943,0.0132982,0.0111001,0.0258999,0,0,0,0
1,0.0270457,0.0161916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016507,0.00947164,0.0148385,0.00512975,0,0,0.0539884,0,0.0314746,0.0392855,0.0737685,0.0201858,0.0445184,0.01525,0.01235,0.0229182,0.0163232,0.0198892,0.0080755,0.0331089,0.0107194,0.00948173,0.014146,0.02503,0.0271453,0.0457746,0.0176395,0.0152101,0.0433561,0.0219736,0,0.00924913,0.023414,0,0,0.0337134,0,0.0157559,0.0212395,0.0670763,0.0528528,0.0180193,0.00604768,0.0108402,0.0116225,0.00865415,0.0552513,0.00886788,0.0161143,0.0277421,0.0324507,0.0265964,0.0383466,0.0367967,0.0243246,0.0123959,0.0125486,0.0122351,0.0252786,0,0,0,0
2,0.0274576,0.0165717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166536,0.00966268,0.0145967,0.00579563,0,0,0.0526316,0,0.0316634,0.0381003,0.0738374,0.019478,0.0441028,0.0154551,0.0124038,0.0230834,0.0161855,0.0191804,0.00826358,0.0332695,0.0108874,0.0098809,0.0142293,0.0249634,0.027415,0.0449882,0.0173582,0.0145246,0.0460868,0.0217725,0,0.0103748,0.0227733,0,0,0.0345027,0,0.0159078,0.0215931,0.0669524,0.0509878,0.0189549,0.00650625,0.0102554,0.0113571,0.00916747,0.0555508,0.00908519,0.0167667,0.0264008,0.0323758,0.0256102,0.0351432,0.0352395,0.0237524,0.0131917,0.0124488,0.0121708,0.0248153,0,0,0,0
3,0.0275021,0.0165835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168845,0.00975467,0.0140461,0.00619067,0,0,0.0520116,0,0.0318488,0.0375758,0.0738597,0.017626,0.0437389,0.0156697,0.0125512,0.0230011,0.0159474,0.0187045,0.00823291,0.0335057,0.0106438,0.00971554,0.0134362,0.025215,0.0277024,0.0450093,0.0172163,0.0140294,0.0471157,0.0215932,0,0.0111911,0.0228949,0,0,0.0354255,0,0.0159723,0.0221455,0.0670532,0.0509112,0.0197272,0.00671648,0.0097697,0.011255,0.00957422,0.0558186,0.00916946,0.0175244,0.0249079,0.0322646,0.0251096,0.0323061,0.0350796,0.0233479,0.013903,0.0125062,0.0118866,0.0241813,0,0,0,0
4,0.0276952,0.0164674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171733,0.0097928,0.0136253,0.00641324,0,0,0.0518739,0,0.0320021,0.037407,0.0736194,0.0161015,0.0434799,0.0160295,0.0127469,0.0227252,0.0157226,0.0185422,0.00868643,0.0337134,0.0106144,0.00954934,0.012771,0.0254074,0.0279612,0.0450319,0.0171689,0.0137182,0.0461535,0.0214287,0,0.0119259,0.0231264,0,0,0.0363921,0,0.0159618,0.0227596,0.067214,0.0526333,0.020365,0.00666666,0.00960294,0.011181,0.0101673,0.0560509,0.00903554,0.0185084,0.0237356,0.0323703,0.0249758,0.0299964,0.0341233,0.023161,0.0145447,0.0126411,0.0115707,0.0235036,0,0,0,0
5,0.0276698,0.0162403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175013,0.0097665,0.0131087,0.00655303,0,0,0.0517688,0,0.032214,0.0373723,0.0730757,0.0148076,0.0434041,0.0166086,0.0129002,0.0224227,0.0155942,0.0187643,0.0094119,0.0340818,0.0106207,0.00916019,0.0123285,0.0254866,0.0280477,0.0453452,0.0172169,0.0133949,0.0433826,0.0212743,0,0.0126439,0.023443,0,0,0.0374061,0,0.0158752,0.023405,0.0673267,0.0550792,0.0208281,0.00646714,0.00964775,0.0111454,0.01082,0.0563304,0.00880132,0.0196755,0.0231611,0.0328464,0.0251772,0.0285007,0.0323659,0.0233413,0.0151121,0.0128834,0.0113439,0.0230694,0,0,0,0
6,0.0273971,0.0158999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178357,0.00968245,0.0126291,0.00679888,0,0,0.0516903,0,0.0323447,0.0374269,0.072557,0.0133582,0.043448,0.0172685,0.0129301,0.0221209,0.0156574,0.0193417,0.00998441,0.034607,0.0104391,0.00862346,0.0117589,0.025523,0.0277843,0.0458528,0.0173748,0.0131618,0.0407174,0.0211992,0,0.013273,0.0237491,0,0,0.0385393,0,0.0157679,0.0242181,0.06756,0.0564674,0.0210581,0.00621255,0.00991341,0.0111792,0.0114647,0.0566647,0.00859535,0.0209805,0.0232394,0.0335455,0.0256607,0.028038,0.0297821,0.0239085,0.0156273,0.013181,0.0112532,0.0229802,0,0,0,0
7,0.0286428,0.0157696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171719,0.0109081,0.0127544,0.00342598,0,0,0.0540155,0,0.0287945,0.0374924,0.0714945,0.00768432,0.0387507,0.0235132,0.0155947,0.0212304,0.0177725,0.0257792,0.0136909,0.0340087,0.0126928,0.012304,0.0110309,0.0243374,0.0212056,0.0473574,0.0199526,0.0120193,0.0452779,0.02281,0,0.00926044,0.0262375,0,0,0.0395946,0,0.0146467,0.0251997,0,0.0723268,0.0275483,0.0152854,0.0159712,0.0135918,0.0154487,0.0463742,0.0199116,0.0174482,0,0.0364431,0,0.0340824,0.0324026,0.0252088,0.016995,0.0144267,0.00919463,0.0254455,0,0,0,0
8,0.027732,0.0156335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178439,0.00944911,0.0120472,0.00730936,0,0,0.0513314,0,0.031883,0.0373116,0.0714818,0.0106975,0.0435601,0.0185878,0.0137701,0.0214672,0.0158563,0.0207065,0.011085,0.0356019,0.0103143,0.00835898,0.0108693,0.0253065,0.0264788,0.0451838,0.0180129,0.0129342,0.0350533,0.0213015,0,0.014313,0.0240323,0,0,0.0417776,0,0.0156151,0.026769,0.0674653,0.0566536,0.0209978,0.00543561,0.0109166,0.0113603,0.0124965,0.0571281,0.00850096,0.0231051,0.0240497,0.0344472,0.026463,0.0299282,0.0213775,0.0264589,0.0161758,0.013959,0.0112717,0.0230787,0,0,0,0
9,0.0288253,0.0156564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174531,0.00927449,0.0119012,0.00756174,0,0,0.0516927,0,0.0314858,0.0376875,0.0709278,0.00988573,0.0436328,0.0192137,0.0144843,0.0213087,0.016068,0.0211706,0.0115156,0.0360816,0.0104116,0.00891415,0.0108205,0.0249989,0.0254679,0.0447899,0.0185539,0.0130505,0.0308026,0.0215858,0,0.0144607,0.0242461,0,0,0.0433747,0,0.0155647,0.0279691,0.0671894,0.0576988,0.0207234,0.00505706,0.0117156,0.0116544,0.0125164,0.0574333,0.0085746,0.0239352,0.0249435,0.0347221,0.0268863,0.0315802,0.0182329,0.0278686,0.0161445,0.0143566,0.01131,0.0232376,0,0,0,0
10,0.0290556,0.0157361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168629,0.00932268,0.01193,0.00776648,0,0,0.0511769,0,0.0310952,0.0375347,0.070449,0.00922838,0.0436224,0.0195997,0.0150957,0.0212546,0.0162928,0.0215035,0.0117639,0.0364488,0.0107437,0.00964719,0.010939,0.0246136,0.0243015,0.0435013,0.0191029,0.0132238,0.0273264,0.0219925,0,0.0140866,0.0246804,0,0,0.0449277,0,0.0153644,0.0290585,0.0668338,0.0584396,0.0204206,0.00481435,0.0126536,0.0122034,0.0123937,0.0578078,0.0088031,0.0244684,0.0260856,0.0347818,0.0271119,0.0335023,0.014286,0.0292873,0.0162611,0.0149164,0.0113417,0.0233436,0,0,0,0
11,0,0.0162414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161211,0.00953622,0.0120034,0.00782256,0,0,0.0498431,0,0.0310036,0.0370989,0.0700861,0.00868438,0.0434648,0.019907,0.0155464,0.0222119,0.0164621,0.0218101,0.011941,0.0367179,0.0111649,0.0104959,0.011209,0.0241772,0.0227473,0.0414437,0.0195137,0.0134113,0.0232852,0.0225146,0,0.0138643,0.026097,0,0,0.0460951,0,0.0150529,0.0297822,0.0664625,0.0591221,0.0201443,0.0047033,0.0135877,0.0131346,0.0121812,0.0582441,0.0091102,0.0247955,0.0271437,0.0346881,0.0270774,0.0352227,0.0110817,0.030413,0.0162641,0.0154269,0.0116948,0.0241978,0,0,0,0
12,0,0.0162994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153687,0.0100794,0.0120466,0.00789673,0,0,0.0465544,0,0.0305179,0.035322,0.0698046,0.00825761,0.0433911,0.0201957,0.015621,0.0227254,0.0166828,0.022076,0.0121821,0.0367784,0.0115651,0.0113657,0.0112913,0.0238094,0.0209292,0.0379603,0.0199422,0.0132615,0.0196639,0.0228158,0,0.0137207,0.0265692,0,0,0.0466336,0,0.0148309,0.0299735,0.0661712,0.0595031,0.0198787,0.00460601,0.0143854,0.013466,0.0117162,0.0586661,0.00937838,0.0248228,0.0280702,0.0344401,0.0267246,0.0366025,0.00941851,0.0308059,0.0160968,0.0156631,0.0117674,0.0241039,0,0,0,0
13,0,0.0165681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147028,0.00998798,0.0119753,0.00801631,0,0,0.0464365,0,0.0301764,0.0350072,0.0694885,0.0077436,0.0433674,0.0206572,0.015604,0.023503,0.0169288,0.0224738,0.0124956,0.0368711,0.0119801,0.0121957,0.0113526,0.0234707,0.0189705,0.0377761,0.0206101,0.0131317,0.0156893,0.0230704,0,0.0134888,0.0272128,0,0,0.0469542,0,0.0145416,0.0300531,0.065936,0.0595513,0.0196987,0.00452518,0.0150518,0.0136948,0.0110006,0.0590715,0.00960145,0.0246036,0.0288499,0.0340409,0.0261066,0.0381266,0.0119233,0.031052,0.0160347,0.0159846,0.0120566,0.0242441,0,0,0,0
