Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LFHD,
805,0,0.0046976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142388,0.00965049,0,0.00697947,0,0,0.0282765,0.0283256,0.0172792,0.0638991,0.00254755,0.0423347,0.012198,0,0.0103153,0.0114545,0.0115086,0,0.037387,0.010166,0.00805428,0,0.0197529,0.0165396,0.0312105,0.0176032,0.00547285,0.0408222,0.0211208,0.0178283,0.00933118,0.00345281,0,0,0.0375204,0,0.016381,0.0232114,0,0.0295359,0.0242929,0.0114764,0.0148041,0.019043,0.0179809,0.0495054,0.0129692,0.0212491,0.0131878,0.0341078,0,0,0.0477709,0.0240757,0.0111106,0.0178375,0.00363074,0.0110067,0,0,0,0,0
806,0,0.00544548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303506,0.0108977,0,0.00741738,0,0,0.0261316,0.0270681,0.0156359,0.0658181,0.0250302,0.0402527,0.0146133,0.0141298,0.00787461,0.0137007,0.0122021,0,0.0358059,0.015372,0.016155,0,0.0236877,0.027182,0.029973,0.0183886,0.00453994,0.0415605,0.0221387,0.0219607,0.0155548,0.00353267,0,0,0.0383938,0,0.0158154,0.0257464,0,0.036943,0,0.0143861,0.0205949,0.0215928,0.0200245,0.0444807,0.0162503,0.0227936,0.0172621,0.0386312,0,0.0201574,0.0492258,0.0270624,0.0110435,0.0168578,0.00336881,0.00778188,0,0,0,0,0
807,0,0.00556762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372782,0.00743114,0,0.00483793,0,0,0.0299265,0.0298916,0.0174187,0.0697714,0.0347884,0.0491764,0.0163147,0.00705493,0.0129383,0.0169259,0.0160609,0,0.0335778,0.0184636,0.0198157,0,0.0311583,0.0321297,0.032713,0.0169731,0.00598978,0.0466236,0.0213977,0.0182233,0.00527668,0.0037112,0,0,0.0372147,0,0.0166393,0.0249096,0.068067,0,0.0141376,0.00719459,0.00808367,0.0236245,0.0132796,0.0551704,0.00904895,0.0160754,0.0112969,0.0289826,0,0.016391,0.0542776,0.0264155,0.0117398,0.0167162,0.00601659,0.0133357,0,0,0,0,0
808,0,0.00516754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230649,0.0088311,0,0.00530972,0,0,0.0268992,0.0286495,0.0157094,0.0638,0.0392631,0.043249,0.0155293,0.00897438,0.0100543,0.00873134,0.0140856,0,0.0378098,0.0287295,0.0266358,0,0,0.0111346,0.0303472,0.0175312,0.00465077,0.0480439,0.0213908,0.0201903,0.00948467,0.00259508,0,0,0.0362485,0,0.0165176,0.0240269,0,0.0361898,0.0236137,0.0113812,0.0136664,0.0217992,0.0178838,0.0490566,0.0134859,0.0205895,0.0146349,0.0349319,0,0,0.0559922,0.0254882,0.0122762,0.0161956,0.00405478,0.010445,0,0,0,0,0
809,0,0.00500083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233479,0.00869852,0,0.00544005,0,0,0.0266746,0.0287759,0.0155338,0.0653244,0.0410507,0.0428906,0.0157846,0.008712,0.0100487,0.00822394,0.0143605,0.00844107,0.0376908,0.0299754,0.0273861,0,0,0.0105749,0.0300124,0.0174513,0.00467789,0.0497995,0.0211083,0.0206662,0.00930302,0.00272297,0,0,0.0354678,0,0.0167904,0.0232236,0,0.0380539,0.0236481,0.0115576,0.0135904,0.0212099,0.017978,0.0488525,0.0136714,0.0206307,0.0147867,0.0348981,0,0.0189861,0.0579502,0.0249029,0.0130213,0.0152947,0.00383684,0.0106251,0,0,0,0,0
810,0,0.00487094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255024,0.00858338,0,0,0,0,0.0264127,0.0287564,0.0152253,0.0667744,0.0383959,0.0427686,0.0130281,0.00874012,0.0100922,0.00492156,0.00942174,0,0.0367861,0.0305445,0.0273012,0,0,0.0175201,0.0298254,0.0174224,0.0046712,0.0517515,0.0209129,0.0213845,0.00933002,0.00277491,0,0,0.034892,0,0.016954,0.0225241,0,0.039911,0.0235772,0.0116626,0.013511,0.0208004,0.0179415,0.0486548,0.0138021,0.0205414,0.015343,0.0351264,0,0.0199982,0.0603334,0.0244801,0.0134928,0.0145224,0.00369913,0.0106807,0,0,0,0,0
811,0.00559233,0.00522209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240932,0.00860176,0,0.00738181,0,0,0.0255798,0.0285642,0.0147027,0.0666034,0.0453033,0.042411,0.0156748,0.00866185,0.00988583,0.00736488,0.0146545,0.00832097,0.0371528,0.03187,0.0284246,0,0,0.0108414,0.0295423,0.0174687,0.00450948,0.0536699,0.0205433,0.0219103,0.0086927,0.00326264,0,0,0.0303207,0,0.0169602,0.0163018,0,0.041344,0.0236302,0.0118036,0.013641,0.0173138,0.0179783,0.0485522,0.013969,0.0205752,0.0158393,0.0353164,0,0.020812,0.0625333,0.0188917,0.0152142,0.0150173,0.00393979,0.0110149,0,0,0,0,0
812,0.00341172,0.0041564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248111,0.00901991,0,0.00767261,0,0,0.0245772,0.0281569,0.0139038,0.0673515,0.0468846,0.0433498,0.0156148,0.00831259,0.00986913,0.00716814,0.015,0.00839589,0.0364322,0.0329124,0.0290667,0,0,0.0120599,0.0291817,0.0176258,0.00406524,0.0555623,0.0234878,0.0224396,0.00862875,0.00492867,0,0,0.0274174,0,0.0179514,0.0105407,0,0.0430294,0.0230808,0.0118888,0.0135058,0.0136151,0.0180527,0.0485073,0.0139858,0.0205433,0.0166724,0.0356602,0,0.0219374,0.0646371,0.017225,0,0.00420379,0.00380529,0.0107995,0,0,0,0,0
813,0,0.00493707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302167,0.00692308,0,0.0058217,0,0,0.0280258,0.0302223,0.0158649,0.0688942,0.046217,0.0449462,0.0136762,0.00659858,0.013284,0.00396029,0.00672628,0,0.0367304,0.0334884,0.0295038,0,0,0.0247562,0.0313641,0.0163782,0.00625936,0.0589249,0.0190759,0.0215357,0.00563349,0.00709769,0,0,0.0293295,0,0.0183665,0.0153831,0.0677823,0.0420288,0.0154209,0.00728825,0.00746206,0.0161237,0.0130954,0.0551947,0.00916303,0.0154857,0.0151094,0.0300557,0,0,0.0675075,0.0182668,0.0116806,0.0133058,0.0049479,0.0156343,0,0,0,0,0
814,0.00895667,0.00502932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271685,0.00703932,0,0.00685337,0,0,0.0279168,0.0302811,0.0157114,0.068646,0.0522727,0.0452439,0.014714,0.00673044,0.0130205,0.00280507,0.0116105,0.00804972,0.0371367,0.0349191,0.030569,0,0,0.0160857,0.0309656,0.0162654,0.00613679,0.0606676,0.0190576,0.0222943,0.00652191,0.0071921,0,0,0.0288754,0,0.0181379,0.0152373,0.0675788,0.0438448,0.0152951,0.00773685,0.00804046,0.015988,0.0131987,0.0547271,0.00941825,0.0157451,0.0156444,0.0301206,0,0.022847,0.069403,0.0180353,0.0128037,0.0129164,0.00463844,0.015597,0,0,0,0,0
