Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,RTOE,x73,x74,REAR
1932,0.0326169,0.022077,0,0,0,0,0,0,0.058407,0.0237323,0.0182973,0.00206389,0,0,0.05788,0,0.0458951,0.0223344,0.0511411,0.0228866,0.00314269,0.0412735,0.018138,0.0451622,0.0314058,0.0659775,0.0354461,0.0674092,0.0364803,0.0198457,0.0143722,0.0371224,0.0446202,0.0542218,0.0355656,0.00670662,0.00309202,0.0217666,0.00664132,0.00570928,0.0291083,0,0.075615,0,0.0340191,0.0368353,0.0310699,0.0097775,0.0236457,0.00327694,0.017407,0.0161202,0.00214009,0.0143053,0.00272572,0.00280006,0.00644546,0.0195023,0.00418055,0.00881008,0.027397,0.0112264,0.00848165,0.0179502,0.0274424,0,0,0,0,0,0,0.00380213,0,0,0
1933,0.0315467,0.0213362,0,0,0,0,0,0,0.0583476,0.0236893,0.018438,0.00195845,0,0,0.0564563,0,0.0458009,0.0216848,0.0511737,0.0228282,0.00319415,0.0412739,0.0179358,0.0441969,0.0313178,0.0659063,0.0353427,0.0674545,0.0365364,0.0198889,0.0143749,0.0371024,0.044534,0.0530275,0.0357718,0.00685047,0.00321899,0.0218188,0.00647165,0.00560953,0.0283247,0,0.0749955,0,0.033908,0.0366625,0.0310658,0.00961358,0.0235946,0.00339333,0.0171379,0.016771,0.0021312,0.0143244,0.00270737,0.00278368,0.00646857,0.019557,0.00425609,0.0088334,0.0266137,0.0112909,0.00846086,0.017422,0.0267276,0,0,0,0,0,0,0.00372857,0,0,0
1934,0.0305006,0.0206371,0,0,0,0,0,0,0.0583379,0.0236391,0.0184701,0.00185542,0,0,0.0552596,0,0.0457393,0.0210871,0.0511946,0.0228189,0.00322942,0.0412667,0.0177663,0.0433272,0.0312124,0.0657897,0.035271,0.0675114,0.0365735,0.0199078,0.0143822,0.0370943,0.0445399,0.0519915,0.0359716,0.00692645,0.0032942,0.0218747,0.00642324,0.00551673,0.0275916,0,0.0741639,0,0.0338042,0.036334,0.0310079,0.00966582,0.0235638,0.00347649,0.016888,0.0173451,0.00214786,0.0143494,0.00268871,0.00278399,0.00649814,0.0196187,0.00429451,0.008844,0.0260732,0.0112146,0.00840576,0.0169297,0.0260804,0,0,0,0,0,0,0.00373085,0,0,0
1935,0.0295452,0.0199513,0,0,0,0,0,0,0.0583732,0.0235819,0.0184925,0.00176032,0,0,0.0541474,0,0.0456674,0.0204959,0.0511994,0.0228497,0.00324594,0.041283,0.0175489,0.0425138,0.0311203,0.065714,0.035207,0.0675937,0.0366086,0.019936,0.0144033,0.0371196,0.0446772,0.0509823,0.0361254,0.00691345,0.00330605,0.0219478,0.00636586,0.0054214,0.0268996,0,0.0731367,0,0.0337078,0.0358909,0.0309819,0.00987162,0.0235932,0.00355449,0.0166648,0.0178524,0.00212075,0.0143559,0.00266985,0.0027807,0.00654827,0.0196824,0.00428534,0.0088564,0.0255405,0.0110763,0.00830191,0.0164759,0.0255056,0,0,0,0,0,0,0.00377218,0,0,0
1936,0.0289624,0.0193827,0,0,0,0,0,0,0.0584641,0.0236105,0.0184494,0.0016231,0,0,0.0531465,0,0.0455403,0.0200567,0.0512566,0.0229203,0.00320884,0.0413668,0.0170038,0.0419565,0.0310573,0.0656338,0.0351163,0.0676814,0.0366385,0.0199739,0.014415,0.0371481,0.0448925,0.0501936,0.0363102,0.00690978,0.00327454,0.021957,0.006287,0.00523501,0.0269211,0,0.0720531,0,0.0336848,0.0353627,0.0310104,0.00976562,0.0235644,0.00363226,0.0161406,0.0179822,0.00210402,0.0143531,0.00261608,0.00272798,0.00659828,0.0197398,0.00427437,0.00886032,0.0251572,0.010948,0.00811093,0.0160153,0.0252094,0,0,0,0,0,0,0.00378543,0,0,0
1937,0.0278362,0.0185575,0,0,0,0,0,0,0.0585725,0.0236062,0.0182808,0.00153509,0,0,0.0520143,0,0.0454655,0.0193524,0.0512847,0.0230217,0.00326858,0.0414827,0.0167764,0.0411226,0.0310201,0.0655985,0.0350774,0.0677072,0.0366946,0.0200322,0.0144194,0.0371617,0.0450378,0.0491751,0.0364442,0.00674429,0.00327464,0.0220498,0.00634247,0.00514273,0.026039,0,0.0706019,0,0.0335324,0.0347595,0.0309433,0.00943545,0.0234623,0.00373318,0.0159041,0.0183315,0.0020945,0.0143662,0.00266545,0.00267463,0.00668232,0.0198007,0.0043384,0.00892374,0.024667,0.0106754,0.00804302,0.015539,0.0244902,0,0,0,0,0,0,0.00377685,0,0,0
1938,0.0266122,0.0177029,0,0,0,0,0,0,0.0586581,0.0235536,0.0182762,0.00142727,0,0,0.0507477,0,0.0453854,0.0186397,0.0512715,0.0231085,0.0033324,0.0415285,0.016594,0.0402308,0.030981,0.0655639,0.035022,0.0677275,0.0367395,0.0200842,0.0144454,0.0371942,0.0451627,0.0480586,0.0365459,0.0065444,0.00325956,0.0221392,0.00636615,0.00500113,0.0252381,0,0.0692201,0,0.033393,0.0341266,0.0308141,0.00937197,0.0233873,0.00381144,0.0155392,0.0187185,0.0020969,0.0143792,0.0028486,0.00266193,0.00674455,0.0198816,0.00439751,0.0089745,0.0244564,0.0105702,0.0080574,0.0150723,0.0237807,0,0,0,0,0,0,0.00384982,0,0,0
1939,0.0252301,0.0168107,0,0,0,0,0,0,0.0587058,0.0235268,0.0183835,0.00138718,0,0,0.0493955,0,0.0453139,0.0178332,0.0512903,0.0231669,0.00339968,0.0415698,0.0164681,0.0391844,0.0309783,0.0655482,0.0350129,0.0677395,0.0367826,0.0201487,0.0144835,0.0372286,0.0452589,0.0468394,0.0367058,0.0063346,0.0033212,0.0222384,0.00639073,0.00484263,0.0243795,0,0.0682418,0,0.0332693,0.0335531,0.0307091,0.0096726,0.0233042,0.00376259,0.0152064,0.0191348,0.00210292,0.0143571,0.00292369,0.0026922,0.00673922,0.0199594,0.00441986,0.00902471,0.0242211,0.0105951,0.0080436,0.0146311,0.0230389,0,0,0,0,0,0,0.00401248,0,0,0
1940,0.0238413,0.0159714,0,0,0,0,0,0,0.0587238,0.0234906,0.0185133,0.00137048,0,0,0.0479565,0,0.0452182,0.0169932,0.0512441,0.0231819,0.00351039,0.0415916,0.0161369,0.0380757,0.0310305,0.0655853,0.0350666,0.0677022,0.0368362,0.0201931,0.0144963,0.0372387,0.0453679,0.0454943,0.0368727,0.00615256,0.00351204,0.0223538,0.00646534,0.0047014,0.0234822,0,0.0674716,0,0.033179,0.0329421,0.0306826,0.00995746,0.023295,0.00365836,0.0150129,0.0195722,0.00210705,0.0143696,0.00296521,0.00278773,0.00673586,0.0200338,0.00441206,0.00910959,0.0238088,0.0106343,0.00797223,0.0142495,0.0223411,0,0,0,0,0,0,0.00434432,0,0,0
1941,0.0228001,0.0151914,0,0,0,0,0,0,0.0587327,0.0234351,0.0185956,0.00135944,0,0,0.0463755,0,0.0451294,0.0161488,0.0511624,0.0231887,0.00365476,0.0415704,0.0158431,0.0370584,0.031098,0.0656713,0.0351457,0.0676477,0.0368855,0.0202031,0.0144667,0.0372433,0.045468,0.0440326,0.0370263,0.00600833,0.00363268,0.0224348,0.00647455,0.00453719,0.0226485,0,0.0659585,0,0.0330798,0.0323405,0.0307396,0.0100207,0.0232665,0.00373641,0.0147047,0.0199598,0.0020893,0.014449,0.00310131,0.00281723,0.0067403,0.0201058,0.00442209,0.0091493,0.0232752,0.0107415,0.00805238,0.0139479,0.0214598,0,0,0,0,0,0,0.00460384,0,0,0
