Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,RTOE,x73,x74,REAR
All Timesteps RMSE,0.020218,0.014849,0,0,0,0,0,0,0.0579876,0.0242138,0.0205778,0.00699416,0,0,0.0369711,0,0.0456685,0.0155232,0.0524335,0.0297558,0.00894042,0.0412102,0.012457,0.0266537,0.030352,0.0641563,0.0338088,0.0700874,0.036056,0.0220022,0.0181536,0.0371417,0.0448763,0.0313276,0.042213,0.00913591,0.00700783,0.0273875,0.0055,0.00567798,0.0223077,0,0.0444194,0,0.0292965,0.0224201,0.0319992,0.00969139,0.0254235,0.00506349,0.0141868,0.0301969,0.00400545,0.0152787,0.00441206,0.00463217,0.00599249,0.0209476,0.00475664,0.00712103,0.0239714,0.0137102,0.0121709,0.020403,0.0206029,0,0,0,0,0,0,0.00976564,0,0,0
0,0.0225604,0.0237596,0,0,0,0,0,0,0.0580368,0.0228502,0.0170743,0.00158003,0,0,0.0576331,0,0.0424609,0.0219215,0.0517676,0.0220864,0.00352692,0.0396376,0.014858,0.0302361,0.0305183,0.0654744,0.0352902,0.0668118,0.0353555,0.0195981,0.0140488,0.0362712,0.0433511,0.0485834,0.0336434,0.00878646,0.00558208,0.0213411,0.00649953,0.00476763,0.0287191,0,0.0790109,0,0.0354101,0.036684,0.0332019,0.0116517,0.0241231,0.00285424,0.0140223,0.0160356,0.00183694,0.0144026,0.00325158,0.00428244,0.00741507,0.0217295,0.00378299,0.0102126,0.0290391,0.0157047,0.0113481,0.0229985,0.0196084,0,0,0,0,0,0,0,0,0,0
1,0.0243493,0.0259688,0,0,0,0,0,0,0.0581453,0.0226551,0.0169857,0.00219848,0,0,0.0569974,0,0.042658,0.0218406,0.0518649,0.0222335,0.00346485,0.0395702,0.0127068,0.0324277,0.0304159,0.0657509,0.0351723,0.066895,0.035372,0.0191374,0.0141441,0.0362827,0.0438613,0.048539,0.034393,0.00890525,0.00730158,0.0210524,0.00722786,0.00405723,0.0314778,0,0.0787853,0,0.0354152,0.0366683,0.0330033,0.0105195,0.0242619,0.00251003,0.0119775,0.0152391,0.00228811,0.0146942,0.00393753,0.00446543,0.00656745,0.0208458,0.00366929,0.00915655,0.0307253,0.0160127,0.0112757,0.0252326,0.0209162,0,0,0,0,0,0,0.00663369,0,0,0
2,0.0223752,0.0237537,0,0,0,0,0,0,0.0580095,0.0224026,0.0171207,0.00176466,0,0,0.0563144,0,0.042668,0.0214194,0.0517859,0.0220176,0.00350593,0.0395123,0.0142901,0.0301882,0.0304427,0.0659464,0.0350469,0.0667275,0.0353604,0.0189751,0.0139944,0.0362482,0.0435137,0.0474603,0.034399,0.0086365,0.00597101,0.0210971,0.0063409,0.00485293,0.0286763,0,0.0767895,0,0.0352909,0.0359279,0.0331625,0.011005,0.0242703,0.00316477,0.013439,0.0154704,0.00191059,0.0145109,0.00291118,0.00399201,0.00760419,0.0217428,0.00391415,0.0101714,0.0286615,0.0158433,0.0112254,0.0230359,0.0195003,0,0,0,0,0,0,0,0,0,0
3,0.0222138,0.0236446,0,0,0,0,0,0,0.057895,0.022428,0.0171162,0.00184642,0,0,0.0558123,0,0.0428418,0.0212035,0.0518039,0.0219855,0.00357404,0.0394681,0.0138495,0.0301023,0.0304487,0.0657855,0.0348909,0.0667113,0.0353324,0.0190386,0.0139865,0.0362249,0.0435667,0.0469059,0.0344765,0.00857124,0.00591902,0.0210461,0.00634638,0.00457904,0.0285489,0,0.0756856,0,0.0350679,0.03553,0.0332066,0.0110668,0.0243001,0.00325245,0.013055,0.0150465,0.00195448,0.0145903,0.00285426,0.00404472,0.00770731,0.0217865,0.00398262,0.0102689,0.0284262,0.0152899,0.0109542,0.0229422,0.0194197,0,0,0,0,0,0,0,0,0,0
4,0.0219754,0.0234645,0,0,0,0,0,0,0.057811,0.022297,0.0169816,0.00194458,0,0,0.0551291,0,0.0429279,0.0208502,0.0518068,0.0219266,0.00364769,0.0394954,0.0134736,0.0299381,0.0304784,0.0657446,0.0348273,0.0667067,0.0353494,0.0191128,0.0139978,0.0362319,0.0436736,0.0460222,0.0345789,0.00853042,0.00574194,0.0210819,0.00634393,0.00428146,0.028253,0,0.0745942,0,0.0348542,0.0352347,0.033221,0.0110744,0.0242524,0.0032634,0.0126553,0.0146844,0.00193053,0.014503,0.00292966,0.0041173,0.00773959,0.0218601,0.00402,0.01028,0.0281616,0.0146997,0.010559,0.0228334,0.0193021,0,0,0,0,0,0,0,0,0,0
5,0.0214403,0.0228423,0,0,0,0,0,0,0.0579693,0.022354,0.0169231,0.00212643,0,0,0.0544347,0,0.0427121,0.020457,0.0517627,0.0219224,0.00379056,0.0395732,0.0132075,0.0294534,0.0305385,0.065872,0.0348475,0.0666929,0.0354387,0.0191972,0.0139891,0.0362657,0.043853,0.0451239,0.0346457,0.00843842,0.00558149,0.0212719,0.00631214,0.00409255,0.0275302,0,0.0735801,0,0.0347373,0.0350839,0.0332204,0.0111228,0.0241548,0.00316163,0.0123573,0.014536,0.0019536,0.0144021,0.00318338,0.0042847,0.00761362,0.0219329,0.00398565,0.010203,0.027868,0.0140257,0.0100409,0.0223766,0.0189774,0,0,0,0,0,0,0,0,0,0
6,0.0207988,0.0222478,0,0,0,0,0,0,0.0584735,0.0224415,0.0170357,0.00239303,0,0,0.0536007,0,0.0426834,0.0201148,0.0517532,0.0219968,0.00394886,0.0396914,0.0129611,0.0288789,0.0307408,0.0657414,0.0348949,0.0667189,0.0355297,0.0192574,0.0139812,0.0363306,0.043964,0.044345,0.0347217,0.00825941,0.00786619,0.021501,0.00720256,0.0038891,0.0267013,0,0.0729974,0,0.0347029,0.0351259,0.0330569,0.0103705,0.0241877,0.00280171,0.0121119,0.0146483,0.00240167,0.0144199,0.00400732,0.00460697,0.00681043,0.0210966,0.00417324,0.00944558,0.0276509,0.0133864,0.00959673,0.021786,0.0185307,0,0,0,0,0,0,0.00705049,0,0,0
7,0.0200541,0.021541,0,0,0,0,0,0,0.058775,0.0224289,0.016936,0.00230876,0,0,0.0526681,0,0.0427666,0.0196679,0.0517769,0.0220448,0.00401308,0.0397821,0.0129653,0.0282384,0.0307663,0.065769,0.0347868,0.0667524,0.0355161,0.0192063,0.0139241,0.0363208,0.0439154,0.0433072,0.0348492,0.00809267,0.00641625,0.0217219,0.0063069,0.00384239,0.0258565,0,0.0727023,0,0.0347191,0.0352352,0.0331215,0.010792,0.0241342,0.00332055,0.0120379,0.0149064,0.00191634,0.0140521,0.00303496,0.00408598,0.00770594,0.0221077,0.00398256,0.0102357,0.0275264,0.0130489,0.00942819,0.0210973,0.0179943,0,0,0,0,0,0,0,0,0,0
8,0.019289,0.0207079,0,0,0,0,0,0,0.0587967,0.0223129,0.0168487,0.00248399,0,0,0.0516856,0,0.0428745,0.0192688,0.0518228,0.0220317,0.00399541,0.0398475,0.0127886,0.0275922,0.0305755,0.0658981,0.0346371,0.0667378,0.0355251,0.0192255,0.0139118,0.0363302,0.0438344,0.0426334,0.0349935,0.00801591,0.00599845,0.0219364,0.00637167,0.00375686,0.0248886,0,0.0727139,0,0.0347861,0.0354794,0.0330355,0.0107685,0.0241997,0.00347578,0.0117924,0.0152698,0.00178868,0.01447,0.00282091,0.00388415,0.00786089,0.022092,0.00407351,0.0102607,0.0275024,0.0129554,0.00948621,0.0203315,0.0174454,0,0,0,0,0,0,0,0,0,0
9,0.0184706,0.0198642,0,0,0,0,0,0,0.0587466,0.0221554,0.0169835,0.00260026,0,0,0.0508207,0,0.0429836,0.0189165,0.051868,0.021954,0.0039853,0.039867,0.0126295,0.0269461,0.0304347,0.0660204,0.0346008,0.0667337,0.0356104,0.0192487,0.0139271,0.0363781,0.0437485,0.0419637,0.0351221,0.00786523,0.00549004,0.0219204,0.00643062,0.00363678,0.023925,0,0.0726199,0,0.0345837,0.0355863,0.0329274,0.010827,0.0242205,0.00356549,0.0115576,0.0157139,0.00172005,0.0146886,0.00267888,0.00372606,0.00803414,0.022072,0.00417389,0.010279,0.0274218,0.0130907,0.00969818,0.019445,0.0168209,0,0,0,0,0,0,0,0,0,0
10,0.017625,0.0189472,0,0,0,0,0,0,0.058783,0.0222016,0.0171667,0.00265019,0,0,0.0502631,0,0.0428661,0.018816,0.0518088,0.0220149,0.00415414,0.0399463,0.0123708,0.0263072,0.0303729,0.0659629,0.0346446,0.0667653,0.0357002,0.0192936,0.0139084,0.0364379,0.043871,0.0411822,0.0351249,0.00763832,0.00499161,0.0219004,0.00640242,0.00350211,0.0230279,0,0.0723281,0,0.0342981,0.0354572,0.0329496,0.0108563,0.0241018,0.00355552,0.0113222,0.0162688,0.00170959,0.0145754,0.00269,0.00370053,0.00805111,0.0220712,0.00420873,0.0102209,0.0273114,0.0133021,0.0098685,0.0184839,0.0162058,0,0,0,0,0,0,0,0,0,0
11,0.0167232,0.0180323,0,0,0,0,0,0,0.0588387,0.0222519,0.017312,0.00280147,0,0,0.0498194,0,0.0426552,0.0186974,0.0516936,0.022129,0.00428656,0.0400846,0.0120574,0.0255836,0.0303732,0.0657612,0.0346898,0.0667571,0.0357413,0.0194799,0.0138773,0.0364966,0.0440023,0.0402955,0.0350808,0.00751786,0.00476589,0.0219871,0.00640391,0.00330305,0.0221563,0,0.0719078,0,0.0340956,0.0351916,0.0330321,0.0110627,0.0241938,0.00353344,0.0110755,0.0168921,0.00173103,0.0146466,0.00273301,0.00382123,0.00803774,0.0221007,0.0041856,0.010207,0.0271799,0.0134197,0.00993103,0.0176104,0.0155777,0,0,0,0,0,0,0,0,0,0
12,0.0157886,0.0172092,0,0,0,0,0,0,0.0588831,0.0219273,0.0173023,0.00312952,0,0,0.0488981,0,0.0426713,0.0183016,0.0516337,0.0222094,0.00441901,0.0402453,0.0116641,0.0248363,0.0304788,0.065719,0.0347798,0.0666612,0.0358138,0.0198689,0.0138691,0.036513,0.0441462,0.0393824,0.0351642,0.00742088,0.00686751,0.0220778,0.00710406,0.0030563,0.0212575,0,0.0712425,0,0.033944,0.0348607,0.0329159,0.00998415,0.0242236,0.0030206,0.0107034,0.0174293,0.00225448,0.0149522,0.00330844,0.00420922,0.00721843,0.0212035,0.00416291,0.00928463,0.0269476,0.0135,0.00996894,0.0169321,0.0148791,0,0,0,0,0,0,0.0067609,0,0,0
13,0.014785,0.0165268,0,0,0,0,0,0,0.0588974,0.0217129,0.0172335,0.00319564,0,0,0.0476585,0,0.0427512,0.0178919,0.0515638,0.0222129,0.00447545,0.0403379,0.0116112,0.0239456,0.0306013,0.0659665,0.0348995,0.066592,0.0358822,0.0198961,0.0138348,0.0364872,0.044208,0.0385201,0.035288,0.00732545,0.00702123,0.0222633,0.00686871,0.00295736,0.0202534,0,0.0705544,0,0.0338762,0.0345919,0.0328895,0.00963106,0.0242665,0.00307659,0.0105275,0.0181352,0.00225542,0.0148991,0.00313009,0.00406209,0.00732949,0.0212206,0.00482774,0.0092873,0.0266056,0.0134168,0.00994775,0.0163905,0.0140658,0,0,0,0,0,0,0.00668349,0,0,0
14,0.0138363,0.0158387,0,0,0,0,0,0,0.0588861,0.0218166,0.0172376,0.00322899,0,0,0.0462541,0,0.0427107,0.0174547,0.0515361,0.0221403,0.00451848,0.0403516,0.0115287,0.0230433,0.030683,0.0660475,0.0350102,0.0665346,0.0359055,0.0196815,0.0138214,0.0364477,0.044184,0.0377563,0.0353564,0.00717953,0.00614194,0.0225815,0.00644293,0.0029288,0.0192784,0,0.0696075,0,0.0339486,0.0343242,0.0329779,0.0102558,0.0242067,0.00385225,0.0103389,0.0188139,0.00169566,0.0146468,0.0022981,0.00357663,0.0082191,0.0221981,0.00584102,0.01022,0.0263209,0.0132959,0.0098775,0.0158228,0.0133096,0,0,0,0,0,0,0,0,0,0
15,0.0128551,0.0152361,0,0,0,0,0,0,0.0588736,0.021985,0.0171733,0.0034444,0,0,0.0450868,0,0.0425115,0.0170026,0.0515275,0.0221088,0.00462335,0.0402935,0.0111845,0.0221764,0.0306444,0.0660338,0.0350768,0.0664673,0.0359155,0.0197875,0.0137524,0.0364419,0.0441427,0.0368436,0.0354202,0.00708112,0.0059622,0.0227752,0.00651841,0.00273667,0.0182477,0,0.0686065,0,0.0338492,0.0340551,0.0329762,0.0104633,0.024162,0.00383576,0.0100179,0.0195997,0.00167481,0.0145412,0.00247615,0.00361888,0.00827868,0.0222236,0.00494271,0.0103089,0.0259227,0.0131307,0.00974453,0.0152767,0.0125508,0,0,0,0,0,0,0,0,0,0
16,0.0118899,0.0146809,0,0,0,0,0,0,0.0589349,0.0219208,0.0171806,0.00359361,0,0,0.0439078,0,0.0425375,0.0165011,0.0515332,0.0221387,0.0047161,0.0402039,0.0107958,0.0213607,0.0305685,0.0658589,0.0350839,0.0663625,0.0358827,0.0198209,0.0136884,0.0364416,0.0440932,0.0357757,0.0355716,0.0070248,0.00573097,0.0228085,0.0066229,0.00255937,0.0173321,0,0.0674427,0,0.0335547,0.0336731,0.0329911,0.0107653,0.0241402,0.00385866,0.00966301,0.0204332,0.00161795,0.0144765,0.00255926,0.0037012,0.00837641,0.0222903,0.00437456,0.0104341,0.0253417,0.0130589,0.00963566,0.0148193,0.0117806,0,0,0,0,0,0,0,0,0,0
17,0.0110198,0.0142084,0,0,0,0,0,0,0.0590471,0.0219584,0.0173495,0.00378598,0,0,0.0429405,0,0.0424958,0.0162911,0.0515163,0.0222525,0.00482712,0.0402742,0.0104297,0.0205852,0.030538,0.0657843,0.0351297,0.0663494,0.035903,0.0197058,0.013649,0.0364762,0.0442314,0.0347526,0.0356855,0.00690135,0.00541486,0.0229018,0.0066464,0.00236785,0.0165005,0,0.0662687,0,0.0333522,0.0332803,0.0329871,0.0108752,0.0240797,0.00383966,0.00925688,0.0211755,0.00157841,0.0144131,0.00250664,0.00377887,0.00839033,0.0223584,0.00470689,0.0104292,0.0247595,0.0128868,0.00962028,0.0144148,0.0110651,0,0,0,0,0,0,0,0,0,0
18,0.0102344,0.0141597,0,0,0,0,0,0,0.0591588,0.0222389,0.0173899,0.00402838,0,0,0.042143,0,0.0422985,0.0161956,0.0515543,0.0223834,0.00505554,0.0405224,0.0101328,0.0200003,0.0305496,0.0658588,0.0353342,0.0665011,0.0360863,0.0195242,0.0137037,0.0365805,0.0445467,0.0338258,0.0357849,0.0068905,0.00702561,0.022979,0.00703598,0.00222328,0.0159738,0,0.0650144,0,0.0334979,0.032764,0.0328533,0.0093433,0.0240542,0.00320443,0.00889988,0.022003,0.00198082,0.0146123,0.0031073,0.00407466,0.00743909,0.0214881,0.00563205,0.00925946,0.0241177,0.0128518,0.00960745,0.0142932,0.0104532,0,0,0,0,0,0,0.00660203,0,0,0
19,0.00944411,0.0133478,0,0,0,0,0,0,0.0592382,0.0223205,0.0174174,0.00398008,0,0,0.0411045,0,0.0422006,0.0157217,0.0516601,0.0224185,0.00518685,0.0405979,0.00960249,0.0190454,0.0305204,0.0659014,0.0354113,0.0667,0.036119,0.0194053,0.0137657,0.0366263,0.0446536,0.0328758,0.0359297,0.00671762,0.00620419,0.0234677,0.00654287,0.00220843,0.014691,0,0.0628654,0,0.033421,0.0320005,0.0329169,0.0100035,0.0240693,0.00390674,0.00828474,0.0222492,0.00142376,0.0144467,0.00226302,0.00354024,0.00834615,0.0225463,0.00611657,0.0102943,0.0235165,0.0126671,0.00962405,0.0134906,0.00963989,0,0,0,0,0,0,0,0,0,0
20,0.00939285,0.0130074,0,0,0,0,0,0,0.0593471,0.022307,0.0173884,0.00415663,0,0,0.0399238,0,0.0420315,0.015167,0.051739,0.0226256,0.00549907,0.0407334,0.00845113,0.0188435,0.0305425,0.0659546,0.0355165,0.0668615,0.036183,0.0194517,0.0138595,0.0366964,0.0448447,0.0317685,0.036207,0.00658551,0.00518927,0.0236576,0.00653643,0.00171327,0.0142417,0,0.0604469,0,0.03293,0.0309155,0.0328629,0.0101841,0.0240963,0.00390446,0.00709133,0.0210366,0.00143029,0.0145437,0.00238073,0.0035369,0.0082482,0.0227189,0.00583467,0.0102109,0.0231872,0.0125905,0.0096784,0.0132006,0.00931429,0,0,0,0,0,0,0,0,0,0
21,0.00952984,0.0129262,0,0,0,0,0,0,0.0594982,0.0223109,0.0173699,0.00485248,0,0,0.0386309,0,0.0418965,0.0145845,0.0517646,0.0228926,0.00593708,0.0409694,0.00727661,0.0185782,0.0306408,0.0661326,0.0358965,0.0670259,0.0363351,0.0196114,0.0140379,0.0367941,0.0451284,0.030653,0.0364673,0.0065267,0.00602913,0.0239259,0.00715557,0.00108752,0.0139709,0,0.0577789,0,0.0325765,0.029711,0.0327402,0.00898688,0.024029,0.00332296,0.00588667,0.0193759,0.00207003,0.0147567,0.00340053,0.00412648,0.00715381,0.0219735,0.00478218,0.00896132,0.0228236,0.012677,0.00983445,0.0132341,0.00903634,0,0,0,0,0,0,0.00635068,0,0,0
22,0.00926568,0.0129022,0,0,0,0,0,0,0.059527,0.0223731,0.0175035,0.00527789,0,0,0.0372571,0,0.0419261,0.0141568,0.0518254,0.0229203,0.00618168,0.0410019,0.00673621,0.018001,0.0307429,0.0660486,0.0362451,0.0670894,0.0363983,0.0196749,0.0141117,0.0368244,0.0451136,0.0295236,0.0366579,0.00642435,0.00602254,0.0242352,0.00706436,0.000841382,0.0133964,0,0.0556238,0,0.0324689,0.0287427,0.0326665,0.00866979,0.0239382,0.00328695,0.00528023,0.0188209,0.00214436,0.0145834,0.0033736,0.0040926,0.00715789,0.0219416,0.00438394,0.0088126,0.0223069,0.0127407,0.00989234,0.0131646,0.0084409,0,0,0,0,0,0,0.00615207,0,0,0
23,0.00883802,0.012959,0,0,0,0,0,0,0.0594941,0.0223604,0.017669,0.00551483,0,0,0.0358192,0,0.0420501,0.0136334,0.0518483,0.0229665,0.00635826,0.0410643,0.00640027,0.0175472,0.0308035,0.0661033,0.0365075,0.0670961,0.036399,0.0196514,0.014119,0.0368246,0.0449086,0.0283648,0.0368618,0.00637472,0.00618703,0.0244462,0.0068928,0.000606741,0.0126982,0,0.0537714,0,0.032318,0.0279214,0.0326639,0.00834139,0.0239826,0.00329499,0.00490444,0.0187821,0.00208928,0.0147768,0.00325936,0.00397801,0.00727729,0.0216112,0.00441048,0.00883345,0.0217242,0.0128425,0.00992795,0.0131297,0.00771044,0,0,0,0,0,0,0.00623231,0,0,0
24,0.00848201,0.0131658,0,0,0,0,0,0,0.0594664,0.0222327,0.0177083,0.00561425,0,0,0.0342088,0,0.0420855,0.0130149,0.0518604,0.0229786,0.00645398,0.0411724,0.00621599,0.0173876,0.0307993,0.0662466,0.0366315,0.0670723,0.0363829,0.019575,0.0140897,0.0367843,0.0446478,0.0269728,0.0371174,0.00637457,0.00582492,0.024598,0.00662104,0.000489508,0.0120946,0,0.0516387,0,0.0321625,0.0270308,0.0327661,0.00946126,0.0240458,0.00410401,0.00475876,0.0186197,0.00154227,0.014591,0.00228081,0.0035521,0.00847368,0.0225411,0.00511592,0.0101478,0.0210891,0.0129799,0.0100013,0.0132482,0.00703029,0,0,0,0,0,0,0,0,0,0
25,0.00807289,0.0133523,0,0,0,0,0,0,0.0594784,0.0222766,0.017662,0.00580461,0,0,0.032839,0,0.0418384,0.0125398,0.0518695,0.0230229,0.00659982,0.0413066,0.00598121,0.0172061,0.0306596,0.0661393,0.0362193,0.0670568,0.0363987,0.0196102,0.014091,0.0367936,0.0445591,0.0256685,0.0371636,0.0062599,0.00521288,0.024717,0.00658939,0.000452698,0.0114551,0,0.0498256,0,0.0320187,0.0263124,0.0327721,0.00968775,0.0240724,0.00417201,0.00452754,0.0186389,0.00166657,0.0143863,0.00237773,0.00368277,0.00848843,0.0228793,0.00518978,0.0101174,0.0204572,0.0129356,0.010018,0.0133752,0.00631317,0,0,0,0,0,0,0,0,0,0
26,0.00784578,0.0135168,0,0,0,0,0,0,0.0595627,0.0225687,0.0177895,0.00626411,0,0,0.0314109,0,0.0416252,0.0119262,0.0518984,0.0231806,0.00686045,0.0415228,0.00562864,0.0170979,0.0305122,0.0660833,0.0356564,0.0671027,0.0364554,0.0196989,0.0141305,0.0368683,0.0446592,0.0243274,0.0372173,0.00608278,0.00614996,0.0248659,0.00710962,0.000687165,0.0108107,0,0.0475996,0,0.0319131,0.0253488,0.0326978,0.00835044,0.0241243,0.00356333,0.00404734,0.0182356,0.0022349,0.0147165,0.0033673,0.00419443,0.00737174,0.0221708,0.00475632,0.00882704,0.0198015,0.0130744,0.0101149,0.0136092,0.00567103,0,0,0,0,0,0,0.00658746,0,0,0
27,0.00749384,0.0137347,0,0,0,0,0,0,0.0595528,0.0228722,0.0178159,0.00646283,0,0,0.0300101,0,0.0418196,0.0113162,0.0519069,0.0232558,0.0069851,0.0416295,0.00554829,0.0169305,0.0303888,0.0660491,0.0365426,0.0671994,0.0364414,0.0196667,0.0141182,0.0368933,0.0445452,0.0230078,0.0375767,0.00589192,0.00624098,0.0249634,0.00714156,0.000766312,0.0100942,0,0.0455796,0,0.0317331,0.0244258,0.0327028,0.00834748,0.0242531,0.00364645,0.00389723,0.0181907,0.00222317,0.0148026,0.003309,0.00406692,0.00745154,0.022211,0.00487191,0.0089067,0.0191245,0.0130061,0.0100952,0.0138842,0.00497869,0,0,0,0,0,0,0.00665252,0,0,0
28,0.00718338,0.0139548,0,0,0,0,0,0,0.0595776,0.0228025,0.0179232,0.00652506,0,0,0.0286432,0,0.0418443,0.01088,0.0518977,0.0233395,0.00714378,0.0417828,0.00549617,0.0167274,0.0304167,0.0660345,0.0371815,0.0672613,0.0365142,0.0197533,0.0141984,0.036916,0.0444851,0.0217306,0.0378275,0.00588769,0.00637759,0.0250381,0.00710438,0.000879455,0.00934228,0,0.043607,0,0.0315418,0.0234799,0.0326897,0.00819794,0.0242944,0.00360658,0.00382585,0.0182189,0.00220987,0.0147411,0.00322873,0.00396361,0.00752812,0.0222154,0.00494902,0.00893425,0.0183924,0.012866,0.010054,0.0141645,0.0043486,0,0,0,0,0,0,0.00655726,0,0,0
29,0.00709294,0.0143157,0,0,0,0,0,0,0.0596672,0.0226557,0.0180437,0.00642024,0,0,0.027254,0,0.0416633,0.0104971,0.0519439,0.0233847,0.00726327,0.0418782,0.00556036,0.0165102,0.0304095,0.0660794,0.0366888,0.0673156,0.036623,0.019978,0.0142992,0.0369384,0.0444146,0.0203796,0.0378715,0.00597663,0.0064372,0.0251843,0.0067174,0.000832041,0.00868631,0,0.0411314,0,0.0314579,0.0223305,0.0328075,0.00910642,0.0243424,0.00448734,0.0039552,0.0177864,0.00142005,0.0144388,0.00213879,0.00341227,0.00871263,0.0231687,0.00554607,0.0102746,0.0175614,0.0127493,0.0100556,0.0145919,0.0038447,0,0,0,0,0,0,0,0,0,0
30,0.00699266,0.0145737,0,0,0,0,0,0,0.0598059,0.0225624,0.018153,0.00655828,0,0,0.0260508,0,0.0413743,0.0101596,0.0519546,0.0235549,0.00747092,0.0420258,0.0056171,0.0162673,0.0303231,0.0661509,0.0353508,0.0673122,0.0367606,0.0204313,0.0144159,0.0369954,0.0445562,0.0191765,0.0378038,0.00608062,0.00603407,0.025327,0.00668532,0.000935627,0.00812021,0,0.0391397,0,0.0313403,0.0213823,0.032844,0.00928542,0.0243266,0.00446129,0.00398595,0.017729,0.00126997,0.0144121,0.00211764,0.00329226,0.00869032,0.0231857,0.00553424,0.0102649,0.016782,0.0124094,0.00986877,0.0147854,0.00338184,0,0,0,0,0,0,0,0,0,0
31,0.00573818,0.0148546,0,0,0,0,0,0,0.0598644,0.0227658,0.0182099,0.0077962,0,0,0.0247367,0,0.0414088,0.00981248,0.0519088,0.0236609,0.00805054,0.0424733,0.00665649,0.0161883,0.0303524,0.0663939,0.0350952,0.0669427,0.03706,0.0205599,0.0142531,0.037162,0.043925,0.0176526,0.0380601,0.00616829,0.00833542,0.0254304,0.00687452,0.0030691,0.00708499,0,0.0368837,0,0.0311624,0.0203598,0.0324419,0.00917173,0.0218456,0.00459547,0.00531735,0.0177668,0.00361149,0,0.00573439,0.00613627,0.0079211,0.0248597,0.00549114,0.00946743,0.0159067,0.0121781,0.00973396,0.0145748,0.00158602,0,0,0,0,0,0,0,0,0,0
32,0.00688563,0.0151578,0,0,0,0,0,0,0.0600436,0.0230153,0.0180308,0.00701729,0,0,0.0231686,0,0.0416298,0.00934556,0.0518787,0.0239731,0.00785851,0.0423531,0.00594543,0.0166237,0.0302365,0.0662086,0.035031,0.0673178,0.0368822,0.0202395,0.0144992,0.0371654,0.0450165,0.0166654,0.0384174,0.00597474,0.00534328,0.0254847,0.00661515,0.00132751,0.00709102,0,0.0345534,0,0.0310867,0.019342,0.032866,0.00947095,0.0244665,0.00452473,0.00430719,0.0171667,0.00115892,0.014356,0.00191068,0.00306752,0.00864445,0.0232156,0.00547703,0.010171,0.0149467,0.011793,0.00955003,0.0155422,0.00268413,0,0,0,0,0,0,0,0,0,0
33,0.00692854,0.0153282,0,0,0,0,0,0,0.0601609,0.0229455,0.0182223,0.00740136,0,0,0.021678,0,0.0416547,0.00877324,0.0517756,0.0242211,0.00813798,0.0425108,0.00611275,0.0170068,0.0303023,0.066342,0.0352329,0.0672529,0.0370335,0.0202023,0.0145395,0.0372603,0.0454341,0.01537,0.0386541,0.00594086,0.00630797,0.0256551,0.00694634,0.00172041,0.00666988,0,0.0325056,0,0.0311656,0.018575,0.0327394,0.00781246,0.0244999,0.00377782,0.00440301,0.0168506,0.00174863,0.0145883,0.00256727,0.00347879,0.00747395,0.0223901,0.00485326,0.00875326,0.0141996,0.0109483,0.00914026,0.0159694,0.00255299,0,0,0,0,0,0,0.00670446,0,0,0
34,0.00688487,0.0154365,0,0,0,0,0,0,0.0602254,0.0228942,0.0182995,0.00750304,0,0,0.020182,0,0.0416477,0.00818961,0.0516818,0.0243564,0.00829073,0.0425837,0.00624512,0.0172405,0.0305318,0.0664923,0.0353037,0.0671516,0.0371421,0.0202549,0.0146346,0.0372915,0.0456308,0.0139672,0.0388822,0.00598526,0.00642067,0.0258891,0.00686392,0.00158504,0.00633436,0,0.0309953,0,0.0312567,0.0179442,0.0326267,0.00759056,0.0246309,0.00396161,0.00454493,0.0169423,0.00171627,0.0144981,0.00257919,0.00336182,0.00758524,0.0224885,0.0049081,0.00882072,0.0134539,0.00981918,0.00849676,0.0163094,0.00257971,0,0,0,0,0,0,0.00674581,0,0,0
35,0.00688124,0.0157779,0,0,0,0,0,0,0.0602279,0.0229073,0.0184679,0.00736431,0,0,0.0185918,0,0.0417126,0.00759656,0.0515644,0.0243934,0.00838473,0.0427206,0.00637496,0.0174736,0.030741,0.0665353,0.0351336,0.0670071,0.0371425,0.0202997,0.0147049,0.0372892,0.0456819,0.0124939,0.0391684,0.00603812,0.00618361,0.0259572,0.00664506,0.00136555,0.00611351,0,0.0297627,0,0.0310585,0.0172355,0.0326288,0.00909217,0.0247489,0.00498663,0.00476703,0.017233,0.000959748,0.0142203,0.00182136,0.00293569,0.0088956,0.0233938,0.00559248,0.0104011,0.0126949,0.00817775,0.00733771,0.0165891,0.00281952,0,0,0,0,0,0,0,0,0,0
