Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,,LTHIP,LTIBI
246,0.0121599,0.0235859,0,0,0,0,0,0,0.0330437,0.0241261,0.00880606,0.00636857,0,0,0.0263575,0,0.0438572,0.010189,0.0412876,0.0143459,0.00947435,0.0137886,0.0104159,0.0100105,0.0112484,0,0.0948714,0.0162988,0.0113318,0.0257378,0.020826,0.0165975,0.0348607,0.00943577,0.0039261,0.0264561,0.0154858,0.00385154,0.0332231,0,0,0.0196301,0,0.0327193,0.0101726,0.0375925,0.0266976,0.0185449,0.00369788,0.0134846,0.0516849,0.0047043,0.0110567,0.00324423,0.00563419,0.00950928,0.0183047,0.00786549,0.0149152,0.00957738,0.0291771,0.0189481,0.011837,0.0321921,0.0190545,0,0,0,0,0,0,0,0,0.024809,0.00798809
247,0.0125099,0.0229717,0,0,0,0,0,0,0.0330819,0.0240659,0.00885011,0.00637359,0,0,0.0265625,0,0.0440348,0.0106911,0.0412151,0.0144058,0.00944231,0.0137787,0.0105542,0.0100995,0.0112252,0,0.0949782,0.0163887,0.011217,0.0257936,0.020987,0.0170323,0.0347984,0.00965087,0.00374492,0.0263417,0.0155879,0.00383117,0.033478,0,0,0.020413,0,0.032867,0.0104622,0.0377708,0.0267979,0.0185651,0.00377028,0.0136374,0.0516455,0.00472777,0.0110448,0.00333286,0.00570959,0.00953328,0.0182744,0.00791176,0.0150083,0.00956124,0.0294527,0.0190486,0.01172,0.0313565,0.0191525,0,0,0,0,0,0,0,0,0.0247685,0.00807226
248,0.0117599,0.022009,0,0,0,0,0,0,0.0327962,0.0240124,0.00876337,0.00608409,0,0,0.0272659,0,0.0442832,0.0110989,0.0412229,0.0142349,0.00975153,0.0133186,0.00828883,0.0109756,0.0115341,0,0.0952683,0.016566,0.010684,0.0258385,0.0193103,0.0177305,0.034773,0.00978296,0.0262289,0.0261717,0.0331322,0.00501184,0.0324931,0,0,0.0213299,0,0.0330104,0.0107323,0.0354405,0.0370335,0.0198127,0.0161518,0.0116883,0.0501803,0.00839552,0.0122994,0.00291747,0.0127892,0.0194622,0.0295367,0.0214976,0.0241997,0.0217773,0.0293403,0.0189358,0.0115367,0.0302148,0.0183083,0,0,0,0,0,0,0,0,0.0243601,0.00800481
249,0.0114356,0.0217091,0,0,0,0,0,0,0.0326998,0.0239576,0.00885649,0.00612966,0,0,0.0284231,0,0.0444072,0.0118075,0.0412018,0.0144137,0.00970499,0.0131693,0.00832273,0.0121185,0.0115405,0,0.0953263,0.0166505,0.0107366,0.025664,0.0194061,0.0184726,0.0347198,0.0100262,0.0263715,0.0260416,0.0332364,0.00494564,0.0319845,0,0,0.0217843,0,0.033168,0.010855,0.0354262,0.0372034,0.0198338,0.0161456,0.011753,0.0495436,0.00839967,0.0122893,0.00289711,0.0127848,0.0195251,0.0295865,0.0216268,0.0242996,0.0218812,0.0293208,0.0189144,0.0115184,0.0296985,0.0178608,0,0,0,0,0,0,0,0,0.0244437,0.0079819
250,0.0113738,0.0214673,0,0,0,0,0,0,0.0330538,0.0238138,0.00913835,0.00607809,0,0,0.0304174,0,0.0445665,0.0128385,0.041167,0.0144526,0.00950241,0.013513,0.00843307,0.0135118,0.0116949,0,0.0957367,0.0169489,0.0115024,0.0258304,0.0200343,0.0200724,0.0345852,0.0103341,0.026373,0.0259602,0.0333588,0.00490818,0.0317051,0,0,0.0222846,0,0.0333445,0.0111023,0.0353801,0.0373551,0.0198665,0.0161537,0.0118362,0.0491507,0.00841081,0.0123139,0.00287823,0.0128203,0.0196161,0.02966,0.0217757,0.0244258,0.0219033,0.0293372,0.0188471,0.0115334,0.0291752,0.017686,0,0,0,0,0,0,0,0,0.0241228,0
251,0.0112925,0.0212797,0,0,0,0,0,0,0.0330372,0.0237744,0.00885583,0.00621371,0,0,0.0322407,0,0.0448398,0.0139508,0.0411852,0.0142617,0.00962206,0.0128531,0.00854451,0.0150542,0.0115192,0,0.0954238,0.0167599,0.0107793,0.0259867,0.0196845,0.022199,0.0345667,0.0105684,0.0264113,0.0258835,0.0334657,0.00491985,0.0314017,0,0,0.022889,0,0.0335205,0.011404,0.0353753,0.0374675,0.0198771,0.0161891,0.0119506,0.0486946,0.00843191,0.0122783,0.00288693,0.0128414,0.0196545,0.0296922,0.02189,0.0244964,0.0219108,0.0293224,0.0188157,0.0115852,0.0287355,0.0175252,0,0,0,0,0,0,0,0,0.0241996,0.00806172
252,0.0116482,0.0213933,0,0,0,0,0,0,0.0336254,0.0239156,0.00906863,0.0064689,0,0,0.03429,0,0.0450844,0.0154362,0.0411123,0.0146049,0.00901647,0.013434,0.0112394,0.0156969,0.011201,0,0.0956789,0.0167558,0.0115388,0.0258888,0.0218657,0.0245302,0.0345716,0.01101,0.00422138,0.0259183,0.0155422,0.0037075,0.0315636,0,0,0.0227919,0,0.0335998,0.0114168,0.0376402,0.0265374,0.0185652,0.00388231,0.0142795,0.0488132,0.00469961,0.011118,0.00344756,0.0058403,0.00952792,0.0183301,0.00770306,0.0149663,0.00927863,0.0291552,0.0190791,0.0118665,0.0284047,0.0177897,0,0,0,0,0,0,0,0,0.0241741,0
253,0.0115217,0.0201594,0,0,0,0,0,0,0.0333513,0.0236601,0.00859604,0.00622921,0,0,0.0380494,0,0.0453648,0.017366,0.0411347,0.0141568,0.00944452,0.0123187,0.00891324,0.0183823,0.0113351,0,0.0952841,0.0166556,0.0105472,0.0259145,0.0196672,0.0287064,0.0347904,0.0114846,0.0265805,0.0257098,0.033575,0.00504942,0.0307048,0,0,0.0241401,0,0.0338011,0.0119771,0.0353312,0.0376519,0.0198804,0.0162149,0.0123024,0.0470311,0.00842891,0.0122886,0.00288039,0.0128018,0.0196222,0.029831,0.0220398,0.0245389,0.0219983,0.0291134,0.0191556,0.0117165,0.0271149,0.0174343,0,0,0,0,0,0,0,0,0.0239247,0.00796717
254,0.0128225,0.0192237,0,0,0,0,0,0,0.0330557,0.0232362,0.008724,0.00608311,0,0,0.0538031,0,0.0456748,0.0265462,0.0410908,0.0144341,0.0093016,0.0121646,0.0086086,0.0257838,0.0112979,0,0.0951257,0.0167244,0.010328,0.0257573,0.019446,0.0430061,0.0358032,0.014786,0.02663,0.0254167,0.0337543,0.00511738,0.0307904,0,0,0.025566,0,0.0340605,0.0126203,0.0353279,0.0378829,0.0200198,0.0162903,0.0119447,0.0460271,0.00845578,0.0122226,0.00301345,0.0128697,0.0195957,0.029828,0.0221445,0.0246889,0.0220747,0.0295843,0.0193394,0.01151,0.0263819,0.0183271,0,0,0,0,0,0,0,0,0.023761,0.00797586
255,0.0119099,0.0185646,0,0,0,0,0,0,0.0330259,0.0239359,0.00916435,0.00589674,0,0,0.0785472,0,0.0464127,0.040639,0.041013,0.0147265,0.00889875,0.0130738,0.0095752,0.0338848,0.0112273,0,0.0953808,0.0167405,0.0111167,0.0255673,0.021376,0.0632838,0.0364519,0.0205618,0.0035636,0.0254303,0.0153689,0.00365472,0.0295072,0,0,0.0253444,0,0.0341841,0.0125921,0.0377665,0.0261195,0.0188267,0.00395659,0.0125593,0.0444237,0.00465843,0.0110708,0.00360992,0.00582122,0.0097022,0.018156,0.00764333,0.0147946,0.0090222,0.0289562,0.0192237,0.0116225,0.0252468,0.0171972,0,0,0,0,0,0,0,0,0.0239497,0
