Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,
284,0.0487431,0,0,0,0,0,0,0,0.0196558,0.028716,0.0195383,0.02277,0,0.0306918,0,0.035173,0.0243377,0.0475356,0.0295561,0.0104903,0.0226533,0.0296282,0.0205998,0.0128729,0.0255862,0.0202961,0.0116582,0.0109673,0.00840305,0.0272696,0.0390534,0.0204748,0.0347691,0.0199003,0.0296335,0.0266629,0.0362659,0.0227307,0.0723025,0,0,0.0190074,0,0.0331624,0.0188189,0.0352409,0.0419871,0.0257509,0.0588186,0.0312508,0.10355,0.0161791,0.0178847,0.0321399,0.03137,0.0324319,0.0166232,0.0171477,0.0312179,0.0227712,0.0668622,0.0227108,0.0234405,0.0612064,0.0387605,0,0,0,0,0,0,0,0
285,0.0486518,0,0,0,0,0,0,0,0.0198492,0.0287553,0.0195612,0.0227083,0,0.0295627,0,0.0351764,0.0241743,0.0475437,0.0296177,0.0104873,0.0226368,0.0294285,0.0200717,0.0128548,0.0256131,0.020259,0.0116328,0.0111208,0.00840681,0.0272794,0.0390204,0.0198139,0.0347712,0.020022,0.0291573,0.0267903,0.0362846,0.0226303,0.0727339,0,0,0.0194479,0,0.0334166,0.0192586,0.0352315,0.0419674,0.0258227,0.0588231,0.0311338,0.104084,0.0161216,0.0179332,0.0321519,0.0313654,0.032317,0.0167074,0.0172453,0.0312322,0.0229516,0.0673594,0.0227389,0.0236146,0.0616275,0.0389146,0,0,0,0,0,0,0,0
286,0.0485791,0,0,0,0,0,0,0,0.0201066,0.0288359,0.0195519,0.0226506,0,0.0284949,0,0.0352064,0.0240112,0.0476213,0.0295031,0.0104782,0.022571,0.0292837,0.0195733,0.0128073,0.0256908,0.0201743,0.0116491,0.0114914,0.00849078,0.0273024,0.0390701,0.0191633,0.0348233,0.0201637,0.029034,0.0266995,0.0361687,0.022531,0.0730444,0,0,0.0197907,0,0.03346,0.0197787,0.0352145,0.0419819,0.0257951,0.0588069,0.0310395,0.104564,0.0160865,0.0179684,0.0321362,0.0313691,0.0322913,0.0167711,0.0172774,0.0312308,0.0227994,0.0678296,0.022945,0.023865,0.0620413,0.0390663,0,0,0,0,0,0,0,0
287,0.0485777,0,0,0,0,0,0,0,0.0201201,0.0288527,0.0195601,0.0226279,0,0.0274423,0,0.035224,0.023864,0.0476998,0.0293739,0.0104527,0.0225209,0.0292202,0.0191091,0.0127636,0.0257813,0.0201245,0.0116709,0.0120476,0.00851079,0.0272919,0.0390185,0.0185582,0.0348297,0.0203144,0.0291515,0.0265789,0.0359404,0.022259,0.073137,0,0,0.0201529,0,0.0335324,0.0203753,0.0351828,0.0419209,0.0257322,0.0588144,0.0309966,0.105108,0.0160833,0.0179841,0.0321078,0.0313738,0.032329,0.0168088,0.0172894,0.0312461,0.0225154,0.0683578,0.0231185,0.0240702,0.0624558,0.0392865,0,0,0,0,0,0,0,0
288,0.0486215,0,0,0,0,0,0,0,0.0198353,0.0288337,0.0195808,0.0225922,0,0.0263873,0,0.0352446,0.0237991,0.0477179,0.0293019,0.0104353,0.0225436,0.0291678,0.0187001,0.012747,0.0257822,0.0201449,0.0116992,0.0123716,0.00858413,0.0272498,0.0388815,0.0179663,0.0348076,0.0204506,0.0292756,0.0265615,0.0358553,0.0224751,0.0733032,0,0,0.0206042,0,0.0337109,0.0209909,0.0351696,0.0417991,0.0257347,0.0588753,0.0309763,0.105687,0.0160694,0.0179884,0.0321068,0.0313582,0.0323653,0.0168371,0.0172861,0.0312893,0.0222999,0.0688378,0.0232201,0.0242946,0.0629001,0.0395064,0,0,0,0,0,0,0,0
289,0.0486135,0,0,0,0,0,0,0,0.0194941,0.0288625,0.0196097,0.0225899,0,0.025321,0,0.0352898,0.0237402,0.0477423,0.0293191,0.0104287,0.022593,0.0291543,0.0183073,0.0127435,0.025772,0.0201726,0.0117249,0.0124141,0.00861277,0.0272049,0.0387536,0.017347,0.0348371,0.0205652,0.0292536,0.0266145,0.036113,0.022661,0.0735851,0,0,0.021158,0,0.0339433,0.0215245,0.0351403,0.0417502,0.0257002,0.058918,0.0310024,0.106282,0.0160936,0.0179752,0.0320966,0.031329,0.0323985,0.0168413,0.0172587,0.0312836,0.0221267,0.0692523,0.0233413,0.0245209,0.063347,0.0396141,0,0,0,0,0,0,0,0
290,0.0485358,0,0,0,0,0,0,0,0.0195761,0.0288945,0.0196754,0.022595,0,0.0242203,0,0.0353222,0.0235971,0.0477802,0.02932,0.0104252,0.0226212,0.0291368,0.0179002,0.0127565,0.0257794,0.0202017,0.0117352,0.0124358,0.00858694,0.0271957,0.0386312,0.0166046,0.0349158,0.0206501,0.0292064,0.0266331,0.0365871,0.0227216,0.0739988,0,0,0.0216895,0,0.0341386,0.0219147,0.0351245,0.0416695,0.025684,0.0589345,0.0310176,0.106863,0.0161453,0.0179622,0.0320361,0.0312802,0.0324404,0.016813,0.0172307,0.0312364,0.0220082,0.0695947,0.0234574,0.024645,0.0637755,0.0397239,0,0,0,0,0,0,0,0
291,0.0485435,0,0,0,0,0,0,0,0.0208671,0.0288756,0.0198692,0.0225981,0,0.0230385,0,0.0353519,0.0233585,0.0478026,0.0293937,0.0104388,0.0226943,0.0291098,0.0174702,0.0127744,0.0258052,0.0202354,0.0117362,0.0125805,0.00854962,0.02724,0.0385147,0.0158818,0.0349561,0.0207249,0.0292231,0.0266246,0.036804,0.022699,0.0743022,0,0,0.0222218,0,0.0343034,0.0222373,0.0351323,0.0416451,0.0257025,0.0589601,0.0310151,0.107449,0.0160767,0.0179703,0.0318956,0.0312565,0.0324605,0.0168252,0.0172133,0.031228,0.0219098,0.0699427,0.0235328,0.0247618,0.0642263,0.039931,0,0,0,0,0,0,0,0
292,0.048561,0,0,0,0,0,0,0,0.0226867,0.0288586,0.0201172,0.0226054,0,0.0217763,0,0.0353545,0.023104,0.0478242,0.0296063,0.0104743,0.0227742,0.0290959,0.0170066,0.0127922,0.0258224,0.0202642,0.0117681,0.012512,0.00847136,0.027289,0.0383524,0.0152269,0.0348812,0.020784,0.0292549,0.0266225,0.0368437,0.0226733,0.0745983,0,0,0.0228219,0,0.0344724,0.0225782,0.0351582,0.0416788,0.0257402,0.0590239,0.0310137,0.108076,0.0160338,0.0179911,0.0318239,0.0312595,0.0324706,0.0168617,0.0172231,0.0312471,0.021744,0.0702868,0.0235735,0.0248897,0.0647062,0.0401847,0,0,0,0,0,0,0,0
293,0.0485136,0,0,0,0,0,0,0,0.021058,0.0289044,0.0200246,0.0226181,0,0.0205073,0,0.0354171,0.0228754,0.0478467,0.0294327,0.0104817,0.0227755,0.029111,0.0165533,0.0128457,0.0258034,0.0202752,0.0117446,0.011217,0.0085537,0.0272254,0.038277,0.0145416,0.0348388,0.0208352,0.0293155,0.0266165,0.0368588,0.0226611,0.0750326,0,0,0.0235666,0,0.0346644,0.0230028,0.0351757,0.0416796,0.0257683,0.0591774,0.0310509,0.108825,0.0160333,0.018024,0.0318427,0.03126,0.0324829,0.0169027,0.017244,0.0312487,0.0213179,0.0706471,0.0234352,0.0249469,0.0652071,0.0404212,0,0,0,0,0,0,0,0
294,0.0484803,0,0,0,0,0,0,0,0,0.0288837,0.0183495,0.0225278,0,0.0192136,0,0.0354639,0.022639,0.0478499,0.0279834,0.0102747,0.0220157,0.0293102,0.0161474,0.0131262,0.0257358,0.0200373,0.0115412,0.00914527,0.00923357,0.0266344,0.0387665,0.013901,0.0348225,0.0208141,0.0293742,0.026538,0.0368802,0.02267,0.0754334,0,0,0.0242761,0,0.0347996,0.023429,0.0351123,0.0416373,0.0257353,0.0594773,0.0312188,0.109583,0.0160149,0.0180299,0.0318492,0.0312701,0.0324941,0.0169314,0.0172475,0.0312054,0.0210187,0.0709956,0.0235148,0.0250768,0.0657546,0.0406501,0,0,0,0,0,0,0,0
295,0.048609,0,0,0,0,0,0,0,0,0.0288081,0.0182023,0.0224433,0,0.0179221,0,0.03549,0.0223737,0.0478452,0.0279791,0.0102426,0.0212346,0.0293026,0.015751,0.0131413,0.0257386,0.019907,0.0114603,0.00945014,0.00930534,0.0265827,0.0386427,0.0132251,0.0347807,0.0207887,0.0293424,0.026344,0.0367205,0.0226259,0.0759822,0,0,0.0248688,0,0.0348272,0.0237395,0.0350999,0.0417812,0.0257439,0.0596311,0.0311904,0.11033,0.0159803,0.0180626,0.0318489,0.0312697,0.0324803,0.0169795,0.0172884,0.0312101,0.0211764,0.0713045,0.0237839,0.0252607,0.0663101,0.0409447,0,0,0,0,0,0,0,0
296,0.0489644,0,0,0,0,0,0,0,0.0223589,0.0287895,0.0199847,0.0224481,0,0.0167187,0,0.0355471,0.0220854,0.04784,0.0293103,0.0104713,0.0216419,0.0290433,0.0153575,0.0129381,0.0257669,0.0201981,0.0116245,0.010476,0.00882247,0.0271645,0.0378883,0.0125264,0.0348347,0.0207756,0.0292663,0.026526,0.0365997,0.0225366,0.0764839,0,0,0.025522,0,0.0352341,0.0241074,0.0351793,0.0419688,0.0257914,0.0591732,0.0309863,0.11109,0.0159405,0.018129,0.0318995,0.0312445,0.0324573,0.0170211,0.0173475,0.031265,0.0213015,0.0716957,0.0234979,0.0253095,0.0668246,0.0413065,0,0,0,0,0,0,0,0
