Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,
9,0.048656,0.0567099,0,0,0,0,0,0,0.0168611,0.0266058,0.0241341,0.0162318,0,0.0143812,0,0.0410538,0.0152276,0.0490989,0.0280101,0.0123054,0.0241137,0.0178637,0.0163624,0.013968,0.0244058,0.0216735,0.0103787,0.0138913,0.00610209,0.0250134,0.0330894,0.016673,0.0386008,0.010464,0.0300734,0.0263227,0.0359748,0.0157007,0.0836719,0,0,0.0358012,0,0.0306105,0.0329897,0.034272,0.0416124,0.0241011,0.059445,0.0200374,0.115814,0.016309,0.0174447,0.0310828,0.0324718,0.0329974,0.0176108,0.0182403,0.0320539,0.0221973,0.0783553,0.0178333,0.0184778,0.0679994,0.0469413,0,0,0,0,0,0,0,0
10,0.0482303,0.0568117,0,0,0,0,0,0,0.0169047,0.0266509,0.0240593,0.0162685,0,0.0139653,0,0.0410278,0.0152688,0.0491066,0.0279256,0.0123373,0.0241232,0.0178787,0.0159518,0.0140159,0.0244263,0.0217168,0.0103326,0.0139897,0.00606722,0.02509,0.0331105,0.0161969,0.0386649,0.010447,0.0300848,0.026334,0.035986,0.0157177,0.0837672,0,0,0.0353727,0,0.0304788,0.0327563,0.0342888,0.0416529,0.0241166,0.0594483,0.02009,0.116122,0.0162676,0.0174346,0.0310745,0.0324807,0.0329876,0.0176397,0.0182639,0.032076,0.0221575,0.0783634,0.017779,0.0182645,0.0682313,0.0468608,0,0,0,0,0,0,0,0
11,0.0479245,0.0569594,0,0,0,0,0,0,0.0169031,0.0266901,0.0240974,0.0162861,0,0.0135864,0,0.0410179,0.0152186,0.0490746,0.0279473,0.0123611,0.0241495,0.0178907,0.0155877,0.014046,0.0243525,0.0217383,0.0103319,0.0139495,0.00614504,0.0250757,0.033188,0.0157498,0.0387031,0.0104226,0.0300977,0.0263368,0.0360019,0.0157011,0.0837804,0,0,0.03495,0,0.0303409,0.0325991,0.0342968,0.0416972,0.024119,0.0594099,0.0200948,0.116354,0.0162426,0.0174217,0.0310584,0.0325114,0.0329726,0.0176439,0.0182679,0.0321011,0.0221325,0.0783199,0.0176603,0.0180771,0.0684736,0.0467546,0,0,0,0,0,0,0,0
12,0.0478158,0.0569479,0,0,0,0,0,0,0.0168692,0.0267023,0.0242095,0.0162915,0,0.0131965,0,0.0410157,0.0150328,0.0490689,0.0280464,0.012378,0.0241256,0.0178686,0.0152365,0.0140386,0.0244989,0.0217075,0.0103285,0.0138568,0.00614464,0.0249906,0.0332501,0.0153105,0.0387216,0.0103846,0.0301403,0.0263462,0.0360216,0.0156703,0.0838195,0,0,0.0345334,0,0.0302076,0.032452,0.0342987,0.0417595,0.0240653,0.0594222,0.020069,0.11661,0.0162892,0.0173951,0.0310271,0.032551,0.0329466,0.0176381,0.018288,0.0321058,0.022147,0.0782191,0.0175208,0.0179577,0.0687113,0.0465787,0,0,0,0,0,0,0,0
13,0.0478475,0.0569245,0,0,0,0,0,0,0.0168714,0.0266896,0.0242529,0.0163167,0,0.0128331,0,0.0410174,0.014851,0.0490745,0.0281248,0.0124105,0.0240819,0.0178937,0.0148881,0.0140312,0.0245721,0.0216529,0.0102749,0.0137758,0.00617537,0.0249404,0.0332941,0.0148773,0.038721,0.0103355,0.0301574,0.0263467,0.0360447,0.0156413,0.0837986,0,0,0.0341375,0,0.0300965,0.032246,0.0343094,0.0418549,0.0240008,0.0595306,0.0200557,0.116848,0.0163259,0.017377,0.0310272,0.0325598,0.0328944,0.0176399,0.0183193,0.0321059,0.0221541,0.0780336,0.0174255,0.0177154,0.0689371,0.0465172,0,0,0,0,0,0,0,0
14,0.0477629,0.0569796,0,0,0,0,0,0,0.0168369,0.026657,0.0242842,0.016326,0,0.0124423,0,0.0410178,0.0147145,0.0491028,0.0281346,0.0124493,0.0240194,0.0179459,0.0145316,0.0140198,0.0245042,0.0216288,0.0102407,0.01369,0.00634718,0.0249358,0.033325,0.0144579,0.0387161,0.0102677,0.030109,0.0263519,0.0359952,0.0156284,0.0837666,0,0,0.0336941,0,0.0299961,0.0319104,0.0343145,0.0418832,0.0239256,0.0595699,0.0200909,0.117121,0.0162601,0.0173484,0.0310208,0.0325532,0.0328773,0.017643,0.0183423,0.0321114,0.0221593,0.0778443,0.0172752,0.0174892,0.069102,0.0463214,0,0,0,0,0,0,0,0
15,0.0475219,0.0570753,0,0,0,0,0,0,0.0167888,0.0266006,0.0243039,0.0163091,0,0.012042,0,0.0410452,0.0145112,0.0491228,0.0281044,0.0124682,0.0239895,0.0180175,0.0141571,0.0139946,0.0242691,0.0216517,0.0102354,0.0136818,0.00641857,0.024928,0.0333157,0.0140433,0.0387423,0.0101884,0.0299754,0.0263544,0.0359241,0.015631,0.0837847,0,0,0.0332066,0,0.0299078,0.0313823,0.034301,0.0418115,0.0238817,0.0595378,0.0201635,0.117329,0.0161828,0.0173253,0.0310189,0.0325765,0.0328941,0.017641,0.0183344,0.0321126,0.0220341,0.07759,0.0171334,0.0172882,0.0692277,0.0462838,0,0,0,0,0,0,0,0
16,0.0473246,0.057021,0,0,0,0,0,0,0.0167445,0.0265427,0.0243389,0.0163063,0,0.0116442,0,0.0410939,0.0142353,0.0491234,0.028056,0.0124722,0.0240248,0.0180968,0.0137312,0.0139507,0.0241749,0.0216975,0.0102457,0.0137025,0.00633252,0.0248991,0.0332985,0.0136059,0.0388107,0.010046,0.0299917,0.0263637,0.036008,0.0156293,0.0836586,0,0,0.0327397,0,0.0298205,0.0308949,0.0342885,0.0418239,0.0238417,0.0595453,0.0202399,0.117518,0.0162559,0.0172909,0.0310269,0.0326226,0.0329743,0.0176304,0.0183282,0.0321216,0.0219876,0.0773406,0.0170311,0.0171301,0.0693098,0.0462809,0,0,0,0,0,0,0,0
17,0.0472556,0.057223,0,0,0,0,0,0,0.0167201,0.0265347,0.02439,0.0163183,0,0.011507,0,0.0410979,0.0141127,0.0490565,0.0280386,0.0123574,0.0240314,0.0182813,0.0135371,0.013859,0.024248,0.021696,0.0102563,0.0136741,0.00620027,0.0249059,0.0333201,0.013384,0.038869,0.00986462,0.0300831,0.0263345,0.0361087,0.0156872,0.0835592,0,0,0.0322005,0,0.0296871,0.0303979,0.0343271,0.0418799,0.0238308,0.059642,0.020369,0.117907,0.0163628,0.017273,0.0310178,0.0326624,0.0330783,0.0176225,0.0183303,0.0321211,0.0220169,0.0771875,0.0169517,0.0169947,0.0696668,0.0461004,0,0,0,0,0,0,0,0
18,0.0471058,0.0576443,0,0,0,0,0,0,0.0167199,0.0265466,0.0244367,0.0163004,0,0.0114543,0,0.0410997,0.0140309,0.0489806,0.0280455,0.0122395,0.0240331,0.018446,0.0133233,0.0137736,0.024484,0.0216525,0.0102525,0.013681,0.00632874,0.024913,0.0333143,0.0132053,0.038893,0.00975158,0.0300977,0.0262987,0.0361303,0.0157514,0.0834347,0,0,0.0316651,0,0.0295466,0.029934,0.0343681,0.0418867,0.0238425,0.0597341,0.0205224,0.118286,0.0164105,0.0172882,0.030968,0.0326926,0.0330582,0.017637,0.0183289,0.0321382,0.0220113,0.0771422,0.0168036,0.0167716,0.0699448,0.045806,0,0,0,0,0,0,0,0
19,0.0468409,0.0581901,0,0,0,0,0,0,0.0167078,0.0265363,0.0244372,0.0162923,0,0.0115365,0,0.0411336,0.0139311,0.0489208,0.0280751,0.0121304,0.0240247,0.0185635,0.0131542,0.0137,0.0245618,0.0216141,0.0102628,0.0137326,0.00640061,0.0249203,0.0333004,0.0131403,0.0389121,0.00965157,0.0301036,0.0262906,0.0361449,0.0157927,0.0834423,0,0,0.0311296,0,0.0294156,0.0295037,0.0343976,0.0418643,0.0238306,0.0598146,0.0206604,0.118598,0.0164065,0.0172671,0.0309198,0.0327227,0.0330121,0.0176668,0.0183424,0.0321473,0.022042,0.0771619,0.016629,0.0164749,0.070287,0.0456569,0,0,0,0,0,0,0,0
20,0.0465538,0.0584962,0,0,0,0,0,0,0.0166458,0.026494,0.0243867,0.0163176,0,0.0116927,0,0.0411792,0.0139021,0.0488827,0.0281546,0.0120244,0.0239717,0.0187073,0.0130065,0.0136491,0.0244474,0.021554,0.0102737,0.0137392,0.00636938,0.0249265,0.0333379,0.0130993,0.038932,0.00953483,0.0301483,0.0262989,0.0361857,0.015803,0.0836249,0,0,0.0306387,0,0.0292997,0.0291464,0.0344651,0.0418862,0.023837,0.0598468,0.0208002,0.118968,0.0164143,0.017212,0.0309115,0.0327522,0.0329948,0.017678,0.0183588,0.0321549,0.0221382,0.0772335,0.0164236,0.0162702,0.0707585,0.0454061,0,0,0,0,0,0,0,0
21,0.0461575,0.0586772,0,0,0,0,0,0,0.0165861,0.026464,0.0243387,0.0163467,0,0.011975,0,0.0412337,0.0138659,0.0488259,0.0282465,0.0119362,0.0239325,0.0188298,0.0129555,0.01362,0.0242017,0.0214952,0.0102912,0.0137256,0.00626277,0.0249267,0.0333471,0.0131412,0.0389593,0.00939714,0.0301673,0.0263226,0.0361687,0.0158184,0.0838072,0,0,0.0301364,0,0.0291856,0.0288818,0.0345504,0.0418907,0.0238945,0.0598128,0.0209,0.119394,0.0164751,0.0171793,0.0309576,0.0327773,0.0330081,0.017701,0.0183939,0.0321565,0.0221933,0.0772256,0.0161781,0.0161805,0.071327,0.0452502,0,0,0,0,0,0,0,0
22,0.0459048,0.0587906,0,0,0,0,0,0,0.0165754,0.0264349,0.0243524,0.0163111,0,0.0122565,0,0.0412959,0.0138768,0.0487597,0.0282673,0.0118609,0.0239238,0.018895,0.0129304,0.0136127,0.0241984,0.0214735,0.0102933,0.0137196,0.006095,0.0249308,0.0333421,0.0132114,0.0389827,0.00923469,0.0301392,0.0263092,0.0360712,0.0158383,0.0839791,0,0,0.0296292,0,0.02906,0.0286453,0.0346038,0.041858,0.0239041,0.0597912,0.020933,0.119916,0.0165378,0.0171645,0.0309805,0.0328121,0.0330436,0.0177284,0.0184395,0.0321589,0.0222397,0.077175,0.0159701,0.0160593,0.0718012,0.0453464,0,0,0,0,0,0,0,0
23,0.0456745,0.0589438,0,0,0,0,0,0,0.0165647,0.0263985,0.0243909,0.0162803,0,0.0125344,0,0.0413554,0.0137032,0.0487042,0.0282127,0.0117791,0.0239464,0.0189293,0.0129643,0.0135755,0.0244477,0.0214534,0.0102752,0.0138159,0.00626641,0.0249135,0.0333912,0.0133487,0.0389958,0.00908499,0.0301541,0.0262945,0.0360799,0.0158669,0.0841114,0,0,0.0292403,0,0.0289385,0.028378,0.0346292,0.0418713,0.0239238,0.05978,0.0209312,0.120501,0.0165279,0.0171715,0.0309517,0.032826,0.0330841,0.0177389,0.0184994,0.032203,0.0222075,0.0771208,0.0158317,0.0158858,0.0722428,0.0454942,0,0,0,0,0,0,0,0
24,0.0453162,0.0591481,0,0,0,0,0,0,0.0165427,0.0263803,0.0244102,0.0162867,0,0.0128251,0,0.0414275,0.01351,0.048649,0.0282201,0.0116913,0.0239508,0.0190087,0.0131051,0.013509,0.0245722,0.021429,0.0102659,0.0138718,0.00638582,0.0248919,0.0334519,0.0135449,0.0390191,0.00896703,0.0301543,0.0263285,0.0361611,0.015873,0.0842145,0,0,0.0288974,0,0.0288719,0.0280926,0.0346627,0.0419244,0.0239737,0.0597427,0.0209668,0.121025,0.0165039,0.017187,0.0309418,0.0328251,0.0330468,0.0177404,0.0185596,0.0322344,0.022125,0.0770403,0.0156244,0.0156062,0.0727067,0.0454318,0,0,0,0,0,0,0,0
25,0.0448363,0.0593745,0,0,0,0,0,0,0.0165413,0.0263674,0.0244201,0.0163416,0,0.0130863,0,0.0415235,0.0132717,0.0486085,0.0283213,0.0115902,0.0239299,0.0191345,0.0133148,0.0134643,0.0245057,0.0214219,0.0102311,0.0138853,0.0064357,0.0248566,0.0334886,0.0138813,0.0390344,0.00886813,0.0301455,0.026411,0.0362195,0.0159081,0.0844275,0,0,0.0284796,0,0.0288662,0.0277657,0.0346942,0.0419414,0.0239726,0.0597672,0.0210797,0.121448,0.0165674,0.017166,0.0309619,0.032841,0.0330281,0.0177356,0.0185736,0.0321935,0.0221193,0.0768642,0.0153556,0.0153454,0.0731695,0.0454591,0,0,0,0,0,0,0,0
26,0.0445758,0.0595819,0,0,0,0,0,0,0.0165436,0.026355,0.0244716,0.0163426,0,0.0134331,0,0.0416262,0.0131599,0.048595,0.0283634,0.011512,0.0238993,0.0192091,0.0136523,0.0134253,0.0243168,0.0213566,0.0102048,0.0138758,0.00644736,0.0248457,0.0335424,0.0141497,0.0390361,0.00875349,0.0301024,0.0264253,0.0362105,0.015921,0.0845972,0,0,0.0279507,0,0.0287615,0.0272822,0.0347208,0.0419286,0.0239066,0.0598376,0.0211512,0.12182,0.0166318,0.0171263,0.0309829,0.0328866,0.0330453,0.0177332,0.0185754,0.0321566,0.0221452,0.0767823,0.0151668,0.0150908,0.0736037,0.0455029,0,0,0,0,0,0,0,0
27,0.0444918,0.0597857,0,0,0,0,0,0,0.0165528,0.0263418,0.0245254,0.0163289,0,0.0138605,0,0.0416985,0.0131426,0.0485819,0.0283275,0.0114569,0.0238514,0.0192567,0.0140608,0.013381,0.0243225,0.0212969,0.0101777,0.013839,0.00645228,0.0248754,0.0335599,0.0144398,0.0390512,0.00863358,0.0300676,0.0263452,0.0362518,0.0159388,0.0846302,0,0,0.0274582,0,0.0285816,0.0267654,0.0347548,0.0419613,0.0238493,0.0598243,0.0212192,0.122123,0.0166647,0.017106,0.0309611,0.0328913,0.0330399,0.0176989,0.0185763,0.0321541,0.0221127,0.0766785,0.0150973,0.0148765,0.0740031,0.0456806,0,0,0,0,0,0,0,0
28,0.0445714,0.0599731,0,0,0,0,0,0,0.0165669,0.0263402,0.0245355,0.0163012,0,0.0143858,0,0.041747,0.0130246,0.0485355,0.0283006,0.0114103,0.0237815,0.0192904,0.0145078,0.0133602,0.0245472,0.0213909,0.0101561,0.0138057,0.00649318,0.0248999,0.0335835,0.0147756,0.0390692,0.00853621,0.0300741,0.0262852,0.0362723,0.0159982,0.0845991,0,0,0.0269929,0,0.0284311,0.0262667,0.0347826,0.0419784,0.0238147,0.0598332,0.0212816,0.122334,0.0166601,0.017069,0.0309669,0.0328793,0.033019,0.0176691,0.0185674,0.0321627,0.0220357,0.0766086,0.0150277,0.0147063,0.0743672,0.0456595,0,0,0,0,0,0,0,0
29,0.0444347,0.0601135,0,0,0,0,0,0,0.0165557,0.0263424,0.0245353,0.0162574,0,0.0149685,0,0.0417817,0.0129981,0.0484659,0.0284583,0.0113228,0.0237609,0.0193806,0.0149704,0.0133312,0.0245961,0.0216595,0.0101595,0.0137942,0.00650968,0.0248567,0.0335957,0.0151938,0.0391047,0.00848001,0.0301185,0.0262738,0.0362632,0.0160275,0.0846843,0,0,0.0265439,0,0.0283321,0.0259092,0.034803,0.0419803,0.0238,0.0598802,0.0213608,0.122569,0.0166519,0.0170151,0.0309951,0.0328803,0.0330186,0.0176525,0.0185604,0.0321578,0.0219348,0.0765133,0.0149043,0.014513,0.0747277,0.0457599,0,0,0,0,0,0,0,0
30,0.044135,0.0602056,0,0,0,0,0,0,0.0165248,0.0263485,0.0245473,0.0162585,0,0.0155217,0,0.0418056,0.0131034,0.0483927,0.0286625,0.0112246,0.02375,0.0194977,0.0153711,0.013285,0.0244962,0.0217588,0.0101567,0.0138065,0.00654541,0.0248123,0.0336249,0.0156463,0.0391258,0.0084538,0.0301306,0.026257,0.0362147,0.0160425,0.0847213,0,0,0.0260989,0,0.0282391,0.0256344,0.0348159,0.0419379,0.0238126,0.0598229,0.0214488,0.122907,0.0167076,0.0170063,0.0310139,0.0328854,0.0329853,0.0176633,0.0185561,0.0321248,0.0219862,0.0764367,0.0147699,0.0143889,0.0750436,0.0461318,0,0,0,0,0,0,0,0
31,0.0437889,0.0603001,0,0,0,0,0,0,0.0165015,0.026364,0.0245128,0.0162788,0,0.0161169,0,0.041831,0.0131437,0.0483298,0.0286419,0.0111273,0.0237409,0.0195766,0.0158207,0.0132616,0.0242309,0.0217772,0.0101328,0.0138975,0.00657856,0.0247908,0.0336214,0.0161247,0.0391249,0.00842269,0.0301544,0.0261944,0.0361951,0.016062,0.0848233,0,0,0.0256599,0,0.0281007,0.0254227,0.0348209,0.0419313,0.0238414,0.0597224,0.0215109,0.123282,0.0167702,0.0170237,0.0310597,0.0328992,0.0328669,0.0176892,0.0185491,0.0320975,0.0220814,0.0763382,0.014722,0.0142575,0.0753715,0.0463826,0,0,0,0,0,0,0,0
32,0.0435394,0.060376,0,0,0,0,0,0,0.0165184,0.026376,0.0242984,0.0162688,0,0.0167736,0,0.0418491,0.0131146,0.0482936,0.0287952,0.0110447,0.0237221,0.0196804,0.0163397,0.0132254,0.0241075,0.0217904,0.0101178,0.013938,0.00659921,0.0247664,0.0335727,0.0166474,0.0391484,0.00838268,0.0301377,0.0261383,0.0361615,0.0161229,0.0850106,0,0,0.0252204,0,0.0279659,0.0252142,0.0348346,0.0419016,0.0238217,0.0596817,0.0215871,0.123651,0.0167829,0.0170164,0.0311247,0.0329309,0.0327863,0.0176811,0.0185579,0.0320929,0.0221701,0.0761417,0.0147112,0.0140601,0.075652,0.0465517,0,0,0,0,0,0,0,0
33,0.0432685,0.06041,0,0,0,0,0,0,0.0165403,0.0263819,0.0242955,0.0162963,0,0.0174467,0,0.0418842,0.0130596,0.0482541,0.0288829,0.0109498,0.0237426,0.0198273,0.0168604,0.0131899,0.0241686,0.0218044,0.0100933,0.0139828,0.00658429,0.0247182,0.0336065,0.0172162,0.0391852,0.00834048,0.0301028,0.0261367,0.0361036,0.0161932,0.0852434,0,0,0.024766,0,0.0279014,0.0249197,0.0348764,0.0417621,0.0238146,0.0596422,0.0216475,0.123998,0.0168386,0.016989,0.0312727,0.0329417,0.0327875,0.0176516,0.0185651,0.0321038,0.022128,0.0758869,0.0146024,0.0138177,0.0758898,0.0465693,0,0,0,0,0,0,0,0
34,0.0432271,0.0605257,0,0,0,0,0,0,0.0164583,0.0263886,0.0244058,0.0163721,0,0.0181685,0,0.041926,0.0131173,0.0481849,0.0288547,0.0108723,0.0237936,0.0199677,0.0174723,0.0131723,0.0243716,0.0218274,0.0100724,0.0140523,0.00656429,0.0246741,0.0336762,0.017791,0.0392253,0.00831529,0.0300661,0.0260412,0.0360931,0.0162109,0.0853091,0,0,0.0243053,0,0.0277502,0.0245532,0.0348876,0.0415755,0.0238383,0.0596575,0.0217521,0.12426,0.0168943,0.0169597,0.0313338,0.0329033,0.0328284,0.017614,0.0185958,0.0321394,0.0220975,0.0757049,0.0145459,0.0136908,0.0761281,0.0465375,0,0,0,0,0,0,0,0
35,0.0431867,0.0606491,0,0,0,0,0,0,0.0163222,0.026411,0.0244355,0.0164208,0,0.0189085,0,0.0419563,0.0131845,0.0481305,0.0287363,0.0108045,0.0237941,0.0201056,0.0181398,0.0131534,0.0243798,0.021839,0.0100358,0.0141371,0.00658671,0.024682,0.0338146,0.0183926,0.0392636,0.00828654,0.0300142,0.0260192,0.0361112,0.0162294,0.0852455,0,0,0.0238534,0,0.0276734,0.0241094,0.0348918,0.0415814,0.0238474,0.0596314,0.0218774,0.124469,0.0169499,0.0169405,0.0313449,0.0328852,0.0328581,0.0175882,0.0186565,0.0321404,0.0221064,0.0755903,0.0144405,0.0136068,0.0763558,0.0466809,0,0,0,0,0,0,0,0
36,0.0430563,0.0607464,0,0,0,0,0,0,0.0162902,0.0264462,0.024414,0.0164301,0,0.0197756,0,0.0419938,0.0132611,0.0481225,0.0287547,0.0107339,0.0237581,0.0202139,0.0188041,0.0131325,0.0241763,0.0218213,0.0100016,0.0142234,0.00657181,0.0247269,0.0338798,0.0190716,0.0393161,0.0082707,0.0299268,0.0260367,0.036087,0.016253,0.0851711,0,0,0.0234411,0,0.0276359,0.0236351,0.0349018,0.0417809,0.0238699,0.0596359,0.0220032,0.12471,0.0168293,0.0169478,0.0313619,0.0328954,0.0327575,0.0175881,0.0187295,0.0321226,0.022137,0.0755498,0.0143362,0.0135224,0.0765641,0.0465999,0,0,0,0,0,0,0,0
37,0.0428646,0.0607959,0,0,0,0,0,0,0.0163464,0.0264795,0.0243767,0.0164243,0,0.0207347,0,0.042038,0.0133246,0.0481247,0.0287281,0.0106755,0.0237053,0.0202671,0.0194023,0.013116,0.0241595,0.0218055,0.00997172,0.0143113,0.00652789,0.0248207,0.0338895,0.0198202,0.0393712,0.00824596,0.0298362,0.0260885,0.0360436,0.0162705,0.0850853,0,0,0.0229775,0,0.0276373,0.0231245,0.034876,0.0419146,0.0238288,0.0597796,0.022084,0.124917,0.0167592,0.0169601,0.0313724,0.032928,0.0326665,0.0175881,0.0187703,0.0320883,0.0220741,0.075517,0.0142056,0.0133691,0.0766289,0.0465829,0,0,0,0,0,0,0,0
38,0.0428846,0.0608364,0,0,0,0,0,0,0.0163237,0.0265243,0.0244332,0.0163688,0,0.0218195,0,0.0421394,0.0133455,0.0480776,0.0287436,0.010605,0.0236723,0.0202989,0.0199301,0.0130927,0.0243279,0.0217708,0.00994675,0.0143281,0.00652637,0.0248191,0.0339124,0.0208138,0.0393957,0.00823201,0.0297698,0.0261212,0.0360343,0.0162751,0.08485,0,0,0.0225085,0,0.0275967,0.0226329,0.0348414,0.0419566,0.0237924,0.0600471,0.0221089,0.125064,0.0167878,0.016967,0.0313812,0.0329135,0.0326125,0.0175877,0.0187975,0.0320963,0.0220699,0.0754125,0.0140754,0.0131139,0.0766357,0.0468579,0,0,0,0,0,0,0,0
39,0.0430739,0.0608836,0,0,0,0,0,0,0.0162497,0.0265957,0.0246138,0.0163077,0,0.0229384,0,0.0422664,0.0134752,0.0479987,0.0288172,0.0105165,0.0236385,0.0203412,0.0203623,0.01307,0.0243548,0.0217525,0.00991158,0.0143087,0.00661998,0.024713,0.0339786,0.0220676,0.0393865,0.00823316,0.0297394,0.0261054,0.0360086,0.0162667,0.0846945,0,0,0.022073,0,0.0274722,0.0222493,0.0348384,0.0419948,0.0238198,0.0601196,0.0221029,0.125096,0.0168019,0.0169656,0.0314367,0.0329048,0.032598,0.0175875,0.0188322,0.0321769,0.0220771,0.0751916,0.0139564,0.0128153,0.0766888,0.0470184,0,0,0,0,0,0,0,0
40,0.0431927,0.0609867,0,0,0,0,0,0,0.0162099,0.0266543,0.0248079,0.0162546,0,0.0240877,0,0.0422551,0.0138112,0.0479679,0.0287892,0.0104599,0.0235973,0.0203504,0.0207193,0.0130568,0.0242452,0.0217873,0.00984908,0.0143188,0.00654331,0.0246467,0.0340291,0.0227407,0.039461,0.00824722,0.0297674,0.0260041,0.0360419,0.0162669,0.0847889,0,0,0.0217089,0,0.0272685,0.0220168,0.0348352,0.0419686,0.0238122,0.0600372,0.0220714,0.125097,0.0168124,0.0169277,0.031499,0.0329172,0.0326156,0.0175971,0.0188687,0.0320945,0.0221337,0.0748074,0.0138922,0.0128059,0.0767842,0.0470256,0,0,0,0,0,0,0,0
41,0.043217,0.0611731,0,0,0,0,0,0,0.0161841,0.0267428,0.0248508,0.016293,0,0.0252685,0,0.0423398,0.0143022,0.047964,0.0287512,0.0103882,0.0235635,0.0203148,0.0209624,0.013067,0.0240883,0.0218788,0.00978516,0.0143635,0.00645652,0.0245995,0.0340318,0.0234605,0.0394722,0.00825633,0.0297901,0.0259416,0.0360888,0.0162734,0.0849265,0,0,0.0213283,0,0.0270893,0.0220136,0.0348385,0.0419434,0.0238429,0.0599275,0.0219602,0.125164,0.0167938,0.0169329,0.0315366,0.0329381,0.0326331,0.0176331,0.0189061,0.0318829,0.0222344,0.0744678,0.0138777,0.0128853,0.0769499,0.0470256,0,0,0,0,0,0,0,0
42,0.0431303,0.0614,0,0,0,0,0,0,0.0161452,0.0267959,0.0248549,0.0164942,0,0.0264021,0,0.0423517,0.0145733,0.0479692,0.0287531,0.0103095,0.0235511,0.0202945,0.021245,0.0130982,0.0241605,0.02197,0.00977953,0.0144606,0.00641768,0.0245198,0.0340594,0.0242527,0.0395332,0.00825548,0.0298009,0.0259181,0.0360514,0.0162898,0.0852376,0,0,0.0209112,0,0.0269424,0.0220665,0.0348453,0.0419649,0.023914,0.0598476,0.0218402,0.125194,0.016721,0.0170304,0.0315692,0.0329568,0.0326417,0.0176967,0.0189214,0.0318369,0.0222497,0.0741486,0.0138166,0.0129701,0.0771886,0.0472296,0,0,0,0,0,0,0,0
43,0.0432476,0.0615393,0,0,0,0,0,0,0.0161276,0.0267899,0.0248647,0.0165781,0,0.0273272,0,0.0422499,0.0145815,0.0479729,0.0288036,0.0102691,0.0234794,0.020297,0.0215002,0.0131493,0.0241972,0.0220102,0.00975569,0.0145951,0.0064071,0.0244647,0.0341404,0.0249485,0.0396715,0.00824127,0.0297516,0.025911,0.0359673,0.0163291,0.0855159,0,0,0.0204482,0,0.0268376,0.0216958,0.0348452,0.0419449,0.023927,0.0598065,0.0217154,0.125269,0.0166614,0.017057,0.0316103,0.0329659,0.0327104,0.0177241,0.0189109,0.0319036,0.0221828,0.0738337,0.0137676,0.0130257,0.0773989,0.0473092,0,0,0,0,0,0,0,0
44,0.0433925,0.0617015,0,0,0,0,0,0,0.0160649,0.0267993,0.0248242,0.0165202,0,0.0282071,0,0.0422283,0.0145925,0.0479462,0.0288913,0.0102132,0.0232676,0.0203068,0.0218076,0.0132084,0.0241102,0.0220105,0.00968019,0.0146698,0.0064393,0.0244298,0.0341988,0.0256026,0.0397773,0.00822566,0.0297131,0.0259064,0.0359744,0.0163154,0.0858626,0,0,0.0200053,0,0.0267522,0.0212768,0.0348201,0.042001,0.0239452,0.0597511,0.0215731,0.125396,0.0166537,0.0170407,0.0316473,0.0329751,0.0326913,0.0176998,0.0189735,0.0319142,0.0220867,0.073528,0.0137933,0.0130908,0.0776252,0.0474274,0,0,0,0,0,0,0,0
45,0.043684,0.0618023,0,0,0,0,0,0,0.0159514,0.0268024,0.0248371,0.0164656,0,0.0290075,0,0.0422793,0.0146821,0.0479306,0.029021,0.0101252,0.0230512,0.0202786,0.0221205,0.0132281,0.0239939,0.022025,0.00960677,0.0147038,0.00641026,0.0243864,0.0342234,0.0261891,0.039871,0.0081821,0.0296881,0.0258725,0.0360652,0.0162747,0.0859788,0,0,0.0195689,0,0.0266475,0.0210052,0.0347624,0.0421063,0.02395,0.0596647,0.021418,0.125583,0.0166514,0.017074,0.0316793,0.0329634,0.0326941,0.0176784,0.0190737,0.0318543,0.0219521,0.0733506,0.0138148,0.0130335,0.0777839,0.047673,0,0,0,0,0,0,0,0
46,0.0439275,0.0619162,0,0,0,0,0,0,0.0158226,0.0267923,0.0248943,0.0164543,0,0.0297315,0,0.042352,0.0148977,0.0479074,0.0291364,0.00999853,0.0234224,0.0202459,0.0225535,0.0132016,0.0241396,0.0220945,0.00957861,0.0147086,0.00632221,0.0243389,0.0341677,0.0267503,0.0399704,0.00815149,0.0295864,0.0258198,0.036158,0.0162644,0.0860882,0,0,0.0192057,0,0.0265093,0.0208015,0.0346991,0.0421952,0.0240215,0.059515,0.0213024,0.125781,0.0165929,0.0171501,0.0317254,0.0329641,0.0326,0.0176833,0.0191244,0.0318594,0.0217598,0.0732374,0.0138342,0.0129507,0.0779743,0.0480566,0,0,0,0,0,0,0,0
