Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75,REAR
644,0.0141318,0.0151393,0,0,0,0,0,0,0.0326903,0.022546,0.00684388,0.00375641,0,0,0.0280316,0,0.0409724,0.00839544,0.0451369,0.0137662,0.0101187,0.0094609,0.00195446,0.0160266,0.00596569,0.026807,0.00884358,0.0140619,0.0104281,0.00573931,0.025093,0.02121,0.0164247,0.0378988,0.00436435,0.00422382,0.0279241,0.00585021,0.00331516,0.0203487,0,0.0143198,0,0.0246993,0.00978178,0.0329466,0.00947449,0.0236231,0.0035629,0.00394836,0.0203053,0.00230078,0.0115126,0.00278261,0.0022502,0.00505982,0.0183905,0.00306559,0.00677261,0.00465497,0.0156541,0.0111921,0.00458539,0.0147905,0.0169219,0,0,0,0,0,0,0,0,0,0
645,0.0140013,0.0149059,0,0,0,0,0,0,0.0327199,0.022576,0.00682232,0.0037635,0,0,0.0276626,0,0.0407404,0.00806029,0.0451048,0.0132305,0.0100748,0.00942102,0.00201444,0.0160366,0.00602365,0.026801,0.00880221,0.0140614,0.0105972,0.00568471,0.0250753,0.0210432,0.0163371,0.0377284,0.00461956,0.00430234,0.0279229,0.00594472,0.00330478,0.0203177,0,0.0140979,0,0.0248902,0.00978999,0.0330182,0.00964835,0.023652,0.0035126,0.00399609,0.0202326,0.00232413,0.0115891,0.00284269,0.00226354,0.00511637,0.0183823,0.00310129,0.00686345,0.0047341,0.0157579,0.0116196,0.00486623,0.0146074,0.0166727,0,0,0,0,0,0,0,0,0,0
646,0.0138291,0.0146518,0,0,0,0,0,0,0.0327428,0.0226987,0.00700824,0.00374486,0,0,0.0272642,0,0.0405346,0.00781262,0.0450843,0.0128173,0.010056,0.00939906,0.00202142,0.0161173,0.00611105,0.0267823,0.00882053,0.01404,0.0106337,0.00564903,0.0250774,0.0209193,0.0162261,0.0376271,0.00484661,0.00433446,0.0279273,0.00605999,0.00330255,0.020257,0,0.0139709,0,0.0251203,0.00972924,0.0330455,0.00986418,0.023624,0.00349587,0.00407362,0.0201395,0.00231973,0.0116003,0.00288865,0.00225988,0.00517881,0.018287,0.00314249,0.00696843,0.00474564,0.0157729,0.0119146,0.00506061,0.0144136,0.0166837,0,0,0,0,0,0,0,0,0,0
647,0.0136108,0.0143792,0,0,0,0,0,0,0.032735,0.0227576,0.00698006,0.003715,0,0,0.0268509,0,0.0404068,0.00764672,0.0450893,0.0130636,0.0100351,0.00939352,0.00198987,0.0161462,0.00620715,0.0267752,0.00883878,0.0140433,0.0106304,0.00562704,0.0250804,0.0208127,0.0160834,0.0375288,0.00504928,0.00429786,0.0278476,0.00609846,0.00328198,0.0202132,0,0.0138882,0,0.0252858,0.00960775,0.0330363,0.00995984,0.023555,0.00343829,0.00407733,0.020087,0.00230051,0.0116334,0.00289155,0.00224949,0.00517027,0.0181092,0.00309656,0.00701713,0.00482129,0.015772,0.0121853,0.00510556,0.0141907,0.0165849,0,0,0,0,0,0,0,0,0,0
648,0.0133478,0.0140934,0,0,0,0,0,0,0.0325846,0.0227246,0.00691007,0.00369656,0,0,0.0264316,0,0.0402947,0.0075347,0.0450818,0.0130961,0.0100123,0.00937165,0.00197142,0.0161122,0.00623772,0.0267741,0.00888659,0.0140295,0.0105963,0.00556999,0.0250906,0.0207217,0.015953,0.037385,0.00524949,0.00429672,0.027816,0.00596157,0.00325527,0.0201812,0,0.0137806,0,0.0254966,0.00949201,0.0330073,0.00984582,0.0235489,0.00328525,0.00405789,0.020072,0.00231268,0.011659,0.00289798,0.00225371,0.00497553,0.0181664,0.00304817,0.0068733,0.00515708,0.0157115,0.0124385,0.00534365,0.0139357,0.0163754,0,0,0,0,0,0,0,0,0,0
649,0.0131872,0.0138638,0,0,0,0,0,0,0.0324095,0.0226409,0.0069416,0.00368515,0,0,0.0260716,0,0.0402065,0.00733176,0.0450931,0.0126932,0.00997506,0.00937111,0.0019426,0.0160752,0.00624554,0.0267627,0.00894613,0.0139906,0.0105524,0.00552326,0.0251256,0.0206671,0.0158346,0.0372222,0.00544872,0.00442923,0.0277674,0.00578396,0.00326112,0.0202926,0,0.0136429,0,0.0256816,0.0093228,0.0329579,0.0095503,0.0235865,0.00304811,0.00398926,0.020189,0.00235388,0.0116302,0.00297943,0.0023143,0.00468239,0.0185053,0.00309102,0.00657025,0.00566807,0.015718,0.0127238,0.00562151,0.0135795,0.0161847,0,0,0,0,0,0,0,0,0,0
650,0.0131327,0.0139082,0,0,0,0,0,0,0.0324565,0.022635,0.00692295,0.00362936,0,0,0.02599,0,0.0400818,0.0072118,0.0451213,0.0124321,0.00996451,0.00932846,0.00188978,0.0162111,0.00624066,0.0267906,0.008945,0.0139863,0.0105526,0.00556382,0.0250977,0.0207035,0.0158233,0.037058,0.00563053,0.00449824,0.0276997,0.00608636,0.00322225,0.0201444,0,0.0135925,0,0.0259077,0.00915739,0.0329236,0.00984397,0.0235253,0.00296686,0.00387027,0.0193479,0.00234339,0.011527,0.00302774,0.00235787,0.0048379,0.0185876,0.00323308,0.0066689,0.00548404,0.0155043,0.0130985,0.00598982,0.013767,0.0163492,0,0,0,0,0,0,0,0,0,0
651,0.0130944,0.0137408,0,0,0,0,0,0,0.0325792,0.0227341,0.00688419,0.00362798,0,0,0.0258389,0,0.0399914,0.00713232,0.0451568,0.0123979,0.00996631,0.00930781,0.00181252,0.0162584,0.00622423,0.0268564,0.0089103,0.0139967,0.0105633,0.00566304,0.0250359,0.0206929,0.0158383,0.0370571,0.00581019,0.00448949,0.0276317,0.00553249,0.00327952,0.0201478,0,0.0135174,0,0.0261299,0.0089641,0.0328588,0.00941866,0.0234838,0.00271206,0.00376305,0.0189918,0.00244081,0.0114184,0.00327895,0.00248012,0.00460078,0.0189407,0.00242819,0.0062919,0.00597012,0.0153974,0.0135109,0.00633428,0.0136665,0.0164179,0,0,0,0,0,0,0,0,0,0
652,0.0131285,0.0136271,0,0,0,0,0,0,0.0326598,0.0228237,0.00688391,0.00357585,0,0,0.0258066,0,0.0399024,0.007004,0.0451352,0.0124427,0.00997914,0.0093168,0.00171609,0.016387,0.00618886,0.0268962,0.00883416,0.0140845,0.0105985,0.00572153,0.0250176,0.0204988,0.0159585,0.0370468,0.00596669,0.00438884,0.027618,0.005139,0.00326744,0.0201759,0,0.0134461,0,0.0263887,0.00879817,0.0328568,0.00916152,0.0234536,0.00261919,0.00366773,0.0186405,0.0024838,0.011377,0.00336389,0.00247653,0.00442025,0.0190885,0.00201026,0.00618658,0.00628465,0.0151974,0.0140976,0.00670731,0.0135506,0.0164379,0,0,0,0,0,0,0,0,0,0
653,0.0131781,0.0134937,0,0,0,0,0,0,0.0326792,0.0228863,0.00697053,0.00353467,0,0,0.0257992,0,0.0398024,0.00683705,0.0450775,0.0125438,0.00997425,0.00934234,0.00165415,0.0165121,0.00617905,0.0268845,0.00878473,0.0141935,0.0106008,0.00572179,0.0250429,0.0202407,0.0161281,0.0369711,0.00613744,0.00413828,0.0275886,0.0051032,0.00318364,0.0201892,0,0.0134308,0,0.0266313,0.00878593,0.0329148,0.00927829,0.0235318,0.00266341,0.00359343,0.018295,0.00245955,0.0113646,0.00328576,0.00244958,0.00435744,0.0192107,0.00200666,0.00623223,0.00639047,0.0150337,0.0146348,0.00701048,0.0134176,0.0163979,0,0,0,0,0,0,0,0,0,0
