Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75,REAR
All Timesteps RMSE,0.0159555,0.012653,0,0,0,0,0,0,0.0299714,0.024139,0.00897762,0.00384942,0,0,0.0344245,0,0.0455014,0.0153058,0.0455146,0.0139817,0.00906662,0.0129619,0.00912841,0.0198929,0.0089449,0.0252318,0.01345,0.0121724,0.0102563,0.00534197,0.0232745,0.0177582,0.0289088,0.0417277,0.00977972,0.00851768,0.0271178,0.00712854,0.004547,0.0189454,0,0.0361091,0,0.02887,0.0189963,0.0332456,0.0125158,0.0242551,0.00564118,0.0117491,0.0184216,0.00388773,0.0131118,0.0044904,0.00442076,0.00697646,0.0183075,0.00573671,0.00871001,0.0107311,0.0190415,0.0147745,0.0120131,0.0125038,0.0153592,0,0,0,0,0,0,0,0,0,0
0,0.0264991,0.0314558,0,0,0,0,0,0,0.0287501,0.0249332,0.00814077,0.00387642,0,0,0.0405999,0,0.0385185,0.0213752,0.0435654,0.012007,0.010911,0.0111203,0.00251334,0.0395256,0.00704231,0.0256092,0.0103766,0.0125684,0.0092245,0.00414286,0.0237516,0.0153141,0.0412836,0.0383603,0.0128044,0.00312238,0.0266253,0.00716977,0.00404822,0.0186956,0,0.0147514,0,0.0291672,0.0110335,0.034098,0.0126804,0.0250617,0.00424368,0.00268873,0.0118143,0.0029972,0.0100904,0.00370579,0.00247071,0.0059787,0.0152767,0.00582999,0.00730111,0.00216187,0.00937942,0.0146804,0.00891468,0.0335654,0.02777,0,0,0,0,0,0,0,0,0,0
1,0.0231882,0.0258885,0,0,0,0,0,0,0.0288602,0.0231678,0.00796406,0.0048568,0,0,0.0424768,0,0.040836,0.0191553,0.0434031,0.0121272,0.00995998,0.0109191,0.00387676,0.034613,0.00675642,0.0257915,0.0101619,0.0126087,0.00929803,0.00433097,0.0238802,0.0157553,0.0383039,0.0357118,0.0116359,0.00304138,0.0262615,0.00735761,0.00468742,0.0185881,0,0.0165088,0,0.0292218,0.0118098,0.0338593,0.0130757,0.024475,0.00404764,0.00586458,0.00864222,0.00306391,0.0105063,0.00345835,0.00241416,0.00609371,0.0153443,0.00578971,0.00758646,0.00247231,0.0103253,0.0159819,0.0089254,0.0280378,0.0253594,0,0,0,0,0,0,0,0,0,0
2,0.0222919,0.0247839,0,0,0,0,0,0,0.0285479,0.0232147,0.00778292,0.00502516,0,0,0.0421688,0,0.0406592,0.0189675,0.0433564,0.0118767,0.00996887,0.0108873,0.00401721,0.0336371,0.00677211,0.0258167,0.0102181,0.0126284,0.00916908,0.00429769,0.0238787,0.0155292,0.0380302,0.035536,0.0117198,0.00309896,0.0262125,0.00746174,0.00468362,0.0178833,0,0.0165483,0,0.0293817,0.0119805,0.033894,0.0132404,0.0244208,0.00388222,0.0060586,0.00824805,0.00309075,0.0104239,0.00343936,0.00247901,0.00614712,0.0152329,0.00588524,0.0076612,0.00239486,0.0103667,0.0165515,0.00955593,0.0271505,0.0244163,0,0,0,0,0,0,0,0,0,0
3,0.0221215,0.0239812,0,0,0,0,0,0,0.0285011,0.0233251,0.00779245,0.0052007,0,0,0.0420542,0,0.0405957,0.0189815,0.043417,0.011677,0.00992696,0.0109741,0.00409612,0.0329727,0.00686589,0.0258336,0.0102954,0.0127126,0.00903398,0.00432121,0.0239178,0.0154896,0.0379979,0.0353532,0.0117986,0.00310854,0.0262282,0.00749511,0.00465298,0.0176966,0,0.0166852,0,0.0296913,0.0120347,0.0338636,0.0132874,0.0241732,0.00391839,0.00620823,0.00791185,0.00303053,0.0102611,0.00338842,0.00248097,0.00609226,0.0151485,0.00595841,0.00758192,0.00224012,0.0104445,0.0169496,0.0100095,0.0266292,0.0239583,0,0,0,0,0,0,0,0,0,0
4,0.0214551,0.0230719,0,0,0,0,0,0,0.0286887,0.0234223,0.00791293,0.00550129,0,0,0.0420559,0,0.0405191,0.019223,0.0435883,0.0114747,0.00993191,0.0110011,0.00421686,0.0321977,0.0069749,0.0258841,0.0103,0.0126923,0.00892811,0.00429866,0.0239615,0.0155849,0.0380351,0.0352218,0.0119718,0.00288729,0.0261747,0.00740476,0.00481685,0.017619,0,0.016805,0,0.0298418,0.0120356,0.0337366,0.0131879,0.0238588,0.00396156,0.0063863,0.0073866,0.00300328,0.0102209,0.00335156,0.00244403,0.00597398,0.0150229,0.00628255,0.00740804,0.00202685,0.0103137,0.0174167,0.0104538,0.0261709,0.0233737,0,0,0,0,0,0,0,0,0,0
5,0.0203693,0.0221742,0,0,0,0,0,0,0.0286316,0.0234896,0.0079852,0.00582532,0,0,0.0421538,0,0.040376,0.0195092,0.0436513,0.0113743,0.0100096,0.0110078,0.00441436,0.0316642,0.00702114,0.0258993,0.0102424,0.0127259,0.00894197,0.00429747,0.0239767,0.0156787,0.0380984,0.0351514,0.0121588,0.00257473,0.0260777,0.00731606,0.00477352,0.0172948,0,0.0169535,0,0.0299148,0.0120915,0.0336595,0.013128,0.024043,0.00387423,0.00664008,0.0067904,0.00299154,0.0103464,0.00328787,0.00240649,0.00586875,0.0149473,0.00713773,0.00729444,0.00201712,0.010419,0.0179924,0.0108506,0.0258352,0.0226917,0,0,0,0,0,0,0,0,0,0
6,0.0199877,0.0216348,0,0,0,0,0,0,0.0285607,0.0236456,0.00798941,0.00590078,0,0,0.0423492,0,0.0403262,0.0197547,0.0436181,0.0110111,0.00999312,0.0110023,0.00455631,0.0314523,0.00696342,0.0258392,0.0102105,0.0127914,0.00897338,0.00429779,0.0240021,0.0158961,0.0382895,0.0351237,0.01222,0.00255951,0.0260303,0.00742612,0.00474236,0.017091,0,0.0171649,0,0.0301558,0.0122003,0.033708,0.0132737,0.0241351,0.00380176,0.00684041,0.006527,0.00295084,0.0104438,0.00330157,0.00238376,0.0058512,0.0148484,0.00719289,0.00734872,0.00192988,0.0105752,0.0185533,0.0111253,0.0256712,0.0225342,0,0,0,0,0,0,0,0,0,0
7,0.0192966,0.0209069,0,0,0,0,0,0,0.0287902,0.0239806,0.0078258,0.0057867,0,0,0.0424491,0,0.0402234,0.0200268,0.0436944,0.0113762,0.0100356,0.0109247,0.00470648,0.0308928,0.00676207,0.0258416,0.0101909,0.0127824,0.00891023,0.00427498,0.0239641,0.016162,0.038459,0.0351138,0.0123017,0.00284556,0.0261166,0.00770866,0.00472521,0.0166528,0,0.0175455,0,0.0304889,0.0124122,0.0336876,0.0135889,0.0239389,0.00384713,0.00704395,0.0060385,0.00287653,0.0104398,0.00338096,0.00234674,0.00597968,0.0147061,0.00647588,0.0075109,0.00164385,0.0107147,0.0191139,0.0115282,0.0253221,0.0218801,0,0,0,0,0,0,0,0,0,0
8,0.0190191,0.0204016,0,0,0,0,0,0,0.0291124,0.0242008,0.00768381,0.00585102,0,0,0.0426071,0,0.0400893,0.0202407,0.0437458,0.0116373,0.00992672,0.0109335,0.0047618,0.0306574,0.00679821,0.025837,0.0102572,0.0127269,0.00859411,0.00420267,0.0239547,0.0162465,0.0386767,0.0350089,0.0124076,0.00288624,0.0259531,0.00773112,0.00473678,0.0166805,0,0.0177047,0,0.030538,0.0122912,0.0336906,0.0135751,0.0234399,0.00385745,0.00714809,0.00567179,0.00286407,0.0103341,0.00338154,0.00228647,0.00591555,0.0144254,0.00623271,0.00741012,0.00147878,0.0106563,0.0195456,0.0119421,0.0249507,0.0216655,0,0,0,0,0,0,0,0,0,0
9,0.0186503,0.0198856,0,0,0,0,0,0,0.0292641,0.0242622,0.00752234,0.00595424,0,0,0.0428448,0,0.0399191,0.020511,0.043774,0.0117255,0.0097968,0.0112846,0.00485866,0.0304794,0.00704487,0.0258745,0.010306,0.012688,0.00850179,0.004147,0.0239645,0.0163276,0.0389956,0.0347816,0.0126324,0.0026645,0.0258721,0.00751071,0.00477923,0.0165048,0,0.017952,0,0.0306254,0.0122042,0.0336381,0.0133526,0.0232483,0.00376582,0.00724855,0.00521565,0.00287015,0.010251,0.00333539,0.00227171,0.00579575,0.0142915,0.00622783,0.00715922,0.00167345,0.010654,0.0198464,0.0122075,0.024505,0.0213341,0,0,0,0,0,0,0,0,0,0
10,0.0181703,0.0194015,0,0,0,0,0,0,0.0292887,0.0241871,0.00741168,0.00600642,0,0,0.0431896,0,0.0397679,0.0208343,0.0438482,0.0117509,0.00972105,0.0114331,0.00496726,0.0303195,0.00711491,0.0259476,0.0102841,0.0126346,0.00861798,0.00409971,0.0239317,0.0164754,0.0394244,0.0345029,0.0128269,0.00247182,0.0258314,0.00726239,0.00486407,0.0162022,0,0.018471,0,0.0307873,0.0122088,0.0335009,0.0131379,0.0232679,0.00374272,0.00733018,0.0048077,0.0029313,0.0101399,0.00330289,0.00233616,0.00571949,0.0145486,0.00622198,0.00696503,0.00206478,0.0108657,0.0204442,0.012452,0.0240647,0.020838,0,0,0,0,0,0,0,0,0,0
11,0.0178048,0.0189129,0,0,0,0,0,0,0.0292345,0.0240554,0.00750114,0.00602575,0,0,0.0433578,0,0.0397382,0.02112,0.0438657,0.0117715,0.00972314,0.0110497,0.00513687,0.0301735,0.00703846,0.0260322,0.0102158,0.0126465,0.00873559,0.00416483,0.0239265,0.0165015,0.0396676,0.0344601,0.0129553,0.00246086,0.0257896,0.00723711,0.00520658,0.0162219,0,0.0192147,0,0.0310226,0.01246,0.0334101,0.0130924,0.0232457,0.00378361,0.0074683,0.00434313,0.00294008,0.0100108,0.00321499,0.00236113,0.00571921,0.0147127,0.00616398,0.0069383,0.00208478,0.010939,0.0201737,0.0125468,0.0235726,0.0205907,0,0,0,0,0,0,0,0,0,0
12,0.017585,0.0184191,0,0,0,0,0,0,0.0292406,0.0240846,0.00760465,0.00597034,0,0,0.0434423,0,0.0397293,0.021316,0.0438932,0.0118289,0.00970741,0.00999512,0.00530405,0.0300717,0.00691935,0.0260855,0.0101997,0.012659,0.00881029,0.00422521,0.0238994,0.0165022,0.0398507,0.034482,0.0129961,0.00254353,0.0257084,0.00748993,0.00551623,0.0161465,0,0.0199877,0,0.0311951,0.0127596,0.0333908,0.0133603,0.023161,0.00376447,0.00763091,0.0039262,0.00293945,0.00985843,0.00311894,0.00231171,0.00582516,0.0147569,0.00616716,0.00706781,0.00200678,0.0110787,0.0201362,0.0126953,0.0230499,0.0203155,0,0,0,0,0,0,0,0,0,0
13,0.0172727,0.0179216,0,0,0,0,0,0,0.0292133,0.0241666,0.00766326,0.00585648,0,0,0.043462,0,0.0397313,0.0213954,0.0439637,0.0118556,0.0097105,0.0100761,0.00550003,0.0299558,0.00680382,0.0261614,0.0101819,0.0127116,0.00882658,0.00428603,0.0239319,0.0164106,0.0399439,0.0344887,0.01299,0.00269835,0.0256367,0.00791084,0.00511687,0.0160879,0,0.0207524,0,0.0313705,0.0130279,0.0334612,0.0140271,0.0231372,0.00373109,0.00782622,0.00360227,0.0028742,0.00983089,0.00313527,0.00226868,0.00601763,0.0147833,0.00628164,0.00743369,0.00197141,0.0114152,0.0198164,0.0128097,0.0224768,0.019934,0,0,0,0,0,0,0,0,0,0
14,0.0169565,0.0174506,0,0,0,0,0,0,0.0291013,0.0241854,0.00771587,0.00585149,0,0,0.0434179,0,0.0396768,0.0214064,0.0440193,0.0118308,0.00975344,0.0103888,0.00572618,0.0298544,0.00684187,0.0262407,0.0101142,0.0128168,0.00881326,0.00433488,0.0239859,0.0162887,0.0399492,0.0344781,0.0129587,0.00302357,0.0255786,0.0083472,0.00507708,0.0161098,0,0.021589,0,0.0315436,0.013307,0.0335735,0.0147712,0.0231865,0.00379223,0.00796765,0.00350655,0.0028353,0.010114,0.00321611,0.00225632,0.00622024,0.0147458,0.00647017,0.00791702,0.00212127,0.0116252,0.0196521,0.0129212,0.0218984,0.0198147,0,0,0,0,0,0,0,0,0,0
15,0.0167613,0.0170273,0,0,0,0,0,0,0.0288028,0.0242408,0.00775384,0.00589728,0,0,0.0434153,0,0.0396456,0.0215003,0.0439841,0.0118032,0.00967169,0.0105932,0.00589668,0.0298083,0.00674142,0.026251,0.010049,0.0128661,0.00880307,0.00433554,0.0239959,0.0161227,0.0399946,0.0344334,0.0129351,0.00329494,0.0255057,0.00842781,0.00512555,0.0161999,0,0.0226073,0,0.0316706,0.013463,0.0336708,0.0149744,0.0231706,0.00382714,0.00809974,0.00358137,0.002827,0.0103708,0.00321782,0.00228232,0.00626967,0.0146104,0.00642979,0.00802877,0.00220547,0.0118745,0.0198124,0.0130208,0.0213821,0.0198763,0,0,0,0,0,0,0,0,0,0
16,0.0167723,0.0166587,0,0,0,0,0,0,0.0286534,0.0243359,0.00764174,0.00597487,0,0,0.0435904,0,0.0395938,0.0217714,0.0438708,0.0117565,0.00945217,0.0107173,0.00601734,0.029918,0.00646288,0.026225,0.0100469,0.0128361,0.00880783,0.00432029,0.0239977,0.0159172,0.040244,0.0343273,0.0129776,0.0036603,0.0254801,0.00835251,0.00514017,0.0163584,0,0.0236818,0,0.0318022,0.0133026,0.0337739,0.0149408,0.0230341,0.00381921,0.0082721,0.00363159,0.00285979,0.0103778,0.00322334,0.00233418,0.00627784,0.0145129,0.00631759,0.00798449,0.00229614,0.0123601,0.0200456,0.0130722,0.0209461,0.0198635,0,0,0,0,0,0,0,0,0,0
17,0.0162511,0.0161433,0,0,0,0,0,0,0.0286378,0.0243542,0.00762592,0.00607659,0,0,0.0440533,0,0.0395985,0.0221847,0.0437823,0.0117428,0.0093336,0.0107923,0.00622476,0.0298495,0.00627014,0.0261866,0.0100968,0.0127965,0.00881329,0.0043195,0.0240039,0.0157839,0.0407136,0.0342956,0.0129776,0.00369904,0.0255658,0.00827007,0.00515039,0.0161088,0,0.0246884,0,0.0319336,0.0130272,0.0338545,0.0148392,0.0229009,0.00378648,0.0085389,0.0043292,0.00290403,0.0102873,0.00321505,0.00238358,0.00632271,0.0144667,0.00615637,0.00794178,0.00240111,0.0126219,0.0197622,0.0130575,0.0205057,0.0194659,0,0,0,0,0,0,0,0,0,0
18,0.016168,0.0158977,0,0,0,0,0,0,0.0286662,0.0243699,0.00772286,0.00612882,0,0,0.0445363,0,0.0395775,0.0225415,0.0437539,0.0118085,0.0093005,0.0107846,0.00645729,0.0299652,0.00621399,0.0261906,0.0100785,0.0129068,0.00873436,0.00433773,0.0239902,0.0157404,0.0412094,0.0342081,0.0129957,0.00357415,0.0254488,0.0081781,0.00523364,0.0160138,0,0.0253731,0,0.0320232,0.0134473,0.033871,0.0147388,0.0228018,0.00378947,0.00878147,0.00464509,0.00288593,0.0103234,0.00320499,0.0024402,0.00636457,0.0144375,0.00602645,0.00790654,0.00240953,0.0127745,0.019471,0.0130041,0.0201784,0.0195244,0,0,0,0,0,0,0,0,0,0
19,0.0159508,0.0155756,0,0,0,0,0,0,0.0286146,0.024393,0.00784118,0.00617654,0,0,0.0448969,0,0.039562,0.0227626,0.0437485,0.0119482,0.00926929,0.0107378,0.00671945,0.029951,0.00643546,0.0262423,0.0100575,0.0130614,0.00844613,0.00436832,0.0239474,0.0157661,0.0415811,0.0341116,0.0130347,0.00347106,0.0253216,0.00802949,0.00536308,0.015858,0,0.0264684,0,0.0321171,0.0140196,0.0338237,0.0145397,0.0227473,0.00375458,0.009036,0.00519354,0.00286461,0.0104236,0.0031682,0.00250867,0.00640307,0.0144221,0.00606598,0.00783912,0.00237565,0.0129824,0.019255,0.0129202,0.0198527,0.0195073,0,0,0,0,0,0,0,0,0,0
20,0.0157575,0.0152345,0,0,0,0,0,0,0.028658,0.0244136,0.00789423,0.00615878,0,0,0.0451344,0,0.0395624,0.0228822,0.0437927,0.0119444,0.00923249,0.0107321,0.00699741,0.0299596,0.00649762,0.0262704,0.0100238,0.0130884,0.00834323,0.00443973,0.0239396,0.0160774,0.0418978,0.0340325,0.0130647,0.00338396,0.0252613,0.0078982,0.00537206,0.0157452,0,0.0277945,0,0.0322717,0.0145375,0.0337211,0.0143566,0.0226808,0.00368041,0.00932816,0.00573528,0.00284184,0.0103648,0.00310864,0.00255511,0.0064154,0.0144599,0.00660948,0.00773983,0.00231338,0.0133161,0.0192309,0.0128363,0.0195258,0.0194792,0,0,0,0,0,0,0,0,0,0
21,0.0155089,0.0148409,0,0,0,0,0,0,0.0286687,0.0244508,0.00782653,0.00609856,0,0,0.045368,0,0.0395601,0.0229805,0.04386,0.0117016,0.00921276,0.0107696,0.00728098,0.0299507,0.00659161,0.0262761,0.00999298,0.0131058,0.00837307,0.00452636,0.0239825,0.0164823,0.0421732,0.0340007,0.0130762,0.00315467,0.0252267,0.00784281,0.00541426,0.0156159,0,0.0292982,0,0.0324415,0.0151272,0.0335421,0.0143079,0.0226233,0.00361202,0.00962855,0.00639732,0.00281386,0.01024,0.00301046,0.00257133,0.00640068,0.0145069,0.00725575,0.00768618,0.00228879,0.0136266,0.0189501,0.0127654,0.0191797,0.0193772,0,0,0,0,0,0,0,0,0,0
22,0.0154658,0.0145287,0,0,0,0,0,0,0.028799,0.0244956,0.00795239,0.00605962,0,0,0.045475,0,0.0395516,0.0230597,0.043871,0.0112679,0.00916946,0.0108244,0.00754193,0.0299828,0.00673829,0.0262704,0.0100418,0.0131455,0.00850444,0.00455102,0.0240596,0.016816,0.0422969,0.0339769,0.0130632,0.00287483,0.0251433,0.00784779,0.00565965,0.0156147,0,0.0307584,0,0.0325806,0.0157693,0.033368,0.0143838,0.0225823,0.00360681,0.00989501,0.00688573,0.00279677,0.010213,0.00295969,0.00249899,0.00635855,0.014529,0.00759676,0.00770435,0.00237406,0.0140386,0.0186585,0.0126887,0.0188338,0.0193718,0,0,0,0,0,0,0,0,0,0
23,0.0155293,0.0142775,0,0,0,0,0,0,0.0291432,0.0244385,0.00791367,0.00615433,0,0,0.0454267,0,0.0395487,0.0231109,0.0438846,0.011713,0.00914869,0.0108649,0.00778539,0.0300454,0.00681542,0.0262738,0.0100768,0.0131937,0.00877407,0.00459511,0.0241201,0.0170404,0.0424022,0.0339484,0.0130135,0.00277709,0.0250077,0.00787021,0.00573694,0.0157329,0,0.0322629,0,0.0326408,0.0164174,0.0332151,0.0145082,0.0226557,0.00369001,0.010118,0.00733349,0.00283587,0.0105111,0.00301821,0.00239203,0.00634585,0.0145152,0.00745787,0.00774746,0.00253735,0.0143711,0.0188269,0.0125489,0.0184776,0.0193819,0,0,0,0,0,0,0,0,0,0
24,0.0156468,0.0140698,0,0,0,0,0,0,0.0291421,0.0244482,0.00784218,0.00635573,0,0,0.0454606,0,0.0396141,0.0231298,0.0438998,0.012066,0.00909262,0.0108589,0.0080416,0.0300902,0.00679088,0.0263099,0.0100877,0.0132265,0.0089273,0.00463777,0.0241089,0.0173233,0.0426296,0.0339094,0.0129433,0.00271469,0.0249274,0.00781814,0.00605008,0.0159346,0,0.0337958,0,0.0327333,0.0169584,0.0331065,0.0145035,0.0225996,0.00376913,0.0103583,0.00781704,0.00284316,0.0106968,0.00304828,0.00243067,0.00629827,0.0144628,0.00750845,0.00775813,0.0026004,0.0148984,0.0188334,0.0124299,0.0181433,0.019374,0,0,0,0,0,0,0,0,0,0
25,0.015694,0.0137867,0,0,0,0,0,0,0.0290385,0.0244866,0.00782074,0.00651636,0,0,0.0455826,0,0.0396705,0.023224,0.0439138,0.0121421,0.00904914,0.0108761,0.0083003,0.0299899,0.00679415,0.0263028,0.0100539,0.0132041,0.00901528,0.00468317,0.0241245,0.017527,0.0428253,0.0338798,0.0129156,0.00268176,0.0249072,0.00777719,0.00612555,0.0161008,0,0.0353466,0,0.0328658,0.017455,0.0330651,0.0144462,0.0225292,0.00377541,0.0106329,0.00839685,0.00284772,0.0106884,0.00302456,0.00243514,0.00626828,0.0144598,0.00753109,0.00776377,0.00253067,0.0155714,0.0188994,0.0123124,0.0177714,0.0192938,0,0,0,0,0,0,0,0,0,0
26,0.0155877,0.0133912,0,0,0,0,0,0,0.0288164,0.0244475,0.00787947,0.00667616,0,0,0.0456568,0,0.0396539,0.0233244,0.0439045,0.012169,0.00900815,0.0109128,0.00855103,0.02969,0.00695721,0.0262873,0.0101232,0.0132146,0.0091018,0.00472738,0.024142,0.0174908,0.0428184,0.0338611,0.012906,0.00263583,0.0248835,0.00780015,0.00586928,0.0161748,0,0.0368848,0,0.0329849,0.0180358,0.0330914,0.0144522,0.0224947,0.0037559,0.0109034,0.00897894,0.00285179,0.0106017,0.00300482,0.00238419,0.00628956,0.0144844,0.00759015,0.00780436,0.00256088,0.0161564,0.0189338,0.0122219,0.0172649,0.0190212,0,0,0,0,0,0,0,0,0,0
27,0.0154978,0.0132573,0,0,0,0,0,0,0.0286131,0.0243509,0.00793146,0.00678632,0,0,0.045698,0,0.0397141,0.0232248,0.0438552,0.0122212,0.00893445,0.0109091,0.00871005,0.0295423,0.00684299,0.0262756,0.0100898,0.0132207,0.00909623,0.0047562,0.0241078,0.0173761,0.0428968,0.0338099,0.0127307,0.00253747,0.0249106,0.00785082,0.00580759,0.0159395,0,0.0380453,0,0.0331215,0.0185803,0.0331614,0.0145136,0.0224713,0.00376409,0.0110804,0.00932843,0.0027985,0.0104834,0.00302753,0.00232564,0.00633075,0.0145095,0.00763212,0.00790196,0.00277234,0.0164855,0.0187784,0.0121594,0.0169432,0.0187734,0,0,0,0,0,0,0,0,0,0
28,0.0155395,0.0132105,0,0,0,0,0,0,0.0285471,0.024281,0.00800135,0.00682786,0,0,0.0456591,0,0.0398057,0.0231445,0.0437774,0.0123396,0.00880031,0.010844,0.00883527,0.0294352,0.00643424,0.0263147,0.00989408,0.013137,0.00900958,0.00476996,0.0239985,0.0172943,0.0428962,0.0337983,0.0124708,0.00243318,0.0248888,0.00790382,0.00581872,0.0158145,0,0.0392605,0,0.033249,0.019184,0.0332245,0.0145598,0.0224678,0.00374878,0.0112264,0.0093018,0.00275533,0.0104941,0.0029039,0.00228257,0.00635209,0.0145157,0.00766123,0.00800191,0.00310915,0.0168726,0.0184685,0.0120732,0.0166531,0.0186983,0,0,0,0,0,0,0,0,0,0
29,0.0159515,0.013327,0,0,0,0,0,0,0.0284559,0.0242311,0.00810943,0.00671366,0,0,0.0457066,0,0.0399251,0.0231148,0.0436729,0.0125281,0.00854736,0.0106995,0.00883233,0.0295397,0.00619124,0.0263631,0.00978192,0.0130005,0.00886617,0.00478,0.0238199,0.0171793,0.042997,0.0337894,0.0121935,0.00255935,0.0248245,0.00800408,0.00583982,0.0158441,0,0.0405236,0,0.0333598,0.0197638,0.0333092,0.0146169,0.022394,0.00366943,0.011271,0.00886081,0.00270434,0.0105262,0.00294114,0.00221408,0.00636688,0.0145187,0.00769453,0.00809154,0.00348355,0.0174617,0.0184022,0.011972,0.016502,0.0189469,0,0,0,0,0,0,0,0,0,0
30,0.015208,0.0129803,0,0,0,0,0,0,0.0286042,0.0241465,0.00824504,0.00605634,0,0,0.045767,0,0.039949,0.0230393,0.0434932,0.0128132,0.00832638,0.0103951,0.00949049,0.0285944,0.00587046,0.0265454,0.00938035,0.013495,0.00897489,0.00519811,0.0241237,0.017649,0.0428066,0.0337778,0.0121144,0.00389973,0.0247676,0.00833469,0.00471808,0.0150081,0,0.0419721,0,0.0333653,0.0204526,0.0329208,0.0147841,0.0204965,0.00435132,0.012354,0.00927318,0.00249228,0,0.00325016,0.00220953,0.00548629,0.0156666,0.0072083,0.00763158,0.00301168,0.0179266,0.0182033,0.0118453,0.0163589,0.0181338,0,0,0,0,0,0,0,0,0,0
31,0.0156148,0.0130231,0,0,0,0,0,0,0.0287735,0.0241137,0.00806571,0.00606808,0,0,0.0459281,0,0.0400136,0.0229379,0.0435081,0.0126803,0.0082877,0.010488,0.00962987,0.0285605,0.00593477,0.0265274,0.00944322,0.0136911,0.00913097,0.00519091,0.024313,0.017738,0.042914,0.0337902,0.0120132,0.00388518,0.0247394,0.00819899,0.0047214,0.0150897,0,0.0431603,0,0.033497,0.0210466,0.032862,0.01471,0.0204576,0.00423308,0.0125643,0.00893979,0.00250997,0,0.00305375,0.00213786,0.00545476,0.0156627,0.00717075,0.00756098,0.00299879,0.0184047,0.0178217,0.0117048,0.0161327,0.0183113,0,0,0,0,0,0,0,0,0,0
32,0.0163119,0.0129703,0,0,0,0,0,0,0.0288538,0.0240666,0.00799632,0.00671436,0,0,0.0463224,0,0.0400983,0.0228934,0.0436602,0.0124974,0.00827354,0.0108147,0.00943875,0.0291442,0.00631605,0.0263983,0.00981396,0.0133169,0.0091258,0.00476645,0.024046,0.017374,0.0434061,0.0337925,0.0117831,0.00271824,0.0246866,0.00805644,0.00611434,0.0157257,0,0.0446698,0,0.033621,0.0217552,0.0331467,0.014862,0.0221927,0.00359011,0.0119801,0.00862794,0.00276848,0.0103718,0.0032637,0.00249114,0.00646647,0.0144973,0.00774445,0.0082443,0.0038184,0.0189692,0.0173556,0.0114362,0.0155426,0.0188161,0,0,0,0,0,0,0,0,0,0
33,0.0167265,0.0130664,0,0,0,0,0,0,0.0292073,0.0240529,0.00806238,0.00671583,0,0,0.0468813,0,0.0401584,0.0231004,0.0436537,0.0125222,0.00828128,0.0107684,0.00949041,0.0293804,0.00635924,0.0263876,0.00983449,0.0133541,0.00913556,0.00475774,0.0240914,0.0172444,0.0438095,0.0336879,0.0116994,0.00320413,0.0245867,0.00841628,0.0061242,0.0159007,0,0.0459669,0,0.033697,0.0223877,0.0331547,0.0152364,0.022296,0.00370798,0.0120052,0.00814811,0.00281593,0.010893,0.00330962,0.00250904,0.00662741,0.01446,0.00792433,0.00849685,0.00422999,0.0196159,0.0170759,0.0112061,0.0153383,0.0190658,0,0,0,0,0,0,0,0,0,0
34,0.0163603,0.0129354,0,0,0,0,0,0,0.0295858,0.0240839,0.00818998,0.00604627,0,0,0.0475596,0,0.0401961,0.0234713,0.0434543,0.0126312,0.00826625,0.0104929,0.00994446,0.0288081,0.00606985,0.0265048,0.00949509,0.0139352,0.00929734,0.00527531,0.0245671,0.0176024,0.0440015,0.0334925,0.0117836,0.00423939,0.0244911,0.00846306,0.00510597,0.0153881,0,0.0474965,0,0.0337371,0.0230623,0.0328416,0.0147593,0.0203651,0.00411317,0.0129326,0.0080722,0.00244878,0,0.00293221,0.00204464,0.00559368,0.0156619,0.00734846,0.00774871,0.0035303,0.0203,0.0162227,0.0109278,0.0153346,0.0186284,0,0,0,0,0,0,0,0,0,0
35,0.0168202,0.0130169,0,0,0,0,0,0,0.0294064,0.0241621,0.00807038,0.00615582,0,0,0.0482683,0,0.0402579,0.0237642,0.043443,0.0125205,0.00817587,0.0105456,0.0100342,0.0289906,0.00603515,0.0264646,0.00951324,0.013906,0.00940602,0.0053136,0.0246475,0.0176152,0.0444717,0.0332946,0.0118355,0.00427336,0.024401,0.00847587,0.00530781,0.0157507,0,0.0490764,0,0.0338011,0.023621,0.0328719,0.01471,0.0202874,0.00414894,0.013022,0.00742232,0.00246689,0,0.00291012,0.00211162,0.00558226,0.0156635,0.00737835,0.00779065,0.00360151,0.0209726,0.0150354,0.010511,0.0151628,0.0189194,0,0,0,0,0,0,0,0,0,0
