Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73
All Timesteps RMSE,0.0417101,0.0347369,0,0,0,0,0,0,0.0857082,0.0273429,0.0472572,0.00672935,0,0,0.0553706,0,0.0427863,0.030725,0.0489529,0.0596611,0.00885068,0.0421866,0.0245293,0.0505462,0.0308482,0.0649338,0.0343173,0.0687817,0.0290615,0.0163973,0.0126849,0.0248937,0.0680659,0.048149,0.0408431,0.0124172,0.0179022,0.0268291,0.0192298,0.00735348,0.0356563,0,0,0.031513,0,0.0256255,0.020956,0.03313,0.0221945,0.0231378,0.00843843,0.0246082,0.0309825,0.00753407,0.0187925,0.0071328,0.00876123,0.00770596,0.0212832,0.0106485,0.0107109,0.0215082,0.0226301,0.0190949,0.0175795,0.0324953,0.0347041,0,0,0,0,0,0,0
0,0.0468781,0.0309007,0,0,0,0,0,0,0.0896752,0.0296449,0.0505232,0.00733697,0,0,0.0635124,0,0.0401713,0.0359769,0.0462478,0.0613425,0.00589211,0.0485865,0.00580998,0.0592351,0.030305,0.0666704,0.0373382,0.0667037,0.0315027,0.0160508,0.00903732,0.0253712,0.0754456,0.0469525,0.042724,0.0120723,0.015439,0.0277446,0.0174169,0.00652346,0.0346776,0,0,0.0216612,0,0.0244668,0.0181029,0.0329129,0.0212316,0.0207941,0.00553493,0.00479481,0.023447,0.00492553,0.0183137,0.00713852,0.00587025,0.00758976,0.0171426,0.00901602,0.0116347,0.0173699,0.020509,0.0164385,0.0143089,0.0277002,0.0393155,0,0,0,0,0,0,0
1,0.0475283,0.0309167,0,0,0,0,0,0,0.0894477,0.0296973,0.0501442,0.00729678,0,0,0.0638981,0,0.0401363,0.0358863,0.0464632,0.061603,0.00574472,0.0478777,0.00603219,0.0597616,0.0302329,0.0664642,0.0368448,0.0669731,0.0312699,0.0163756,0.00889691,0.0251631,0.0760279,0.0470108,0.0428317,0.0119874,0.0153665,0.0276627,0.0173658,0.00664864,0.0347185,0,0,0.0217771,0,0.0244542,0.0181676,0.0328011,0.0215812,0.0208089,0.00573632,0.00483209,0.0237725,0.0051715,0.0184037,0.00759865,0.00623784,0.00801598,0.0168551,0.00905577,0.0118111,0.017297,0.0206026,0.016186,0.0147461,0.0277706,0.0395358,0,0,0,0,0,0,0
2,0.0476436,0.0310987,0,0,0,0,0,0,0.0893187,0.0297589,0.0500185,0.00728084,0,0,0.0642156,0,0.040119,0.0359614,0.0464922,0.0621516,0.00580688,0.0478437,0.0062215,0.0602846,0.0302277,0.0664039,0.0367739,0.0670299,0.0312566,0.0163985,0.00895455,0.0251924,0.0759678,0.0472665,0.042925,0.0119222,0.0152842,0.0276255,0.0172232,0.00669869,0.0348499,0,0,0.0221014,0,0.0244502,0.0183114,0.0327301,0.0218825,0.0207809,0.00588926,0.00489433,0.024285,0.00551672,0.0186239,0.00812379,0.00659638,0.00829838,0.016494,0.00912557,0.011999,0.0173637,0.0209284,0.0159015,0.0151636,0.0279803,0.0399425,0,0,0,0,0,0,0
3,0.0469217,0.0313079,0,0,0,0,0,0,0.0892539,0.0298212,0.0500202,0.00718878,0,0,0.0644994,0,0.0401341,0.0361694,0.0465241,0.0616851,0.00587558,0.0478583,0.00651913,0.0607886,0.0302773,0.0664134,0.0367372,0.0670253,0.0312335,0.0163956,0.00901538,0.0251837,0.076,0.047471,0.0430254,0.0118809,0.0152386,0.027597,0.0171111,0.00663634,0.0350684,0,0,0.0223248,0,0.0244386,0.018333,0.0325763,0.0222734,0.0207704,0.0059606,0.00506501,0.0248078,0.00587326,0.0189812,0.0086145,0.006903,0.00851844,0.0161065,0.00915951,0.0122465,0.0173902,0.0212092,0.0156817,0.015625,0.0282231,0.0404219,0,0,0,0,0,0,0
4,0.0460901,0.0315659,0,0,0,0,0,0,0.0891847,0.0298657,0.049998,0.00708674,0,0,0.0647652,0,0.0401144,0.0363884,0.0465178,0.0614242,0.00594034,0.047897,0.00684273,0.0613125,0.0303174,0.0664557,0.0367333,0.0670245,0.0312242,0.0163464,0.00909675,0.0251769,0.0760804,0.0475841,0.0431258,0.0118155,0.0150695,0.027601,0.0169788,0.0065144,0.0353622,0,0,0.0223907,0,0.0244594,0.0182348,0.032294,0.022738,0.020811,0.00611871,0.00532861,0.0253096,0.00625474,0.0194734,0.00909871,0.00719681,0.0087947,0.015761,0.00923528,0.0126942,0.0172896,0.0213864,0.0154933,0.0155593,0.0284819,0.0409524,0,0,0,0,0,0,0
5,0.0459701,0.0316038,0,0,0,0,0,0,0.0890557,0.0298759,0.0499387,0.00702062,0,0,0.0648594,0,0.0401482,0.0363384,0.046464,0.061484,0.00601903,0.0478929,0.00708126,0.061544,0.0303234,0.0664519,0.0367226,0.067014,0.03124,0.0163013,0.00918408,0.0251751,0.0761452,0.047596,0.0432384,0.0116392,0.0147172,0.0275806,0.0167807,0.0064633,0.0354387,0,0,0.0224139,0,0.0244395,0.0182629,0.0320926,0.0232295,0.0208443,0.00634542,0.00556877,0.0256402,0.00664424,0.0199409,0.0097574,0.00752902,0.00906669,0.0153192,0.0093225,0.0131312,0.017311,0.0214403,0.0153292,0.0153608,0.0285441,0.0412086,0,0,0,0,0,0,0
6,0.0464951,0.0316,0,0,0,0,0,0,0.0889362,0.0298654,0.0498402,0.00695796,0,0,0.0649856,0,0.0402308,0.0361203,0.0463985,0.0619174,0.00612518,0.0478392,0.00747204,0.0617021,0.0303236,0.0663882,0.0366488,0.0670213,0.0312495,0.0161705,0.0092645,0.025187,0.0762171,0.0476847,0.0433605,0.0114475,0.0143541,0.0275701,0.016759,0.00640569,0.0354441,0,0,0.0224129,0,0.0244325,0.0184539,0.0319624,0.0241057,0.0209144,0.00662473,0.00570198,0.0259828,0.00703581,0.0203429,0.0103727,0.00794264,0.00956253,0.0150514,0.0095281,0.0137292,0.0174728,0.0214599,0.0151584,0.0153438,0.0286127,0.0414354,0,0,0,0,0,0,0
7,0.0472128,0.0315779,0,0,0,0,0,0,0.0888862,0.0298605,0.049679,0.00691337,0,0,0.0651841,0,0.0403436,0.0358582,0.0463094,0.0625823,0.00625459,0.0477822,0.00815236,0.0617537,0.0303166,0.06633,0.0365574,0.0670537,0.0312433,0.0160651,0.00933014,0.0252074,0.0763647,0.0477521,0.0434795,0.0112222,0.0140684,0.02755,0.0168071,0.00631462,0.0354143,0,0,0.0224621,0,0.0244162,0.0186219,0.031802,0.024988,0.0209801,0.00678203,0.00588393,0.0263326,0.00745266,0.0207413,0.0110112,0.00834036,0.00997675,0.0147913,0.0095854,0.0142917,0.0179572,0.0215156,0.0150175,0.0152214,0.028682,0.0418023,0,0,0,0,0,0,0
8,0.0472133,0.0316408,0,0,0,0,0,0,0.0889552,0.0298518,0.0495871,0.00688861,0,0,0.0654641,0,0.04046,0.0357006,0.0462382,0.0623171,0.00638074,0.0477528,0.00833547,0.0617972,0.0303792,0.0663325,0.0364838,0.0670565,0.0312085,0.0160904,0.00939139,0.0252287,0.0767065,0.0477842,0.0436081,0.0109772,0.0138862,0.0274881,0.0169004,0.00619165,0.0354277,0,0,0.022526,0,0.024369,0.0186648,0.0316816,0.0257988,0.0210804,0.00695284,0.00613693,0.0267425,0.00783184,0.0211377,0.0116257,0.00876931,0.0103453,0.014531,0.00959022,0.0148318,0.0187241,0.0215435,0.0149122,0.0152368,0.0288052,0.042182,0,0,0,0,0,0,0
