Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,
189,0.0228098,0.0103413,0,0,0,0,0,0,0,0.0272858,0.0109623,0.00570832,0,0,0.029699,0,0.0526972,0.015945,0.0412236,0.013919,0.00614584,0.022541,0.00529991,0.0148997,0.0147845,0.108818,0.0222217,0.0246704,0.0820713,0.0109759,0,0.0278592,0.0155065,0.0217231,0.0487865,0.0151241,0.021612,0.0301379,0.0350939,0.00614356,0.0270713,0,0,0.0328456,0,0.0255008,0.0199363,0.0305964,0.0453616,0.0216305,0.0148308,0.00726005,0.027229,0.00843917,0.0172758,0.00689326,0.0122543,0.0211409,0.0280978,0.0217135,0.0282951,0.0115127,0.0344525,0.0142032,0.0186076,0.0128395,0.027237,0,0,0,0,0,0,0
190,0.0226539,0.00972201,0,0,0,0,0,0,0,0.0271381,0.0134977,0.00655389,0,0,0.030306,0,0.0525105,0.0162689,0.0401341,0.0185559,0.00519854,0.0262553,0.00713668,0.0147792,0.0186325,0.112541,0.0253481,0.0228811,0.0970025,0.017081,0,0.0258003,0.0247618,0.0232292,0.048469,0.0146218,0.00412342,0.0302197,0.00979759,0.00570479,0.0269962,0,0,0.0328569,0,0.0253708,0.0196618,0.0328937,0.0141802,0.0202207,0.00566495,0.00960761,0.0274109,0.00447039,0.0181673,0.00245806,0.00636462,0.00803546,0.0200474,0.00630119,0.010513,0.0040337,0.0346435,0.013979,0.0181189,0.0115448,0.0263831,0,0,0,0,0,0,0
191,0.0340818,0.0253518,0,0,0,0,0,0,0.023328,0.0269382,0.0132593,0.00700311,0,0,0.0319832,0,0.0527784,0.0157758,0.0413964,0.0200733,0.00550034,0.0243639,0.00838932,0.0292749,0.0134001,0.108058,0.0220506,0.0250501,0.0882445,0.0114508,0,0.0280793,0.0120722,0.0155529,0.0488244,0.0155597,0.00385092,0.0297683,0.0100921,0.00581465,0.0341416,0,0,0.0250143,0,0.0246894,0.0182059,0.0326212,0.0147043,0.020603,0.00536178,0.0104617,0.0359792,0.00385253,0.0173021,0.00209341,0.00585267,0.00792431,0.0197308,0.00632168,0.0103591,0.00387239,0.037085,0.01169,0.0198318,0.0304298,0.0402988,0,0,0,0,0,0,0
192,0.0221234,0.00844932,0,0,0,0,0,0,0.0236139,0.0269762,0.0130203,0.00593502,0,0,0.0296132,0,0.0523394,0.0163067,0.0416497,0.0200921,0.00599855,0.0234879,0.00576492,0.0137618,0.0129074,0.107503,0.0208911,0.0245493,0,0.0114677,0,0.027507,0.0119159,0.0227123,0.0480436,0.014612,0.0225625,0.0301594,0.0344417,0.00594923,0.0273919,0,0,0.0315278,0,0.0256999,0.0192059,0.0314274,0.0433612,0.0214933,0.0153514,0.00824582,0.0289268,0.0082938,0.0155235,0.00606432,0.0124896,0.020476,0.0283725,0.0216033,0.027243,0.0140426,0.0352867,0.013985,0.018641,0.0113321,0.0259318,0,0,0,0,0,0,0
193,0.022223,0.00856977,0,0,0,0,0,0,0.0239848,0.0268316,0.0129048,0.00595034,0,0,0.0295581,0,0.0522616,0.0161961,0.0417888,0.0199748,0.00590097,0.0232311,0.00629235,0.0135771,0.0124179,0.107002,0.0201854,0.0245341,0,0.0116878,0,0.0274287,0.0122317,0.0224317,0.0478839,0.014503,0.0228934,0.030131,0.0343379,0.0060036,0.0272578,0,0,0.0313374,0,0.0257936,0.0191946,0.0317132,0.042961,0.0214675,0.0153824,0.00850104,0.0287814,0.00838573,0.0150517,0.00581749,0.0126911,0.0204954,0.0284725,0.0216262,0.027087,0.014665,0.0350498,0.0141085,0.0188046,0.011369,0.0261158,0,0,0,0,0,0,0
194,0.0224826,0.00927422,0,0,0,0,0,0,0,0.0267058,0.010532,0.00641291,0,0,0.0293429,0,0.0521869,0.0159327,0.0417416,0.014801,0.00620439,0.0204578,0.0070106,0.0136758,0.0115394,0.105531,0.0180485,0.0253253,0.0139137,0.0108776,0.0114831,0.0270354,0.0128514,0.0217801,0.0477503,0.014414,0.0234057,0.0300015,0.0342007,0.00614471,0.0270104,0,0,0.0311607,0,0.0257095,0.0192735,0.0322686,0.0424374,0.0212729,0.0153545,0.00911019,0.0284335,0.00797994,0.0146129,0.00558123,0.0125834,0.0202363,0.0285147,0.0215954,0.0266563,0.0157472,0.0346175,0.0140325,0.0187561,0.0118562,0.0265094,0,0,0,0,0,0,0
195,0.0225528,0.00926998,0,0,0,0,0,0,0.0255651,0.0266468,0.0122098,0.00656325,0,0,0.0292315,0,0.052048,0.0158054,0.0419421,0.0187441,0.00629605,0.0215605,0.00776845,0.013651,0.011395,0.106029,0.0187895,0.0251559,0.0201127,0.0108107,0.00950762,0.0272695,0.0115466,0.0216598,0.0475707,0.0142872,0.0237289,0.0298174,0.0340348,0.00615209,0.0269087,0,0,0.030755,0,0.0255267,0.0193458,0.0324565,0.0420272,0.0211318,0.0155144,0.00973481,0.0286006,0.00776842,0.0142834,0.0055591,0.0127116,0.0199852,0.0284976,0.0215053,0.0263652,0.016444,0.0342224,0.0136819,0.018605,0.0116313,0.0263686,0,0,0,0,0,0,0
196,0.0227311,0.00944114,0,0,0,0,0,0,0.0255262,0.0266129,0.0122017,0.00658664,0,0,0.0292498,0,0.0519614,0.0157997,0.0419794,0.0188962,0.00621253,0.0214211,0.00833424,0.0136571,0.0113471,0.106049,0.018805,0.0251505,0.01861,0.0108728,0.00953443,0.027189,0.0116808,0.0213899,0.0474474,0.01418,0.0241857,0.0299084,0.0339757,0.00618349,0.0268795,0,0,0.0306311,0,0.0257457,0.0194927,0.0326188,0.0418399,0.02098,0.0155618,0.0102247,0.0287621,0.0076562,0.0140181,0.00552099,0.0128332,0.0197604,0.0285638,0.0214715,0.0262531,0.0169777,0.0338966,0.0137453,0.0187367,0.0117155,0.0264253,0,0,0,0,0,0,0
197,0.0227822,0.00965264,0,0,0,0,0,0,0.0250227,0.0265588,0.0122212,0.0065597,0,0,0.0292079,0,0.0519006,0.0157999,0.0419732,0.0188722,0.00616114,0.0211188,0.00876666,0.013643,0.0113155,0.105965,0.0187106,0.0250605,0.0173932,0.0107573,0.0113607,0.0271825,0.0119171,0.0211178,0.0473499,0.0140517,0.0245372,0.0299081,0.0340102,0.00623543,0.0267854,0,0,0.0303926,0,0.0258422,0.0193957,0.0327321,0.0417711,0.0208332,0.015583,0.0106285,0.0286616,0.00759538,0.0137453,0.00548992,0.0130004,0.0196874,0.0286096,0.021503,0.0262426,0.0174024,0.03373,0.013728,0.0188112,0.0118808,0.0264716,0,0,0,0,0,0,0
198,0.0228393,0.0099171,0,0,0,0,0,0,0.0253228,0.0264778,0.0122447,0.00658533,0,0,0.0290712,0,0.05182,0.0157483,0.0419211,0.018805,0.00613547,0.0208819,0.00914279,0.0136553,0.0112944,0.105902,0.018609,0.0249483,0.0174038,0.0106917,0.0124763,0.0271867,0.0123106,0.021105,0.0472446,0.0139304,0.0245302,0.0297467,0.0340416,0.00625678,0.0267379,0,0,0.02998,0,0.0257053,0.019064,0.032831,0.041716,0.0207193,0.0155808,0.0110128,0.0285134,0.00770068,0.0135071,0.00546109,0.0132324,0.0197181,0.0286687,0.0215432,0.0262681,0.0177018,0.0336021,0.0135056,0.0187567,0.0121124,0.0265299,0,0,0,0,0,0,0
