Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x74,,LTIB,x73
1131,0.060789,0.051023,0,0,0,0,0,0,0.107004,0.0202297,0.00198048,0,0,0.0481539,0,0.0467961,0.0263367,0.0434681,0.0104912,0.00748245,0.00293401,0.00118347,0.0823057,0.00510913,0.0293861,0.00352724,0,0.00644224,0.0225935,0.0133246,0.0415467,0.0432956,0.00685335,0.0053381,0.0257153,0.012074,0.00182262,0.0365227,0,0,0.0136244,0,0.0251722,0.00727832,0.0359891,0.0197779,0.0228633,0.00424018,0.0033334,0.043194,0.00302641,0.0108012,0.00333312,0.00295401,0.00748121,0.018074,0.00659005,0.0114697,0.00762495,0.0276267,0.00203027,0.00163963,0.0597699,0.058511,0,0,0,0,0,0,0,0,0.0515334,0
1132,0.0611908,0.0520151,0,0,0,0,0,0,0.106878,0.0202267,0.00209565,0,0,0.0487683,0,0.0465958,0.026538,0.0434203,0.0108729,0.00733984,0.00301499,0.00139987,0.0829537,0.00521855,0.0294511,0.00332062,0,0.00635239,0.0224619,0.0135061,0.0414968,0.0432326,0.00683426,0.005459,0.0256869,0.0120208,0.00187164,0.036218,0,0,0.013682,0,0.0253622,0.00719849,0.0360138,0.0198852,0.0227671,0.00430028,0.00360322,0.0431283,0.0029923,0.0106995,0.00331586,0.00297719,0.00748747,0.0180898,0.00655058,0.0115492,0.00792157,0.0276208,0.00184394,0.00190315,0.060653,0.0587949,0,0,0,0,0,0,0,0,0.0508089,0
1133,0.0614104,0.0528025,0,0,0,0,0,0,0.106786,0.0202095,0.00239329,0,0,0.0492949,0,0.0464734,0.0266927,0.0433969,0.0110961,0.00720181,0.00307402,0.00166912,0.0833598,0.00538204,0.0294287,0.00321184,0,0.00631903,0.0223538,0.0138399,0.0413142,0.0431377,0.00682533,0.00563067,0.0256725,0.0120537,0.00221754,0.035858,0,0,0.0136758,0,0.0255528,0.00718435,0.0360332,0.0200715,0.0226799,0.00436847,0.00387093,0.0431026,0.00300632,0.0107026,0.00333185,0.00305398,0.0075262,0.0180944,0.00656893,0.0116914,0.00812378,0.0276317,0.00149304,0.00219103,0.061399,0.0589362,0,0,0,0,0,0,0,0,0.0507176,0
1134,0.0614813,0.0533885,0,0,0,0,0,0,0.106757,0.0202692,0.0020682,0,0,0.0496917,0,0.0463394,0.0268163,0.0433854,0.0111379,0.00705247,0.00311931,0.00192871,0.0835142,0.00543102,0.0292171,0.00319556,0,0.00633149,0.0222676,0.0141106,0.0410396,0.043005,0.00688772,0.00560037,0.0256558,0.0120888,0.00275919,0.0355187,0,0,0.0135995,0,0.0257262,0.00706443,0.0360385,0.0201726,0.0226108,0.00439945,0.00412171,0.043114,0.0030095,0.0108076,0.00334284,0.0031186,0.00756818,0.018095,0.00660938,0.0117731,0.00814854,0.027597,0.00134262,0.00247728,0.0619615,0.0589772,0,0,0,0,0,0,0,0,0.0512516,0
1135,0.0614569,0.0538013,0,0,0,0,0,0,0.106749,0.0203464,0.001759,0,0,0.0499794,0,0.0462143,0.026883,0.0433659,0.0111136,0.00694429,0.00304129,0.00214371,0.0834936,0.00540277,0.0290268,0.00316394,0,0.00630238,0.0222548,0.0142553,0.0406522,0.0428563,0.00697623,0.00542541,0.0256239,0.0120008,0.00237905,0.0352314,0,0,0.0135532,0,0.0258846,0.00696227,0.0360627,0.0201249,0.0225723,0.00437489,0.00433912,0.0431766,0.00303113,0.0109319,0.00332735,0.00314713,0.00758638,0.0181101,0.00659318,0.0117867,0.0078521,0.0275702,0.00171906,0.00273119,0.0623688,0.0589347,0,0,0,0,0,0,0,0,0.0514666,0
1136,0.0613738,0.0540735,0,0,0,0,0,0,0.106688,0.0204346,0.00162076,0,0,0.0502461,0,0.0460949,0.0269673,0.0433808,0.0110875,0.00690358,0.00300634,0.00235163,0.083413,0.00529942,0.0293276,0.00309511,0,0.00626099,0.022308,0.0143643,0.0401287,0.0427391,0.00707472,0.00534415,0.0256235,0.011945,0.00208196,0.0349358,0,0,0.0136356,0,0.0260724,0.00705687,0.0360711,0.0200578,0.0225411,0.00437561,0.00451891,0.0432828,0.00306126,0.0109912,0.00333846,0.00314804,0.00758493,0.0181332,0.00655506,0.0118204,0.00763693,0.0275702,0.00208187,0.00294725,0.0626769,0.0588649,0,0,0,0,0,0,0,0,0.0512948,0
1137,0.0614068,0.0543146,0,0,0,0,0,0,0.106674,0.0205275,0.0015137,0,0,0.0507709,0,0.0458892,0.0272667,0.0434026,0.0110134,0.00690632,0.00293443,0.00261562,0.0838164,0.00511571,0.0295627,0.00310525,0,0.0062223,0.022363,0.0145165,0.0401702,0.0427352,0.00734355,0.00519699,0.0255913,0.0120722,0.00194827,0.0346106,0,0,0.013777,0,0.0262371,0.0070727,0.0360362,0.020069,0.0224323,0.00440344,0.00473354,0.0432756,0.00308509,0.0110244,0.00335791,0.00318734,0.00761982,0.0181355,0.0065674,0.0119224,0.00757957,0.0275582,0.00237468,0.0031807,0.06301,0.0588893,0,0,0,0,0,0,0,0,0.0509817,0
1138,0.0609725,0.0539472,0,0,0,0,0,0,0.106748,0.0206842,0.00162758,0,0,0.0508184,0,0.0456619,0.0273002,0.0434371,0.0109974,0.00694104,0.00282831,0.00275153,0.0834411,0.00488505,0.0296421,0.00311814,0,0.00615378,0.0224227,0.0148031,0.0397699,0.0426094,0.00749024,0.0050577,0.025532,0.0121315,0.00187942,0.0342931,0,0,0.0138257,0,0.0263835,0.00706432,0.0359995,0.0201013,0.0223248,0.00445165,0.00482,0.0434008,0.00302752,0.0110637,0.00336209,0.00320894,0.00765998,0.018096,0.00660928,0.0120042,0.00728421,0.0276373,0.00256032,0.00347393,0.0628708,0.0585748,0,0,0,0,0,0,0,0,0.05106,0
1139,0.0605063,0.0536357,0,0,0,0,0,0,0.106792,0.0209494,0.00178818,0,0,0.0508956,0,0.0451626,0.0273418,0.0434971,0.0110916,0.00697334,0.00269533,0.00279612,0.0829801,0.00465819,0.0297015,0.00308799,0,0.00612762,0.0224407,0.0152054,0.0393728,0.0423427,0.00771138,0.00496386,0.0255365,0.012242,0.0020388,0.0340096,0,0,0.0137938,0,0.0265851,0.00699939,0.0359664,0.0201871,0.0222202,0.0045167,0.00492073,0.0434858,0.00292824,0.0111421,0.00337958,0.00322061,0.00772906,0.0180146,0.00670925,0.0120977,0.00695772,0.0277202,0.00269157,0.00375005,0.0625958,0.0582481,0,0,0,0,0,0,0,0,0.0507021,0
1140,0.0599417,0.0531227,0,0,0,0,0,0,0.106772,0.0211223,0.00179381,0,0,0.050859,0,0.0445975,0.0272977,0.0435902,0.0113234,0.00702399,0.00251553,0.00287206,0.0823195,0.00442781,0.0298122,0.00300826,0,0.00619348,0.0224006,0.0156461,0.038899,0.0421156,0.00775211,0.00493185,0.0255894,0.0123869,0.00273163,0.0337311,0,0,0.0135821,0,0.02678,0.00682827,0.0359114,0.0202943,0.0221133,0.00458137,0.00501204,0.0434695,0.00286774,0.0111921,0.00342496,0.00320235,0.00778519,0.0179348,0.0068027,0.0121793,0.00672303,0.0277353,0.00308376,0.00398614,0.062123,0.0578463,0,0,0,0,0,0,0,0,0.0504204,0
