Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,x59
All Timesteps RMSE,0.0190332,0.0569622,0.0356049,0,0.0218116,0.048917,0.0220363,0,0.043443,0.0634335,0.0341423,0.0281097,0.0213393,0.0531347,0.0350648,0.0381946,0.0590462,0.0616348,0.0318484,0.0596128,0.0647299,0.035765,0.0371036,0.0310094,0.0363798,0.0148644,0.0128004,0.0272848,0,0.0235182,0.0552872,0.040583,0.0227809,0,0.0315998,0.0699208,0.0245008,0.0203857,0.0277442,0.047673,0.03475,0.020931,0.0422043,0.0556576,0.0449295,0.0221402,0.0266753,0.0127065,0.0304271,0.0378715,0.0308257,0.00999749,0.0231729,0.0509126,0.0494152,0,0,0,0,0
0,0.0203919,0.0580228,0.0400709,0,0.0105218,0.043902,0.0231568,0,0.0434431,0.0642631,0.0317806,0.0168267,0.0178933,0.0537835,0.0361281,0.0316457,0.055528,0.061458,0.0294631,0.0532189,0.0583236,0.0253298,0.0329761,0.00721445,0.0347463,0.0142539,0.0146846,0.00981675,0,0.0226292,0.0483972,0.0417137,0.0265562,0,0.0325158,0.0664847,0.0113111,0.0231194,0.0289988,0.0540763,0.0410226,0.0183443,0.0430944,0.055301,0.0411662,0.0207629,0.0294347,0.0123524,0.0303347,0.0315596,0.0269959,0.0101353,0.0283845,0.0531418,0.0512092,0,0,0,0,0
1,0.0203228,0.0580887,0.0385846,0,0.0106432,0.0429532,0.0232096,0,0.0434066,0.0642465,0.0309743,0.0168261,0.0178606,0.0542506,0.0357134,0.0328122,0.0563711,0.0622805,0.0297315,0.0527859,0.0578706,0.0249401,0.0328615,0.0125496,0.0346752,0.01446,0.0141708,0.00886728,0,0.022992,0.0483904,0.0417619,0.0269152,0,0.0328308,0.0663245,0.0122175,0.0236309,0.0283476,0.0538523,0.0418569,0.018266,0.0433749,0.055123,0.0407478,0.0208484,0.0293571,0.0125424,0.0305249,0.0331668,0.0266988,0.010198,0.0286949,0.0536456,0.0511971,0,0,0,0,0
2,0.0202645,0.0580869,0.0363456,0,0.0104353,0.0419728,0.023172,0,0.0433546,0.0643371,0.0311527,0.0169857,0.0180076,0.0545723,0.0356255,0.0335234,0.05716,0.0629353,0.0299076,0.0523585,0.0574185,0.0247482,0.0327452,0.0181163,0.0347179,0.0146252,0.0139538,0.00818471,0,0.0231614,0.0485966,0.0418744,0.0271786,0,0.0329646,0.0662501,0.0128435,0.0236037,0.0278579,0.053587,0.0425107,0.0180075,0.0433613,0.0549937,0.0404621,0.0208547,0.0292472,0.0126974,0.0306609,0.0341002,0.0265686,0.01029,0.0288823,0.0535667,0.0512614,0,0,0,0,0
3,0.0202331,0.0580764,0.0329276,0,0.0104384,0.0410626,0.0231256,0,0.0433363,0.0644665,0.0327552,0.0172502,0.018087,0.0547505,0.0355357,0.0340984,0.0577329,0.0634069,0.0299128,0.052375,0.0574091,0.0250539,0.0329653,0.0238255,0.0348908,0.0147418,0.0137601,0.0078555,0,0.0232506,0.0489045,0.0419866,0.0271971,0,0.0329759,0.066233,0.0133279,0.0235555,0.0274334,0.0532148,0.0428656,0.0175487,0.0433307,0.0548445,0.0404612,0.020846,0.0291579,0.0128476,0.030726,0.0345618,0.0265925,0.0104087,0.0288232,0.0533941,0.0513558,0,0,0,0,0
4,0.0202447,0.0581098,0.0301175,0,0.0114689,0.040147,0.0230284,0,0.0433958,0.0645366,0.0352664,0.0176665,0.0180895,0.0547032,0.0354036,0.0348361,0.0581563,0.0637496,0.0299257,0.0529631,0.057896,0.02598,0.0337917,0.0297865,0.0351093,0.0146877,0.0140526,0.00780033,0,0.0234235,0.0493609,0.0420781,0.0270526,0,0.0329611,0.0662761,0.0136553,0.0235233,0.0272046,0.0526692,0.0429728,0.017158,0.0434336,0.0547287,0.0406837,0.0208562,0.0289733,0.0128698,0.0307882,0.0346746,0.0267276,0.0104755,0.0286116,0.0532801,0.0514811,0,0,0,0,0
5,0.0201948,0.0582417,0.0300223,0,0.0128962,0.0392885,0.0228566,0,0.0434928,0.0645373,0.0372862,0.0181851,0.0181605,0.0544925,0.0352748,0.0351678,0.0586025,0.0640578,0.0299977,0.0538509,0.0585149,0.0271265,0.0351979,0.0343735,0.0353304,0.0147096,0.0141274,0.0079967,0,0.0235224,0.0497699,0.0421333,0.0268118,0,0.0329743,0.0662815,0.0138054,0.023466,0.0270447,0.0521036,0.043067,0.0168564,0.0434175,0.0546822,0.040853,0.0208734,0.0288561,0.0129467,0.030896,0.0343768,0.0269822,0.0106851,0.0282785,0.0533079,0.0515306,0,0,0,0,0
6,0.0201292,0.0583841,0.0303861,0,0.0134011,0.0386051,0.0227165,0,0.0435813,0.0645715,0.0387595,0.0187127,0.0184437,0.0542913,0.0352203,0.0352829,0.0589299,0.0643143,0.0300313,0.0546663,0.0590417,0.0279509,0.0365136,0.0374838,0.0355535,0.0148016,0.0137914,0.00828131,0,0.0235302,0.0501929,0.042137,0.0264195,0,0.0329963,0.0662893,0.0138287,0.0235513,0.0269445,0.0515797,0.0428639,0.016787,0.0432516,0.0546638,0.0409642,0.0209697,0.0288197,0.0131353,0.0310465,0.0337197,0.0274037,0.0107494,0.028035,0.0533434,0.0515526,0,0,0,0,0
7,0.0200682,0.0584624,0.0298139,0,0.0132148,0.0379883,0.0225843,0,0.0435183,0.0646147,0.0401923,0.0192207,0.0189118,0.0541502,0.03525,0.0361859,0.0593902,0.0643762,0.0299926,0.055423,0.0595437,0.0285217,0.0376306,0.0403292,0.0357298,0.0148068,0.0137451,0.00857532,0,0.02358,0.0506959,0.042094,0.0259636,0,0.0330176,0.0663144,0.013789,0.0235018,0.0268738,0.0511522,0.0424352,0.016871,0.0430858,0.0546614,0.0411083,0.0210856,0.0288372,0.0133258,0.0312579,0.0329283,0.0277873,0.0107079,0.0278365,0.0533924,0.0515644,0,0,0,0,0
8,0.0199347,0.0585208,0.029603,0,0.0132177,0.0373436,0.0225004,0,0.0434729,0.0647491,0.0415408,0.0197214,0.0194399,0.0541231,0.0354213,0.0370839,0.0598455,0.0645212,0.0299868,0.0560741,0.0600477,0.0290558,0.038496,0.0430449,0.0358272,0.0147353,0.0138094,0.00891477,0,0.0236404,0.0512266,0.0420324,0.0256488,0,0.033019,0.066326,0.0136922,0.0234463,0.026735,0.0508729,0.0420877,0.0170753,0.0427077,0.0545653,0.0413421,0.0211963,0.0288977,0.0135144,0.0314934,0.0321295,0.0280312,0.0105426,0.0275759,0.0534507,0.051516,0,0,0,0,0
9,0.0197841,0.058589,0.030009,0,0.0136302,0.0367075,0.0224821,0,0.0434795,0.0649502,0.0426301,0.0203203,0.0198703,0.0542212,0.0355307,0.0378149,0.060507,0.0647598,0.0300569,0.0567104,0.0605081,0.0295394,0.039346,0.04558,0.0359701,0.0147243,0.0135682,0.00933182,0,0.0237156,0.0517526,0.0419694,0.0254194,0,0.0330828,0.0663307,0.0135625,0.023556,0.0264755,0.0506576,0.0417635,0.0171938,0.0420833,0.0544522,0.0416433,0.0213239,0.0290576,0.0137186,0.0317141,0.0312787,0.0281818,0.0104676,0.0273807,0.0535538,0.0514084,0,0,0,0,0
10,0.0196099,0.0586379,0.0301967,0,0.0141139,0.0361567,0.0224411,0,0.0435535,0.0651845,0.0436292,0.0209544,0.0200451,0.0544223,0.0356435,0.0382667,0.0611924,0.0650848,0.0301611,0.0572784,0.0608518,0.0300068,0.0401536,0.048106,0.036115,0.0147357,0.0134318,0.00986296,0,0.0237616,0.0522433,0.0419022,0.0252972,0,0.0331573,0.0663134,0.0134239,0.0236972,0.0261876,0.0504893,0.0414175,0.0173045,0.0415501,0.0543153,0.042001,0.0214276,0.0292472,0.0139551,0.0319069,0.0303171,0.0282066,0.0104527,0.0273233,0.0537221,0.0512619,0,0,0,0,0
11,0.0194651,0.0586146,0.0302581,0,0.0144389,0.0357612,0.0223771,0,0.0436261,0.0653864,0.0448234,0.0216668,0.0200661,0.0547122,0.0357637,0.0384179,0.0619146,0.0653381,0.0302361,0.0578737,0.0611646,0.030581,0.0409107,0.0506884,0.0361379,0.0147003,0.0134274,0.0105166,0,0.0237407,0.0527301,0.0418588,0.0253143,0,0.0332558,0.0662174,0.013224,0.0237811,0.0258076,0.050332,0.0411128,0.0174711,0.0410846,0.054222,0.0423232,0.021499,0.0293735,0.0141987,0.0321286,0.0291946,0.0281713,0.0104996,0.0273287,0.0538036,0.0510633,0,0,0,0,0
12,0.0193005,0.0585644,0.0305944,0,0.014742,0.0354977,0.022315,0,0.0436987,0.0654475,0.0462263,0.0225618,0.02002,0.0551017,0.0359354,0.0385649,0.0625844,0.0655001,0.030317,0.0584672,0.0615901,0.0312017,0.0416503,0.0534892,0.0361733,0.0147076,0.0132873,0.0112263,0,0.0236752,0.0532911,0.0418484,0.0254367,0,0.033421,0.0660797,0.0130758,0.0236133,0.025437,0.0501314,0.0409761,0.0178131,0.0407105,0.0543374,0.042627,0.0215859,0.0294678,0.0144048,0.0323169,0.028085,0.0280608,0.0106201,0.027388,0.0539506,0.0508114,0,0,0,0,0
13,0.0191162,0.0585239,0.0312205,0,0.0150251,0.0352953,0.0222715,0,0.0436249,0.0653525,0.047819,0.023533,0.020023,0.0556728,0.0361367,0.0391447,0.0631403,0.065682,0.0304696,0.0591683,0.0621985,0.0318177,0.0426699,0.0566129,0.036202,0.0145219,0.0134814,0.01186,0,0.0237181,0.0540022,0.0418651,0.0256284,0,0.033414,0.0659788,0.0130767,0.0235107,0.025206,0.049939,0.0410116,0.0180907,0.0404173,0.0544447,0.0429745,0.0217168,0.0295003,0.0146052,0.0324645,0.0271061,0.0278584,0.0106105,0.0274586,0.0541199,0.0505316,0,0,0,0,0
