Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58
All Timesteps RMSE,0.0142938,0.0761232,0.0380596,0,0.0172762,0.0733608,0.0443336,0,0.0444616,0.0561762,0.0367963,0.0347152,0.0210416,0.0320391,0.0608457,0.0385225,0.0630489,0.0619095,0.0281695,0.0619064,0.0655675,0.036688,0.0412579,0.0366872,0.022423,0.0119811,0.0230721,0.0337753,0,0.0198512,0.0536835,0.0344038,0.0280374,0,0.0339736,0.078428,0.0228547,0.0331292,0.0429866,0.0357021,0.0558162,0.0206721,0.0456627,0.05357,0.0422487,0.0233996,0.0311652,0.0118518,0.0307298,0.0361162,0.0313605,0.0114547,0.0260296,0.0785826,0.051369,0,0,0,0
0,0.0130397,0.075253,0.0410005,0,0.018367,0.0621165,0.0436444,0,0.0446168,0.0585914,0.0645471,0.0273839,0.0197749,0.0335028,0.055015,0.0473392,0.0702995,0.0670762,0.0322703,0.0635038,0.0660501,0.0348157,0.0468356,0.0848171,0.0197157,0.0116304,0.0213799,0.00875158,0,0.0271026,0.0645293,0.036319,0.0333099,0,0.0352741,0.0760315,0.00820162,0.0326431,0.0283773,0.0337834,0.0628022,0.0245828,0.0294144,0.0474675,0.0455979,0.0278452,0.0268078,0.0146048,0.0379059,0.0311112,0.0286691,0.0123,0.0275511,0.0778321,0.0467316,0,0,0,0
1,0.013067,0.0753857,0.0405727,0,0.0181061,0.0622821,0.0432817,0,0.0444412,0.0589763,0.0638679,0.0273603,0.0193358,0.0335762,0.0547004,0.0477471,0.070809,0.0672828,0.0323768,0.0640814,0.0665091,0.0354606,0.0472035,0.0840949,0.0197227,0.0115622,0.0211024,0.00909587,0,0.0271302,0.0653537,0.0362966,0.0331983,0,0.0351232,0.0757639,0.00821642,0.0334834,0.028115,0.0338291,0.0628341,0.0243736,0.029171,0.0472662,0.0454698,0.0279599,0.0267564,0.0147972,0.0381459,0.030515,0.0287875,0.0123019,0.0272226,0.078347,0.0467036,0,0,0,0
2,0.0131185,0.0755283,0.0398849,0,0.0177792,0.0623571,0.0429789,0,0.0443066,0.0591436,0.0627219,0.0273879,0.018823,0.0336719,0.0545061,0.0470891,0.0713745,0.0673318,0.032543,0.0645123,0.0668701,0.036003,0.0472338,0.0826991,0.0196846,0.0115102,0.020939,0.00966427,0,0.0272414,0.0661073,0.0363193,0.0331591,0,0.0350442,0.0755039,0.00806081,0.0338701,0.0282564,0.0338918,0.0628689,0.0243337,0.0290066,0.0471487,0.0455138,0.0280269,0.0267555,0.0148634,0.0383015,0.0296559,0.0288681,0.0122944,0.0268954,0.0780739,0.0466974,0,0,0,0
3,0.0131294,0.0756907,0.0389452,0,0.0174522,0.0623895,0.0426766,0,0.0442382,0.0592898,0.061122,0.027464,0.0182772,0.0337582,0.05427,0.0459988,0.0719269,0.0672166,0.03274,0.0647325,0.0671139,0.0364403,0.0470368,0.0806413,0.0196395,0.0114771,0.0208767,0.0103082,0,0.0273439,0.0667104,0.0363542,0.0330932,0,0.0350008,0.0752097,0.00783513,0.0341156,0.0283279,0.0339515,0.0628285,0.0243345,0.0287075,0.0470343,0.0455413,0.0282104,0.0267863,0.0149426,0.0384679,0.0288083,0.0289699,0.0122999,0.0266002,0.0779943,0.0466577,0,0,0,0
4,0.0131273,0.0758111,0.0376478,0,0.0171521,0.0626873,0.0423769,0,0.0442152,0.0595033,0.0590911,0.0274496,0.017801,0.033798,0.0539745,0.0466929,0.0722991,0.0670604,0.0328234,0.0647766,0.067384,0.0367247,0.0466534,0.0778351,0.0195822,0.0114382,0.0208875,0.0109714,0,0.0272578,0.0673328,0.0363742,0.033031,0,0.0349988,0.0749447,0.00771258,0.034153,0.0282504,0.0340896,0.0627448,0.0243354,0.0284568,0.0469175,0.0455451,0.0284061,0.0267628,0.0150255,0.0386835,0.0281227,0.0290809,0.0123078,0.0263605,0.0780788,0.0466244,0,0,0,0
5,0.0131258,0.0759111,0.0360799,0,0.0168392,0.0628774,0.0421389,0,0.0441124,0.0596682,0.0568104,0.0273821,0.017337,0.0338001,0.0537335,0.049318,0.0725093,0.0668687,0.0328635,0.06476,0.0677155,0.0370271,0.0462947,0.0743528,0.0195188,0.0113929,0.0207682,0.0116223,0,0.0271919,0.067877,0.0363773,0.0329871,0,0.0349777,0.0748157,0.0076152,0.034215,0.0281712,0.0342229,0.0626875,0.0243918,0.0281119,0.0468206,0.0456077,0.0285895,0.0267829,0.0151056,0.038919,0.0274968,0.02916,0.0123243,0.0261381,0.0782159,0.0466144,0,0,0,0
6,0.0130565,0.0759546,0.034076,0,0.0164433,0.0633619,0.0419093,0,0.0440768,0.0597588,0.0543839,0.0274195,0.0167453,0.0337329,0.053535,0.0503576,0.0727981,0.066853,0.0328441,0.0648692,0.0679117,0.0376719,0.0458829,0.069704,0.0194569,0.0113842,0.0207156,0.0122274,0,0.0273409,0.0684496,0.0363374,0.0329059,0,0.034934,0.0747727,0.00752445,0.0342563,0.0281754,0.0343449,0.062556,0.0243683,0.0278036,0.046737,0.0456465,0.0287488,0.0267665,0.0151675,0.0390437,0.0267593,0.0292451,0.0123616,0.0259231,0.0783458,0.0465379,0,0,0,0
7,0.0129165,0.0759805,0.0317401,0,0.0161376,0.0642275,0.0416687,0,0.0441408,0.0598183,0.051759,0.027673,0.0160023,0.0335423,0.0532853,0.0498964,0.0732394,0.0669855,0.0328366,0.0650322,0.0679655,0.0385249,0.0453927,0.0639002,0.0194364,0.0115186,0.0206032,0.0128143,0,0.0275848,0.0689651,0.0362838,0.032804,0,0.0348866,0.0747927,0.00751071,0.0344706,0.0283203,0.0345637,0.0623191,0.0243271,0.0274745,0.0466406,0.0456785,0.0288879,0.0267367,0.015234,0.0392132,0.0259395,0.0293342,0.0123874,0.0257198,0.078507,0.0463673,0,0,0,0
8,0.0127245,0.0759852,0.0292616,0,0.0159753,0.0651147,0.0414554,0,0.0442956,0.0598838,0.0486863,0.0280952,0.0152838,0.03335,0.0530274,0.0492568,0.073622,0.0670132,0.0329492,0.0651472,0.0680801,0.0391005,0.0448387,0.0570682,0.0194455,0.0117271,0.02056,0.013489,0,0.0278514,0.069284,0.0362385,0.0326628,0,0.0348329,0.0748516,0.00752484,0.0346666,0.0285461,0.0347557,0.0620191,0.0243687,0.0270885,0.0464677,0.0457778,0.0290642,0.0266734,0.015272,0.0392559,0.02506,0.0294157,0.0123777,0.0255417,0.0787194,0.0461674,0,0,0,0
