Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,x59
All Timesteps RMSE,0.0166202,0.0615339,0.0368236,0,0.0203774,0.0570451,0.021678,0,0.0426664,0.0600275,0.0329558,0.0331276,0.0203601,0.0512376,0.0286412,0.0308445,0.0557361,0.0607758,0.0322798,0.05741,0.0627578,0.0339948,0.0351323,0.0340237,0.0402605,0.0153882,0.0120774,0.0249071,0,0.0251748,0.0537709,0.0359941,0.0218544,0,0.0317811,0.0731101,0.0226517,0.0268237,0.0251408,0.0571405,0.0351317,0.0231134,0.0386336,0.0515829,0.0432629,0.0206656,0.0290109,0.0139148,0.0290422,0.0349384,0.0308458,0.00990651,0.0233402,0.0531417,0.0501679,0,0,0,0,0
0,0.0239372,0.0539023,0.0612276,0,0.0140952,0.060844,0.0216027,0,0.0431007,0.0612454,0.0266793,0.0185743,0.0175038,0.0433818,0.0356423,0.0199739,0.0482127,0.0544702,0.0293043,0.0558306,0.0624241,0.031071,0.0316977,0.0389049,0.0444058,0.016186,0.0131925,0.00902021,0,0.0244706,0.0499223,0.0448716,0.019009,0,0.0301424,0.0714997,0.0144051,0.0249048,0.0257665,0.0601144,0.0310806,0.0230517,0.0414917,0.0504243,0.042821,0.0215624,0.0303819,0.0123035,0.031351,0.0317749,0.0324857,0.0092095,0.0228786,0.0472566,0.0518872,0,0,0,0,0
1,0.0229761,0.0544517,0.0510659,0,0.0105348,0.0603014,0.0217733,0,0.0430503,0.062021,0.0290141,0.018145,0.018894,0.0428239,0.0341942,0.0190438,0.0458639,0.0536697,0.0293683,0.0580796,0.0648475,0.0334175,0.033787,0.0264791,0.0436571,0.0165946,0.0133095,0.0106132,0,0.0253667,0.0496761,0.0452963,0.018494,0,0.0314231,0.0712938,0.0163175,0.0264606,0.0238118,0.0605975,0.0327521,0.0238251,0.0423338,0.0513062,0.0427862,0.020267,0.0318162,0.0135324,0.0300159,0.0295727,0.0321395,0.00916682,0.0235116,0.0476773,0.0511918,0,0,0,0,0
2,0.0223732,0.0548548,0.0494471,0,0.0108786,0.0593387,0.0216567,0,0.0431425,0.0617508,0.0299851,0.0180247,0.0185194,0.0433034,0.0328759,0.0196981,0.0466019,0.0542356,0.0293536,0.0574292,0.064487,0.0323721,0.032798,0.0247621,0.043382,0.0166362,0.0133713,0.0100718,0,0.0256305,0.0497368,0.0446709,0.0189556,0,0.031608,0.0709859,0.0165702,0.0263829,0.0236779,0.0598985,0.033631,0.0237294,0.0415518,0.0509661,0.0424746,0.0200472,0.0320071,0.0139211,0.029837,0.0298172,0.0318,0.0091989,0.0241722,0.0480121,0.0511212,0,0,0,0,0
3,0.0215958,0.0555142,0.0477631,0,0.0112929,0.0581673,0.0215985,0,0.043266,0.0613515,0.0305527,0.0178654,0.018074,0.0439609,0.0313727,0.0203756,0.0472413,0.054851,0.0293733,0.0564943,0.0636859,0.0309797,0.0319219,0.0228364,0.0431459,0.0166484,0.0133817,0.00970615,0,0.0258452,0.0496001,0.0439125,0.0194716,0,0.0318337,0.0706436,0.0161842,0.0266568,0.023694,0.0594783,0.0344596,0.0236348,0.0408189,0.0507343,0.0423086,0.0198849,0.0323172,0.0144534,0.0296993,0.029643,0.0313812,0.00919904,0.0248682,0.0483534,0.0509868,0,0,0,0,0
4,0.0213102,0.0558937,0.0522772,0,0.0135725,0.056638,0.0209965,0,0.0436575,0.0604795,0.0295639,0.0179229,0.0167861,0.0451992,0.0306812,0.0223052,0.0499464,0.0567337,0.0295186,0.0533827,0.0606454,0.0273638,0.0296203,0.0275445,0.0432202,0.0161356,0.0130851,0.00702016,0,0.0253355,0.0499791,0.0425659,0.020749,0,0.0313162,0.0703821,0.0143349,0.0255186,0.0248239,0.0578814,0.0349719,0.0228054,0.0388704,0.0495556,0.0415813,0.0208056,0.0309338,0.0139179,0.030586,0.0327693,0.0307092,0.00913577,0.0255008,0.0485264,0.0513282,0,0,0,0,0
5,0.0213103,0.0558081,0.0495343,0,0.0128776,0.0551494,0.0211363,0,0.0435556,0.0603415,0.0293016,0.0177799,0.0168345,0.0460402,0.0295349,0.023011,0.050419,0.0574387,0.0296529,0.0525868,0.0596584,0.0262456,0.0295742,0.0235436,0.0426133,0.0158652,0.0129878,0.00667734,0,0.0256455,0.0497395,0.0419035,0.0215894,0,0.0316286,0.070052,0.0134898,0.0260084,0.0248202,0.0578752,0.03657,0.0223096,0.0383896,0.0493951,0.0411239,0.0208261,0.0310486,0.0143258,0.0303387,0.0328842,0.0304546,0.009363,0.0258361,0.0482894,0.0516551,0,0,0,0,0
6,0.0206048,0.0561234,0.0466066,0,0.0119908,0.0543558,0.0211333,0,0.0435091,0.0602521,0.0286972,0.0176388,0.0169628,0.0464213,0.0289714,0.0237695,0.0509955,0.0582143,0.0299441,0.052099,0.0587748,0.0255229,0.0297771,0.018598,0.0422306,0.0158727,0.0129692,0.00666635,0,0.0257622,0.0495802,0.0413831,0.0227107,0,0.0322088,0.0698443,0.0128927,0.026616,0.0249361,0.0579276,0.0381074,0.0218876,0.0380721,0.0492577,0.0407247,0.0207998,0.0311054,0.0145644,0.0301107,0.0330035,0.0296222,0.00987863,0.0268251,0.0484975,0.0515497,0,0,0,0,0
7,0.0199719,0.0564094,0.0437351,0,0.0112466,0.0539921,0.0211007,0,0.0435637,0.060197,0.0280873,0.0176038,0.0170765,0.0470522,0.0284102,0.0248116,0.0517656,0.0591643,0.0303317,0.0517223,0.0579972,0.0249893,0.0302071,0.0131178,0.0419704,0.0159021,0.0128684,0.00667184,0,0.0256825,0.0496494,0.0410409,0.0235157,0,0.0324739,0.0695708,0.012516,0.0271599,0.0251143,0.0579854,0.0393199,0.0212775,0.0378605,0.0491105,0.040255,0.0207736,0.0310892,0.0146943,0.0299105,0.0331972,0.029153,0.0100312,0.0273672,0.048763,0.051477,0,0,0,0,0
8,0.019458,0.0566593,0.0408172,0,0.010806,0.0534519,0.0211128,0,0.0436151,0.060306,0.0273901,0.0176733,0.0173436,0.0478592,0.0278936,0.0258386,0.0526302,0.0601049,0.0307758,0.0512034,0.0572771,0.024492,0.0306269,0.00825898,0.0417669,0.0158984,0.0126761,0.00667333,0,0.0255831,0.0497567,0.0407911,0.0242933,0,0.0325554,0.0692995,0.0121869,0.0280747,0.0252357,0.0581043,0.0404454,0.0205997,0.0378634,0.0489864,0.0398057,0.0207875,0.0309849,0.0146821,0.0297789,0.0332548,0.0287262,0.0100858,0.0275729,0.0490795,0.0515536,0,0,0,0,0
