Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,x59
All Timesteps RMSE,0.0168921,0.0563664,0.0344264,0,0.0194944,0.0561978,0.0228,0,0.0433008,0.0591056,0.0313101,0.0272666,0.0204081,0.0487098,0.0338425,0.0365388,0.0605394,0.0613283,0.0305467,0.0584237,0.063137,0.0345584,0.036505,0.0291522,0.0323956,0.0143673,0.0141323,0.0248475,0,0.0240271,0.0511002,0.0427782,0.0160637,0,0.0294794,0.0724916,0.0244886,0.0210255,0.0302723,0.0457627,0.0299831,0.0207221,0.0380804,0.0492677,0.0410772,0.0227543,0.0270195,0.0120009,0.0317134,0.0424539,0.0385057,0.00983226,0.0189466,0.049011,0.0503187,0,0,0,0,0
0,0.0168036,0.0560498,0.0351489,0,0.0134307,0.042214,0.0233226,0,0.0445193,0.061255,0.0502447,0.0219427,0.0216371,0.0498176,0.0361932,0.0400553,0.0663789,0.0663789,0.0302245,0.0586755,0.0605302,0.0306392,0.0431309,0.0669209,0.0321227,0.0143938,0.0137605,0.015835,0,0.0223699,0.0546189,0.0418738,0.0171459,0,0.0300229,0.0665802,0.00823739,0.0236601,0.0309217,0.0443022,0.034546,0.0158302,0.0380633,0.0461573,0.0402006,0.0224476,0.0292139,0.0106887,0.0342008,0.0209025,0.0373699,0.0100951,0.0201503,0.0488896,0.051937,0,0,0,0,0
1,0.0164912,0.0558937,0.0354103,0,0.0129488,0.0410535,0.0236435,0,0.0450459,0.0613045,0.0507188,0.0223348,0.0241093,0.0503805,0.0364267,0.0411839,0.0685507,0.06713,0.0298871,0.0591563,0.0600658,0.0308089,0.0444965,0.0664728,0.0320978,0.0151368,0.0132287,0.0169644,0,0.022293,0.0553641,0.0422388,0.018089,0,0.0300791,0.0669606,0.00870291,0.0239317,0.0309105,0.0444429,0.0349489,0.0157569,0.0380334,0.0460989,0.0404182,0.0226209,0.0292004,0.0106844,0.0344966,0.0199183,0.0367921,0.00989383,0.0204954,0.048677,0.0518763,0,0,0,0,0
2,0.016397,0.055852,0.036336,0,0.0133909,0.041227,0.0237162,0,0.0450908,0.0614193,0.0522182,0.0231238,0.0234696,0.0510032,0.0363389,0.0419537,0.0687636,0.0671554,0.0300327,0.0600352,0.0609356,0.0316647,0.0452269,0.0688867,0.0322376,0.0152229,0.0131158,0.0180063,0,0.0224363,0.0560225,0.0422662,0.0181449,0,0.030067,0.0670997,0.00839709,0.0241365,0.0310092,0.0441627,0.0349861,0.0159908,0.0377661,0.0460769,0.0407909,0.0226631,0.0291503,0.0106986,0.0345259,0.0188294,0.0363088,0.00998518,0.0203313,0.0488255,0.0514923,0,0,0,0,0
3,0.0164659,0.0558263,0.0372499,0,0.0142281,0.0420936,0.023572,0,0.0450716,0.0614612,0.0537489,0.0240097,0.0214702,0.0515977,0.0360885,0.0426959,0.0684277,0.0668785,0.0306738,0.0609315,0.0624439,0.0326613,0.0454024,0.0721519,0.0324872,0.0152512,0.0131248,0.018751,0,0.0224211,0.0568406,0.0422018,0.0182926,0,0.0300178,0.0671896,0.00836115,0.0240419,0.0309486,0.0436502,0.0347147,0.0163708,0.0374466,0.0460661,0.0411919,0.022761,0.028964,0.0106284,0.0346071,0.0180169,0.0362629,0.01033,0.0198814,0.0490916,0.0509585,0,0,0,0,0
4,0.016299,0.0557614,0.0367463,0,0.0140858,0.0416661,0.0236939,0,0.0450282,0.0617317,0.0538539,0.0241465,0.0227312,0.0521085,0.035931,0.043301,0.0698215,0.0669882,0.0306723,0.0612328,0.0624223,0.0327771,0.0459017,0.070989,0.0325357,0.014975,0.0132735,0.0195833,0,0.0223264,0.0577272,0.0422542,0.0187683,0,0.030046,0.0673247,0.0081534,0.0241497,0.0311057,0.0437312,0.0350099,0.0164262,0.0372275,0.0459815,0.0414756,0.0228957,0.0289294,0.0106728,0.034819,0.0171309,0.0361944,0.0102612,0.0198732,0.0490838,0.0508843,0,0,0,0,0
5,0.0162386,0.0558234,0.0365172,0,0.0143335,0.0419337,0.0237101,0,0.0446037,0.0616916,0.0542403,0.0250135,0.0222161,0.0525268,0.0359189,0.0437403,0.0705029,0.067022,0.0311032,0.0617131,0.0630948,0.0333352,0.0460241,0.0714075,0.032602,0.0145825,0.013409,0.0203559,0,0.0224122,0.0584239,0.0422372,0.0187968,0,0.0299587,0.0677158,0.00821617,0.0242492,0.0311941,0.0434466,0.0348957,0.0166653,0.0369339,0.0459134,0.0418038,0.0230252,0.0288785,0.0106896,0.0350557,0.0163738,0.0362613,0.010123,0.0198034,0.0491815,0.0505623,0,0,0,0,0
6,0.0162269,0.055897,0.0363473,0,0.0144589,0.0422309,0.0236276,0,0.0442815,0.0615621,0.0542317,0.0258491,0.0214774,0.0528771,0.0359754,0.0444079,0.0709822,0.0670545,0.031564,0.0621822,0.0637974,0.0338481,0.0460241,0.0713777,0.0326995,0.0143629,0.0134925,0.0210485,0,0.0226003,0.0591762,0.0422211,0.0187746,0,0.0298904,0.0679595,0.00843023,0.0243544,0.0310897,0.0430846,0.0346594,0.0169891,0.0365391,0.045815,0.0420966,0.0231719,0.0286858,0.010731,0.0353092,0.015713,0.036302,0.0101277,0.0196767,0.0492992,0.0502531,0,0,0,0,0
7,0.0162248,0.0559734,0.0358846,0,0.0144115,0.0423591,0.0238046,0,0.0447677,0.0614295,0.0536131,0.0262622,0.0209493,0.0531525,0.0360105,0.0450813,0.0715123,0.0670894,0.0319545,0.0625838,0.0643943,0.034216,0.0459847,0.070283,0.0329327,0.0154942,0.0124796,0.0216751,0,0.0227489,0.0599709,0.0422329,0.0188132,0,0.0298652,0.0681402,0.00851444,0.0243417,0.0309264,0.0427584,0.0345004,0.0173394,0.0361225,0.0457086,0.0423186,0.0233,0.0284528,0.0108159,0.0355455,0.0149841,0.0363498,0.0101297,0.0194996,0.0495692,0.050009,0,0,0,0,0
8,0.0162731,0.0560289,0.0349336,0,0.014233,0.0425118,0.0240055,0,0.0450221,0.0616066,0.0524915,0.0265101,0.0204412,0.0533283,0.0357523,0.0455999,0.0721,0.0671448,0.0322971,0.0628934,0.0647998,0.0347242,0.045822,0.0681257,0.0331362,0.0160213,0.0119177,0.0222653,0,0.0228649,0.0607543,0.042236,0.0189171,0,0.0299264,0.0684099,0.00859126,0.0243174,0.0309921,0.0424896,0.0344326,0.0174837,0.0356695,0.0455476,0.0425351,0.0234897,0.0281935,0.0107881,0.0357668,0.014176,0.0363763,0.0101962,0.0193718,0.0498685,0.0498538,0,0,0,0,0
