Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,x59,LWRA
99,0.0176994,0.0565706,0.0486437,0,0.0119999,0.0549266,0.0224548,0,0.0441755,0.0607579,0.0313905,0.0161398,0.0181238,0.0452216,0.0301106,0.0274243,0.0539396,0.0585718,0.027661,0.0520933,0.058229,0.0250547,0.029948,0.0190855,0.0305298,0.0134974,0.00493856,0,0.0258921,0.0482302,0.0429595,0.0142707,0,0.0298246,0.070745,0.0146208,0.0196005,0.0277017,0.0456563,0.0330368,0.0209964,0.0378828,0.0479836,0.0399278,0.0243111,0.0254933,0.00992663,0.033697,0.0365073,0.0389453,0.00975145,0.020504,0.0498774,0.0491167,0,0,0,0,0,0.0137392
100,0.0174671,0.0564338,0.049721,0,0.0110226,0.0514237,0.0228039,0,0.0444917,0.0604481,0.0323734,0.014713,0.0214018,0.0460297,0.0305847,0.0291191,0.0578478,0.0603631,0.0272727,0.0492211,0.0548036,0.0216114,0.029623,0.0194514,0.0298314,0.0138487,0.00467182,0,0.0260871,0.0475337,0.0430882,0.015439,0,0.0300948,0.0702061,0.0140214,0.0207355,0.0277339,0.0464948,0.0348191,0.0201037,0.0376677,0.0479314,0.0393459,0.0243945,0.0254572,0.0103042,0.0335496,0.0367884,0.0376293,0.00958855,0.0216432,0.0496166,0.0495817,0,0,0,0,0,0.0137207
101,0.0172779,0.0564702,0.0471746,0,0.00893049,0.049636,0.0236572,0,0.0442598,0.0604629,0.0311165,0.0143938,0.0219268,0.0468741,0.0309785,0.0302349,0.0590856,0.0617555,0.0280214,0.0483312,0.0536077,0.0208338,0.0296987,0.0137976,0.0295156,0.0138381,0.00456455,0,0.0262299,0.0474393,0.0431128,0.0172814,0,0.0297688,0.0695881,0.0136242,0.0218924,0.0280095,0.0471936,0.0362908,0.0190972,0.0375574,0.0478293,0.0389408,0.024416,0.0255529,0.0106563,0.0334738,0.0370864,0.0366503,0.0101551,0.0211987,0.049507,0.0497406,0,0,0,0,0,0.0136845
102,0.0172724,0.0562964,0.0445914,0,0.00676241,0.0485724,0.0237689,0,0.0443732,0.0604009,0.0297931,0.014502,0.0222327,0.0475739,0.0313148,0.0313456,0.0604775,0.0632146,0.0287968,0.047627,0.0528249,0.0206352,0.0299325,0.0087126,0.0292677,0.014184,0.00449578,0,0.0263274,0.047511,0.0431816,0.01793,0,0.0298878,0.0690315,0.0132677,0.0229282,0.0284603,0.0477093,0.037131,0.0181717,0.0377061,0.0476311,0.0384646,0.0244026,0.025773,0.0109325,0.0334054,0.0371713,0.0359784,0.0101691,0.0217409,0.0494482,0.0499618,0,0,0,0,0,0.0136259
103,0.0170756,0.0559932,0.0412747,0,0.00476793,0.0477723,0.0242896,0,0.0446596,0.0600688,0.029613,0.0149823,0.022634,0.0488613,0.032488,0.0325996,0.0616335,0.0640814,0.0290475,0.0477637,0.052744,0.0210632,0.0306022,0.00689189,0.0288571,0.0142716,0.0104067,0,0.0234373,0.046471,0.0430015,0.0185353,0,0.0300349,0.0697271,0.00833004,0.0216701,0.0340305,0.047686,0.0378293,0.0149171,0.0413607,0.0480362,0.0371874,0.0225967,0.0285593,0.00984538,0.032018,0.0280193,0.0353604,0.0101092,0.0222896,0.0491323,0.0507873,0,0,0,0,0,0.0138427
104,0.017104,0.0557598,0.0382758,0,0.00388097,0.0469296,0.0243397,0,0.044793,0.060042,0.0306935,0.0152067,0.0224422,0.0495044,0.0329637,0.0339694,0.0625607,0.0648409,0.0294054,0.0483446,0.0529373,0.0217861,0.0313846,0.0100478,0.0289961,0.0142717,0.010308,0,0.0233921,0.0471055,0.0429911,0.018708,0,0.0300503,0.0697319,0.00858871,0.021352,0.0338538,0.0476005,0.0382582,0.014586,0.0416984,0.0479586,0.03699,0.0226183,0.02841,0.0096541,0.0320675,0.0284176,0.0351884,0.0100509,0.0224573,0.0489556,0.0510646,0,0,0,0,0,0.0141112
105,0.0171309,0.0556049,0.0362571,0,0.00482064,0.0462244,0.0243811,0,0.0447798,0.0599066,0.0321435,0.0156325,0.0223719,0.0499437,0.0332562,0.0346809,0.0631498,0.0653354,0.0295134,0.0493193,0.0533795,0.0226544,0.0324189,0.0147881,0.0292928,0.0142049,0.0103528,0,0.0233104,0.0476423,0.0429579,0.0187235,0,0.0299889,0.0696566,0.00897306,0.0209565,0.0334118,0.047385,0.0384753,0.0143692,0.0420358,0.0479173,0.0370597,0.0226087,0.0282266,0.00943065,0.0321693,0.0285953,0.0352346,0.0101092,0.0222913,0.0487933,0.0512872,0,0,0,0,0,0.0142327
106,0.0172557,0.0556005,0.0349726,0,0.00564216,0.045288,0.0242547,0,0.044598,0.0600443,0.0333846,0.0157477,0.0223453,0.049811,0.0328979,0.0353007,0.0636653,0.0658765,0.0298009,0.0500734,0.0537099,0.0232812,0.0334775,0.0185178,0.0297307,0.0138871,0.006337,0,0.0252481,0.0490629,0.0430513,0.0184117,0,0.0298071,0.069011,0.0118129,0.021871,0.0289158,0.0471813,0.0383284,0.0158144,0.0399947,0.0474792,0.0377481,0.0236022,0.0264138,0.010227,0.0331231,0.0342965,0.035574,0.0101074,0.0218959,0.0488358,0.0510842,0,0,0,0,0,0.0143671
107,0.0172772,0.0554663,0.0336851,0,0.00575937,0.0445249,0.0243557,0,0.044404,0.0595367,0.0345269,0.0162263,0.022776,0.0499366,0.0332699,0.0354268,0.0638397,0.0660221,0.0296817,0.0510933,0.0543875,0.0240824,0.0346853,0.0221739,0.0298359,0.0141397,0.0110586,0,0.0229057,0.048656,0.0429068,0.0182433,0,0.0297513,0.0692811,0.00957503,0.0199294,0.033163,0.0465205,0.038309,0.0140564,0.0424452,0.0478295,0.0373168,0.0225069,0.027968,0.00906066,0.0323955,0.0278723,0.0356501,0.0100969,0.0217134,0.0487321,0.0516357,0,0,0,0,0,0.0140759
108,0.0173071,0.0555172,0.0328479,0,0.00582659,0.0436482,0.0240894,0,0.0442094,0.0595126,0.0355656,0.0166249,0.0230701,0.0499513,0.033226,0.0358182,0.064116,0.066356,0.0298313,0.0520226,0.0550699,0.0248295,0.0357081,0.0251464,0.0302739,0.0142018,0.0118877,0,0.0229048,0.0490598,0.0428863,0.0179253,0,0.0297118,0.06913,0.00968507,0.020243,0.0333351,0.0459934,0.0380602,0.0140481,0.0423248,0.0477185,0.0376144,0.0225103,0.0278646,0.00900478,0.0325327,0.0268383,0.0360251,0.0101795,0.0213042,0.04878,0.0518484,0,0,0,0,0,0.0140194
