Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58
10,0.0182474,0.0579598,0.0302189,0,0.0127505,0.0393935,0.023015,0,0.0454867,0.0633979,0.042351,0.0191738,0.0222238,0.0512365,0.0332461,0.0359517,0.0604989,0.0642181,0.0292384,0.0574781,0.0598393,0.0302702,0.0418954,0.0443234,0.0299381,0.0143111,0.0148024,0.0129255,0,0.022199,0.0516049,0.043123,0.021969,0,0.0312576,0.0689287,0.010776,0.0204348,0.0334356,0.0475721,0.0405139,0.0149188,0.0376431,0.04767,0.0386809,0.0237473,0.0254601,0.00933756,0.0329719,0.0280963,0.0314117,0.00993002,0.0254762,0.052685,0.0529767,0,0,0,0
11,0.0180703,0.058019,0.0311762,0,0.0124058,0.0390477,0.0229737,0,0.0455695,0.0634464,0.0420701,0.0196276,0.0222742,0.0513779,0.0332813,0.0365354,0.0610571,0.0645737,0.0293679,0.0580476,0.0603593,0.0312022,0.0426777,0.0431876,0.0300574,0.0143141,0.014707,0.0136514,0,0.0223556,0.0519341,0.0431189,0.0219901,0,0.0315762,0.0689651,0.0104789,0.0205382,0.033077,0.0475094,0.0404136,0.0152934,0.0371796,0.0478095,0.0389005,0.0238363,0.0256071,0.00963535,0.0332099,0.026917,0.0314932,0.0100198,0.0255776,0.0527136,0.0527601,0,0,0,0
12,0.0178895,0.0580575,0.0320548,0,0.0119233,0.0385788,0.0229532,0,0.0456037,0.0634944,0.0417011,0.0200889,0.0221963,0.0515762,0.0333067,0.0370546,0.0615807,0.0648797,0.0294196,0.0585383,0.0607413,0.0317346,0.0432896,0.0414798,0.0301616,0.0142589,0.014734,0.0144679,0,0.0224822,0.0523371,0.0431288,0.0221318,0,0.031904,0.0689672,0.0101348,0.0205673,0.0328694,0.0474783,0.040402,0.0156079,0.0367786,0.047791,0.0391814,0.0238938,0.0257162,0.00984364,0.0334068,0.0258007,0.0314633,0.0103928,0.025671,0.0529203,0.0525164,0,0,0,0
13,0.0177318,0.0580885,0.0329079,0,0.0116058,0.0380985,0.0229921,0,0.0455306,0.0634679,0.0413532,0.0206321,0.0220843,0.0518646,0.0334243,0.0375977,0.0620972,0.0650804,0.029477,0.0589824,0.0609566,0.0322676,0.0438192,0.0398643,0.0302616,0.0141456,0.0148528,0.0154618,0,0.022527,0.0527772,0.0431639,0.0223708,0,0.0318897,0.0689813,0.00987422,0.0206258,0.0326347,0.0473571,0.0404942,0.0158507,0.0363435,0.0476786,0.0394941,0.0239612,0.0258054,0.0100545,0.033616,0.0244436,0.0313223,0.0105837,0.0255956,0.0532947,0.0522661,0,0,0,0
14,0.0175945,0.0581151,0.0337417,0,0.0115802,0.0379088,0.0231267,0,0.0454924,0.0634029,0.041261,0.0212148,0.0219215,0.0523216,0.033571,0.0381715,0.0626818,0.0651149,0.0295169,0.0593358,0.0612537,0.0328213,0.0442859,0.0385798,0.0303382,0.0140569,0.0149611,0.0165351,0,0.0225352,0.0532534,0.0432062,0.022662,0,0.0318193,0.0689917,0.00974911,0.0207719,0.0324285,0.0471906,0.0406077,0.016088,0.0358613,0.0475918,0.0398036,0.0240389,0.0258739,0.0102958,0.0338033,0.0229467,0.0312047,0.0105849,0.025454,0.0536976,0.0520084,0,0,0,0
15,0.0174609,0.058164,0.0344852,0,0.0117012,0.03791,0.0232763,0,0.0453792,0.0634127,0.0413611,0.0217793,0.0218343,0.0527548,0.033594,0.0387801,0.0633216,0.0652197,0.0295826,0.0596751,0.0615498,0.0332931,0.0447419,0.0373114,0.0303904,0.0139984,0.0150064,0.0173941,0,0.0225786,0.0537717,0.0432516,0.0229013,0,0.0318479,0.0689948,0.00973645,0.0206498,0.0323038,0.0470312,0.040802,0.0164063,0.0354111,0.0475499,0.0401189,0.0241197,0.0258955,0.0104503,0.0339572,0.0216879,0.0310316,0.0102349,0.0254788,0.053802,0.0517002,0,0,0,0
16,0.0173649,0.0582005,0.0348983,0,0.011891,0.0380847,0.0233885,0,0.0452568,0.0635176,0.0417817,0.0224105,0.0216707,0.0532569,0.0335881,0.039296,0.0640143,0.0653643,0.029686,0.0601054,0.0618537,0.0336017,0.0451785,0.0366857,0.0304326,0.0139423,0.0149697,0.0180149,0,0.0226445,0.0543543,0.0432794,0.0231439,0,0.0319082,0.0690497,0.00978626,0.0206315,0.0322389,0.0469119,0.0409068,0.0166668,0.0352066,0.0474744,0.0404414,0.0242367,0.0258844,0.0104985,0.0341576,0.0206509,0.0308431,0.0099884,0.0254745,0.0539233,0.0514179,0,0,0,0
17,0.0172748,0.058215,0.0350737,0,0.0121671,0.0382913,0.0235032,0,0.0451419,0.0636292,0.0425006,0.0230744,0.021503,0.0537928,0.0334711,0.0396878,0.0647986,0.0654976,0.0298286,0.0606495,0.0622419,0.0339594,0.0456457,0.0370661,0.0304365,0.0138776,0.0149348,0.0186294,0,0.0226792,0.0550348,0.0433072,0.0233785,0,0.031905,0.0691591,0.00982583,0.0208068,0.0320537,0.0467967,0.0410686,0.0168445,0.0350129,0.0473741,0.0407373,0.0243562,0.0258514,0.0105864,0.0343858,0.0196962,0.0307082,0.0102176,0.0252275,0.0540769,0.0511497,0,0,0,0
18,0.0171592,0.0581975,0.0350774,0,0.0125291,0.0384501,0.023604,0,0.0450335,0.0637671,0.0434675,0.0237633,0.0214635,0.0542598,0.0333268,0.0402331,0.0655997,0.0656539,0.0300158,0.0612481,0.0627265,0.0342146,0.0460882,0.0383339,0.0304433,0.0138666,0.0148418,0.0192621,0,0.0228081,0.055865,0.0433205,0.023513,0,0.0318968,0.0693402,0.00990844,0.0209655,0.031843,0.0466054,0.0411839,0.016968,0.034801,0.047323,0.0410107,0.0244458,0.0258132,0.0107432,0.0345542,0.0187966,0.0306433,0.0105642,0.0249738,0.0542627,0.0508988,0,0,0,0
19,0.0170518,0.0582493,0.0352227,0,0.0128928,0.0386836,0.0236506,0,0.0449158,0.0638999,0.0443902,0.0244503,0.0215687,0.0546338,0.033352,0.0415264,0.0664861,0.06572,0.0302376,0.0619175,0.0633124,0.0348319,0.0465236,0.040035,0.0304707,0.0138874,0.0147033,0.0200221,0,0.023059,0.0567482,0.043243,0.0235552,0,0.0318637,0.0695841,0.0100216,0.0210967,0.0316861,0.0464018,0.0411474,0.0170943,0.0346239,0.0472876,0.0413213,0.0245106,0.0258478,0.0109463,0.0346575,0.0178439,0.0306503,0.0106028,0.0247447,0.0544436,0.0506894,0,0,0,0
