Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x59,x58
All Timesteps RMSE,0.0166572,0.0557405,0.0351888,0,0.0205621,0.0553925,0.0228024,0,0.0434616,0.0593749,0.0330873,0.0267348,0.019593,0.0468495,0.0322897,0.0367151,0.0616548,0.0619029,0.0305031,0.0572308,0.0620825,0.0328431,0.036428,0.0330048,0.0338485,0.0145252,0.0128494,0.0288583,0,0.0222874,0.0537073,0.0432286,0.015215,0,0.029518,0.0718768,0.0196638,0.0215259,0.0308866,0.0442371,0.0301398,0.0198946,0.0365508,0.04742,0.0396305,0.0236783,0.0251763,0.0150936,0.0329864,0.0321898,0.0393641,0.0101609,0.0185523,0.0480119,0.0520477,0,0,0,0,0
0,0.0200202,0.054319,0.0557257,0,0.0159559,0.0657181,0.0220876,0,0.0415771,0.0616278,0.0212402,0.0196636,0.017591,0.037614,0.0263525,0.0236114,0.048458,0.0542483,0.0283251,0.0570766,0.0628095,0.0325809,0.0338507,0.0315679,0.0350633,0.014355,0.0110203,0.0189575,0,0.0241512,0.0527748,0.0455203,0.0130116,0,0.0281684,0.0713407,0.00765862,0.0186236,0.0343442,0.0458611,0.0274627,0.021676,0.0398118,0.0476519,0.0423302,0.0261251,0.0275033,0.00838896,0.0356937,0.0216742,0.0428551,0.0104788,0.0168664,0.0465203,0.0522003,0,0,0,0,0
1,0.0198523,0.0545273,0.0548753,0,0.0152347,0.065062,0.0220242,0,0.0416309,0.0614894,0.0228908,0.0191981,0.017542,0.0377408,0.025966,0.0236933,0.0490167,0.0543618,0.0280553,0.0567887,0.062626,0.0320527,0.0335174,0.0303744,0.0353594,0.0144376,0.0110937,0.0186836,0,0.0236384,0.0525872,0.045671,0.0128868,0,0.0282271,0.07147,0.00810418,0.0186149,0.0337848,0.0455961,0.027748,0.0208013,0.0399768,0.047035,0.0409442,0.0261013,0.0272128,0.00814254,0.0356963,0.0226343,0.0427656,0.0105868,0.0169018,0.0469981,0.0519992,0,0,0,0,0
2,0.0197169,0.0546307,0.0542855,0,0.014206,0.0640975,0.0220386,0,0.0417401,0.0615884,0.0247061,0.0186048,0.0175819,0.0381741,0.0257593,0.0239015,0.0496422,0.0545976,0.0277778,0.0563986,0.0624387,0.0314064,0.0331433,0.0291325,0.0354861,0.0145124,0.0111077,0.0187692,0,0.0231877,0.0524287,0.0456823,0.0128158,0,0.0283801,0.0715813,0.00857216,0.0183347,0.0337401,0.045207,0.0283533,0.0201408,0.0399641,0.0465777,0.0398849,0.0260247,0.0268464,0.00771172,0.0355991,0.0231189,0.0426106,0.0107782,0.0171246,0.046952,0.0519269,0,0,0,0,0
3,0.0195818,0.0546559,0.0538126,0,0.0132097,0.0627679,0.0220249,0,0.0419676,0.0616577,0.0265847,0.0180502,0.0176904,0.0388564,0.0256286,0.0243037,0.0503233,0.0549083,0.0275181,0.056104,0.0621774,0.0306898,0.0329037,0.0276982,0.0355407,0.0145781,0.0110735,0.0191305,0,0.022713,0.0522103,0.04566,0.0128352,0,0.0284506,0.0717091,0.00893698,0.0180787,0.0338918,0.0447387,0.0291237,0.0198258,0.0396093,0.0461432,0.0392851,0.0257813,0.0265521,0.00733281,0.0354347,0.0230398,0.0423498,0.0109461,0.0174311,0.0470877,0.0519506,0,0,0,0,0
4,0.0193609,0.0546931,0.0531109,0,0.0125042,0.0611521,0.0219694,0,0.0421185,0.0615409,0.0283895,0.0176273,0.0177116,0.0397001,0.0257584,0.0249141,0.0510116,0.0553236,0.0273566,0.0558402,0.061833,0.0299529,0.0328619,0.0259107,0.0354529,0.0145775,0.0110589,0.0196963,0,0.0224063,0.0520499,0.0455966,0.0129782,0,0.0284548,0.071872,0.00916369,0.0179601,0.0339949,0.0443087,0.0299156,0.0197388,0.0392171,0.0456571,0.03897,0.0253793,0.026413,0.00716386,0.0352891,0.0226162,0.0419919,0.0106571,0.0177146,0.0473,0.0519823,0,0,0,0,0
5,0.0190859,0.0546998,0.0518124,0,0.0123153,0.0593941,0.0219059,0,0.0421762,0.0615909,0.0300917,0.0173708,0.0176302,0.040636,0.0259342,0.0256437,0.0517224,0.0558378,0.0272694,0.055431,0.0614234,0.0291235,0.0326649,0.0234929,0.0353129,0.0146205,0.0112152,0.0204253,0,0.0222619,0.0518045,0.0455042,0.0132219,0,0.0284146,0.0718844,0.00903179,0.0181071,0.0339385,0.0439657,0.0306423,0.0196713,0.0385819,0.0452069,0.0387451,0.0250034,0.0263277,0.00720704,0.0351442,0.0219442,0.0415735,0.0104286,0.0180365,0.0474664,0.0520148,0,0,0,0,0
6,0.0188701,0.0546366,0.0499634,0,0.0121978,0.0576929,0.0218715,0,0.0422168,0.0616388,0.0312008,0.0172238,0.0176949,0.0415359,0.0261348,0.0263621,0.0523059,0.0564278,0.027221,0.0548374,0.0608227,0.0281407,0.0322847,0.0208604,0.0350307,0.0145644,0.0113478,0.0210255,0,0.0221888,0.0513466,0.045427,0.0135999,0,0.0284199,0.071379,0.00848653,0.0185263,0.0338934,0.0438095,0.0313381,0.0193071,0.0380288,0.044963,0.0384181,0.0248046,0.0263247,0.00738968,0.0350321,0.0210064,0.041056,0.0102859,0.0184038,0.0476337,0.0520257,0,0,0,0,0
7,0.0187169,0.0545843,0.0477333,0,0.01198,0.0561441,0.0219147,0,0.04232,0.06147,0.0316068,0.0171155,0.0179052,0.0423369,0.0263777,0.0271286,0.052886,0.0571212,0.0272754,0.0540884,0.0600626,0.0271277,0.0319369,0.0178586,0.0346378,0.0144586,0.0115002,0.0214983,0,0.0221595,0.050734,0.0453395,0.0137871,0,0.0287541,0.0702108,0.00759431,0.0193127,0.0339888,0.0439536,0.0319284,0.0186453,0.0377212,0.0448816,0.0380198,0.0246837,0.0264518,0.00767267,0.0349613,0.019874,0.0405062,0.0102203,0.0191979,0.0476092,0.052036,0,0,0,0,0
8,0.0185034,0.0546265,0.0455311,0,0.0115511,0.0545701,0.0222036,0,0.0423444,0.0614086,0.0314934,0.0169195,0.0180817,0.0432285,0.0267238,0.028014,0.0535293,0.0579505,0.0274482,0.0532788,0.0591478,0.0261804,0.0318033,0.0145003,0.0342064,0.0145315,0.0116387,0.0212981,0,0.0222783,0.050303,0.0452233,0.0142133,0,0.0288259,0.069555,0.00707002,0.0202958,0.0340716,0.0442867,0.0325914,0.0180753,0.0374991,0.0448119,0.0376586,0.0246679,0.0264916,0.00792464,0.0349376,0.0194764,0.0399274,0.0101268,0.0197127,0.0475207,0.052105,0,0,0,0,0
