Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,RILC
75,0.0254233,0.070383,0.0344133,0,0.023951,0.0643914,0.0222959,0,0.0403035,0.0518052,0.0206443,0.0375955,0.0203604,0.0551817,0.0419001,0.0296755,0.0545625,0.0592137,0.0276345,0.0554879,0.0618834,0.034647,0.0311249,0.0101156,0.0423523,0.0147539,0.0112678,0.0232898,0,0.0234135,0.0326553,0.0205505,0.0248528,0,0.0341187,0.0828828,0.0354644,0.0288766,0.0564651,0.0398616,0.025145,0.0439904,0.0592624,0.0444085,0.0175098,0.0221715,0.00982135,0.0222868,0.0718884,0.0288613,0.0100882,0.0253411,0.0590035,0.0589279,0,0,0,0,0.0195699
76,0.0254234,0.0702417,0.0348733,0,0.0239994,0.0650035,0.0224695,0,0.0402065,0.0520663,0.0206312,0.0370866,0.0205449,0.0548287,0.0419505,0.0291561,0.0541091,0.0590894,0.0277325,0.0554119,0.0617951,0.0346444,0.0310155,0.0104343,0.0421479,0.0145858,0.0112458,0.0229858,0,0.0234525,0.0330461,0.0204393,0.0250831,0,0.0340997,0.0830153,0.0353147,0.028771,0.0568706,0.0398514,0.025292,0.0443101,0.059217,0.0443113,0.0177901,0.0218785,0.00938494,0.022586,0.0712284,0.0286923,0.00999038,0.0253705,0.0590186,0.0587516,0,0,0,0,0.0196135
77,0.0253852,0.0701459,0.0351392,0,0.0240861,0.0656736,0.0226553,0,0.0400806,0.0522703,0.0207213,0.036576,0.0207437,0.0543635,0.0418957,0.0288678,0.0538093,0.0590379,0.0277921,0.0553708,0.0616833,0.0346419,0.0307472,0.0106918,0.0420046,0.0144298,0.0112038,0.022692,0,0.0233615,0.0334325,0.0203612,0.0252765,0,0.0339902,0.0832146,0.0352517,0.0287986,0.0572556,0.0399496,0.0257902,0.0446395,0.0591394,0.0442409,0.0181502,0.0215083,0.00909729,0.0229107,0.0705995,0.0285226,0.0099652,0.0253282,0.0590405,0.0585703,0,0,0,0,0.0196729
78,0.0253432,0.0700584,0.0353581,0,0.0241597,0.0664593,0.0228658,0,0.0399584,0.0523947,0.0209431,0.0360963,0.0210304,0.0539167,0.0417821,0.0287249,0.0534429,0.0590123,0.0278857,0.0550941,0.0614716,0.0345905,0.0304804,0.0108141,0.0419112,0.0142978,0.0111516,0.0224927,0,0.0232713,0.0337786,0.0203319,0.0254084,0,0.0339004,0.083439,0.0352498,0.0290127,0.0576728,0.040081,0.0261799,0.0449624,0.0590372,0.0441712,0.0185867,0.0211537,0.0087939,0.02326,0.0700174,0.0283801,0.010038,0.025189,0.0591741,0.0584197,0,0,0,0,0.0197671
79,0.0252994,0.0700021,0.0355388,0,0.024211,0.0671429,0.0230529,0,0.0398207,0.0526325,0.0211641,0.0355568,0.0212847,0.0535085,0.0417254,0.0286145,0.0530527,0.0589749,0.028083,0.0550272,0.0612641,0.0345562,0.0303472,0.0109162,0.0418406,0.0141668,0.0111058,0.0224412,0,0.023262,0.0338314,0.0202989,0.0255057,0,0.0339027,0.0835965,0.0353254,0.029352,0.0580308,0.0400793,0.026349,0.0454165,0.0589356,0.04408,0.0190536,0.0207734,0.00848011,0.0235859,0.0695391,0.0283173,0.0101685,0.0250015,0.0593069,0.0583107,0,0,0,0,0.0198202
80,0.0252221,0.0699393,0.035678,0,0.0242215,0.0677638,0.0232236,0,0.0396654,0.0529121,0.0213429,0.0349857,0.0215061,0.0530652,0.0416278,0.028363,0.0526735,0.0589203,0.0282522,0.0548201,0.0612294,0.0345504,0.0302769,0.0110425,0.041777,0.0140457,0.0110506,0.0224997,0,0.0233135,0.0338943,0.0202794,0.0255531,0,0.0339078,0.0837717,0.0355499,0.0296435,0.0582487,0.0399711,0.0264617,0.0458658,0.0588345,0.0439585,0.0194609,0.0204459,0.00814562,0.0238641,0.0693388,0.0283064,0.0102548,0.0248576,0.0593972,0.0582134,0,0,0,0,0.0198753
81,0.0251413,0.0698599,0.0357392,0,0.0242699,0.0683439,0.0233809,0,0.03955,0.0532114,0.0215857,0.0344504,0.0218039,0.0526225,0.0414965,0.0282856,0.0522526,0.0588617,0.0284089,0.0546851,0.061177,0.0345508,0.0301824,0.011145,0.0416908,0.0139533,0.0109811,0.0225243,0,0.0232485,0.034062,0.0202878,0.0255508,0,0.0337973,0.0839418,0.0358029,0.0297928,0.0584454,0.0398749,0.0265518,0.0462903,0.0587105,0.0438036,0.0199007,0.0201678,0.00778584,0.0242293,0.0692266,0.0283285,0.0100756,0.0247922,0.0594313,0.0581275,0,0,0,0,0.019945
82,0.0250198,0.0698124,0.0357019,0,0.0243357,0.0688917,0.0234952,0,0.0394749,0.0535388,0.0218153,0.0339203,0.0221505,0.0521118,0.0414293,0.0280646,0.0518645,0.0588096,0.0285594,0.0545107,0.0610851,0.0345574,0.0300799,0.0112012,0.0415484,0.0138569,0.0109409,0.0224684,0,0.0231876,0.0342586,0.0203114,0.0255476,0,0.0336959,0.0840466,0.0359897,0.029779,0.058654,0.0397273,0.0266515,0.0466683,0.058581,0.0436582,0.0204057,0.0198625,0.00744877,0.0247958,0.0690092,0.0283848,0.0100261,0.0246469,0.0594283,0.0580014,0,0,0,0,0.0200443
83,0.0248819,0.0697837,0.035489,0,0.0244074,0.0694501,0.0235238,0,0.0393208,0.0539183,0.022135,0.0334025,0.0225537,0.0515486,0.0413801,0.0276432,0.0517751,0.0587964,0.0286948,0.0543499,0.0608874,0.0345073,0.0299051,0.0110328,0.0413878,0.0137332,0.0109033,0.0223396,0,0.023176,0.0344229,0.020348,0.025478,0,0.0336467,0.0841296,0.0360272,0.0297172,0.0587539,0.0396684,0.0267935,0.0469916,0.0584394,0.0435477,0.0209111,0.019623,0.00712719,0.0253132,0.0687201,0.0284543,0.0100848,0.024467,0.0593682,0.0578427,0,0,0,0,0.0201418
84,0.0247187,0.0697553,0.0353519,0,0.024494,0.0700038,0.0235388,0,0.0392058,0.0543138,0.0224222,0.0329087,0.0229182,0.0509738,0.041257,0.0273173,0.0515607,0.0587449,0.0287851,0.0543135,0.0606106,0.0344701,0.0297324,0.0109148,0.0412818,0.013633,0.0108618,0.0220777,0,0.0232034,0.034564,0.0203901,0.0254198,0,0.0336623,0.0842006,0.0358746,0.029657,0.0588658,0.0395418,0.026967,0.0473144,0.0582729,0.0434431,0.021386,0.0193722,0.00682987,0.0257617,0.0681649,0.0285119,0.0101787,0.0243135,0.0593593,0.0576752,0,0,0,0,0.0202461
