Timestep,C7,CLAV,L5FT,L5HD,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,LANK
143,0.0145602,0.0587114,0.0317334,0,0.0378833,0.0240109,0,0.0453015,0.0599106,0.0463845,0.0207735,0.0235425,0.0506974,0.0339678,0.0402493,0.0676315,0.0688233,0.0313161,0.0538605,0.0560643,0.0272437,0.0399291,0.0582024,0.0300177,0.0140795,0.0145073,0.0191951,0,0.0235402,0.0508341,0.042892,0.0192542,0,0.0312006,0.0714161,0.00845602,0.0200921,0.0322523,0.0447855,0.0404098,0.0163299,0.0416357,0.0517683,0.0413252,0.0237603,0.0265764,0.00943243,0.0342377,0.0177071,0.0355812,0.0102898,0.0231289,0.0517728,0.0499964,0,0,0,0,0.0131275
144,0.0144332,0.0587112,0.0319422,0,0.0374426,0.0240416,0,0.045238,0.0601934,0.0472424,0.0211781,0.0235879,0.0509832,0.0337646,0.0408023,0.0678979,0.0690391,0.0314228,0.0539858,0.0560469,0.0272102,0.0403244,0.0600866,0.0300468,0.0141853,0.0142439,0.0190495,0,0.0239804,0.0515049,0.0429561,0.019263,0,0.0313014,0.0713759,0.00845514,0.0203152,0.0311914,0.0447745,0.0405975,0.0168675,0.0404235,0.0515026,0.0416339,0.0240981,0.026196,0.00985305,0.0344955,0.0179273,0.035535,0.0102496,0.023307,0.0518713,0.0497393,0,0,0,0,0.0136009
145,0.0143094,0.0586758,0.0321473,0,0.037208,0.0240595,0,0.0452292,0.0602994,0.0478742,0.0218952,0.0235879,0.0514383,0.0336877,0.0412067,0.0681273,0.0692004,0.031445,0.0541131,0.0560249,0.0272238,0.0406713,0.0614147,0.029988,0.0141587,0.0141339,0.021203,0,0.0233672,0.0517783,0.0430241,0.0194985,0,0.0313275,0.0711974,0.00856042,0.0202197,0.0316953,0.0447045,0.0408188,0.0168459,0.0404171,0.0515681,0.0417771,0.0239446,0.0266285,0.00986961,0.0344423,0.0155272,0.0353813,0.0103476,0.023372,0.0519864,0.049511,0,0,0,0,0.0138811
146,0.0142361,0.0586311,0.0322889,0,0.0370517,0.0239989,0,0.0451508,0.060404,0.0484179,0.0222732,0.0235283,0.0520701,0.033529,0.0416332,0.0685122,0.0692238,0.0314918,0.0543452,0.0561129,0.0273945,0.0411285,0.0624467,0.0300412,0.0140857,0.0140909,0.0223509,0,0.0230944,0.0523244,0.0430899,0.0197494,0,0.0314421,0.0710346,0.00865037,0.0202956,0.031601,0.0446525,0.0409871,0.0171774,0.0398443,0.0514751,0.042007,0.0241386,0.0266321,0.0100272,0.0346845,0.0142794,0.0352446,0.0104789,0.0234037,0.0520839,0.0492712,0,0,0,0,0.0140224
147,0.0142503,0.0585626,0.0324133,0,0.0370038,0.0239338,0,0.0451071,0.0604604,0.0490864,0.0228319,0.0234218,0.0527673,0.0333737,0.0422478,0.0689784,0.0692042,0.0315523,0.0547884,0.0563866,0.0278029,0.0417123,0.0635165,0.0300184,0.0141081,0.0140195,0.023349,0,0.0230515,0.0530215,0.0431557,0.0200688,0,0.0315187,0.070839,0.00873271,0.0204497,0.0314669,0.0445022,0.0411285,0.0177152,0.0391962,0.0513629,0.0422435,0.024317,0.0265376,0.0101714,0.0348224,0.0132068,0.0350885,0.0105433,0.0234336,0.0521664,0.0490511,0,0,0,0,0.0142512
148,0.0142498,0.0585348,0.0327673,0,0.0370467,0.023954,0,0.0450447,0.0605201,0.049873,0.0235919,0.0232609,0.053471,0.0331823,0.042921,0.0694929,0.0692684,0.0316046,0.0554793,0.0569063,0.0284169,0.0423145,0.064263,0.0299605,0.0141722,0.013904,0.0243511,0,0.0230289,0.0537887,0.0432173,0.0202739,0,0.0314945,0.0706603,0.00880878,0.0206851,0.0313316,0.0443064,0.0411975,0.018323,0.0386053,0.0512547,0.0426093,0.0244601,0.0264827,0.0103441,0.0349871,0.0121842,0.0349401,0.0104608,0.0234559,0.0522932,0.0488127,0,0,0,0,0.0145284
149,0.0142136,0.0585709,0.0333211,0,0.0371834,0.023954,0,0.0449559,0.0605813,0.0508155,0.024509,0.0230544,0.0541163,0.0329638,0.043599,0.070019,0.0693753,0.0316956,0.0563666,0.0576625,0.0291092,0.0430716,0.0649979,0.0300823,0.0142656,0.0137116,0.0253483,0,0.0230165,0.0546536,0.0432607,0.020448,0,0.0314454,0.0705517,0.00890288,0.0210522,0.0311774,0.0440505,0.0412034,0.0187944,0.038012,0.0511227,0.0429752,0.0246163,0.0264347,0.0105271,0.0351833,0.0112599,0.0348261,0.0103303,0.0234053,0.0524655,0.0485114,0,0,0,0,0.0147628
150,0.0141665,0.0586589,0.0340012,0,0.0374387,0.0239077,0,0.0448455,0.0606634,0.0521365,0.0255525,0.022578,0.0546812,0.0327609,0.044203,0.0702394,0.0692908,0.0318562,0.0573544,0.0586207,0.030035,0.0439294,0.0663163,0.0302735,0.014396,0.0133842,0.0263381,0,0.0230028,0.0554613,0.0432929,0.020483,0,0.0313187,0.0706002,0.00894259,0.0212969,0.0310158,0.0437199,0.0413146,0.0191516,0.0374359,0.0510143,0.0432835,0.0247572,0.0264389,0.0106736,0.0354177,0.0104411,0.03479,0.0102588,0.0232468,0.0527105,0.0481417,0,0,0,0,0.0150403
151,0.0141645,0.0587672,0.0345585,0,0.0376413,0.0237863,0,0.0447837,0.0607295,0.053296,0.0262575,0.0224303,0.0551883,0.0325921,0.0448287,0.0705553,0.0692929,0.0321037,0.0583824,0.059517,0.0309722,0.0447616,0.0673757,0.0304989,0.0144766,0.0132327,0.0273436,0,0.0229903,0.0563819,0.0433025,0.0205526,0,0.0312209,0.0707917,0.00901742,0.0215477,0.0308415,0.0435054,0.0413988,0.019484,0.0368991,0.0509181,0.0436237,0.0249197,0.0263972,0.0107826,0.0356823,0.00969393,0.0347645,0.0103615,0.0229918,0.052909,0.0478831,0,0,0,0,0.015345
152,0.0141709,0.0589048,0.0350381,0,0.0378827,0.0237227,0,0.0447179,0.0608243,0.0543278,0.0271892,0.0221938,0.055581,0.0324911,0.0455639,0.0711322,0.0693608,0.032394,0.0593321,0.0604396,0.0318962,0.0454366,0.0685856,0.0307217,0.0145097,0.0131435,0.0283173,0,0.0229343,0.0571424,0.0432698,0.0206094,0,0.0311258,0.070942,0.00909798,0.0217145,0.0307425,0.0432229,0.0413438,0.0197579,0.0363907,0.0507977,0.0439971,0.0250965,0.0262974,0.0108686,0.0359232,0.00907346,0.0347941,0.0104419,0.0227525,0.0531169,0.0476349,0,0,0,0,0.0157187
153,0.0142092,0.058984,0.0355187,0,0.0381827,0.0235915,0,0.0446789,0.0609509,0.0550638,0.0279989,0.0218653,0.0558514,0.0322208,0.046251,0.0719585,0.0693623,0.0327828,0.0602367,0.0614114,0.03262,0.045992,0.0697281,0.0309524,0.0145743,0.0130936,0.0290405,0,0.0229022,0.0579091,0.0432479,0.0206595,0,0.0310167,0.0710129,0.0091489,0.0218164,0.0306299,0.0429192,0.0412104,0.0198752,0.0358737,0.0506569,0.0443711,0.0252853,0.0261756,0.0109681,0.0361412,0.00886249,0.0348223,0.0104795,0.0224922,0.053291,0.0474507,0,0,0,0,0.0159977
154,0.0144542,0.0590198,0.0302868,0,0.0385675,0.0228161,0,0.0450542,0.0604945,0.0591888,0.0297276,0.0218458,0.0569714,0.0323024,0.0476212,0.0740016,0.070931,0.0342128,0.0603541,0.0601751,0.0331605,0.0482565,0.0622263,0.0316604,0.0140457,0.013293,0.0272889,0,0.0226338,0.0589434,0.0425449,0.021188,0,0.030189,0.0713203,0.00922072,0.0210486,0.0315723,0.0415246,0.0403466,0.0201481,0.0346102,0.0500099,0.0446588,0.0263515,0.0246887,0.0107219,0.0371466,0.00941145,0.0348572,0.0108661,0.0218018,0.0534376,0.0473847,0,0,0,0,0.0231155
155,0.0145611,0.0589893,0.0305837,0,0.0385782,0.0225212,0,0.0451013,0.0607579,0.0585356,0.0301869,0.0223503,0.0570771,0.0321762,0.0485042,0.0752163,0.0712051,0.0345898,0.0611617,0.0606732,0.0336896,0.0487747,0.0624093,0.0317426,0.0139917,0.0134011,0.0275549,0,0.0228198,0.0598651,0.0424887,0.0211827,0,0.030204,0.0712868,0.00933606,0.0212682,0.0313048,0.0413478,0.0401659,0.0204373,0.0341657,0.049938,0.0450124,0.026529,0.02431,0.0107629,0.0373093,0.009262,0.0348074,0.0108106,0.0218949,0.0535099,0.0474067,0,0,0,0,0.0225485
156,0.0146474,0.0591222,0.030717,0,0.0391774,0.0223567,0,0.0450175,0.0607612,0.0583614,0.0308304,0.0214117,0.0572664,0.0319753,0.0493432,0.0759244,0.0714943,0.0353079,0.0618124,0.0615829,0.0345045,0.048952,0.0635266,0.0319908,0.014011,0.0132599,0.027962,0,0.0228509,0.0604714,0.0424034,0.0211152,0,0.0300408,0.0713383,0.00948432,0.0213312,0.031219,0.0409284,0.0397722,0.0206912,0.0337892,0.049843,0.0453148,0.0268018,0.0240242,0.0107909,0.0375285,0.00896745,0.0349864,0.0108705,0.0215797,0.0536952,0.0471868,0,0,0,0,0.0225115
157,0.0146647,0.0592402,0.0304773,0,0.0396149,0.0222434,0,0.0449952,0.0608909,0.0575487,0.0313128,0.0210158,0.05734,0.0318459,0.0500787,0.0770082,0.0717202,0.0357727,0.0621329,0.0622064,0.0351564,0.0489934,0.0635773,0.0322753,0.014049,0.0131896,0.0283148,0,0.0228632,0.0610512,0.0423659,0.0211111,0,0.0299661,0.0714803,0.00957203,0.0214349,0.0311596,0.0407478,0.0396191,0.0209071,0.0333649,0.0497276,0.0455833,0.0270964,0.0238495,0.0107918,0.0377502,0.00886351,0.0350598,0.0109389,0.0213502,0.0538183,0.0470904,0,0,0,0,0.0221977
158,0.0146455,0.0593391,0.0298235,0,0.0401186,0.0221632,0,0.045036,0.0610361,0.0563618,0.0316901,0.0204479,0.0573523,0.0317046,0.0507754,0.0781367,0.071724,0.0362332,0.0623231,0.0627115,0.0354667,0.0487613,0.0628584,0.0324172,0.0141319,0.0130956,0.0286388,0,0.0228698,0.0615423,0.0423731,0.0210889,0,0.0299472,0.0715671,0.00965495,0.0215458,0.0311563,0.040641,0.0395396,0.0211342,0.0328963,0.0496116,0.0457987,0.0273876,0.0235719,0.010779,0.0379314,0.00888625,0.0351287,0.0109535,0.0211961,0.0538127,0.0469862,0,0,0,0,0.0218889
159,0.0146363,0.0594308,0.0289301,0,0.040655,0.0220684,0,0.0451238,0.0611846,0.0547833,0.0319795,0.0196324,0.0572854,0.0314177,0.0514686,0.0790591,0.0717198,0.0367162,0.0623472,0.0630683,0.0355902,0.0481534,0.0612537,0.0324108,0.0141491,0.0129743,0.0289837,0,0.0228248,0.0619758,0.0423892,0.0211062,0,0.0299424,0.0716157,0.0096793,0.0216141,0.0311604,0.0406228,0.0394886,0.021366,0.0324922,0.0494881,0.045989,0.0276076,0.0232974,0.0108029,0.0380546,0.00875134,0.0351592,0.0109317,0.0210482,0.053619,0.0469389,0,0,0,0,0.0216581
