Timestep,C7,CLAV,L5FT,L5HD,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,LANK
All Timesteps RMSE,0.0161636,0.0594975,0.0345558,0,0.0532686,0.0235643,0,0.0446108,0.0592003,0.0336914,0.0293394,0.0205167,0.0515366,0.0327748,0.0386295,0.0627196,0.0630678,0.0309442,0.0581241,0.0623654,0.0343236,0.0371349,0.0328377,0.0307091,0.0142844,0.0138086,0.0250926,0,0.0244721,0.0497669,0.0429636,0.0181123,0,0.0300487,0.074216,0.0229086,0.0192785,0.03066,0.0458659,0.0351245,0.0228805,0.0404468,0.0546539,0.0456679,0.0241068,0.0259552,0.0116702,0.0328184,0.0401413,0.0368105,0.00999347,0.0204963,0.0533787,0.049046,0,0,0,0,0.0201815
0,0.0171943,0.0586349,0.0416171,0,0.0510424,0.0247108,0,0.044516,0.057856,0.0310894,0.016319,0.0186656,0.049656,0.0317832,0.0319115,0.0590556,0.0629079,0.0292306,0.0512302,0.0562614,0.0245352,0.0308793,0.0072765,0.0281821,0.0143425,0.0133951,0.00673055,0,0.0229978,0.0441445,0.0436537,0.0201342,0,0.0300456,0.0721366,0.00860918,0.0177334,0.0336265,0.0496949,0.0384393,0.0176509,0.0452883,0.0540395,0.0407854,0.0217538,0.030801,0.0114982,0.0310363,0.0429026,0.0346622,0.00995442,0.0228412,0.0512569,0.0504319,0,0,0,0,0
1,0.0167708,0.0583567,0,0,0.0483429,0.0247398,0,0.0449046,0.0577021,0.0366104,0.0147963,0.024311,0.0500368,0.0319039,0.0322283,0.0612419,0.0640283,0.0286809,0.0454865,0.0507359,0.0172222,0.0287949,0.0181066,0.0278964,0.0143452,0.013757,0.0067087,0,0.022999,0.0431248,0.044045,0.0210928,0,0.0305692,0.0718949,0.00859496,0.0182368,0.0339801,0.0498623,0.0399238,0.0167003,0.0454185,0.0537517,0.0403603,0.0216052,0.0310239,0.0115097,0.031176,0.0427923,0.0336738,0.0100651,0.0235589,0.0514629,0.0506315,0,0,0,0,0
2,0.0166318,0.0579105,0,0,0.0474002,0.0247027,0,0.0450677,0.0575354,0.035563,0.0149699,0.0241876,0.0503514,0.0317505,0.0333178,0.0621026,0.0647115,0.0288542,0.0450135,0.0499891,0.0172301,0.0289596,0.0238359,0.0278767,0.0143818,0.0137899,0.00628196,0,0.0229385,0.0430988,0.0442034,0.0214527,0,0.0308861,0.0715821,0.00829992,0.0174322,0.0343942,0.0494344,0.0406104,0.0167884,0.0455179,0.0535386,0.0403201,0.0215215,0.0311056,0.011506,0.0309834,0.0420501,0.0333375,0.0101239,0.0237716,0.0515802,0.0506278,0,0,0,0,0
3,0.0166842,0.0582656,0,0,0.0464618,0.0246309,0,0.045233,0.0575644,0.036449,0.0154498,0.0238268,0.0504923,0.0316009,0.0345028,0.0629317,0.0652806,0.0291166,0.0451283,0.0498302,0.0177902,0.029305,0.0304332,0.0279593,0.0144465,0.0137938,0.00599717,0,0.0229765,0.0434256,0.0443509,0.0216209,0,0.0310858,0.0716239,0.00801155,0.0171765,0.0346904,0.0490037,0.0410225,0.0169453,0.0456146,0.0533111,0.0403617,0.0216332,0.0310512,0.0114679,0.0306316,0.0414848,0.0331918,0.0100888,0.0238787,0.0515309,0.0507487,0,0,0,0,0
4,0.0165603,0.0578549,0,0,0.0455131,0.0245373,0,0.0453866,0.0578073,0.0382044,0.0159326,0.0235347,0.050408,0.031591,0.0353598,0.063738,0.0659434,0.0294745,0.0455207,0.0499245,0.0186937,0.0299451,0.0360919,0.0281187,0.0144472,0.0139294,0.00592206,0,0.0232644,0.0440404,0.0443792,0.021619,0,0.0311399,0.0716946,0.00779936,0.0175373,0.0346041,0.0486508,0.0411494,0.0168361,0.0454988,0.0530988,0.0404917,0.0218626,0.0308739,0.0114475,0.0306402,0.0411515,0.0332063,0.00985084,0.0238352,0.0516008,0.0508285,0,0,0,0,0
5,0.0164222,0.0576378,0.0288241,0,0.0444754,0.0244682,0,0.0455407,0.058295,0.0365694,0.0166331,0.022267,0.0505836,0.0316897,0.0372038,0.0653755,0.0670153,0.0301019,0.0487655,0.0528412,0.0232966,0.0318057,0.0328003,0.0284019,0.0143005,0.0142003,0.00591003,0,0.0234699,0.0457984,0.0442361,0.0214386,0,0.0310606,0.071324,0.00721538,0.0180995,0.0343752,0.0485174,0.0409276,0.0163046,0.0454369,0.05313,0.0407185,0.0219596,0.0308864,0.0114875,0.0309204,0.040307,0.0333835,0.00948721,0.023625,0.0515201,0.0510997,0,0,0,0,0.0103747
6,0.0163279,0.0577332,0.0270623,0,0.0434898,0.0243934,0,0.0457123,0.0583806,0.0380011,0.0171439,0.0225096,0.0505701,0.0317609,0.0376678,0.0657066,0.0674952,0.0304372,0.0494776,0.0531797,0.0235504,0.0328149,0.0364195,0.0287182,0.0145701,0.0139833,0.00595301,0,0.0236627,0.0464546,0.0441376,0.0212513,0,0.0309826,0.0711864,0.00670206,0.0189881,0.0341789,0.0482849,0.0406854,0.0161711,0.0451709,0.053112,0.0409229,0.0220652,0.0308139,0.0115442,0.0314842,0.0392103,0.0336414,0.00940752,0.0232589,0.0515706,0.0512085,0,0,0,0,0.0101604
7,0.0162511,0.0578916,0.0272665,0,0.0425563,0.0243118,0,0.0457664,0.0585659,0.0396451,0.0176549,0.0227469,0.0506541,0.0319111,0.0382623,0.0661235,0.0677936,0.0306417,0.0503967,0.0537535,0.0241387,0.033984,0.0392531,0.0289531,0.0147787,0.0137996,0.00605057,0,0.0236865,0.0469604,0.0440484,0.0210487,0,0.0309104,0.071191,0.00627315,0.0197288,0.0339615,0.0480473,0.0403571,0.0162039,0.0446446,0.0531442,0.0411355,0.0221758,0.0309005,0.0116497,0.0318975,0.0378086,0.0339266,0.00959995,0.0228663,0.0516557,0.0513284,0,0,0,0,0.0106237
8,0.0161944,0.0579651,0.0278744,0,0.0420313,0.0242352,0,0.0457906,0.0588473,0.0410291,0.0184732,0.0229425,0.0508248,0.0320659,0.0388462,0.066573,0.0680054,0.0307228,0.0512652,0.0543543,0.0248142,0.0352196,0.041808,0.0291455,0.0147846,0.0137939,0.00623045,0,0.0236788,0.0470584,0.0439652,0.0208855,0,0.0308837,0.0711232,0.00608651,0.0197054,0.0336974,0.0478499,0.0399976,0.0164176,0.0442198,0.0531314,0.0414641,0.0222402,0.0310566,0.0117872,0.0321829,0.0364704,0.0341383,0.0100829,0.022457,0.0519058,0.0514096,0,0,0,0,0.0113285
9,0.0162299,0.0580782,0.0281094,0,0.0406009,0.0241503,0,0.0456897,0.0595074,0.0420507,0.0185257,0.0232292,0.0494946,0.031468,0.0390213,0.0669644,0.0679463,0.0304561,0.0520354,0.0548374,0.0253259,0.0364651,0.0437208,0.0293796,0.0146827,0.013643,0.00566813,0,0.0230911,0.0487776,0.0442218,0.0211153,0,0.030969,0.0695728,0.00758436,0,0.0322132,0.0482818,0.0405228,0.0174525,0.0444725,0.054358,0.0422683,0.0212694,0.0306394,0.0116139,0.031652,0.0371065,0.0339811,0.0105532,0.0222872,0.0527832,0.0507654,0,0,0,0,0.0116648
10,0.0160114,0.0581289,0,0,0.0416619,0.0240863,0,0.0458516,0.05902,0.0445911,0.0195058,0.0238624,0.051268,0.0322512,0.0387626,0.0666196,0.0678884,0.0303294,0.0498159,0.0528658,0.0215871,0.0354433,0.0527465,0.0294878,0.0146756,0.0138383,0.00750401,0,0.0236176,0.0466266,0.0438759,0.020992,0,0.0307828,0.0711413,0.00593564,0.0194201,0.0335127,0.0475918,0.0398062,0.0170332,0.0427038,0.0528846,0.0421874,0.0222689,0.0315176,0.0119743,0.0327783,0.0330529,0.034225,0.010514,0.0218683,0.0523467,0.0512387,0,0,0,0,0.00685362
11,0.0158514,0.0582274,0.028503,0,0.0407152,0.0241556,0,0.0460227,0.0594275,0.0434558,0.0206917,0.0230009,0.05201,0.0326922,0.0405669,0.0679543,0.0683599,0.0305014,0.053287,0.0555674,0.0261134,0.0383171,0.0472416,0.0295673,0.0149245,0.0136901,0.00825872,0,0.0234756,0.0483757,0.0437849,0.0210444,0,0.0307995,0.0705755,0.00606109,0.0199084,0.0330306,0.0472605,0.0395362,0.0172098,0.0424909,0.052948,0.0426465,0.022267,0.0315334,0.0120047,0.0330548,0.0316404,0.0342548,0.0103395,0.021848,0.0522889,0.0512455,0,0,0,0,0.0118785
12,0.0156922,0.0583137,0.028662,0,0.0404849,0.0242754,0,0.0461282,0.0594881,0.0443113,0.0214485,0.0226876,0.0525981,0.0329666,0.0412545,0.0685096,0.0683515,0.0306386,0.0539214,0.0559851,0.0265001,0.0391106,0.0487434,0.0296342,0.015051,0.0135706,0.00926705,0,0.0234332,0.0490482,0.0437585,0.0211272,0,0.0308771,0.0703528,0.00625312,0.0203212,0.0326952,0.0470515,0.039509,0.0176375,0.0421299,0.0528561,0.043155,0.0223249,0.0313956,0.0120011,0.0333436,0.0298313,0.0341723,0.010309,0.0218692,0.0525719,0.051088,0,0,0,0,0.0120725
13,0.0155699,0.0583541,0.0289853,0,0.0403823,0.0243458,0,0.0459978,0.0593952,0.0451539,0.0221742,0.0223373,0.0532551,0.0331526,0.0418428,0.0687336,0.0682408,0.0308261,0.0544625,0.0564739,0.0270466,0.03989,0.0502165,0.0296988,0.0147633,0.0137763,0.0104179,0,0.0233892,0.0495088,0.0437509,0.021274,0,0.0309231,0.0702951,0.00646939,0.0205586,0.0324375,0.0469568,0.0395322,0.018102,0.0417393,0.0527983,0.0436539,0.0224357,0.0312342,0.0119745,0.0336321,0.0281325,0.0340254,0.0102671,0.0218978,0.0530217,0.0508893,0,0,0,0,0.0124061
14,0.0155316,0.0583426,0.0292866,0,0.0401813,0.0244718,0,0.0461501,0.059331,0.0460006,0.0230407,0.0220703,0.0538671,0.0333868,0.0424511,0.0689097,0.0683032,0.0311356,0.0552801,0.057002,0.027726,0.0406953,0.0516108,0.0297733,0.0149568,0.0136759,0.011396,0,0.0233675,0.0503512,0.0437582,0.0214805,0,0.0309288,0.0702891,0.00662735,0.0202495,0.0321668,0.0468075,0.0395431,0.0184379,0.0415147,0.0528067,0.0440586,0.0225803,0.0310483,0.0119078,0.0339101,0.0268971,0.0338495,0.0102363,0.0219206,0.0534836,0.0506019,0,0,0,0,0.0128502
15,0.0154859,0.0583807,0.0296639,0,0.0399223,0.0246358,0,0.0462453,0.0595592,0.0471456,0.0240037,0.0216246,0.0544001,0.0335942,0.0429912,0.0692685,0.0684019,0.0315272,0.0561772,0.0576432,0.0285262,0.0415984,0.0533053,0.0298171,0.0150992,0.0135773,0.0121423,0,0.023415,0.0514767,0.0437248,0.021727,0,0.0309697,0.0703072,0.00685174,0.0197012,0.03189,0.046515,0.0395994,0.0187164,0.0414696,0.0528171,0.0444112,0.022685,0.0308603,0.0118174,0.0339818,0.0258278,0.0337344,0.0102878,0.0218775,0.0534766,0.0502339,0,0,0,0,0.0133206
16,0.0154717,0.0583667,0.0300953,0,0.0398194,0.0247316,0,0.0459242,0.0598645,0.0485505,0.0250341,0.0211134,0.0551111,0.0337119,0.0435166,0.069764,0.0683846,0.0318453,0.0571375,0.0583639,0.0293571,0.0425265,0.0552774,0.0299122,0.0149088,0.0135673,0.0129174,0,0.0234396,0.0521612,0.0436764,0.0218337,0,0.031033,0.0704249,0.00702565,0.0199255,0.031611,0.0462083,0.0395968,0.0190045,0.041172,0.0527751,0.0448913,0.0228192,0.0306881,0.0117872,0.0337168,0.0246129,0.0337075,0.0103823,0.0217589,0.0536014,0.0499183,0,0,0,0,0.0137155
17,0.0155125,0.0583284,0.030658,0,0.0398695,0.0247188,0,0.0453965,0.0600435,0.0500617,0.0260967,0.0207233,0.055849,0.033693,0.0443412,0.0704229,0.0683929,0.032148,0.05814,0.0592849,0.030234,0.0434143,0.0576279,0.030085,0.0143983,0.0138215,0.0138488,0,0.0234733,0.0529088,0.0436637,0.0218955,0,0.0309983,0.0705467,0.00718379,0.0204252,0.0314152,0.0458483,0.0394615,0.0193362,0.040817,0.0527107,0.0454033,0.0229893,0.0305365,0.0118338,0.0337393,0.0234265,0.0337201,0.0104142,0.0215489,0.0538622,0.0495944,0,0,0,0,0.0140927
18,0.0155841,0.058438,0.0315182,0,0.0402691,0.0246038,0,0.0449686,0.0601305,0.0518726,0.0272427,0.0195325,0.056484,0.0336191,0.0452625,0.0707699,0.0682282,0.0328145,0.0592973,0.0609149,0.0313292,0.0439388,0.0613125,0.0302967,0.0139508,0.0141381,0.0146814,0,0.0235245,0.0538202,0.0436467,0.0218166,0,0.0307648,0.0706479,0.00737848,0.0207303,0.0312419,0.0452446,0.0390781,0.0197301,0.0404218,0.0526868,0.0458741,0.023141,0.030308,0.0118415,0.0341937,0.0222597,0.0339107,0.0103953,0.0212224,0.0537498,0.0490874,0,0,0,0,0.0147905
19,0.01559,0.0585535,0.0323128,0,0.0400333,0.0245316,0,0.0447288,0.0604848,0.0528991,0.0280863,0.0198278,0.0568278,0.0336336,0.0461769,0.0716765,0.0682519,0.0330219,0.0599753,0.0615703,0.0318309,0.0445053,0.0632744,0.0304443,0.0138291,0.0142695,0.0155508,0,0.0235566,0.055002,0.0436822,0.0218555,0,0.0306744,0.0706566,0.00747939,0.0207896,0.0310319,0.0449562,0.0391679,0.0200406,0.0400139,0.0526586,0.046338,0.0233106,0.030216,0.0118911,0.0350228,0.0211229,0.0339549,0.0104451,0.0210906,0.0536141,0.0488733,0,0,0,0,0.0149067
20,0.0156303,0.058691,0.0331672,0,0.0404013,0.0245468,0,0.0448149,0.0610751,0.0537008,0.0290947,0.0197147,0.0571227,0.0335856,0.0469168,0.0723128,0.0683565,0.0333804,0.0607192,0.0623561,0.0324964,0.0447218,0.0657893,0.0306763,0.0143991,0.0136677,0.0164521,0,0.0236045,0.0561522,0.0436909,0.021817,0,0.0306107,0.0706493,0.0075029,0.0208451,0.0308987,0.044641,0.0392062,0.02032,0.0395264,0.0525859,0.0468105,0.0234659,0.0300357,0.0119176,0.0355135,0.020002,0.0340564,0.010528,0.0208918,0.053606,0.0486104,0,0,0,0,0.015073
21,0.0156648,0.0588097,0.0336675,0,0.0410124,0.0245859,0,0.0450338,0.0615455,0.0538742,0.0300144,0.0195737,0.0573437,0.0335515,0.0475781,0.0731556,0.0685394,0.0337559,0.0614645,0.0631007,0.0332294,0.0448035,0.0675804,0.0308585,0.0149097,0.0130199,0.0170935,0,0.0237623,0.0573691,0.0437005,0.0219088,0,0.0305758,0.0705694,0.00755645,0.0211264,0.0306281,0.0442691,0.0393124,0.0206049,0.0389331,0.0524375,0.0472244,0.0237146,0.0297535,0.0119983,0.0357068,0.019103,0.0340847,0.0107275,0.0205499,0.0535777,0.0483957,0,0,0,0,0.0151264
22,0.0156253,0.0589927,0.034014,0,0.0412865,0.0246464,0,0.0453261,0.0618345,0.0538921,0.030717,0.0193206,0.0575882,0.0335363,0.0482329,0.0741342,0.0684917,0.0341411,0.0621792,0.063807,0.0339688,0.0450702,0.068674,0.0310296,0.0156983,0.0121801,0.0178737,0,0.0238778,0.0583639,0.0437487,0.0218256,0,0.0306066,0.0703823,0.00753386,0.0210832,0.0305458,0.0439385,0.039309,0.0207859,0.0384804,0.0523098,0.0475276,0.0240262,0.0295445,0.0120943,0.0358085,0.0179977,0.0342243,0.0106852,0.0204527,0.0535574,0.0481437,0,0,0,0,0.0151806
23,0.0156151,0.0591585,0.0337551,0,0.0417498,0.0245611,0,0.045272,0.0620078,0.0533973,0.0315833,0.0188865,0.0577122,0.0335826,0.0487674,0.0752724,0.0685087,0.0346686,0.0627672,0.0645061,0.0347165,0.045297,0.0686214,0.0311754,0.015663,0.0120677,0.0187502,0,0.0241108,0.0593592,0.0437562,0.0218285,0,0.0306617,0.0702996,0.007625,0.0211509,0.0303867,0.0436463,0.0393883,0.0210661,0.0378382,0.0521663,0.0478443,0.024364,0.0293119,0.0121583,0.0359048,0.0170766,0.0343368,0.0107117,0.02034,0.0537223,0.0478772,0,0,0,0,0.0152668
24,0.0156801,0.0593123,0.0329689,0,0.0420177,0.0243612,0,0.0449657,0.0624299,0.0523806,0.0325087,0.0184448,0.0577383,0.0334996,0.0495885,0.0763142,0.0687117,0.035242,0.0631677,0.0651165,0.0353209,0.045319,0.0673402,0.0313482,0.0152961,0.0122629,0.019715,0,0.0243088,0.059812,0.0438153,0.0217232,0,0.0307154,0.0702984,0.00766989,0.0213799,0.030407,0.0433111,0.0394357,0.0211576,0.0373161,0.0519845,0.0479568,0.0246133,0.0291454,0.0121647,0.036361,0.0161604,0.0344708,0.0107156,0.0202885,0.0541461,0.0475885,0,0,0,0,0.0152331
25,0.015855,0.0593587,0.0317124,0,0.0424832,0.024247,0,0.0449476,0.0628589,0.0508456,0.0343557,0.0177701,0.0576523,0.0330889,0.0503211,0.0769261,0.0688711,0.0357396,0.0634889,0.0656011,0.0359401,0.0451849,0.0649402,0.0315626,0.0153874,0.0121302,0.0205982,0,0.0244936,0.0601681,0.0438893,0.0217018,0,0.0307745,0.0704332,0.00767401,0.0216317,0.030443,0.0428955,0.0394918,0.0212278,0.0368246,0.0517761,0.0480442,0.024863,0.0289935,0.0121998,0.0366207,0.015412,0.0345198,0.0107595,0.0202483,0.0547373,0.0473477,0,0,0,0,0.0152681
26,0.0159484,0.0594682,0.0299383,0,0.0429666,0.0241108,0,0.0447558,0.0630619,0.0489836,0.0356201,0.0169278,0.057544,0.0327723,0.0507669,0.0772857,0.068726,0.0362121,0.0637272,0.0660158,0.0365329,0.0448782,0.0613785,0.0317171,0.0151932,0.0122521,0.02155,0,0.0247089,0.0604865,0.0439403,0.0217049,0,0.0308252,0.0704505,0.00771304,0.0217758,0.0305049,0.0425873,0.0395323,0.0213941,0.0363084,0.0515881,0.0481883,0.0251314,0.0288651,0.0122788,0.0371731,0.0147152,0.0346136,0.0107784,0.0201284,0.0549606,0.0470763,0,0,0,0,0.0154453
27,0.0160367,0.0595826,0.0277986,0,0.043673,0.0240481,0,0.0448989,0.0632455,0.0469673,0.0361403,0.0160775,0.057512,0.0324401,0.0508704,0.0774906,0.0685569,0.0366668,0.0639282,0.0664127,0.0371581,0.0444109,0.0566723,0.0319454,0.0155563,0.0118836,0.0224092,0,0.024952,0.0607869,0.0440015,0.0216363,0,0.0308186,0.0706127,0.0077499,0.0220137,0.0305974,0.0424721,0.0394174,0.0216566,0.0357145,0.0513892,0.0483961,0.0253477,0.0286577,0.0123895,0.0376641,0.0137753,0.0347592,0.010822,0.0200361,0.0552567,0.0468473,0,0,0,0,0.0157458
28,0.0161258,0.0596977,0.0255463,0,0.0443592,0.023879,0,0.0445872,0.0633949,0.0448936,0.0353933,0.0152819,0.0575378,0.0318942,0.0509103,0.0777316,0.0684916,0.0370054,0.0640463,0.0668969,0.0380123,0.04386,0.0509071,0.0321966,0.0151275,0.0121508,0.0230257,0,0.0251282,0.0609741,0.0440473,0.0214847,0,0.0307912,0.0709828,0.00776594,0.0223519,0.0307724,0.0425018,0.0392086,0.0219082,0.0350975,0.0511755,0.0485306,0.025365,0.0284802,0.012472,0.0381315,0.0128199,0.0349748,0.01084,0.019889,0.0552364,0.0466558,0,0,0,0,0.0161534
29,0.0162602,0.0597839,0.023675,0,0.0450738,0.0236999,0,0.0443052,0.0632981,0.0427651,0.0337397,0.0144573,0.0575737,0.031514,0.050988,0.0777491,0.0684226,0.0374162,0.0640013,0.0671843,0.0385761,0.0432144,0.0442892,0.0324999,0.0150627,0.0120677,0.0235509,0,0.0254246,0.0610039,0.0441044,0.0213356,0,0.0307619,0.0712507,0.00769277,0.022528,0.0310177,0.0425819,0.0389731,0.0220908,0.0344789,0.0508193,0.0485359,0.0255243,0.0283074,0.0124333,0.0384313,0.0121711,0.0352481,0.0108404,0.0197199,0.0554659,0.0464522,0,0,0,0,0.0166803
30,0.0164643,0.0598267,0.0227926,0,0.0459584,0.0236732,0,0.0442542,0.063142,0.0408387,0.0335316,0.0137624,0.0572535,0.0309722,0.0512386,0.0775006,0.0683482,0.0378228,0.0638738,0.0673597,0.0389238,0.0424225,0.0375897,0.0327436,0.0153223,0.0117248,0.0241291,0,0.025711,0.0607747,0.0441865,0.0212,0,0.030727,0.0714319,0.00762957,0.0225171,0.0312683,0.042396,0.0387799,0.0222371,0.0339324,0.0504106,0.0484943,0.0260209,0.0281677,0.0123432,0.0385562,0.0116585,0.0354438,0.0108631,0.0196115,0.0555117,0.0462183,0,0,0,0,0.0172941
31,0.0166367,0.0599133,0.0231976,0,0.046957,0.0236627,0,0.0441871,0.0630429,0.0392607,0.0336496,0.013609,0.056805,0.0305807,0.0510855,0.0767091,0.0680766,0.0381826,0.0635168,0.0674571,0.0392368,0.0416659,0.0310926,0.0329507,0.0154492,0.011535,0.0248321,0,0.0259162,0.0605129,0.0442571,0.0210846,0,0.0307112,0.0717274,0.00753779,0.0227025,0.0315358,0.0423997,0.0385947,0.0224178,0.033435,0.0500473,0.0484929,0.0264879,0.0280159,0.0123135,0.0384641,0.011133,0.0356519,0.0108925,0.0195154,0.0556984,0.0460489,0,0,0,0,0.0181051
32,0.0168645,0.0600108,0.0238092,0,0.0483386,0.0232456,0,0.0442802,0.0622986,0.038143,0.0336852,0.0142374,0.0562849,0.0300608,0.0509437,0.0754791,0.0679089,0.038831,0.0630464,0.0674616,0.039595,0.0406985,0.0253722,0.0332714,0.0149701,0.0120267,0.0258934,0,0.0260885,0.0598185,0.0443326,0.0208673,0,0.0306638,0.0723142,0.00732838,0.0227204,0.0319752,0.0424395,0.0383123,0.0227009,0.0329788,0.0496949,0.0485524,0.0267611,0.0278275,0.0123277,0.0382821,0.0103607,0.0358684,0.0108257,0.0194378,0.0554738,0.0458695,0,0,0,0,0.0195351
33,0.0170382,0.0601598,0.0257039,0,0.0490008,0.0232504,0,0.044139,0.0615982,0.0371008,0.0330843,0.0157702,0.0558326,0.0297046,0.0507431,0.0741571,0.067615,0.039175,0.0626102,0.0673666,0.0397903,0.0398173,0.0198614,0.0335069,0.0151196,0.0118102,0.0265396,0,0.0264165,0.0589059,0.0443969,0.0205717,0,0.030568,0.0728762,0.00714963,0.0229302,0.0323371,0.0424582,0.0380275,0.022766,0.0323941,0.0492369,0.0483168,0.0268605,0.0277975,0.0123132,0.0387678,0.00991576,0.0361391,0.010828,0.0193651,0.0553601,0.0457393,0,0,0,0,0.0205791
34,0.0172114,0.0603721,0.0266147,0,0.0499866,0.0232386,0,0.0442179,0.0606625,0.0367685,0.0327871,0.0183608,0.0553457,0.0296425,0.0502764,0.0721511,0.0672726,0.0394338,0.0617771,0.0668887,0.039862,0.0385629,0.0163844,0.0337782,0.0153244,0.0116364,0.0275383,0,0.0266688,0.0578504,0.0444471,0.0201995,0,0.0304234,0.0735917,0.00689113,0.0231405,0.0328456,0.0425153,0.0377269,0.0229789,0.0318144,0.0487145,0.0482056,0.0270573,0.0279179,0.0122909,0.0391938,0.00915053,0.0364649,0.0107968,0.0192372,0.055403,0.0456012,0,0,0,0,0.0221002
35,0.0172637,0.0606539,0.02651,0,0.0510286,0.0232969,0,0.0443913,0.0599111,0.0369614,0.0325712,0.021153,0.0548213,0.0297382,0.0495447,0.0697848,0.0669028,0.0391138,0.0607018,0.0661,0.0396612,0.0371488,0.0147224,0.0339984,0.0157081,0.0112165,0.0285457,0,0.0267982,0.0569732,0.0444022,0.0198083,0,0.0302461,0.0742666,0.00670623,0.0233395,0.0333219,0.0425556,0.0374571,0.0231443,0.0313481,0.0481924,0.0480479,0.0273336,0.0279389,0.012296,0.0393595,0.00844811,0.0367869,0.0107187,0.0191246,0.055532,0.0455167,0,0,0,0,0.0237161
36,0.0173042,0.0608428,0.0254796,0,0.0518912,0.0234792,0,0.0445771,0.0595331,0.0376721,0.0323374,0.0238883,0.0542867,0.0292508,0.0488289,0.0674923,0.0665959,0.0383077,0.0594058,0.0651127,0.0391947,0.035686,0.0149668,0.0341844,0.0161148,0.0107094,0.029409,0,0.0267837,0.0564293,0.0443101,0.0195026,0,0.0301274,0.0748588,0.00654407,0.0234203,0.0336665,0.0425615,0.0371847,0.0232146,0.030933,0.0478057,0.0478132,0.0275989,0.0278704,0.0123047,0.0394187,0.0079527,0.0369868,0.0106468,0.0190591,0.0557172,0.0456216,0,0,0,0,0.0251206
37,0.0173023,0.0608764,0.0283288,0,0.0525473,0.0226335,0,0.045181,0.0590764,0.0394639,0.0317412,0.0211254,0.0532922,0.0281908,0.0467113,0.0662161,0.0661508,0.0367101,0.060644,0.0663826,0.0395529,0.0366179,0.0152485,0.0340325,0.0147871,0.0105795,0.0273388,0,0.0262914,0.0562463,0.044057,0.0195163,0,0.0302808,0.0755147,0.00604206,0.0232983,0.0346607,0.0413445,0.0369252,0.0233748,0.029797,0.0470685,0.0473896,0.0286326,0.0265798,0.0119634,0.0401734,0.00908894,0.0369067,0.0101275,0.018949,0.0563176,0.045685,0,0,0,0,0.0238379
38,0.017219,0.0609321,0.0311178,0,0.05293,0.0215344,0,0.0454546,0.0585637,0.0412187,0.0314404,0.0202031,0.05254,0.0279239,0.0450206,0.0656176,0.0661939,0.0358106,0.0620154,0.0677379,0.0400981,0.0374879,0.0167917,0.0339939,0.0134943,0.0112856,0.027847,0,0.0260711,0.05609,0.0439889,0.0193562,0,0.0304207,0.075862,0.00578946,0.0233777,0.0351954,0.0406086,0.0365525,0.0231688,0.0296819,0.0465877,0.0469138,0.0288581,0.026607,0.0119375,0.0402271,0.00868599,0.0370577,0.00968898,0.0187058,0.0566511,0.0457268,0,0,0,0,0.0230265
39,0.0170469,0.061087,0.0334626,0,0.0530341,0.0214265,0,0.0455274,0.0581479,0.0425512,0.0313555,0.0203488,0.0519411,0.0281125,0.0438082,0.0652269,0.0662941,0.0356249,0.0631035,0.0688035,0.0405937,0.0382083,0.0180753,0.0338406,0.0132883,0.0109085,0.0276257,0,0.0260779,0.0562257,0.0437744,0.0191557,0,0.0305217,0.0762351,0.00607953,0.0235937,0.0350609,0.0401017,0.0361799,0.0230575,0.0293129,0.0462171,0.0465822,0.0288591,0.0265242,0.011925,0.0401016,0.00897951,0.0372656,0.00939388,0.018587,0.0568516,0.0458144,0,0,0,0,0.0225715
40,0.0169655,0.0612363,0.0353732,0,0.0530293,0.0213241,0,0.0458873,0.0580084,0.04301,0.0313837,0.0207276,0.0516132,0.028224,0.0431309,0.0648157,0.0662144,0.0357328,0.0637572,0.0694017,0.0409489,0.038574,0.0187194,0.0338954,0.0136211,0.0104082,0.0279543,0,0.0257343,0.0561957,0.0436685,0.0188456,0,0.0304481,0.0765899,0.00613525,0.0237046,0.0352178,0.0399123,0.0357657,0.0228271,0.0290406,0.0459351,0.0464414,0.0287717,0.0264379,0.0118244,0.0401003,0.0089495,0.03747,0.00921101,0.0184745,0.0568038,0.0459954,0,0,0,0,0.0220905
41,0.0170003,0.0614219,0.0365262,0,0.0528412,0.021464,0,0.0461201,0.0581072,0.042548,0.0314586,0.0210646,0.0514968,0.0283327,0.0430633,0.0645835,0.0659863,0.0358562,0.0638489,0.0695324,0.0411082,0.0385878,0.0184517,0.0339781,0.0141415,0.00992745,0.0283278,0,0.0252712,0.0562007,0.0436054,0.0185217,0,0.0303907,0.0769094,0.00628483,0.0237307,0.0352277,0.0400312,0.0353462,0.0226361,0.0289102,0.0457454,0.0463405,0.0286773,0.026366,0.0117221,0.0401027,0.00897453,0.0376624,0.00917876,0.0184674,0.0566143,0.0462434,0,0,0,0,0.0216487
