Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,x59
243,0.0181222,0.0571723,0.0476974,0,0.0222018,0.0702871,0.0220754,0,0.0435473,0.0610741,0.016573,0.0246481,0.0189094,0.0411591,0.0312093,0.0235596,0.048326,0.055648,0.0296393,0.0567466,0.0621574,0.0344421,0.03348,0.0248196,0.0295366,0.0136301,0.0132912,0.025408,0,0.0256529,0.0479101,0.0420098,0.0141951,0,0.0285599,0.0750568,0.0139446,0.0171088,0.0320295,0.048403,0.0266447,0.0260806,0.0460046,0.0549185,0.0471719,0.027972,0.0267061,0.0065861,0.037069,0.0200325,0.0409942,0.00979146,0.0177999,0.0486223,0.0503318,0,0,0,0,0
244,0.0179154,0.0573108,0.0486651,0,0.021267,0.0703058,0.0220949,0,0.0435463,0.0608139,0.0166937,0.0241051,0.0184013,0.0406626,0.0311045,0.023399,0.0485157,0.0556296,0.0295392,0.0566944,0.0622187,0.0343007,0.0334984,0.0256542,0.0296969,0.0136724,0.013239,0.0237728,0,0.0254688,0.0478653,0.0419515,0.0141535,0,0.0285709,0.0747609,0.0128689,0.0169854,0.0317503,0.048332,0.026763,0.0255375,0.0462552,0.0551132,0.0466227,0.0279747,0.0266073,0.00634713,0.0364454,0.021274,0.0410876,0.00980553,0.017844,0.0487845,0.0502935,0,0,0,0,0
245,0.0177487,0.0574162,0.0509725,0,0.0200484,0.0697575,0.0222969,0,0.0433491,0.0607122,0.0170155,0.0233831,0.0180206,0.0400045,0.030945,0.0232361,0.048884,0.0554422,0.0293379,0.0568759,0.0625877,0.0341535,0.0337809,0.0276079,0.0299907,0.0140258,0.012847,0.0211708,0,0.0248471,0.0482224,0.0418922,0.0146023,0,0.028355,0.0744018,0.0114674,0.017438,0.0325828,0.0480994,0.0269236,0.0249959,0.0460247,0.054983,0.0461944,0.0279855,0.0265137,0.00663792,0.0361021,0.0219455,0.041225,0.010192,0.0172312,0.0490887,0.0500763,0,0,0,0,0
246,0.0175908,0.0574335,0.0513992,0,0.0192224,0.0692177,0.022416,0,0.0433025,0.0608385,0.0176111,0.0228204,0.0179335,0.0395719,0.030719,0.02325,0.0489757,0.0553431,0.0290724,0.0568586,0.0626796,0.0340984,0.03369,0.0274404,0.0303468,0.0140188,0.0127608,0.0190801,0,0.0241973,0.0486614,0.0417638,0.0145414,0,0.0283968,0.0742561,0.00987816,0.0181111,0.0345832,0.0479748,0.0269246,0.024625,0.0452469,0.0544083,0.0461292,0.0274318,0.0271356,0.00742785,0.0356743,0.0215165,0.0413883,0.0102212,0.0172299,0.04942,0.0498787,0,0,0,0,0
247,0.0174401,0.0575124,0.0523501,0,0.0181787,0.0683231,0.0222836,0,0.043191,0.0609867,0.0185867,0.0221652,0.0179136,0.0392717,0.0306712,0.0232328,0.049185,0.0551699,0.0287264,0.0569038,0.0628213,0.0339763,0.033696,0.0280397,0.0306377,0.0140154,0.0126966,0.0176024,0,0.0239403,0.0491576,0.0417166,0.0143143,0,0.0284104,0.0739309,0.00834785,0.0186851,0.0366154,0.0477652,0.0269628,0.0245208,0.0443276,0.0538721,0.0465607,0.0263492,0.0284012,0.0085146,0.0351126,0.0216277,0.0415479,0.0102105,0.017273,0.0497639,0.0496213,0,0,0,0,0
248,0.0172828,0.0576252,0.0532676,0,0.0169984,0.0672574,0.0221946,0,0.0431065,0.061026,0.0198424,0.0216647,0.0179439,0.0391151,0.0306394,0.023228,0.0495053,0.0549946,0.0284575,0.056905,0.0629303,0.033711,0.0337224,0.0284775,0.0308671,0.0140144,0.0126583,0.0159498,0,0.0239697,0.0494786,0.0417771,0.0139933,0,0.028456,0.0735231,0.00715554,0.0191315,0.0376327,0.0475574,0.0271421,0.024533,0.0437133,0.0536654,0.0471855,0.0254059,0.0298363,0.00955782,0.0347947,0.022623,0.0416336,0.0101742,0.0174015,0.0500966,0.0494234,0,0,0,0,0
249,0.0170658,0.0577377,0.0538218,0,0.0157671,0.0662638,0.0222096,0,0.0431438,0.060919,0.0213821,0.0209043,0.017937,0.039165,0.0305616,0.0232385,0.0499507,0.0549566,0.0282795,0.0568195,0.0628832,0.0333155,0.0336745,0.0283638,0.0310499,0.0140285,0.01267,0.0137679,0,0.0239772,0.0494358,0.0417823,0.0138692,0,0.0286173,0.0732587,0.00644139,0.0192565,0.0368271,0.0474086,0.0274277,0.0240311,0.0437051,0.0536176,0.0469936,0.0249501,0.0308928,0.0101624,0.0346459,0.0249453,0.0416198,0.0101254,0.0176002,0.0504252,0.0493579,0,0,0,0,0
250,0.0168123,0.0578492,0.0539544,0,0.0145208,0.0655931,0.0222786,0,0.0432412,0.0607429,0.0232442,0.020225,0.0179337,0.0392822,0.0304578,0.0233245,0.0505776,0.0550628,0.0279695,0.0566601,0.0627174,0.0328129,0.0335545,0.0275924,0.0311861,0.014068,0.0126903,0.0116587,0,0.023699,0.0489989,0.0417777,0.0138502,0,0.0288111,0.0733017,0.00657079,0.018931,0.0350446,0.0473827,0.0279714,0.0228252,0.043914,0.0533365,0.0456123,0.0247747,0.0310875,0.0100933,0.034424,0.0280152,0.0415052,0.0100745,0.0178709,0.0507154,0.049333,0,0,0,0,0
251,0.0164975,0.0579224,0.053686,0,0.0133752,0.0649009,0.0222371,0,0.0433041,0.0607777,0.0252926,0.0196041,0.0179577,0.0396885,0.0302914,0.0235752,0.0512964,0.0553185,0.0273875,0.0564498,0.062506,0.032237,0.0334326,0.0262795,0.0312536,0.0141028,0.0127115,0.0103394,0,0.0231385,0.0485214,0.0417994,0.0137441,0,0.0290083,0.0735213,0.00742964,0.018317,0.0339649,0.0472773,0.0287275,0.0214718,0.0439546,0.052895,0.0438219,0.0247772,0.0305274,0.00953895,0.0340091,0.0306165,0.0412392,0.0100172,0.0182394,0.0508698,0.049315,0,0,0,0,0
252,0.0162567,0.0579614,0.0530262,0,0.0124109,0.0638481,0.0222523,0,0.0434047,0.0609442,0.0272911,0.018992,0.0179682,0.0403909,0.0301465,0.0239414,0.0520443,0.0556776,0.0270221,0.0561131,0.0622611,0.0315182,0.0331526,0.024653,0.0312714,0.0141345,0.0127499,0.00969583,0,0.0226046,0.0481531,0.0418106,0.0137422,0,0.0292824,0.0736116,0.00845079,0.0177538,0.0338896,0.0470655,0.0295473,0.0206068,0.0437421,0.0525145,0.0425832,0.0245915,0.0298791,0.00895155,0.0336456,0.0321884,0.0408934,0.0100002,0.0186661,0.0509164,0.0492662,0,0,0,0,0
253,0.016071,0.0579886,0.0518636,0,0.0118926,0.0624107,0.0222622,0,0.043587,0.0612082,0.028998,0.0183814,0.0180345,0.04129,0.0301512,0.02436,0.0527141,0.0560563,0.0268687,0.0555856,0.0618967,0.0305518,0.0326583,0.0229794,0.0312229,0.0141712,0.0128471,0.00918245,0,0.0222503,0.0478438,0.041784,0.0138704,0,0.0295045,0.073483,0.0091057,0.0173418,0.034131,0.0468115,0.0303728,0.0201954,0.0433096,0.0520993,0.0420396,0.0240605,0.0296278,0.00874735,0.0331806,0.0330954,0.0405004,0.0100537,0.019135,0.0509072,0.0491737,0,0,0,0,0
254,0.015958,0.05803,0.050328,0,0.0117401,0.0607467,0.022287,0,0.0438198,0.0614943,0.0302782,0.0178133,0.0181742,0.0421843,0.0302331,0.0247889,0.0532698,0.056491,0.026906,0.0548029,0.0612545,0.0292926,0.0320592,0.0211025,0.0310794,0.0141836,0.0130114,0.00857634,0,0.0221738,0.0475432,0.0419269,0.014242,0,0.0296315,0.0732396,0.00935557,0.0172222,0.0344079,0.0465494,0.0312477,0.0199179,0.0427814,0.0516306,0.0417927,0.0233029,0.0298596,0.00906775,0.0325616,0.0337936,0.0400412,0.00998907,0.0196626,0.0508525,0.0491368,0,0,0,0,0
255,0.0158453,0.0580882,0.0484804,0,0.0116539,0.0589827,0.0224546,0,0.044089,0.0613235,0.0312757,0.0175229,0.0182995,0.0432036,0.0303976,0.0252128,0.0536925,0.0569587,0.0269258,0.0538699,0.0603641,0.027898,0.0314097,0.0189012,0.0308496,0.0141243,0.0132253,0.00789987,0,0.0223436,0.0471256,0.0420329,0.0148205,0,0.0299255,0.072987,0.00924718,0.0174428,0.0345329,0.0462883,0.032207,0.0196208,0.042332,0.0513902,0.041527,0.0227068,0.0302177,0.00964008,0.0319124,0.0344547,0.0394147,0.00990635,0.0202897,0.0507675,0.0491679,0,0,0,0,0
256,0.0156925,0.0580799,0.0464198,0,0.0115239,0.0572471,0.022749,0,0.044245,0.0611346,0.0319951,0.0174173,0.0182086,0.0442776,0.0306996,0.0260133,0.054086,0.057565,0.0269793,0.052941,0.0593688,0.0265725,0.0310031,0.016534,0.0305732,0.0140128,0.0134375,0.00730809,0,0.0223997,0.0466107,0.0420152,0.0155902,0,0.0302548,0.0727471,0.00842895,0.0177153,0.0343938,0.0462849,0.0333235,0.0192789,0.0420047,0.0513143,0.0411114,0.0224072,0.0302554,0.0101529,0.0314961,0.0351898,0.0386746,0.00983248,0.0209613,0.0506209,0.0493625,0,0,0,0,0
257,0.0150162,0.0584406,0.0441032,0,0.0112649,0.0557672,0.0252778,0,0.0430496,0.0607914,0.0324106,0.0173818,0.018149,0.0452843,0.0317266,0.0274043,0.054478,0.0583072,0.0272095,0.0523379,0.0585226,0.0257152,0.0310772,0.0138616,0.0298152,0.0150755,0.0120476,0.00732056,0,0.0223133,0.0459014,0.042031,0.0196802,0,0.0290378,0.0726873,0.00694376,0.0179088,0.0348823,0.0463644,0.0355674,0.0186193,0.0419688,0.0511375,0.040426,0.0224727,0.0301985,0.0104758,0.0310965,0.035204,0.0376762,0.0113543,0.0188986,0.0508196,0.0493885,0,0,0,0,0
258,0.0155289,0.0579534,0.0415675,0,0.0111111,0.0544958,0.0238204,0,0.0439948,0.0604119,0.0327178,0.017222,0.0176434,0.0461488,0.0314829,0.0286083,0.05535,0.0595941,0.0280511,0.0518453,0.0576616,0.0252148,0.0314211,0.0120924,0.029923,0.0140805,0.0133456,0.00671856,0,0.0227439,0.0459964,0.0423435,0.0177442,0,0.0304134,0.0719685,0.0066672,0.0187384,0.0344466,0.0468636,0.0359122,0.0182067,0.0417538,0.0511977,0.0400797,0.0225534,0.0296764,0.0106448,0.0307291,0.0364201,0.0370619,0.0101771,0.021557,0.0504258,0.0497015,0,0,0,0,0
259,0.0156672,0.0577268,0.0389047,0,0.0115895,0.0536347,0.0238293,0,0.0443172,0.0601815,0.0331135,0.0171898,0.0172321,0.0469573,0.0316484,0.0296379,0.0562962,0.0608673,0.0289081,0.0517269,0.057193,0.0251241,0.0321342,0.0127726,0.0298234,0.014086,0.0137299,0.00667198,0,0.0229343,0.0458803,0.0426054,0.0182364,0,0.0305777,0.0716499,0.00642507,0.0192447,0.0345696,0.0471427,0.0368539,0.0175729,0.0417808,0.0510853,0.0395072,0.0226463,0.0293522,0.0106303,0.0305092,0.0371626,0.0364223,0.0100617,0.0222799,0.0502519,0.04987,0,0,0,0,0
260,0.0158003,0.0575452,0.0369202,0,0.0138432,0.0527867,0.0240724,0,0.0444381,0.0600866,0.0345228,0.0172185,0.0171885,0.0479021,0.0317745,0.0305421,0.0569156,0.0619559,0.0295671,0.0515776,0.0567524,0.0247883,0.0328405,0.0151696,0.0297749,0.0140193,0.0139445,0.00654988,0,0.0230499,0.045753,0.0427428,0.0187182,0,0.0306011,0.0714279,0.00658536,0.0196013,0.0346472,0.0473652,0.0376897,0.0169275,0.0419062,0.0508373,0.0389161,0.022659,0.0291857,0.0106026,0.0305084,0.0381043,0.035927,0.00998828,0.0227323,0.05011,0.0500904,0,0,0,0,0
