Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x73,RTHIA
9,0,0,0,0,0.0285491,0.0610999,0,0,0,0.0287643,0,0.0184544,0.0376058,0,0,0.0214697,0,0,0.0426316,0.0567232,0.0459706,0.0307219,0.0208604,0.0665167,0.0399772,0.0650791,0.0847204,0.0556379,0.0273412,0.0597498,0.0595852,0.0328144,0.0453018,0.0517121,0.0327775,0.0137038,0.0188764,0.0264685,0,0.0225545,0.0643724,0.0469783,0,0,0.0230396,0,0,0.0244611,0.0655324,0.0212357,0.0299639,0.0310523,0.0513251,0.0340606,0.0310018,0.0551323,0.0365981,0.0222005,0.0227255,0.00689781,0.0321852,0.0119274,0.0356963,0.00725211,0.0206691,0.0563526,0.0469352,0,0,0,0,0
10,0,0,0,0,0.0286027,0.0610777,0,0,0,0.0278874,0,0.0185648,0.0379302,0,0,0.0213889,0,0,0.0425567,0.0569716,0.0440051,0.0305203,0.0201502,0.0661093,0.0398933,0.065259,0.0850085,0.0553675,0.0284226,0.0592019,0.0594157,0.032586,0.0442762,0.0471142,0.0328515,0.0136716,0.0188555,0.026849,0,0.0226656,0.0644702,0.0470485,0,0,0.0229121,0,0,0.0244306,0.0659942,0.0212238,0.0302734,0.0309906,0.0514118,0.0338843,0.0307146,0.0548079,0.0365862,0.0223052,0.0228037,0.00695075,0.0324864,0.0117239,0.0358512,0.00724141,0.0204996,0.0562487,0.0470249,0,0,0,0,0
11,0,0,0,0,0.0286836,0.0611156,0,0,0,0.0275814,0,0.0187988,0.0382882,0,0,0.0213185,0,0,0.0424914,0.0572286,0.0419928,0.0302319,0.0191514,0.0656361,0.039815,0.0653383,0.0851267,0.0550213,0.0289317,0.0585917,0.0591643,0.0323064,0.0432116,0.0412847,0.0329462,0.0136761,0.0188237,0.0273145,0,0.0227995,0.0643931,0.0471148,0,0,0.0227636,0,0,0.0244175,0.0664561,0.0210258,0.0305091,0.0308555,0.0514983,0.033667,0.0304577,0.0542709,0.0365937,0.0224749,0.0227739,0.00683169,0.0326452,0.0113798,0.0359652,0.0072628,0.0202567,0.0561887,0.0470931,0,0,0,0,0
12,0,0,0,0,0.0287623,0.0611953,0,0,0,0.0284439,0,0.0191188,0.0389262,0,0,0.0212446,0,0,0.0424147,0.0574847,0.0399764,0.0298793,0.0179836,0.0651072,0.039565,0.0651741,0.0849049,0.0548087,0.0294481,0.058059,0.0589699,0.032146,0.0421495,0.0344092,0.0330635,0.013704,0.0187309,0.0277878,0,0.0229768,0.0642084,0.0471891,0,0,0.0225614,0,0,0.0244108,0.0669294,0.0207468,0.0306696,0.030784,0.0516447,0.0335035,0.0301282,0.0538393,0.0365774,0.0226851,0.0227341,0.00663391,0.0327768,0.0109449,0.036029,0.00731205,0.0200174,0.0561619,0.0471103,0,0,0,0,0
13,0,0,0,0,0.0288526,0.0612571,0,0,0,0.0309393,0,0.0195595,0.0397669,0,0,0.0211456,0,0,0.0423149,0.0576172,0.0380227,0.0295092,0.0167214,0.0645266,0.039346,0.064827,0.0843458,0.0546166,0.030036,0.0577298,0.0589216,0.0322345,0.0412918,0.0268489,0.033223,0.013743,0.0185708,0.0283851,0,0.0232279,0.0638679,0.0472037,0,0,0.0223772,0,0,0.024371,0.0674148,0.0204619,0.0307497,0.0309283,0.0517688,0.0333967,0.0297859,0.0535124,0.0366403,0.02293,0.0227241,0.00660271,0.0329919,0.0104681,0.0362501,0.00723813,0.0198643,0.0562279,0.047009,0,0,0,0,0
14,0,0,0,0,0.0289596,0.0613726,0,0,0,0.034722,0,0.0203739,0.0410347,0,0,0.0209499,0,0,0.0421794,0.0574198,0.0363266,0.0293787,0.0154068,0.0639107,0.0391912,0.0643618,0.0833978,0.0544612,0.0303643,0.0576409,0.0591093,0.0327336,0.0406312,0.0194362,0.0334335,0.0136634,0.0184742,0.0291959,0,0.0234484,0.0633682,0.0472405,0,0,0.0222983,0,0,0.0241819,0.068037,0.0201563,0.0307094,0.0311921,0.051728,0.0332591,0.0295105,0.0532518,0.0368085,0.0232344,0.0226734,0.00687727,0.0332443,0.00995999,0.0365209,0.00723416,0.0194718,0.0564488,0.0467261,0,0,0,0,0
15,0,0,0,0,0.029175,0.0614469,0,0,0,0.0392655,0,0.021233,0.0424301,0,0,0.0202217,0,0,0.0422955,0.0571077,0.0353102,0.0293234,0.0145596,0.0633779,0.0387377,0.0638795,0.0820916,0.0543939,0.0303722,0.0577575,0.0594949,0.0335101,0.0400999,0.012925,0.0338293,0.0131446,0.0190236,0.0302013,0,0.0237359,0.0627841,0.0472686,0,0,0.0215784,0,0,0.0243207,0.0687343,0.0198686,0.0307101,0.0315922,0.0516002,0.0327437,0.0293655,0.0527793,0.0369971,0.0234533,0.0226071,0.00728373,0.0334816,0.00944787,0.0369458,0.00716728,0.019426,0.0566214,0.0464667,0,0,0,0,0
16,0,0,0,0,0.0293963,0.0615925,0,0,0,0.0416839,0,0.0227095,0.044333,0,0,0.0199111,0,0,0.0423311,0.0563427,0.0350297,0.0296142,0.0150331,0.0627989,0.0383164,0.0631241,0.0799726,0.0544482,0.0306796,0.057791,0.059845,0.0344776,0.0392542,0.0089298,0.0341534,0.0131733,0.0189345,0.0318908,0,0.0237866,0.0621263,0.0472693,0,0,0.0212257,0,0,0.024168,0.0696329,0.0196117,0.0305358,0.0312519,0.0513038,0.0322782,0.0295246,0.05257,0.03702,0.023347,0.0230295,0,0.0333354,0.00886198,0.0373409,0.00707576,0.0190302,0.0569241,0.0461379,0,0,0,0,0
17,0,0,0,0,0.0295885,0.0617398,0,0,0,0.042662,0,0.0242179,0.045828,0,0,0.0197118,0,0,0.0423672,0.055656,0.0349346,0.0299231,0.0170569,0.0621823,0.0379094,0.0620648,0.0775762,0.054509,0.030725,0.057525,0.059946,0.0350645,0.0381402,0.00692586,0.0344921,0.0132692,0.0187881,0.0327687,0,0.0242201,0.0616403,0.0473182,0,0,0.0209231,0,0,0.0240033,0.0705296,0.0194162,0.0303948,0.0316693,0.0509573,0.0318949,0.0294725,0.0518319,0.0372398,0.023424,0.0230416,0,0.0335191,0.00873798,0.0377118,0.00700314,0.0186877,0.0571783,0.0458649,0,0,0,0,0
18,0,0,0,0,0.0297239,0.0619619,0,0,0,0.0398263,0,0.026542,0.047232,0,0,0.019542,0,0,0.0423615,0.0550039,0.0363219,0.0304944,0.0210012,0.0616382,0.0375659,0.0609092,0.0745924,0.0544074,0.0301548,0.0566981,0.0595574,0.0352342,0.0364812,0.00748054,0.0347738,0.0134201,0.0184813,0.0332222,0,0.0245683,0.0611024,0.04736,0,0,0.0206959,0,0,0.0238583,0.0716118,0.0192586,0.0301578,0.0327581,0.0506516,0.0315498,0.0292812,0.0511667,0.0376536,0.0240285,0.0223469,0.00682757,0.0340142,0.00899528,0.0380618,0.00699562,0.0183724,0.0573172,0.0457071,0,0,0,0,0
