Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHII,,RTIBI,RTIBP
123,0,0,0,0,0.0414048,0.0662937,0,0,0,0.0347591,0,0.0226722,0.0458665,0,0,0.0156032,0,0,0.0413621,0.0520452,0.0249719,0.0435291,0.0231483,0.0817659,0.0433362,0.0528051,0.0708157,0.0510405,0.019299,0.058207,0.0617667,0.0339452,0.0358525,0.0107768,0.047217,0.0157881,0.0166737,0.0437222,0,0.0177227,0.0456602,0.0312955,0,0,0.0199937,0,0,0.0242784,0.0767412,0.0248977,0.0108225,0.0262696,0.053658,0.0260859,0.0283072,0.0577175,0.0317287,0.0223184,0,0.0244473,0.0394751,0.00716846,0.0160673,0.0569493,0.0569065,0,0,0,0.0588052,0,0.0172324,0.0277613
124,0,0,0,0,0.0415864,0.0659786,0,0,0,0.0336152,0,0.0224358,0.0452889,0,0,0.0153334,0,0,0.0414818,0.0517771,0.0244621,0.0439072,0.023017,0.0821235,0.0442026,0.0524237,0.0705632,0.0507603,0.0185972,0.0574138,0.0610446,0.0332052,0.035159,0.0108448,0.0467345,0.0155618,0.0170261,0.0428837,0,0.0167104,0.045421,0.0311516,0,0,0.0201643,0,0,0.0244414,0.0763248,0.0270277,0.0105203,0.0257552,0.0550587,0.026709,0.0298135,0.0592516,0.0318868,0.0218966,0,0.0284363,0.0390215,0.00705267,0.0167039,0.0566875,0.0573409,0,0,0,0.0594049,0,0.0172574,0.0266382
125,0,0,0,0,0.0416815,0.0657849,0,0,0,0.0330525,0,0.0225346,0.0468214,0,0,0.0153623,0,0,0.0415358,0.0516077,0.0232323,0.0434383,0.0225588,0.0804164,0.0439446,0.0517066,0.0704166,0.0512798,0.0184268,0.0563101,0.0601792,0.0323674,0.0340952,0.0103381,0.04659,0.0155873,0.0169428,0.0430006,0,0.0148757,0.0466482,0.0312074,0,0,0.020262,0,0,0.0245,0.0736493,0.0306282,0.00793813,0.0215203,0.0568943,0.0270405,0.0336107,0.064368,0.0352707,0.0186852,0,0.0325112,0.0387658,0.0069762,0.0171984,0.0566186,0.0565262,0,0,0,0,0,0.01798,0.0231969
126,0,0,0,0,0.0421105,0.0652069,0,0,0,0.0318807,0,0.0228446,0.0440813,0,0,0.015036,0,0,0.0417804,0.0513004,0.0221367,0.0453215,0.0221654,0.0814971,0.0457967,0.0522111,0.0708812,0.0515238,0.0174719,0.0559906,0.0601295,0.0322697,0.0336438,0.0109391,0.0457734,0.0151342,0.0178893,0.0391536,0,0.015895,0.045214,0.0308098,0,0,0.0207325,0,0,0.0247338,0.0756054,0.0293038,0.0100296,0.0242803,0.0578792,0.0280432,0.0329518,0.0626002,0.0333723,0.0213762,0,0.0358787,0.0378641,0.0069158,0.0181089,0.0560713,0.0577304,0,0,0,0.0608758,0,0.0166535,0.0248794
127,0,0,0,0,0.0421972,0.0651556,0,0,0,0.0321546,0,0.02307,0.0462942,0,0,0.0152102,0,0,0.0416889,0.0510891,0.0206215,0.0450287,0.0217484,0.0795201,0.0452764,0.0518501,0.0711109,0.0525353,0.0173105,0.0554775,0.0595871,0.0318389,0.0329203,0.0107422,0.0457302,0.01522,0.0176683,0.0378933,0,0.0152862,0.0463662,0.0307174,0,0,0.0208019,0,0,0.0247281,0.0729471,0.0311653,0.007976,0.0198119,0.0596094,0.0282833,0.0369176,0.0679325,0.0373665,0.0189397,0,0.0374158,0.0376283,0.00687238,0.0184676,0.056179,0.0567177,0,0,0,0,0,0.0165753,0.0225345
128,0,0,0,0,0.0424386,0.0646129,0,0,0,0.0316932,0,0.0233194,0.0443946,0,0,0.0151626,0,0,0.0419049,0.0507148,0.0200344,0.0471818,0.0218941,0.0809503,0.0475115,0.0520625,0.0712925,0.0525368,0.0166304,0.0559622,0.060033,0.0322136,0.0332141,0.0117966,0.0450473,0.0148398,0.0185841,0.0334595,0,0.0176186,0.0455845,0.0302836,0,0,0.0214379,0,0,0.0251136,0.075298,0.0301067,0.00993463,0.022485,0.0601325,0.0292593,0.0361474,0.0657167,0.0351047,0.0217373,0,0.0406429,0.036713,0.00694925,0.0193152,0.0557991,0.0582728,0,0,0,0.0651522,0,0.014133,0.0251955
129,0,0,0,0,0.0423924,0.0643088,0,0,0,0.0318537,0,0.0235235,0.0450912,0,0,0.0152746,0,0,0.0419555,0.0505346,0.019773,0.0478876,0.0221994,0.0813874,0.0484888,0.0511035,0.0710792,0.0524011,0.0164237,0.0561036,0.0602285,0.0323382,0.0333137,0.0121453,0.0449151,0.014658,0.0189352,0.0279283,0,0.0198276,0.0458311,0.0301563,0,0,0.0218879,0,0,0.025427,0.0758405,0.0288539,0.0101752,0.0219615,0.0609355,0.0296999,0.0378072,0.0666408,0.035416,0,0,0.0450054,0.0361506,0.00703825,0.019822,0.055762,0.0588302,0,0,0,0.0654356,0,0.0144221,0.0272508
130,0,0,0,0,0.042212,0.0640526,0,0,0,0.0320589,0,0.0237074,0.0465674,0,0,0.0154181,0,0,0.04187,0.0504765,0.0200079,0.0480225,0.0224424,0.0820752,0.0491232,0.0502509,0.0707622,0.0520961,0.0161131,0.0559734,0.0601935,0.0321945,0.0331375,0.0121737,0.0448312,0.0145672,0.0190461,0.0234673,0,0.0211203,0.0457878,0.0301785,0,0,0.0223642,0,0,0.0256231,0.0761686,0.0296008,0.0103579,0.0220191,0.0618586,0.0299703,0.0388999,0.0679702,0.0356282,0,0,0.0494832,0.0356787,0.0070367,0.0201592,0.0557098,0.0591817,0,0,0,0.065542,0,0.014143,0.0273936
131,0,0,0,0,0.0420276,0.0639055,0,0,0,0.0325937,0,0.0238992,0.0477409,0,0,0.0155847,0,0,0.0417129,0.0507084,0.0204357,0.0476447,0.0225415,0.0830231,0.0495079,0.0496328,0.0703117,0.0517382,0.0161025,0.0556991,0.0600549,0.0319381,0.0328866,0.0118741,0.0447491,0.0145011,0.019025,0.0210625,0,0.0224053,0.0456531,0.0302773,0,0,0.0228459,0,0,0.0257948,0.0771388,0.0309984,0.010133,0.0231561,0.0627287,0.0302522,0.0389465,0.0674684,0.0354179,0,0.0235791,0.0586246,0.0352538,0.00709675,0.0204303,0.0555592,0.0593968,0,0,0,0.0646955,0,0.0112475,0.0284254
132,0,0,0,0,0.0419227,0.0638155,0,0,0,0.0335034,0,0.0239935,0.0490274,0,0,0.0157981,0,0,0.0415147,0.0510287,0.0206713,0.0472339,0.0226189,0.0840647,0.0498564,0.0489906,0.0697718,0.0514803,0.0164039,0.0554381,0.0598125,0.0316866,0.032653,0.0113602,0.0445386,0.0144839,0.018874,0.0193096,0,0.0261675,0.0453199,0.0305038,0,0,0.023293,0,0,0.0260122,0.0782563,0.0290808,0.0104055,0.0234751,0.0635473,0.0308168,0.0397978,0.0671364,0.0345816,0,0.0213395,0.0639951,0.0347346,0.00725829,0.020834,0.0551102,0.059813,0,0,0,0.063786,0,0.0115363,0
133,0,0,0,0,0.0417933,0.063918,0,0,0,0.0345248,0,0.0241234,0.0506435,0,0,0.0160233,0,0,0.0411674,0.0512425,0.0208061,0.0465538,0.0225708,0.0843498,0.0494968,0.0485262,0.0693244,0.0514389,0.0168964,0.0550466,0.0594088,0.0313987,0.0324644,0.011009,0.0443117,0.0147426,0.0181574,0.0203742,0,0.0246916,0.0447916,0.0308633,0,0,0.0235142,0,0,0.0262345,0.0784366,0.0315961,0.0100937,0.0241189,0.0639893,0.0313869,0.0391773,0.0674205,0.0337047,0,0.0226054,0.0611013,0.0343596,0.00745215,0.0211271,0.0546058,0.0597207,0,0,0,0.0645225,0,0.0109889,0.0293637
134,0,0,0,0,0.041663,0.0641383,0,0,0,0.035826,0,0.0242692,0.0518447,0,0,0.0160711,0,0,0.0409085,0.0515726,0.0207132,0.0460091,0.0224251,0.0842684,0.0489138,0.0482107,0.0689158,0.0514211,0.0173517,0.0549257,0.0590803,0.0311607,0.0320523,0.0109068,0.0441641,0.0148115,0.0176808,0.0201929,0,0.0250276,0.0442384,0.0312932,0,0,0.0237134,0,0,0.0263991,0.0790919,0.0305562,0.0100239,0.0249441,0.0638598,0.0318023,0.0388559,0.0671992,0.0331749,0,0.022563,0.0588588,0.0340454,0.00749798,0.0213819,0.0540568,0.0596634,0,0,0,0.0645296,0,0.0103732,0.0295451
135,0,0,0,0,0.0415205,0.0643998,0,0,0,0.0369596,0,0.0243018,0.0528714,0,0,0.0160572,0,0,0.0407435,0.0519239,0.0205375,0.0455288,0.0222505,0.0833468,0.0479935,0.0479045,0.0685511,0.0515077,0.0176035,0.0547827,0.0588001,0.0309691,0.0312286,0.0109204,0.0440581,0.0148613,0.0172516,0.0195215,0,0.025372,0.0436586,0.0317448,0,0,0.0238451,0,0,0.0265032,0.0797271,0.0287606,0.0100158,0.0258708,0.0632626,0.0320528,0.0385106,0.0670165,0.0328069,0,0.0220075,0.0561019,0.0338722,0.00751932,0.0215477,0.0535751,0.0595024,0,0,0,0.0643299,0,0.00949871,0.0299131
136,0,0,0,0,0.041329,0.0645641,0,0,0,0.0378775,0,0.0242505,0.0538216,0,0,0.0160487,0,0,0.0406642,0.0521526,0.0204902,0.0451971,0.0221364,0.0816839,0.0468603,0.0474659,0.0681691,0.0517379,0.0174387,0.0545992,0.0585614,0.0307973,0.0310901,0.0110083,0.0440037,0.0149006,0.0168756,0.0188908,0,0.0254992,0.0430618,0.0322204,0,0,0.0239172,0,0,0.0265748,0.0801908,0.0271885,0.0103604,0.0267706,0.0625685,0.0321544,0.0382448,0.0668547,0.0323254,0,0.0213621,0.0536982,0.0338146,0.00755994,0.0216764,0.0532073,0.0592078,0,0,0,0.0640718,0,0.00876749,0.0304295
137,0,0,0,0,0.0411165,0.0645341,0,0,0,0.0385865,0,0.0241893,0.0547996,0,0,0.0160808,0,0,0.0406595,0.0522341,0.0203706,0.0449415,0.0221908,0.0796711,0.0456389,0.0465878,0.0677998,0.0520276,0.0170714,0.0543426,0.0583643,0.0307002,0.031039,0.0110949,0.0439958,0.0149249,0.0165498,0.0186047,0,0.0256329,0.0424648,0.0326439,0,0,0.0239049,0,0,0.0266059,0.0803937,0.0264018,0.0111676,0.0274349,0.0620012,0.0321275,0.0380925,0.066659,0.0317626,0,0.0208365,0.0524957,0.033805,0.00758343,0.0217955,0.0529335,0.0588275,0,0,0,0.0637291,0,0.0087628,0.0308664
138,0,0,0,0,0.0409488,0.0643191,0,0,0,0.0391385,0,0.0241001,0.0558249,0,0,0.0161362,0,0,0.0407159,0.0522168,0.0201239,0.0443672,0.0223349,0.0778059,0.0444537,0.0454708,0.0673765,0.0523321,0.0167824,0.0540672,0.0582,0.0307018,0.0308914,0.0112314,0.0440161,0.0149445,0.0163066,0.0188309,0,0.0262043,0.0420099,0.0329482,0,0,0.0237968,0,0,0.0265608,0.0805869,0.0262385,0.0116889,0.0278301,0.0617373,0.0318843,0.0380659,0.0664611,0.0312226,0,0.02061,0.0525252,0.0338585,0.00757346,0.0218657,0.0526972,0.0584627,0,0,0,0.0632777,0,0.00864977,0.0311141
139,0,0,0,0,0.040864,0.0639819,0,0,0,0.0397319,0,0.0239227,0.0567433,0,0,0.0161692,0,0,0.0408279,0.0521412,0.0198409,0.0435645,0.0224941,0.0763549,0.0434895,0.0444731,0.066926,0.0525703,0.0165393,0.053746,0.0580699,0.0307565,0.0307463,0.011508,0.0440297,0.014964,0.01621,0.0193032,0,0.0268766,0.041764,0.0330985,0,0,0.0236382,0,0,0.0264722,0.0810479,0.0265225,0.0119329,0.0281703,0.0617392,0.0314407,0.0379029,0.0662872,0.0307059,0,0.0204905,0.0533623,0.033901,0.0075477,0.0219123,0.0524801,0.0581824,0,0,0,0.0626948,0,0.00842805,0.0311751
140,0,0,0,0,0.0408365,0.0636369,0,0,0,0.0404865,0,0.0237077,0.0575122,0,0,0.0161953,0,0,0.040991,0.0519948,0.019624,0.0427576,0.0226523,0.07537,0.0427788,0.0437965,0.0665134,0.0527355,0.0163549,0.053706,0.0579256,0.0307359,0.0306165,0.0119898,0.0440271,0.0149616,0.0162439,0.0193973,0,0.027265,0.0417056,0.0331209,0,0,0.0234846,0,0,0.026379,0.0815876,0.027071,0.0123217,0.0284732,0.0618879,0.0309758,0.0377782,0.0662612,0.0303542,0,0.020447,0.0544916,0.033859,0.00750883,0.0219792,0.0523431,0.0579939,0,0,0,0.0620285,0,0.00839285,0.0308823
141,0,0,0,0,0.0407904,0.0633935,0,0,0,0.0409522,0,0.0235228,0.0582891,0,0,0.0162399,0,0,0.0411119,0.0516519,0.0195539,0.0419476,0.0226611,0.0746979,0.0421813,0.0436286,0.0661742,0.052859,0.0161762,0.0536035,0.0577085,0.0305471,0.0304452,0.0123391,0.0440547,0.0149878,0.0162623,0.0205788,0,0.0262962,0.0416079,0.033054,0,0,0.0233983,0,0,0.0262811,0.0813392,0.0300968,0.0127699,0.0290272,0.0621687,0.0304764,0.0371319,0.0667479,0.0301581,0.0261057,0.0211065,0.0542287,0.0339703,0.00746112,0.022029,0.0523183,0.0577185,0,0,0,0.0624518,0,0.00793507,0.0283275
142,0,0,0,0,0.0408084,0.0631796,0,0,0,0.0414412,0,0.023408,0.058888,0,0,0.0162473,0,0,0.0412017,0.0514858,0.0195394,0.0411634,0.0226019,0.0746632,0.0420382,0.0434178,0.0658205,0.0529006,0.016287,0.0534434,0.0574224,0.0302968,0.0303374,0.0126749,0.043996,0.0149487,0.0164428,0.0205015,0,0.0266134,0.0416828,0.0328847,0,0,0.0233653,0,0,0.0261711,0.0814021,0.0306289,0.0134427,0.0294466,0.0626216,0.0300612,0.0369455,0.0666273,0.029931,0.0266305,0.0208932,0.0558257,0.0340201,0.00741475,0.022087,0.0522324,0.0576611,0,0,0,0.0622146,0,0.00784205,0.0282801
143,0,0,0,0,0.0408693,0.0630349,0,0,0,0.0419573,0,0.0232981,0.0594466,0,0,0.0162748,0,0,0.0412408,0.0515251,0.0196292,0.0402967,0.0224654,0.0748829,0.0420171,0.0431742,0.0655675,0.0529274,0.0164307,0.0532326,0.0571887,0.0300072,0.0303177,0.0129823,0.0439407,0.0148938,0.0167035,0.0204521,0,0.0270626,0.0418184,0.0326916,0,0,0.0233602,0,0,0.0260982,0.0814093,0.0309861,0.0142912,0.0299183,0.0632815,0.0297372,0.0369172,0.0666605,0.0296484,0.0264756,0.0204147,0.057779,0.0340131,0.00739077,0.022119,0.0521449,0.0576243,0,0,0,0.0619359,0,0.00759809,0.0285347
144,0,0,0,0,0.0409033,0.0629318,0,0,0,0.0424279,0,0.0231316,0.0599615,0,0,0.0163227,0,0,0.0412121,0.0517738,0.0197404,0.0393746,0.022349,0.0751079,0.0420725,0.0429064,0.0653649,0.0529534,0.0165853,0.0530029,0.0569987,0.0297708,0.030171,0.0133746,0.043888,0.0148687,0.0169478,0.0204698,0,0.0273946,0.0420511,0.0325342,0,0,0.023414,0,0,0.0260591,0.0814446,0.031416,0.0152591,0.0304265,0.0641085,0.0294612,0.0371527,0.066811,0.0293459,0.0263438,0.019767,0.0598311,0.0340018,0.00742137,0.02212,0.052122,0.0575332,0,0,0,0.0616491,0,0.00718,0.029113
145,0,0,0,0,0.0409592,0.0628068,0,0,0,0.0428472,0,0.0229083,0.0604841,0,0,0.0163872,0,0,0.0411165,0.0521134,0.0199606,0.038463,0.0222964,0.075219,0.0421853,0.0426474,0.0651894,0.0529783,0.0166579,0.0528762,0.0568284,0.0296415,0.0300409,0.0138224,0.0438376,0.0148644,0.017179,0.0208391,0,0.0275609,0.0423307,0.0323802,0,0,0.0234449,0,0,0.0259925,0.0814497,0.032018,0.0159571,0.0309254,0.0650124,0.0292319,0.0373891,0.0670155,0.0291534,0.0264179,0.0190736,0.0620678,0.0340629,0.00739291,0.0220401,0.0521311,0.0574623,0,0,0,0.0613848,0,0.00678626,0.0297944
146,0,0,0,0,0.0409898,0.0627311,0,0,0,0.0432449,0,0.0227133,0.0610449,0,0,0.0164558,0,0,0.0409569,0.0524481,0.0198984,0.0376622,0.0222502,0.0749687,0.0422536,0.042392,0.0650119,0.0530634,0.0165983,0.0527385,0.0566341,0.0294738,0.0300069,0.0142028,0.0437954,0.0148558,0.0173317,0.0214865,0,0.02759,0.0425811,0.0322467,0,0,0.0234117,0,0,0.0259178,0.0814017,0.0326942,0.0167698,0.0313294,0.065738,0.0291315,0.0376047,0.0672856,0.029007,0.0266017,0.0183607,0.0644308,0.034158,0.00732988,0.021896,0.0522376,0.0573874,0,0,0,0.0611666,0,0.00649454,0.0303609
147,0,0,0,0,0.0401351,0.0628742,0,0,0,0.0396486,0,0.0206304,0.0619886,0,0,0.0168991,0,0,0.0404742,0.0531019,0.0192135,0.0363668,0.0223702,0.0735763,0.0413392,0.0409928,0.0638753,0.0529881,0.0165086,0.0537853,0.0574337,0.0306074,0.0310771,0.0105569,0.043144,0.0151533,0.0175224,0.0199912,0,0.0305739,0.0418563,0.0329244,0,0,0.022639,0,0,0.0268908,0.0805713,0.0358821,0.0178981,0.0314326,0.066872,0.0290196,0.0385251,0.0694837,0.0289885,0.0246824,0.0222148,0.0587801,0.0342505,0.00659391,0.021785,0.0525764,0.0564795,0,0,0,0.0625995,0,0.00999846,0.029473
148,0,0,0,0,0.0400153,0.0629272,0,0,0,0.0398737,0,0.0204576,0.0625837,0,0,0.01684,0,0,0.040052,0.0534379,0.0191492,0.0356792,0.0223704,0.0727302,0.0410658,0.0406101,0.0636286,0.053045,0.0165999,0.0534724,0.0572248,0.0304356,0.0309638,0.0106264,0.0431524,0.015195,0.017395,0.0201437,0,0.0308113,0.0419864,0.0330091,0,0,0.0225036,0,0,0.0269437,0.0803911,0.0366039,0.0185594,0.0319222,0.0671561,0.0289086,0.038845,0.070006,0.0288824,0.0251765,0.0218707,0.060553,0.0344395,0.00651733,0.0215402,0.0527269,0.0562403,0,0,0,0.0625275,0,0.0101247,0.0303506
149,0,0,0,0,0.0398927,0.0629862,0,0,0,0.0400168,0,0.0203705,0.0631897,0,0,0.0168796,0,0,0.0398201,0.0537488,0.0189667,0.0350467,0.0223737,0.0718499,0.0407572,0.0401615,0.0633273,0.0531163,0.0166932,0.0532731,0.0569755,0.030258,0.0308714,0.0106559,0.0432008,0.0152915,0.0172164,0.0204365,0,0.0307514,0.0421226,0.0331751,0,0,0.022352,0,0,0.026984,0.0802209,0.0373657,0.0190645,0.0324423,0.0673285,0.0288354,0.0392867,0.0705957,0.0288215,0.0259022,0.0215055,0.0624328,0.0346239,0.00647038,0.0213079,0.0528173,0.0557399,0,0,0,0.0625087,0,0.0104387,0.0312799
150,0,0,0,0,0.0397597,0.06311,0,0,0,0.0400414,0,0.0203316,0.0637942,0,0,0.0169638,0,0,0.0398047,0.0540459,0.0186454,0.0344436,0.0223585,0.0709368,0.0403854,0.0397266,0.0629978,0.0532159,0.0167399,0.0530195,0.0567419,0.0300537,0.0305782,0.0106732,0.0432787,0.0153682,0.0170876,0.0208219,0,0.0306565,0.042344,0.0333832,0,0,0.0221708,0,0,0.0269698,0.0799873,0.0380067,0.0193259,0.0328207,0.0674144,0.0288695,0.0398221,0.0712546,0.0287977,0.0266988,0.0212696,0.0643236,0.0348009,0.00638482,0.0211171,0.0529137,0.0551189,0,0,0,0.0625409,0,0.0109723,0.0323037
151,0,0,0,0,0.0397794,0.0631352,0,0,0,0.0397285,0,0.0201404,0.0641782,0,0,0.0170434,0,0,0.0398067,0.0543967,0.0181514,0.0339065,0.0224185,0.0704223,0.0402336,0.0391427,0.0624825,0.0533486,0.01706,0.0531076,0.0566467,0.0300704,0.0305757,0.0104812,0.0435457,0.0153833,0.0169163,0.0200367,0,0.0318986,0.0429049,0.0334436,0,0,0.0222393,0,0,0.0267167,0.0796025,0.0390323,0.0192129,0.0334663,0.0672687,0.0290239,0.0403466,0.0721739,0.0285209,0.0274876,0.0225226,0.0640481,0.0348603,0.00654789,0.0210218,0.0528903,0.0549912,0,0,0,0.062707,0,0,0.0334001
152,0,0,0,0,0.0394995,0.0631856,0,0,0,0.0398138,0,0.0201381,0.0646555,0,0,0.0171098,0,0,0.0398743,0.054332,0.0180512,0.0333742,0.0224237,0.0697615,0.0398232,0.0385873,0.0620786,0.0534311,0.0170575,0.0529551,0.0564489,0.0299008,0.0303862,0.0105689,0.0436157,0.0154223,0.0167221,0.0201727,0,0.032395,0.0432065,0.0336853,0,0,0.0221424,0,0,0.0266843,0.0792957,0.039036,0.0192772,0.0337296,0.067231,0.0290672,0.0408604,0.0728317,0.0286819,0.0280865,0.0226403,0.0651518,0.0349339,0.00651243,0.0208747,0.0529413,0.0546979,0,0,0,0.0627844,0,0,0.0341232
153,0,0,0,0,0.0392991,0.0632076,0,0,0,0.0399425,0,0.0201406,0.0649765,0,0,0.0171139,0,0,0.0399147,0.0542536,0.0180795,0.0329432,0.022499,0.0691871,0.0394448,0.0380048,0.0615966,0.0534876,0.0170903,0.0527449,0.0562474,0.0297913,0.0302291,0.0106937,0.0436958,0.0154196,0.0165559,0.0200442,0,0.0326824,0.0434819,0.0338737,0,0,0.0221447,0,0,0.0266402,0.0790207,0.0387362,0.0194069,0.033713,0.0669789,0.0291746,0.0413471,0.0733998,0.0289032,0.0284267,0.0230174,0.0654724,0.0349415,0.00648563,0.0207825,0.0530032,0.0543601,0,0,0,0.0628269,0,0,0.0345845
154,0,0,0,0,0.0389608,0.0632137,0,0,0,0.0402617,0,0.0203303,0.0653505,0,0,0.0171819,0,0,0.0399211,0.0543338,0.0180739,0.0325872,0.0224961,0.0684075,0.0389142,0.0375235,0.0612123,0.053571,0.0171463,0.05241,0.0559647,0.0295254,0.0299265,0.0110399,0.0436413,0.0154252,0.0163875,0.0207352,0,0.0312334,0.0434876,0.0341442,0,0,0.0220337,0,0,0.026713,0.0788272,0.0375212,0.0195719,0.0331042,0.0667885,0.0292057,0.0417284,0.0736419,0.0294473,0.0283907,0.0223028,0.0663481,0.035009,0.00633893,0.0206536,0.0531084,0.0539321,0,0,0,0.0628132,0,0.0117809,0.0346403
155,0,0,0,0,0.038827,0.06312,0,0,0,0.0404876,0,0.0204069,0.0655144,0,0,0.0171098,0,0,0.0400524,0.0550727,0.0178711,0.0325946,0.022642,0.0682113,0.0389156,0.0369708,0.0607452,0.0535925,0.0172918,0.052174,0.0557579,0.0294099,0.0297322,0.0114011,0.0435497,0.0152861,0.0163495,0.0189488,0,0.0300363,0.0434511,0.0341879,0,0,0.0221201,0,0,0.0266906,0.0781698,0.0339863,0.0196001,0.0337704,0.0664534,0.0293852,0.0423136,0.0757954,0.0292609,0.0278075,0.0247563,0.0605074,0.0349419,0.00629678,0.020601,0.053087,0.0542098,0,0,0,0.0634079,0,0.0122998,0.0341743
156,0,0,0,0,0.0387053,0.0630613,0,0,0,0.040647,0,0.0204718,0.0653628,0,0,0.0171081,0,0,0.0400965,0.0557061,0.0178275,0.03251,0.0228384,0.0678264,0.0387773,0.0365046,0.0602964,0.053556,0.0174517,0.0520614,0.0557257,0.0294269,0.029681,0.0115661,0.0436033,0.0152029,0.0161918,0.0178481,0,0.0300153,0.0435287,0.0341738,0,0,0.0221105,0,0,0.0265819,0.0779008,0.0322829,0.0192908,0.0324608,0.06609,0.0294446,0.04217,0.0755442,0.0298587,0.0275597,0.0250813,0.0579495,0.0349484,0.00626471,0.0204743,0.0531947,0.0540893,0,0,0,0.0631223,0,0.0121021,0.0340849
157,0,0,0,0,0.0395612,0.0628795,0,0,0,0.0458821,0,0.023051,0.0648676,0,0,0.0162936,0,0,0.0405979,0.0554826,0.0178904,0.032853,0.0233388,0.0682504,0.0393692,0.0375655,0.0608442,0.0532442,0.0171997,0.0506771,0.0547703,0.0281904,0.0282228,0.0179584,0.0441305,0.0147841,0.0157945,0.0189755,0,0.0280568,0.0443215,0.0333515,0,0,0.0227497,0,0,0.0254265,0.0786156,0.028991,0.0188815,0.0313686,0.0650002,0.0297325,0.0400242,0.0722789,0.0303461,0.0291956,0.0213414,0.0621376,0.0351052,0.00694243,0.0203227,0.0531777,0.0547996,0,0,0,0.0611015,0,0.00943317,0.0357011
158,0,0,0,0,0.0394666,0.0629083,0,0,0,0.0463367,0,0.023286,0.0644871,0,0,0.0162723,0,0,0.0406035,0.055943,0.0176564,0.0329138,0.0236931,0.0680193,0.039368,0.0372181,0.0602914,0.0530983,0.0172871,0.0507822,0.0547205,0.0283007,0.0282106,0.0182915,0.0441475,0.0147559,0.0156954,0.0169388,0,0.0282826,0.044483,0.0333561,0,0,0.0226059,0,0,0.0253721,0.0783325,0.0270123,0.0183524,0.0303095,0.0646274,0.0296638,0.0395938,0.0716758,0.0312133,0.0291979,0.0221977,0.0568808,0.0352329,0.0068914,0.0201933,0.0533413,0.054747,0,0,0,0.0610356,0,0.00957045,0.0359851
159,0,0,0,0,0.0393828,0.0629972,0,0,0,0.0470107,0,0.0235698,0.0640664,0,0,0.0162528,0,0,0.0405896,0.0563645,0.017471,0.0329629,0.0240651,0.0679237,0.039402,0.036885,0.0596935,0.0529353,0.0174348,0.0508474,0.0547502,0.0284498,0.0281883,0.0187541,0.0442138,0.0147981,0.0155487,0.0157452,0,0.0286439,0.0446384,0.033307,0,0,0.0224103,0,0,0.0252723,0.0780273,0.0248965,0.0176323,0.0293453,0.0642635,0.0295534,0.0390036,0.0708378,0.0322525,0.0294079,0.0229704,0.0507484,0.0354122,0.00684601,0.0199728,0.0535847,0.0547081,0,0,0,0.0610783,0,0.0101491,0.0364105
160,0,0,0,0,0.03935,0.0630812,0,0,0,0.0477434,0,0.0239276,0.0636543,0,0,0.0162069,0,0,0.0405552,0.0568126,0.0173652,0.0329992,0.0244978,0.0678051,0.039462,0.0364357,0.0589864,0.0527284,0.0175664,0.0510181,0.0548333,0.0286177,0.0281718,0.0193292,0.0443363,0.0148753,0.0153978,0.0161029,0,0.0291634,0.0447819,0.0331912,0,0,0.0222511,0,0,0.0251989,0.0777374,0.0229273,0.0166952,0.0285467,0.0638806,0.0293464,0.0384412,0.069723,0.0335725,0.0298421,0.0235732,0.0443406,0.0355833,0.0068426,0.0196605,0.0538712,0.054637,0,0,0,0.0612094,0,0.0108777,0.0371139
161,0,0,0,0,0.0392872,0.0631373,0,0,0,0.0485621,0,0.0243075,0.0631719,0,0,0.0161801,0,0,0.0405788,0.0574778,0.0172855,0.0330446,0.024989,0.0676678,0.0396237,0.0359368,0.0581192,0.0524709,0.0175559,0.0511288,0.0549609,0.0288518,0.0281565,0.0200781,0.0444833,0.0149382,0.0152771,0.0181923,0,0.0297423,0.0449821,0.0330661,0,0,0.0219637,0,0,0.0250651,0.0774413,0.0212069,0.0156164,0.0281816,0.0634988,0.0290562,0.0380074,0.0685653,0.0350621,0.0303327,0.0242525,0.0373899,0.0357865,0.00676573,0.019309,0.0541116,0.0545082,0,0,0,0.0613636,0,0.0116403,0.0379235
